PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,AD,RF,PS,FPS,SI,OID
3906178,NLM,MEDLINE,19860122,20071115,0485-1439 (Print) 0485-1439 (Linking),26,8,1985 Aug,[Bone marrow transplantation from a phenotypically identical mother in a patient with acute lymphoblastic leukemia].,1287-93,,"['Morishita, Y', 'Okumura, M', 'Murase, T', 'Ogura, M', 'Nagura, E', 'Minami, S', 'Morishima, Y', 'Kodera, Y', 'Kawashima, K', 'Ohno, R']","['Morishita Y', 'Okumura M', 'Murase T', 'Ogura M', 'Nagura E', 'Minami S', 'Morishima Y', 'Kodera Y', 'Kawashima K', 'Ohno R', 'et al.']",['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', '*Bone Marrow Transplantation', 'Histocompatibility', 'Humans', 'Leukemia, Lymphoid/*therapy', 'Male', 'Phenotype', 'Tissue Donors']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1985 Aug;26(8):1287-93.,,,,,,,,
3906177,NLM,MEDLINE,19860122,20061115,0485-1439 (Print) 0485-1439 (Linking),26,8,1985 Aug,[Serum-free culture for hemopoietic cells].,1241-8,,"['Kubota, K', 'Miura, Y']","['Kubota K', 'Miura Y']",['jpn'],,"['English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['0 (Culture Media)'],IM,"['Cell Division', 'Cell-Free System', 'Colony-Forming Units Assay', 'Culture Media', 'Erythroblasts/cytology', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Leukemia/pathology']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1985 Aug;26(8):1241-8.,,,,50,,,,
3906174,NLM,MEDLINE,19851231,20061115,0485-1439 (Print) 0485-1439 (Linking),26,6,1985 Jun,[Bone marrow transplantation for the treatment of leukemia].,888-9,,"['Masaoka, T']",['Masaoka T'],['jpn'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Acute Disease', '*Bone Marrow Transplantation', 'Humans', 'Leukemia/mortality/*therapy']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1985 Jun;26(6):888-9.,,,,,,,,
3906173,NLM,MEDLINE,19851231,20151119,0485-1439 (Print) 0485-1439 (Linking),26,6,1985 Jun,[Current status of autologous bone marrow transplantation in Japan].,886-7,,"['Harada, M']",['Harada M'],['jpn'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['*Bone Marrow Transplantation', 'Humans', 'Japan', 'Leukemia/mortality/therapy', 'Recurrence', 'Surveys and Questionnaires']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1985 Jun;26(6):886-7.,,,,,,,,
3906172,NLM,MEDLINE,19851231,20071115,0485-1439 (Print) 0485-1439 (Linking),26,6,1985 Jun,[Bone marrow transplantation].,841-7,,"['Yoshikawa, S', 'Kodera, Y']","['Yoshikawa S', 'Kodera Y']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Female', 'Graft vs Host Disease/etiology', 'Humans', 'Leukemia, Lymphoid/mortality/*therapy', 'Leukemia, Myeloid/mortality/*therapy', 'Male', 'Middle Aged']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1985 Jun;26(6):841-7.,,,,,,,,
3906171,NLM,MEDLINE,19851231,20071115,0485-1439 (Print) 0485-1439 (Linking),26,6,1985 Jun,[A controlled randomized clinical trial of adult acute leukemia].,821-30,,"['Nagura, E', 'Yamada, K']","['Nagura E', 'Yamada K']",['jpn'],,"['Clinical Trial', 'English Abstract', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Clinical Trials as Topic', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Middle Aged', 'Random Allocation']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1985 Jun;26(6):821-30.,,,,,,,,
3906049,NLM,MEDLINE,19860116,20170210,0732-183X (Print) 0732-183X (Linking),3,12,1985 Dec,Leukemia in breast cancer patients following adjuvant chemotherapy or postoperative radiation: the NSABP experience.,1640-58,"Since 1971, 8,483 women with primary breast cancer participated in seven trials evaluating adjuvant chemotherapy. Leukemia occurred in only three of 2,068 patients treated by operation alone. The cumulative risk was 0.06% after 10 years in those free of metastases or a second primary tumor, and 0.27% in those with tumor. Thus, leukemia is not an important factor in the natural history of breast cancer. Five of 646 women receiving postoperative regional radiation developed leukemia, an overall risk of 1.39 +/- .49% at 10 years. Twenty-seven cases of leukemia (0.5%) and seven of myeloproliferative syndrome (0.1%) were recorded in 5,299 patients who received L-phenylalanine mustard (L-PAM)-containing regimens. The maximum cumulative risk of leukemia in chemotherapy recipients (leukemia of any type and myeloproliferative syndrome) was 1.68 +/- .33% at 10 years following operation. The risk excluding those with myeloproliferative syndrome was 1.29 +/- .28%. The risk of leukemia in patients free of metastases or a second primary was 1.11 +/- .30% at 10 years, and when combined with myeloproliferative syndrome, it was 1.54 +/- .36%; risks not significantly greater than observed following radiation (P = .58 and .29). No cases of leukemia were observed during the 2 years of chemotherapy and none have occurred after the seventh postoperative year. Comparisons with the surveillance, epidemiology, and end results tumor registries (SEER) data indicate an increased relative risk of acute myelogenous leukemia following postoperative regional radiation (P less than .01) and adjuvant chemotherapy (P less than .001). The findings indicate that hematologic disorders are side effects of both radiation and alkylating agents used in the adjuvant treatment of primary breast cancer. The risk of such events is lower than that reported following treatment of other solid tumors and hematologic malignancies by chemotherapy. The benefit from adjuvant chemotherapy for breast cancer exceeds the risk of leukemia. Since chemotherapy is not uniformly beneficial, efforts should be directed toward identifying responders so that only those who will benefit are exposed to the risk.","['Fisher, B', 'Rockette, H', 'Fisher, E R', 'Wickerham, D L', 'Redmond, C', 'Brown, A']","['Fisher B', 'Rockette H', 'Fisher ER', 'Wickerham DL', 'Redmond C', 'Brown A']",['eng'],"['NCI-U10-CA-12027/CA/NCI NIH HHS/United States', 'NCI-U10-CA-34211/CA/NCI NIH HHS/United States']","['Case Reports', 'Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,IM,"['Actuarial Analysis', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', 'Breast Neoplasms/drug therapy/radiotherapy/*surgery', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Female', 'Humans', 'Leukemia/blood/*chemically induced/pathology', 'Leukemia, Radiation-Induced/blood/*etiology/pathology', 'Mastectomy/methods', 'Middle Aged', 'Myeloproliferative Disorders/etiology', 'Neoplasm Metastasis', 'Neoplasm Recurrence, Local/therapy', 'Random Allocation', 'Registries', 'Risk']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1200/JCO.1985.3.12.1640 [doi]'],ppublish,J Clin Oncol. 1985 Dec;3(12):1640-58. doi: 10.1200/JCO.1985.3.12.1640.,,,,,,,,
3906048,NLM,MEDLINE,19860116,20201222,0732-183X (Print) 0732-183X (Linking),3,12,1985 Dec,Intensified induction and consolidation with or without maintenance chemotherapy for acute myeloid leukemia (AML): two multicenter studies of the German AML Cooperative Group.,1583-9,"In two multicenter trials, a total of 576 patients with acute myeloid leukemia (AML) were treated and found to be evaluable. Two hundred forty-two patients were in a 1978 pilot study and 334 patients were in a 1982 randomized study. Ages were between 15 and 78 years (median, 48). The uniform remission induction therapy in both studies consisted of one to two courses of a 9-day combination of 6-thioguanine (TG) with cytosine arabinoside (ARA-C) and daunorubicin (DNR) [TAD9]. The timing and sequencing of TAD9 was designed according to cell kinetic effects of ARA-C. A complete remission (CR) was achieved in 65% (70% and 61%, respectively) of patients within a median of 33 days, and in 68% of responders after only one course. The CR rate in patients 60 to 78 years of age was 51% (66% and 39%, respectively). In the 1978 pilot study, different protocols of post-remission treatment were applied at the different centers: monthly 5-day maintenance, TAD9 consolidation, both consolidation and maintenance, or no further therapy. The group receiving treatment during CR showed 24% probability of remissions at 4 years v 0% probability of remissions in the untreated group. Between the different post-remission protocols, no significant differences were observed. Remission duration was not influenced by age, WBC, or morphologic cell type, but was longer in patients achieving CR within 30 days (P = .017). In the subsequent 1982 study, 145 patients in CR were randomized for TAD9 consolidation with or without monthly maintenance. The updated life-table analysis revealed a predicted rate of continuous remission at 2 1/2 years of 30% for the maintenance and 17% for the nonmaintenance arm (P = .003). These results of response and remission duration in adult patients of all ages support the validity of intensified induction therapy and of consequent myelosuppressive treatment in remission.","['Buchner, T', 'Urbanitz, D', 'Hiddemann, W', 'Ruhl, H', 'Ludwig, W D', 'Fischer, J', 'Aul, H C', 'Vaupel, H A', 'Kuse, R', 'Zeile, G']","['Buchner T', 'Urbanitz D', 'Hiddemann W', 'Ruhl H', 'Ludwig WD', 'Fischer J', 'Aul HC', 'Vaupel HA', 'Kuse R', 'Zeile G', 'et al.']",['eng'],,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['04079A1RDZ (Cytarabine)', 'FTK8U1GZNX (Thioguanine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Actuarial Analysis', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Clinical Trials as Topic', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Germany, West', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Middle Aged', 'Pilot Projects', 'Random Allocation', 'Thioguanine/administration & dosage', 'Time Factors']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1200/JCO.1985.3.12.1583 [doi]'],ppublish,J Clin Oncol. 1985 Dec;3(12):1583-9. doi: 10.1200/JCO.1985.3.12.1583.,,,,,,,,
3906047,NLM,MEDLINE,19860116,20170210,0732-183X (Print) 0732-183X (Linking),3,12,1985 Dec,Post-remission therapy in acute myeloid leukemia.,1570-2,,"['Bloomfield, C D']",['Bloomfield CD'],['eng'],,"['Clinical Trial', 'Editorial']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Clinical Trials as Topic', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Middle Aged', 'Prognosis']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1200/JCO.1985.3.12.1570 [doi]'],ppublish,J Clin Oncol. 1985 Dec;3(12):1570-2. doi: 10.1200/JCO.1985.3.12.1570.,,,,,,,,
3906000,NLM,MEDLINE,19851226,20170410,0037-1017 (Print) 0037-1017 (Linking),57,7,1985 Jul,[Cell growth inhibition by prostaglandins and its action mechanism].,578-93,,"['Narumiya, S', 'Kato, T', 'Fukushima, M']","['Narumiya S', 'Kato T', 'Fukushima M']",['jpn'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Japan,Seikagaku,Seikagaku. The Journal of Japanese Biochemical Society,0413564,"['0 (Prostaglandins A)', '0 (Prostaglandins D)', '0 (Prostaglandins E)', '9007-49-2 (DNA)', 'F5TD010360 (Alprostadil)', 'K7Q1JQR04M (Dinoprostone)', 'RXY07S6CZ2 (Prostaglandin D2)']",IM,"['Alprostadil/physiology', 'Animals', 'Cell Cycle', 'Cell Division', 'Cell Line', 'Cells, Cultured', 'Chemical Phenomena', 'Chemistry', 'DNA/biosynthesis', 'Dinoprostone', 'Humans', 'Leukemia L1210/*pathology', 'Melanoma/*pathology', 'Prostaglandin D2', 'Prostaglandins A/physiology', 'Prostaglandins D/metabolism/pharmacology/*physiology', 'Prostaglandins E/physiology']",1985/07/01 00:00,1985/07/01 00:01,['1985/07/01 00:00'],"['1985/07/01 00:00 [pubmed]', '1985/07/01 00:01 [medline]', '1985/07/01 00:00 [entrez]']",,ppublish,Seikagaku. 1985 Jul;57(7):578-93.,,,,60,,,,
3905996,NLM,MEDLINE,19860116,20071115,0737-1454 (Print) 0737-1454 (Linking),3,6,1985 Nov,Differentiation of leukemic cell lines: a review focusing on murine erythroleukemia and human HL-60 cells.,349-66,"Several acute leukemia cell lines respond to chemical or pharmacologic inducing agents by undergoing variable degrees of differentiation. This review focuses on the manner in which murine erythroleukemia (MEL) and HL-60 cells can be induced to differentiate into virtually fully mature erythroid cells and mature granulocytes or macrophages respectively. In this process the cells undergo irreversible ""commitment"" to terminal differentiation which is followed by loss of proliferative capacity and alterations in the expression of genes whose products are related to specific aspects of cell maturation in the corresponding cell pathways.","['Tsiftsoglou, A S', 'Robinson, S H']","['Tsiftsoglou AS', 'Robinson SH']",['eng'],,"['Journal Article', 'Review']",United States,Int J Cell Cloning,International journal of cell cloning,8308172,,IM,"['Animals', 'Cell Differentiation', 'Cell Line', '*Erythropoiesis', 'Gene Expression Regulation', 'Granulocytes/cytology', 'Hematopoiesis', 'Humans', 'Leukemia, Erythroblastic, Acute/*pathology', 'Leukemia, Myeloid, Acute/*pathology', 'Macrophages/cytology', 'Mice', 'Time Factors']",1985/11/01 00:00,1985/11/01 00:01,['1985/11/01 00:00'],"['1985/11/01 00:00 [pubmed]', '1985/11/01 00:01 [medline]', '1985/11/01 00:00 [entrez]']",['10.1002/stem.5530030602 [doi]'],ppublish,Int J Cell Cloning. 1985 Nov;3(6):349-66. doi: 10.1002/stem.5530030602.,,,,91,,,,
3905982,NLM,MEDLINE,19851230,20190511,0022-1899 (Print) 0022-1899 (Linking),152,6,1985 Dec,Infection with varicella-zoster virus after marrow transplantation.,1172-81,"Infection with varicella-zoster virus (VZV) occurred in 231 (16.6%) of 1,394 patients undergoing marrow transplantation in Seattle, Washington, between 1969 and 1982. The probability of VZV infection was 30% by one year after transplant. Eighty percent of infections occurred within the first nine months after transplant, and of these cases 45% had cutaneous or visceral dissemination. Twenty-three deaths were associated with VZV infection, all within the initial nine months after transplant. Postherpetic neuralgia, scarring, and bacterial superinfection were also significantly more frequent among patients with VZV in the first nine months after transplant (32%) than among patients with later infection (19%; P less than .05). By multivariate analysis, allogeneic transplant, acute or chronic graft-vs.-host disease, patient age between 10 and 29 years, diagnosis other than chronic myelogenous leukemia, and posttransplant use of antithymocyte globulin were each risk factors for VZV infection. Among infected patients, the only significant risk factor for VZV dissemination or death was acute graft-vs.-host disease (P less than .03 and P less than .0002, respectively.","['Locksley, R M', 'Flournoy, N', 'Sullivan, K M', 'Meyers, J D']","['Locksley RM', 'Flournoy N', 'Sullivan KM', 'Meyers JD']",['eng'],"['CA-15704/CA/NCI NIH HHS/United States', 'CA-18029/CA/NCI NIH HHS/United States', 'CA-18221/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Infect Dis,The Journal of infectious diseases,0413675,,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/complications/therapy', '*Bone Marrow Transplantation', 'Chickenpox/*etiology/mortality', 'Child', 'Child, Preschool', 'Female', 'Herpes Zoster/*etiology/mortality', 'Humans', 'Leukemia/complications/therapy', 'Male', 'Middle Aged', 'Postoperative Complications', 'Recurrence', 'Risk', 'Statistics as Topic', 'Time Factors']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1093/infdis/152.6.1172 [doi]'],ppublish,J Infect Dis. 1985 Dec;152(6):1172-81. doi: 10.1093/infdis/152.6.1172.,,,,,,,,
3905687,NLM,MEDLINE,19860110,20061115,0251-1789 (Print) 0251-1789 (Linking),5,6,1985,Tumor cell metastasis and surface neutral proteinase: effects of antimetastatic and antitumor drugs.,336-43,"The levels of a trypsin-like neutral proteinase present on tumor cell surface (SNP) have been determined in P388, L1210, TLX5 leukemias, and in two lines of Lewis lung carcinoma having different metastatic potential. No correlation between metastatic potential and SNP levels of the tumor lines examined has been observed, and metastasis depression by antimetastatic and antineoplastic drugs was not accompanied by SNP inhibition. These data seem to support the view that metastatic potential is not necessarily related to tumor proteinase levels.","['Giraldi, T', 'Sava, G', 'Perissin, L', 'Zorzet, S', 'Decorti, G', 'Steven, F S']","['Giraldi T', 'Sava G', 'Perissin L', 'Zorzet S', 'Decorti G', 'Steven FS']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Invasion Metastasis,Invasion & metastasis,8202435,"['0 (Antineoplastic Agents)', 'EC 3.4.- (Endopeptidases)', 'EC 3.4.24.11 (Neprilysin)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Carcinoma, Ehrlich Tumor/enzymology', 'Endopeptidases/*analysis', 'Female', 'Leukemia L1210/enzymology', 'Leukemia P388/enzymology', 'Mice', 'Mice, Inbred Strains', '*Neoplasm Metastasis', 'Neoplasms, Experimental/*enzymology', 'Neprilysin']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Invasion Metastasis. 1985;5(6):336-43.,,,,,,,,
3905679,NLM,MEDLINE,19860122,20160422,0020-9554 (Print) 0020-9554 (Linking),26,9,1985 Sep,[Cyclosporin in allogeneic bone marrow transplantation].,569-74,,"['Klingemann, H G', 'Storb, R']","['Klingemann HG', 'Storb R']",['ger'],"['CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'CA 30924/CA/NCI NIH HHS/United States', 'etc.']","['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Internist (Berl),Der Internist,0264620,"['0 (Cyclosporins)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Anemia, Aplastic/surgery', 'Bone Marrow/immunology', '*Bone Marrow Transplantation', 'Cyclosporins/adverse effects/*therapeutic use', 'Drug Therapy, Combination', 'Graft vs Host Disease/drug therapy/immunology', 'Humans', 'Leukemia, Myeloid/surgery', 'Leukemia, Myeloid, Acute/surgery', 'Methotrexate/therapeutic use', 'Transplantation Immunology/*drug effects']",1985/09/01 00:00,1985/09/01 00:01,['1985/09/01 00:00'],"['1985/09/01 00:00 [pubmed]', '1985/09/01 00:01 [medline]', '1985/09/01 00:00 [entrez]']",,ppublish,Internist (Berl). 1985 Sep;26(9):569-74.,,Ciclosporin in der allogenen Knochenmark-Transplantation.,,,,,,
3905610,NLM,MEDLINE,19860122,20210526,0019-9567 (Print) 0019-9567 (Linking),50,3,1985 Dec,Cloning and expression of the leukotoxin gene of Pasteurella haemolytica A1 in Escherichia coli K-12.,667-71,"A clone bank of Pasteurella haemolytica A1 was constructed by partial digestion of the genomic DNA with Sau3A and ligation of 5- to 10-kilobase-pair fragments into the BamHI site of the plasmid vector pBR322. After transformation into Escherichia coli K-12, a total of 4 X 10(3) recombinant clones was obtained. These were screened for the production of P. haemolytica soluble antigens by a colony enzyme-linked immunosorbent assay blot method with a rabbit antiserum raised against the soluble antigens. The clones producing P. haemolytica soluble antigens were then analyzed for the production of the leukotoxin by a cytotoxicity assay with cells from a bovine leukemia-derived B-lymphocyte cell line as the target cells. Positive clones were identified, and subsequent restriction analysis of the recombinant plasmids showed that the same 6.3 kilobase pairs of insert DNA was cloned in either of the two orientations into the plasmid vector pBR322. One of the clones was selected for further characterization of the leukotoxin as produced in E. coli. Tests for heat lability and target cell species specificity with canine, porcine, and human peripheral blood lymphocytes indicated that the activity of the cloned leukotoxin was identical to that of the P. haemolytica leukotoxin. Furthermore, the E. coli-produced leukotoxin was also neutralized by bovine or rabbit antiserum known to have antitoxic activity. When cellular proteins from the E. coli clones were subjected to sodium dodecyl sulfate-polyacrylamide gel electrophoresis and Western blot analysis, a 100,000-dalton protein was identified which corresponded to one of the soluble antigens found in the leukotoxic culture supernatant of P. haemolytica. These results demonstrated that the gene(s) for the P. haemolytica leukotoxin have been cloned and that the leukotoxin was expressed in E. coli.","['Lo, R Y', 'Shewen, P E', 'Strathdee, C A', 'Greer, C N']","['Lo RY', 'Shewen PE', 'Strathdee CA', 'Greer CN']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Infect Immun,Infection and immunity,0246127,"['0 (Exotoxins)', '0 (leukotoxin)']",IM,"['Animals', '*Cloning, Molecular', 'Electrophoresis, Polyacrylamide Gel', 'Escherichia coli/*genetics', 'Exotoxins/analysis/*genetics', 'Molecular Weight', 'Pasteurella/*genetics/pathogenicity', 'Plasmids', 'Rabbits']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1128/iai.50.3.667-671.1985 [doi]'],ppublish,Infect Immun. 1985 Dec;50(3):667-71. doi: 10.1128/iai.50.3.667-671.1985.,PMC261130,,,,,,,
3905592,NLM,MEDLINE,19860103,20151119,0300-5038 (Print) 0300-5038 (Linking),,60,1985,Advanced stage (III-IV) Burkitt's lymphoma and B-cell acute lymphoblastic leukaemia in children: kinetic and pharmacologic rationale for treatment and recent results (1979-1983).,405-18,"Since 1979, we have treated a total of 29 children with advanced-stage B-cell tumours (diffuse undifferentiated, small non-cleaved cells): 18 stage III and three stage IV, according to a clinical staging classification (Murphy, 1980), and eight with B-cell acute lymphoblastic leukaemia (B-ALL). Treatment has been based upon appreciation of rapid tumour growth kinetics and has consisted of high-dose fractionated cyclophosphamide courses, vincristine, adriamycin and infusions of cytosine arabinoside (Ara-C) with intrathecal chemotherapy. The first 12 patients (1979-1981) received, in addition, superfractionated radiotherapy (twice a day) to the involved field (22.5 Gy) and the craniospinal axis (18 Gy). Since January 1981, radiation therapy has been omitted, and subsequent patients have received the same agents as above plus high doses of methotrexate coordinated with the escalating doses of Ara-C infusions. Toxicity has consisted mainly of universal, severe but reversible haematopoietic suppression with attendant febrile episodes. Complete-remission rate for all 29 patients has been 86%, with three early failures due to progressive disease and one death from infection. Overall disease-free survival for children with stage III disease has been excellent (78%). Initial involvement of central nervous system (CNS) and/or marrow is grave: none of three patients with stage IV lymphoma and only one of eight with B-ALL is surviving off therapy without evidence of disease, suggesting a need for alternative therapies for these cases. Results are significantly better than our historical institutional experience.","['Murphy, S B', 'Bowman, W P', 'Hustu, H O', 'Berard, C W']","['Murphy SB', 'Bowman WP', 'Hustu HO', 'Berard CW']",['eng'],['CA21765/CA/NCI NIH HHS/United States'],"['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",France,IARC Sci Publ,IARC scientific publications,8009542,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'B-Lymphocytes', 'Burkitt Lymphoma/*drug therapy/pathology/*radiotherapy', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphoid/*drug therapy/pathology/*radiotherapy', 'Male', 'Neoplasm Staging', 'Vincristine/administration & dosage']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,IARC Sci Publ. 1985;(60):405-18.,,,,,,,,
