PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC
1054532,NLM,MEDLINE,19750602,20190622,0065-2598 (Print) 0065-2598 (Linking),53,,1975,Ribonucleases in mouse ascitic tumor cells during ageing in vivo and in vitro.,521-7,"Ribonuclease activities have been determined in cell extracts of mouse L5178Y lymphoma grown in vivo and in vitro. From the obtained results it follows that the level of studied enzymes changes in both systems during ageing of the cells. Moreover, when lymphoma cells are cultured in vitro a marked decrease in specific activity of alkaline ribonuclease II is observed.","['Horakova, K']",['Horakova K'],['eng'],['Journal Article'],United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['*Aging', 'Animals', '*Cell Biology', '*Cell Line', '*Cell Survival', 'Leukemia, Experimental', 'Leukemia, Lymphoid/*enzymology', 'Mice', 'Ribonucleases/*metabolism']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1007/978-1-4757-0731-1_44 [doi]'],ppublish,Adv Exp Med Biol. 1975;53:521-7. doi: 10.1007/978-1-4757-0731-1_44.,,['EC 3.1.- (Ribonucleases)'],
1054531,NLM,MEDLINE,19750602,20190622,0065-2598 (Print) 0065-2598 (Linking),53,,1975,Heritable cell cycle disturbances and late recovery in x-irradiated murine lymphoma L5178Y-S cell populations in vitro.,497-509,"1. Ionizing radiation can induce in mammalian cells, besides the lethal effects, also heritable damages which retard cell cycle traverse for considerable humber of cell generationsl 2. Radiation-induced heritable lesions in murine leukaemic lymphoblasts L5178Y-S affect progesssion of the cells through the G2 phase of the cell cycle. 3. Late recovery of proliferative activity which must be connected with elimination of the G2 block is a common phenomenon in the heritably damaged L5178Y-S sublines derived from single cells. 4. A possibility should be taken into consideration of employing the cells heritably damaged by radiation as convenient models for studies on some disturbances which accompany ageing of the mammalian cells. 5. It seems that results of studies on both the cells heritably damaged by radiation and the ageing cells could be useful for evaluation of possibilities of prevention, control or elimination of the heritable cell cycle disturbances.","['Beer, J Z', 'Szumiel, I']","['Beer JZ', 'Szumiel I']",['eng'],['Journal Article'],United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['Animals', 'Autoradiography', '*Cell Biology', '*Cell Line', '*Cell Survival/radiation effects', 'In Vitro Techniques', 'Leukemia, Lymphoid', 'Mice', '*Mitosis', 'Models, Biological', '*Radiation Effects', 'Time Factors']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1007/978-1-4757-0731-1_42 [doi]'],ppublish,Adv Exp Med Biol. 1975;53:497-509. doi: 10.1007/978-1-4757-0731-1_42.,,,
1054530,NLM,MEDLINE,19750602,20190622,0065-2598 (Print) 0065-2598 (Linking),53,,1975,Cytochemical and cytogenetic findings in five human leukocyte long-term cultures (LAHL) of different origin.,193-205,"Five human leukocyte long-term suspension cultures were investigated by means of cytochemical and cytogenetic methods. A striking resemblance in the morphology of these cells originating either from peripheral blood or from spleen of patients with or without hematological disorders was found. Lymphocytic origin of all five cultures is suspected. In the three cultures a diploid karyotype was found with some aberrations. In one culture, derived from the spleen of a patient with panmyelopathy the mosaic 45 XX C -/46 XX was detected. Anomalies of C group chromosomes were the most consistent type of chromosome aberrations in two lines. Both were EBV positive.","['Possnerova, V', 'Macek, M', 'Hermansky, F', 'Fortynova, J', 'Jenik, S', 'Holy, J', 'Krecek, M']","['Possnerova V', 'Macek M', 'Hermansky F', 'Fortynova J', 'Jenik S', 'Holy J', 'Krecek M']",['eng'],"['Comparative Study', 'Journal Article']",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['Acid Phosphatase/metabolism', 'Adult', 'Alkaline Phosphatase/metabolism', 'Anemia, Hemolytic', 'Autoradiography', '*Cell Line', '*Chromosome Aberrations', 'Esterases/metabolism', 'Histocytochemistry', 'Humans', 'L-Lactate Dehydrogenase/metabolism', 'Leukemia, Myeloid', 'Leukemia, Myeloid, Acute', '*Leukocytes/enzymology/metabolism', 'Middle Aged', 'Peroxidases/metabolism', 'RNA/metabolism', 'Spleen', 'Thymidine/metabolism', 'Time Factors', 'Tritium']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1007/978-1-4757-0731-1_15 [doi]'],ppublish,Adv Exp Med Biol. 1975;53:193-205. doi: 10.1007/978-1-4757-0731-1_15.,,"['10028-17-8 (Tritium)', '63231-63-0 (RNA)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 1.11.1.- (Peroxidases)', 'EC 3.1.- (Esterases)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'VC2W18DGKR (Thymidine)']",
1054527,NLM,MEDLINE,19750527,20161123,0041-5782 (Print) 0041-5782 (Linking),137,2,1975 Jan 6,[Letter: Treatment of children with leukemia in the USA].,92-3,,"['Cohn, J']",['Cohn J'],['dan'],['Journal Article'],Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,IM,"['Antineoplastic Agents/*therapeutic use', 'Asparaginase/therapeutic use', 'Child', 'Cyclophosphamide/therapeutic use', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Doxorubicin/therapeutic use', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Lymphoid/diagnostic imaging/*drug therapy', 'Methotrexate/therapeutic use', 'Prednisone/therapeutic use', 'Radiography', 'United States', 'Vincristine/therapeutic use']",1975/01/06 00:00,1975/01/06 00:01,['1975/01/06 00:00'],"['1975/01/06 00:00 [pubmed]', '1975/01/06 00:01 [medline]', '1975/01/06 00:00 [entrez]']",,ppublish,Ugeskr Laeger. 1975 Jan 6;137(2):92-3.,Behandling af leukaemiske b0rn i USA,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",
1054522,NLM,MEDLINE,19750609,20061115,0033-8419 (Print) 0033-8419 (Linking),115,1,1975 Apr,Erythroleukemia following total-body irradiation for advanced lymphocytic lymphoma.,179-80,A patient with advanced lymphocytic lymphoma received treatment with total-body irradiation. Two years later acute erythroleukemia developed which proved fatal. Previous experience with total-body irradiation is considered and the relationship between radiation exposure and leukemia discussed.,"['Rappaport, A H', 'Cohen, R J', 'Castro, J R']","['Rappaport AH', 'Cohen RJ', 'Castro JR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Radiology,Radiology,0401260,IM,"['Aged', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/blood/*etiology/pathology', 'Lymphoma, Non-Hodgkin/*radiotherapy', 'Radiotherapy/*adverse effects']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",['10.1148/115.1.179 [doi]'],ppublish,Radiology. 1975 Apr;115(1):179-80. doi: 10.1148/115.1.179.,,,
1054520,NLM,MEDLINE,19750607,20131121,0033-7587 (Print) 0033-7587 (Linking),62,1,1975 Apr,Effects of ionizing radiation on DNA replication in cultured mammalian cells.,37-51,,"['Makino, F', 'Okada, S']","['Makino F', 'Okada S']",['eng'],['Journal Article'],United States,Radiat Res,Radiation research,0401245,IM,"['Animals', 'Cell Line', 'Cells, Cultured/radiation effects', 'Centrifugation, Zonal', 'Cesium Isotopes', 'DNA Replication/*radiation effects', 'Dose-Response Relationship, Radiation', 'Gamma Rays', 'Leukemia, Lymphoid', 'Mice', '*Radiation Effects', 'Thymidine', 'Tritium']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",,ppublish,Radiat Res. 1975 Apr;62(1):37-51.,,"['0 (Cesium Isotopes)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",
1054519,NLM,MEDLINE,19750607,20071115,0033-7587 (Print) 0033-7587 (Linking),62,1,1975 Apr,Serum immunoglobulin levels in humans exposed to therapeutic total-body gamma irradiation.,144-145,,"['Chaskes, S', 'Kingdon, G C', 'Balish, E']","['Chaskes S', 'Kingdon GC', 'Balish E']",['eng'],['Journal Article'],United States,Radiat Res,Radiation research,0401245,IM,"['Cesium Isotopes/therapeutic use', 'Cobalt Radioisotopes/therapeutic use', 'Gamma Rays', 'Hodgkin Disease/immunology/*radiotherapy', 'Humans', 'Immunoglobulin A/analysis', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Immunoglobulins/*analysis', 'Leukemia/immunology/*radiotherapy', 'Leukemia, Lymphoid/immunology/radiotherapy', 'Leukemia, Myeloid/immunology/radiotherapy', 'Megakaryocytes', 'Polycythemia Vera/immunology/*radiotherapy', 'Radioisotope Teletherapy']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",,ppublish,Radiat Res. 1975 Apr;62(1):144-145.,,"['0 (Cesium Isotopes)', '0 (Cobalt Radioisotopes)', '0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Immunoglobulins)']",
1054516,NLM,MEDLINE,19750611,20190501,0027-8424 (Print) 0027-8424 (Linking),72,1,1975 Jan,Sulfhydryl dependence in primary explant hematopoietic cells. Inhibition of growth in vitro with vitamin B12 compounds.,73-7,"Primary explants of P388, EL-4, and L1210 murine leukemia cells and of normal mouse bone marrow are shown to require sulfhydryl compounds for proliferation in vitro. Nine extablished cell lines show no stimulation by these compounds. Leukemia cells can lose the sulfhydryl dependence after various periods of adaptation to in vitro culture. Various sulfhydryl compounds have widely differing potencies in promoting in vitro proliferation of dependent cells. The effect appears to be specific for sulfhydryl groups in the reduced form. Vitamin B12 compounds inhibit the growth of sulfhydryl-requiring cells, apparently by catalyzing the oxidation of the sulfhydryl groups.","['Toohey, J I']",['Toohey JI'],['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Cell Division/drug effects', 'Cell Line', 'Cell Survival/drug effects', 'Cells, Cultured/*drug effects', 'Disulfides/metabolism', 'Fibroblasts/metabolism', 'Hematopoietic Stem Cells/*drug effects', 'Leukemia L1210/metabolism', 'Leukemia, Experimental/*metabolism', 'Mammary Neoplasms, Experimental/metabolism', 'Mice', 'Mice, Inbred DBA', 'Oxidation-Reduction', 'Sulfhydryl Compounds/*pharmacology', 'Vitamin B 12/*pharmacology']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1073/pnas.72.1.73 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1975 Jan;72(1):73-7. doi: 10.1073/pnas.72.1.73.,,"['0 (Disulfides)', '0 (Sulfhydryl Compounds)', 'P6YC3EG204 (Vitamin B 12)']",PMC432243
1054505,NLM,MEDLINE,19750611,20190501,0027-8424 (Print) 0027-8424 (Linking),72,1,1975 Jan,Induction of erythroid differentiation by dimethylsulfoxide in cells infected with Friend virus: relationship to the cell cycle.,28-32,"Cells infected with Friend virus can be induced to erythroid differentiation by culture with 2% dimethylsulfoxide. This study was designed to determine if dimethylsulfoxide causes the expression of erythroid differentiation by an effect on a particular phase of the cell division cycle. The infected cells were synchronized by exposure to 2 mM thymidine. It is shown that dimethylsulfoxide must be present during DNA synthesis (S-phase) and, possibly, shortly thereafter, to induce differentiation assayed by measuring hemoglobin synthesis. In order to achieve an effective intracellular incorporation of dimethylsulfoxide, cells must be exposed to the agent for at least 24-30 hr before the critical S phase. It is suggested that induction of erythroid differentiation in cells infected with Friend virus involves an effect of dimethylsulfoxide, or a metabolic product, that alters the program of transcription, during or immediately after DNA synthesis.","['Levy, J', 'Terada, M', 'Rifkind, R A', 'Marks, P A']","['Levy J', 'Terada M', 'Rifkind RA', 'Marks PA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Cell Transformation, Neoplastic', '*Cells, Cultured', 'DNA/biosynthesis', 'Dimethyl Sulfoxide/metabolism/*pharmacology', '*Erythropoiesis', '*Friend murine leukemia virus', 'Hemoglobins/*biosynthesis', 'Thymidine/metabolism']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1073/pnas.72.1.28 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1975 Jan;72(1):28-32. doi: 10.1073/pnas.72.1.28.,,"['0 (Hemoglobins)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",PMC432233
1054491,NLM,MEDLINE,19750611,20190501,0027-8424 (Print) 0027-8424 (Linking),72,1,1975 Jan,Nonrandom chromosomal abnormalities in hematologic disorders of man.,152-6,"A nonrandom pattern of chromosomal abnormalities occurs in bone marrow cells obtained from patients with hematologic disorders who have an abnormal karyotype involving a C group chromosome. An additional number 8 chromosome is the most common abnormality, found in more than one-half of the patients studies. An additional number 9 chromosome and the loss of all or part of a number 7 are abnormalities that occur more often than might be expected by chance. It is proposed that specific human chromosomal abnormalities may be related to different specific etiologic agents.","['Rowley, J D']",['Rowley JD'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Acute Disease', 'Anemia, Sideroblastic/genetics', 'Bone Marrow Cells', '*Chromosomes, Human, 6-12 and X', 'Hematologic Diseases/*genetics', 'Humans', 'Karyotyping', 'Leukemia/genetics', 'Leukemia, Myeloid/genetics', 'Polycythemia Vera/genetics', '*Trisomy']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1073/pnas.72.1.152 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1975 Jan;72(1):152-6. doi: 10.1073/pnas.72.1.152.,,,PMC432260
1054477,NLM,MEDLINE,19750606,20171116,0031-3939 (Print) 0031-3939 (Linking),50,3,1975 Mar,[Current methods of treatment of acute lymphoblastic leukemia in children].,383-8,,"['Armata, J', 'Bogusllawska-Jaworska, J']","['Armata J', 'Bogusllawska-Jaworska J']",['pol'],['Journal Article'],Poland,Pediatr Pol,Pediatria polska,2985039R,IM,"['Acute Disease', 'Age Factors', 'Animals', 'Antineoplastic Agents/pharmacology', 'Asparaginase/therapeutic use', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Lymphoid/drug therapy/radiotherapy/*therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Mitosis/drug effects', 'Neutropenia/complications', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Vincristine/therapeutic use']",1975/03/01 00:00,1975/03/01 00:01,['1975/03/01 00:00'],"['1975/03/01 00:00 [pubmed]', '1975/03/01 00:01 [medline]', '1975/03/01 00:00 [entrez]']",,ppublish,Pediatr Pol. 1975 Mar;50(3):383-8.,Wspolczesne metody leczenia ostrej bialaczki limfoblastycznej u dzieci,"['0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",
1054476,NLM,MEDLINE,19750612,20091021,0030-6002 (Print) 0030-6002 (Linking),116,16,1975 Apr 20,[Cytogenetic studies in chronic myeloid leukemia].,918-24,,"['Balazs, C', 'Bobory, J', 'Nagy, G', 'Petranyi, G']","['Balazs C', 'Bobory J', 'Nagy G', 'Petranyi G']",['hun'],['Journal Article'],Hungary,Orv Hetil,Orvosi hetilap,0376412,IM,"['Cytogenetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Precancerous Conditions/genetics', 'Sex Chromosomes/analysis']",1975/04/20 00:00,1975/04/20 00:01,['1975/04/20 00:00'],"['1975/04/20 00:00 [pubmed]', '1975/04/20 00:01 [medline]', '1975/04/20 00:00 [entrez]']",,ppublish,Orv Hetil. 1975 Apr 20;116(16):918-24.,Cytogenetikai vizsgalatok chronicus myeloid leukaemiaban,,
1054319,NLM,MEDLINE,19750602,20151119,0016-5085 (Print) 0016-5085 (Linking),68,1,1975 Jan,Serial studies of hepatitis-associated antigen and antibody in patients receiving antitumor chemotherapy for myeloproliferative and lymphoproliferative disorders.,105-12,"The effects of antitumor chemotherapeutic agents on hepatitis B antigen (HBAg) and antibody (HBAb) were studied serially in 25 patients with myeloproliferative and in 60 patients with lymphoproliferative disorders. HBAg was detected at some time in 17 patients, and HBAb in 40 patients. Seventeen patients who had HBAb detected immediately pretreatment had a decrease in HBAb titer which paralleled the fall in white blood cell count. In 5 of these patients, HBAg appeared when HBAb titers fell. In 3 of the 5 patients, a reappearance of HBAb was observed with disappearance of HBAg from the serum, and in the 2 other patients HBAg persisted once it appeared. In all 3 patients who had HBAg at the time of initiation of chemotherapy, bone marrow suppression was associated with a marked increase in HBAg titer. The increase in HBAg titer was associated with hepatocellular damage, as manifested by an elevation in serum transaminase enzymes. These observations suggest that antitumor chemotherapeutic agents reduce HBAb titers. In some patients, HBAg appears after a decrease in HBAb titers. In patients with preexisting HBAg, such therapy leads to large increases in HBAg titer. Whether this appearance or increase of HBAg is related to an inhibition of antibody formation, allowing expression of preexisting antigen, or to an inhibition of cellular immunity, allowing viral proliferation, is uncertain.","['Wands, J R', 'Chura, C M', 'Roll, F J', 'Maddrey, W C']","['Wands JR', 'Chura CM', 'Roll FJ', 'Maddrey WC']",['eng'],['Journal Article'],United States,Gastroenterology,Gastroenterology,0374630,IM,"['Adolescent', 'Adult', '*Antibodies, Viral', 'Antineoplastic Agents/*therapeutic use', 'Cyclophosphamide/pharmacology/therapeutic use', 'Cytarabine/pharmacology/therapeutic use', 'Daunorubicin/pharmacology/therapeutic use', '*Hepatitis B Antigens', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Methotrexate/pharmacology/therapeutic use', 'Middle Aged', 'Multiple Myeloma/*drug therapy', 'Myeloproliferative Disorders/*drug therapy', 'Prednisone/pharmacology/therapeutic use', 'Procarbazine/pharmacology/therapeutic use', 'Vincristine/pharmacology/therapeutic use']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['S0016508575000005 [pii]'],ppublish,Gastroenterology. 1975 Jan;68(1):105-12.,,"['0 (Antibodies, Viral)', '0 (Antineoplastic Agents)', '0 (Hepatitis B Antigens)', '04079A1RDZ (Cytarabine)', '35S93Y190K (Procarbazine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",
1054307,NLM,MEDLINE,19750606,20061115,0015-5314 (Print) 0015-5314 (Linking),68,3,1975 Mar,[Histological study of oral changes in mice with Rauscher leukemia].,65-7,,"['Strobl, I', 'Toth, F']","['Strobl I', 'Toth F']",['hun'],"['English Abstract', 'Journal Article']",Hungary,Fogorv Sz,Fogorvosi szemle,0374613,IM,"['Animals', 'Leukemia, Experimental/*pathology', 'Mice', 'Mice, Inbred BALB C', 'Mouth Mucosa/pathology', 'Oral Manifestations/*pathology']",1975/03/01 00:00,1975/03/01 00:01,['1975/03/01 00:00'],"['1975/03/01 00:00 [pubmed]', '1975/03/01 00:01 [medline]', '1975/03/01 00:00 [entrez]']",,ppublish,Fogorv Sz. 1975 Mar;68(3):65-7.,Rauscher-leukaemias egerek szajelvasainak szovettani vizsgalata,,
1054305,NLM,MEDLINE,19750602,20191021,0301-0538 (Print) 0301-0538 (Linking),48,3,1975 Mar,Altered membrane sodium transport and the presence of a plasma ouabain-like inhibitory factor in acute myeloid leukaemia.,213-8,"1. Sodium transport studies were performed in erythrocytes from normal subjects and from patients with acute myeloid leukaemia. Sodium influx and efflux rates were increased in erythrocytes from leukaemic patients. 2. The ouabain-sensitive component of sodium efflux was increased in leukaemic erythrocytes. 3. The high sodium efflux from leukaemic erythrocytes was decreased when the incubation media contained leukaemic plasma, suggesting the presence of an ouabain-like factor in the plasma. Paired experiments failed to show the presence of a similar factor in normal plasma. 4. Leukaemic erythrocytes showed a significantly greater ouabain uptake than the normal cells. 5. The results are discussed in relation to the wide-spread electrolyte disturbances in acute myeloid leukaemia.","['Mir, M A', 'Bobinski, H']","['Mir MA', 'Bobinski H']",['eng'],['Journal Article'],England,Clin Sci Mol Med,Clinical science and molecular medicine,0367540,IM,"['Binding Sites', 'Biological Transport, Active', 'Cell Membrane/*drug effects/*metabolism', 'Erythrocytes/drug effects/*metabolism', 'Humans', 'Kinetics', 'Leukemia, Myeloid/*metabolism', 'Ouabain/metabolism/*pharmacology', 'Plasma/*physiology', 'Receptors, Drug', 'Sodium/*blood']",1975/03/01 00:00,1975/03/01 00:01,['1975/03/01 00:00'],"['1975/03/01 00:00 [pubmed]', '1975/03/01 00:01 [medline]', '1975/03/01 00:00 [entrez]']",['10.1042/cs0480213 [doi]'],ppublish,Clin Sci Mol Med. 1975 Mar;48(3):213-8. doi: 10.1042/cs0480213.,,"['0 (Receptors, Drug)', '5ACL011P69 (Ouabain)', '9NEZ333N27 (Sodium)']",
1054289,NLM,MEDLINE,19750607,20171116,0008-5472 (Print) 0008-5472 (Linking),35,4,1975 Apr,Drug therapy against a transplantable guinea pig leukemia.,1093-8,"The effects of six clinically active drugs were tested against a ttansplantable leukemia in inbred strain 2 guinea pigs. Cytoxan and 6-mercaptopurine were found to elicit a therqeutic response against this leukemia based on complete tumor regression of the established tumor as well as a substantial increase in survival time. Animals dying in the untreated control and drug-treated groups revealed typical generalized lymphoblastic leukemia. However, only Cytoxan-treated animals that had relapsed exhibited central nervous system involvement originating from the arachnoid membrane. A tow-drug combination of Cytoxan and 1-(2-chloroethyl)-3(trans-4-methylcyclohexyl)-1-nitrosourea was found not only to prevent meningeal leukemia development but also to result in ""curing"" all animals from their leukemia. This observation was based on a complete clinical, hematological, and histopathological ""remission"" period up to 176 days. The administration of 1-(2-chloroethyl)-3-(trans-4-methylcyclohexyl)-1-nitrosourea alone was observed not only to control the systemic leukemia but also to prevent central nervous system involvement. No relapses occurred after the first ""remission"" period was achieved in the groups of animals that received 1-(2-chloroethyl)-3-(trans-4-methylcyclohexyl)-1-nitrosourea.","['Pearson, J W', 'Perk, K', 'Chirigos, M A', 'Torgersen, J A']","['Pearson JW', 'Perk K', 'Chirigos MA', 'Torgersen JA']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Brain Neoplasms/drug therapy/prevention & control', 'Cyclohexanes/analogs & derivatives/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Drug Therapy, Combination', 'Guinea Pigs', 'Leukemia, Experimental/drug therapy', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Meninges', 'Mercaptopurine/therapeutic use', 'Neoplasm Transplantation', 'Nitrosourea Compounds/therapeutic use', 'Prednisolone/therapeutic use', 'Remission, Spontaneous', 'Vincristine/therapeutic use']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1975 Apr;35(4):1093-8.,,"['0 (Antineoplastic Agents)', '0 (Cyclohexanes)', '0 (Nitrosourea Compounds)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)']",
1054288,NLM,MEDLINE,19750607,20131121,0008-5472 (Print) 0008-5472 (Linking),35,4,1975 Apr,The mechanism of action of methotrexate in cultured L5178Y leukemia cells.,1085-92,"This study investigates the relationships between the methotrexate (MTX)-induced purineless state and thymineless state and between the thymineless state and the kill of L5178Y cells. As an index of the thymineless state, we measured the effect of MTX on conversion of deoxyuridylate to thymidylate. This was measured as the rate of incorporation of tritiated deoxyuridine into DNA, but it was corrected for changes in incorporation of tritiated thymidine. Thus we derived the ""calculated tritiated deoxyuridine rate."" During the MTX treatment, the calculated tritiated deoxyuridine rate decreased rapidly at first and then more slowly. The slow 2nd-phase block was not reversed by hypoxanthine. As the 2nd-phase block deepened, the lymphoblasts continued to die (loss of cloning ability) but recovered the ability to incorporate tritiated thymidine into DNA. After 7 hr of MTX treatment, the kinetics of the 2nd-phase block in calculated tritiated deoxyuridine rate correlated closely with the kinetics of cell kill. Thus, MTX may inhibit dihydrofolate reductase enzyme, rapidly deplete S-phase L5178Y of reduced folates, and thus produce a purineless and thymineless state. As treatment continues, MTX intensifies the thymineless state, possibly by direct inhibition of thymidylate synthetase enzyme, and the cells die predominantly a thymineless death. The purineless state initially contributes to cell kill but later does not, possibly because it partially reverses spontaneously.","['Hryniuk, W M']",['Hryniuk WM'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Cell Line', 'Cell Survival/drug effects', 'DNA, Neoplasm/biosynthesis', 'Deoxyuridine/metabolism', 'Hypoxanthines/pharmacology', 'Kinetics', 'Leukemia, Lymphoid/*metabolism', 'Methotrexate/*pharmacology', 'Mice', 'Models, Biological', 'Thymidine/metabolism', 'Time Factors']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1975 Apr;35(4):1085-92.,,"['0 (DNA, Neoplasm)', '0 (Hypoxanthines)', 'VC2W18DGKR (Thymidine)', 'W78I7AY22C (Deoxyuridine)', 'YL5FZ2Y5U1 (Methotrexate)']",
