PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,GR,CN,EIN,PMC,RF,CON,TT,CI,MID,CIN,SI,OID,LID,RIN,GN
17459529,NLM,MEDLINE,20080206,20151119,0223-5234 (Print) 0223-5234 (Linking),42,11-12,2007 Nov-Dec,Cytotoxic Mannich bases of 6-(3-aryl-2-propenoyl)-2(3H)-benzoxazolones.,1382-7,"['Ivanova, Y', 'Momekov, G', 'Petrov, O', 'Karaivanova, M', 'Kalcheva, V']","['Ivanova Y', 'Momekov G', 'Petrov O', 'Karaivanova M', 'Kalcheva V']",['eng'],['Journal Article'],20070312,France,Eur J Med Chem,European journal of medicinal chemistry,0420510,"['0 (Benzoxazoles)', '0 (Cytotoxins)', '0 (Mannich Bases)', '3X996Q809V (benzoxazolone)', '5S5A2Q39HX (Chalcone)']",IM,"['Animals', 'Apoptosis/drug effects/genetics', 'Benzoxazoles/*chemical synthesis/chemistry/*toxicity', 'Cell Line, Tumor', 'Chalcone/analogs & derivatives', 'Cytotoxins/chemical synthesis/*chemistry/*toxicity', 'DNA Fragmentation/drug effects', 'Mannich Bases/*chemistry/*toxicity', 'Mice', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma']",2007/04/27 09:00,2008/02/07 09:00,['2007/04/27 09:00'],"['2006/09/13 00:00 [received]', '2007/02/15 00:00 [revised]', '2007/02/26 00:00 [accepted]', '2007/04/27 09:00 [pubmed]', '2008/02/07 09:00 [medline]', '2007/04/27 09:00 [entrez]']","['S0223-5234(07)00116-X [pii]', '10.1016/j.ejmech.2007.02.019 [doi]']",ppublish,Eur J Med Chem. 2007 Nov-Dec;42(11-12):1382-7. doi: 10.1016/j.ejmech.2007.02.019. Epub 2007 Mar 12.,"A series of 12 new Mannich bases with chalcone core structure were synthesized as potential antineoplastic agents, via N-aminomethylation of two parent 6-(3-aryl-2-propenoyl)-2(3H)-benzoxazolones. The newly synthesized compounds as well as the chalcone prototypes were evaluated for cytotoxicity in the human pre-B-cell leukemia cell line BV-173 using the MTT-dye reduction assay. The tested compounds exhibited concentration-dependent cytotoxic effects at low micromolar concentrations. Ten of the Mannich bases characterized by significant activity in BV-173 were further evaluated against the chronic myeloid leukemia cell line K-562 and were found to suppress the growth of these cells at relatively higher concentrations as compared to the former tumor model. Selected Mannich bases induced programmed cell death in BV-173 at a concentration of 2.5muM as evidenced by the encountered DNA-laddering. Taken together our data suggest that the presented heterocyclic chalcone derived Mannich bases necessitate detailed pharmacological evaluation in order to define further the structure activity relationships, in a larger spectrum of tumor models and to elucidate the mechanisms implicated in the observed cytotoxic effects.","['University of Sofia St. Kliment Ohridski, Faculty of Chemistry, Department of Applied Organic Chemistry, 1 James Bourchier Avenue, 1164 Sofia, Bulgaria.']",,,,,,,,,,,,,,,
17459473,NLM,MEDLINE,20080303,20151119,0145-2126 (Print) 0145-2126 (Linking),32,1,2008 Jan,Transitory marrow aplasia during Imatinib therapy in a patient with chronic myeloid leukemia.,194-5,"['Cervetti, Giulia', 'Carulli, Giovanni', 'Galimberti, Sara', 'Azzara, Antonio', 'Buda, Gabriele', 'Orciuolo, Enrico', 'Pelosini, Matteo', 'Petrini, Mario']","['Cervetti G', 'Carulli G', 'Galimberti S', 'Azzara A', 'Buda G', 'Orciuolo E', 'Pelosini M', 'Petrini M']",['eng'],"['Case Reports', 'Letter']",20070424,England,Leuk Res,Leukemia research,7706787,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adult', 'Anemia, Aplastic/*chemically induced', 'Benzamides', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/*drug therapy', 'Male', 'Piperazines/*adverse effects', 'Pyrimidines/*adverse effects']",2007/04/27 09:00,2008/03/04 09:00,['2007/04/27 09:00'],"['2007/03/01 00:00 [received]', '2007/03/01 00:00 [revised]', '2007/03/02 00:00 [accepted]', '2007/04/27 09:00 [pubmed]', '2008/03/04 09:00 [medline]', '2007/04/27 09:00 [entrez]']","['S0145-2126(07)00106-3 [pii]', '10.1016/j.leukres.2007.03.016 [doi]']",ppublish,Leuk Res. 2008 Jan;32(1):194-5. doi: 10.1016/j.leukres.2007.03.016. Epub 2007 Apr 24.,,,,,,,,,,,,,,,,,
17459472,NLM,MEDLINE,20080129,20161124,0145-2126 (Print) 0145-2126 (Linking),31,11,2007 Nov,Limited antitumor-effect associated with toxicity of the experimental cytotoxic drug cyclopentenyl cytosine in NOD/scid mice with acute lymphoblastic leukemia.,1545-51,"['Schimmel, Kirsten J M', 'Nijmeijer, Bart A', 'van Schie, Marianke L J', 'Falkenburg, J H Frederik', 'Guchelaar, Henk-Jan']","['Schimmel KJ', 'Nijmeijer BA', 'van Schie ML', 'Falkenburg JH', 'Guchelaar HJ']",['eng'],['Journal Article'],20070424,England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '5CSZ8459RP (Cytidine)', '69MO0NDN8K (cyclopentenyl cytosine)']",IM,"['Animals', 'Antineoplastic Agents/*toxicity', 'Cytidine/*analogs & derivatives/toxicity', 'Humans', 'Karyotyping', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred NOD', 'Mice, SCID', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/*pathology']",2007/04/27 09:00,2008/01/30 09:00,['2007/04/27 09:00'],"['2006/11/29 00:00 [received]', '2007/03/13 00:00 [revised]', '2007/03/17 00:00 [accepted]', '2007/04/27 09:00 [pubmed]', '2008/01/30 09:00 [medline]', '2007/04/27 09:00 [entrez]']","['S0145-2126(07)00115-4 [pii]', '10.1016/j.leukres.2007.03.022 [doi]']",ppublish,Leuk Res. 2007 Nov;31(11):1545-51. doi: 10.1016/j.leukres.2007.03.022. Epub 2007 Apr 24.,"The experimental cytotoxic drug cyclopentenyl cytosine (CPEC) is a non-competitive inhibitor of the enzyme cytidine triphosphate (CTP) synthethase. We evaluated the in vitro and in vivo antitumor activity of CPEC on human acute lymphoblastic leukemia (ALL) cell lines. CPEC displayed anti-leukemic activity with IC50 (after 3 days of incubation) ranging from 6 to 15 nM. Subsequently the in vivo activity of CPEC against primary human ALL was evaluated in a xenogeneic model of human ALL using NOD/scid mice inoculated with primary human ALL cells. In the model, only a marginal anti-leukemic activity was observed at 1.5 mg kg(-1) (5 days per week) and 5 mg kg(-1) (2 days per week), however, this activity was associated with severe systemic toxicity. The observed toxicity was not specific for the NOD/scid model, as toxicity at comparable treatment intensity was also observed in Balb/c mice. In conclusion, although CPEC showed antitumor activity against human ALL cells in vitro, its activity in the in vivo human leukemia model was only marginal and accompanied by severe toxicity.","['Department of Clinical Pharmacy and Toxicology, Leiden University Medical Center, 2300 RC, Leiden, The Netherlands. k.j.m.schimmel@lumc.nl']",,,,,,,,,,['Leuk Res. 2008 Feb;32(2):201-2. PMID: 17681375'],,,,,
17459203,NLM,MEDLINE,20080818,20070426,0376-2491 (Print) 0376-2491 (Linking),87,8,2007 Feb 27,[Proteomics analysis of bone marrow cells of acute myeloid leukemia M2a and prognostic significance thereof].,538-41,"['Tian, Shuai', 'Meng, Fan-yi', 'Tang, Jia-ming']","['Tian S', 'Meng FY', 'Tang JM']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,,IM,"['Adolescent', 'Adult', 'Bone Marrow Cells/*metabolism', 'Electrophoresis, Gel, Two-Dimensional', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid, Acute/blood/diagnosis/*metabolism', 'Male', 'Middle Aged', 'Peptide Mapping', 'Prognosis', 'Proteomics/*methods', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization']",2007/04/27 09:00,2008/08/19 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2007/04/27 09:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 2007 Feb 27;87(8):538-41.,"OBJECTIVE: To investigate the relationship between the distinct expression of proteins in the leukemic cells of leukemia AML-M(2)a patients before inducible treatment and that of the patients with relapse and the prognosis by proteomics. METHODS: The bone marrow mononuclear cells (BMMNC) from 17 patients with leukemia AML-M(2)a before inductive treatment were divided into 3 groups according to the duration of CCR(1): Group A (n = 11) with the CCR(1) duration exceeding 12 months, Group B (n = 6) with the CCR(1) duration less than 6 months, and Group C, including the 3 cases of Group B with relapse. The proteins of the BMMNC were separated by two-dimensional electrophoresis, part of the differentially-expressed proteins were identified by matrix assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF-MS). RESULTS: 6 differentially-expressed proteins were identified between Groups A and B by MALDI-TOF-MS: tubulin-specific chaperone B, myeloperoxidase, the CH domain of human transgelin-2, glutathione S-transferase, zinc finger protein, and glyceraldehyde-3-phosphate dehydrogenase. Three differentially-expressed proteins were identified in Group C: NAD (P) H dehydrogenase, hypothetical protein, and HES1. CONCLUSION: The expression level of distinct proteins of leukemic cells of leukemia AML-M(2)a patients before inductive treatments is associated with the prognosis. The proteins of the BMMNC of the patients would change when relapse occurs.","['Department of Hematology, Nanfang Hospital, Southern Medical University, Guangzhou 510515, China.']",,,,,,,,,,,,,,,
17459202,NLM,MEDLINE,20080818,20070426,0376-2491 (Print) 0376-2491 (Linking),87,8,2007 Feb 27,[Identification of differentially expressed genes in familial acute myelogenous leukemia by suppression subtractive hybridization].,533-7,"['Zhang, Yi-wen', 'Wang, Shao-yuan', 'Lin, Xu', 'Wang, Cheng-yi']","['Zhang YW', 'Wang SY', 'Lin X', 'Wang CY']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,,IM,"['Acute Disease', 'Expressed Sequence Tags', 'Family Health', 'Female', '*Gene Expression Profiling', '*Gene Expression Regulation, Leukemic', 'Gene Library', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Molecular Sequence Data', 'Nucleic Acid Hybridization/*methods', 'Pedigree', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Analysis, DNA']",2007/04/27 09:00,2008/08/19 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2007/04/27 09:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 2007 Feb 27;87(8):533-7.,"OBJECTIVE: To isolate genes expressed differentially from the bone marrow cells of patients with familial acute myelocytic leukemia and to explain the molecular mechanisms of the disease at the gene level. METHODS: Bone marrow cells were obtained from a family with cases of familial acute myelocytic leukemia for successive 4 generations. Super SMART cDNA synthesis and suppression subtractive hybridization (SSH) were performed to set up a subtractive cDNA library of specially or highly expressed genes. The white clones were screened and identified by modified differential screening technique in which the probes were labeled with digoxin/deoxyuridine 5'-triphosphate. Positive clones were sequenced and compared with the known sequences in the public databases of GenBank/EMBL/DDBJ using NCBI BLAST for homology analysis. The unknown fragments were then submitted to GenBank. RESULTS: A subtractive library of differentially expressed genes for the family with cases of familial acute myelocytic leukemia was constructed successfully. After differential screening, 28 effective sequences were confirmed to be positive differentially expressed gene fragments and were submitted to GenBank for homology analysis. Then 17 sequences were identified as a part of known genes, and the rests were verified as unknown fragments. CONCLUSION: SSH is an effective approach to isolate differentially expressed genes. Some genes related to cell proliferation and differentiation has been acquired by SSH. Eleven novel expressed sequence tags related to library have been successfully isolated and accepted by GenBank.","['Department of Hematology, Union Hospital of Fujian Medical University, Fuzhou 350001, China.']",,,,,,,,,,,"['GENBANK/CV884199', 'GENBANK/CV884202', 'GENBANK/CV884203', 'GENBANK/CV973096', 'GENBANK/CV973097', 'GENBANK/CV973098', 'GENBANK/CV973099', 'GENBANK/CV973100', 'GENBANK/CV973101', 'GENBANK/CX129926', 'GENBANK/CX129927']",,,,
17459201,NLM,MEDLINE,20080818,20211203,0376-2491 (Print) 0376-2491 (Linking),87,8,2007 Feb 27,[Real-time PCR array for simultaneous detection of 37 kinds of fusion genes in leukemia].,526-32,"['Liu, Hong-xing', 'Zhu, Ping', 'Zhang, Ying', 'Wang, Hong-xi', 'DU, Jin-wei', 'Liu, Jing', 'Gu, Jiang-ying', 'Ou, Yuan']","['Liu HX', 'Zhu P', 'Zhang Y', 'Wang HX', 'DU JW', 'Liu J', 'Gu JY', 'Ou Y']",['chi'],['Journal Article'],,China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (MAS1 protein, human)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Mas)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', 'Child, Preschool', 'Female', 'Gene Expression Regulation, Leukemic', 'Humans', 'Infant', 'Leukemia/diagnosis/*genetics', 'Male', 'Middle Aged', 'Oligonucleotide Array Sequence Analysis', 'Oncogene Proteins, Fusion/*genetics', 'Proto-Oncogene Mas', 'Reproducibility of Results', 'Reverse Transcriptase Polymerase Chain Reaction/*methods']",2007/04/27 09:00,2008/08/19 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2007/04/27 09:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 2007 Feb 27;87(8):526-32.,"OBJECTIVE: To develop a real-time PCR array for simultaneous quantitative detection of translocations/chromosomal aberrations in patients with leukemia, and to investigate the feasibility and utility thereof. METHODS: By construction and optimization a set of specific primes (totally 82 primers), an array containing 66 parallel PCR reactions was developed. That array was used on the specimens of bone marrow or peripheral blood from 31 patients with leukemia to detect simultaneously 37 fusion genes and 4 proto-oncogene activations often occurring in patients with leukemia. Eva Green fluorescent dye method was chosen in the protocol. Relative quantification was performed by Ct analysis and the result was expressed as the ratio of the target gene versus the internal control gene (ABL). Six patients with chronic myelocytic leukemia (CML) among the 31 cases underwent prior to and after treatment so as to study the expression changes of fusion genes and/or proto-oncogene. RESULTS: The established PCR array showed high efficiency of amplification and good sensibility (232 copies/microl) in the fusion gene detected. The standard curve had a satisfying linear range (10(2) approximately 10(8) copies/microl), showing a good reproducibility. Fourteen fusion genes, including PML/RARalpha, PLZF/RARalpha, BCR/ABL, MLL/AF1, MLL/AF6, MLL/AF10, AML/Eto, CBFbeta/MYH11, TLS/ERG, TEL/AML1, MOZ/CBP, MLL/hCDCrel, LAF4/MLLT2, and FIP1L1/PDGFRalpha, and activation of all 4 proto-oncogenes were found in the 31 samples. In one patient, 5 fusion genes and activation of 2 proto-oncogenes were observed. Such results were compared with those of RT-nested PCR in 28 samples. The comparison showed that this array was a bit less sensitive than RT-nested PCR, however, without significant difference between them (P = 0.009). The expression of BCR/ABL fusion gene, WT1 gene, and EVI1 gene decreased after treatment in the 6 CML patients, which was in accordance with the clinical features. CONCLUSION: The PCR array newly-established successfully detects various leukemia related fusion genes and proto-oncogene activation. It is useful in molecule diagnosis and monitoring minimal residual disease in leukemia, and therapeutic effect monitoring.","['Daopei Hospital, Beijing 100034, China.']",,,,,,,,,,,,,,,
17459200,NLM,MEDLINE,20080818,20131121,0376-2491 (Print) 0376-2491 (Linking),87,8,2007 Feb 27,[Screening proteins related to retinoic acid resistance by proteomic analysis].,520-5,"['Qin, Hui', 'Liu, Ting', 'Yang, Jin-liang', 'Huang, Xin', 'Liu, Bin', 'Song, Xin', 'Zhao, Xia', 'Wei, Yu-quan']","['Qin H', 'Liu T', 'Yang JL', 'Huang X', 'Liu B', 'Song X', 'Zhao X', 'Wei YQ']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (Antineoplastic Agents)', '0 (Calreticulin)', '0 (Intracellular Signaling Peptides and Proteins)', '5688UTC01R (Tretinoin)']",IM,"['Antineoplastic Agents/pharmacology', 'Calreticulin/analysis/genetics', 'Cell Line, Tumor', '*Drug Resistance, Neoplasm', 'Electrophoresis, Gel, Two-Dimensional', 'Humans', 'Intracellular Signaling Peptides and Proteins/analysis/genetics', 'Proteomics/*methods', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tretinoin/*pharmacology']",2007/04/27 09:00,2008/08/19 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2007/04/27 09:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 2007 Feb 27;87(8):520-5.,"OBJECTIVE: To compare the expression profiles of differential proteins between retinoic acid resistant and sensitive cells and screen the proteins related to retinoic acid (RA) resistance by proteomic analysis. METHODS: The total cellular proteins from the RA sensitive cells of the line NB4 and the RA resistant cells of the line MR2 obtained from a patient with acute promyelocytic leukemia (APL) were separated by two-dimensional polyacrylamide gel electrophoresis (2D-PAGE) and analyzed by PDQuest v7.1 analysis software to screen the differential protein spots. Differentially expressed spots were analyzed by mass spectrometry for peptide mass finger (PMF) data and identified by Mascot software and SWISS-PROT protein database. The differentially expressed proteins were verified by Western blotting assay and semi-quantification RT-PCR. RESULTS: 2-DE patterns of APL cell lines with high-resolution and reproducibility were obtained. The average spots of the RA resistant cell line MR2 and RA sensitive cell line NB4 were 890 +/- 45 and 912 +/- 56 respectively. 57 significantly differentially expressed protein spots were screened, among which 23 protein spots were founded to be upregulated and 34 protein spots down regulated in the RA resistant cell line MR2. 25 differential protein spots were identified by mass spectrometry and 17 proteins were successfully assigned to 13 gene-reading frames, of which one was unknown function protein (FLJ00279) and the others were included in the categories of oncoprotein (DJ-1), transcription factor (MYC promoter-binding protein 1), molecule chaperone (HSP70, HSP60 and protein disulfide isomerase), metabolism protein (prohibitin, triosephosphate isomerase 1, and calreticulin), signal transduction (Rho GDP dissociation inhibitor), and cytoskeleton (ACTG1 protein, Beta 5-tubulin, and keratin 10). The results of Western blotting were similar to those of 2D-PAGE and showed differential expression of DJ-1 and calreticulin in several isoforms. Semi-quantification RT-PCR analysis showed that there was no correlation between the protein expression changes and mRNA levels of HSP70 or HSP60. Those results indicated that post-translational events might modify or shear the protein content of the specific spots. CONCLUSION: The utilization of two-dimensional polyacrylamide gel electrophoresis coupled with mass spectrometry is effective in screening the all-trans RA resistance-associated proteins and could provide novel clue for study of elucidating all-trans RA resistance mechanisms.","['Department of Hematology, West China Hospital, Sichuan University, Chengdu 610041, China. qinhui6957@sina.com']",,,,,,,,,,,,,,,
17459194,NLM,MEDLINE,20080818,20070426,0376-2491 (Print) 0376-2491 (Linking),87,8,2007 Feb 27,[The new progress of the research on chromosome in leukemias].,508-11,"['Xue, Yong-quan']",['Xue YQ'],['chi'],['Journal Article'],,China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,,IM,"['*Chromosome Aberrations', 'Cytogenetics/methods/trends', 'Humans', 'Leukemia/*genetics']",2007/04/27 09:00,2008/08/19 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2007/04/27 09:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 2007 Feb 27;87(8):508-11.,,,,,,,,,,,,,,,,,
17459193,NLM,MEDLINE,20080818,20070426,0376-2491 (Print) 0376-2491 (Linking),87,8,2007 Feb 27,[Gene diagnosis in leukemias].,505-7,"['Zhu, Ping']",['Zhu P'],['chi'],['Journal Article'],,China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (Oncogene Proteins, Fusion)']",IM,"['Chromosome Aberrations', 'Humans', 'Leukemia/*diagnosis/*genetics', 'Oligonucleotide Array Sequence Analysis', 'Oncogene Proteins, Fusion/genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",2007/04/27 09:00,2008/08/19 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2007/04/27 09:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 2007 Feb 27;87(8):505-7.,,,,,,,,,,,,,,,,,
17459051,NLM,MEDLINE,20070628,20181201,0007-1048 (Print) 0007-1048 (Linking),137,5,2007 Jun,Impact of imatinib therapy on the use of allogeneic haematopoietic progenitor cell transplantation for the treatment of chronic myeloid leukaemia.,461-7,"['Giralt, Sergio A', 'Arora, Mukta', 'Goldman, John M', 'Lee, Stephanie J', 'Maziarz, Richard T', 'McCarthy, Philip L', 'Sobocinski, Kathleen A', 'Horowitz, Mary M']","['Giralt SA', 'Arora M', 'Goldman JM', 'Lee SJ', 'Maziarz RT', 'McCarthy PL', 'Sobocinski KA', 'Horowitz MM']",['eng'],"['Comparative Study', 'Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",20070424,England,Br J Haematol,British journal of haematology,0372544,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Clinical Protocols', 'Databases, Factual', 'Disease Progression', 'Hematopoietic Stem Cell Transplantation/*statistics & numerical data', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/immunology/surgery', '*Patient Selection', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Registries', 'Transplantation, Homologous', 'United States']",2007/04/27 09:00,2007/06/29 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2007/06/29 09:00 [medline]', '2007/04/27 09:00 [entrez]']","['BJH6582 [pii]', '10.1111/j.1365-2141.2007.06582.x [doi]']",ppublish,Br J Haematol. 2007 Jun;137(5):461-7. doi: 10.1111/j.1365-2141.2007.06582.x. Epub 2007 Apr 24.,"The discovery and approval of imatinib drastically changed the therapeutic algorithm for chronic myeloid leukaemia (CML). Imatinib is now considered the therapy of choice for patients with newly diagnosed CML, including those previously considered candidates for allogeneic haematopoietic cell transplantation (HCT). We compared numbers and types of allogeneic HCTs performed for CML in North America before and after the introduction of imatinib, and publication of the International Randomized Trial of Interferon and STI571 (IRIS) using transplants reported to the Center for International Blood and Marrow Transplant Research (CIBMTR). The number of HCTs for CML registered with the CIBMTR in 1998 was 617; 62% were performed in first chronic phase (CP1). Only 1% of patients had received imatinib prior to transplantation. In 2003, the number of HCTs reported was 223; 44% were performed in CP1 and 77% of patients received imatinib prior to transplantation. The introduction of imatinib therapy has had a profound impact on the use of allogeneic transplantation for CML, with a marked decrease in the number of transplants for CML and an accompanying decrease in the proportion done in CP1. Most patients now receive a trial of imatinib before proceeding to HCT.","['M.D. Anderson Cancer Center, 1515 Holcombe Boulevard, Houston, TX 77230, USA. sgiralt@mdanderson.org']",['U24 CA 76518/CA/NCI NIH HHS/United States'],"['Chronic Leukemia Working Committee, Center for International Blood and Marrow', 'Transplant Research']",,,,,,,,,,,,,
17459045,NLM,MEDLINE,20070906,20141120,0007-0963 (Print) 0007-0963 (Linking),156,6,2007 Jun,Indeterminate cell histiocytosis in association with later occurrence of acute myeloblastic leukaemia.,1357-61,"['Vener, C', 'Soligo, D', 'Berti, E', 'Gianelli, U', 'Servida, F', 'Ceretti, E', 'Caputo, R', 'Passoni, E', 'Lambertenghi Deliliers, G']","['Vener C', 'Soligo D', 'Berti E', 'Gianelli U', 'Servida F', 'Ceretti E', 'Caputo R', 'Passoni E', 'Lambertenghi Deliliers G']",['eng'],"['Case Reports', 'Journal Article']",20070425,England,Br J Dermatol,The British journal of dermatology,0004041,,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Fatal Outcome', 'Histiocytosis/complications/drug therapy/*pathology', 'Humans', 'Leukemia, Myeloid, Acute/complications/drug therapy/*pathology', 'Male', 'Secondary Prevention', 'Skin Diseases/etiology/*pathology']",2007/04/27 09:00,2007/09/07 09:00,['2007/04/27 09:00'],"['2007/04/27 09:00 [pubmed]', '2007/09/07 09:00 [medline]', '2007/04/27 09:00 [entrez]']","['BJD7880 [pii]', '10.1111/j.1365-2133.2007.07880.x [doi]']",ppublish,Br J Dermatol. 2007 Jun;156(6):1357-61. doi: 10.1111/j.1365-2133.2007.07880.x. Epub 2007 Apr 25.,"Indeterminate cell histiocytosis (ICH) is a proliferation of indeterminate CD1a+, CD68+, S100+ and CD207- dermal dendritic cells. We describe a 39-year-old man who developed diffuse ICH and, 6 years later, acute myeloblastic leukaemia (AML). He was treated with cyclophosphamide, etoposide and vinblastine until 2003. In August 2004, he presented dyspnoea, hyperpyrexia and infiltration of the lung parenchyma, compatible with an AML invasion, and died after a course of induction chemotherapy. Cytomorphology and immunophenotype analyses suggested an ICH clonal evolution. The leukaemogenic role of etoposide is discussed. ICH has previously been reported in association with B-cell malignancy, but only one case has shown systemic progression.","['Hematology I, Bone Marrow Transplant Unit, Policlinico IRCCS Hospital, Mangiagalli and Regina Elena Foundation, University of Milan, Milan, Italy. claudiavener@tiscali.it']",,,,,,,,,,,,,,,
