PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,CIN,GR,RF,SI,PMC,TT,CI,CN,MID,EIN,OID,OTO,OT,GN,LID
9413181,NLM,MEDLINE,19980120,20131121,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,"The in vitro antitumor assay of ""half-mustard type"" phenothiazines in screens of AIDS-related leukemia and lymphomas.",3425-9,"['Wuonola, M A', 'Palfreyman, M G', 'Motohashi, N', 'Kawase, M', 'Gabay, S', 'Molnar, J']","['Wuonola MA', 'Palfreyman MG', 'Motohashi N', 'Kawase M', 'Gabay S', 'Molnar J']",['eng'],['Journal Article'],Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Nitrogen Mustard Compounds)', '0 (Phenothiazines)', '0 (Phthalimides)', '8W8T17847W (Urea)']",IM,,"['*Antineoplastic Agents', 'Humans', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Lymphoma, AIDS-Related/*drug therapy', 'Nitrogen Mustard Compounds/pharmacology', 'Phenothiazines/*pharmacology', 'Phthalimides/*pharmacology', 'Structure-Activity Relationship', 'Tumor Cells, Cultured', 'Urea/*analogs & derivatives/pharmacology']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3425-9.,"Twelve different ""half-mustard type"" phenothiazines were newly synthesized and tested on seven AIDS-related lymphoma (ARL) tumor cell lines, one leukemia CCRF-CEM cell culture and five different lymphoma lines; RL, KD-488, AS283, PA682 and SU-DHL-7 cell lines. The alkylene-urea substituted phenothiazines affected the growth and inhibited the growth rate of AIDS-related lymphoma cells. The Cl-substituent at the 2-position was more effective than the CF3 substitution. In AIDS-related leukemia also the compounds with Cl at the 2-position with propylene or butylene linkers, -(CH2)3- and -(CH2)4-, respectively, were more effective than the CF3 substituted compounds. Two of the six phenothiazine-substituted alkyl-urea derivatives, i.e., 1-(2-chloroethyl)-3-(2-chloro-10H-phenothiazin-10-yl)propyl-l-urea (9, GI50 = -5.66, TGI = -5.04) and 1-(2-chloroethyl)- 3-(2-chloro-10H-phenothiazin-10-yl)butyl-1-urea (10, GI50 = -5.61, TGI = -5.12) exhibited antitumor activity for AIDS-related leukemia and five AIDS-related lymphomas. The trifluoromethyl-substituted derivatives were not as effective on AIDS-related tumor cell lines. Apparently, the substituent at the 2-position on the phenothiazine and the alkylene number of the linker attached to the nitrogen of the phenothiazine ring have an important role in the compound's antitumor effects on AIDS-related leukemia and lymphomas.","['SCRIPTGEN Pharmaceuticals, Inc., Medford, MA 02155, USA.']",,,,,,,,,,,,,,,
9413180,NLM,MEDLINE,19980120,20131121,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,"The primary in vitro antitumor screening of ""half-mustard type"" phenothiazines.",3409-23,"['Wuonola, M A', 'Palfreyman, M G', 'Motohashi, N', 'Kawase, M', 'Gabay, S', 'Nacsa, J', 'Molnar, J']","['Wuonola MA', 'Palfreyman MG', 'Motohashi N', 'Kawase M', 'Gabay S', 'Nacsa J', 'Molnar J']",['eng'],['Journal Article'],Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Nitrogen Mustard Compounds)', '0 (Phenothiazines)', '0 (Phthalimides)', '8W8T17847W (Urea)']",IM,,"['*Antineoplastic Agents', 'Cell Division/drug effects', 'Female', 'Humans', 'Kidney Neoplasms/drug therapy', 'Leukemia/drug therapy', 'Male', 'Nitrogen Mustard Compounds/pharmacology', 'Ovarian Neoplasms/drug therapy', 'Phenothiazines/*pharmacology', 'Phthalimides/*pharmacology', 'Prostatic Neoplasms/drug therapy', 'Structure-Activity Relationship', 'Tumor Cells, Cultured/*drug effects', 'Urea/*analogs & derivatives/pharmacology']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3409-23.,"The antitumor effects of ""half-mustard type"" phenothiazines were studied on 57 different tumor cell lines, including leukemias, non-small lung cancer, colon, central nervous system, ovarian, renal, breast, and prostate cancer, as well as melanoma cell cultures. Alkyl-urea derivatives of phenothiazines displayed in vitro antitumor activity. The phenothiazine phthalimido derivatives (1-6) were not active on the majority of cancer cell cultures. In contrast, propylureas (9, 11) were active against some leukemia cell types. Only two compounds with the butylene [(CH2)4] linker (10, 12) were active against non-small lung cancer cells. Compounds containing the propylene linker were less effective. On colon cancer lines, tumor cells from the central nervous system and on melanoma cells the same compounds were effective, however, having substituents at the 2-position of phenothiazine seems to be important. Surprisingly, the majority of ovarian cancer cell lines (except one type, IGROVI) and five of eight renal cancer lines were not sensitive to these phenothiazine derivatives. The two butylene linked phenothiazine ureas (10, 12) had moderate antiproliferative action on two renal cancer cell lines. The prostate cancer and some breast cancer cell lines were not sensitive. Nevertheless some breast cancer cell lines were apparently sensitive to CF3-substituted phenothiazine alkylureas. On the basis of these experiments one may postulate that in the case of insensitive cells an mdr-gene encoded multidrug resistance efflux pump is responsible for the resistance. The selectivity or organ cell specificity of the effective phenothiazines will be targeted for improvement in further studies, in order to avoid the general cytotoxic effects of ""half mustard type"" phenothiazines.","['SCRIPTGEN Pharmaceuticals, Inc., Medford, MA 02155, USA.']",,,,,,,,,,,,,,,
9413174,NLM,MEDLINE,19980120,20131121,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,Bcl-2 and mdr-1 gene expression during doxorubicin-induced apoptosis in murine leukemic P388 and P388/R84 cells.,3369-76,"['Ramachandran, C', 'You, W', 'Krishan, A']","['Ramachandran C', 'You W', 'Krishan A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Greece,Anticancer Res,Anticancer research,8102988,"['214IZI85K3 (Trifluoperazine)', '80168379AG (Doxorubicin)', 'CJ0O37KU29 (Verapamil)']",IM,,"['Animals', 'Apoptosis/*drug effects', 'DNA Fragmentation/drug effects', 'Doxorubicin/*pharmacology', 'Drug Resistance, Neoplasm', 'Gene Expression Regulation, Neoplastic/*drug effects', '*Genes, MDR', '*Genes, bcl-2', 'Leukemia P388/drug therapy', 'Mice', 'Trifluoperazine/pharmacology', 'Verapamil/pharmacology']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3369-76.,"The induction of apoptosis by doxorubicin (DOX) alone or in the presence of efflux blockers, verapamil (VPL) or trifluoperazine (TFP), and of bcl-2 and mdr-1 gene expression was analyzed in murine leukemic P388 and doxorubicin resistant P388/R84 cells. Incubation with DOX (0.1-1 microM) for 24 hours induced apoptosis in sensitive cells but not in the resistant P388/R84 cells. Flow cytometric analysis of apoptosis by terminal dideoxynucleotidyl (TdT) assay showed that 1 microM DOX induced apoptosis in 70% of P388 cells and in less than 5% of P388/R84 cells. When P388/R84 resistant cells were co-incubated with DOX and efflux blockers (10 microM VPL or 15 microM TFP), enhanced cellular DOX accumulation was accompanied by apoptosis. Quantitative analysis of DNA fragmentation by 14C-thymidine incorporation and gel electrophoresis of fragmented DNA confirmed the results from TdT assay and showed enhancement of DOX-induced DNA fragmentation in the presence of efflux blockers (VPL or TFP). DOX + VPL and DOX + TFP combination treatments induced apoptosis in upto 55% and 83% of P388/R84 cells, respectively. mdr-1 mRNA and P-gp expression were not altered during DOX-induced apoptosis. The results suggest that in murine leukemic cells, down-regulation of bcl-2 mRNA expression occurs during DOX-induced apoptosis and it depends on the cellular drug retention determined by mdr-1/P-gp drug efflux.","['Department of Radiation Oncology, Sylvester Comprehensive Cancer Center, University of Miami School of Medicine, FL 33136, USA.']",,"['CA-57488/CA/NCI NIH HHS/United States', 'R01-CA-29360/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
9413173,NLM,MEDLINE,19980120,20181201,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,Camptothecin delivery systems: the antitumor activity of a camptothecin-20-0-polyethylene glycol ester transport form.,3361-8,"['Conover, C D', 'Pendri, A', 'Lee, C', 'Gilbert, C W', 'Shum, K L', 'Greenwald, R B']","['Conover CD', 'Pendri A', 'Lee C', 'Gilbert CW', 'Shum KL', 'Greenwald RB']",['eng'],['Journal Article'],Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Pharmaceutical Vehicles)', '0 (Prodrugs)', '3WJQ0SDW1A (Polyethylene Glycols)', 'XT3Z54Z28A (Camptothecin)']",IM,,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Body Weight/drug effects', 'Camptothecin/*administration & dosage', 'Colorectal Neoplasms/drug therapy', 'Female', 'Humans', 'Leukemia, Experimental/drug therapy', 'Mice', 'Mice, Inbred Strains', 'Mice, Nude', 'Neoplasm Transplantation', 'Pharmaceutical Vehicles', 'Polyethylene Glycols', 'Prodrugs', 'Tumor Cells, Cultured']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3361-8.,"BACKGROUND: This study was designed to assess the efficacy of polyethylene glycol(PEG) conjugated camptothecin, PEG-alpha-camptothecin, a novel water soluble transport form (prodrug) of the naturally derived antitumor drug, 20-(S)-camptothecin. MATERIAL AND METHODS: Circulatory retention studies were performed in non-tumor bearing mice injected intravenously with 300 mg/kg of PEG-alpha-camptothecin. Therapeutic efficacy was evaluated in both a murine P388/0 leukemia and a colorectal HT-29 carcinoma xenograft model. RESULTS: PEG-alpha-camptothecin had a blood t1/2 alpha of less than 5 minutes and a t1/2 beta of 3.5 hours. Five intraperitoneal injections of 3.2 mg/kg/day 20-(S)-camptothecin equivalents of PEG-alpha-camptothecin in our leukemia model resulted in significant survival over untreated controls (P < 0.001), with a mean time to death of treated versus control (T/C ratio) of 2.94 and a cure rate of 80% (n = 20). The colorectal carcinoma xenograft model demonstrated that 2-3 mg/kg/day 20-(S)-camptothecin equivalents of PEG-alpha-camptothecin given 5 days a week for 5 weeks could reduce an initial tumor burden of 300 mm3 by more than 90% without any signs of overt toxicity. CONCLUSION: This water soluble transport form of 20-(S)-camptothecin and its underlying technology may have clinical application.","['Research and Development, Enzon Inc., Piscataway, NJ 08854, USA.']",,,,,,,,,,,,,,,
9413167,NLM,MEDLINE,19980120,20161124,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,Pulsed exposure of SDZ PSC 833 to multidrug resistant P388/ADR and MCF7/ADR cells in the absence of anticancer drugs can fully restore sensitivity to doxorubicin.,3329-34,"['Krishna, R', 'de Jong, G', 'Mayer, L D']","['Krishna R', 'de Jong G', 'Mayer LD']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Greece,Anticancer Res,Anticancer research,8102988,"['0 (Cyclosporins)', '80168379AG (Doxorubicin)', 'CJ0O37KU29 (Verapamil)', 'Q7ZP55KF3X (valspodar)']",IM,,"['Animals', 'Cyclosporins/*administration & dosage', 'Doxorubicin/metabolism/*pharmacology', '*Drug Resistance, Multiple', 'Humans', 'Leukemia P388/metabolism', 'Mice', 'Time Factors', 'Tumor Cells, Cultured', 'Verapamil/pharmacology']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3329-34.,"AIM: An in vitro cellular pharmacological study was undertaken to characterize the latency of modulating activity by the chemosensitizer, PSC 833. METHODS: PSC 833 was evaluated for cytotoxicity in the MDR P388/ADR and MCF7/ADR cell lines. Cellular uptake levels and intracellular DOX distribution characteristics were assessed by flow cytometry and fluorescence microscopy, respectively. These parameters were correlated with the chemosensitivity of the MDR cells under varying conditions of exposure to PSC 833 and DOX. RESULTS: PSC 833 (1 microM) provided near complete MDR reversal and exhibited significant latent modulating activity indicative of a sustained inhibition of the PGP pump in P388/ADR and MCF7/ADR cells after removal of the MDR modulator. Interestingly, complete latent chemosensitizing activity could be achieved by pulsing cells with PSC 833 prior to DOX exposure. Increases in cellular DOX uptake by individual P388/ADR and MCF7/ADR cells induced by MDR modulators correlated well with their ability to chemosensitize the resistant tumor cells where intracellular DOX levels approaching those obtained for sensitive wild type cells was observed for PSC 833. CONCLUSION: The MDR modulator PSC 833 exhibits latent MDR modulating activity that appears well suited for modulating PGP mediated MDR in vivo where chemosensitization is complicated by difficulties in synchronizing therapeutic levels of modulator and anticancer drug at the tumor site.","['Division of Pharmaceutical Chemistry, Faculty of Pharmaceutical Sciences, University of British Columbia, Vancouver, Canada.']",,,,,,,,,,,,,,,
9413163,NLM,MEDLINE,19980120,20131121,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,Synthesis and antitumor activity of boronated dipeptides containing aromatic amino acids.,3299-306,"['Miller, M C 3rd', 'Sood, A', 'Spielvogel, B F', 'Hall, I H']","['Miller MC 3rd', 'Sood A', 'Spielvogel BF', 'Hall IH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Boron Compounds)', '0 (DNA, Neoplasm)', '0 (Dipeptides)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)', '4QD397987E (Histidine)', '8DUH1N11BX (Tryptophan)', 'EC 2.7.11.13 (Protein Kinase C)']",IM,,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Boron Compounds/*pharmacology', 'DNA, Neoplasm/metabolism', 'Dipeptides/*chemical synthesis', 'Histidine/chemistry', 'Humans', 'Leukemia L1210', 'Mice', 'Neoplasm Proteins/metabolism', 'Protein Kinase C/metabolism', 'RNA, Neoplasm/metabolism', 'Tryptophan/chemistry', 'Tumor Cells, Cultured']",1997/12/31 23:53,2001/03/28 10:01,['1997/12/31 23:53'],"['1997/12/31 23:53 [pubmed]', '2001/03/28 10:01 [medline]', '1997/12/31 23:53 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3299-306.,"N-[(Trimethylamine-boryl-carbonyl]-L-tryptophan methyl ester and N[(trimethylamine-boryl)-carbonyl]-L-histidine methyl ester were obtained by synthesis using triphenyl-phosphine/carbon tetrachloride or dicyclohexyl-carbodiimide as coupling agents, respectively. Both agents reduced L1210 lymphoid leukemia DNA, RNA, and protein syntheses with the largest reductions occurring in DNA synthesis. Reductions in DNA synthesis appear to be mediated by inhibition of key enzyme activities (i.e., DNA polymerase a, IMP dehydrogenase, and PRPP amido transferase). These agents had little effect on in vitro L1210 DNA topoisomerase II activity at 100 microM but were able to cause synergistic increases in protein-linked DNA breaks when combined with etoposide (VP16). It was shown that these agents significantly reduced protein kinase C mediated phosphorylation of human topoisomerase II in vitro. Thus, inhibition of topoisomerase II phosphorylation may be a mechanism by which these agents and VP-16 are synergistic in causing protein-linked DNA breaks.","['Division of Medicinal Chemistry and Natural Products, School of Pharmacy, University of North Carolina, Chapel Hill 27599-7360, USA.']",,,,,,,,,,,,,,,
9413160,NLM,MEDLINE,19980120,20061115,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,5q-: does longer survival of female patients explain the preponderance.,3281-5,"['Pedersen, B']",['Pedersen B'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Greece,Anticancer Res,Anticancer research,8102988,,IM,,"['Acute Disease', 'Adult', 'Age Factors', 'Aged', 'Chromosome Aberrations', 'Chromosome Deletion', 'Chromosome Disorders', '*Chromosomes, Human, Pair 5', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics', 'Sex Factors']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3281-5.,Cases with deletion of part of the long arm of chromosome 5 (5q-) and a myeloid hemopoietic disorder show a marked female preponderance. We analysed the female preponderance of 328 published cases of myelodysplastic syndromes (MDS) or acute myeloid leukemia (AML). MDS without clinical or cytogenetic progression shows by far the highest frequency in female patients. Cases with advanced MDS and/or chromosome aberrations in addition to 5q- show low to moderate preponderance. Female preponderance was found to correlate positively with relative survival: in the group with the highest frequency women survived significantly longer than men. In groups with lower preponderances the survival of the two sexes gradually converged. These data suggest that in 5q- related disorders the female preponderance is a consequence of increased female survival.,"['Danish Cancer Society, Department of Cytogenetics, Aarhus, Denmark.']",,,,,,,,,,,,,,,
9413156,NLM,MEDLINE,19980120,20081121,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,Interleukin 18 enhances Fas ligand expression and induces apoptosis in Fas-expressing human myelomonocytic KG-1 cells.,3253-8,"['Ohtsuki, T', 'Micallef, M J', 'Kohno, K', 'Tanimoto, T', 'Ikeda, M', 'Kurimoto, M']","['Ohtsuki T', 'Micallef MJ', 'Kohno K', 'Tanimoto T', 'Ikeda M', 'Kurimoto M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Greece,Anticancer Res,Anticancer research,8102988,"['0 (Cytokines)', '0 (DNA, Neoplasm)', '0 (FASLG protein, human)', '0 (Fas Ligand Protein)', '0 (Interleukin-18)', '0 (Membrane Glycoproteins)', '0 (RNA, Messenger)', '82115-62-6 (Interferon-gamma)']",IM,,"['*Apoptosis', 'Cytokines/*physiology', 'DNA Fragmentation', 'DNA, Neoplasm/metabolism', 'Fas Ligand Protein', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Interferon-gamma/biosynthesis', 'Interleukin-18', 'Leukemia, Myelomonocytic, Acute/*pathology', 'Membrane Glycoproteins/genetics/*metabolism', 'RNA, Messenger/genetics', 'Time Factors', 'Tumor Cells, Cultured']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3253-8.,"Interleukin-18 (IL-18) induces apoptosis in human myelomonocytic KG-1 cells as determined by agarose gel electrophoresis, and flow cytometry after propidium iodide (PI) staining. Apoptosis was detected 20 hours from the start of culture at concentrations of 100 ng/ml of the cytokine. Although IL-18 induces the production of large amounts of interferon gamma (IFN-gamma) by KG-1 cells, conditioned media could not induce apoptosis of fresh cells. The protein expressions of p53 and Fas ligand by KG-1 cells, which constitutively express the Fas antigen (CD95), were found to increase after exposure to IL-18 for 20 hours. Both Fas ligand and its receptor were found to be functional by in vitro assays on Fas-expressing target cells and an agonist anti-Fas antibody, respectively. In conclusion, IL-18 enhances the expression of Fas ligand by Fas-expressing KG-1 cells and induces apoptosis in the cells through a mechanism probably involving the Fas pathway.","['Fujisaki Institute, Hayashibara Biochemical Laboratories Inc., Okayama, Japan.']",,,,,,,,,,,,,,,
9413147,NLM,MEDLINE,19980120,20141120,0250-7005 (Print) 0250-7005 (Linking),17,5A,1997 Sep-Oct,Altered efflux properties of mouse leukemia L1210 cells resistant to 4-methyl-5-amino-1-formylisoquinoline thiosemicarbazone.,3185-93,"['Cory, J G', 'Cory, A H', 'Lorico, A', 'Rappa, G', 'Sartorelli, A C']","['Cory JG', 'Cory AH', 'Lorico A', 'Rappa G', 'Sartorelli AC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Greece,Anticancer Res,Anticancer research,8102988,"['0 (Arsenites)', '0 (Enzyme Inhibitors)', '0 (Isoquinolines)', '0 (Propionates)', '0 (Quinolines)', '0 (Rhodamines)', '1N3CZ14C5O (Rhodamine 123)', '59261-39-1 (4-methyl-5-amino-1-formylisoquinoline thiosemicarbazone)', '5Q9O54P0H7 (verlukast)', '83HN0GTJ6D (Cyclosporine)', '8B1QWR724A (Reserpine)', '8L70Q75FXE (Adenosine Triphosphate)', 'CJ0O37KU29 (Verapamil)', 'DH2M523P0H (Genistein)', 'EC 1.17.4.- (Ribonucleotide Reductases)', 'N5509X556J (arsenite)', 'ZS7284E0ZP (Daunorubicin)']",IM,,"['Adenosine Triphosphate/metabolism', 'Animals', 'Arsenites/pharmacology', 'Biological Transport/drug effects', 'Cyclosporine/pharmacology', 'Daunorubicin/metabolism', '*Drug Resistance, Multiple', '*Drug Resistance, Neoplasm', 'Enzyme Inhibitors/pharmacology', 'Genistein/pharmacology', 'Isoquinolines/*pharmacology', 'Leukemia L1210', 'Mice', 'Propionates/pharmacology', 'Quinolines/pharmacology', 'Reserpine/pharmacology', 'Rhodamine 123', 'Rhodamines/metabolism', 'Ribonucleotide Reductases/antagonists & inhibitors/*metabolism', 'Temperature', 'Verapamil/pharmacology']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",,ppublish,Anticancer Res. 1997 Sep-Oct;17(5A):3185-93.,"A mouse leukemia L1210 cell line, denoted MQ-580, that was selected for resistance to the ribonucleotide reductase inhibitor, 4-methyl-5-amino-1-formylisoquinoline thiosemicarbazone (MAIQ), in addition to having altered properties at the ribonucleotide reductase site had other alterations that contributed to its resistant phenotype; these included the expression of p-glycoprotein and the multi-drug resistance associated protein (MRP). The efflux of rhodamine 123 (Rh-123) or daunomycin (Dau) was greatly increased in MQ-580 cells compared to parental wild-type (WT) cells. The effluxes of Rh-123 and Dau were ATP- and temperature-dependent. The p-glycoprotein inhibitors, verapamil, cyclosporin A and reserpine blocked the efflux of both Rh-123 and Dau. In contrast, the inhibitors of MRP, MK571, BSO-treatment, arsenite and genistein did not block the efflux of either Rh-123 or Dau from MQ-580 cells. These findings suggest that the p-glycoprotein is the major transporter involved in effluxing Rh-123 and Dau from MQ-580 cells.","['Department of Biochemistry, East Carolina University School of Medicine, Greenville, NC 27858, USA.']",,"['CA-55540/CA/NCI NIH HHS/United States', 'CA-66739/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
9413100,NLM,MEDLINE,19980223,20190728,0264-410X (Print) 0264-410X (Linking),15,17-18,1997 Dec,A comparison of antibody responses to veterinary vaccine antigens potentiated by different adjuvants.,1902-7,"['Usinger, W R']",['Usinger WR'],['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Vaccine,Vaccine,8406899,"['0 (Adjuvants, Immunologic)', '0 (Antibodies, Helminth)', '0 (Antibodies, Viral)', '0 (Antigens, Bacterial)', '0 (Antigens, Helminth)', '0 (Gels)', '0 (Vaccines, Synthetic)', '0 (Viral Vaccines)', '5QB0T2IUN0 (Aluminum Hydroxide)']",IM,,"['Adjuvants, Immunologic/*pharmacology', 'Aluminum Hydroxide/immunology/*pharmacology', 'Animals', 'Antibodies, Helminth/*biosynthesis/blood', 'Antibodies, Viral/*biosynthesis/blood', 'Antigens, Bacterial/immunology', 'Antigens, Helminth/immunology', 'Bacteria/immunology', 'Cats', 'Dirofilaria immitis/*immunology', 'Drug Synergism', 'Gels', 'Immunodeficiency Virus, Feline/*immunology', 'Immunoenzyme Techniques', 'Leukemia Virus, Feline/*immunology', 'Mice', 'Mice, Inbred BALB C', 'Particle Size', 'Vaccines, Synthetic/immunology/*pharmacology', 'Viral Vaccines/immunology/pharmacology']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']","['S0264-410X(97)00136-9 [pii]', '10.1016/s0264-410x(97)00136-9 [doi]']",ppublish,Vaccine. 1997 Dec;15(17-18):1902-7. doi: 10.1016/s0264-410x(97)00136-9.,"Six adjuvant formulations were compared for their ability to potentiate the primary and memory antibody responses in mice to three companion animal vaccine immunogens--feline leukemia virus (FeLV), feline immunodeficiency virus (FIV), and a recombinantly-derived heartworm antigen. The combination of a novel bacterial immunostimulator, gliding bacterial adjuvant (GBA), either adsorbed onto an aluminum hydroxide gel (Rehydragel HPA), or emulsified with a vehicle of polyalcohol and detergent, elicited the strongest memory responses to both virus preparations. Both forms of aluminum hydroxide gels administered without GBA gave similar levels of adjuvant effects, on par with or greater than those generated by incomplete Freund's adjuvant (IFA). The Acemannan immunostimulant was not effective in increasing the responses to the virus antigens, but increased the primary response to the heart-worm antigen over tenfold from control levels. All preparations appeared to be well tolerated, with no detectable adverse reactions observed in any of the 250 mice used. The proven safety of aluminum hydroxide adjuvants and the apparent absence of adverse reactions seen with GBA make this vehicle/adjuvant formulation worthy of additional study.","['Immusine, Inc., Orinda, CA 94563, USA.']",,['1 R43 AI29772-01A1/AI/NIAID NIH HHS/United States'],,,,,,,,,,,,,
