PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SB,TT,PMC,MID,OID,GR,CIN,CON,RF,DEP,CI,SI,CN,OTO,OT,GN,LID,EIN,CRI,PS,FPS
15003925,NLM,MEDLINE,20040708,20200930,1040-0605 (Print) 1040-0605 (Linking),287,1,2004 Jul,Contribution of IL-1 beta and TNF-alpha to the initiation of the peripheral lung response to atmospheric particulates (PM10).,L176-83,"Alveolar macrophages (AM) play a key role in clearing atmospheric particulates from the lung surface and stimulating epithelial cells to produce proinflammatory mediators. The present study examines the role of ""acute response"" cytokines TNF-alpha and IL-1 beta released by AM exposed to ambient particulate matter with a diameter of <10 microm (PM(10)) in amplifying the proinflammatory mediator expression by A549 cells and human bronchial epithelial cells (HBEC). The results showed that supernatants from human AM incubated 24 h with PM(10) (100 microg/ml) contained more TNF-alpha, IL-1 beta, granulocyte-macrophage colony stimulating factor, IL-6, and IL-8 than nonexposed AM supernatants. The 3-h treatment of A549 cells with PM(10)-exposed AM supernatants increased TNF-alpha, IL-1 beta, IL-8, regulated on activation normal T-cells expressed and secreted (RANTES), and leukemia inhibitory factor mRNA compared with the treatment with nonexposed AM supernatants and, compared with untreated A549 cells, additionally increased ICAM-1 and monocyte chemotactic protein-1 mRNA. Preincubating PM(10)-exposed AM supernatants with anti-IL-1 beta antibodies reduced all the above mediators as well as VEGF mRNA expression (P < 0.05), while anti-TNF-alpha antibodies were less effective (P > 0.05), and the combination of the two antibodies most effective. When HBEC were treated similarly, anti-TNF-alpha antibodies had the greatest effect. In A549 cells PM(10)-exposed AM supernatants increased NF-kappa B, activator protein (AP)-1 and specificity protein 1 binding, while anti-TNF-alpha and anti-IL-1 beta antibodies reduced NF-kappa B and AP-1 binding. We conclude that AM-derived TNF-alpha and IL-1 beta provide a major stimulus for the production of proinflammatory mediators by lung epithelial cells and that their relative importance may depend on the type of epithelial cell target.","['Ishii, Hiroshi', 'Fujii, Takeshi', 'Hogg, James C', 'Hayashi, Shizu', 'Mukae, Hiroshi', 'Vincent, Renaud', 'van Eeden, Stephan F']","['Ishii H', 'Fujii T', 'Hogg JC', 'Hayashi S', 'Mukae H', 'Vincent R', 'van Eeden SF']","[""James Hogg iCAPTURE Centre for Cardiovascular and Pulmonary Research, St. Paul's Hospital, University of British Columbia, Vancouver, British Columbia V6Z 1Y6, Canada.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Physiol Lung Cell Mol Physiol,American journal of physiology. Lung cellular and molecular physiology,100901229,"['0 (Cytokines)', '0 (Inflammation Mediators)', '0 (Interleukin-1)', '0 (RNA, Messenger)', '0 (Transcription Factors)', '0 (Tumor Necrosis Factor-alpha)']","['*Air Pollution', 'Bronchi/*metabolism', 'Cells, Cultured', 'Cytokines/metabolism', 'Epithelial Cells/metabolism', 'Humans', 'Inflammation Mediators/metabolism', 'Interleukin-1/*metabolism', 'Macrophages, Alveolar/metabolism', 'Particle Size', 'Pulmonary Alveoli/*metabolism', 'RNA, Messenger/metabolism', 'Transcription Factors/metabolism', 'Tumor Necrosis Factor-alpha/*metabolism']",2004/03/09 05:00,2004/07/09 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/07/09 05:00 [medline]', '2004/03/09 05:00 [entrez]']","['10.1152/ajplung.00290.2003 [doi]', '00290.2003 [pii]']",ppublish,Am J Physiol Lung Cell Mol Physiol. 2004 Jul;287(1):L176-83. doi: 10.1152/ajplung.00290.2003. Epub 2004 Mar 5.,IM,,,,,,,,,20040305,,,,,,,,,,,
15003909,NLM,MEDLINE,20040615,20171116,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,Decrease of dual hepatitis B and C virus infections in children with cancer: changes in risk factors over 30 years.,251-2,,"['Koltan, Sylwia', 'Styczynski, Jan', 'Wysocki, Mariusz', 'Koltan, Andrzej', 'Kurylak, Andrzej', 'Debski, Robert']","['Koltan S', 'Styczynski J', 'Wysocki M', 'Koltan A', 'Kurylak A', 'Debski R']","['Department of Pediatric Hematology and Oncology, Medical University, Bydgoszcz, Poland.']",['eng'],"['Comparative Study', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,['0 (Viral Hepatitis Vaccines)'],"['Child', 'Comorbidity', 'Cross Infection/epidemiology/prevention & control/transmission', 'Disease Transmission, Infectious', 'Family Health', 'Female', 'Hepatitis B/*epidemiology/prevention & control/transmission', 'Hepatitis C/*epidemiology/prevention & control/transmission', 'Humans', 'Leukemia/complications', 'Lymphoma/complications', 'Male', 'Neoplasms/*complications', 'Poland/epidemiology', 'Postoperative Complications/epidemiology/virology', 'Proportional Hazards Models', 'Risk Factors', 'Transfusion Reaction', 'Viral Hepatitis Vaccines']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):251-2.,IM,,,,,,,,,,,,,,,,,,,,
15003907,NLM,MEDLINE,20040615,20191210,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,Clinical and practical value of metaphase fluorescent in situ hybridization in follow-up after allogeneic stem cell transplantation in chronic myeloid leukemia.,247-9,,"['Lundan, Tuija', 'Volin, Liisa', 'Elonen, Erkki', 'Autio, Kirsi', 'Knuutila, Sakari']","['Lundan T', 'Volin L', 'Elonen E', 'Autio K', 'Knuutila S']","['Departments of Pathology and Medical Genetics, Haartman Institute and Helsinki University Central Hospital, University of Helsinki, Finland.']",['eng'],"['Comparative Study', 'Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,,"['Adolescent', 'Adult', 'Female', 'Follow-Up Studies', 'Graft vs Leukemia Effect', 'Humans', '*In Situ Hybridization, Fluorescence', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/genetics/*pathology/therapy', 'Male', 'Metaphase', 'Middle Aged', 'Neoplasm, Residual', '*Neoplastic Cells, Circulating', '*Peripheral Blood Stem Cell Transplantation', 'Philadelphia Chromosome', 'Predictive Value of Tests', 'Transplantation, Homologous']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):247-9.,IM,,,,,,,,,,,,,,,,,,,,
15003904,NLM,MEDLINE,20040615,20151119,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,C-myc expression in cell lines derived from chronic myeloid leukemia.,241-3,,"['Gomez-Casares, M Teresa', 'Vaque, Jose P', 'Lemes, Angelina', 'Molero, Teresa', 'Delgado, M Dolores', 'Leon, Javier']","['Gomez-Casares MT', 'Vaque JP', 'Lemes A', 'Molero T', 'Delgado MD', 'Leon J']","['Servicio de Hematologia, Hospital Dr. Negrin, Las Palmas, Spain.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Interferon-alpha)', '0 (Neoplasm Proteins)', '0 (Piperazines)', '0 (Proto-Oncogene Proteins c-myc)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'G1LN9045DK (Busulfan)', 'X6Q56QN5QC (Hydroxyurea)']","['Antineoplastic Agents/pharmacology', 'Apoptosis/drug effects', 'Benzamides', 'Busulfan/pharmacology', 'Cell Division/drug effects', 'Cell Line, Tumor/drug effects/metabolism', 'Gene Expression Regulation, Neoplastic/drug effects', '*Genes, myc', 'Humans', 'Hydroxyurea/pharmacology', 'Imatinib Mesylate', 'Interferon-alpha/pharmacology', 'K562 Cells/drug effects/metabolism', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/metabolism/pathology', 'Neoplasm Proteins/*biosynthesis/genetics', 'Piperazines/pharmacology', 'Proto-Oncogene Proteins c-myc/*biosynthesis', 'Pyrimidines/pharmacology']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):241-3.,IM,,,,,,,,,,,,,,,,,,,,
15003903,NLM,MEDLINE,20040615,20100526,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,A further case of myeloproliferative syndrome with reciprocal translocation (8;13)(p11;q12).,239-41,,"['Invernizzi, Rosangela', 'Benatti, Chiara', 'Travaglino, Erica', 'Girino, Margherita', 'Bernasconi, Paolo', 'Loni, Carlo', 'Ascari, Edoardo']","['Invernizzi R', 'Benatti C', 'Travaglino E', 'Girino M', 'Bernasconi P', 'Loni C', 'Ascari E']","['Medicina Interna ed Oncologia Medica, Universita di Pavia, IRCCS Policlinico S. Matteo, Pavia, Italy.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",Italy,Haematologica,Haematologica,0417435,"['0 (Receptors, Fibroblast Growth Factor)', 'EC 2.7.10.1 (FGFR1 protein, human)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (Receptor, Fibroblast Growth Factor, Type 1)']","['Acute Disease', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Chromosomes, Human, Pair 13/genetics/*ultrastructure', 'Chromosomes, Human, Pair 8/genetics/*ultrastructure', 'Disease Progression', 'Eosinophilia/etiology/*genetics', 'Humans', 'Leukemia, Myeloid/etiology', 'Male', 'Myeloproliferative Disorders/complications/drug therapy/*genetics/therapy', 'Peripheral Blood Stem Cell Transplantation', 'Receptor Protein-Tyrosine Kinases/genetics', 'Receptor, Fibroblast Growth Factor, Type 1', 'Receptors, Fibroblast Growth Factor/genetics', '*Translocation, Genetic', 'Treatment Failure']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):239-41.,IM,,,,,,,,10,,,,,,,,,,,,
15003898,NLM,MEDLINE,20040615,20131121,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,"Practice guidelines for the therapy of essential thrombocythemia. A statement from the Italian Society of Hematology, the Italian Society of Experimental Hematology and the Italian Group for Bone Marrow Transplantation.",215-32,"BACKGROUND AND OBJECTIVES: The Italian Society of Hematology (SIE) and the two affiliated Societies (SIES and GITMO) commissioned a project to develop guidelines for the therapy of essential thrombocythemia (ET) using evidence-based knowledge and consensus formation techniques. DESIGN AND METHODS: Key questions on the optimal management of ET patients were formulated by an Advisory Council (AC) and approved by an Expert Panel (EP) composed of 7 senior hematologists. The AC systematically reviewed the published literature from 1980 to August 2002, and articles were graded according to their internal validity and quality. Using the Delphi technique, the EP was asked to answer the key questions according to the available evidence. From September 2002 to March 2003, four Consensus Conferences were held in accordance with the Nominal Group Technique with the goal of solving residual disagreement on recommendations. RESULTS: The EP provided recommendations on when to start platelet-lowering therapy, the most appropriate platelet-lowering agent, the use of anti-platelet therapy, and the management of women in childbearing age and of pregnant women. INTERPRETATION AND CONCLUSIONS: By using evidence and consensus, recommendations for the treatment of key problems in ET have been issued. Statements are graded according to the strength of the supporting evidence and uncertainty is explicitly declared.","['Barbui, Tiziano', 'Barosi, Giovanni', 'Grossi, Alberto', 'Gugliotta, Luigi', 'Liberato, Lucio N', 'Marchetti, Monia', 'Mazzucconi, Maria Gabriella', 'Rodeghiero, Francesco', 'Tura, Sante']","['Barbui T', 'Barosi G', 'Grossi A', 'Gugliotta L', 'Liberato LN', 'Marchetti M', 'Mazzucconi MG', 'Rodeghiero F', 'Tura S']","['Divisione di Ematologia. Spedali Riuniti, Bergamo, Italy.']",['eng'],"['Consensus Development Conference', 'Guideline', 'Journal Article', 'Practice Guideline', 'Review']",Italy,Haematologica,Haematologica,0417435,"['0 (Alkylating Agents)', '0 (Fibrinolytic Agents)', '0 (Platelet Aggregation Inhibitors)', 'X6Q56QN5QC (Hydroxyurea)']","['Acute Disease', 'Adult', 'Aged', 'Alkylating Agents/adverse effects/therapeutic use', 'Cell Transformation, Neoplastic', 'Child', 'Clinical Trials as Topic', 'Cohort Studies', 'Disease Progression', 'Evidence-Based Medicine', 'Female', 'Fibrinolytic Agents/therapeutic use', 'Hemorrhage/prevention & control', 'Humans', 'Hydroxyurea/adverse effects/therapeutic use', 'Infant, Newborn', 'Leukemia, Myeloid/etiology/prevention & control', 'Male', 'Middle Aged', 'Platelet Aggregation Inhibitors/adverse effects/therapeutic use', 'Pregnancy', 'Pregnancy Outcome', 'Survival Analysis', 'Thrombocythemia, Essential/*drug therapy/therapy', 'Thrombophilia/complications/genetics', 'Thrombosis/prevention & control', 'Treatment Outcome']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):215-32.,IM,,,,,,['Haematologica. 2004 Feb;89(2):137-8. PMID: 15003887'],,114,,,,,,,,,,,,
15003897,NLM,MEDLINE,20040615,20160920,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,Mucormycosis in hematologic patients.,207-14,"BACKGROUND AND OBJECTIVES: To evaluate the clinical characteristics of patients affected by hematologic malignancies who developed mucormycosis and to ascertain the factors which influenced the outcome following mycotic infection. DESIGN AND METHODS: This was a retrospective study conducted over a 15-year period (1987-2001). The study included 59 patients with hematologic malignancies with a proven or probable mucormycosis admitted in 18 Hematology Divisions in tertiary care or university hospitals. RESULTS: The most frequent sites of infection were lung (64%) and orbito-sinus-facial (24%); cerebral involvement observed in 19% of cases was always associated with other sites of infection. Antifungal treatment was empirically administered in 49 patients (83%); 7 patients underwent radical surgical debridement (12%). Therapy was successful for only 18 patients (37%). Forty-seven patients died within 3 months of the diagnosis of fungal infection: the cause of death was mucormycosis in 41 patients (87%) and progression of hematologic disease in 6 patients (13%). At univariate analysis, the factors that correlated with a positive outcome from infection were the following: male sex, amphotericin B treatment, neutrophil recovery from post-chemotherapy aplasia. At multivariate analysis, the only factor that significantly correlated with recovery from infection was the liposomal amphotericin B treatment. INTERPRETATION AND CONCLUSIONS: Mucormycosis is a rare filamentous fungal infection that occurs most frequently in neutropenic patients with acute leukemia. It does not seem to have increased in recent years. Although a reduction of mortality has been observed recently, the mortality rate still remains high. Extensive and aggressive diagnostic and therapeutic procedures are essential in order to improve the prognosis in these patients.","['Pagano, Livio', 'Offidani, Massimo', 'Fianchi, Luana', 'Nosari, Annamaria', 'Candoni, Anna', 'Picardi, Marco', 'Corvatta, Laura', ""D'Antonio, Domenico"", 'Girmenia, Corrado', 'Martino, Pietro', 'Del Favero, Albano']","['Pagano L', 'Offidani M', 'Fianchi L', 'Nosari A', 'Candoni A', 'Picardi M', 'Corvatta L', ""D'Antonio D"", 'Girmenia C', 'Martino P', 'Del Favero A']","['Istituto di Ematologia, Universita Cattolica S. Cuore, Roma, Italy. lpagano@rm.unicatt.it', 'Dipartimento de Medicina Clinica-Azienda Ospedaliera Universitaria Federico II, Napoli, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Italy,Haematologica,Haematologica,0417435,"['0 (Antifungal Agents)', '0 (Triazoles)', '7XU7A7DROE (Amphotericin B)']","['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Amphotericin B/therapeutic use', 'Antifungal Agents/therapeutic use', 'Encephalitis/drug therapy/epidemiology/etiology/microbiology', 'Female', 'Fungemia/drug therapy/epidemiology/etiology/microbiology', 'Hematologic Neoplasms/*complications', 'Humans', 'Immunocompromised Host', 'Italy/epidemiology', 'Lung Diseases, Fungal/drug therapy/epidemiology/etiology/microbiology/surgery', 'Male', 'Middle Aged', 'Mucormycosis/drug therapy/*epidemiology/etiology/surgery', 'Neutropenia/chemically induced/complications', 'Retrospective Studies', 'Risk Factors', 'Sinusitis/drug therapy/epidemiology/etiology/microbiology', 'Treatment Outcome', 'Triazoles/therapeutic use']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):207-14.,IM,,,,,,,,45,,,,"[""GIMEMA (Gruppo Italiano Malattie EMatologiche dell'Adulto) Infection Program""]",,,,,,,,
15003893,NLM,MEDLINE,20040615,20131121,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,Longitudinal follow-up of patients with Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis.,183-8,"BACKGROUND AND OBJECTIVES: Although immunochemotherapy has been reported to be an effective initial treatment for patients with Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis (EBV-HLH), the long-term outcome of these patients remains unknown. The main purpose of this study was to determine the outcome of the EBV-HLH patients treated between 1992 and 2001. DESIGN AND METHODS: During this period, a total of 78 EBV-HLH patients were consecutively registered in 3 separate studies. The rates of initial response, reactivation, and survival as well as causes of death were analyzed. The outcome of the patients who received hematopoietic stem cell transplantation was also studied. RESULTS: With a median follow-up of 43 months, clinical reactivation was noted in 13 patients (19.4%) and a total of 12 patients needed hematopoietic stem cell transplantation, of whom 9 are alive and well. There had been 19 deaths: early deaths were due to hemorrhages and infections (n=11), while late deaths were related to late reactivation (n=4), transplant-associated causes (n=3) and secondary leukemia (n=1). Overall, after a median follow-up of 43 months, 59 (75.6%) of the 78 patients are alive and well. INTERPRETATION AND CONCLUSIONS: The majority of successfully treated EBV-HLH patients have a good outcome and remain disease-free.","['Imashuku, Shinsaku', 'Teramura, Tomoko', 'Tauchi, Hisamichi', 'Ishida, Yasushi', 'Otoh, Yoshiko', 'Sawada, Machiko', 'Tanaka, Haruki', 'Watanabe, Arata', 'Tabata, Yasuhiro', 'Morimoto, Akira', 'Hibi, Shigeyoshi', 'Henter, Jan-Inge']","['Imashuku S', 'Teramura T', 'Tauchi H', 'Ishida Y', 'Otoh Y', 'Sawada M', 'Tanaka H', 'Watanabe A', 'Tabata Y', 'Morimoto A', 'Hibi S', 'Henter JI']","['Kyoto City Institute of Health and Environmental Sciences, Kyoto, Japan.']",['eng'],"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['0 (Immunoglobulins, Intravenous)', '6PLQ3CP4P3 (Etoposide)', '7S5I7G3JQL (Dexamethasone)']","['Adolescent', 'Cause of Death', 'Child', 'Child, Preschool', 'Cohort Studies', 'Combined Modality Therapy', 'Cord Blood Stem Cell Transplantation', 'Dexamethasone/administration & dosage/therapeutic use', 'Drug Therapy, Combination', 'Epstein-Barr Virus Infections/mortality/*therapy', 'Etoposide/administration & dosage/therapeutic use', 'Female', 'Follow-Up Studies', 'Herpesvirus 4, Human/growth & development', 'Histiocytosis, Non-Langerhans-Cell/mortality/*therapy/virology', 'Humans', 'Immunoglobulins, Intravenous/therapeutic use', 'Immunotherapy', 'Infant', 'Japan/epidemiology', 'Male', 'Peripheral Blood Stem Cell Transplantation', 'Prognosis', 'Prospective Studies', 'Remission Induction', 'Survival Analysis', 'Treatment Outcome', 'Virus Activation']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):183-8.,IM,,,,,,,,,,,,,,,,,,,,
15003890,NLM,MEDLINE,20040615,20201113,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,Aberrant promoter methylation of multiple genes throughout the clinico-pathologic spectrum of B-cell neoplasia.,154-64,"BACKGROUND AND OBJECTIVES: Aberrant promoter methylation targets CpG islands causing gene silencing. We explored aberrant promoter methylation of genes potentially involved in B-cell malignancies and encoding proteins implicated in DNA repair (O6-methylguanine-DNA methyltransferase, MGMT), detoxification of environmental xenobiotics (glutathione S-transferase P1, GSTP1), apoptosis regulation (death associated protein kinase, DAP-k and caspase 8, CASP8) and cell cycle control (p73). DESIGN AND METHODS: Three hundred and seventeen B-cell malignancies were investigated by methylation-specific polymerase chain reaction (MSP) of MGMT, GSTP1, DAP-k, CASP8 and p73 genes. In selected cases, MSP results were matched to protein expression studies by immunohistochemistry or Western blotting. RESULTS: DAP-k promoter methylation occurred at highest frequency in follicular lymphoma (85.0%) and MALT-lymphoma (72.2%). MGMT methylation targeted both precursor B-cell neoplasia (23.8%) and mature B-cell tumors (27.6%). GSTP1 methylation was commonest in hairy cell leukemia (75.0%), follicular lymphoma (55.5%), Burkitt s lymphoma (52.0%), and MALT lymphoma (50.0%). Methylation of p73 and CASP8 was rare or absent. DAP-k and MGMT methylation caused absent protein expression. INTERPRETATION AND CONCLUSIONS: Methylation of MGMT, DAP-k and GSTP1 represents a major pathogenetic event in several B-cell malignancies. In follicular lymphoma and MALT lymphoma, frequent inactivation of the apoptosis extrinsic pathway through DAP-k methylation may reinforce the survival advantage already conferred by deregulation of the intrinsic apoptotic pathway. Inactivation of GSTP1 in gastric MALT lymphoma represents an additional mechanism favoring accumulation of reactive oxygen species and lymphomagenesis. Finally, the frequency of GSTP1 aberrant methylation in diffuse large B-cell lymphoma prompts studies aimed at verifying the prognostic impact of this epigenetic lesion in these lymphomas.","['Rossi, Davide', 'Capello, Daniela', 'Gloghini, Annunziata', 'Franceschetti, Silvia', 'Paulli, Marco', 'Bhatia, Kishor', 'Saglio, Giuseppe', 'Vitolo, Umberto', 'Pileri, Stefano A', 'Esteller, Manel', 'Carbone, Antonino', 'Gaidano, Gianluca']","['Rossi D', 'Capello D', 'Gloghini A', 'Franceschetti S', 'Paulli M', 'Bhatia K', 'Saglio G', 'Vitolo U', 'Pileri SA', 'Esteller M', 'Carbone A', 'Gaidano G']","['Hematology Unit, Dept. of Medical Sciences and IRCAD, Amedeo Avogadro University of Eastern Piedmont, Novara, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['0 (Apoptosis Regulatory Proteins)', '0 (DNA-Binding Proteins)', '0 (Nuclear Proteins)', '0 (TP73 protein, human)', '0 (Tumor Protein p73)', '0 (Tumor Suppressor Proteins)', 'EC 2.1.1.63 (O(6)-Methylguanine-DNA Methyltransferase)', 'EC 2.3.- (Acyltransferases)', 'EC 2.7.11.1 (Death-Associated Protein Kinases)', 'EC 2.7.11.17 (Calcium-Calmodulin-Dependent Protein Kinases)', 'EC 3.1.1.67 (fatty acyl ethyl ester synthase)', 'EC 3.4.22.- (CASP8 protein, human)', 'EC 3.4.22.- (Caspase 8)', 'EC 3.4.22.- (Caspases)']","['Acyltransferases/genetics', 'Aneuploidy', 'Apoptosis/genetics', 'Apoptosis Regulatory Proteins', 'Blast Crisis/genetics', 'Calcium-Calmodulin-Dependent Protein Kinases/genetics', 'Caspase 8', 'Caspases/genetics', 'Cell Cycle/genetics', '*CpG Islands', '*DNA Methylation', 'DNA Repair/genetics', 'DNA-Binding Proteins/genetics', 'Death-Associated Protein Kinases', 'Disease Progression', 'Follow-Up Studies', '*Gene Silencing', 'Genes, Tumor Suppressor', 'Humans', 'Inactivation, Metabolic/genetics', 'Leukemia, B-Cell/classification/*genetics/pathology', 'Lymphoma, B-Cell/classification/*genetics/pathology', 'Nuclear Proteins/genetics', 'O(6)-Methylguanine-DNA Methyltransferase/genetics', 'Promoter Regions, Genetic/genetics', 'Tumor Protein p73', 'Tumor Suppressor Proteins']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):154-64.,IM,,,,,,,,,,,,,,,,,,,,
15003889,NLM,MEDLINE,20040615,20140728,1592-8721 (Electronic) 0390-6078 (Linking),89,2,2004 Feb,GIMEMA ALL - Rescue 97: a salvage strategy for primary refractory or relapsed adult acute lymphoblastic leukemia.,145-53,"BACKGROUND AND OBJECTIVES: The outcome of adult patients with acute lymphoblastic leukemia (ALL) is discouraging, only about 30% of them becoming long-term survivors. A small fraction of patients are resistant to the first line treatment, while most patients relapse within two years of achieving complete remission (CR). No standard treatment exists for refractory or relapsed patients. The GIMEMA group designed a phase II trial for adult ALL patients with refractory or relapsed disease. DESIGN AND METHODS: Patients aged >15 years with primary refractory or relapsed ALL were eligible for this study. The salvage strategy included a single high dose of idarubicin combined with high dose cytarabine, followed by consolidation therapy leading to a stem cell transplant procedure according to donor availability. RESULTS: From 1998 to 2002, 135 patients were enrolled. Seventy-five patients (55%) achieved CR, including 12 Philadelphia-positive cases; 44 patients had persistent leukemia and 16 died during reinduction. Fifty patients received a stem cell transplant: 19 from an HL-A identical sibling, 16 from an unrelated donor, 7 from a haploidentical relative, 2 received cord blood, and 6 had an autotransplant. The median disease-free and overall survival were both short (5.0 and 6.4 months, respectively); however, after a median follow-up of 40 months, 13 patients are alive, 10 of whom are free of disease (9 transplanted), while 3 are alive with leukemia. INTERPRETATION AND CONCLUSIONS: The treatment induced CR in a high percentage of poor prognosis patients, thus rendering a transplant procedure feasible in most of them. However, significant rates of transplant-related mortality and post-transplant relapse encourage the search for more effective and less toxic conditioning regimens.","['Camera, Andrea', 'Annino, Luciana', 'Chiurazzi, Federico', 'Fazi, Paola', 'Cascavilla, Nicola', 'Fabbiano, Francesco', 'Marmont, Filippo', 'Di Raimondo, Francesco', 'Recchia, Anna', 'Vignetti, Marco', 'Rotoli, Bruno', 'Mandelli, Franco']","['Camera A', 'Annino L', 'Chiurazzi F', 'Fazi P', 'Cascavilla N', 'Fabbiano F', 'Marmont F', 'Di Raimondo F', 'Recchia A', 'Vignetti M', 'Rotoli B', 'Mandelli F']","['Hematology, Federico II University, Naples, Italy.']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase II', 'Journal Article', 'Multicenter Study']",Italy,Haematologica,Haematologica,0417435,,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/adverse effects/*therapeutic use', 'Bone Marrow Diseases/chemically induced', 'Combined Modality Therapy', 'Disease-Free Survival', 'Female', 'Heart Failure/chemically induced/mortality', 'Hematopoietic Stem Cell Transplantation', 'Hemorrhage/chemically induced/mortality', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/therapy', 'Remission Induction', '*Salvage Therapy', 'Stomatitis/chemically induced', 'Survival Analysis', 'Treatment Outcome']",2004/03/09 05:00,2004/06/16 05:00,['2004/03/09 05:00'],"['2004/03/09 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/03/09 05:00 [entrez]']",,ppublish,Haematologica. 2004 Feb;89(2):145-53.,IM,,,,,,,,,,,,,,,,,,,,
