PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,RF,PMC,SI,RIN
6200389,NLM,MEDLINE,19840521,20041117,0323-4347 (Print) 0323-4347 (Linking),110,6,1983,Morbidity of chronic myeloid leukemia.,785-91,"['Heilmann, E', 'Rogge, M']","['Heilmann E', 'Rogge M']",['eng'],['Journal Article'],Germany,Folia Haematol Int Mag Klin Morphol Blutforsch,"Folia haematologica (Leipzig, Germany : 1928)",0374615,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Child', 'Female', 'Germany, West', 'Humans', 'Leukemia, Myeloid/*epidemiology', 'Male', 'Middle Aged', 'Sex Ratio']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Folia Haematol Int Mag Klin Morphol Blutforsch. 1983;110(6):785-91.,,"In 129 patients with chronic myeloid leukemia recorded in our files between 1955 and 1978, the sex ratio showed a slight decrease of the previously higher proportion of males. The morbidity rates of the two sexes are approaching. A shift of the incidence peak in males to a younger age is a striking feature, in contrast to a shift to the opposite direction in females. The incidence peak of women shifted from 35 years in the first to 65 yr in the second period, for men from 55 to 35 yr. The mean age at diagnosis was higher in women than in men. A decrease of frequency was observed during the second period 1970-1978. Whether this is a real improvement and consistent trend has to be ascertained by further studies.",,,,,
6200132,NLM,MEDLINE,19840511,20190704,0007-1048 (Print) 0007-1048 (Linking),55,4,1983 Dec,Cultured marrow stromal cells express common acute lymphoblastic leukaemia antigen (CALLA): implications for marrow transplantation.,623-8,"['Keating, A', 'Whalen, C K', 'Singer, J W']","['Keating A', 'Whalen CK', 'Singer JW']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Epitopes)', '9007-36-7 (Complement System Proteins)']",IM,"['Antibodies, Monoclonal/immunology', 'Antigens, Neoplasm/*analysis', 'Bone Marrow/*immunology', 'Bone Marrow Transplantation', 'Cell Adhesion', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Complement System Proteins/immunology', 'Cytotoxicity, Immunologic', 'Epitopes/*analysis', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Time Factors']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",['10.1111/j.1365-2141.1983.tb02844.x [doi]'],ppublish,Br J Haematol. 1983 Dec;55(4):623-8. doi: 10.1111/j.1365-2141.1983.tb02844.x.,,"This study demonstrates the presence of an antigenic determinant associated with the common acute lymphoblastic leukaemia antigen (CALLA), and presumably CALLA itself, on stromal cells in normal human long-term marrow cultures by using two monoclonal anti-CALLA antibodies, J-5 and 24.1. Treatment of cultured stromal cells with antibody and complement resulted in the loss of most flat angulated cells and many of the fat-containing cells. However, long-term cultures were generated with cytotoxic antibody-treated marrow buffy coat cells, and the stromal cells in these cultures were also CALLA-positive. We conclude that CALLA-bearing stromal cells arise from CALLA-negative progenitors. CALLA therefore could be either a differentiation antigen acquired on mature marrow stromal cells or may arise as a proliferation-dependent antigen. These studies suggest that the generation of long-term cultures from cytotoxic antibody-treated marrow may be an appropriate in vitro model for the functional assessment of such marrow prior to its use in autologous transplantation.",,,,,
6200131,NLM,MEDLINE,19840511,20190704,0007-1048 (Print) 0007-1048 (Linking),55,4,1983 Dec,Fetal haemoglobin synthesis following fetal liver transplantation in man.,609-14,"['Delfini, C', 'Saglio, G', 'Mazza, U', 'Muretto, P', 'Filippetti, A', 'Lucarelli, G']","['Delfini C', 'Saglio G', 'Mazza U', 'Muretto P', 'Filippetti A', 'Lucarelli G']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['9004-22-2 (Globins)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Bone Marrow/metabolism', 'Child', 'Fetal Hemoglobin/*biosynthesis', 'Fetus', 'Globins/biosynthesis', 'Hematopoiesis', 'Humans', 'Leukemia, Lymphoid/therapy', '*Liver Transplantation', 'Male']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",['10.1111/j.1365-2141.1983.tb02842.x [doi]'],ppublish,Br J Haematol. 1983 Dec;55(4):609-14. doi: 10.1111/j.1365-2141.1983.tb02842.x.,,"Transplantation of haematopoietic tissue from the fetus to the adult is of considerable clinical and theoretical interest. In particular it could help to understand whether the haemoglobin switch is under the influence of environmental factors or inherently programmed in the haemopoietic cell population. In the present study we have monitored haemoglobin synthesis following fetal liver transplantation (FLT) in a patient with acute leukaemia after intensive chemoradiotherapy. 28 days following FLT, the haemoglobin synthesis showed a predominantly fetal haemoglobin pattern, as determined by globin chain synthesis of bone marrow cells and by the peroxidase anti-peroxidase (PAP) method applied to bone marrow sections treated with anti-fetal haemoglobin antibodies. These findings demonstrate that, in man, fetal haemopoietic cells, transplanted into an adult environment, do not immediately switch to the production of adult haemoglobin.",,,,,
6200118,NLM,MEDLINE,19840424,20190623,0006-2952 (Print) 0006-2952 (Linking),33,4,1984 Feb 15,Clavines. New antibiotics with cytostatic activity.,523-6,"['Eich, E', 'Eichberg, D', 'Muller, W E']","['Eich E', 'Eichberg D', 'Muller WE']",['eng'],['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Antibiotics, Antineoplastic)', '0 (Ergolines)', '63231-63-0 (RNA)', '9007-49-2 (DNA)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Cell Survival/drug effects', 'Cells, Cultured', 'DNA/biosynthesis', 'Ergolines/*pharmacology', 'Leukemia L5178/drug therapy', 'Mice', 'RNA/biosynthesis', 'Structure-Activity Relationship']",1984/02/15 00:00,1984/02/15 00:01,['1984/02/15 00:00'],"['1984/02/15 00:00 [pubmed]', '1984/02/15 00:01 [medline]', '1984/02/15 00:00 [entrez]']","['0006-2952(84)90301-0 [pii]', '10.1016/0006-2952(84)90301-0 [doi]']",ppublish,Biochem Pharmacol. 1984 Feb 15;33(4):523-6. doi: 10.1016/0006-2952(84)90301-0.,,"The cytostatic potentials of ten ergolines were determined in the L5178y mouse lymphoma cell system; six of them belong to the clavines (agroclavine, 1-propyl-agroclavine, 1-propyl-festuclavine, 1-allyl-festuclavine, 6-cyano-6-nor-festuclavine and 1-hydroxymethyl-festuclavine) and four to the lysergic acid derivatives (methylergometrine, lysergic acid amide, isolysergic acid amide and lysergic acid diethylamide). It is shown that agroclavine (ED50: 3.9 microM), 1-propyl-agroclavine (3.5 microM), 1-propylfestuclavine (4.3 microM) and 1-allyl-festuclavine (4.3 microM) are potent cytostatic agents. Up to 2 X ED50 concentration the inhibitory effect was completely reversible. Incorporation studies suggested that the compounds inhibit DNA synthesis; this assumption was also supported by the findings which revealed that after incubation with these clavines, the cells showed slight 'unbalanced growth'. 6-Cyano-6-nor-festuclavine was less inhibitory (ED50 11.8 microM). 1-Hydroxymethyl-festuclavine and all lysergic acid derivatives tested were without any detectable activity.",,,,,
6200115,NLM,MEDLINE,19840404,20190623,0006-2952 (Print) 0006-2952 (Linking),33,2,1984 Jan 15,Synergistic interaction between acivicin (AT-125) and 6-thioguanine in the murine leukemia L1210. Biochemical and cytokinetic considerations.,247-54,"['Bhalla, K', 'Nayak, R', 'Deitch, A', 'Grant, S']","['Bhalla K', 'Nayak R', 'Deitch A', 'Grant S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Antimetabolites, Antineoplastic)', '0 (DNA, Neoplasm)', '0 (Guanine Nucleotides)', '0 (Isoxazoles)', '0 (Oxazoles)', '0 (RNA, Neoplasm)', '7540-64-9 (Phosphoribosyl Pyrophosphate)', 'FTK8U1GZNX (Thioguanine)', 'O0X60K76I6 (acivicin)']",IM,"['Animals', 'Antimetabolites, Antineoplastic/*pharmacology', 'Cell Cycle/drug effects', 'Cell Survival/drug effects', 'DNA, Neoplasm/biosynthesis', 'Drug Synergism', 'Flow Cytometry', 'Guanine Nucleotides/metabolism', 'Isoxazoles/*pharmacology', 'Leukemia L1210/*metabolism', 'Mice', 'Oxazoles/*pharmacology', 'Phosphoribosyl Pyrophosphate/metabolism', 'RNA, Neoplasm/biosynthesis', 'Thioguanine/metabolism/*pharmacology']",1984/01/15 00:00,1984/01/15 00:01,['1984/01/15 00:00'],"['1984/01/15 00:00 [pubmed]', '1984/01/15 00:01 [medline]', '1984/01/15 00:00 [entrez]']","['0006-2952(84)90482-9 [pii]', '10.1016/0006-2952(84)90482-9 [doi]']",ppublish,Biochem Pharmacol. 1984 Jan 15;33(2):247-54. doi: 10.1016/0006-2952(84)90482-9.,"['CA-13696-12/CA/NCI NIH HHS/United States', 'IROICA35601-01/CA/NCI NIH HHS/United States']","The effect of the purine antagonist acivicin (AT-125) on the metabolism and cytotoxicity of 6-thioguanine was examined in the murine leukemia L1210. Cells exposed to 5 X 10(-6) M acivicin for 18 hr followed by 10(-5) M [14C]-6-thioguanine for 2 hr accumulated 2.90 +/- 0.17 nmoles 6-thioguanine/10(6) cells compared to 0.69 +/- 0.07 nmoles 6-thioguanine/10(6) cells in untreated controls. Intracellular accumulation of 6-thioguanine monophosphate, a lethal 6-thioguanine metabolite, increased from 0.27 +/- 0.05 to 1.08 +/- 0.13 nmoles 6-thioguanine monophosphate/10(6) cells following the same acivicin exposure. A similar increment was observed for the formation of 6-thioguanine triphosphate. These alterations in 6-thioguanine metabolism were associated with an increase in the intracellular level of 5-phosphoribosyl-1-pyrophosphate, an obligatory substrate in 6-thioguanine activation (57.9 +/- 7.6 vs 13.4 +/- 2.3 ng 5-phosphoribosyl-1-pyrophosphate/10(6) cells). In contrast, there was a 50% reduction in the amount of 6-thioguanine incorporated into RNA and DNA following acivicin pretreatment. Cytofluorometric analysis revealed that an 18-hr exposure to 5 X 10(6) M acivicin increased the population 5-phase cells, which are more sensitive to the actions of 6-thioguanine, by 50% relative to untreated controls. In both suspension culture growth and soft agar studies, the sequential administration of acivicin followed by 6-thioguanine resulted in substantial growth inhibitory activity; in contrast, the effects of the reverse sequence were subadditive. Pretreatment of L1210 cells with acivicin potentiates the action of subsequently administered 6-thioguanine, and the mechanism may involve both biochemical as well as cytokinetic factors. In vivo studies involving the sequential administration of these agents appear warranted.",,,,,
6200079,NLM,MEDLINE,19840406,20131121,0385-0684 (Print) 0385-0684 (Linking),11,3,1984 Mar,[Augmentation of antitumor activity of Lactobacillus casei YIT 8018 (LC 9018) in combination with various antitumor drugs].,445-51,"['Matsuzaki, T', 'Kato, I', 'Yokokura, T', 'Mutai, M']","['Matsuzaki T', 'Kato I', 'Yokokura T', 'Mutai M']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antineoplastic Agents)', '0 (Mitomycins)', '11056-06-7 (Bleomycin)', '50SG953SK6 (Mitomycin)', '8N3DW7272P (Cyclophosphamide)', 'U3P01618RT (Fluorouracil)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Bleomycin/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Fluorouracil/therapeutic use', '*Lactobacillus casei', 'Leukemia L1210/drug therapy/therapy', 'Liver Neoplasms, Experimental/drug therapy/therapy', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Mice, Inbred ICR', 'Mitomycin', 'Mitomycins/therapeutic use', 'Neoplasms, Experimental/drug therapy/*therapy', 'Sarcoma, Experimental/drug therapy/therapy']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1984 Mar;11(3):445-51.,,"Augmentation of antitumor activity of Lactobacillus casei YIT 9018 (LC 9018), which strongly inhibits the growth of transplantable allogeneic and syngeneic mouse tumors, in combination with antitumor drugs was investigated. Antitumor drugs used in this study were cyclophosphamide (CY), mitomycin C (MMC), 5-fluorouracil (5-FU) and bleomycin (BLM). The antitumor activity of LC 9018 was augmented by combining 5-FU, MMC or BLM against subcutaneously implanted Meth A and BLM, 5-FU or CY against subcutaneously implanted Sarcoma 180 respectively. Furthermore, combinations with BLM, CY, MMC or 5-FU, BLM, CY, MMC significantly inhibited the growth of intraperitoneally inoculated Meth A or Sarcoma 180, respectively. The combination therapy of LC 9018 with CY significantly prolonged the life span of L 1210-inoculated mouse, while the treatment with LC 9018 alone had no inhibitory effect on L 1210. It was suggested that augmentation of antitumor activity of LC 9018 in combination with CY was due to the inhibition of decrease in the number of peritoneal exudate cells caused by CY injection.",,,,,
6200056,NLM,MEDLINE,19840404,20061115,0250-7005 (Print) 0250-7005 (Linking),3,6,1983 Nov-Dec,Expression of the human beta globin gene and 5'-deletion mutants in erythroleukemic mouse cells studied by DNA mediated gene transfer.,409-16,"['Spandidos, D A']",['Spandidos DA'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Greece,Anticancer Res,Anticancer research,8102988,"['0 (Beta-Globulins)', '9007-49-2 (DNA)']",IM,"['Animals', 'Base Sequence', 'Beta-Globulins/*genetics', '*Chromosome Deletion', 'DNA/*analysis', 'Gene Expression Regulation', 'Humans', 'Leukemia, Erythroblastic, Acute/*genetics', 'Mice', '*Mutation', 'Nucleic Acid Hybridization', 'Transcription, Genetic']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",,ppublish,Anticancer Res. 1983 Nov-Dec;3(6):409-16.,,"A recombinant plasmid pTKH beta GHp-3 carrying genomic human DNA sequences coding for the beta globin gene covalently linked to the thymidine kinase gene of HSV-1 and the ampicillin resistance region of a bacterial plasmid has been constructed. Using Bal 31 exonuclease, deletion mutants have been obtained from a single HpaI site located 800 bp upstream the 5' end of the beta globin gene and towards the cap site. Recipient mouse erythroleukemic Friend TK- cells were transformed with these molecules. Analysis of donor DNA sequences in transformed cells by Southern blotting and filter hybridization has demonstrated the presence of full length multiple copies. RNA isolated from transformed non-induced Friend cells, carrying one or the other of the donor human beta globin deletion mutants, has been analysed by Northern blot and spot hybridization analyses. Evidence has been obtained which suggests that DNA sequences located upstream the CCAAT box (at -76 bp from the cap site) are required for optimal levels of human beta globin specific RNA in transformed cells.",,,,,
6199972,NLM,MEDLINE,19840411,20190627,0002-9343 (Print) 0002-9343 (Linking),76,3,1984 Mar,Herpes virus infections in patients with neoplastic disease. Diagnosis and therapy.,464-78,"['Wong, K K', 'Hirsch, M S']","['Wong KK', 'Hirsch MS']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Am J Med,The American journal of medicine,0267200,"['0 (Antineoplastic Agents)', '0 (Antiviral Agents)', '2M3055079H (brivudine)', '9008-11-1 (Interferons)', 'FA2DM6879K (Vidarabine)', 'G34N38R2N1 (Bromodeoxyuridine)', 'X4HES1O11F (Acyclovir)']",IM,"['Acyclovir/therapeutic use', 'Antineoplastic Agents/adverse effects', 'Antiviral Agents/*therapeutic use', 'Bone Marrow Transplantation', 'Bromodeoxyuridine/analogs & derivatives/therapeutic use', 'Cloning, Molecular', 'Cytomegalovirus Infections/diagnosis', 'Herpes Simplex/pathology', 'Herpes Zoster/diagnosis', 'Herpesviridae Infections/*diagnosis/drug therapy/etiology', 'Humans', 'Infectious Mononucleosis/diagnosis', 'Interferons/therapeutic use', 'Kidney Transplantation', 'Leukemia/complications', 'Lymphopenia/complications', 'Neoplasms/*complications', 'Pulmonary Fibrosis/etiology', 'Vidarabine/therapeutic use']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']","['0002-9343(84)90666-1 [pii]', '10.1016/0002-9343(84)90666-1 [doi]']",ppublish,Am J Med. 1984 Mar;76(3):464-78. doi: 10.1016/0002-9343(84)90666-1.,['NCP 43222/CP/NCI NIH HHS/United States'],Herpes viruses are among the most common and troublesome opportunistic pathogens infecting patients with neoplastic diseases. The recent development of partially effective and relatively nontoxic antiviral agents offers promise for the prophylaxis or therapy of these infections in high-risk groups. Vidarabine and acyclovir have shown efficacy in several herpes virus infections and are now licensed in the United States. Alpha interferon may also be useful in the prophylaxis or early therapy of certain herpes virus infections. Newer antiviral agents and combination therapies are under study. Early and rapid diagnosis of such infections is critical to the development of effective therapy.,,146,,,
6199952,NLM,MEDLINE,19840424,20171006,0386-300X (Print) 0386-300X (Linking),38,1,1984 Feb,Successful treatment with interferon of chicken pox in children with acute leukemia.,71-8,"['Kim, B S']",['Kim BS'],['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Acta Med Okayama,Acta medica Okayama,0417611,"['0 (Antineoplastic Agents)', '9008-11-1 (Interferons)']",IM,"['Acute Disease', 'Antineoplastic Agents/adverse effects', 'Chickenpox/etiology/*therapy', 'Child', 'Child, Preschool', 'Humans', 'Interferons/*therapeutic use', 'Leukemia/*complications', 'Male']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.18926/AMO/30370 [doi]'],ppublish,Acta Med Okayama. 1984 Feb;38(1):71-8. doi: 10.18926/AMO/30370.,,"Childhood leukemia, especially acute lymphocytic leukemia, can now be completely cured by a multimodality approach in one out of every two patients. Since prolonged maintenance therapy with anti-cancer agents for three years is required for complete cure, a significant problem during this course of treatment is death due to secondary infection. Those with childhood leukemia receiving anti-cancer chemotherapy who became secondarily injected with chicken pox can now be treated successfully with interferon in the four cases reported here. Chicken pox was cured even while one of them was in relapse. Therefore, it can be said that a bright prospect, namely interferon, is on the horizon in the treatment of secondary viral diseases associated with acute leukemia.",,,,,
6199896,NLM,MEDLINE,19840424,20061115,0042-8809 (Print) 0042-8809 (Linking),29,6,1983 Nov-Dec,[Polyadenylated RNA and poly-A segments in the splenic cells of mice with virus-induced Rauscher leukemia].,63-9,"['Smirnova, I A', 'Nakonechnyi, N V']","['Smirnova IA', 'Nakonechnyi NV']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Med Khim,Voprosy meditsinskoi khimii,0416601,"['0 (DNA, Viral)', '0 (RNA, Messenger)', '24937-83-5 (Poly A)', '63231-63-0 (RNA)']",IM,"['Animals', 'Cell Transformation, Neoplastic', 'DNA, Viral/metabolism', 'Electrophoresis, Agar Gel', 'Leukemia, Experimental/*metabolism', 'Mice', 'Mice, Inbred BALB C', 'Poly A/*metabolism', 'RNA/*metabolism', 'RNA, Messenger', 'Rauscher Virus', 'Spleen/metabolism']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",,ppublish,Vopr Med Khim. 1983 Nov-Dec;29(6):63-9.,,In spleen cells of mice with Rauscher++ leukosis polyadenilation of RNA was impaired: an increase in content of Gya poly(A)+ RNA and a change in the composition of poly-A-segments were observed. In DNA of leukemic and normal cells dA-fragments were found content of which was increased in leukemic cells as compared with normal ones. Leukemic transformation appears to be accompanied by appearance of the additional poly-A-fragments in the cells.,Poliadenilirovannye RNK i poli-A-segmenty v kletkakh selezenki myshei s virusindutsirovannym leikozom Raushera.,,,,
6199893,NLM,MEDLINE,19840424,20190714,0042-6822 (Print) 0042-6822 (Linking),133,1,1984 Feb,"A cell membrane ""gp70"" associated with Fv-4 gene: immunological characterization, and tissue and strain distribution.",65-76,"['Ikeda, H', 'Odaka, T']","['Ikeda H', 'Odaka T']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,"['0 (Antigens, Surface)', '0 (Epitopes)', '0 (Viral Envelope Proteins)']",IM,"['Animals', 'Antigens, Surface/genetics', 'Cell Membrane/immunology', '*Cell Transformation, Neoplastic', 'Crosses, Genetic', 'Embryo, Mammalian', 'Epitopes/genetics', '*Genes', '*Genes, Dominant', 'Immunity, Innate', 'Leukemia Virus, Murine/genetics', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred Strains', 'Species Specificity', 'Viral Envelope Proteins/*genetics/immunology', 'Virus Replication']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.1016/0042-6822(84)90426-4 [doi]'],ppublish,Virology. 1984 Feb;133(1):65-76. doi: 10.1016/0042-6822(84)90426-4.,,"Fv-4r is a dominant resistance gene which controls susceptibility of mice to exogenous infection with ecotropic murine leukemia virus (MuLV). A MuLV env-gene product related to gp70 on cells from uninfected Fv-4r mice has been found. Expression of this molecule is closely linked to the resistance allele. Antigenic determinants on the Fv-4r gp70 are similar to many ecotropic and some dualtropic MuLV gp70s but different from xenotropic and amphotropic MuLV gp70s. The Fv-4r gp70 molecule also has unique antigenic determinants since it is recognized by Fv-4 specific antisera which do not recognize other cell membrane gp70s or viral gp70s. The Fv-4-specific cell membrane gp70 is detectable on cells from thymus, spleen, lymph node, bone marrow, and embryo fibroblasts from Fv-4r mice, but not from Fv-4s mice. Slight differences in electrophoretic mobility of Fv-4r gp70 are found on different tissues. This unique cell membrane gp70 may be causally related to Fv-4 resistance.",,,,,
6199868,NLM,MEDLINE,19840424,20190825,0001-2815 (Print) 0001-2815 (Linking),23,1,1984 Jan,A new polymorphic determinant distinct from but expressed concomitantly with an HLA-Bw44 specificity.,50-7,"['Sparrow, R L', 'McKenzie, I F']","['Sparrow RL', 'McKenzie IF']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Tissue Antigens,Tissue antigens,0331072,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (Epitopes)', '0 (HLA Antigens)', '0 (HLA-B Antigens)', '0 (HLA-B44 Antigen)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Antigens, Surface/analysis', 'Epitopes/*genetics', 'HLA Antigens/*genetics', '*HLA-B Antigens', 'HLA-B44 Antigen', 'Humans', 'Leukemia, Lymphoid/immunology', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred BALB C', '*Polymorphism, Genetic', 'Reference Values']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1111/j.1399-0039.1984.tb00008.x [doi]'],ppublish,Tissue Antigens. 1984 Jan;23(1):50-7. doi: 10.1111/j.1399-0039.1984.tb00008.x.,,A new antigenic determinant defined by a monoclonal antibody (6.7) is described which displays restricted expression being present only on the cells of the immunizing donor and his father and not on a panel of over one hundred unrelated HLA-typed cells. The determinant segregated with the HLA haplotypes of the immunizing donor's family and was shown by immunochemical and capping studies to be located on a subpopulation of HLA molecules. Further capping and antibody-blocking studies using HLA-typing alloantisera revealed that the 6.7-reactive determinant was located on the same molecules that expressed the HLA-Bw44 specificity but was a separate epitope to the polymorphic HLA specificity.,,,,,
6199834,NLM,MEDLINE,19840425,20190908,0036-553X (Print) 0036-553X (Linking),32,3,1984 Mar,Acid phosphatase and acid esterase activity in neoplastic and non-neoplastic lymphoid cells. A semiquantitative evaluation related to immunological markers in 112 cases.,313-22,"['Boesen, A M', 'Hokland, P', 'Jensen, O M']","['Boesen AM', 'Hokland P', 'Jensen OM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,"['EC 3.1.- (Naphthol AS D Esterase)', 'EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/*blood', 'Adolescent', 'Adult', 'Aged', 'B-Lymphocytes/enzymology', 'Carboxylic Ester Hydrolases/*blood', 'Child', 'Female', 'Humans', 'Infectious Mononucleosis/*enzymology', 'Leukemia/*enzymology', 'Lymphocytes/*enzymology', 'Lymphoma/*enzymology', 'Male', 'Middle Aged', 'Naphthol AS D Esterase/*blood', 'Rosette Formation', 'Staining and Labeling', 'T-Lymphocytes/enzymology']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1111/j.1600-0609.1984.tb01697.x [doi]'],ppublish,Scand J Haematol. 1984 Mar;32(3):313-22. doi: 10.1111/j.1600-0609.1984.tb01697.x.,,"Acid phosphatase (AcP) and acid alpha-naphthylacetate esterase (ANAE) were examined in lymphoid cells from 104 patients suffering from various lymphoproliferative disorders and from 8 healthy controls. Enzyme activities were evaluated by means of a scoring system. Scores of AcP and ANAE were higher in normal T cells than non-T cells. In comparison, the activated T cells in infectious mononucleosis showed increased AcP and decreased ANAE reaction. Malignant T lymphoblasts had a distinct granular AcP positivity in contrast to the faint reactivity observed in cALL blasts, whereas ANAE showed negative or weak reaction in both subsets. High scores and distinct staining patterns for both enzymes were found in T CLL and T prolymphocytic leukaemia, clearly different from the weak activities seen in B CLL, B PLL and some B cell lymphomas. The latter, too, could be distinguished by mutual differences in enzyme reactions. High AcP and ANAE scores were also found in hairy cell leukaemia, and the staining patterns together with the tartrate resistance firmly established the diagnosis. Thus, simultaneous determinations of AcP and ANAE can be of great value in the diagnosis of lymphoid malignancies.",,,,,
