PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,PMC,CI,GR,CIN,CON,EIN,TT,LID,SI,UIN,RIN,OTO,OT,IR,FIR,IRAD,DEP,OID,GN
10821940,NLM,MEDLINE,20000706,20190921,0010-4825 (Print) 0010-4825 (Linking),30,4,2000 Jul,A java-based application for differential diagnosis of hematopoietic neoplasms using immunophenotyping by flow cytometry.,225-35,"We describe the implementation of a Java-based application for differential diagnosis of hematopoietic neoplasms using immunophenotyping by flow cytometry. The current version of this Java applet includes the knowledge-base for 33 hematopoietic neoplasms and 43 diagnostic immunophenotyping markers. Java, a new object-oriented computing language, helps facilitate development of this applet, a platform-independent module that can be implemented on the World Wide Web. As the Web rapidly becomes more accessible to users around the world, Web-based software may eventually form the core of decision-support systems in clinical settings. Java-based applications, such as the one described in this paper, are expected to contribute significantly in this area.","['Nguyen, A N', 'Milam, J D', 'Johnson, K A', 'Banez, E I']","['Nguyen AN', 'Milam JD', 'Johnson KA', 'Banez EI']","['Department of Pathology and Laboratory Medicine, University of Texas Health Science Center at Houston, Texas, USA. nguyen@casper.med.uth.tmc.edu']",['eng'],['Journal Article'],United States,Comput Biol Med,Computers in biology and medicine,1250250,IM,"['Antigens, CD/classification', 'Artificial Intelligence', 'Computer Graphics', 'Databases as Topic', 'Decision Support Systems, Clinical', '*Diagnosis, Computer-Assisted', 'Diagnosis, Differential', '*Flow Cytometry', 'Hematologic Neoplasms/*diagnosis', 'Humans', '*Immunophenotyping', 'Internet', 'Leukemia/diagnosis', 'Lymphoma/diagnosis', 'Pattern Recognition, Automated', '*Programming Languages', 'Software', 'User-Computer Interface']",2000/05/24 09:00,2000/07/08 11:00,['2000/05/24 09:00'],"['2000/05/24 09:00 [pubmed]', '2000/07/08 11:00 [medline]', '2000/05/24 09:00 [entrez]']","['S0010-4825(00)00007-X [pii]', '10.1016/s0010-4825(00)00007-x [doi]']",ppublish,Comput Biol Med. 2000 Jul;30(4):225-35. doi: 10.1016/s0010-4825(00)00007-x.,"['0 (Antigens, CD)']",,,,,,,,,,,,,,,,,,,,
10821719,NLM,MEDLINE,20000629,20190709,0022-2623 (Print) 0022-2623 (Linking),43,10,2000 May 18,Structure-activity study on the in vitro antiprotozoal activity of glutathione derivatives.,2072-8,"A series of N-, S-, and COOH-blocked glutathione derivatives were evaluated against the pathogenic parasites Trypanosoma brucei, Trypanosoma cruzi, and Leishmania donovani in vitro, to identify the determinants necessary for activity and for further development into an active lead structure. The results show that N,S-blocked glutathione diesters are the most effective inhibitors of T. brucei with structures 14-16 being the most active, 14 having an IC(50) approximately 1.9 microM. The toxicity effects observed for glutathione derivatives 12, 14, and 16 have been correlated to the K562 antileukemic activity of these compounds and their inhibitory effects on the glyoxalase system of the host. Diester compounds based on S-2,4-dinitrophenylglutathione (17-22) were found to be significantly better inhibitors of T. brucei with ED(50)'s in the range 16-0.19 microM. Compounds 19 and 20 were the two best inhibitors, with an ED(50) of approximately 1.07 and 0.19 microM, respectively; however 20 displayed toxicity in parasitic assays. Monoesters, monoamides, and diamides tested generally exhibited low in vitro activity. The compounds did not inhibit glutathionylspermidine synthetase and trypanothione reductase enzyme targets in the unique trypanothione pathway of these parasites. Diester compounds per se were considered to be ineffective inhibitors of trypanothione metabolism suggesting that these compounds might act as prodrugs, being hydrolyzed in situ into a variety of glutathione derivatives which include combinations of monoesters, free acids, and amines, some of which are inhibitors of trypanothione metabolism.","[""D'Silva, C"", 'Daunes, S']","[""D'Silva C"", 'Daunes S']","['Department of Infectious and Tropical Diseases, London School of Hygiene and Tropical Medicine, Keppel Street, London WC1E 7HT, U.K. C.DSilva@mmu.ac.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Animals', 'Antiprotozoal Agents/*chemical synthesis/*pharmacology/toxicity', 'Cell Survival/drug effects', 'Esterification', 'Female', 'Glutathione/*analogs & derivatives/metabolism', 'Humans', 'Leishmania donovani/*drug effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Macrophages, Peritoneal/parasitology', 'Mice', 'Spermidine/analogs & derivatives/metabolism', '*Structure-Activity Relationship', 'Trypanosoma brucei brucei/*drug effects', 'Trypanosoma cruzi/*drug effects', 'Tumor Cells, Cultured']",2000/05/23 09:00,2000/07/06 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/06 11:00 [medline]', '2000/05/23 09:00 [entrez]']","['jm990259w [pii]', '10.1021/jm990259w [doi]']",ppublish,J Med Chem. 2000 May 18;43(10):2072-8. doi: 10.1021/jm990259w.,"['0 (Antiprotozoal Agents)', '96304-42-6 (trypanothione)', 'GAN16C9B8O (Glutathione)', 'U87FK77H25 (Spermidine)']",,,,,,,,,,,,,,,,,,,,
10821710,NLM,MEDLINE,20000629,20190709,0022-2623 (Print) 0022-2623 (Linking),43,10,2000 May 18,A novel approach for the virtual screening and rational design of anticancer compounds.,1975-85,"A topological substructural approach to molecular design (TOSS-MODE) has been introduced for the selection and design of anticancer compounds. A quantitative model that discriminates anticancer compounds from the inactive ones in a training series was obtained. This model permits the correct classification of 91.43% of compounds in an external prediction set with only 1.43% of false actives and 7. 14% of false inactives. The model developed is then used in a simulation of a virtual search for Ras FTase inhibitors; 87% of the Ras FTase inhibitors used in this simulated search were correctly classified, thus indicating the ability of the TOSS-MODE model of finding lead compounds with novel structures and mechanism of action. Finally, a series of carbonucleosides was designed, and the compounds were classified as active/inactive anticancer compounds by using the model developed here. From the compounds so-designed, 20 were synthesized and evaluated experimentally for their antitumor effects on the proliferation of murine leukemia cells (L1210/0) and human T-lymphocyte cells (Molt4/C8 and CEM/0); 80% of these compounds were well-classified, as active or inactive, and only two pairs of isomeric compounds were false actives. The chloropurine derivatives were the most active compounds, especially compounds 6c, d.","['Estrada, E', 'Uriarte, E', 'Montero, A', 'Teijeira, M', 'Santana, L', 'De Clercq, E']","['Estrada E', 'Uriarte E', 'Montero A', 'Teijeira M', 'Santana L', 'De Clercq E']","['Faculty of Pharmacy, Department of Organic Chemistry, Universidad de Santiago de Compostela, 15706 Santiago de Compostela, Spain. estrada66@yahoo.com']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Alkyl and Aryl Transferases/antagonists & inhibitors', 'Animals', 'Antineoplastic Agents/*chemical synthesis/classification/pharmacology', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Databases, Factual', '*Drug Design', '*Drug Screening Assays, Antitumor', 'Enzyme Inhibitors/chemical synthesis/pharmacology', 'Humans', 'Leukemia L1210/drug therapy/pathology', 'Mice', 'Models, Chemical', 'Molecular Structure', 'Purines/*chemical synthesis/pharmacology', 'Software', 'T-Lymphocytes', 'Tumor Cells, Cultured']",2000/05/23 09:00,2000/07/06 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/06 11:00 [medline]', '2000/05/23 09:00 [entrez]']","['jm991172d [pii]', '10.1021/jm991172d [doi]']",ppublish,J Med Chem. 2000 May 18;43(10):1975-85. doi: 10.1021/jm991172d.,"['0 (6-chloro-9-(2-(hydroxymethyl)cyclopentylmethyl)-9H-purine)', '0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', '0 (Purines)', 'EC 2.5.- (Alkyl and Aryl Transferases)', 'EC 2.5.1.- (p21(ras) farnesyl-protein transferase)']",,,,,,,,,,,,,,,,,,,,
10821704,NLM,MEDLINE,20000629,20210903,0022-2623 (Print) 0022-2623 (Linking),43,10,2000 May 18,"Design and synthesis of Cyclopenta[g]quinazoline-based antifolates as inhibitors of thymidylate synthase and potential antitumor agents(,).",1910-26,"Following the development of raltitrexed, the synthesis of nonpolyglutamatable inhibitors of TS that do not use the reduced folate carrier (RFC) for cellular entry should provide compounds which overcome mechanisms of resistance to folate-based inhibitors of TS that are associated with decreased/altered folylpolyglutamate synthetase (FPGS) expression and/or an impaired RFC. Examination of a computer graphics model of the humanized Escherichia coli TS enzyme with quinazoline inhibitors of TS, such as 1 bound in the active site of the enzyme, suggested that conformational restriction introduced by bridging the C9 with C7 to form a pentacycle may be beneficial for binding to TS. That led to the synthesis of a series of potent cyclopenta[g]quinazoline-based inhibitors of the enzyme in which the glutamyl residue associated with classical antifolates was replaced with a variety of glutamate-derived ligands; the most potent inhibitor being the L-Glu-gamma-D-GluT(alpha) derivative 7j. In the mouse L1210:1565 cell line (mutant RFC), the majority of these compounds had activity equal or only slightly greater compared with the parental L1210 cell line, indicating a reduced dependence on the RFC for cellular uptake in the L1210 cell line.","['Bavetsias, V', 'Marriott, J H', 'Melin, C', 'Kimbell, R', 'Matusiak, Z S', 'Boyle, F T', 'Jackman, A L']","['Bavetsias V', 'Marriott JH', 'Melin C', 'Kimbell R', 'Matusiak ZS', 'Boyle FT', 'Jackman AL']","['CRC Centre for Cancer Therapeutics at The Institute of Cancer Research, Cancer Research Campaign Laboratories, 15 Cotswold Road, Sutton, Surrey SM2 5NG, England.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Cell Division/drug effects', '*Drug Design', 'Enzyme Inhibitors/*chemical synthesis/pharmacology/therapeutic use', 'Folic Acid Antagonists/*chemical synthesis/pharmacology/therapeutic use', 'Glutamates/*chemical synthesis/pharmacology/therapeutic use', 'Leukemia L1210/drug therapy/enzymology/pathology', 'Methotrexate/metabolism', 'Mice', 'Molecular Structure', 'Quinazolines/*chemical synthesis/pharmacology/therapeutic use', 'Structure-Activity Relationship', 'Thymidylate Synthase/*antagonists & inhibitors', 'Tritium', 'Tumor Cells, Cultured']",2000/05/23 09:00,2000/07/06 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/06 11:00 [medline]', '2000/05/23 09:00 [entrez]']","['jm991119p [pii]', '10.1021/jm991119p [doi]']",ppublish,J Med Chem. 2000 May 18;43(10):1910-26. doi: 10.1021/jm991119p.,"['0', '(4-(N-(N-(4-(N-(2-methyl-4-oxo-3,4,7,8-tetrahydro-6H-cyclopenta(g)quinazolin-6-yl', ')-N-(prop-2-ynyl)amino)benzoyl)-gamma-glutamyl)amino)-4-(5-tetrazolyl)butyric', 'acid)', '0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', '0 (Folic Acid Antagonists)', '0 (Glutamates)', '0 (Quinazolines)', '10028-17-8 (Tritium)', 'EC 2.1.1.45 (Thymidylate Synthase)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,,,,,,,
10821537,NLM,MEDLINE,20000630,20211203,0965-0407 (Print) 0965-0407 (Linking),11,9,1999,Attenuation of the induced differentiation of HL-60 leukemia cells by mitochondrial chaperone HSP70.,429-35,"The HSP70 family of heat shock proteins, which are involved in development and cellular differentiation, is elevated in various tumor cell lines. To examine the role of these proteins in neoplastic cell differentiation, four members of the HSP70 multiple gene family (i.e., HSP70, HSC70, GRP78, and mtHSP70) were examined during the induced differentiation of HL-60 promyelocytic leukemia cells. Western analyses showed that continuous exposure for 48 h of HL-60 cells to the differentiation-inducing agents, all-trans retinoic acid, 1,25-dihydroxyvitamin D3, or N-methylformamide, resulted in decreases in mitochondrial HSP70 (mtHSP70), with little change in the levels of HSP70, HSC70, and GRP78. To gain information on the role of mtHSP70 in the differentiation process, HL-60 cells were transfected with either murine mthsp70 cDNA or vector alone. Slightly greater than twofold increases in mtHSP70 protein levels occurred in cells transfected with the mthsp70 cDNA. In vector-transfected HL-60 cells, myeloid differentiation, measured as an increase in CD31 expression and nitroblue tetrazolium positivity, was observed following 3-6 days of treatment with each of the three inducing agents. In contrast, cell differentiation induced by each agent was markedly attenuated in mthsp70-transfected HL-60 cells. These findings suggest that a decrease in mtHSP70 is important for the induced differentiation of HL-60 cells.","['Xu, J', 'Xiao, H H', 'Sartorelli, A C']","['Xu J', 'Xiao HH', 'Sartorelli AC']","['Department of Pharmacology, Cancer Center, Yale University School of Medicine, New Haven, CT 06520, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Oncol Res,Oncology research,9208097,IM,"['Antineoplastic Agents/pharmacology', 'Cell Differentiation/drug effects/*physiology', 'Endoplasmic Reticulum Chaperone BiP', 'HL-60 Cells', 'HSP70 Heat-Shock Proteins/genetics/*physiology', 'Humans', 'Mitochondria/physiology', 'Molecular Chaperones/genetics/*physiology', 'Steroid Hydroxylases/pharmacology', 'Transfection', 'Tretinoin/pharmacology']",2000/05/23 09:00,2000/07/08 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/08 11:00 [medline]', '2000/05/23 09:00 [entrez]']",,ppublish,Oncol Res. 1999;11(9):429-35.,"['0 (Antineoplastic Agents)', '0 (Endoplasmic Reticulum Chaperone BiP)', '0 (HSP70 Heat-Shock Proteins)', '0 (HSPA5 protein, human)', '0 (Molecular Chaperones)', '5688UTC01R (Tretinoin)', 'EC 1.14.- (Steroid Hydroxylases)', 'EC 1.14.- (vitamin D 1-alpha hydroxylase)']",,,,['CA-02817/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,
10821535,NLM,MEDLINE,20000630,20061115,0965-0407 (Print) 0965-0407 (Linking),11,9,1999,Expression of ribosomal protein S5 cloned gene during differentiation and apoptosis in murine erythroleukemia (MEL) cells.,409-19,"Murine erythroleukemia (MEL) cells have been used as a suitable model system for studying cellular and molecular mechanisms of erythroid differentiation. In an effort to isolate and characterize genes whose expression change during differentiation, we cloned and sequenced a cDNA of 715 bp (rpS5) from a MEL cDNA library. The cloned mouse cDNA showed significant degree of structural homology in both DNA and protein level to known human and rat genes that encode the S5 proteins of 40S ribosomal subunit. The use of 715-bp cDNA as probe revealed the presence of an RNA transcript in the cytoplasm of MEL and human neuroectodermal RD/TE-671 cells. The steady-state accumulation level of this RNA transcript decreased upon induction of differentiation of both cell lines by treatment with DMSO and UDP-4, two structurally different inducers. Blockade of MEL cell differentiation by the inhibitor N6-methyladenosine preserved the constitutive expression of the rpS5 gene. DNA methylation analysis at CCGG sites located at the rpS5 gene locus in undifferentiated and differentiated MEL cells revealed that the suppression of the rpS5 gene during MEL cell differentiation is not related to any change in methylation at these sites. Moreover, the rpS5 gene continued to be expressed in cells undergoing serum-deprived apoptosis, like in control untreated cells. Therefore, we conclude that there may be a disparate pattern of expression of the rpS5 gene in differentiating and apoptotic cells. These data can be valuable in understanding the role of ribosomal proteins during differentiation and cell death (apoptosis) of neoplastic cells, although there is no experimental evidence that the suppression of the rpS5 gene is related mechanistically to the induction of differentiation. It may well be considered as part of the differentiation process.","['Vizirianakis, I S', 'Pappas, I S', 'Gougoumas, D', 'Tsiftsoglou, A S']","['Vizirianakis IS', 'Pappas IS', 'Gougoumas D', 'Tsiftsoglou AS']","['Department of Pharmaceutical Sciences, Aristotle University of Thessaloniki, Greece.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Oncol Res,Oncology research,9208097,IM,"['Amino Acid Sequence', 'Animals', 'Apoptosis/*genetics', 'Base Sequence', 'Cell Division/genetics', 'Cloning, Molecular', 'DNA Methylation', 'DNA, Complementary/analysis', 'Down-Regulation', 'Erythropoiesis/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Mice', 'Molecular Sequence Data', 'Rats', 'Ribosomal Proteins/*genetics', 'Tumor Cells, Cultured']",2000/05/23 09:00,2000/07/08 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/08 11:00 [medline]', '2000/05/23 09:00 [entrez]']",,ppublish,Oncol Res. 1999;11(9):409-19.,"['0 (DNA, Complementary)', '0 (Ribosomal Proteins)', '0 (ribosomal protein S5)']",,,,,,,,,,['GENBANK/Y12431'],,,,,,,,,,
10821125,NLM,MEDLINE,20000601,20190701,0024-3205 (Print) 0024-3205 (Linking),66,20,2000 Apr 7,Destabilization of tumor necrosis factor-alpha mRNA by 5-alpha dihydrotestosterone in Jurkat cells.,PL277-82,"The effect of a male steroid hormone, 5DHT, on the expression of TNF-alpha was examined using a human leukemia T cell line, Jurkat. Cells were treated with 5DHT in the presence or absence of PHA, and RNA was isolated followed by a reverse transcriptase - mediated PCR (RT-PCR) to measure the steady state levels of TNF-alpha mRNA. The treatment of cells with 5DHT resulted in a 50% of decrease in the level of TNF-alpha mRNA compared to that in untreated conditions (basal level). A similar level of reduction of the message by 5DHT was also observed in PHA-stimulated cells. The reduction of the steady state levels of TNF-alpha mRNA in Jurkat cells was a result of destabilization of the gene as demonstrated by actinomycin D treatment; a half-life of TNF-alpha message in 5DHT treated cells and non-treated cells was 1 hr and 2.5 hr, respectively, whereas that in 5DHT/PHA and PHA-treated cells was 3hr and 6hr, respectively.","['Takei, S', 'Redford, A', 'Katayama, S', 'Toyoda, H']","['Takei S', 'Redford A', 'Katayama S', 'Toyoda H']","['Department of Medicine, Cedars-Sinai Medical Center, UCLA School of Medicine, Los Angeles, California 90048, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Life Sci,Life sciences,0375521,IM,"['DNA Primers/chemistry', 'Dactinomycin/pharmacology', 'Dihydrotestosterone/*pharmacology', 'Gene Expression/drug effects', 'Humans', 'Jurkat Cells/drug effects/*metabolism', 'Phytohemagglutinins/pharmacology', 'RNA, Messenger/*metabolism', 'RNA, Neoplasm/analysis', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Necrosis Factor-alpha/*genetics/metabolism']",2000/05/23 09:00,2000/06/03 09:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/06/03 09:00 [medline]', '2000/05/23 09:00 [entrez]']","['S0024320500005269 [pii]', '10.1016/s0024-3205(00)00526-9 [doi]']",ppublish,Life Sci. 2000 Apr 7;66(20):PL277-82. doi: 10.1016/s0024-3205(00)00526-9.,"['0 (DNA Primers)', '0 (Phytohemagglutinins)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Tumor Necrosis Factor-alpha)', '08J2K08A3Y (Dihydrotestosterone)', '1CC1JFE158 (Dactinomycin)']",,,,,,,,,,,,,,,,,,,,
10821087,NLM,MEDLINE,20000606,20071115,0189-160X (Print) 0189-160X (Linking),19,1,2000 Jan-Mar,Childhood acute lymphoblastic leukaemia (ALL) in Ghanaians and Germans--a comparative study.,50-4,"The records of 20 ALL patients aged 12 years and below seen at Korle-Bu Teaching Hospital(KBTH) between December 1982 and May 1990 were examined as well as that of their counterparts in Hamburg University Children's Hospital(HHOG) matched by age, sex and as closely as possible date of presentation. Data on clinical and laboratory findings, treatment and outcomes were taken and analysed using binomial proportions and paired samples T-tests. It was found that KBTH patients presented with lower haemoglobin levels, bigger organ enlargements, received less intensive treatment and defaulted more often than HHOG patients. White blood cell(WBC) counts were statistically the same. Achievability of remission was 75% and 100% for KBTH and HHOG patients respectively. Average follow up was 6 months for KBTH patients and 69 months for HHOG. 60% of KBTH patients had defaulted at the time of the study. 75% of HHOG patients were alive at the time of study with the longest follow up being 114 months. It is concluded that in spite of the bigger organ enlargement for the KBTH patients, WBC count which is the single most important prognostic factor was the same for both groups, and with less intensive therapy, achievability of remission for KBTH was 75%--reasonably good. More work need to be done in Africa on prognostic features and treatment.","['Ekem, I']",['Ekem I'],"[""University of Hamburg Children's Hospital.""]",['eng'],"['Comparative Study', 'Journal Article']",Nigeria,West Afr J Med,West African journal of medicine,8301891,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Germany', 'Ghana', 'Hospitals, Teaching', 'Hospitals, University', 'Humans', 'Leukocyte Count', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*diagnosis/*drug therapy', 'Prognosis', 'Remission Induction/methods', 'Survival Analysis', 'Treatment Outcome']",2000/05/23 09:00,2000/06/10 09:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/06/10 09:00 [medline]', '2000/05/23 09:00 [entrez]']",,ppublish,West Afr J Med. 2000 Jan-Mar;19(1):50-4.,,,,,,,,,,,,,,,,,,,,,
10820959,NLM,MEDLINE,20000601,20161013,0929-6646 (Print) 0929-6646 (Linking),99,3,2000 Mar,Cyclosporine-induced encephalopathy in a patient with relapsed acute myeloid leukemia treated with unrelated allogeneic bone marrow transplantation.,248-51,"Cyclosporine (CSP) is the most frequently used immunosuppressive agent for prevention of graft versus host disease (GVHD) in allogeneic bone marrow transplantation (BMT). Some adverse effects such as hepatic and renal toxicity have been frequently encountered, but central nervous system (CNS) toxicity caused by CSP is rare. We report an adult male patient with acute myeloid leukemia who developed CSP-induced encephalopathy under treatment for allogeneic BMT from an unrelated donor. Methotrexate and CSP were used for GVHD prophylaxis. Leukocyte and platelet engraftment were successfully achieved on days 21 and 24 after BMT, respectively. Abrupt onset of mental confusion and disorientation occurred on day 25, followed by a generalized tonic clonic seizure and consciousness disturbance. The whole blood CSP level was 160.65 ng/mL. Magnetic resonance (MR) imaging revealed high signal intensities in the bilateral occipital lobes with predominant involvement of the cortical areas. The patient recovered from the CNS toxicity, but with slight memory impairment, 6 days after CSP was discontinued. When patients receiving CSP treatment for allogeneic BMT develop mental confusion, consciousness disturbance, or seizure, CSP-induced CNS toxicity should be taken into consideration.","['Chen, Y C', 'Chao, T Y', 'Chen, C Y', 'Ho, C L']","['Chen YC', 'Chao TY', 'Chen CY', 'Ho CL']","['Department of Internal Medicine, Tri-Service General Hospital, National Defense Medical Center, Taipei, Taiwan.']",['eng'],"['Case Reports', 'Journal Article']",Singapore,J Formos Med Assoc,Journal of the Formosan Medical Association = Taiwan yi zhi,9214933,IM,"['Adult', '*Bone Marrow Transplantation', 'Brain Diseases/*chemically induced', 'Cyclosporine/*adverse effects', 'Humans', 'Immunosuppressive Agents/*adverse effects', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Transplantation, Homologous']",2000/05/23 09:00,2000/06/03 09:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/06/03 09:00 [medline]', '2000/05/23 09:00 [entrez]']",,ppublish,J Formos Med Assoc. 2000 Mar;99(3):248-51.,"['0 (Immunosuppressive Agents)', '83HN0GTJ6D (Cyclosporine)']",,,,,,,,,,,,,,,,,,,,
10820949,NLM,MEDLINE,20000710,20190513,0146-8693 (Print) 0146-8693 (Linking),25,2,2000 Mar,Brief clinical report: procedural pain and anxiety management with mother and sibling as co-therapists.,117-21,"OBJECTIVE: To describe a multidimensional family-focused intervention for pain and anxiety management during port-access with a Spanish-speaking preschool child being treated for acute lymphoblastic leukemia, using the patient's mother and one sibling as co-therapists. METHODS: Assessment procedures included interviews with mother, sibling, and primary nurse and behavioral observations during port-access, and during a medical examination. Intervention consisted of two training and two ""in-vivo"" sessions, using behavioral and cognitive behavioral techniques. RESULTS: Physical resistance was eliminated and anxiety responses reduced during port-access sessions. Maternal anxiety and sibling distress were also reduced. CONCLUSIONS: This case study illustrates an empirically supported child and family focused in the clinical care context and highlights cultural factors that may influence the success of such interventions.","['Barrera, M']",['Barrera M'],"['Department of Psychology, Hospital for Sick Children, Toronto, Ontario, Canada. barrera@sickkids.on.ca']",['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr Psychol,Journal of pediatric psychology,7801773,IM,"['Anxiety/*etiology/*therapy', 'Child', 'Child, Preschool', 'Cognitive Behavioral Therapy/methods', '*Family Health', 'Female', 'Humans', 'Male', 'Maternal Behavior', '*Mother-Child Relations', 'Pain/*psychology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', '*Sibling Relations']",2000/05/23 09:00,2000/07/15 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/15 11:00 [medline]', '2000/05/23 09:00 [entrez]']",['10.1093/jpepsy/25.2.117 [doi]'],ppublish,J Pediatr Psychol. 2000 Mar;25(2):117-21. doi: 10.1093/jpepsy/25.2.117.,,,,,,,,,,,,,,,,,,,,,
10820944,NLM,MEDLINE,20000710,20190513,0146-8693 (Print) 0146-8693 (Linking),25,2,2000 Mar,"Intellectual, neuropsychological, and academic functioning in long-term survivors of leukemia.",59-68,"OBJECTIVE: To assess the effects of treatment for acute lymphoblastic leukemia (ALL) on children's cognitive functioning. METHOD: Participants were long-term survivors of ALL treated with cranial irradiation and central nervous system (CNS) chemotherapy (n = 20), or CNS chemotherapy only (n = 21), healthy children (n = 21), and children with chronic asthma (n = 21). The groups were compared on measures of intellectual, neuropsychological, and academic functioning. RESULTS: CNS chemotherapy, with and without cranial irradiation, was associated with significantly lower levels of intellectual and academic functioning. Children with chronic asthma obtained lower scores than healthy controls, but these differences were not significant. Tests of neuropsychological functioning did not consistently separate the groups. CONCLUSIONS: CNS chemotherapy and, to a lesser extent, chronic illness both contribute to the poorer performance of long-term survivors of ALL on measures of intellectual and academic functioning.","['Raymond-Speden, E', 'Tripp, G', 'Lawrence, B', 'Holdaway, D']","['Raymond-Speden E', 'Tripp G', 'Lawrence B', 'Holdaway D']",['University of Otago.'],['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Pediatr Psychol,Journal of pediatric psychology,7801773,IM,"['*Achievement', 'Adolescent', 'Antineoplastic Agents/*adverse effects', 'Asthma/complications/diagnosis', 'Brain/*radiation effects', 'Child', 'Chronic Disease', 'Cognition Disorders/*diagnosis/*etiology', 'Combined Modality Therapy', 'Female', 'Follow-Up Studies', 'Humans', 'Injections, Spinal', '*Intelligence', 'Intelligence Tests', 'Long-Term Care', 'Male', 'Methotrexate/*adverse effects', 'Neuropsychological Tests', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/*radiotherapy', 'Severity of Illness Index', 'Survivors/*psychology']",2000/05/23 09:00,2000/07/15 11:00,['2000/05/23 09:00'],"['2000/05/23 09:00 [pubmed]', '2000/07/15 11:00 [medline]', '2000/05/23 09:00 [entrez]']",['10.1093/jpepsy/25.2.59 [doi]'],ppublish,J Pediatr Psychol. 2000 Mar;25(2):59-68. doi: 10.1093/jpepsy/25.2.59.,"['0 (Antineoplastic Agents)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,,,,,,,
