PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,GR,CIN,EIN,PMC,MID,OID,RF,CN,CI,CON,SI,LID,IR,FIR,OTO,OT,CRF,GN,PS,FPS,COIS
18033573,NLM,MEDLINE,20080221,20100105,1934-3418 (Electronic) 1078-4519 (Linking),36,10,2007 Oct,Childhood leukemia presenting as sternal osteomyelitis.,E148-50,,"['Gomoll, Andreas H']",['Gomoll AH'],"[""Department of Orthopaedic Surgery, Brigham and Women's Hospital, Harvard Medical School, Chestnut Hill, MA 02467, USA.""]",['eng'],"['Case Reports', 'Journal Article', 'Review']",,United States,Am J Orthop (Belle Mead NJ),"American journal of orthopedics (Belle Mead, N.J.)",9502918,,IM,"['Child, Preschool', 'Diagnosis, Differential', 'Diagnostic Imaging', 'Humans', 'Male', 'Osteomyelitis/*diagnosis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis', '*Sternum']",2007/11/23 09:00,2008/02/22 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/02/22 09:00 [medline]', '2007/11/23 09:00 [entrez]']",,ppublish,Am J Orthop (Belle Mead NJ). 2007 Oct;36(10):E148-50.,,,,,,,,20,,,,,,,,,,,,,,
18033324,NLM,MEDLINE,20080604,20151119,1476-5551 (Electronic) 0887-6924 (Linking),22,4,2008 Apr,Erythroid variant of chronic myelogenous leukemia.,867-70,,"['Talreja, N', 'Abdulhaq, H', 'Shadduck, R K', 'Rossetti, J', 'Jalil, A', 'Makary, A', 'Lister, J']","['Talreja N', 'Abdulhaq H', 'Shadduck RK', 'Rossetti J', 'Jalil A', 'Makary A', 'Lister J']",,['eng'],['Letter'],20071122,England,Leukemia,Leukemia,8704895,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Benzamides', 'Diagnosis, Differential', '*Fusion Proteins, bcr-abl', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Male', 'Myelodysplastic Syndromes/diagnosis', 'Piperazines/therapeutic use', 'Pyrimidines/therapeutic use', 'Remission Induction', 'Thrombocytopenia/*diagnosis']",2007/11/23 09:00,2008/06/05 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/06/05 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2404965 [pii]', '10.1038/sj.leu.2404965 [doi]']",ppublish,Leukemia. 2008 Apr;22(4):867-70. doi: 10.1038/sj.leu.2404965. Epub 2007 Nov 22.,,,,,,,,,,,,,,,,,,,,,,
18033323,NLM,MEDLINE,20080326,20211020,1476-5551 (Electronic) 0887-6924 (Linking),22,2,2008 Feb,DNA repair polymorphisms and outcome of chemotherapy for acute myelogenous leukemia: a report from the Children's Oncology Group.,265-72,"Polymorphisms of DNA repair genes RAD51 and XRCC3 increase susceptibility to acute myeloid leukemia (AML) in adults, an effect enhanced by deletion of the glutathione-S-transferase M1 (GSTM1) gene. In this study, we genotyped 452 children with de novo AML treated on CCG protocols 2941 and 2961 and compared genotype frequencies with those of normal blood donors, and analyzed the impact of genotype on outcome of therapy. XRCC3 Thr241Met, RAD51 G135C and GSTM1 genotypes did not increase susceptibility to AML when assessed singly. In contrast, when XRCC3 and RAD51 genotypes were examined together a significant increase in susceptibility to AML was seen in children with variant alleles. Analysis of outcome of therapy showed that patients heterozygous for the XRCC3 Thr241Met allele had improved post-induction disease-free survival compared to children homozygous for the major or minor allele, each of whom had similar outcomes. Improved survival was due to reduced relapse in the heterozygous children, and this effect was most marked in children randomized to therapy likely to generate DNA double-strand breaks (etoposide, daunomycin), compared with anti-metabolite (fludarabine, cytarabine) based therapy. In contrast, RAD51 G135C and the GSTM1 deletion polymorphism did not influence outcome of AML therapy in our study population.","['Bhatla, D', 'Gerbing, R B', 'Alonzo, T A', 'Mehta, P A', 'Deal, K', 'Elliott, J', 'Meshinchi, S', 'Geiger, H', 'Perentesis, J P', 'Lange, B J', 'Davies, S M']","['Bhatla D', 'Gerbing RB', 'Alonzo TA', 'Mehta PA', 'Deal K', 'Elliott J', 'Meshinchi S', 'Geiger H', 'Perentesis JP', 'Lange BJ', 'Davies SM']","[""Division of Hematology/Oncology, Cincinnati Children's Hospital Medical Center, Cincinnati, OH 45229, USA. deepika.bhatla@cchmc.org""]",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20071122,England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '0 (DNA-Binding Proteins)', '0 (X-ray repair cross complementing protein 3)', 'EC 2.7.7.- (Rad51 Recombinase)']",IM,"['Antineoplastic Agents/*adverse effects/therapeutic use', 'DNA Repair/*genetics', 'DNA-Binding Proteins/genetics', 'Disease-Free Survival', 'Gene Frequency', 'Genotype', 'Leukemia, Myeloid, Acute/*genetics/mortality/therapy', 'Polymorphism, Genetic/*genetics', 'Prognosis', 'Rad51 Recombinase/genetics', 'Recurrence', 'Treatment Outcome']",2007/11/23 09:00,2008/03/28 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405000 [pii]', '10.1038/sj.leu.2405000 [doi]']",ppublish,Leukemia. 2008 Feb;22(2):265-72. doi: 10.1038/sj.leu.2405000. Epub 2007 Nov 22.,,"['R21 CA10262-01/CA/NCI NIH HHS/United States', 'CA 98543/CA/NCI NIH HHS/United States', 'R01 CA114563-01/CA/NCI NIH HHS/United States', 'R01 CA093552-01/CA/NCI NIH HHS/United States', 'R01CA93552-01/CA/NCI NIH HHS/United States', 'R01 CA093552/CA/NCI NIH HHS/United States', 'R01 CA114563/CA/NCI NIH HHS/United States', 'U10 CA098543/CA/NCI NIH HHS/United States']",,,PMC2914507,['NIHMS210453'],,,"[""Children's Oncology Group""]",,,,,,,,,,,,,
18033322,NLM,MEDLINE,20080626,20211020,1476-5551 (Electronic) 0887-6924 (Linking),22,6,2008 Jun,Synthetic triterpenoids have cytotoxicity in pediatric acute lymphoblastic leukemia cell lines but cytotoxicity is independent of induced ceramide increase in MOLT-4 cells.,1258-62,,"['Kong, G', 'Wang, D', 'Wang, H', 'Wu, J', 'Bielawski, J', 'Konopleva, M', 'Andreeff, M', 'Ruvolo, P P', 'Maurer, B J']","['Kong G', 'Wang D', 'Wang H', 'Wu J', 'Bielawski J', 'Konopleva M', 'Andreeff M', 'Ruvolo PP', 'Maurer BJ']",,['eng'],"['Letter', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20071122,England,Leukemia,Leukemia,8704895,"['0 (1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole)', '0 (2-cyano-3,12-dioxoolean-1,9-dien-28-oic acid)', '0 (Ceramides)', '0 (Imidazoles)', '0 (Reactive Oxygen Species)', '187EJ7QEXL (Fenretinide)', '31C4KY9ESH (Nitric Oxide)', '6SMK8R7TGJ (Oleanolic Acid)', 'CEG1Q6OGU1 (bardoxolone methyl)', 'EC 3.4.22.- (Caspase 3)']",IM,"['Apoptosis/*drug effects', 'Caspase 3/metabolism', 'Ceramides/*biosynthesis', 'Child', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Enzyme Activation/drug effects', 'Fenretinide/pharmacology', 'Humans', 'Imidazoles/*pharmacology', 'Nitric Oxide/antagonists & inhibitors', 'Oleanolic Acid/*analogs & derivatives/pharmacology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/metabolism/pathology', 'Reactive Oxygen Species/metabolism', 'Tumor Cells, Cultured']",2007/11/23 09:00,2008/06/27 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/06/27 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405023 [pii]', '10.1038/sj.leu.2405023 [doi]']",ppublish,Leukemia. 2008 Jun;22(6):1258-62. doi: 10.1038/sj.leu.2405023. Epub 2007 Nov 22.,,"['P30 CA016672/CA/NCI NIH HHS/United States', 'R01CA89346/CA/NCI NIH HHS/United States', 'CA100632/CA/NCI NIH HHS/United States', 'R01CA030715/CA/NCI NIH HHS/United States', 'R01CA100895/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,,,
18033321,NLM,MEDLINE,20080326,20140730,1476-5551 (Electronic) 0887-6924 (Linking),22,2,2008 Feb,Marrow fibrosis predicts early fatal marrow failure in patients with myelodysplastic syndromes.,313-22,"UNLABELLED: Marrow fibrosis (MF) has rarely been studied in myelodysplastic syndromes (MDS). There are no data on occurrence and significance of MF in the context of the World Health Organization (WHO) classification of disease. In total, 349 bone marrow biopsies from 200 patients with primary MDS were examined for MF and its prognostic relevance. MF correlated with multilineage dysplasia, more severe thrombopenia, higher probability of a clonal karyotype abnormality, and higher percentages of blasts in the peripheral blood (P<0.002). Its frequency varied markedly between different MDS types ranging from 0 (RARS) to 16% (RCMD, RAEB, P<0.007). Two patients with MF showed a Janus kinase-2 mutation (V617F). Patients with MF suffered from marrow failure significantly earlier with shortening of the survival time down to 0.5 (RAEB-1/-2), and 1-2 (RCMD, RA) years in median (P<0.00005). The prognostic relevance of MF was independent of the International Prognostic Scoring System and the classification of disease. CONCLUSION: The risk of MF Differs markedly between various subtypes of MDS. MF indicates an aggressive course with a significantly faster progression to fatal marrow failure and should therefore be considered in diagnosis, prognosis and treatment of disease.","['Buesche, G', 'Teoman, H', 'Wilczak, W', 'Ganser, A', 'Hecker, H', 'Wilkens, L', 'Gohring, G', 'Schlegelberger, B', 'Bock, O', 'Georgii, A', 'Kreipe, H']","['Buesche G', 'Teoman H', 'Wilczak W', 'Ganser A', 'Hecker H', 'Wilkens L', 'Gohring G', 'Schlegelberger B', 'Bock O', 'Georgii A', 'Kreipe H']","['Institut fur Pathologie, Medizinische Hochschule Hannover, Hannover, Germany. guntram.buesche@arcor.de']",['eng'],"['Journal Article', 'Multicenter Study']",20071122,England,Leukemia,Leukemia,8704895,,IM,"['Aged', 'Bone Marrow Diseases/*pathology', 'Bone Marrow Examination', 'Case-Control Studies', 'Female', 'Humans', 'Incidence', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/classification/diagnosis/*pathology', 'Primary Myelofibrosis/*pathology', 'Prognosis', 'Risk Factors', 'Survival Rate']",2007/11/23 09:00,2008/03/28 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405030 [pii]', '10.1038/sj.leu.2405030 [doi]']",ppublish,Leukemia. 2008 Feb;22(2):313-22. doi: 10.1038/sj.leu.2405030. Epub 2007 Nov 22.,,,,,,,,,,,,,,,,,,,,,,
18033320,NLM,MEDLINE,20080626,20181201,1476-5551 (Electronic) 0887-6924 (Linking),22,6,2008 Jun,Effect of lenalidomide therapy on mobilization of peripheral blood stem cells in previously untreated multiple myeloma patients.,1280-1; author reply 1281-2,,"['Mazumder, A', 'Kaufman, J', 'Niesvizky, R', 'Lonial, S', 'Vesole, D', 'Jagannath, S']","['Mazumder A', 'Kaufman J', 'Niesvizky R', 'Lonial S', 'Vesole D', 'Jagannath S']",,['eng'],"['Letter', 'Multicenter Study', 'Comment']",20071122,England,Leukemia,Leukemia,8704895,"['143011-72-7 (Granulocyte Colony-Stimulating Factor)', '4Z8R6ORS6L (Thalidomide)', '8N3DW7272P (Cyclophosphamide)', 'F0P408N6V4 (Lenalidomide)']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Granulocyte Colony-Stimulating Factor/therapeutic use', '*Hematopoietic Stem Cell Mobilization', 'Humans', 'Lenalidomide', 'Middle Aged', 'Multiple Myeloma/*therapy', '*Peripheral Blood Stem Cell Transplantation', 'Thalidomide/administration & dosage/analogs & derivatives', 'Treatment Outcome']",2007/11/23 09:00,2008/06/27 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/06/27 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405035 [pii]', '10.1038/sj.leu.2405035 [doi]']",ppublish,Leukemia. 2008 Jun;22(6):1280-1; author reply 1281-2. doi: 10.1038/sj.leu.2405035. Epub 2007 Nov 22.,,,['Leukemia. 2008 Jun;22(6):1282-4. PMID: 18216870'],,,,,,,,['Leukemia. 2007 Sep;21(9):2035-42. PMID: 17581613'],,,,,,,,,,,
18033318,NLM,MEDLINE,20080326,20130304,1476-5551 (Electronic) 0887-6924 (Linking),22,2,2008 Feb,Outcomes after HLA-matched sibling transplantation or chemotherapy in children with acute lymphoblastic leukemia in a second remission after an isolated central nervous system relapse: a collaborative study of the Children's Oncology Group and the Center for International Blood and Marrow Transplant Research.,281-6,"In children with acute lymphoblastic leukemia (ALL) with isolated central nervous system (CNS) relapse and a human leucocyte antigen (HLA)-matched sibling, the optimal treatment after attaining second remission is unknown. We compared outcomes in 149 patients enrolled on chemotherapy trials and 60 HLA-matched sibling transplants, treated in 1990-2000. All patients achieved a second complete remission. Groups were similar, except the chemotherapy recipients were younger at diagnosis, less likely to have T-cell ALL and had longer duration (> or = 18 months) first remission. To adjust for time-to-transplant bias, left-truncated Cox's regression models were constructed. Relapse rates were similar after chemotherapy and transplantation. In both treatment groups, relapse rates were higher in older children (11-17 years; RR 2.81, P=0.002) and shorter first remission (< 18 months; RR 3.89, P<0.001). Treatment-related mortality rates were higher after transplantation (RR 4.28, P=0.001). The 8-year probabilities of leukemia-free survival adjusted for age and duration of first remission were similar after chemotherapy with irradiation and transplantation (66 and 58%, respectively). In the absence of an advantage for one treatment option over another, the data support use of either intensive chemotherapy with irradiation or HLA-matched sibling transplantation with total body irradiation containing conditioning regimen for children with ALL in second remission after an isolated CNS relapse.","['Eapen, M', 'Zhang, M-J', 'Devidas, M', 'Raetz, E', 'Barredo, J C', 'Ritchey, A K', 'Godder, K', 'Grupp, S', 'Lewis, V A', 'Malloy, K', 'Carroll, W L', 'Davies, S M', 'Camitta, B M']","['Eapen M', 'Zhang MJ', 'Devidas M', 'Raetz E', 'Barredo JC', 'Ritchey AK', 'Godder K', 'Grupp S', 'Lewis VA', 'Malloy K', 'Carroll WL', 'Davies SM', 'Camitta BM']","['Department of Medicine, Center for International Blood and Marrow Transplant Research, Medical College of Wisconsin, Milwaukee, WI 53226, USA. meapen@mcw.edu']",['eng'],"['Comparative Study', 'Journal Article', 'Research Support, N.I.H., Extramural']",20071122,England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '0 (HLA Antigens)']",IM,"['Adolescent', 'Antineoplastic Agents/*therapeutic use', 'Bone Marrow Transplantation/*methods', 'Central Nervous System Neoplasms/etiology/*therapy', 'Child', 'Child, Preschool', 'Data Collection', 'Disease-Free Survival', 'Female', 'HLA Antigens', '*Histocompatibility', 'Humans', 'Leukemic Infiltration/etiology/therapy', 'Longitudinal Studies', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology/*therapy', 'Radiotherapy/methods', 'Recurrence', 'Remission Induction', 'Siblings', 'Transplantation Conditioning/methods', 'Treatment Outcome']",2007/11/23 09:00,2008/03/28 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405037 [pii]', '10.1038/sj.leu.2405037 [doi]']",ppublish,Leukemia. 2008 Feb;22(2):281-6. doi: 10.1038/sj.leu.2405037. Epub 2007 Nov 22.,,"['U10-CA098543/CA/NCI NIH HHS/United States', 'U24-CA76518-08/CA/NCI NIH HHS/United States']",,,,,,,"[""Children's Oncology Group"", 'Center for International Blood and Marrow Transplant Research']",,,,,,,,,,,,,
18033317,NLM,MEDLINE,20080626,20181201,1476-5551 (Electronic) 0887-6924 (Linking),22,6,2008 Jun,Use of pegylated recombinant filgrastim (Pegfilgrastim) in patients with acute myeloid leukemia: pharmacokinetics and impact on leukocyte recovery.,1284-5,,"['Fiegl, M', 'Hiddemann, W', 'Braess, J']","['Fiegl M', 'Hiddemann W', 'Braess J']",,['eng'],"['Clinical Trial, Phase II', 'Letter']",20071122,England,Leukemia,Leukemia,8704895,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '3A58010674 (pegfilgrastim)', '3WJQ0SDW1A (Polyethylene Glycols)', 'PVI5M0M1GW (Filgrastim)']",IM,"['Adult', 'Aged', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'Filgrastim', 'Granulocyte Colony-Stimulating Factor/*pharmacokinetics/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/complications/drug therapy/*metabolism', 'Leukocytes/*physiology', 'Male', 'Middle Aged', 'Neutropenia/blood/*drug therapy', 'Polyethylene Glycols', 'Recombinant Proteins', 'Treatment Outcome']",2007/11/23 09:00,2008/06/27 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/06/27 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405038 [pii]', '10.1038/sj.leu.2405038 [doi]']",ppublish,Leukemia. 2008 Jun;22(6):1284-5. doi: 10.1038/sj.leu.2405038. Epub 2007 Nov 22.,,,,,,,,,,,,,,,,,,,,,,
18033316,NLM,MEDLINE,20080326,20130304,1476-5551 (Electronic) 0887-6924 (Linking),22,2,2008 Feb,Involvement of mature donor T cells in the NK cell reconstitution after haploidentical hematopoietic stem-cell transplantation.,344-52,"We previously demonstrated that natural killer (NK) cells generated after haploidentical stem-cell transplantation (SCT) are blocked at an immature state characterized by phenotypic features and impaired functioning and that this may affect transplantation outcome. We hypothesize that the absence of mature donor T cells in the graft may affect NK cell differentiation. NK cells from 21 transplant recipients who underwent either partial (pTCD; n=11) or extensive (eTCD; n=10) T-cell depletion were compared with NK cells from their healthy donors. We report that despite the strong graft-versus-host disease (GvHD) reaction, pTCD patients, with T cells present during SCT, had a better clinical outcome than patients with eTCD transplants. In addition, the frequency of CD3- CD56(bright) and NKG2A+ NK cells was much lower in pTCD than in eTCD patients after transplantation, and the level of cytotoxicity against primary haplo-mismatched blasts was significantly more pronounced after pTCD than eTCD transplants. These finding strongly suggest that mature donor T cells in the graft may play a key role in NK cell differentiation in vivo, after haploidentical SCT.","['Nguyen, S', 'Kuentz, M', 'Vernant, J-P', 'Dhedin, N', 'Bories, D', 'Debre, P', 'Vieillard, V']","['Nguyen S', 'Kuentz M', 'Vernant JP', 'Dhedin N', 'Bories D', 'Debre P', 'Vieillard V']","[""Laboratoire d'Immunologie Cellulaire et Tissulaire, Institut National de la Sante et de la Recherche Medicale U543, Hopital Pitie-Salpetriere, Paris, France.""]",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20071122,England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', 'Cell Differentiation', 'Cytotoxicity, Immunologic', 'Female', 'Haplotypes', 'Hematopoietic Stem Cell Transplantation/*methods/standards', 'Humans', 'Immunophenotyping', 'Killer Cells, Natural/cytology/*physiology', '*Lymphocyte Depletion', 'Male', 'Middle Aged', '*Regeneration', '*T-Lymphocytes', 'Tissue Donors', 'Treatment Outcome']",2007/11/23 09:00,2008/03/28 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405041 [pii]', '10.1038/sj.leu.2405041 [doi]']",ppublish,Leukemia. 2008 Feb;22(2):344-52. doi: 10.1038/sj.leu.2405041. Epub 2007 Nov 22.,,,,,,,,,,,,,,,,,,,,,,
18033315,NLM,MEDLINE,20080306,20130304,1476-5551 (Electronic) 0887-6924 (Linking),22,1,2008 Jan,"Development of ET, primary myelofibrosis and PV in mice expressing JAK2 V617F.",87-95,"An acquired JAK2 V617F mutation is found in most patients with polycythemia vera (PV), and about half of patients with essential thrombocythemia (ET) or primary myelofibrosis (PMF). Mice transplanted with bone marrow cells in which JAK2 V617F was retrovirally expressed developed PV-like features, but not ET or PMF. To address the contribution of this mutation to the pathogenesis of these three MPDs, we generated two lines of JAK2 V617F transgenic mice. One line showed granulocytosis after 4 months of age. Among 43 mice, 8 (19%) showed polycythemia and 15 (35%) showed thrombocythemia. The second line showed extreme leukocytosis and thromobocytosis. They showed anemia that means Hb value from 9 to 10 g per 100 ml when 1 month old. Myeloid cells and megakaryocytes were predominant in the bone marrow of these animals, and splenomegaly was observed. The expression of JAK2 V617F mRNA in bone marrow cells was 0.45 and 1.35 that of endogenous wild-type JAK2 in the two lines, respectively. In vitro analysis of bone marrow cells from both lines showed constitutive activation of ERK1/2, STAT5 and AKT, and augmentation of their phosphorylations by cytokine stimulation. We conclude that in vivo expression of JAK2 V617F results in ET-, PMF- and PV-like disease.","['Shide, K', 'Shimoda, H K', 'Kumano, T', 'Karube, K', 'Kameda, T', 'Takenaka, K', 'Oku, S', 'Abe, H', 'Katayose, K S', 'Kubuki, Y', 'Kusumoto, K', 'Hasuike, S', 'Tahara, Y', 'Nagata, K', 'Matsuda, T', 'Ohshima, K', 'Harada, M', 'Shimoda, K']","['Shide K', 'Shimoda HK', 'Kumano T', 'Karube K', 'Kameda T', 'Takenaka K', 'Oku S', 'Abe H', 'Katayose KS', 'Kubuki Y', 'Kusumoto K', 'Hasuike S', 'Tahara Y', 'Nagata K', 'Matsuda T', 'Ohshima K', 'Harada M', 'Shimoda K']","['Department of Gastroenterology and Hematology, Faculty of Medicine, Miyazaki University, Kiyotake, Miyazaki, Japan. kshimoda@med.miyazaki-u.ac.jp']",['eng'],['Journal Article'],20071122,England,Leukemia,Leukemia,8704895,"['0 (Cytokines)', '0 (RNA, Messenger)', '0 (STAT5 Transcription Factor)', 'EC 2.7.10.2 (Jak2 protein, mouse)', 'EC 2.7.10.2 (Janus Kinase 2)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinase 1)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinase 3)']",IM,"['Animals', 'Bone Marrow Transplantation', 'Cytokines/metabolism', 'Female', 'Gene Expression Regulation/*physiology', 'Humans', 'Janus Kinase 2/*genetics', 'Leukocytosis/pathology', 'Male', 'Megakaryocytes/cytology/metabolism', 'Mice', 'Mice, Transgenic', 'Mitogen-Activated Protein Kinase 1/metabolism', 'Mitogen-Activated Protein Kinase 3/metabolism', 'Mutation/genetics', 'Myeloid Cells/cytology/metabolism', 'Phosphorylation', 'Polycythemia Vera/*genetics/metabolism/pathology', 'Primary Myelofibrosis/*genetics/metabolism/pathology', 'Proto-Oncogene Proteins c-akt/metabolism', 'RNA, Messenger/metabolism', 'STAT5 Transcription Factor/metabolism', 'Thrombocythemia, Essential/*genetics/metabolism/pathology']",2007/11/23 09:00,2008/03/07 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/03/07 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405043 [pii]', '10.1038/sj.leu.2405043 [doi]']",ppublish,Leukemia. 2008 Jan;22(1):87-95. doi: 10.1038/sj.leu.2405043. Epub 2007 Nov 22.,,,,,,,,,,,,,,,,,,,,,,
18033314,NLM,MEDLINE,20080326,20201219,1476-5551 (Electronic) 0887-6924 (Linking),22,2,2008 Feb,Sezary syndrome is a unique cutaneous T-cell lymphoma as identified by an expanded gene signature including diagnostic marker molecules CDO1 and DNM3.,393-9,"Sezary syndrome (SS) is a rare, aggressive CD4+ cutaneous T-cell lymphoma (CTCL); molecular traits differentiating SS from nonleukemic mycosis fungoides (MF) and from inflammatory skin diseases (ID) are not sufficiently characterized. Peripheral blood mononuclear cells (PBMC) of 10 SS patients and 10 healthy donors (HD) were screened by Affymetrix U133Plus2.0 chips for differential gene expression. Ten candidate genes were confirmed by qRT-PCR to be significantly overexpressed in CD4+ T cells of SS versus HD/ID. For easier clinical use, these genes were re-analyzed in PBMC; qRT-PCR confirmed five novel (DNM3, IGFL2, CDO1, NEDD4L, KLHDC5) and two known genes (PLS3, TNFSF11) to be significantly overexpressed in SS. Multiple logistic regression analysis revealed that CDO1 and DNM3 had the highest discriminative power in combination. Upon comparison of PBMC and skin samples of SS versus MF, CDO1 and DNM3 were found upregulated only in SS. Using anti-CDO1 antisera, differential expression of CDO1 protein was confirmed in SS CD4+ T cells. Interestingly, DNM3 and CDO1 are known to be regulated by SS-associated transcription factors TWIST1 and c-myb, respectively. Furthermore, CDO1 catalyzes taurine synthesis and taurine inhibits apoptosis and promotes chemoprotection. In summary, CDO1 and DNM3 may improve the diagnosis of SS and open novel clues to its pathogenesis.","['Booken, N', 'Gratchev, A', 'Utikal, J', 'Weiss, C', 'Yu, X', 'Qadoumi, M', 'Schmuth, M', 'Sepp, N', 'Nashan, D', 'Rass, K', 'Tuting, T', 'Assaf, C', 'Dippel, E', 'Stadler, R', 'Klemke, C-D', 'Goerdt, S']","['Booken N', 'Gratchev A', 'Utikal J', 'Weiss C', 'Yu X', 'Qadoumi M', 'Schmuth M', 'Sepp N', 'Nashan D', 'Rass K', 'Tuting T', 'Assaf C', 'Dippel E', 'Stadler R', 'Klemke CD', 'Goerdt S']","['Department of Dermatology, Venereology and Allergology, University Medical Centre Mannheim, Ruprecht Karl University of Heidelberg, Mannheim, Germany. nina.booken@haut.ma.uni-heidelberg.de']",['eng'],['Journal Article'],20071122,England,Leukemia,Leukemia,8704895,"['0 (Biomarkers, Tumor)', '0 (Neoplasm Proteins)', 'EC 1.13.11.20 (Cysteine Dioxygenase)', 'EC 3.6.5.5 (Dynamin III)']",IM,"['Aged', 'Aged, 80 and over', 'Biomarkers, Tumor', 'Case-Control Studies', 'Cysteine Dioxygenase/analysis/*genetics', 'Dynamin III/analysis/*genetics', 'Female', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Lymphoma, T-Cell, Cutaneous/diagnosis/*genetics', 'Male', 'Middle Aged', 'Neoplasm Proteins/genetics', 'Sezary Syndrome/diagnosis/*genetics', 'Up-Regulation']",2007/11/23 09:00,2008/03/28 09:00,['2007/11/23 09:00'],"['2007/11/23 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/11/23 09:00 [entrez]']","['2405044 [pii]', '10.1038/sj.leu.2405044 [doi]']",ppublish,Leukemia. 2008 Feb;22(2):393-9. doi: 10.1038/sj.leu.2405044. Epub 2007 Nov 22.,,,,,,,,,,,,,,,,,,,,,,
