PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,OID,RF,PS,FPS,GN
1161478,NLM,MEDLINE,19751204,20081121,0301-1518 (Print) 0301-1518 (Linking),4,24,1975 Jun 14,[Fate of polycythemia vera treated by radioactive phosphorus. Apropos of a series of 303 patients followed for 12 to 24 years].,1781-6,"['Tubiana, M', 'Attie, E', 'Parmentier, C']","['Tubiana M', 'Attie E', 'Parmentier C']",['fre'],"['English Abstract', 'Journal Article']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,['0 (Phosphorus Radioisotopes)'],IM,"['Acute Disease', 'Aged', 'Female', 'Follow-Up Studies', 'Hemorrhage/etiology', 'Humans', 'Kidney Neoplasms/etiology', 'Leukemia/etiology', 'Male', 'Middle Aged', 'Phosphorus Radioisotopes/*therapeutic use', 'Polycythemia Vera/complications/mortality/*radiotherapy', 'Primary Myelofibrosis/etiology', 'Splenomegaly/etiology', 'Thrombosis/etiology']",1975/06/14 00:00,1975/06/14 00:01,['1975/06/14 00:00'],"['1975/06/14 00:00 [pubmed]', '1975/06/14 00:01 [medline]', '1975/06/14 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1975 Jun 14;4(24):1781-6.,"Three hundred and three cases of polycythaemia vera were treated between 1949 and 1961 using radioactive phosphorus, the minimum follow-up for the patients in the group being 12 years and the maximum 24 years. Two hundred and thirty three patients died, the median duration of survival after the first treatment with phosphorus being 10 years (i.e. 12 years after the diagnosis was made). 59 patients died of the vascular complications of polycythaemia, 76 of leukaemia or myelofibrosis. The total number of deaths due to vascular complications up to the tenth year exceeded the total number of deaths due to haematological complications (leukaemia or myeloid metaplasia). At the end of the 11th year the opposite was true. From the ninth year onwards, acute leukaemia and myelofibrosis represent more than 40 p.cent of deaths of known cause and the annual probability of death from a haematological cause for the surviving patients increases regularly until the fifteenth year when it reaches approximately 5 p.cent of the patients at risk. However the median survival of patients dying from acute leukaemia or myeloid splenomegaly is slightly longer than that of patients dying from other causes, this confirming that these disorders would appear to represent the terminal phase in the course of polycythaemia vera.",,Le devenir des polyglobulies essentielles trai-ees par le phosphore radioactif. A propos d'une serie de 303 malades suivis pendant 12 a 24 ans,,,,,
1161360,NLM,MEDLINE,19751204,20061115,0031-3939 (Print) 0031-3939 (Linking),50,8,1975 Aug,[Effect of L-asparaginase treatment on humoral immunity in children].,991-7,"['Zajaczkowski, J', 'Pituch, A', 'Legutko, L', 'Pajdak, E', 'Bilinska, M']","['Zajaczkowski J', 'Pituch A', 'Legutko L', 'Pajdak E', 'Bilinska M']",['pol'],"['English Abstract', 'Journal Article']",Poland,Pediatr Pol,Pediatria polska,2985039R,"['0 (Immunoglobulins)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Adolescent', 'Age Factors', '*Antibody Formation', 'Asparaginase/administration & dosage/*pharmacology/therapeutic use', 'Child', 'Child, Preschool', 'Humans', 'Immunoglobulins/analysis', 'Leukemia/drug therapy', 'Methods']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,Pediatr Pol. 1975 Aug;50(8):991-7.,,,Wplyw leczenia L-asparaginaza na odpornosc humoralna u dzieci,,,,,
1161258,NLM,MEDLINE,19751120,20180216,0030-2414 (Print) 0030-2414 (Linking),31,1,1975,Brain changes and survival of animals with tumors implanted in the brain.,1-16,"['Gershbein, L L', 'Benuck, I', 'Shurrager, P S']","['Gershbein LL', 'Benuck I', 'Shurrager PS']",['eng'],['Journal Article'],Switzerland,Oncology,Oncology,0135054,,IM,"['Animals', 'Brain/pathology', 'Brain Neoplasms/mortality/*pathology', 'Carcinoma 256, Walker/mortality/*pathology', 'Carcinoma, Ehrlich Tumor/mortality/*pathology', 'Leukemia, Experimental/mortality/*pathology', 'Mice', 'Neoplasm Transplantation']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1159/000225000 [doi]'],ppublish,Oncology. 1975;31(1):1-16. doi: 10.1159/000225000.,"The effects of tumor cells implanted into the brain of animals on survival rates and gross and microscopic brain changes have been ascertained. Walker carcinosarcoma 256 cell suspensions were injected at several brain sites in rats and leukemia L1210 and P388 and Ehrlich ascites tumor cells, intracerebrally into BDF1 mice. Such neoplasms provided for rapid and rather predictable growth increments. The survival rates were dependent on the number of cells introduced, those receiving the higher counts succumbing first. The brains of the animals revealed fairly discrete space-occupying lesions and neurological symptoms became apparent only hours before death due to intracranial pressure.",,,,,,,
1161111,NLM,MEDLINE,19751120,20141120,0028-2685 (Print) 0028-2685 (Linking),22,2,1975,Methodological approaches to the study of carbohydrate surface receptore on macrophages and tumor cells.,157-62,"['Wollweber, L', 'Fritsch, S']","['Wollweber L', 'Fritsch S']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Glycoproteins)', '0 (Lectins)', '0 (Receptors, Drug)', '11028-71-0 (Concanavalin A)', 'EC 1.11.1.- (Peroxidases)']",IM,"['Animals', 'Binding Sites', 'Binding Sites, Antibody', '*Carbohydrate Metabolism', 'Cell Membrane/immunology/metabolism', 'Concanavalin A/pharmacology', 'Glycoproteins/metabolism', 'Guinea Pigs', 'In Vitro Techniques', 'Lectins/pharmacology', 'Leukemia L1210/immunology/*metabolism', 'Macrophages/immunology/*metabolism', 'Methods', 'Mice', 'Peroxidases/metabolism', 'Receptors, Drug']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1975;22(2):157-62.,"Ultracytochemical visualization of specific carbohydrate receptors by means of lectins can provide valuable topological information about the functional status of cell surfaces in normal and transformed cells. In addition to the concanavalin A (Con A) rection and precoupling of lectin--peroxidase (PO) a new method is suggested using precoupling of the marker enzyme (PO) with an appropriated glycoprotein (glycopeptide) containing a lectin-specific carbohydrate. Furthermore, quantitative estimations of Con A reaction by means of automatic umage analysis are performed on peritoneal macrophages which point out a cluster formation, but give no hints for a loss of glycocalyx during the preparation process contrary to tumor cells.",,,,,,,
1160700,NLM,MEDLINE,19751204,20210518,0025-729X (Print) 0025-729X (Linking),1,14,1975 Apr 5,Editorial: Are lymphoma and leukaemia infectious?,434-5,,,['eng'],['Journal Article'],Australia,Med J Aust,The Medical journal of Australia,0400714,,IM,"['Hodgkin Disease/epidemiology/transmission', 'Humans', 'Leukemia/*transmission', 'Lymphoma/*transmission']",1975/04/05 00:00,1975/04/05 00:01,['1975/04/05 00:00'],"['1975/04/05 00:00 [pubmed]', '1975/04/05 00:01 [medline]', '1975/04/05 00:00 [entrez]']",['10.5694/j.1326-5377.1975.tb111475.x [doi]'],ppublish,Med J Aust. 1975 Apr 5;1(14):434-5. doi: 10.5694/j.1326-5377.1975.tb111475.x.,,,,,,,,
1160399,NLM,MEDLINE,19751205,20091109,0350-199X (Linking),29,1,1975 Jan-Feb,[Disorders of hemostasis in acute and chronic leukoses].,11-4,"['Obradov, S', 'Dugumovic, Z', 'Robovic, Z', 'Knezevic, V']","['Obradov S', 'Dugumovic Z', 'Robovic Z', 'Knezevic V']",['srp'],"['English Abstract', 'Journal Article']",Bosnia and Herzegovina,Med Arh,Medicinski arhiv,0400722,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Blood Coagulation Disorders/*etiology', 'Chronic Disease', 'Female', '*Hemostasis', 'Humans', 'Leukemia/blood/*complications', 'Male', 'Middle Aged']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Med Arh. 1975 Jan-Feb;29(1):11-4.,,,Poremecaj hemostaze kod akutnih i hronicnih leukoza,,,,,
1159838,NLM,MEDLINE,19751126,20190509,0027-8874 (Print) 0027-8874 (Linking),55,3,1975 Sep,A murine model for central nervous system leukemia and its possible relevance to human leukemia.,611-7,"['Lynch, R G', 'Medoff, G', 'Valeriote, F']","['Lynch RG', 'Medoff G', 'Valeriote F']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['7XU7A7DROE (Amphotericin B)', 'U68WG3173Y (Carmustine)']",IM,"['Amphotericin B/therapeutic use', 'Animals', 'Brain/pathology', 'Carmustine/therapeutic use', '*Central Nervous System Diseases', '*Disease Models, Animal', 'Female', '*Leukemia, Experimental/drug therapy/pathology', 'Leukemia, Lymphoid/drug therapy', 'Meninges/pathology', 'Mice', 'Mice, Inbred AKR', 'Neoplasm Metastasis', 'Neoplasm Recurrence, Local', 'Paralysis/etiology', 'Spinal Cord/pathology']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",['10.1093/jnci/55.3.611 [doi]'],ppublish,J Natl Cancer Inst. 1975 Sep;55(3):611-7. doi: 10.1093/jnci/55.3.611.,"Treatment of a transplantable leukemia in AKR mice with both amphotericin B and 1,3-Bis(2-chloroethyl)-1-nitrosourea cured a significant percentage of animals with advanced disease. Some long-term survivors developed paralysis, and they invariably demonstrated central nervous system (CNS) leukemia. Some of these animals had a systemic relapse of their leukemia, and the CNS appeared to act as a focus for systemic dissemination. The occurrence patterns and histopathologic features of the CNS leukemia in the long-term survivors were strikingly similar to those observed in humans with acute lymphoblastic leukemia.",,,,,,,
1159837,NLM,MEDLINE,19751126,20190509,0027-8874 (Print) 0027-8874 (Linking),55,3,1975 Sep,Natural occurrence of lymphocytes showing cytotoxic activity to BALB/c radiation-induced leukemia RL male 1 cells.,603-9,"['Sendo, F', 'Aoki, T', 'Boyse, E A', 'Buafo, C K']","['Sendo F', 'Aoki T', 'Boyse EA', 'Buafo CK']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Age Factors', 'Animals', 'Cytotoxicity Tests, Immunologic', 'Graft Rejection', 'In Vitro Techniques', 'Leukemia, Experimental/*immunology', 'Leukemia, Radiation-Induced/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C3H', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Sex Factors', 'Spleen/cytology']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",['10.1093/jnci/55.3.603 [doi]'],ppublish,J Natl Cancer Inst. 1975 Sep;55(3):603-9. doi: 10.1093/jnci/55.3.603.,"Spleen cells from untreated young male and female C57BL/6 and C58 mice and of male C3H/He mice showed cytotoxic activity in vitro against BALB/c X-radiation-induced leukemia RL male 1 cells by 51Cr-releasing lymphocyte-mediated cytoxicity (LMC) tests, but old mice of these strains lacked LMC activity. In contrast, spleen cells from male and female AKR, BALB/c, and DBA/2 mice, and from female C3H/He mice had no appreciable LMC activity. The proportion of active cells in spleens from young (C57BL/6 times BALB/c)F1 or reciprocal hybrid mice was higher in females than in males. The specificity of the LMC reaction of RL male 1 cells, determined by LMC inhibition assays, was somewhat different from that of previously reported serologic X.1 tests. Thus the antigen detected by LMC has been tentatively designated X.1'. The main effector cells in this system were uncharacterized cells not adherent to glass surfaces or nylon-wool columns. These findings in RL male 1 leukemia extend the evidence for the presence of naturally occurring LMC. With the single unexplained exception of strain C3H/He, the LMC activity against RL male 1 cells, exhibited by untreated mice of various strains, corresponded with a previous classification of mouse strains immunologically as X.1 responders or as X.1 nonresponders according to their ability to reject X.1-positive leukemia cells.",,,,,,,
1159836,NLM,MEDLINE,19751126,20190509,0027-8874 (Print) 0027-8874 (Linking),55,3,1975 Sep,Antineoplastic activity of cannabinoids.,597-602,"['Munson, A E', 'Harris, L S', 'Friedman, M A', 'Dewey, W L', 'Carchman, R A']","['Munson AE', 'Harris LS', 'Friedman MA', 'Dewey WL', 'Carchman RA']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antineoplastic Agents)', '19GBJ60SN5 (Cannabidiol)', '1CC1JFE158 (Dactinomycin)', '7J8897W37S (Dronabinol)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Administration, Oral', 'Animals', '*Antineoplastic Agents', 'Bone Marrow/metabolism', 'Bone Marrow Cells', 'Cannabidiol/therapeutic use', 'Cannabis/administration & dosage/*therapeutic use', 'Dactinomycin/pharmacology', 'Dose-Response Relationship, Drug', 'Dronabinol/pharmacology/therapeutic use', 'Friend murine leukemia virus', 'In Vitro Techniques', 'Leukemia L1210/drug therapy', 'Lung Neoplasms/drug therapy/metabolism', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasms, Experimental/*drug therapy', '*Phytotherapy', 'Splenomegaly/drug therapy/etiology', 'Thymidine/metabolism', 'Uridine/metabolism']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",['10.1093/jnci/55.3.597 [doi]'],ppublish,J Natl Cancer Inst. 1975 Sep;55(3):597-602. doi: 10.1093/jnci/55.3.597.,"Lewis lung adenocarcinoma growth was retarded by the oral administration of delta9-tetrahydrocannabinol (delta9-THC), delta8-tetrahydrocannabinol (delta8-THC), and cannabinol (CBN), but not cannabidiol (CBD). Animals treated for 10 consecutive days with delta9-THC, beginning the day after tumor implantation, demonstrated a dose-dependent action of retarded tumor growth. Mice treated for 20 consecutive days with delta8-THC and CBN had reduced primary tumor size. CBD showed no inhibitory effect on tumor growth at 14, 21, or 28 days. Delta9-THC, delta8-THC, and CBN increased the mean survival time (36% at 100 mg/kg, 25% at 200 mg/kg, and 27% at 50 mg/kg, respectively), whereas CBD did not. Delta9-THC administered orally daily until death in doses of 50, 100, or 200 mg/kg did not increase the life-spans of (C57BL/6 times DBA/2)F1 (BDF1) mice hosting the L1210 murine leukemia. However, delta9-THC administered daily for 10 days significantly inhibited Friend leukemia virus-induced splenomegaly by 71% at 200 mg/kg as compared to 90.2% for actinomycin D. Experiments with bone marrow and isolated Lewis lung cells incubated in vitro with delta9-THC and delta8-THC showed a dose-dependent (10(-4)-10(-7)) inhibition (80-20%, respectively) of tritiated thymidine and 14C-uridine uptake into these cells. CBD was active only in high concentrations (10(-4)).",,,,,,,
1159829,NLM,MEDLINE,19751120,20031114,0027-8874 (Print) 0027-8874 (Linking),55,2,1975 Aug,The attacker: target-cell ratio and serum effects on in vitro cell-mediated immunity.,483-4,"['Mantovani, A', 'Veechi, A', 'Spreafico, F']","['Mantovani A', 'Veechi A', 'Spreafico F']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Animals', 'Cytotoxicity Tests, Immunologic/*methods', 'Female', '*Immunity, Cellular', 'Leukemia L1210/immunology', 'Mice', 'Mice, Inbred C3H']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1975 Aug;55(2):483-4.,Sera collected from mice rejecting an allogeneic tumor and showing arming activity for normal splenocytes increased target-cell lysis by immune cells when low (less than or equal to 25:1) attacker:target-cell ratios (A:T) were used but inhibited cytotoxicity at higher (100:1) A:T. The importance of this methodologic variable in studies of serum activity on cellular cytotoxicity is emphasized and the possible mechanisms are discussed.,,,,,,,
1159825,NLM,MEDLINE,19751120,20131121,0027-8874 (Print) 0027-8874 (Linking),55,2,1975 Aug,Target cell of the polycythemia-inducing Friend virus: studies with myleran.,443-6,"['Fredrickson, T', 'Tambourin, P', 'Wendling, F', 'Jasmin, C', 'Smajda, F']","['Fredrickson T', 'Tambourin P', 'Wendling F', 'Jasmin C', 'Smajda F']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['11096-26-7 (Erythropoietin)', 'G1LN9045DK (Busulfan)']",IM,"['Animals', 'Busulfan/*pharmacology', 'Dose-Response Relationship, Drug', 'Erythropoietin/pharmacology', 'Friend murine leukemia virus/*pathogenicity', 'Hematopoietic Stem Cells/drug effects/*microbiology', 'Mice', 'Mice, Inbred C3H', 'Organ Size', 'Polycythemia/*microbiology', 'Spleen/anatomy & histology/drug effects']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1975 Aug;55(2):443-6.,"A single injection of Myleran reduced the pluripotent hematopoietic stem cell, i.e., colony forming unit(s) (CFU), and the erythropoietin-responsive cell (ERC) in polycythemic mice to around 0.5% that of the controls. Repeated injections of erythropoietin (EP) restored ERC populations, whereas the CFU remained at very low levels. This selective action of Myleran and EP in polycythemic mice seemed to be a good approach for the study of oncogenic action of Friend virus on target cells. When the CFU and ERC compartments were decreased, practically no response to the virus was obtained. When there was an appreciable ERC population present with decreased CFU, leukemogenesis still occurred (as judged by the increased spleen weight). This result was in proportion to the dose of EP, i.e., stimulation of the ERC or closely related cells.",,,,,,,
1159821,NLM,MEDLINE,19751120,20190509,0027-8874 (Print) 0027-8874 (Linking),55,2,1975 Aug,Inhibitory effects of phytohemagglutinin on growth of leukemia lymphoblasts L5178Y in vitro and in vivo.,323-7,"['Yang, T J']",['Yang TJ'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (DNA, Neoplasm)', '0 (Lectins)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)']",IM,"['Agglutination/drug effects', 'Animals', 'Cell Division/drug effects', 'Cell Line', 'Clone Cells', 'DNA, Neoplasm/biosynthesis', 'Depression, Chemical', 'Dose-Response Relationship, Drug', 'Female', 'Lectins/*pharmacology', 'Leukemia, Experimental/metabolism/*pathology', 'Lymphocytes/drug effects', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Proteins/biosynthesis', 'RNA, Neoplasm/biosynthesis', 'Time Factors']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",['10.1093/jnci/55.2.323 [doi]'],ppublish,J Natl Cancer Inst. 1975 Aug;55(2):323-7. doi: 10.1093/jnci/55.2.323.,"Phytohemagglutinin (PHA) inhibited the growth of mouse leukemia lymphoblasts L5178Y in culture. RNA synthesis was repressed significantly within the first hour, and the rates of DNA and protein synthesis were significantly decreased within the second hour; maximum inhibition occurred after 24 hours. The ability of the cells to form colonies in soft agar was limited to a greater extent at much lower PHA concentrations. The cells lost their tumorigenicity in syngeneic DBA/2 mice after 4 hours of PHA treatment, when the viability was not appreciably decreased. The cultures of a PHA-resistant strain derived from a resistant colony cloned from the PHA-containing soft agar plate showed increased resistance toward PHA. A fourfold increase in PHA concentration was needed for the same rate of inhibition of the original cell line to be attained.",,,,,,,
1159816,NLM,MEDLINE,19751126,20190509,0027-8874 (Print) 0027-8874 (Linking),55,1,1975 Jul,Low-dose chemotherapy as a prelude to intensive treatment of spontaneous leukemia-lymphoma in AKR mice.,219-21,"['Rose, W C', 'Rimm, A A', 'Saltzstein, E C', 'Truitt, R L', 'Bortin, M M']","['Rose WC', 'Rimm AA', 'Saltzstein EC', 'Truitt RL', 'Bortin MM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Nitrosourea Compounds)', '7XU7A7DROE (Amphotericin B)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Amphotericin B/administration & dosage/therapeutic use', 'Animals', 'Cyclophosphamide/administration & dosage/therapeutic use', 'Dose-Response Relationship, Drug', 'Dose-Response Relationship, Radiation', 'Female', 'Leukemia/*drug therapy/radiotherapy', 'Lymphoma/*drug therapy/radiotherapy', 'Mice', 'Mice, Inbred AKR', 'Nitrosourea Compounds/administration & dosage/therapeutic use']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",['10.1093/jnci/55.1.219 [doi]'],ppublish,J Natl Cancer Inst. 1975 Jul;55(1):219-21. doi: 10.1093/jnci/55.1.219.,"Groups of AKR mice bearing spontaneous leukemia-lymphoma were treated with five different combinations of chemotherapy or chemoradiotherapy. Each treatment combination was given in two sequences--high dose first and low dose last, or low dose first and high dose last--administered over 6-7 days. When the initial treatment was a high dose of chemotherapy, radiotherapy, or chemoradiotherapy, mortality in the first 24 hours exceeded 40%, and at least 70% of the mice in each group were dead within 2 weeks. When low-dose chemotherapy was given first, mortality in the first 24 hours was minimal but, most significantly, no deaths occurred in the 24 hours after subsequent high-dose treatment. In the most successful group (100 mg cyclophosphamide/kg on day 0, and 250 mg cyclophosphamide/kg and 400 R total-body X-irradiation on day 7), the median survival time increased significantly as compared with the median survival time among mice given the same regimen in reverse sequence (p less than 0.001) or among untreated control mice (p less than 0.01). With this regimen, survival 60 days after the last treatment was 47%. No mouse survived 30 days when the sequence of treatments was reversed. From these results, we conclude that chemotherapeutic and chemoradiotherapeutic regimens for AKR spontaneous leukemia-lymphoma should be designed so that low, minimally lethal doses precede higher doses.",,,,,,,
1159815,NLM,MEDLINE,19751126,20190509,0027-8874 (Print) 0027-8874 (Linking),55,1,1975 Jul,Increased immunogenicity of two lymphoma lines after drug treatment of athymic (nude) mice.,207-9,"['Campanile, F', 'Houchens, D P', 'Gaston, M', 'Goldin, A', 'Bonmassar, E']","['Campanile F', 'Houchens DP', 'Gaston M', 'Goldin A', 'Bonmassar E']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antibodies, Neoplasm)', '0 (Triazenes)', '7GR28W0FJI (Dacarbazine)']",IM,"['Animals', 'Antibodies, Neoplasm/*biosynthesis', 'Cell Line', 'Dacarbazine/*pharmacology', 'Immunotherapy', 'Leukemia L1210/*immunology', 'Lymphoma/*immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Nude/*immunology', 'Stimulation, Chemical', 'Triazenes/*pharmacology']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",['10.1093/jnci/55.1.207 [doi]'],ppublish,J Natl Cancer Inst. 1975 Jul;55(1):207-9. doi: 10.1093/jnci/55.1.207.,"Highly immunogenic sublines of L1210 and LSTRA lymphomas were obtained from athymic (nude) mice treated with 4(5)-(3,3-dimethyl-1-triazeno)imidazole-5(4)carboxamide (DIC) in vivo. Conventional mice, compatible with the parent tumor, rejected the DIC-treated sublines and were relatively resistant to a subsequent challenge with the parent lines. The DIC-treated sublines were not rejected by athymic mice, which indicated that the transplantation resistance to these tumors in conventional mice was thymus-cell dependent. In addition, there was marginal or no increase of tumor-cell immunogenicity when the parent lines were passaged in nude mice without DIC treatment. This indicated that the DIC-dependent immunogenic changes in DIC-treated leukemic conventional mice could not be ascribed merely to protection by naturally occurring antigenic clones that resulted from DIC-induced immunodepression.",,,,,,,
1159704,NLM,MEDLINE,19751122,20190709,0022-2623 (Print) 0022-2623 (Linking),18,8,1975 Aug,Potential central nervous system antitumor agents. Hydantoin derivatives.,846-9,"['Peng, G W', 'Marquez, V E', 'Driscoll, J S']","['Peng GW', 'Marquez VE', 'Driscoll JS']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Hydantoins)', '0 (Nitrogen Mustard Compounds)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Brain Neoplasms/drug therapy', '*Central Nervous System', 'Ependymoma/drug therapy', 'Hydantoins/*chemical synthesis/therapeutic use', 'L-Lactate Dehydrogenase/blood', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Melanoma/drug therapy', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Nitrogen Mustard Compounds/*chemical synthesis/therapeutic use']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",['10.1021/jm00242a019 [doi]'],ppublish,J Med Chem. 1975 Aug;18(8):846-9. doi: 10.1021/jm00242a019.,Hydantoin derivatives of varying lipophilic character were prepared as nitrogen mustard carriers for CNS antitumor evaluation. Activity was studied in the murine ependymoblastoma brain tumor system. Multiple cures were observed for three of the four analogs examined. The compounds were also active in the intraperitoneal leukemia L1210 and P388 systems as well as in B16 melanoma and Lewis lung carcinoma.,,,,,,,
1159700,NLM,MEDLINE,19751122,20190709,0022-2623 (Print) 0022-2623 (Linking),18,8,1975 Aug,"Potential latentiation forms of biologically active compounds based on action of leucine aminopeptidase. Dipeptide derivatives of the tricycloaliphatic alpha-amino acid, adamantanine.",826-30,"['Nagasawa, H T', 'Elberling, J A', 'Shirota, F N']","['Nagasawa HT', 'Elberling JA', 'Shirota FN']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Dipeptides)', 'BF4C9Z1J53 (Amantadine)', 'EC 3.4.11.1 (Leucyl Aminopeptidase)']",IM,"['Amantadine/*analogs & derivatives/chemical synthesis/therapeutic use', 'Animals', 'Biological Availability', 'Dipeptides/*chemical synthesis/therapeutic use', 'Hydrolysis', 'Kinetics', 'Leucyl Aminopeptidase/*antagonists & inhibitors', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Mice', 'Mice, Inbred Strains']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",['10.1021/jm00242a013 [doi]'],ppublish,J Med Chem. 1975 Aug;18(8):826-30. doi: 10.1021/jm00242a013.,"Some glycine, leucine and phenylalanine dipeptide derivatives of the transport inhibitory, tricycloaliphatic alpha-amino acid, adamantanine (1), have been synthesized using classical methods of peptide synthesis with the aim of improving the latter's bioavailability. Although test doses of glycyladamantanine and L-leucyladamantanine appeared to be absorbed in vivo as evidenced by its appearance in the uring following intraperitoneal administration, they were not hydrolyzed by a purified preparation of leucine aminopeptidase in vitro. Indeed, they were inhibitors of this enzyme. Adamantanylglycine, adamantanyl-L-leucine, and adamantanyl-L-phenylalanine were also not hydrolyzed by leucine aminopeptidase.",,,,,,,
