PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CON,GR,CIN,PMC,TT,SI,OTO,OT,IR,FIR,IRAD,EIN,OID,GN,PS,FPS,CN,LID
9262987,NLM,MEDLINE,19970916,20191102,1269-3286 (Print) 1269-3286 (Linking),39,3,1997 Jun,Minimal residual disease detection in B-cell malignancies by assessing IgH rearrangement.,119-24,"In B-cell malignancies, the uniqueness of the immunoglobulin heavy chain locus (IgH) clonal rearrangement provides a useful marker for the detection of minimal residual disease (MRD) after treatment. During the last decade, several techniques have been proposed and used for detecting MRD. In this review, we report the current PCR based techniques dealing with amplification of the VDJ segment since the CDR3 region is unique to each IgH rearrangement. The sensitivity of these techniques varies considerably with a detection level of one tumoral cell in 10(-2) to 10(-6) normal cells. Accurate and sensitive assessment of MRD may have profound impact in the clinical management of patients with hematologic malignancies. Although, a majority of studies have shown a good correlation between the rapidity or extent of the reduction in the number of tumoral cells and the subsequent relapse, other studies demonstrated substained positivity of PCR in patients in long term remission. Thus, current clinical studies of MRD should establish whether MRD predicts relapse uniformly and, therefore, justifies intensification of therapy in positive cases, or whether it simply detects leukemic cell populations whose proliferative potential has been altered by chemotherapy.","['Maloum, K', 'Pritsch, O', 'Dighiero, G']","['Maloum K', 'Pritsch O', 'Dighiero G']","[""Hopital Pitie-Salpetriere, Departement d'Hematologie, Paris, France.""]",['eng'],"['Journal Article', 'Review']",France,Hematol Cell Ther,Hematology and cell therapy,9613253,['0 (Immunoglobulin Heavy Chains)'],IM,"['B-Lymphocytes/*pathology', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain/*genetics/physiology', 'Humans', 'Immunoglobulin Heavy Chains/*genetics/physiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Lymphoma, B-Cell/*genetics', 'Neoplasm, Residual/*diagnosis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']",['10.1007/s00282-997-0119-z [doi]'],ppublish,Hematol Cell Ther. 1997 Jun;39(3):119-24. doi: 10.1007/s00282-997-0119-z.,52,,,,,,,,,,,,,,,,,,
9262963,NLM,MEDLINE,19970929,20061115,1148-5493 (Print) 1148-5493 (Linking),8,2,1997 Jun,Cytokines and peripheral nerve disorders.,145-51,"Peripheral nerve production of cytokines originates from resident and recruited macrophages, lymphocytes, mastocytes, Schwann cells, and probably neurons. Cytokines are involved in nerve lesions and repair. Tumor necrosis factor-alpha (TNF-alpha) injected into nerve induces Wallerian degeneration, whereas, interleukin-1 (IL-1) production promotes detersion by scavenger macrophages, and synthesis of neurotrophic factors (nerve growth factor-NGF- and leukemia inhibitory factor-LIF). After experimental axotomy, other neurotrophic factors, including IL-6, LIF and transforming growth factor-beta 1 (TGF-beta 1), are overexpressed in nerve and promote axonal growth until axon/Schwann cell contact. Proinflammatory cytokines are instrumental in the course of inflammatory demyelinating neuropathies. They increase vascular permeability and blood nerve barrier breakdown (TNF-alpha, vascular endothelial growth factor/ vascular permeability factor-VEGF/VPF), favor transmigration of leukocytes into nerve, induce activation and proliferation of lymphocytes (IL-1, IL-2) and macrophages (gamma-interferon-IFN-gamma), and have a direct myelinotoxic activity (TNF-alpha and TNF-beta). In addition, downregulation of the immunosuppressive cytokine TGF-beta 1 may favor the nerve inflammatory reactions.","['Creange, A', 'Barlovatz-Meimon, G', 'Gherardi, R K']","['Creange A', 'Barlovatz-Meimon G', 'Gherardi RK']","[""Groupe d'Etudes et de Recherches sur le Muscle et le Nerf (GERMEN), Faculte de medecine de Creteil, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",France,Eur Cytokine Netw,European cytokine network,9100879,"['0 (Cytokines)', '0 (Inflammation Mediators)']",IM,"['Animals', 'Cytokines/*physiology', 'Demyelinating Diseases/etiology/immunology', 'Humans', 'Inflammation Mediators/physiology', 'Nerve Degeneration/immunology', 'Nerve Regeneration/immunology', 'Neuritis/etiology/immunology', 'Peripheral Nervous System Diseases/*etiology/*immunology']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']",,ppublish,Eur Cytokine Netw. 1997 Jun;8(2):145-51.,84,,,,,,,,,,,,,,,,,,
9262529,NLM,MEDLINE,19970828,20111117,0002-838X (Print) 0002-838X (Linking),56,2,1997 Aug,Primary care of adults with mental retardation living in the community.,485-94,"An increased number of adults with mental retardation are living in the community and seeking health care from family physicians. When mentally retarded patients are enrolled in a medical practice, guardianship status should be determined, but these patients should be involved in their own care to as great an extent possible. Since a verbal history may be difficult to obtain, a systematic, thorough physical examination is important. Certain Illnesses, such as hepatitis B, recurrent aspiration syndrome, leukemia and atlantoaxial instability, are much more common in adults with Down syndrome then in adults with mental retardation from other causes. Seizures and mental illness are equally common in all mentally retarded adults. The behavior management and pharmacologic therapy of patients with mental retardation are best handled in close association with caregivers, as well as psychiatrists and neurologists who are familiar with the special needs of this population.","['Martin, B A']",['Martin BA'],"['Metropolitan Denver Provider Network, Aurora, Colorado, USA.']",['eng'],"['Journal Article', 'Review']",United States,Am Fam Physician,American family physician,1272646,,IM,"['Adult', 'Humans', 'Intellectual Disability/complications/etiology/*therapy', 'Medical History Taking', 'Physical Examination', 'Prevalence', 'Primary Health Care', 'Residence Characteristics']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']",,ppublish,Am Fam Physician. 1997 Aug;56(2):485-94.,32,,,['Am Fam Physician. 1998 Apr 1;57(7):1498. PMID: 9556640'],,,,,,,,,,,,,,,
9262492,NLM,MEDLINE,19971023,20131121,0949-2321 (Print) 0949-2321 (Linking),2,8,1997 Aug 28,Candida abscess of the thyroid in a patient with acute lymphocytic leukemia.,365-6,"A case of Candida abscess of the thyroid in a patient with acute lymphoblastic leukemia is described. The patient developed this rare complication after treatment with steroids and combination chemotherapy, during therapy with broad spectrum antibiotics for febrile neutropenia. Prior to the thyroiditis the patient had pulmonary aspergillosis. The abscess developed during treatment with high dose Amphotericin B. Unlike previous cases, the Candida was isolated to the thyroid, with no evidence of Candidemia or Candida infection in other sites.","[""Da'as, N"", 'Lossos, I S', 'Yahalom, V', 'Rund, D', 'Wolf, D G', 'Zelig, O', 'Ben-Yehuda, D']","[""Da'as N"", 'Lossos IS', 'Yahalom V', 'Rund D', 'Wolf DG', 'Zelig O', 'Ben-Yehuda D']","['Department of Hematology, Hadassah University Hospital,Ein-Karem, PO Box 12000, Jerusalem 91120, Israel.']",['eng'],"['Case Reports', 'Journal Article']",England,Eur J Med Res,European journal of medical research,9517857,['7XU7A7DROE (Amphotericin B)'],IM,"['Abscess/complications/*pathology', 'Adolescent', 'Amphotericin B/therapeutic use', 'Aspergillosis/complications/drug therapy', 'Candidiasis/complications/*pathology', 'Humans', 'Lung Diseases, Fungal/complications/drug therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Thyroid Gland/*pathology', 'Thyroiditis, Suppurative/complications/*pathology']",1997/08/28 00:00,1997/08/28 00:01,['1997/08/28 00:00'],"['1997/08/28 00:00 [pubmed]', '1997/08/28 00:01 [medline]', '1997/08/28 00:00 [entrez]']",,ppublish,Eur J Med Res. 1997 Aug 28;2(8):365-6.,,,,,,,,,,,,,,,,,,,
9262390,NLM,MEDLINE,19970827,20190618,0028-0836 (Print) 0028-0836 (Linking),388,6643,1997 Aug 14,Head of French leukaemia inquiry quits after partisan remarks.,614,,"['Glover, E']",['Glover E'],,['eng'],['News'],England,Nature,Nature,0410462,['0 (Radioactive Waste)'],IM,"['Administrative Personnel', 'Child', 'France/epidemiology', 'Humans', 'Leukemia, Radiation-Induced/*epidemiology/etiology', '*Radioactive Waste']",1997/08/14 00:00,2001/03/23 10:01,['1997/08/14 00:00'],"['1997/08/14 00:00 [pubmed]', '2001/03/23 10:01 [medline]', '1997/08/14 00:00 [entrez]']",['10.1038/41631 [doi]'],ppublish,Nature. 1997 Aug 14;388(6643):614. doi: 10.1038/41631.,,,,,,,,,,,,,,,,,,,
9261955,NLM,MEDLINE,19970926,20190831,0165-2427 (Print) 0165-2427 (Linking),57,3-4,1997 Jul,Molecular characteristics of malignant lymphomas in cats naturally infected with feline immunodeficiency virus.,153-67,"Neoplastic disease, especially malignant lymphomas, are often observed in cats infected with feline immunodeficiency virus (FIV). In order to clarify the characteristics of lymphoma cells and to investigate the pathogenesis in FIV-infected cats, we examined the lymphoma tissues developed in five cats naturally infected with FIV by Southern blot analyses using feline immunoglobulin (Ig), T-cell receptors (TCR) and FIV probes. All of the five cases were serologically positive for anti-FIV antibody and negative for feline leukemia virus antigen. Of these five lymphoma samples, two displayed rearrangement of the Ig heavy chain gene and deletion of the Ig light (kappa) chain gene, indicating that the tumor cells were committed to B-cell development. One tumor sample was identified as a T-cell lymphoma because of the presence of a rearranged TCR beta-chain gene. The other two cases were considered to be non-T non-B cell lymphoma because they did not show any rearrangement of the Ig and TCR genes. Therefore, no consistent tumor type was found in lymphoma cases infected with FIV. Clonal integration of FIV provirus was not detected in any of the five lymphoma samples obtained from FIV-infected cats using Southern blot analysis, although FIV proviral genome was detected in the genomic DNA of all the lymphoma samples by using a polymerase chain reaction (PCR). These results indicated that FIV might not play a direct role in tumorigenesis of lymphoma in cats.","['Endo, Y', 'Cho, K W', 'Nishigaki, K', 'Momoi, Y', 'Nishimura, Y', 'Mizuno, T', 'Goto, Y', 'Watari, T', 'Tsujimoto, H', 'Hasegawa, A']","['Endo Y', 'Cho KW', 'Nishigaki K', 'Momoi Y', 'Nishimura Y', 'Mizuno T', 'Goto Y', 'Watari T', 'Tsujimoto H', 'Hasegawa A']","['Department of Veterinary Internal Medicine, Faculty of Agriculture, University of Tokyo, Japan. aa47108@hongo.ecc.utokyo.ac.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Vet Immunol Immunopathol,Veterinary immunology and immunopathology,8002006,,IM,"['Animals', 'Blotting, Southern', 'Cat Diseases/genetics/*virology', 'Cats', 'Female', 'Genome, Viral', 'Genotype', 'Immunodeficiency Virus, Feline/*genetics/immunology/isolation & purification', 'Lentivirus Infections/*genetics/*veterinary/virology', 'Lymphoma/*genetics/*veterinary/virology', 'Male', 'Proviruses/genetics', 'Virus Integration/immunology']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']","['S0165-2427(97)00004-4 [pii]', '10.1016/s0165-2427(97)00004-4 [doi]']",ppublish,Vet Immunol Immunopathol. 1997 Jul;57(3-4):153-67. doi: 10.1016/s0165-2427(97)00004-4.,,,,,,,,,,,,,,,,,,,
9261934,NLM,MEDLINE,19970923,20190727,0040-8727 (Print) 0040-8727 (Linking),182,2,1997 Jun,Decrease in Thy-1 expression on peripheral CD34 positive cells induced by G-CSF mobilization. The Tohoku Children Leukemia Study Group.,157-62,"In order to ascertain the cytological features of peripheral hematopoietic progenitor cells (PHPC) mobilized after administration of chemotherapeutic agents and G-CSF, lineage- and progenitor cell-specific surface markers on CD34 positive (+) cells were sequentially examined. Nineteen evaluable samples were obtained from a malignant lymphoma, an acute lymphoblastic leukemia and 5 neuroblastoma patients. CD38 and HLA-DR were respectively expressed on more than 95% and approximately 85% of CD34+ PHPC cells. CD19 was also expressed on the majority and CD117 on 10 to 20% of the CD34+ cells. The most striking finding was that the Thy-1(CDw90)+/CD34+ population was decreased at the peak of mobilization of CD34+ cells as compared to the early phase after G-CSF administration (approximately 20% vs. 60%). These results suggest that decrease in Thy-1 expression on CD34+ cells is related to mechanisms easing CD34+ cell mobilization to the peripheral blood.","['Tsuchiya, S', 'Kikuta, A', 'Shimizu, Y', 'Takano, N', 'Ito, E', 'Watanabe, A', 'Imaizumi, M', 'Konno, T']","['Tsuchiya S', 'Kikuta A', 'Shimizu Y', 'Takano N', 'Ito E', 'Watanabe A', 'Imaizumi M', 'Konno T']","['Department of Pediatric Oncology, Tohoku University, Sendai, Japan. tsuchiya@europa.idac.tohoku.ac.jp']",['eng'],['Journal Article'],Japan,Tohoku J Exp Med,The Tohoku journal of experimental medicine,0417355,"['0 (Antigens, CD34)', '0 (Thy-1 Antigens)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Antigens, CD34', 'Antineoplastic Combined Chemotherapy Protocols/*administration & dosage', 'Child', 'Child, Preschool', 'Granulocyte Colony-Stimulating Factor/*administration & dosage', 'Hematologic Neoplasms/blood/drug therapy/*immunology', 'Hematopoietic Stem Cells/*immunology', 'Humans', 'Thy-1 Antigens/*biosynthesis/immunology']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']",['10.1620/tjem.182.157 [doi]'],ppublish,Tohoku J Exp Med. 1997 Jun;182(2):157-62. doi: 10.1620/tjem.182.157.,,,,,,,,,,,,,,,,,,,
9261883,NLM,MEDLINE,19970929,20210308,1031-3613 (Print) 1031-3613 (Linking),9,3,1997,Recent developments and potentialities for reducing embryo mortality in ruminants: the role of IFN-tau and other cytokines in early pregnancy.,355-80,"This review considers the potential reduction of embryo mortality in vitro and in vivo in ruminants. Data on cytokines provided by different fields of reproductive immunology and biology were collated. Because of the crucial importance of the local interactions between the embryo and its dam, the expression of growth-factor and cytokine genes was analysed in the embryo proper, trophoblast, oviduct and endometrium by reverse transcriptase polymerase chain reaction in sheep and in cattle during the pre- and periimplantation periods. Many deleterious cytokines, such as tumour necrosis factor-alpha, interferon-gamma (IFN-gamma), interleukin-2 (IL-2), and beneficial cytokines, such as transforming growth factor-beta, leukaemia inhibiting factor, colony-stimulating factor-1 (CSF-1), granulocyte-macrophage CSF, IL-1, IL-3, IL-4, IL-6, IL-10 and IFN-tau appeared to be involved in embryo survival in ruminants and other species. Their administration is efficient in a murine experimental model (CBA/J x DBA/2) of embryonic and fetal mortality. For instance, recombinant ovine IFN-tau (roIFN-tau) injected at the moment of implantation drastically reduces embryonic mortality in this model. In ruminants, roIFN-tau and recombinant bovine IFN-tau are very efficient in maintaining progesterone luteal secretion in cyclic animals. The involvement of IFN-tau in the mechanisms of maternal pregnancy recognition are particularly detailed in relation to inhibition of 13,14 dihydro-15-keto-prostaglandin F2 alpha (PGFM) pulses and oxytocin uterine receptivity. A synthetic model of the anti-luteolytic effects of IFN-tau on the endometrial cell is proposed. Finally, the particular potential of serum pregnancy-specific proteins (PSPs: PSPB, PSP60, pregnancy-associated glycoprotein) for monitoring embryo survival, with examples given for cattle and sheep is underlined.","['Martal, J', 'Chene, N', 'Camous, S', 'Huynh, L', 'Lantier, F', 'Hermier, P', ""L'Haridon, R"", 'Charpigny, G', 'Charlier, M', 'Chaouat, G']","['Martal J', 'Chene N', 'Camous S', 'Huynh L', 'Lantier F', 'Hermier P', ""L'Haridon R"", 'Charpigny G', 'Charlier M', 'Chaouat G']","[""Unite d'Endocrinologie de l'Embryon, Station de Physiologie animale, INRA, Jouy-en-Josas, France.""]",['eng'],"['Journal Article', 'Review']",Australia,Reprod Fertil Dev,"Reproduction, fertility, and development",8907465,"['0 (Cytokines)', '0 (Growth Substances)', '0 (Interferon Type I)', '0 (Pregnancy Proteins)', '0 (Receptors, Oxytocin)', '0 (interferon tau)', '0 (pregnancy serum protein PSP60)', 'B7IN85G1HY (Dinoprost)']",IM,"['Amino Acid Sequence', 'Animals', 'Cattle', 'Cloning, Molecular', 'Corpus Luteum/drug effects/physiology', 'Cytokines/*physiology', 'Dinoprost/metabolism', 'Embryonic and Fetal Development/immunology/physiology', 'Endometrium/immunology/physiology', 'Female', 'Fetal Death/blood/diagnosis/veterinary', 'Genetic Engineering', 'Growth Substances/physiology', 'Interferon Type I/pharmacology/*physiology', 'Molecular Sequence Data', 'Pregnancy', 'Pregnancy Proteins/genetics/pharmacology/*physiology', 'Pregnancy, Animal/*immunology/physiology', 'Receptors, Oxytocin/drug effects', 'Rodentia', 'Ruminants/embryology/immunology/*physiology', 'Sheep']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1071/r96083 [doi]'],ppublish,Reprod Fertil Dev. 1997;9(3):355-80. doi: 10.1071/r96083.,250,,,,,,,,,,,,,,,,,,
9261859,NLM,MEDLINE,19970925,20190826,0090-6980 (Print) 0090-6980 (Linking),53,6,1997 Jun,Microdetermination of the thromboxane B3 gas chromatography-selected-ion monitoring using [18O]thromboxane B3 as an internal standard.,381-94,"We devised a simple and effective purification for the microdetermination of thromboxane B3 (TXB3), a hydrolysis product of TXA3- [18O2]TXB3 was synthesized by the repeated base-catalyzed hydrolysis of methyl ester derivatives in [18O]water, to obtain an internal standard (IS) for the gas chromatography/selected ion monitoring (GC/SIM) of TXB3. The methyl ester (ME)-methoxime (MO)-dimethylisopropylsilyl (DMIPS) ether derivative was prepared, then GC/SIM was carried out by monitoring the ion at m/z 668 for TXB3 and that at m/z 672 for IS. A good linear response over the range of 10 pg approximately 10 ng was demonstrated. We were able to detect the levels of TXB3 in the medium of human erythroleukemia (HEL) cell cultured with eicosapentaenoic acid (EPA) or docosahexaenoic acid (DHA). This method can be used to determine 3-series thromboxane in biological samples.","['Hishinuma, T', 'Nakagawa, Y', 'Yamazaki, T', 'Hiraku, S', 'Mizugaki, M']","['Hishinuma T', 'Nakagawa Y', 'Yamazaki T', 'Hiraku S', 'Mizugaki M']","['Department of Pharmaceutical Sciences, Tohoku University Hospital, Sendai, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Prostaglandins,Prostaglandins,0320271,"['0 (Culture Media, Conditioned)', '0 (Oxygen Isotopes)', '0 (Thromboxanes)', '25167-62-8 (Docosahexaenoic Acids)', '54397-85-2 (Thromboxane B2)', 'AAN7QOV9EA (Eicosapentaenoic Acid)', 'S1WQ5UNY10 (thromboxane B3)']",IM,"['Calibration', 'Chromatography, Gas/*methods/standards', 'Culture Media, Conditioned', 'Docosahexaenoic Acids/metabolism', 'Eicosapentaenoic Acid/metabolism', 'Humans', 'Isotope Labeling/methods', 'Leukemia, Erythroblastic, Acute', 'Microchemistry', 'Oxygen Isotopes', 'Reproducibility of Results', 'Thromboxane B2/*analogs & derivatives/analysis', '*Thromboxanes/*analogs & derivatives', 'Tumor Cells, Cultured']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']","['S0090698097000567 [pii]', '10.1016/s0090-6980(97)00056-7 [doi]']",ppublish,Prostaglandins. 1997 Jun;53(6):381-94. doi: 10.1016/s0090-6980(97)00056-7.,,,,,,,,,,,,,,,,,,,
9261743,NLM,MEDLINE,19970922,20171116,0392-9078 (Print) 0392-9078 (Linking),16,2,1997 Jun,"The heterogeneous expression of CD80, CD86 and other adhesion molecules on leukemia and lymphoma cells and their induction by interferon.",171-6,"CD80 (B7/BB-1, B7-1) and CD86 (B70, B7-2) take an important role in the interaction between T lymphocytes and antigen presenting cells (APCs) as co-stimulatory molecules. We analyzed the manifestation of adhesion molecules, including CD80 and CD86, on some leukemia and lymphoma cells. Constitutive expression of CD80 and/or CD86 was frequently observed on B cell leukemia/lymphoma cells, while it is rare on myeloid leukemia cells. Interferon-alpha (IFN-alpha) amplified the manifestation of MHC class I and interferon-gamma (IFN-gamma) did both class I and class II. We also showed CD80 could be induced by IFN-alpha on K562 cells, which were originally negative for CD80. Our data implies the immunotherapy via CD80 and CD86 for patients with hematological malignancies and the possibility to enhance it using interferons.","['Tsukada, N', 'Aoki, S', 'Maruyama, S', 'Kishi, K', 'Takahashi, M', 'Aizawa, Y']","['Tsukada N', 'Aoki S', 'Maruyama S', 'Kishi K', 'Takahashi M', 'Aizawa Y']","['First Dept. of Internal Medicine, Niigata University School of Medicine, Japan. tsukada@med.niigata-u.ac.jp']",['eng'],['Journal Article'],England,J Exp Clin Cancer Res,Journal of experimental & clinical cancer research : CR,8308647,"['0 (Antigens, CD)', '0 (Antineoplastic Agents)', '0 (B7-1 Antigen)', '0 (B7-2 Antigen)', '0 (CD86 protein, human)', '0 (Cell Adhesion Molecules)', '0 (Histocompatibility Antigens Class I)', '0 (Histocompatibility Antigens Class II)', '0 (Interferon Type I)', '0 (Membrane Glycoproteins)', '0 (Recombinant Proteins)', '82115-62-6 (Interferon-gamma)']",IM,"['Antigens, CD/*biosynthesis', 'Antineoplastic Agents/*pharmacology', 'B-Lymphocytes/metabolism', 'B7-1 Antigen/*biosynthesis', 'B7-2 Antigen', 'Cell Adhesion Molecules/*biosynthesis/blood', 'Histocompatibility Antigens Class I/biosynthesis', 'Histocompatibility Antigens Class II/biosynthesis', 'Humans', 'Interferon Type I/*pharmacology', 'Interferon-gamma/*pharmacology', 'Leukemia/*metabolism', 'Leukemia, B-Cell/metabolism', 'Leukemia, Myelomonocytic, Acute/metabolism', 'Leukocytes/metabolism', 'Lymphoma/*metabolism', 'Lymphoma, B-Cell/metabolism', 'Membrane Glycoproteins/*biosynthesis', 'Recombinant Proteins', 'Tumor Cells, Cultured/drug effects']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']",,ppublish,J Exp Clin Cancer Res. 1997 Jun;16(2):171-6.,,,,,,,,,,,,,,,,,,,
9261742,NLM,MEDLINE,19970922,20081121,0392-9078 (Print) 0392-9078 (Linking),16,2,1997 Jun,Responsiveness to recombinant human erythropoietin (rh-Epo) of marrow erythroid progenitors (CFU-E and BFU-E) from B-chronic lymphocytic leukemia (B-CLL).,163-70,"The responsiveness of bone marrow erythroid progenitors (CFU-E and BFU-E) to various concentrations of recombinant human erythropoietin (rh-Epo) (2,5,20,40,100,200 and 500 U/ml) was investigated in vitro in 18 patients with B-chronic lymphocytic leukemia to assess the clinical usefulness of rh-Epo in this disease. Bone marrow mononuclear cells were cultured by methylcellulose methods for CFU-E and BFU-E assays. The B-chronic lymphocytic leukemia patients were divided into two groups according to the percentage of lymphocytes in the bone marrow (under 70% and over 70%). Among the patients with few lymphocytes, more than one third demonstrated some degree of response to rh-Epo. Among the patients with a high percentage of lymphocytes in the bone marrow, some revealed no response to rh-Epo, but there were patients who showed a good response to rh-Epo. Because erythroid progenitors from B-chronic lymphocytic leukemia appeared sensitive to rh-Epo in vitro, we propose that high doses of this drug may be clinically effective in some patients with this disease, regardless of the degree of lymphocytic inflitration of the bone marrow.","['Tsatalas, C', 'Chalkia, P', 'Tsantali, C', 'Kakoulidis, I', 'Garyfallos, A', 'Klonizakis, I', 'Panayiotopoulos, S']","['Tsatalas C', 'Chalkia P', 'Tsantali C', 'Kakoulidis I', 'Garyfallos A', 'Klonizakis I', 'Panayiotopoulos S']","['Fourth Dept. of Internal Medicine, Aristotelian University of Thessaloniki, Ippokration General Hospital, Greece.']",['eng'],"['Clinical Trial', 'Journal Article']",England,J Exp Clin Cancer Res,Journal of experimental & clinical cancer research : CR,8308647,"['0 (Recombinant Proteins)', '11096-26-7 (Erythropoietin)']",IM,"['Aged', 'Bone Marrow/*drug effects', '*Bone Marrow Cells', 'Dose-Response Relationship, Drug', 'Erythroid Precursor Cells/*drug effects', 'Erythropoietin/blood/*pharmacology', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*drug therapy/*pathology', 'Male', 'Middle Aged', 'Recombinant Proteins/pharmacology']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']",,ppublish,J Exp Clin Cancer Res. 1997 Jun;16(2):163-70.,,,,,,,,,,,,,,,,,,,
9261566,NLM,MEDLINE,19970919,20131121,1001-0602 (Print) 1001-0602 (Linking),7,1,1997 Jun,The apoptosis of HEL cells induced by hydroxyurea.,91-7,"Hydroxyurea has been used to synchronize cultured cells to S-phase and used to treat patients with sickle-cell anemia. Recently, we found that hydroxyurea can induce the apoptosis of HEL (human erythroleukemia) cells. The induced HEL cells showed ultrastructurally chromatin condensation with regular crescents at the nuclear edges and apoptotic bodies. However, the cells of K562, another human erythroleukemia cell line, did not show such morphological changes. Under fluoroscope, the HEL cells after induction often displayed a clear reduction in nuclear diameter and nuclear chromatin cleavage and condensation and the presence of nuclear ring and apoptotic bodies. Analysis with flow cytometry showed that the percentage of apoptotic cells is about 30-40% after HEL cells were induced by hydroxyurea for 3 days. DNA ladder can be observed by electrophoretic analysis.","['Gui, C Y', 'Jiang, C', 'Xie, H Y', 'Qian, R L']","['Gui CY', 'Jiang C', 'Xie HY', 'Qian RL']","['Shanghai Institute of Cell Biology, Chinese Academy of Sciences.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Res,Cell research,9425763,"['0 (Chromatin)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Apoptosis/*drug effects', 'Cell Nucleus/drug effects/ultrastructure', 'Chromatin/drug effects/ultrastructure', 'Flow Cytometry', 'Humans', 'Hydroxyurea/*pharmacology', 'Leukemia, Erythroblastic, Acute/*pathology', 'Tumor Cells, Cultured']",1997/06/01 00:00,1997/06/01 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/06/01 00:01 [medline]', '1997/06/01 00:00 [entrez]']",['10.1038/cr.1997.10 [doi]'],ppublish,Cell Res. 1997 Jun;7(1):91-7. doi: 10.1038/cr.1997.10.,,,,,,,,,,,,,,,,,,,
