PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,CIN,PMC,TT,SI,EIN,OID
3476785,NLM,MEDLINE,19871013,20131121,0027-8874 (Print) 0027-8874 (Linking),79,3,1987 Sep,Spatial distribution of disease: three case studies.,417-23,"Maps transformed so as to have constant density of residential population were used to analyze the spatial distribution of disease in three specific areas. Each area had received recent attention because of suspected environmental pollution. The area adjacent to the Rocky Flats Facility (CO) was examined to identify any association between possible plutonium releases and increases in lung cancer or leukemia incidence. The industrial area of northern Contra Costa County (CA) was studied to explore a relationship between petrochemical industrial emissions and histologic-specific lung cancers. Finally, a suspected increase in the risk of congenital cardiac defects possibly related to pollution of the Santa Clara County (CA) water supply was investigated. No evidence of elevated risk of disease was found to be associated with either the Rocky Flats Facility or the polluted water of Santa Clara County. An increase in lung cancer, found by other investigators in earlier years, was shown to persist in association with industrial emissions in Contra Costa County.","['Selvin, S', 'Shaw, G', 'Schulman, J', 'Merrill, D W']","['Selvin S', 'Shaw G', 'Schulman J', 'Merrill DW']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Petroleum)', '0 (Water Pollutants, Chemical)', '53023GN24M (Plutonium)']",IM,"['Adult', 'Aged', 'California', 'Female', 'Heart Defects, Congenital/*epidemiology/etiology', 'Humans', 'Leukemia/*epidemiology/etiology', 'Lung Neoplasms/*epidemiology/etiology', 'Male', 'Middle Aged', 'Petroleum/adverse effects', 'Plutonium/adverse effects', 'Space-Time Clustering', 'Time Factors', 'Water Pollutants, Chemical/adverse effects', 'Water Supply/analysis']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1987 Sep;79(3):417-23.,,,,,,,,
3476781,NLM,MEDLINE,19871020,20191029,0021-5120 (Print) 0021-5120 (Linking),26,2,1987 May,Splenic rupture in acute megakaryoblastic leukemia.,234-6,"A 43-year-old man with pancytopenia and circulating blast cells was found to have acute megakaryoblastic leukemia. Bone marrow biopsy disclosed reticulin fibrosis with infiltration of blast cells. Cytogenic study showed 48,XY,+15,+18. The megakaryocytic origin of blast cells was confirmed by platelet peroxidase reaction at ultrastructural level. The spleen which had not been felt on admission increased in size rapidly and ruptured abruptly. This appears to be the first reported case of a splenic rupture associated with acute megakaryoblastic leukemia.","['Wong, P', 'Takabayashi, K', 'Sugiura, Y', 'Asai, T', 'Itoh, K', 'Yoshida, S', 'Horie, H']","['Wong P', 'Takabayashi K', 'Sugiura Y', 'Asai T', 'Itoh K', 'Yoshida S', 'Horie H']",,['eng'],"['Case Reports', 'Journal Article']",Japan,Jpn J Med,Japanese journal of medicine,0247713,,IM,"['Acute Disease', 'Adult', 'Blast Crisis', 'Humans', 'Leukemia, Megakaryoblastic, Acute/*complications/pathology', 'Male', 'Splenic Rupture/*etiology']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Jpn J Med. 1987 May;26(2):234-6. doi: 10.2169/internalmedicine1962.26.234.,,['10.2169/internalmedicine1962.26.234 [doi]'],,,,,,
3476778,NLM,MEDLINE,19871014,20131121,0300-9173 (Print) 0300-9173 (Linking),24,2,1987 Mar,[Influences of aging on clinical pictures of hematological diseases: hypoplastic leukemia in the aged].,128-31,,"['Ohnoshi, T', 'Takahashi, I', 'Ohmoto, E', 'Nakada, H', 'Nishimura, M', 'Nonaka, K']","['Ohnoshi T', 'Takahashi I', 'Ohmoto E', 'Nakada H', 'Nishimura M', 'Nonaka K']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Ronen Igakkai Zasshi,Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics,7507332,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '9YVR68W306 (enocitabine)']",IM,"['Aged', 'Aging/*blood', 'Antineoplastic Agents/therapeutic use', 'Cytarabine/analogs & derivatives/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*blood/drug therapy']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",ppublish,Nihon Ronen Igakkai Zasshi. 1987 Mar;24(2):128-31.,,,,,,,,
3476775,NLM,MEDLINE,19871005,20071115,0485-1439 (Print) 0485-1439 (Linking),28,5,1987 May,[A case of acute biphenotypic leukemia].,743-7,,"['Shiozaki, H', 'Maruyama, Y', 'Tanigawa, S', 'Sakamaki, H', 'Onozawa, Y', 'Takase, K', 'Okawa, H', 'Ha-Kawa, K']","['Shiozaki H', 'Maruyama Y', 'Tanigawa S', 'Sakamaki H', 'Onozawa Y', 'Takase K', 'Okawa H', 'Ha-Kawa K']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Genotype', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Male', 'Phenotype', '*Philadelphia Chromosome']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 May;28(5):743-7.,,,,,,,,
3476774,NLM,MEDLINE,19871005,20071115,0485-1439 (Print) 0485-1439 (Linking),28,5,1987 May,[Translocation (8;14)(q24;q32) in ALL(L3) with bladder invasion].,738-42,,"['Yokota, S', 'Maekawa, T', 'Nishida, K', 'Horiike, S', 'Yashige, H', 'Inazawa, J', 'Okuda, T', 'Sonoda, Y', 'Misawa, S', 'Takino, T']","['Yokota S', 'Maekawa T', 'Nishida K', 'Horiike S', 'Yashige H', 'Inazawa J', 'Okuda T', 'Sonoda Y', 'Misawa S', 'Takino T', 'et al.']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', '*Chromosomes, Human, Pair 14', '*Chromosomes, Human, Pair 8', 'Humans', 'Leukemia, Lymphoid/*genetics/pathology', 'Male', 'Neoplasm Invasiveness', '*Translocation, Genetic', 'Urinary Bladder/*pathology']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 May;28(5):738-42.,,,,,,,,
3476773,NLM,MEDLINE,19871005,20131121,0485-1439 (Print) 0485-1439 (Linking),28,5,1987 May,[Studies on the initial features and prognosis in 21 infants with acute lymphoblastic leukemia. Children's Cancer and Leukemia Study Group].,721-9,,"['Kawai, S', 'Fujimoto, T', 'Mimaya, J', 'Yatabe, M', 'Hiyoshi, Y', 'Tanaka, K', 'Koizumi, S', 'Komazawa, M', 'Yaoi, K', 'Ariyoshi, N']","['Kawai S', 'Fujimoto T', 'Mimaya J', 'Yatabe M', 'Hiyoshi Y', 'Tanaka K', 'Koizumi S', 'Komazawa M', 'Yaoi K', 'Ariyoshi N', 'et al.']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*diagnosis/drug therapy/mortality', 'Male', 'Methotrexate/administration & dosage', 'Prognosis']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 May;28(5):721-9.,,,,,,,,
3476772,NLM,MEDLINE,19871005,20061115,0485-1439 (Print) 0485-1439 (Linking),28,5,1987 May,[Ultrastructural features of a human erythroid cell line (YN-1)].,667-77,,"['Endo, K', 'Tamahashi, N']","['Endo K', 'Tamahashi N']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Blast Crisis', 'Cell Differentiation', 'Cell Line', 'Erythroblasts/*ultrastructure', 'Humans', 'Leukemia, Myeloid/pathology', 'Microscopy, Electron', 'Microscopy, Electron, Scanning']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 May;28(5):667-77.,,,,,,,,
3476771,NLM,MEDLINE,19871005,20061115,0485-1439 (Print) 0485-1439 (Linking),28,5,1987 May,[Erythroblasts of erythroleukemia].,656-66,,"['Hamanaka, S C', 'Fukuda, S']","['Hamanaka SC', 'Fukuda S']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Erythroblasts/*ultrastructure', 'Humans', 'Leukemia, Erythroblastic, Acute/*blood/pathology', 'Microscopy, Electron']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 May;28(5):656-66.,,,,,,,,
3476770,NLM,MEDLINE,19870928,20071115,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Double minute chromosomes in a patient with acute myeloblastic leukemia (M2:FAB classification)].,634-40,,"['Miura, I', 'Kimura, Y', 'Hashimoto, K', 'Nishinari, T', 'Chubachi, A', 'Sakuyama, M', 'Miura, A B']","['Miura I', 'Kimura Y', 'Hashimoto K', 'Nishinari T', 'Chubachi A', 'Sakuyama M', 'Miura AB']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow/ultrastructure', '*Chromosome Aberrations', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/drug therapy/*genetics']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):634-40.,,,,,,,,
3476769,NLM,MEDLINE,19870928,20071115,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Pleural and pericardial effusion in a case of acute lymphoblastic leukemia].,629-33,,"['Miyawaki, S', 'Nemoto, K', 'Wakamatsu, R', 'Takase, S', 'Baba, N', 'Uchida, S', 'Yashiro, K', 'Okubo, Y', 'Nagumo, T', 'Sawamura, M']","['Miyawaki S', 'Nemoto K', 'Wakamatsu R', 'Takase S', 'Baba N', 'Uchida S', 'Yashiro K', 'Okubo Y', 'Nagumo T', 'Sawamura M', 'et al.']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Humans', 'Leukemia, Lymphoid/complications/*diagnosis', 'Male', 'Pericardial Effusion/*etiology', 'Pleural Effusion/*etiology']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):629-33.,,,,,,,,
3476768,NLM,MEDLINE,19870928,20151119,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Cerebellar infarction following remission induction therapy in acute lymphoblastic leukemia].,624-8,,"['Aoki, Y', 'Shibuya, A', 'Ninomiya, H', 'Nakazawa, M', 'Nakamura, H', 'Kageoka, T', 'Nagasawa, T', 'Yoda, Y', 'Abe, T']","['Aoki Y', 'Shibuya A', 'Ninomiya H', 'Nakazawa M', 'Nakamura H', 'Kageoka T', 'Nagasawa T', 'Yoda Y', 'Abe T']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Naphthacenes)', '5J49Q6B70F (Vincristine)', '74KXF8I502 (Aclarubicin)', '9PHQ9Y1OLM (Prednisolone)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Aclarubicin', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage', 'Cerebellum/*blood supply', 'Cerebral Infarction/*etiology', 'Female', 'Humans', 'Leukemia, Lymphoid/complications/*drug therapy', 'Middle Aged', 'Naphthacenes/administration & dosage', 'Prednisolone/administration & dosage', 'Remission Induction', 'Vincristine/administration & dosage']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):624-8.,,,,,,,,
3476767,NLM,MEDLINE,19870928,20071115,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Coexistence of acute leukemia and gastric cancer in advanced ages].,608-15,,"['Kato, Y', 'Okazaki, T', 'Mochizuki, T', 'Tashima, M', 'Sawada, H', 'Uchino, H', 'Obayashi, T']","['Kato Y', 'Okazaki T', 'Mochizuki T', 'Tashima M', 'Sawada H', 'Uchino H', 'Obayashi T']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Acute Disease', 'Aged', 'Aged, 80 and over', 'Humans', 'Leukemia/*pathology', 'Leukemia, Myeloid, Acute/pathology', 'Male', 'Middle Aged', '*Neoplasms, Multiple Primary', 'Stomach Neoplasms/*pathology']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):608-15.,,,,,,,,
3476766,NLM,MEDLINE,19870928,20131121,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Successful treatment with low-dose Ara-C in a case of chronic myelomonocytic leukemia].,583-8,,"['Gotoh, T', 'Takeda, N', 'Itoh, K', 'Fujita, N', 'Shimazaki, C', 'Nakanishi, S', 'Nakagawa, M', 'Ijichi, H', 'Nishio, A', 'Haruyama, H']","['Gotoh T', 'Takeda N', 'Itoh K', 'Fujita N', 'Shimazaki C', 'Nakanishi S', 'Nakagawa M', 'Ijichi H', 'Nishio A', 'Haruyama H']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['04079A1RDZ (Cytarabine)'],IM,"['Cytarabine/*administration & dosage', 'Humans', 'Leukemia, Myeloid/*drug therapy/pathology', 'Male', 'Middle Aged']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):583-8.,,,,,,,,
3476765,NLM,MEDLINE,19870928,20131121,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,"[Tumor lysis syndrome, DIC and interstitial pneumonia after treatment with prednisolone and melphalan in a patient with acute monocytic leukemia with tumor formation].",553-8,,"['Fukuda, M', 'Inaba, R']","['Fukuda M', 'Inaba R']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['268B43MJ25 (Uric Acid)', '27YLU75U4W (Phosphorus)', '9PHQ9Y1OLM (Prednisolone)', 'Q41OR9510P (Melphalan)']",IM,"['Blood Urea Nitrogen', 'Disseminated Intravascular Coagulation/*etiology', 'Humans', 'Hyperkalemia/*chemically induced', 'Leukemia, Monocytic, Acute/blood/*complications', 'Male', 'Melphalan/*adverse effects', 'Middle Aged', 'Phosphorus/*blood', 'Prednisolone/*adverse effects', 'Pulmonary Fibrosis/*etiology', 'Syndrome', 'Uric Acid/blood']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):553-8.,,,,,,,,
3476764,NLM,MEDLINE,19870928,20131121,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Treatment of hypoplastic leukemia--clinical effects of low-dose 4N-behenoyl-beta-D-arabinofuranosylcytosine (BH-AC) therapy].,534-40,,"['Nakada, H', 'Takahashi, I', 'Yorimitu, S', 'Hara, M', 'Ohmoto, E', 'Inagaki, T', 'Aoyama, S', 'Nishimura, M', 'Hayashi, N', 'Sekito, N']","['Nakada H', 'Takahashi I', 'Yorimitu S', 'Hara M', 'Ohmoto E', 'Inagaki T', 'Aoyama S', 'Nishimura M', 'Hayashi N', 'Sekito N', 'et al.']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '9YVR68W306 (enocitabine)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*administration & dosage', 'Cytarabine/administration & dosage/*analogs & derivatives', 'Drug Administration Schedule', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Remission Induction']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):534-40.,,,,,,,,
3476763,NLM,MEDLINE,19870928,20131121,0485-1439 (Print) 0485-1439 (Linking),28,4,1987 Apr,[Effect of cefmetazole on infections accompanying granulocytopenia in hematological disorders: a cooperative study].,524-8,,"['Urabe, A', 'Takaku, F', 'Maekawa, T', 'Iwata, N', 'Miyawaki, S', 'Miura, Y', 'Sasaki, R', 'Kitagawa, S', 'Mizoguchi, H', 'Hoshino, S']","['Urabe A', 'Takaku F', 'Maekawa T', 'Iwata N', 'Miyawaki S', 'Miura Y', 'Sasaki R', 'Kitagawa S', 'Mizoguchi H', 'Hoshino S', 'et al.']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Cephamycins)', '3J962UJT8H (Cefmetazole)']",IM,"['Agranulocytosis/*complications', 'Bacterial Infections/*drug therapy/etiology', 'Cefmetazole', 'Cephamycins/*therapeutic use', 'Female', 'Humans', 'Leukemia/*complications', 'Lymphoma/*complications', 'Male']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Apr;28(4):524-8.,,,,,,,,
3476754,NLM,MEDLINE,19871009,20190709,0022-2623 (Print) 0022-2623 (Linking),30,9,1987 Sep,Synthesis and biological properties of actinomycin D chromophoric analogues substituted at the 7-carbon with aziridine and aminopropoxy functions.,1626-31,"The growing importance of functionalized aziridines in numerous organic biomolecules led us to develop syntheses of novel actinomycin D (AMD) analogues substituted with an aziridine. Reaction of 7-hydroxyactinomycin D with 2-(iodomethyl)aziridine produced the desired 7-(2-aziridinylmethoxy)actinomycin analogue. In an attempt to develop an alternate route to this analogue, 7-(2-azido-3-iodopropoxy)actinomycin was subjected to reduction with dimethylamine-borane complex; the reaction did not produce the three-membered aziridine; instead the reaction product was found to be linear 7-(2-aminopropoxy)actinomycin D. Calf-thymus-DNA binding of these analogues was comparable to that of AMD as examined by UV-visible difference spectral measurements, thermal denaturation of DNA, and CD techniques. The analogues were found to be about 1/4 to 1/30 as cytotoxic to human lymphoblastic CCRF-CEM leukemia and B16 melanoma cells in vitro as AMD.","['Sehgal, R K', 'Almassian, B', 'Rosenbaum, D P', 'Zadrozny, R', 'Sengupta, S K']","['Sehgal RK', 'Almassian B', 'Rosenbaum DP', 'Zadrozny R', 'Sengupta SK']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['1CC1JFE158 (Dactinomycin)', '9007-49-2 (DNA)']",IM,"['Cell Line', 'Circular Dichroism', 'DNA/metabolism', 'Dactinomycin/*analogs & derivatives/*chemical synthesis/pharmacology', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Melanoma/drug therapy', 'Structure-Activity Relationship']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,J Med Chem. 1987 Sep;30(9):1626-31. doi: 10.1021/jm00392a018.,['CA 26281-05/CA/NCI NIH HHS/United States'],['10.1021/jm00392a018 [doi]'],,,,,,
3476689,NLM,MEDLINE,19871021,20170210,0732-183X (Print) 0732-183X (Linking),5,9,1987 Sep,Treatment of acute myelogenous leukemia in children: results of the Italian Cooperative Study AIEOP/LAM 8204.,1356-63,"One hundred thirty-three children with acute myelogenous leukemia (AML) entered the multicenter Pediatric Branch of the Italian Association Against Leukemia trial AIEOP/LAM 8204 between July 1982 and May 1986. Induction therapy consisted of two courses of daunomycin (DNM) plus cytosine arabinoside (Ara-C). Those patients who achieved remission were given four courses of consolidation with DNM, 6-thioguanine (6-TG) and escalated doses of Ara-C followed by six courses of sequential continuation therapy using monthly pairs: etoposide (VP-16)/Ara-C, Ara-C/6-TG, and DNM/Ara-C. Periodic intrathecal Ara-C was used for CNS prophylaxis. One hundred seven (80%) children achieved complete remission (CR). Kaplan-Meier estimates of 3-year disease-free survival (DFS) and event-free survival (EFS) are 41% and 33%, respectively. Relapses occurred in 34 patients after 5 to 97 weeks (32 marrow; 2 marrow plus CNS). Overall, 14 patients died of complications during treatment (nine during induction; five during the postremission phase), mostly from infection. Risk factor analysis showed that induction failures occurred predominantly in children with French-American-British (FAB) M5 and in those with elevated leukocyte counts; by step-up Cox analysis, only FAB subtype was predictive of remission success. None of the variables examined was significant for predicting the duration of remission. Hyperleukocytosis was predictive of a significantly worse EFS rate. These results are encouraging and further support the use of intensive chemotherapy programs for childhood AML.","['Amadori, S', 'Ceci, A', 'Comelli, A', 'Madon, E', 'Masera, G', 'Nespoli, L', 'Paolucci, G', 'Zanesco, L', 'Covelli, A', 'Mandelli, F']","['Amadori S', 'Ceci A', 'Comelli A', 'Madon E', 'Masera G', 'Nespoli L', 'Paolucci G', 'Zanesco L', 'Covelli A', 'Mandelli F']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', 'FTK8U1GZNX (Thioguanine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Etoposide/administration & dosage', 'Female', 'Humans', 'Infant', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Remission Induction', 'Thioguanine/administration & dosage']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,J Clin Oncol. 1987 Sep;5(9):1356-63. doi: 10.1200/JCO.1987.5.9.1356.,,['10.1200/JCO.1987.5.9.1356 [doi]'],,,,,,
3476685,NLM,MEDLINE,19871008,20150901,0371-7682 (Print) 0371-7682 (Linking),86,5,1987 May,Inversion of chromosome 16 in acute myelomonocytic leukemia with abnormal eosinophils.,484-9,,"['Tien, H F', 'Ho, S Y', 'Wang, C H', 'Lee, F Y', 'Chuang, S M', 'Shen, M C']","['Tien HF', 'Ho SY', 'Wang CH', 'Lee FY', 'Chuang SM', 'Shen MC']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China (Republic : 1949- ),Taiwan Yi Xue Hui Za Zhi,Taiwan yi xue hui za zhi. Journal of the Formosan Medical Association,0413761,,IM,"['*Chromosome Inversion', '*Chromosomes, Human, Pair 16', 'Cytoplasmic Granules/analysis', 'Eosinophils/analysis/*ultrastructure', 'Humans', 'Leukemia, Myeloid, Acute/blood/*genetics']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Taiwan Yi Xue Hui Za Zhi. 1987 May;86(5):484-9.,,,,,,,,
3476677,NLM,MEDLINE,19871016,20191111,0740-7769 (Print) 0740-7769 (Linking),4,4,1987 Aug,Cancer and in vitro fertilization.,241-2,,"['Fernandez, H', 'Frydman, R']","['Fernandez H', 'Frydman R']",,['eng'],['Journal Article'],United States,J In Vitro Fert Embryo Transf,Journal of in vitro fertilization and embryo transfer : IVF,8412594,,IM,"['Cystadenocarcinoma/surgery', 'Female', '*Fertilization in Vitro', 'Humans', 'Leukemia, Myeloid/drug therapy/radiotherapy', 'Neoplasms/*therapy', 'Ovarian Follicle/physiology', 'Ovarian Neoplasms/surgery', 'Time Factors']",1987/08/01 00:00,1987/08/01 00:01,['1987/08/01 00:00'],"['1987/08/01 00:00 [pubmed]', '1987/08/01 00:01 [medline]', '1987/08/01 00:00 [entrez]']",ppublish,J In Vitro Fert Embryo Transf. 1987 Aug;4(4):241-2. doi: 10.1007/BF01533764.,,['10.1007/BF01533764 [doi]'],,,,,,
