PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN,EIN,SI,RF,CIN,CN
3149215,NLM,MEDLINE,19890518,20190705,0009-2363 (Print) 0009-2363 (Linking),36,9,1988 Sep,Liposomal sustained-release delivery systems for intravenous injection. III. Antitumor activity of lipophilic mitomycin C prodrug-bearing liposomes.,3565-73,,"['Tokunaga, Y', 'Iwasa, T', 'Fujisaki, J', 'Sawai, S', 'Kagayama, A']","['Tokunaga Y', 'Iwasa T', 'Fujisaki J', 'Sawai S', 'Kagayama A']",,['eng'],['Journal Article'],Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,"['0 (Delayed-Action Preparations)', '0 (Liposomes)', '0 (Mitomycins)', '0 (Prodrugs)', '50SG953SK6 (Mitomycin)']",IM,"['Animals', 'Delayed-Action Preparations', 'Female', 'Injections, Intravenous', 'Leukemia P388/drug therapy', 'Liposomes', 'Mice', 'Mice, Inbred ICR', 'Mitomycin', 'Mitomycins/administration & dosage/*pharmacology', '*Prodrugs']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",['10.1248/cpb.36.3565 [doi]'],ppublish,Chem Pharm Bull (Tokyo). 1988 Sep;36(9):3565-73. doi: 10.1248/cpb.36.3565.,,,,,,,,,,,,
3148874,NLM,MEDLINE,19890503,20071115,0028-7628 (Print) 0028-7628 (Linking),88,11,1988 Nov,Immunoglobulin therapy in a patient with chronic lymphocytic leukemia and recurrent infections.,597-9,,"['Bottino, G G', 'Bottino, J C', 'Greene, R', 'Ballard, H S']","['Bottino GG', 'Bottino JC', 'Greene R', 'Ballard HS']",,['eng'],"['Case Reports', 'Journal Article']",United States,N Y State J Med,New York state journal of medicine,0401064,"['0 (Immunoglobulin G)', '0 (Immunoglobulins, Intravenous)']",IM,"['Agammaglobulinemia/*therapy', 'Aged', 'Humans', 'Immunoglobulin G/*therapeutic use', 'Immunoglobulins, Intravenous', 'Leukemia, Lymphocytic, Chronic, B-Cell/*therapy', 'Male', 'Opportunistic Infections/*therapy', 'Recurrence']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,N Y State J Med. 1988 Nov;88(11):597-9.,,,,,,,,,,,,
3148774,NLM,MEDLINE,19890508,20131121,0047-1860 (Print) 0047-1860 (Linking),36,7,1988 Jul,[Determination of anti-ATLA antibody in plasma].,851-4,,"['Yuasa, S', 'Saitoh, J', 'Nakanishi, S', 'Shimada, N']","['Yuasa S', 'Saitoh J', 'Nakanishi S', 'Shimada N']",,['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,"['0 (HTLV-I Antibodies)', '9G34HU7RV0 (Edetic Acid)']",IM,"['Adult', 'Agglutination Tests', 'Blood Transfusion', '*Edetic Acid', 'Female', 'HTLV-I Antibodies/*analysis', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, T-Cell/diagnosis/transmission', 'Male']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",,ppublish,Rinsho Byori. 1988 Jul;36(7):851-4.,,,,,,,,,,,,
3148602,NLM,MEDLINE,19890426,20190510,0910-5050 (Print) 0910-5050 (Linking),79,12,1988 Dec,Induction of differentiation of mouse myeloid leukemia M1 cells by serum of patients with chronic myeloid leukemia.,1318-26,"We examined the capacities of sera from patients with myeloid leukemia to induce differentiation in mouse myeloid leukemic M1 cells. Higher differentiation-inducing activity (D-activity) was detected in sera of patients with chronic myelomonocytic leukemia or chronic myeloid leukemia (CML) than in sera of patients with acute myeloid leukemia and normal volunteers. The D-activity in the sera was lost on heating the sera at 56 degrees for 30 min. The major peak of D-activity on Sephadex G-200 gel filtration had an apparent molecular weight of 160,000. The origin of the D-activity in sera of patients with CML was studied by culturing fractions of peripheral blood cells of patients with D-activity for 3 days and then measuring the ability of the conditioned medium (CM) to induce differentiation of M1 cells. The cells in the myeloblast and promyelocyte fraction differentiated spontaneously into macrophage-like cells during culture for 3 days and the cells in the late granulopoietic cell fraction differentiated into neutrophil-like cells. Higher D-activity was present in CM of cells in the myeloblast and promyelocyte fraction than in CMs of late granulopoietic cell fractions. These results suggest that human leukemic cells produce D-activity for M1 cells during their differentiation into macrophage-like cells.","['Okabe-Kado, J', 'Honma, Y', 'Hayashi, M', 'Hozumi, M', 'Sampi, K', 'Sakurai, M', 'Hino, K', 'Tsuruoka, N']","['Okabe-Kado J', 'Honma Y', 'Hayashi M', 'Hozumi M', 'Sampi K', 'Sakurai M', 'Hino K', 'Tsuruoka N']","['Saitama Cancer Center, Ina.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Culture Media)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (Phytohemagglutinins)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Animals', 'Cell Differentiation/*drug effects', 'Culture Media', 'Growth Inhibitors/pharmacology', 'Humans', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood', 'Leukemia, Myeloid/*pathology', 'Leukemia, Myelomonocytic, Chronic/blood', '*Lymphokines', 'Macrophages/pathology', 'Mice', 'Phytohemagglutinins/pharmacology', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",['10.1111/j.1349-7006.1988.tb01562.x [doi]'],ppublish,Jpn J Cancer Res. 1988 Dec;79(12):1318-26. doi: 10.1111/j.1349-7006.1988.tb01562.x.,,PMC5917658,,,,,,,,,,
3148595,NLM,MEDLINE,19890426,20190510,0910-5050 (Print) 0910-5050 (Linking),79,12,1988 Dec,Production of parathyroid hormone-related protein in adult T-cell leukemia cells.,1264-8,"Human parathyroid hormone-related protein (PTHrP) mRNA was detected in peripheral leukemic cells obtained from adult T-cell leukemia (ATL) patients as well as in cultured human T-cell leukemia virus type I (HTLV-I)-infected T-cell lines. In contrast, PTHrP mRNA was not detected in other types of leukemic cells. Using radioimmunoassay, immunoreactive PTHrP was also detected in the spent media of HTLV-I-infected T-cell lines. These results suggest that PTHrP plays an important role in developing the hypercalcemia frequently observed in ATL patients.","['Honda, S', 'Yamaguchi, K', 'Miyake, Y', 'Hayashi, N', 'Adachi, N', 'Kinoshita, K', 'Ikehara, O', 'Kimura, S', 'Kinoshita, T', 'Shimotohno, K']","['Honda S', 'Yamaguchi K', 'Miyake Y', 'Hayashi N', 'Adachi N', 'Kinoshita K', 'Ikehara O', 'Kimura S', 'Kinoshita T', 'Shimotohno K', 'et al.']","['Growth Factor Division, National Cancer Center Research Institute, Tokyo.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Neoplasm Proteins)', '0 (PTHLH protein, human)', '0 (Parathyroid Hormone-Related Protein)', '0 (RNA, Messenger)']",IM,"['HTLV-I Infections/metabolism', 'Humans', 'Hypercalcemia/etiology', 'Leukemia, T-Cell/complications/*metabolism', 'Neoplasm Proteins/*biosynthesis/genetics/immunology', 'Parathyroid Hormone-Related Protein', 'RNA, Messenger/analysis', 'Tumor Cells, Cultured']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",['10.1111/j.1349-7006.1988.tb01554.x [doi]'],ppublish,Jpn J Cancer Res. 1988 Dec;79(12):1264-8. doi: 10.1111/j.1349-7006.1988.tb01554.x.,,PMC5917667,,,,,,,,,,
3148594,NLM,MEDLINE,19890426,20190510,0910-5050 (Print) 0910-5050 (Linking),79,12,1988 Dec,Xenogenization of tumor cells by transfection with plasmid containing env gene of Friend leukemia virus.,1259-63,"A rat hepatocellular carcinoma cell line (cKDH-8 cl-11) showed decreased tumorigenicity after transfection with an envelope gene derived from a Friend leukemia virus (FV-env gene). FV-env gene product was found by indirect immunofluorescence staining to be expressed on the cell surface of the FV-env gene-transfected cells. The FV-env-transfected cells (FV-env cKDH-8), however, grew well in X-irradiated immunosuppressed rats, indicating that the reduction in tumorigenicity of the transfected cells is based on immunological reaction in the host. The rats which rejected FV-env cKDH-8 cells showed resistance to rechallenge with the parent cKDH-8 cl-11 tumor cells. These results suggest that the FV-env gene product may elicit antitumor immunity against FV-env cKDH-8 cells in a host with a resultant reduction in the tumorigenicity of these cells.","['Sugiura, C', 'Itaya, T', 'Kondoh, N', 'Oikawa, T', 'Kuzumaki, N', 'Takeichi, N', 'Hosokawa, M', 'Kobayashi, H']","['Sugiura C', 'Itaya T', 'Kondoh N', 'Oikawa T', 'Kuzumaki N', 'Takeichi N', 'Hosokawa M', 'Kobayashi H']","['Laboratory of Pathology, Hokkaido University School of Medicine, Sapporo.']",['eng'],['Journal Article'],Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,['0 (Viral Envelope Proteins)'],IM,"['Animals', 'Friend murine leukemia virus/*genetics', '*Genes, Viral', 'Liver Neoplasms, Experimental/*immunology', 'Neoplasm Transplantation', 'Plasmids', 'Rats', 'Rats, Inbred Strains', '*Transfection', 'Tumor Cells, Cultured', 'Viral Envelope Proteins/*genetics']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",['10.1111/j.1349-7006.1988.tb01553.x [doi]'],ppublish,Jpn J Cancer Res. 1988 Dec;79(12):1259-63. doi: 10.1111/j.1349-7006.1988.tb01553.x.,,PMC5917664,,,,,,,,,,
3148519,NLM,MEDLINE,19890503,20151119,0390-6078 (Print) 0390-6078 (Linking),73,6,1988 Nov-Dec,"Thymidine kinase in neoplastic haematological diseases: confirmations, doubts and new findings.",545-6,,"['Musto, P', 'Longo, S', 'Morelli, A', 'Ficola, U', 'Falcone, A', 'Carotenuto, M']","['Musto P', 'Longo S', 'Morelli A', 'Ficola U', 'Falcone A', 'Carotenuto M']",,['eng'],['Letter'],Italy,Haematologica,Haematologica,0417435,"['0 (Biomarkers, Tumor)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Biomarkers, Tumor/*blood', 'Humans', 'Leukemia/*blood', 'Lymphoma/*blood', 'Thymidine Kinase/*blood']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Haematologica. 1988 Nov-Dec;73(6):545-6.,,,,,,,,,,,,
3148515,NLM,MEDLINE,19890503,20071115,0390-6078 (Print) 0390-6078 (Linking),73,6,1988 Nov-Dec,Recurrent bone marrow necrosis and extramedullary myeloid deposits in Philadelphia negative chronic myeloid leukaemia.,513-5,,"['Dokal, I S', 'Amos, A', 'Bashey, A', 'Goldman, J M']","['Dokal IS', 'Amos A', 'Bashey A', 'Goldman JM']",,['eng'],"['Case Reports', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,,IM,"['Adult', 'Bone Marrow/*pathology', 'Female', 'Humans', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/*pathology', 'Necrosis']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Haematologica. 1988 Nov-Dec;73(6):513-5.,,,,,,,,,,,,
3148512,NLM,MEDLINE,19890503,20071115,0390-6078 (Print) 0390-6078 (Linking),73,6,1988 Nov-Dec,Low-dose interferon-alpha in Ph+ chronic myeloid leukemia: clinical cytogenetic and cell culture study.,499-502,,"['Russo, D', 'Zuffa, E', 'Motta, M R', 'Santucci, M A', 'Fanin, R', 'Testoni, N', 'Celso, B', 'Visani, G', 'Baccarani, M', 'Tura, S']","['Russo D', 'Zuffa E', 'Motta MR', 'Santucci MA', 'Fanin R', 'Testoni N', 'Celso B', 'Visani G', 'Baccarani M', 'Tura S']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,['0 (Interferon Type I)'],IM,"['Adult', 'Aged', 'Female', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Male', 'Middle Aged', 'Tumor Cells, Cultured/drug effects']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Haematologica. 1988 Nov-Dec;73(6):499-502.,,,,,,,,,,,,
3148510,NLM,MEDLINE,19890503,20041117,0390-6078 (Print) 0390-6078 (Linking),73,6,1988 Nov-Dec,Unusual immunological phenotypes among 104 acute leukemias classified according to the FAB criteria.,477-83,,"['Ferremi, P', 'Franceschini, F', 'Airo, P', 'Rossi, G', 'Marinone, G', 'Cattaneo, R']","['Ferremi P', 'Franceschini F', 'Airo P', 'Rossi G', 'Marinone G', 'Cattaneo R']",,['eng'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,,IM,"['Acute Disease', 'Humans', 'Leukemia/classification/*genetics/immunology', 'Phenotype']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Haematologica. 1988 Nov-Dec;73(6):477-83.,,,,,,,,,,,,
3148508,NLM,MEDLINE,19890503,20131121,0390-6078 (Print) 0390-6078 (Linking),73,6,1988 Nov-Dec,Scheduling-dependent interaction for the combination of cytosine arabinoside and daunorubicin on HL-60 cells.,466-70,,"['Bernabei, P A', 'Rombola, G', 'Saccardi, R', 'Bezzini, R', 'Santini, V', 'Pifferi, C', 'Gattei, V', 'Ferrini, P R']","['Bernabei PA', 'Rombola G', 'Saccardi R', 'Bezzini R', 'Santini V', 'Pifferi C', 'Gattei V', 'Ferrini PR']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Drug Interactions', 'Humans', 'Leukemia/*drug therapy', 'Tumor Cells, Cultured/drug effects']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Haematologica. 1988 Nov-Dec;73(6):466-70.,,,,,,,,,,,,
3148505,NLM,MEDLINE,19890503,20071115,0390-6078 (Print) 0390-6078 (Linking),73,6,1988 Nov-Dec,Analysis of gamma globin chain composition in childhood acute lymphocytic leukemia (ALL).,445-8,,"['Iolascon, A', 'Pinto, L', 'Di Tullio, M T', 'Cutillo, S']","['Iolascon A', 'Pinto L', 'Di Tullio MT', 'Cutillo S']",,['eng'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,['9004-22-2 (Globins)'],IM,"['Child', 'Child, Preschool', 'Female', 'Globins/*analysis', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Haematologica. 1988 Nov-Dec;73(6):445-8.,,,,,,,,,,,,
3148327,NLM,MEDLINE,19890427,20190820,0300-9084 (Print) 0300-9084 (Linking),70,10,1988 Oct,"The 24,000 Da subunit is not required for the RNA synthesis activity of chicken leukemia RNA polymerase II.",1397-400,"The partially purified RNA polymerase II from chicken leukemia cells (Chuang R. Y., Chuang L. F. & Israel M. (1986) Biochem. Pharmacol. 35, 1293-1297) contained multiple subunits with molecular masses (in Da) ranging from 220,000 to 24,000, as shown by SDS-polyacrylamide gel electrophoresis. The enzyme was further purified through phosphocellulose column and fractions containing the enzyme activity were collected and concentrated 400-fold through a microconcentrator. The microconcentrator contained a membrane with a molecular weight cutoff around 30,000 and, hence, removed the 24,000 Da polypeptide from the enzyme. It was found that the resulting enzyme retained all the catalytic activity as compared to the enzyme preparation before the concentration step, suggesting that the stoichiometric amount of the 24,000 Da polypeptide is not required for RNA synthesis activity with a denatured DNA template.","['Chuang, L F', 'Chuang, R Y']","['Chuang LF', 'Chuang RY']","['Department of Pharmacology, School of Medicine, University of California, Davis 95616.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",France,Biochimie,Biochimie,1264604,['EC 2.7.7.- (RNA Polymerase II)'],IM,"['Animals', 'Avian Leukosis/enzymology', 'Chickens', 'Electrophoresis, Polyacrylamide Gel/methods', 'Enzyme Stability', 'RNA Polymerase II/*metabolism', 'Ultrafiltration']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']","['0300-9084(88)90011-9 [pii]', '10.1016/0300-9084(88)90011-9 [doi]']",ppublish,Biochimie. 1988 Oct;70(10):1397-400. doi: 10.1016/0300-9084(88)90011-9.,['CA 33022/CA/NCI NIH HHS/United States'],,,,,,,,,,,
3148160,NLM,MEDLINE,19890420,20071115,0288-2043 (Print) 0288-2043 (Linking),6,5,1988 Sep-Oct,A case of aleukemic monocytic leukemia cutis treated with total body electron therapy.,229-31,"A 39-year-old man with aleukemic monocytic leukemia cutis was treated with total skin electron therapy. The patient was irradiated twice a week for five weeks using three overlapping beams (SSD 145 cm) in a four-field technique with 4 MeV electrons. After delivery of 20 Gy, the nodular lesions disappeared. The patient tolerated the treatment well and showed no serious side effects.","['Imanaka, K', 'Fujiwara, K', 'Satoh, K', 'Kuroda, Y', 'Takahashi, M', 'Sadatoh, N', 'Tamaki, T', 'Suzuki, Y', 'Miki, Y', 'Kawakami, K']","['Imanaka K', 'Fujiwara K', 'Satoh K', 'Kuroda Y', 'Takahashi M', 'Sadatoh N', 'Tamaki T', 'Suzuki Y', 'Miki Y', 'Kawakami K', 'et al.']","['Department of Radiology, Tenri Hospital, Nara, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Japan,Radiat Med,Radiation medicine,8412264,,IM,"['Adult', 'Electrons', 'Humans', 'Leukemia/*radiotherapy', 'Leukemia, Myeloid/*radiotherapy', 'Male', '*Radiotherapy, High-Energy', 'Skin Neoplasms/*radiotherapy', '*Whole-Body Irradiation']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",,ppublish,Radiat Med. 1988 Sep-Oct;6(5):229-31.,,,,,,,,,,,,
3148018,NLM,MEDLINE,19890419,20190820,0387-5911 (Print) 0387-5911 (Linking),62,12,1988 Dec,[A case report of chronic lymphocytic leukemia complicated by Pneumocystis carinii pneumonia].,1202-6,,"['Yamaguchi, M', 'Takeuchi, T', 'Hosono, O', 'Takano, M', 'Itoyama, S', 'Suzuki, Y', 'Abe, T']","['Yamaguchi M', 'Takeuchi T', 'Hosono O', 'Takano M', 'Itoyama S', 'Suzuki Y', 'Abe T']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Kansenshogaku Zasshi,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,0236671,,IM,"['Adult', 'Humans', 'Immune Tolerance', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/immunology', 'Male', 'Pneumonia, Pneumocystis/*etiology']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",['10.11150/kansenshogakuzasshi1970.62.1202 [doi]'],ppublish,Kansenshogaku Zasshi. 1988 Dec;62(12):1202-6. doi: 10.11150/kansenshogakuzasshi1970.62.1202.,,,,,,,,,,,,
3147916,NLM,MEDLINE,19890413,20191029,0304-3568 (Print) 0304-3568 (Linking),56,3,1988,Changes in the polyamine and nucleotide metabolism of P388 leukemia cells treated with DL-alpha-difluoromethylornithine in culture.,131-7,"Influence of DL-alpha-difluoromethylornithine (DFMO) treatment on the growth kinetics, labelling index, extra- and intracellular polyamine and nucleotide concentrations was monitored in cultured P388 leukemia cells. A substantial decrease of cell proliferation was observed when the cells were continuously treated with 1-5 mM DFMO. Depletion of cellular polyamines, mostly of putrescine and spermidine, was seen with a concomitant but delayed increase of spermidine and spermine levels in the culture medium. Changes of DNA content and of labelling index of untreated and treated cells seem to indicate that DFMO arrested cells in G1/S transition. The results presented here provide additional in vitro evidence on the characteristic changes in the metabolic imbalance of ornithine in tumor cells induced by DFMO via inhibition of ornithine decarboxylase and ornithine carbamoyl transferase activities.","['Kremmer, T', 'Palyi, I', 'Holczinger, L', 'Lorincz, I', 'Boldizsar, M', 'Paulik, E', 'Pokorny, E']","['Kremmer T', 'Palyi I', 'Holczinger L', 'Lorincz I', 'Boldizsar M', 'Paulik E', 'Pokorny E']","['Department of Biochemistry, National Oncological Institute, Budapest, Hungary.']",['eng'],['Journal Article'],Switzerland,Exp Cell Biol,Experimental cell biology,7701827,"['0 (Nucleotides)', '0 (Polyamines)', 'ZQN1G5V6SR (Eflornithine)']",IM,"['Animals', 'Dose-Response Relationship, Drug', 'Eflornithine/*pharmacology', 'Leukemia P388/*metabolism', 'Leukemia, Experimental/*metabolism', 'Mice', 'Nucleotides/*metabolism', 'Polyamines/*metabolism', 'Tumor Cells, Cultured/metabolism']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1159/000163470 [doi]'],ppublish,Exp Cell Biol. 1988;56(3):131-7. doi: 10.1159/000163470.,,,,,,,,,,,,
3147904,NLM,MEDLINE,19890418,20190824,0014-2972 (Print) 0014-2972 (Linking),18,5,1988 Oct,Asparaginase-induced derangements of glutamine metabolism: the pathogenetic basis for some drug-related side-effects.,512-6,"Several side-effects of asparaginase therapy have been said to be a consequence of the glutaminase activity of Escherichia coli asparaginase, especially the deleterious influence on the liver function. We report here the drug-induced impairments of asparagine and glutamine metabolism in correlation to concentrations changes of plasma proteins, synthesized in the liver, in patients with acute lymphatic leukaemia. One hour after asparaginase application, plasma glutamine decreased to 5% (0-39%: median, range) of the initial values, with a subsequent rise to concentrations slightly lower than those prior to therapy. During the 14 days of drug application the fasting plasma concentrations of glutamine fell to a median of 63% of the pre-therapeutic levels, indicating a depletion of the glutamine pools. Two days after the end of asparaginase application, in one patient the glutamine concentrations increased to the pre-therapeutic range. Plasma concentrations of fibrinogen and antithrombin III decreased to 46% and 56%, respectively, of the initial values, with a slight increase 2 days after the end of therapy. The changes of plasma protein concentrations followed the course of plasma glutamine and asparagine. From that we deduce that the hepatic synthesis of the plasma proteins might be influenced by asparagine and glutamine depletion as a consequence of the therapy with E. coli asparaginase.","['Ollenschlager, G', 'Roth, E', 'Linkesch, W', 'Jansen, S', 'Simmel, A', 'Modder, B']","['Ollenschlager G', 'Roth E', 'Linkesch W', 'Jansen S', 'Simmel A', 'Modder B']","['Department of Internal Medicine II, University of Cologne, FRG.']",['eng'],['Journal Article'],England,Eur J Clin Invest,European journal of clinical investigation,0245331,"['0 (Amino Acids)', '0RH81L854J (Glutamine)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Amino Acids/blood', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Asparaginase/adverse effects/*therapeutic use', 'Blood Cell Count', 'Blood Chemical Analysis', 'Female', 'Glutamine/*metabolism', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",['10.1111/j.1365-2362.1988.tb01049.x [doi]'],ppublish,Eur J Clin Invest. 1988 Oct;18(5):512-6. doi: 10.1111/j.1365-2362.1988.tb01049.x.,,,,,,,,,,,,
3147875,NLM,MEDLINE,19890413,20071115,0412-4081 (Print) 0412-4081 (Linking),24,4,1988 Jul,[Ocular manifestations in acute leukemia].,206-8,,"['Kong, L X']",['Kong LX'],,['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Yan Ke Za Zhi,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,16210540R,,IM,"['Adolescent', 'Adult', 'Blepharoptosis/etiology', 'Child', 'Child, Preschool', 'Exophthalmos/*etiology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",,ppublish,Zhonghua Yan Ke Za Zhi. 1988 Jul;24(4):206-8.,,,,,,,,,,,,
