PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,FAU,AU,RN,AB,GR,PMC,TT,RF,SI,OID,PS,FPS,CN
6329988,NLM,MEDLINE,19840821,20071114,0251-1789 (Print) 0251-1789 (Linking),4,1,1984,Multiple antigens related to the major envelope glycoprotein of murine leukemia virus expressed on B16 melanoma cells as targets of host immune response.,28-46,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Invasion Metastasis,Invasion & metastasis,8202435,IM,"['Animals', 'Antibody Formation', 'Antigens, Neoplasm/*immunology', 'Antigens, Viral/*immunology', 'Female', 'Immunization', 'Leukemia Virus, Murine/*immunology', 'Leukemia, Experimental/*immunology', 'Melanoma/*immunology', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Viral Envelope Proteins/*immunology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Invasion Metastasis. 1984;4(1):28-46.,"['Stackpole, C W', 'Demsey, A']","['Stackpole CW', 'Demsey A']","['0 (Antigens, Neoplasm)', '0 (Antigens, Viral)', '0 (Viral Envelope Proteins)']","Reactivity of B16 melanoma cell surface proteins with antisera to the major envelope glycoprotein, gp70, of murine leukemia viruses was assessed by radioimmunoprecipitation and sodium dodecyl sulfate-polyacrylamide gel electrophoresis. Surface proteins from cultured monolayers of the B16 melanoma and variant lines B16-F1, B16-F1(1r6), B16-F10, and B16-F10(1r6), and from purified B16 melanoma tumor cells, contained three glycosylated components specifically reactive with gp70 antisera, with apparent molecular weights of 70,000, 80,000, and 85,000 (B16-gp70, B16-gp80, and B16-gp85). Antisera raised in syngeneic C57BL/6 mice by immunizing with X-irradiated B16, B16-F10, or B16-F10(1r6) cells immunoprecipitated only solubilized B16-gp70, B16-gp80, and B16-gp85. Absorption of mouse antiserum to B16-gp70/80/85 antigens with purified viruses from various sources indicated that antigens on all three molecules were related to endogenous AKR-type murine leukemia virus antigens. Mice hyperimmunized against melanoma cells were challenged subcutaneously with 4 X 10(4), 10(5), or 2.5 X 10(5) viable B16 or B16-F10 cells, inocula that were lethal and nonmetastatic in unimmunized mice. The lowest cell dose was rejected by 90% of immunized mice. Tumors grew in an average of 58% of immunized mice challenged with 10(5) cells, pulmonary metastases occurring in 61% of those mice. Inocula of 2.5 X 10(5) cells grew in all immunized mice, with a 60% incidence of metastasis. These studies indicate that host immunity to B16-gp70/80/85 antigens can either inhibit or stimulate B16 melanoma tumor progression.",['R01-CA-32134/CA/NCI NIH HHS/United States'],,,,,,,,
6329969,NLM,MEDLINE,19840803,20211203,0020-7136 (Print) 0020-7136 (Linking),33,6,1984 Jun 15,Human T-cell leukemia virus (HTLV) in the United Kingdom.,795-806,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adolescent', 'Adult', 'Antibodies, Monoclonal', 'Antibodies, Neoplasm/*analysis', 'Antibodies, Viral/*analysis', 'Blacks', 'Bone Marrow/microbiology/ultrastructure', 'Cell Line', 'Child', 'DNA, Viral/analysis', 'Deltaretrovirus/analysis/*immunology', 'Female', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia/*immunology/microbiology/pathology', 'Lymphoma/immunology/microbiology/pathology', 'Male', 'Middle Aged', 'Nucleic Acid Hybridization', 'Retroviridae Infections/*immunology/microbiology/pathology', 'United Kingdom', 'West Indies/ethnology']",1984/06/15 00:00,1984/06/15 00:01,['1984/06/15 00:00'],"['1984/06/15 00:00 [pubmed]', '1984/06/15 00:01 [medline]', '1984/06/15 00:00 [entrez]']",['10.1002/ijc.2910330614 [doi]'],ppublish,Int J Cancer. 1984 Jun 15;33(6):795-806. doi: 10.1002/ijc.2910330614.,"['Greaves, M F', 'Verbi, W', 'Tilley, R', 'Lister, T A', 'Habeshaw, J', 'Guo, H G', 'Trainor, C D', 'Robert-Guroff, M', 'Blattner, W', 'Reitz, M']","['Greaves MF', 'Verbi W', 'Tilley R', 'Lister TA', 'Habeshaw J', 'Guo HG', 'Trainor CD', 'Robert-Guroff M', 'Blattner W', 'Reitz M', 'et al.']","['0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Antibodies, Viral)', '0 (DNA, Viral)']",Ten out of 26 leukaemic patients who had emigrated from the Caribbean region to the United Kingdom had adult T-cell leukaemia with associated serum antibodies to HTLV I. Antibodies to HTLV were also detected in sera from a small proportion of non-leukaemic Caribbean immigrants but not in any sera from other (non-ATL) T-cell leukaemias or a variety of control groups. The long period between immigration to the UK and diagnosis of leukaemia (up to 30 years) suggests that an extensive latent period in disease development may exist. Cell lines were isolated from two patients with HTLV antibody-positive ATL and were shown to be virus-positive by electron microscopy and immunofluorescence using antibodies to the p19 and p24 viral proteins. HTLV1 provirus integration and active transcription were demonstrated by Southern blotting of DNA and in situ hybridization respectively using molecularly cloned HTLV1 probes. Virus from one of these cell lines could be transmitted to normal T cells by co-cultivation.,,,,,,,,,
6329966,NLM,MEDLINE,19840803,20190708,0020-7136 (Print) 0020-7136 (Linking),33,6,1984 Jun 15,Isolation of HTLV derived from Japanese adult T-cell leukemia patients in human diploid fibroblast strain IMR90 and the biological characters of the infected cells.,745-9,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Cell Nucleus/ultrastructure', '*Cell Transformation, Viral', 'Cells, Cultured', 'DNA, Viral/analysis', 'Deltaretrovirus/genetics/*isolation & purification/ultrastructure', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Fibroblasts/microbiology/ultrastructure', 'Humans', 'Japan', 'Leukemia/*microbiology/pathology', 'Male', 'Middle Aged', 'Precipitin Tests', 'Retroviridae Infections/*microbiology/pathology', 'Viral Proteins/analysis']",1984/06/15 00:00,1984/06/15 00:01,['1984/06/15 00:00'],"['1984/06/15 00:00 [pubmed]', '1984/06/15 00:01 [medline]', '1984/06/15 00:00 [entrez]']",['10.1002/ijc.2910330606 [doi]'],ppublish,Int J Cancer. 1984 Jun 15;33(6):745-9. doi: 10.1002/ijc.2910330606.,"['Yoshikura, H', 'Nishida, J', 'Yoshida, M', 'Kitamura, Y', 'Takaku, F', 'Ikeda, S']","['Yoshikura H', 'Nishida J', 'Yoshida M', 'Kitamura Y', 'Takaku F', 'Ikeda S']","['0 (DNA, Viral)', '0 (Viral Proteins)']",HTLV was isolated in the human diploid fibroblast strain IMR90 directly from the leukemic cells of the Japanese ATL-patients. The infection was checked by the presence of virus-specific p24 and proviral DNA. The isolation was successful in three of four patients. The patient whose virus isolation was unsuccessful contained only a defective viral genome in his leukemic cells. The infected cells produced polykaryons when co-cultured with catS + L-cells. Human leukemia HL60 cells formed clusters adherent to the infected IMR90 cells but not to uninfected IMR90 cells. The former phenomenon was blocked by the ATLL patients' serum.,,,,,,,,,
6329965,NLM,MEDLINE,19840803,20190708,0020-7136 (Print) 0020-7136 (Linking),33,6,1984 Jun 15,Transformation of ATLA-negative leukocytes by blood components from anti-ATLA-positive donors in vitro.,721-5,['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adult', 'Antibodies, Neoplasm/*analysis', 'Antibodies, Viral/*analysis', '*Cell Transformation, Neoplastic/ultrastructure', '*Cell Transformation, Viral', 'Cells, Cultured', 'Chromosome Banding', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*blood/immunology/microbiology', 'Leukocytes/*microbiology/ultrastructure', 'Male', 'Middle Aged', 'Retroviridae/immunology', 'Retroviridae Infections/blood/immunology/microbiology', 'T-Lymphocytes']",1984/06/15 00:00,1984/06/15 00:01,['1984/06/15 00:00'],"['1984/06/15 00:00 [pubmed]', '1984/06/15 00:01 [medline]', '1984/06/15 00:00 [entrez]']",['10.1002/ijc.2910330603 [doi]'],ppublish,Int J Cancer. 1984 Jun 15;33(6):721-5. doi: 10.1002/ijc.2910330603.,"['Miyamoto, K', 'Tomita, N', 'Ishii, A', 'Nishizaki, T', 'Kitajima, K', 'Tanaka, T', 'Nakamura, T', 'Watanabe, S', 'Oda, T']","['Miyamoto K', 'Tomita N', 'Ishii A', 'Nishizaki T', 'Kitajima K', 'Tanaka T', 'Nakamura T', 'Watanabe S', 'Oda T']","['0 (Antibodies, Neoplasm)', '0 (Antibodies, Viral)']","Anti-ATLA-positive blood components transformed healthy human leukocytes in vitro. Blood components examined were packed red cells, whole blood, platelet concentrate and fresh frozen plasma. Leukocytes present in anti-ATLA-positive blood components such as packed red cells, whole blood and platelet concentrate easily transformed anti-ATLA-negative leukocytes. Co-culture in fresh frozen plasma, however, did not transform recipient leukocytes, and leukocytes of anti-ATLA-positive recipients proved refractory to transformation. The transformed cells were morphologically lymphoid, grew in suspension, and possessed normal recipient karyotypes except in the case of three platelet concentrates. A high proportion of all the transformed populations formed E-rosettes with neuraminidase-treated sheep erythrocytes. The cytoplasm of over 90% of each recipient was stained brilliantly with antibodies against ATLV-determined antigens. Electron microscopy of these transformed cells revealed many C-type virus particles in the extracellular space. Blood components, such as packed red cells, whole blood and platelet concentrate, containing leukocytes from anti-ATLA-positive donors, should be used cautiously to prevent the transmission on ATLV to anti-ATLA-negative recipients.",,,,,,,,,
6329964,NLM,MEDLINE,19840803,20190708,0020-7136 (Print) 0020-7136 (Linking),33,6,1984 Jun 15,Prevalence of possible adult T-cell leukemia virus-carriers among volunteer blood donors in Japan: a nation-wide study.,717-20,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adolescent', 'Adult', '*Blood Donors', 'Carrier State/*epidemiology', '*Deltaretrovirus', 'Humans', 'Japan', 'Leukemia/*epidemiology', 'Middle Aged', 'Retroviridae Infections/*epidemiology']",1984/06/15 00:00,1984/06/15 00:01,['1984/06/15 00:00'],"['1984/06/15 00:00 [pubmed]', '1984/06/15 00:01 [medline]', '1984/06/15 00:00 [entrez]']",['10.1002/ijc.2910330602 [doi]'],ppublish,Int J Cancer. 1984 Jun 15;33(6):717-20. doi: 10.1002/ijc.2910330602.,"['Maeda, Y', 'Furukawa, M', 'Takehara, Y', 'Yoshimura, K', 'Miyamoto, K', 'Matsuura, T', 'Morishima, Y', 'Tajima, K', 'Okochi, K', 'Hinuma, Y']","['Maeda Y', 'Furukawa M', 'Takehara Y', 'Yoshimura K', 'Miyamoto K', 'Matsuura T', 'Morishima Y', 'Tajima K', 'Okochi K', 'Hinuma Y']",,"A nation-wide survey of carriers of adult T-cell leukemia virus (ATLV) detected as anti-ATLA (ATLV-associated antigens) in volunteer blood donors was made in Japan. A total of 200 sera from donors between 40 and 64 years of age, collected in each of 64 blood centers located in eight districts, were tested for anti-ATLA by an indirect immunofluorescence test. The highest rate (8%) of seropositive donors was found in Kyushu and lower rates of 0.3 to 1.2% in other districts. However, the positive rate varied considerably in different localities even within districts with a high or low seropositive incidence. Further studies of all the donors (16 to 64 years old) in eight centers in Kyushu demonstrated two facts: (1) that the frequency of seropositive donors increased with age, and (2) that four centers in this district showed distinctly high incidences of seropositive donors, while the other four centers showed low incidences. The seropositive rate among all donors was estimated to be about 3% in Kyushu and 0.08 to 0.3% in all other districts.",,,,,,,,,
6329937,NLM,MEDLINE,19840822,20191031,0278-0232 (Print) 0278-0232 (Linking),1,3,1983 Jul-Sep,Adult T-cell leukemia cells expressing OKT 17 antigen in the activated state.,263-7,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Hematol Oncol,Hematological oncology,8307268,IM,"['Adolescent', 'Adult', 'Aged', 'Antibodies, Monoclonal', 'Antigens, Differentiation, T-Lymphocyte', 'Antigens, Surface/*immunology', 'Female', 'Humans', 'Leukemia/*immunology', '*Lymphocyte Activation', 'Male', 'Middle Aged', 'Phenotype', 'T-Lymphocytes/classification/*immunology', 'Tumor Necrosis Factor Receptor Superfamily, Member 7']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",['10.1002/hon.2900010308 [doi]'],ppublish,Hematol Oncol. 1983 Jul-Sep;1(3):263-7. doi: 10.1002/hon.2900010308.,"['Tsuda, H', 'Takatsuki, K']","['Tsuda H', 'Takatsuki K']","['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antigens, Surface)', '0 (Tumor Necrosis Factor Receptor Superfamily, Member 7)']","The surface phenotype and the functional activities of leukemic cells from seven patients with adult T-cell leukemia (ATL) were studied using monoclonal antibodies OKT 3, 4 and 8, anti-Tac, and OKT 17. The latter defines the heterogeneity of the activated T4+ T cell subset. In all cases, ATL cells with the typical OKT3-T4+ T8- phenotype expressed OKT 17 antigen. In addition, in five out of the seven cases the fresh ATL cells possessed Tac antigen which is expressed on activated T cells in varying degree. After cultivation with PWM, most populations of ATL cells acquired Tac even in the cases expressing little antigen in uncultured preparations. However the PWM activated ATL cells did not lose OKT 17 antigen. Functional assays showed the suppressor activity of ATL cells on normal B cell differentiation in three out of six cases examined. These results suggest that ATL cells most probably arise from a particular subset characterized by OKT 17 antigen within the activated OKT4+ T cell subset.",,,,,,,,,
6329936,NLM,MEDLINE,19840822,20191031,0278-0232 (Print) 0278-0232 (Linking),1,3,1983 Jul-Sep,Restrictions upon Epstein-Barr virus infection of the leukemic cell are demonstrated in patients with hairy cell leukemia.,251-62,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Hematol Oncol,Hematological oncology,8307268,IM,"['Antigens, Viral/analysis', 'Cell Line', 'Cell Transformation, Neoplastic/immunology', 'Cell Transformation, Viral', 'Epstein-Barr Virus Nuclear Antigens', 'Fetal Blood/microbiology', 'Genes, Viral', 'Herpesviridae Infections/*microbiology', '*Herpesvirus 4, Human/genetics/immunology/metabolism', 'Humans', 'Leukemia, Hairy Cell/immunology/metabolism/*microbiology', 'Receptors, Complement 3d', 'Receptors, Virus/analysis', '*Viral Matrix Proteins']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",['10.1002/hon.2900010307 [doi]'],ppublish,Hematol Oncol. 1983 Jul-Sep;1(3):251-62. doi: 10.1002/hon.2900010307.,"['Sairenji, T', 'Reisert, P S', 'Spiro, R C', 'Mulder, C', 'Humphreys, R E']","['Sairenji T', 'Reisert PS', 'Spiro RC', 'Mulder C', 'Humphreys RE']","['0 (Antigens, Viral)', '0 (EBV-associated membrane antigen, Epstein-Barr virus)', '0 (Epstein-Barr Virus Nuclear Antigens)', '0 (Receptors, Complement 3d)', '0 (Receptors, Virus)', '0 (Viral Matrix Proteins)']","We tested the hypothesis that Epstein-Barr virus (EBV) might actually infect leukemic hairy cells in vivo by examining those cells for the EBV-receptor, EBV nuclear antigen (EBNA) and membrane antigen (MA), for spontaneous transformation and rescue of infectious virus and for presence of EBV genome. EBV-receptors were found on subpopulations of leukemic cells from each of 7 patients with hairy cell leukemia (HCL) tested. MA was present on low numbers (1-5 per cent) of fresh leukemic cells of 7 patients and in some instances occurred with a greater frequency after 3 to 5 days in culture, with or without 12-O-tetradecanoylphorbol-13-acetate. In 11 fresh leukemic cell preparations from 8 HCL patients, no EBNA was demonstrated. However, 2 samples after 4 days in culture expressed low frequencies of EBNA-positive cells. Spontaneous, EBV-positive cell lines were established with a high transformation efficiency from 3 HCL blood samples but not from 8 other specimens. Infectious EBV could be rescued from some hairy leukemic cell preparations by co-cultivation with cord blood lymphocytes. These results demonstrated that leukemic cell populations harbored infectious EBV, that the leukemic cells expressed virus receptors and suggested that a small subpopulation of leukemic cells might become infected in vivo at least transiently and possibly transformed in vitro by EBV. To test for the extent of occult in vivo infection of leukemic cells with EBV, Southern type hybridization studies were performed with a probe for EBV genome (Bam HI W). At a sensitivity level of 0.1 genome per cell, EBV genome was not detected in the leukemic cell populations of 7 patients. We conclude that host defence mechanisms protecting these individuals from EBV also prevent infections of the leukemic cell and/or most hairy leukemic cells are not suitable targets for both infection and transformation.","['2507 RR05712/RR/NCRR NIH HHS/United States', 'CA-25873/CA/NCI NIH HHS/United States']",,,,,,,,
6329935,NLM,MEDLINE,19840822,20191031,0278-0232 (Print) 0278-0232 (Linking),1,3,1983 Jul-Sep,Retroviruses in human leukemia.,193-204,['eng'],"['Journal Article', 'Review']",England,Hematol Oncol,Hematological oncology,8307268,IM,"['Adult', 'Animals', 'Cats', 'Cattle', 'Cloning, Molecular', 'Deltaretrovirus/genetics/immunology', 'Humans', 'Japan', 'Leukemia/epidemiology/*etiology/immunology', 'Leukemia Virus, Bovine', 'Leukemia Virus, Feline', '*Retroviridae', 'Retroviridae Infections/complications', 'United States', 'Viral Core Proteins', 'Viral Proteins/immunology', 'West Indies']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",['10.1002/hon.2900010302 [doi]'],ppublish,Hematol Oncol. 1983 Jul-Sep;1(3):193-204. doi: 10.1002/hon.2900010302.,"['Blayney, D W', 'Blattner, W A', 'Jaffe, E S', 'Gallo, R C']","['Blayney DW', 'Blattner WA', 'Jaffe ES', 'Gallo RC']","['0 (Viral Core Proteins)', '0 (Viral Proteins)']","After decades of work, a retrovirus of true human origin has been isolated first from a U.S. adult case of T-cell lymphoma and then from cases from various regions of the world. This virus, named HTLV-I, is strongly associated with a malignant leukemia-lymphoma of mature T-cells. This disease was first clinically characterized in Japan but subsequently found to cluster in the Caribbean region, areas of the U.S. and in other countries. This retrovirus-associated malignancy has an adult onset and usually a rapidly fatal course. Lymphadenopathy, hepatosplenomegaly, cutaneous infiltration and hypercalcemia are found. HTLV-I has been characterized in detail and shown to be an exogenous retrovirus. HTLV-I infection is detected in normal populations and is endemic in restricted areas of Japan, the Caribbean, South America, and the U.S. Cases of ATL tend to cluster in these areas. Future studies will focus on learning (1) how HTLV-I is transmitted from individual to individual; (2) the nature of the mechanism by which HTLV-I transforms T-cells; (3) whether we can use probes from HTLV-I to detect other (related) retroviruses in other human neoplasms.",,,,71,,,,,
6329934,NLM,MEDLINE,19840821,20191031,0278-0232 (Print) 0278-0232 (Linking),1,1,1983 Jan-Mar,Characterization of the expression of cellular retrovirus genes and oncogenes in feline cells.,61-75,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Hematol Oncol,Hematological oncology,8307268,IM,"['Animals', 'Avian Myeloblastosis Virus/genetics', 'Cats', 'Cell Differentiation', 'Cell Transformation, Neoplastic', 'Cell Transformation, Viral', 'Female', 'Leukemia/*genetics', 'Leukemia Virus, Feline/genetics', '*Oncogenes', 'Placenta/cytology', 'Pregnancy', 'RNA, Viral/genetics', 'Retroviridae/*genetics', 'Thymoma/genetics', 'Transcription, Genetic']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1002/hon.2900010108 [doi]'],ppublish,Hematol Oncol. 1983 Jan-Mar;1(1):61-75. doi: 10.1002/hon.2900010108.,"['Busch, M P', 'Devi, B G', 'Soe, L H', 'Perbal, B', 'Baluda, M A', 'Roy-Burman, P']","['Busch MP', 'Devi BG', 'Soe LH', 'Perbal B', 'Baluda MA', 'Roy-Burman P']","['0 (RNA, Viral)']","Expression of endogenous retrovirus genes and two different cellular oncogenes (c-onc genes) was examined at the transcriptional level in a variety of normal and lymphoma/leukemia tissues of the domestic cat. The two oncogenes, c-myb(related to avian myeloblastosis virus) and c-myc(related to avian myelocytomatosis virus) were selected for their association with the induction of hematopoietic malignancies, when present in the transforming retroviruses. Tissue-specific expression of endogenous feline leukemia virus (FeLV)-related genes was detected in cellular subpopulations of the cat placenta by in situ method of hybridization. Gel blotting analysis of placental poly(A)-selected RNA revealed that the FeLV-related RNA species were primarily subgenomic, representing the env gene region of the endogenous provirus elements. Like the endogenous retrovirus genes, c-myb and c-myc loci of the cat genomic DNA were also transcribed at differential levels in normal tissues of the cat. Dot-blot hybridization analysis showed that the expression of these two oncogenes was linked to growth and development as it varied with the gestational age of the fetus and from fetal to adult tissues. Among the major hematopoietic organs, spleen and bone marrow contained both c-myb and c-myc transcripts, while thymus preferentially expressed the c-myb gene. In contrast to the low level of c-myc expression in fetal thymus tissues, enhanced c-myc expression was detected in all five thymomas tested and also in several other neoplasms including two granulocytic leukemias. The feline c-myb gene was not very active in granulocytic leukemias or in three of the five thymomas. RNA gel blotting analysis of poly(A)-selected RNA of a thymoma and its lymph node metastasis showed identical pattern of c-myc transcripts.",['CA26809/CA/NCI NIH HHS/United States'],,,,,,,,
6329896,NLM,MEDLINE,19840815,20200713,0234-5730 (Print) 0234-5730 (Linking),29,5,1984,[Prognostic value of cytochemical studies in chronic myeloleukemia].,16-9,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Acid Phosphatase/blood', 'Adolescent', 'Adult', 'Aged', 'Alkaline Phosphatase/blood', 'Female', 'Granulocytes/*enzymology', 'Humans', 'Isoenzymes/blood', 'Leukemia, Myeloid/*blood', 'Male', 'Middle Aged', 'Peroxidase', 'Peroxidases/blood', 'Prognosis']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1984;29(5):16-9.,"['Shardakov, V I', 'Minakov, V N']","['Shardakov VI', 'Minakov VN']","['0 (Isoenzymes)', 'EC 1.11.1.- (Peroxidases)', 'EC 1.11.1.7 (Peroxidase)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Acid Phosphatase)']",,,,Prognosticheskoe znachenie tsitokhimicheskikh issledovanii u bol'nykh khronicheskimi mieloleikozom.,,,,,,
6329895,NLM,MEDLINE,19840815,20200713,0234-5730 (Print) 0234-5730 (Linking),29,5,1984,[Results of a cytochemical study of the elements of granulocytopoiesis in acute leukemia].,13-6,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Acute Disease', 'Alkaline Phosphatase/blood', 'Electron Transport Complex IV/blood', 'Glycogen/blood', 'Humans', 'Isoenzymes/blood', 'Leukemia/*blood', 'Lipids/blood', 'Neutrophils/*metabolism', 'Peroxidase', 'Peroxidases/blood']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1984;29(5):13-6.,"['Surzhikova, G S', 'Kovaleva, L G', ""Gol'dberg, E D""]","['Surzhikova GS', 'Kovaleva LG', ""Gol'dberg ED""]","['0 (Isoenzymes)', '0 (Lipids)', '9005-79-2 (Glycogen)', 'EC 1.11.1.- (Peroxidases)', 'EC 1.11.1.7 (Peroxidase)', 'EC 1.9.3.1 (Electron Transport Complex IV)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",,,,Rezul'taty tsitokhimicheskogo issledovaniia elementov granulotsitopoeza pri ostrom leikoze.,,,,,,
6329881,NLM,MEDLINE,19840807,20191210,0016-450X (Print) 0016-450X (Linking),75,2,1984 Feb,Transmission of adult T-cell leukemia virus from lymphoid cells to non-lymphoid cells associated with cell membrane fusion.,99-102,['eng'],['Journal Article'],Japan,Gan,Gan,0151745,IM,"['Animals', 'Antigens, Viral/analysis', 'Cats', 'Cell Fusion', 'Cell Line', '*Cell Transformation, Viral', 'Chlorocebus aethiops', 'Deltaretrovirus/immunology/*pathogenicity', 'Fluorescent Antibody Technique', 'HeLa Cells', 'Humans', 'Lymphocytes/microbiology', 'Macaca', 'Rats', 'Retroviridae Infections/transmission']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",,ppublish,Gan. 1984 Feb;75(2):99-102.,"['Hayami, M', 'Tsujimoto, H', 'Komuro, A', 'Hinuma, Y', 'Fujiwara, K']","['Hayami M', 'Tsujimoto H', 'Komuro A', 'Hinuma Y', 'Fujiwara K']","['0 (Antigens, Viral)']","Transmission of adult T-cell leukemia virus (ATLV) was demonstrated from human lymphoid cell lines carrying ATLV to various non-lymphoid cells accompanied with syncytium formation, which was specifically inhibited by human anti-ATLV sera, indicating that ATLV has cell membrane fusion activity.",,,,,,,,,
6329875,NLM,MEDLINE,19840807,20141003,0016-450X (Print) 0016-450X (Linking),75,2,1984 Feb,Demonstration of adult T-cell leukemia virus antigen in milk from three sero-positive mothers.,103-5,['eng'],['Journal Article'],Japan,Gan,Gan,0151745,IM,"['Adult', 'Antigens, Viral/*analysis', 'Carrier State', 'Deltaretrovirus/*immunology', 'Female', 'Fluorescent Antibody Technique', 'Humans', 'Leukocyte Count', 'Milk, Human/*microbiology', 'Monocytes/microbiology', 'Retroviridae Infections/genetics/transmission']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",,ppublish,Gan. 1984 Feb;75(2):103-5.,"['Kinoshita, K', 'Hino, S', 'Amagaski, T', 'Ikeda, S', 'Yamada, Y', 'Suzuyama, J', 'Momita, S', 'Toriya, K', 'Kamihira, S', 'Ichimaru, M']","['Kinoshita K', 'Hino S', 'Amagaski T', 'Ikeda S', 'Yamada Y', 'Suzuyama J', 'Momita S', 'Toriya K', 'Kamihira S', 'Ichimaru M']","['0 (Antigens, Viral)']",The expression of adult T-cell leukemia virus (ATLV/HTLV) antigen was demonstrated by the indirect immunofluorescence method in phytohemagglutinin-cultured mononuclear cells of milk samples from 3 out of 22 sero-positive mothers after delivery. This result raises the possibility that milk might be the source of ATLV/HTLV infection of infants.,,,,,,,,,
