PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,SI,CIN,CON,CRI,CI,EIN,TT,LID,OID,OTO,OT,GN,MID
9361012,NLM,MEDLINE,19971211,20210209,0021-9258 (Print) 0021-9258 (Linking),272,46,1997 Nov 14,Antisense inhibition of group VI Ca2+-independent phospholipase A2 blocks phospholipid fatty acid remodeling in murine P388D1 macrophages.,29317-21,"A major issue in lipid signaling relates to the role of particular phospholipase A2 isoforms in mediating receptor-triggered responses. This has been difficult to study because of the lack of isoform-specific inhibitors. Based on the use of the Group VI Ca2+-independent phospholipase A2 (iPLA2) inhibitor bromoenol lactone (BEL), we previously suggested a role for the iPLA2 in mediating phospholipid fatty acid turnover (Balsinde, J., Bianco, I. D., Ackermann, E. J., Conde-Frieboes, K., and Dennis, E. A. (1995) Proc. Natl. Acad. Sci. U. S. A. 92: 8527-8531). We have now further evaluated the role of the iPLA2 in phospholipid remodeling by using antisense RNA technology. We show herein that inhibition of iPLA2 expression by a specific antisense oligonucleotide decreases both the steady-state levels of lysophosphatidylcholine and the capacity of the cell to incorporate arachidonic acid into membrane phospholipids. These effects correlate with a decrease in both iPLA2 activity and protein in the antisense-treated cells. Collectively these data provide further evidence that the iPLA2 plays a major role in regulating phospholipid fatty acyl turnover in P388D1 macrophages. In stark contrast, experiments with activated cells confirmed that the iPLA2 does not play a significant role in receptor-coupled arachidonate mobilization in these cells, as manifested by the lack of an effect of the iPLA2 antisense oligonucleotide on PAF-stimulated arachidonate release.","['Balsinde, J', 'Balboa, M A', 'Dennis, E A']","['Balsinde J', 'Balboa MA', 'Dennis EA']","['Department of Chemistry and Biochemistry, University of California at San Diego, La Jolla, California 92093-0601, USA.']",['eng'],"['GM 20501/GM/NIGMS NIH HHS/United States', 'HD 26171/HD/NICHD NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Membrane Lipids)', '0 (Naphthalenes)', '0 (Oligonucleotides, Antisense)', '0 (Phospholipids)', '0 (Pyrones)', '27YG812J1I (Arachidonic Acid)', '88070-98-8 (6-(bromomethylene)tetrahydro-3-(1-naphthaleneyl)-2H-pyran-2-one)', 'EC 3.1.1.32 (Phospholipases A)', 'EC 3.1.1.4 (Phospholipases A2)', 'SY7Q814VUP (Calcium)']",IM,"['Animals', 'Arachidonic Acid/*metabolism', 'Calcium/*metabolism', 'Leukemia P388/*metabolism', 'Membrane Lipids/metabolism', 'Mice', 'Naphthalenes/pharmacology', 'Oligonucleotides, Antisense/*pharmacology', 'Phospholipases A/*antagonists & inhibitors/metabolism', 'Phospholipases A2', 'Phospholipids/*metabolism', 'Pyrones/pharmacology']",1997/11/20 00:00,1997/11/20 00:01,['1997/11/20 00:00'],"['1997/11/20 00:00 [pubmed]', '1997/11/20 00:01 [medline]', '1997/11/20 00:00 [entrez]']","['10.1074/jbc.272.46.29317 [doi]', 'S0021-9258(18)50888-7 [pii]']",ppublish,J Biol Chem. 1997 Nov 14;272(46):29317-21. doi: 10.1074/jbc.272.46.29317.,,,,,,,,,,,,,,,
9361007,NLM,MEDLINE,19971211,20210209,0021-9258 (Print) 0021-9258 (Linking),272,46,1997 Nov 14,Transactivation of an intronic hematopoietic-specific enhancer of the human Wilms' tumor 1 gene by GATA-1 and c-Myb.,29272-80,"The Wilms' tumor 1 gene (WT1) encodes a zinc-finger transcription factor which is expressed in a tissue-specific manner. Our studies indicate that in addition to the promoter, other regulatory elements are required for tissue-specific expression of this gene. A 258-base pair hematopoietic specific enhancer in intron 3 of the WT1 gene increased the transcriptional activity of the WT1 promoter by 8-10-fold in K562 and HL60 cells. Sequence analysis revealed both a GATA and a c-Myb motif in the enhancer fragment. Mutation of the GATA motif decreased the enhancer activity by 60% in K562 cells. Electrophoretic mobility shift assays showed that the GATA-1 protein in K562 nuclear extracts binds to this motif. Cotransfection of the enhancer containing reporter construct with a GATA-1 expression vector showed that GATA-1 transactivated this enhancer, increasing the CAT reporter activity 10-15-fold. Similar analysis of the c-Myb motif by cotransfection with the enhancer CAT reporter construct and a c-Myb expression vector showed that c-Myb transactivated the enhancer by 5-fold. A DNase I-hypersensitive site has also been mapped in the 258-base pair enhancer region. These data suggest that GATA-1 and c-Myb are responsible for the activity of this enhancer in hematopoietic cells and may bind to the enhancer in vivo.","['Zhang, X', 'Xing, G', 'Fraizer, G C', 'Saunders, G F']","['Zhang X', 'Xing G', 'Fraizer GC', 'Saunders GF']","['Department of Biochemistry and Molecular Biology, The University of Texas M. D. Anderson Cancer Center, Houston, Texas 77030, USA.']",['eng'],"['CA 16672/CA/NCI NIH HHS/United States', 'CA 34936/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (GATA1 Transcription Factor)', '0 (GATA1 protein, human)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myb)', '0 (Trans-Activators)', '0 (Transcription Factors)', 'EC 3.1.21.1 (Deoxyribonuclease I)']",IM,"['Base Sequence', 'Cell Lineage', 'DNA, Neoplasm', 'DNA-Binding Proteins/*metabolism', 'Deoxyribonuclease I/metabolism', '*Enhancer Elements, Genetic', 'Erythroid-Specific DNA-Binding Factors', 'GATA1 Transcription Factor', '*Genes, Wilms Tumor', 'HL-60 Cells', 'Humans', 'Introns', 'Leukemia, Erythroblastic, Acute/genetics/pathology', 'Molecular Sequence Data', 'Protein Binding', 'Proto-Oncogene Proteins/*metabolism', 'Proto-Oncogene Proteins c-myb', 'Trans-Activators/*metabolism', 'Transcription Factors/*metabolism', '*Transcriptional Activation', 'Tumor Cells, Cultured']",1997/11/20 00:00,1997/11/20 00:01,['1997/11/20 00:00'],"['1997/11/20 00:00 [pubmed]', '1997/11/20 00:01 [medline]', '1997/11/20 00:00 [entrez]']","['10.1074/jbc.272.46.29272 [doi]', 'S0021-9258(18)50883-8 [pii]']",ppublish,J Biol Chem. 1997 Nov 14;272(46):29272-80. doi: 10.1074/jbc.272.46.29272.,,,['GENBANK/U64447'],,,,,,,,,,,,
9360930,NLM,MEDLINE,19971202,20201219,0036-8075 (Print) 0036-8075 (Linking),278,5341,1997 Nov 14,A TEL-JAK2 fusion protein with constitutive kinase activity in human leukemia.,1309-12,"The Janus family of tyrosine kinases (JAK) plays an essential role in development and in coupling cytokine receptors to downstream intracellular signaling events. A t(9;12)(p24;p13) chromosomal translocation in a T cell childhood acute lymphoblastic leukemia patient was characterized and shown to fuse the 3' portion of JAK2 to the 5' region of TEL, a gene encoding a member of the ETS transcription factor family. The TEL-JAK2 fusion protein includes the catalytic domain of JAK2 and the TEL-specific oligomerization domain. TEL-induced oligomerization of TEL-JAK2 resulted in the constitutive activation of its tyrosine kinase activity and conferred cytokine-independent proliferation to the interleukin-3-dependent Ba/F3 hematopoietic cell line.","['Lacronique, V', 'Boureux, A', 'Valle, V D', 'Poirel, H', 'Quang, C T', 'Mauchauffe, M', 'Berthou, C', 'Lessard, M', 'Berger, R', 'Ghysdael, J', 'Bernard, O A']","['Lacronique V', 'Boureux A', 'Valle VD', 'Poirel H', 'Quang CT', 'Mauchauffe M', 'Berthou C', 'Lessard M', 'Berger R', 'Ghysdael J', 'Bernard OA']","[""U 301 de l'Institut National de la Sante et de la Recherche Medicale and SD 401 No. 301 CNRS, Institut de Genetique Moleculaire, 27 rue Juliette Dodu, 75010 Paris, France.""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (Biopolymers)', '0 (DNA-Binding Proteins)', '0 (ETS translocation variant 6 protein)', '0 (Interleukin-3)', '0 (Milk Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Repressor Proteins)', '0 (STAT5 Transcription Factor)', '0 (TEL-JAK2 fusion protein, human)', '0 (TEL-JAK2 fusion protein, mouse)', '0 (Trans-Activators)', '0 (Transcription Factors)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Jak2 protein, mouse)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Biopolymers', 'Cell Division', 'Cell Line', 'Child, Preschool', 'DNA-Binding Proteins/chemistry/genetics/metabolism', 'Enzyme Activation', 'Humans', 'Interleukin-3/physiology', 'Janus Kinase 2', 'Leukemia-Lymphoma, Adult T-Cell/genetics/*metabolism', 'Male', 'Mice', '*Milk Proteins', 'Molecular Sequence Data', 'Oncogene Proteins, Fusion/chemistry/genetics/*metabolism', 'Phosphorylation', 'Protein-Tyrosine Kinases/chemistry/genetics/*metabolism', '*Proto-Oncogene Proteins', 'Proto-Oncogene Proteins c-ets', '*Repressor Proteins', 'STAT5 Transcription Factor', 'Signal Transduction', 'Trans-Activators/metabolism', 'Transcription Factors/chemistry/genetics/metabolism', 'Transfection', 'Translocation, Genetic']",1997/11/21 00:00,1997/11/21 00:01,['1997/11/21 00:00'],"['1997/11/21 00:00 [pubmed]', '1997/11/21 00:01 [medline]', '1997/11/21 00:00 [entrez]']",['10.1126/science.278.5341.1309 [doi]'],ppublish,Science. 1997 Nov 14;278(5341):1309-12. doi: 10.1126/science.278.5341.1309.,,,,,,,,,,,,,,,
9360841,NLM,MEDLINE,19971210,20191102,1052-9551 (Print) 1052-9551 (Linking),6,4,1997 Aug,"Bcl-2 expression and DNA fragmentation in breast carcinoma, pathologic and steroid hormone receptors correlates.",199-208,"B-cell leukemia/lymphoma (bcl-2) expression can override the apoptosis development in lymphoid and hormonally regulated tissue-like breast. The presence of estrogen receptor (ER), progesterone receptor (PR), and androgen receptor (AR) have revealed in breast carcinomas, but they have not been correlated to the bcl-2 protein expression and DNA fragmentation markers. We evaluated the immunohistochemical expression of bcl-2 protein and hormonal receptors (ER, PR, AR) and differentiation grade in 37 infiltrating ductal carcinomas of the breast for which frozen tissues were available for DNA extraction. The immunohistochemical reaction for bcl-2 was considered positive if more than 50% of neoplastic cells had intense cytoplasmic staining, whereas for steroid receptor evaluation Battifora's criteria were used. The DNA was extracted according to the phenol-chloroform procedure and used for bcl-2 gene rearrangement study of the major breakpoint region (Southern blot) and for membrane-based end-labeling using digoxigenin-labeled nucleotides and E. coli DNA polymerase I (Klenow fragment). The results were quantified by three different observers. Low-grade carcinomas were positive for bcl-2 protein (27/28, 96.4%) and ER (15/28, 53.6%), whereas the remaining neoplasms were negative for bcl-2 (9/9, 100.0%) and ER (8/9, 53.6%) (p < 0.001). No statistically significant differences were revealed at the bcl-2, PR and AR comparisons. The Southern blot analysis for bcl-2 major breakpoint region showed neither rearrangement nor genetic amplification (densitometric study). Only the membrane-based end-labeling of DNA fragments showed correlation with bcl-2 protein and ER expressions: all except one bcl-2-negative tumor and two bcl-2-positive tumors had positive labeling using 7 pg of DNA at dot blot analysis (p < 0.002). The bcl-2 protein expression would allow both proliferation and cell progression by blocking apoptosis in well-differentiated, ER-positive breast carcinomas. In these neoplasms, DNA fragmentation as a molecular marker of apoptosis was prevented by bcl-2 expression.","['Diaz-Cano, S J', 'Garcia-Moliner, M', 'Carney, W', 'Wolfe, H J']","['Diaz-Cano SJ', 'Garcia-Moliner M', 'Carney W', 'Wolfe HJ']","['Department of Pathology, Tufts University-New England Medical Center, Boston, Massachusetts 02111, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Diagn Mol Pathol,"Diagnostic molecular pathology : the American journal of surgical pathology, part B",9204924,"['0 (DNA, Neoplasm)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Receptors, Androgen)', '0 (Receptors, Estrogen)', '0 (Receptors, Progesterone)', '0 (Receptors, Steroid)']",IM,"['Apoptosis', 'Blotting, Southern', 'Breast Neoplasms/*metabolism/pathology', 'Carcinoma, Ductal, Breast/*metabolism/pathology', '*DNA Fragmentation', 'DNA, Neoplasm/isolation & purification/*metabolism', 'Electrophoresis, Agar Gel', 'Enzyme-Linked Immunosorbent Assay', 'Humans', 'Immunohistochemistry', 'Proto-Oncogene Proteins c-bcl-2/*biosynthesis', 'Receptors, Androgen/metabolism', 'Receptors, Estrogen/metabolism', 'Receptors, Progesterone/metabolism', 'Receptors, Steroid/*metabolism']",1997/08/01 00:00,1997/11/14 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/08/01 00:00 [entrez]']",['10.1097/00019606-199708000-00004 [doi]'],ppublish,Diagn Mol Pathol. 1997 Aug;6(4):199-208. doi: 10.1097/00019606-199708000-00004.,,,,,,,,,,,,,,,
9360781,NLM,MEDLINE,19980109,20160422,1083-8791 (Print) 1083-8791 (Linking),3,4,1997 Oct,Methotrexate and cyclosporine for graft-vs.-host disease prevention: what length of therapy with cyclosporine?,194-201,"One hundred three patients with leukemia, aplastic anemia, or myelodysplastic syndrome were treated by marrow transplantation from genotypically HLA-identical siblings (n = 92) or HLA haploidentical family members differing for one HLA antigen on the nonshared haplotype (n = 11). To prevent graft-vs.-host disease (GVHD), they were administered postgrafting immunosuppression with a short course of intermittent methotrexate with daily cyclosporine for no more than 11 days. Customarily, we have given cyclosporine for 180 days after transplant. In the current study, we asked whether cyclosporine could be stopped earlier without affecting the risk of chronic GVHD. By day 60, patients who never had acute GVHD, or whose acute GVHD had resolved, were randomized to have cyclosporine stopped (n = 52) or continued for the usual 180 days (n = 51). Results were analyzed with a median follow-up of 9.3 years after transplant, and showed that patients in whom cyclosporine was discontinued on day 60 had a significantly more rapid onset (p = 0.001), but not a significantly higher overall incidence of chronic GVHD than those in whom the drug was stopped on day 180 (43 vs. 54%; p = 0.26). Transplant-related mortality was comparable among patients without preceding acute GVHD, regardless of when cyclosporine was discontinued (11% for both study arms). However, transplant-related mortality appeared to increase among patients with preceding acute GVHD in whom cyclosporine was stopped by day 60 (38 vs. 17%). Results suggest that cyclosporine can safely be discontinued early in patients who never had evidence of acute GVHD, while those with preceding acute GVHD would benefit from a longer course of the drug. Because of the relatively small sample sizes, these results would best be treated as promising preliminary findings that should be confirmed in larger randomized studies.","['Storb, R', 'Leisenring, W', 'Anasetti, C', 'Appelbaum, F R', 'Deeg, H J', 'Doney, K', 'Martin, P', 'Sullivan, K M', 'Witherspoon, R', 'Pettinger, M', 'Bensinger, W', 'Buckner, C D', 'Clift, R', 'Flowers, M E', 'Hansen, J A', 'Pepe, M', 'Chauncey, T', 'Sanders, J', 'Thomas, E D']","['Storb R', 'Leisenring W', 'Anasetti C', 'Appelbaum FR', 'Deeg HJ', 'Doney K', 'Martin P', 'Sullivan KM', 'Witherspoon R', 'Pettinger M', 'Bensinger W', 'Buckner CD', 'Clift R', 'Flowers ME', 'Hansen JA', 'Pepe M', 'Chauncey T', 'Sanders J', 'Thomas ED']","['Divisions of Clinical Research, Fred Hutchinson Cancer Research Center; Seattle, WA 98104, USA.']",['eng'],"['CA15704/CA/NCI NIH HHS/United States', 'CA18029/CA/NCI NIH HHS/United States', 'CA18221/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,"['83HN0GTJ6D (Cyclosporine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adult', 'Bone Marrow Transplantation/adverse effects', 'Cyclosporine/*administration & dosage/therapeutic use', 'Follow-Up Studies', 'Graft vs Host Disease/drug therapy/etiology/*prevention & control', 'Humans', 'Karnofsky Performance Status', 'Methotrexate/*administration & dosage/therapeutic use', 'Multivariate Analysis', 'Recurrence', 'Risk Factors', 'Time Factors', 'Transplantation Conditioning', 'Treatment Failure']",1997/11/14 00:00,1997/11/14 00:01,['1997/11/14 00:00'],"['1997/11/14 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/11/14 00:00 [entrez]']",,ppublish,Biol Blood Marrow Transplant. 1997 Oct;3(4):194-201.,,,,,,,,,,,,,,,
9360779,NLM,MEDLINE,19980109,20131121,1083-8791 (Print) 1083-8791 (Linking),3,4,1997 Oct,Ribozyme-mediated inhibition of a Philadelphia chromosome-positive acute lymphoblastic leukemia cell line expressing the p190 bcr-abl oncogene.,179-86,"The bcr-abl oncogene is the molecular counterpart of the Philadelphia chromosome (Ph), which is detected in > 95% of patients with chronic myelogenous leukemia (CML) and 20-30% of adults with acute lymphoblastic leukemia (ALL). Leukemic cells from patients with CML express the p210 form of the bcr-abl oncogene, whereas in adult Ph+ ALL approximately 50% of cases express the p190 form of the bcr-abl oncogene, and the other 50% express the same p210 gene as is found in CML. In this study, we have designed hairpin ribozymes (RZs) specific for the p190 form of the bcr-abl oncogene to inhibit the growth of a p190 Ph+ ALL cell line, Sup-B15. The RZs cleave p190 RNA substrate in a cell-free in vitro assay. In the presence of the liposome, DMRIE-C, the RZs are protected from serum mediated catalysis in vitro. Anti-p190 RZs transfected with DMRIE-C as the vector into K562 cells, which express the p210 bcr-abl oncogene, are stable intracellularly for up to 96 hours. Up to 33% of the DMRIE-C and RZ mixtures are taken up by Sup-B15 cells cultured in suspension. Expression of the p190 bcr-abl protein product is specifically inhibited as demonstrated by Western blot analysis. Cell growth of the Sup-B15 cells is completely inhibited by anti-p190 RZs over four days in culture. Anti-p210 RZs have no significant effect on bcr-abl protein expression or cell growth by Sup-B15 cells. RZs may have a role in purging stem cell populations collected from patients with Ph+ ALL in the context of autologous bone marrow transplantation.","['Snyder, D S', 'Wu, Y', 'McMahon, R', 'Yu, L', 'Rossi, J J', 'Forman, S J']","['Snyder DS', 'Wu Y', 'McMahon R', 'Yu L', 'Rossi JJ', 'Forman SJ']","['Department of Hematology and Bone Marrow Transplantation, Beckman Research Institute, City of Hope National Medical Center, Duarte, CA, USA.']",['eng'],['CA30206/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,"['0 (RNA, Catalytic)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Blotting, Western', 'Cell Division/drug effects', 'Enzyme Stability/physiology', 'Fusion Proteins, bcr-abl/*genetics', 'Gene Expression', 'Humans', 'Hydrolysis', 'Oncogenes/*drug effects/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology', 'RNA, Catalytic/analysis/pharmacokinetics/*pharmacology', 'Substrate Specificity', 'Tumor Cells, Cultured']",1997/11/14 00:00,1997/11/14 00:01,['1997/11/14 00:00'],"['1997/11/14 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/11/14 00:00 [entrez]']",,ppublish,Biol Blood Marrow Transplant. 1997 Oct;3(4):179-86.,,,,,,,,,,,,,,,
9360753,NLM,MEDLINE,19971215,20190822,0105-4538 (Print) 0105-4538 (Linking),52,10,1997 Oct,Successful administration of cytarabine after a previous anaphylactic reaction.,1009-11,"Cytarabine (Cyt) is an antimetabolite used primarily in the treatment of leukemia, and both immediate and delayed hypersensitivity reactions have been reported. We studied a 9-year-old girl with lymphoblastic leukemia, who developed three anaphylactoid reactions during Cyt treatment courses over a 1-year period. Three years later, Cyt was required again. Although a skin test was negative to Cyt at the concentration of 4 micrograms/ml, we decided on placebo-controlled administration of the drug. The Cyt was well tolerated, and urine values of N-methylhistamine showed no important variations throughout this period compared to those during the placebo administration. Skin tests carried out 14 days after the study were positive at the concentration of 4 micrograms/ml. The history of different episodes of allergic reactions to Cyt, the last one being the most severe, indicated the possible participation of an immediate hypersensitivity phenomenon, but because no studies had been carried out initially, we could not establish the presence of IgE antibodies. These results indicate that good tolerance existed after the control administration procedure. The long interval, 3 years, between the allergic episode and our protocol and the appearance of a positive skin test 14 days after the protocol indicated that the subject had lost sensitivity and become resensitized after the controlled administration procedure.","['Blanca, M', 'Torres, M J', 'Giron, M', 'Corzo, J L', 'Martinez-Valverde, A']","['Blanca M', 'Torres MJ', 'Giron M', 'Corzo JL', 'Martinez-Valverde A']","['Paediatric Department, Regional Hospital, Malaga, Spain.']",['eng'],,"['Case Reports', 'Clinical Trial', 'Controlled Clinical Trial', 'Journal Article']",Denmark,Allergy,Allergy,7804028,"['0 (Methylhistamines)', '04079A1RDZ (Cytarabine)', '37341-29-0 (Immunoglobulin E)', 'Y7QR253130 (N-methylhistamine)']",IM,"['Anaphylaxis/*chemically induced', 'Child', 'Cytarabine/adverse effects/*immunology/pharmacokinetics', 'Drug Hypersensitivity/*immunology', 'Female', 'Humans', 'Immunoglobulin E/immunology', 'Leukemia, Lymphoid/*drug therapy', 'Methylhistamines/analysis/urine', 'Skin Tests']",1997/11/14 00:00,1997/11/14 00:01,['1997/11/14 00:00'],"['1997/11/14 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/11/14 00:00 [entrez]']",['10.1111/j.1398-9995.1997.tb02422.x [doi]'],ppublish,Allergy. 1997 Oct;52(10):1009-11. doi: 10.1111/j.1398-9995.1997.tb02422.x.,,,,,,,,,,,,,,,
9360627,NLM,MEDLINE,19971208,20190723,0021-8820 (Print) 0021-8820 (Linking),50,9,1997 Sep,Biological and mechanistic activities of phenazine antibiotics produced by culture LL-14I352.,785-7,,"['Singh, M P', 'Menendez, A T', 'Petersen, P J', 'Ding, W D', 'Maiese, W M', 'Greenstein, M']","['Singh MP', 'Menendez AT', 'Petersen PJ', 'Ding WD', 'Maiese WM', 'Greenstein M']","['Natural Products, Research Section, Wyeth-Ayerst Research, Pearl River, New York, 10965, USA.']",['eng'],,['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)', '0 (LL 14I352beta)', '0 (Phenazines)', '0 (pelagiomicin A)']",IM,"['Animals', 'Antibiotics, Antineoplastic/isolation & purification/*pharmacology', 'Humans', 'Leukemia P388/drug therapy', 'Mice', 'Microbial Sensitivity Tests', 'Molecular Structure', 'Phenazines/isolation & purification/pharmacology', 'Tumor Cells, Cultured']",1997/11/14 00:00,1997/11/14 00:01,['1997/11/14 00:00'],"['1997/11/14 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/11/14 00:00 [entrez]']",['10.7164/antibiotics.50.785 [doi]'],ppublish,J Antibiot (Tokyo). 1997 Sep;50(9):785-7. doi: 10.7164/antibiotics.50.785.,,,,,,,,,,,,,,,
9360617,NLM,MEDLINE,19971208,20190723,0021-8820 (Print) 0021-8820 (Linking),50,9,1997 Sep,"Thiocoraline, a new depsipeptide with antitumor activity produced by a marine Micromonospora. I. Taxonomy, fermentation, isolation, and biological activities.",734-7,"A novel bioactive depsipeptide, thiocoraline, was isolated from the mycelial cake of a marine actinomycete strain L-13-ACM2-092. Based on morphological, cultural, physiological, and chemical characteristics, strain L-13-ACM2-092 was ascribed to the genus Micromonospora. Thiocoraline showed a potent cytotoxic activity against P-388, A-549 and MEL-28 cell lines, and also a strong antimicrobial activity against Gram-positive microorganisms. This compound binds to supercoiled DNA and inhibits RNA synthesis.","['Romero, F', 'Espliego, F', 'Perez Baz, J', 'Garcia de Quesada, T', 'Gravalos, D', 'de la Calle, F', 'Fernandez-Puentes, J L']","['Romero F', 'Espliego F', 'Perez Baz J', 'Garcia de Quesada T', 'Gravalos D', 'de la Calle F', 'Fernandez-Puentes JL']","['Drug Discovery Division, PharmaMar, S.A., Spain.']",['eng'],,['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Anti-Bacterial Agents)', '0 (Antibiotics, Antineoplastic)', '0 (Depsipeptides)', '0 (Peptides)', '0 (thiocoraline)']",IM,"['Animals', 'Anti-Bacterial Agents/*isolation & purification/pharmacology', 'Antibiotics, Antineoplastic/*isolation & purification/pharmacology', '*Depsipeptides', 'Fermentation', 'Leukemia P388/drug therapy', 'Microbial Sensitivity Tests', 'Micromonospora', '*Peptides', 'Tumor Cells, Cultured/drug effects']",1997/11/14 00:00,1997/11/14 00:01,['1997/11/14 00:00'],"['1997/11/14 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/11/14 00:00 [entrez]']",['10.7164/antibiotics.50.734 [doi]'],ppublish,J Antibiot (Tokyo). 1997 Sep;50(9):734-7. doi: 10.7164/antibiotics.50.734.,,,,,,,,,,,,,,,
9360345,NLM,MEDLINE,19980126,20071115,0253-8768 (Print) 0253-8768 (Linking),15,2,1997 Jun,Immature Hymenolepis nana worms in the stools of a patient treated for acute lymphoblastic leukaemia: an uncommon observation.,75-6,,"['Jayshree, R S', 'Babu, G K', 'Sridhar, H']","['Jayshree RS', 'Babu GK', 'Sridhar H']",,['eng'],,"['Case Reports', 'Letter']",Bangladesh,J Diarrhoeal Dis Res,Journal of diarrhoeal diseases research,8402695,,IM,"['Adult', 'Animals', 'Feces/parasitology', 'Female', 'Humans', 'Hymenolepiasis/*complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",1997/06/01 00:00,1997/11/14 00:01,['1997/06/01 00:00'],"['1997/06/01 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/06/01 00:00 [entrez]']",,ppublish,J Diarrhoeal Dis Res. 1997 Jun;15(2):75-6.,,,,,,,,,,,,,,,
9360268,NLM,MEDLINE,19971215,20131121,0036-5548 (Print) 0036-5548 (Linking),29,4,1997,Invasive Aspergillus sinusitis during bone marrow transplantation.,436-8,"Aspergillus sinusitis is usually a lethal condition in bone marrow transplanted patients. We report the case of a patient known to have a sinus infection with Aspergillus flavus before treatment with allogenic bone marrow transplantation for a refractory acute myelogenous leukemia. Exacerbation of the sinusitis during the neutropenic period required a multidisciplinary approach. Cure was achieved after treatment with a combination of surgery (Caldwell-Luc procedure), long term ABCD (amphotericin B colloidal dispersion) therapy (7 months) and granulocyte transfusions during the period preceding engraftment. The use of granulocyte transfusion in this salvage setting is discussed. Aggressive multimodality management of aspergillus sinusitis in immunosuppressed patients may lead to a cure and might not preclude allogenic transplantation.","['Verschraegen, C F', 'van Besien, K W', 'Dignani, C', 'Hester, J P', 'Andersson, B S', 'Anaissie, E']","['Verschraegen CF', 'van Besien KW', 'Dignani C', 'Hester JP', 'Andersson BS', 'Anaissie E']","['Section of Gynecology Medical Oncology, University of Texas, M. D. Anderson Cancer Center, Houston, USA.']",['eng'],,"['Case Reports', 'Journal Article']",England,Scand J Infect Dis,Scandinavian journal of infectious diseases,0215333,"['0 (Antifungal Agents)', '7XU7A7DROE (Amphotericin B)']",IM,"['Adult', 'Amphotericin B/administration & dosage/therapeutic use', 'Antifungal Agents/administration & dosage/therapeutic use', 'Aspergillosis/*complications/diagnosis/drug therapy', 'Bone Marrow Transplantation/*adverse effects', 'Female', 'Granulocytes', 'Humans', 'Immunocompromised Host', 'Leukemia, Myeloid, Acute/complications', 'Leukocyte Transfusion', 'Neutropenia/microbiology', 'Sinusitis/*complications/*microbiology/surgery']",1997/01/01 00:00,1997/11/14 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/11/14 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.3109/00365549709011849 [doi]'],ppublish,Scand J Infect Dis. 1997;29(4):436-8. doi: 10.3109/00365549709011849.,,,,,,,,,,,,,,,
