PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,RN,SB,MH,GR,PMC,CI,CN,CIN,MID,OTO,OT,EIN,CON,SI,TT,IR,FIR,GN,OID,PS,FPS,COIS
21547036,NLM,PubMed-not-MEDLINE,20170823,20211020,1938-1964 (Electronic) 1938-1964 (Linking),2,1,2011 Jan,Divide and conquer: Blocking graft versus host but not graft versus leukemia T cells with agonist BTLA co-inhibitory signals.,29-32,"One of the main objectives in allogeneic hematopoietic stem cell transplantation (aHSCT) research is the prevention of graft versus host disease (GVHD) while maintaining the graft versus leukemia/lymphoma (GVL) effect. Whether these two responses generated by donor T cells can be sufficiently separated and controlled remains controversial. While various approaches have been tested to achieve this goal, success has been relatively limited. Lymphocyte responses are negatively regulated by a series of receptors that function along with antigen receptors to deliver co-inhibitory signals. B and T lymphocyte associated (BTLA) is a novel co-inhibitory molecule expressed by activated T cells, B cells and other immune cells. A study by Albring et al. has now shown in a murine model that a single injection of agonistic anti-BTLA monoclonal antibody can inhibit GVHD long-term while maintaining GVL responses and immunity to infection. These studies suggest that future development of biologics to harness the function of co-inhibitory signals will be an important approach in the prevention of autoimmunity and GVHD and in protocols to achieve transplantation tolerance.","['Thangavelu, Govindarajan', 'Anderson, Colin C']","['Thangavelu G', 'Anderson CC']","['Departments of Surgery and Medical Microbiology and Immunology, and Alberta Diabetes Institute; University of Alberta; Edmonton, AB Canada.']",['eng'],['Journal Article'],United States,Chimerism,Chimerism,101540510,2011/05/07 06:00,2011/05/07 06:01,['2011/05/07 06:00'],"['2011/01/30 00:00 [received]', '2011/02/05 00:00 [revised]', '2011/02/07 00:00 [accepted]', '2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/05/07 06:01 [medline]']",['10.4161/chim.2.1.15083 [doi]'],ppublish,Chimerism. 2011 Jan;2(1):29-32. doi: 10.4161/chim.2.1.15083.,10.4161/chim.2.1.15083 [doi],,,,,,PMC3084956,,,,,,,,,,,,,,,,,
21547032,NLM,PubMed-not-MEDLINE,20170823,20211020,1938-1964 (Electronic) 1938-1964 (Linking),2,1,2011 Jan,Recurrent disease or donor cell leukemia?: Brain teaser after allogeneic bone marrow transplantation.,19-20,"Allogeneic bone marrow transplantation (allo-BMT) is the treatment of choice for many patients with poor prognosis or refractory leukemia. Chimerism and residual tumor load after allo-BMT are widely monitored to detect impending graft rejection and the early phase of relapse. In most cases, the malignant cell population during post-transplant relapse contains host-derived cells, but the leukemic clone can rarely be of donor-cell origin. Various genetic tests with different strategies, targets and sensitivities are available for donor-host discrimination. However, changes in the genomic material of the dominant host cell population as a result of clonal evolution and/or clonal selection can hamper the correct identification of the origin of aberrant cells after allo-BMT, thus confounding the assessment of the chimeric state. Consequently, a good knowledge of the techniques applied in clinical practice and careful interpretation of their results are essential. A lack of host-specific markers at the time of clinical relapse is not adequate for verifying the presence of donor cell leukemia, and unequivocal demonstration of donor-specific markers is also required.","['Alpar, Donat']",['Alpar D'],"['Department of Pathology; University of Pecs; Pecs, Hungary.']",['eng'],['Journal Article'],United States,Chimerism,Chimerism,101540510,2011/05/07 06:00,2011/05/07 06:01,['2011/05/07 06:00'],"['2010/12/29 00:00 [received]', '2011/01/05 00:00 [accepted]', '2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/05/07 06:01 [medline]']",['10.4161/chim.2.1.14726 [doi]'],ppublish,Chimerism. 2011 Jan;2(1):19-20. doi: 10.4161/chim.2.1.14726.,10.4161/chim.2.1.14726 [doi],,,,,,PMC3084952,,,,,,,,,,,,,,,,,
21546964,NLM,MEDLINE,20110705,20211020,1546-170X (Electronic) 1078-8956 (Linking),17,5,2011 May,Antitumor properties of histamine in vivo.,537; author reply 537-8,,"['Thoren, Fredrik B', 'Aurelius, Johan', 'Martner, Anna']","['Thoren FB', 'Aurelius J', 'Martner A']",,['eng'],"['Comment', 'Letter']",United States,Nat Med,Nature medicine,9502015,2011/05/07 06:00,2011/07/06 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/07/06 06:00 [medline]']","['nm0511-537a [pii]', '10.1038/nm0511-537a [doi]']",ppublish,Nat Med. 2011 May;17(5):537; author reply 537-8. doi: 10.1038/nm0511-537a.,10.1038/nm0511-537a [doi],,"['0 (Antineoplastic Agents)', '820484N8I3 (Histamine)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Histamine/deficiency/*pharmacology', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy', 'Mice', 'Myeloid Cells/drug effects', 'Neoplastic Stem Cells/drug effects']",,,,,,,,,,['Nat Med. 2011 Jan;17(1):87-95. PMID: 21170045'],,,,,,,,,
21546903,NLM,MEDLINE,20120201,20211020,1476-5403 (Electronic) 1350-9047 (Linking),18,11,2011 Nov,"Pro-apoptotic activity of inhibitory PAS domain protein (IPAS), a negative regulator of HIF-1, through binding to pro-survival Bcl-2 family proteins.",1711-25,"Inhibitory PAS (Per/Arnt/Sim) domain protein (IPAS) is a dominant negative transcription factor that represses hypoxia-inducible factor 1 (HIF-1) activity. In this study, we show that IPAS also functions as a pro-apoptotic protein through binding to pro-survival Bcl-2 family members. In a previous paper, we reported that NF-kappaB-dependent IPAS induction by cobalt chloride repressed the hypoxic response in PC12 cells. We found that prolonged incubation under the same conditions caused apoptosis in PC12 cells. Repression of IPAS induction protected cells from apoptosis. Furthermore, knockdown of IPAS recovered cell viability. EGFP-IPAS protein was localized in both the nucleus and the cytoplasm, with a large fraction associated with mitochondria. Mitochondrial IPAS induced mitochondria depolarization and caspase-3 activation. Immunoprecipitation assays revealed that IPAS is associated with Bcl-x(L), Bcl-w and Mcl-1. The association of IPAS with Bcl-x(L) was also observed in living cells by the FLIM-based FRET analysis, indicating direct binding between the two proteins. IPAS contributed to dysfunction of Bcl-x(L) by inhibiting the interaction of Bcl-x(L) with Bax. These results demonstrate that IPAS functions as a dual function protein involved in transcription repression and apoptosis.","['Torii, S', 'Goto, Y', 'Ishizawa, T', 'Hoshi, H', 'Goryo, K', 'Yasumoto, K', 'Fukumura, H', 'Sogawa, K']","['Torii S', 'Goto Y', 'Ishizawa T', 'Hoshi H', 'Goryo K', 'Yasumoto K', 'Fukumura H', 'Sogawa K']","['Department of Biomolecular Sciences, Graduate School of Life Sciences, Tohoku University, Aoba-ku, Sendai, Japan.']",['eng'],['Journal Article'],England,Cell Death Differ,Cell death and differentiation,9437445,2011/05/07 06:00,2012/02/02 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2012/02/02 06:00 [medline]']","['cdd201147 [pii]', '10.1038/cdd.2011.47 [doi]']",ppublish,Cell Death Differ. 2011 Nov;18(11):1711-25. doi: 10.1038/cdd.2011.47. Epub 2011 May 6.,10.1038/cdd.2011.47 [doi],20110506,"['0 (Bcl2l2 protein, rat)', '0 (Hif3a protein, rat)', '0 (Hypoxia-Inducible Factor 1)', '0 (Hypoxia-Inducible Factor 1, alpha Subunit)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (RNA, Small Interfering)', '0 (Transcription Factors)', '0 (bcl-X Protein)', '3G0H8C9362 (Cobalt)', 'EC 3.4.22.- (Caspase 3)', 'EVS87XF13W (cobaltous chloride)']",IM,"['Animals', '*Apoptosis', 'Caspase 3/metabolism', 'Cell Line', 'Cobalt/pharmacology', 'Humans', 'Hypoxia-Inducible Factor 1/antagonists & inhibitors/genetics/*metabolism', 'Hypoxia-Inducible Factor 1, alpha Subunit/*metabolism', 'Mitochondria/physiology', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Protein Binding', 'Proto-Oncogene Proteins c-bcl-2/*metabolism', 'RNA Interference', 'RNA, Small Interfering/metabolism', 'Rats', 'Transcription Factors/genetics/*metabolism', 'bcl-X Protein/metabolism']",,PMC3190112,,,,,,,,,,,,,,,,,
21546902,NLM,MEDLINE,20111011,20130304,1476-5551 (Electronic) 0887-6924 (Linking),25,8,2011 Aug,Very early/early relapses of acute lymphoblastic leukemia show unexpected changes of clonal markers and high heterogeneity in response to initial and relapse treatment.,1305-13,"Minimal residual disease (MRD) quantified after induction treatment of childhood acute lymphoblastic leukemia (ALL) predicts risk of relapse. It has been assumed that early relapses derive from a residual population of leukemic cells, which is still present after induction and that relapsed disease will consequently be more resistant to treatment. To test these hypotheses, we performed a prospective study on patients treated according to the frontline-trial ALL-BFM 2000, which used MRD response for risk-group stratification. Patients (n=45) showed a median time to relapse of 1.5 years. In 89% of patients at least one T-cell-receptor/immunoglobulin gene rearrangement chosen for initial MRD quantification remained stable; however, at least one of the preferred markers for MRD stratification at relapse was different to diagnosis in 50% of patients. A similar proportion of very early, early and late relapses appeared to gain a marker at relapse although backtracking-analysis revealed that in 77% of cases, the gained markers were present as small sub-clones at initial diagnosis. Comparing initial and relapse MRD response to induction, 38% of patients showed a similar, 38% a better and 25% a poorer response after relapse. These data demonstrate an unexpectedly high clonal heterogeneity among very early/early relapses and challenge some current assumptions about relapsed ALL.","['Eckert, C', 'Flohr, T', 'Koehler, R', 'Hagedorn, N', 'Moericke, A', 'Stanulla, M', 'Kirschner-Schwabe, R', 'Cario, G', 'Stackelberg, Av', 'Bartram, C R', 'Henze, G', 'Schrappe, M', 'Schrauder, A']","['Eckert C', 'Flohr T', 'Koehler R', 'Hagedorn N', 'Moericke A', 'Stanulla M', 'Kirschner-Schwabe R', 'Cario G', 'Stackelberg A', 'Bartram CR', 'Henze G', 'Schrappe M', 'Schrauder A']","['Department of Pediatric Oncology/Hematology, Charite Universitatsmedizin Berlin, Berlin, Germany. cornelia.eckert@charite.de']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,2011/05/07 06:00,2011/10/12 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/10/12 06:00 [medline]']","['leu201189 [pii]', '10.1038/leu.2011.89 [doi]']",ppublish,Leukemia. 2011 Aug;25(8):1305-13. doi: 10.1038/leu.2011.89. Epub 2011 May 6.,10.1038/leu.2011.89 [doi],20110506,"['0 (Receptors, Antigen, T-Cell)']",IM,"['Child', 'Child, Preschool', 'Female', 'Gene Rearrangement', 'Genes, Immunoglobulin', 'Humans', 'Male', 'Neoplasm, Residual', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/therapy', 'Prospective Studies', 'Receptors, Antigen, T-Cell/genetics', 'Recurrence']",,,,,,,,,,,,,,,,,,,
21546901,NLM,MEDLINE,20111011,20171116,1476-5551 (Electronic) 0887-6924 (Linking),25,8,2011 Aug,A novel role of the CX3CR1/CX3CL1 system in the cross-talk between chronic lymphocytic leukemia cells and tumor microenvironment.,1268-77,"Several chemokines/chemokine receptors such as CCR7, CXCR4 and CXCR5 attract chronic lymphocytic leukemia (CLL) cells to specific microenvironments. Here we have investigated whether the CX(3)CR1/CX(3)CL1 axis is involved in the interaction of CLL with their microenvironment. CLL cells from 52 patients expressed surface CX(3)CR1 and CX(3)CL1 and released constitutively soluble CX(3)CL1. One third of these were attracted in vitro by soluble CX(3)CL1. CX(3)CL1-induced phosphorylation of PI3K, Erk1/2, p38, Akt and Src was involved in induction of CLL chemotaxis. Leukemic B cells upregulated CXCR4 upon incubation with CX(3)CL1 and this was paralleled by increased chemotaxis to CXCL12. Akt phosphorylation was involved in CX(3)CL1-induced upregulation of CXCR4 on CLL. In proliferation centers from CLL lymph node and bone marrow, CX(3)CL1 was expressed by CLL cells whereas CX(3)CR1 was detected in CLL and stromal cells. Nurselike cells (NLCs) generated from CLL patient blood co-expressed surface CX(3)CR1 and CX(3)CL1, but did not secrete soluble CX(3)CL1. Only half of NLC cell fractions were attracted in vitro by CX(3)CL1. In conclusion, the CX(3)CR1/CX(3)CL1 system may contribute to interactions between CLL cells and tumor microenvironment by increasing CXCL12-mediated attraction of leukemic cells to NLC and promoting directly adhesion of CLL cells to NLC.","['Ferretti, E', 'Bertolotto, M', 'Deaglio, S', 'Tripodo, C', 'Ribatti, D', 'Audrito, V', 'Blengio, F', 'Matis, S', 'Zupo, S', 'Rossi, D', 'Ottonello, L', 'Gaidano, G', 'Malavasi, F', 'Pistoia, V', 'Corcione, A']","['Ferretti E', 'Bertolotto M', 'Deaglio S', 'Tripodo C', 'Ribatti D', 'Audrito V', 'Blengio F', 'Matis S', 'Zupo S', 'Rossi D', 'Ottonello L', 'Gaidano G', 'Malavasi F', 'Pistoia V', 'Corcione A']","['Laboratory of Oncology, IRCCS G. Gaslini, Genova, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,2011/05/07 06:00,2011/10/12 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/10/12 06:00 [medline]']","['leu201188 [pii]', '10.1038/leu.2011.88 [doi]']",ppublish,Leukemia. 2011 Aug;25(8):1268-77. doi: 10.1038/leu.2011.88. Epub 2011 May 6.,10.1038/leu.2011.88 [doi],20110506,"['0 (Antigens, CD)', '0 (Antigens, Differentiation, Myelomonocytic)', '0 (CD68 antigen, human)', '0 (CX3C Chemokine Receptor 1)', '0 (CX3CL1 protein, human)', '0 (CX3CR1 protein, human)', '0 (Chemokine CX3CL1)', '0 (Receptors, Chemokine)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD/analysis', 'Antigens, Differentiation, Myelomonocytic/analysis', 'CX3C Chemokine Receptor 1', '*Cell Communication', 'Chemokine CX3CL1/*physiology', 'Chemotaxis', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology/*pathology', 'Lymph Nodes/metabolism', 'Male', 'Middle Aged', 'Phosphorylation', 'Proto-Oncogene Proteins c-akt/metabolism', 'Receptors, Chemokine/*physiology', 'Signal Transduction', '*Tumor Microenvironment']",,,,,,,,,,,,,,,,,,,
21546829,NLM,MEDLINE,20111027,20211020,1531-7048 (Electronic) 1065-6251 (Linking),18,4,2011 Jul,The spectrum of large granular lymphocyte leukemia and Felty's syndrome.,254-9,"PURPOSE OF REVIEW: Patients with chronic large granular lymphocyte (LGL) leukemia often have rheumatoid arthritis (RA), neutropenia and splenomegaly, thereby resembling the manifestations observed in patients with Felty's syndrome, which is a rare complication of RA characterized by neutropenia and splenomegaly. Both entities have similar clinical and laboratory presentation, as well as a common genetic determinant, HLA-DR4, indicating they may be part of the same disease spectrum. This review paper seeks to discuss the underlying pathogenesis and therapeutic algorithm of RA, neutropenia and splenomegaly in the spectrum of LGL leukemia and Felty's syndrome. RECENT FINDINGS: We hypothesize that there may be a common pathogenic mechanism between LGL leukemia and typical Felty's syndrome. Phenotypic and functional data have strongly suggested that CD3 LGL leukemia is antigen-activated. Aberrations in the T-cell repertoire with the emergence of oligoclonal/clonal lymphoid populations have been found to play a pivotal role in pathogenesis of RA. The biologic properties of the pivotal T cell involved in RA pathogenesis are remarkably similar to those in leukemic LGL. SUMMARY: RA-associated T-cell LGL leukemia and articular manifestations of typical Felty's syndrome are not distinguishable. A common pathogenetic link between LGL leukemia and RA is proposed.","['Liu, Xin', 'Loughran, Thomas P Jr']","['Liu X', 'Loughran TP Jr']","['Department of Medicine, Penn State Hershey Cancer Institute, Pennsylvania State University College of Medicine, Hershey, Pennsylvania 17033-0850, USA. Xliu2@hmc.psu.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",United States,Curr Opin Hematol,Current opinion in hematology,9430802,2011/05/07 06:00,2011/10/28 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/10/28 06:00 [medline]']",['10.1097/MOH.0b013e32834760fb [doi]'],ppublish,Curr Opin Hematol. 2011 Jul;18(4):254-9. doi: 10.1097/MOH.0b013e32834760fb.,10.1097/MOH.0b013e32834760fb [doi],,['0 (HLA-DR4 Antigen)'],IM,"['Arthritis, Rheumatoid/immunology/*pathology', 'Felty Syndrome/immunology/*pathology', 'HLA-DR4 Antigen/immunology', 'Histocompatibility Testing', 'Humans', 'Leukemia, Large Granular Lymphocytic/immunology/*pathology', 'Neutropenia/immunology/pathology']","['R01 CA098472/CA/NCI NIH HHS/United States', 'R01 CA133525/CA/NCI NIH HHS/United States', 'R01CA133525/CA/NCI NIH HHS/United States', 'R01CA098472/CA/NCI NIH HHS/United States']",PMC4377227,,,,['NIHMS671043'],,,,,,,,,,,,,
21546570,NLM,MEDLINE,20110929,20211020,1538-7445 (Electronic) 0008-5472 (Linking),71,13,2011 Jul 1,Navitoclax (ABT-263) accelerates apoptosis during drug-induced mitotic arrest by antagonizing Bcl-xL.,4518-26,"Combining microtubule-targeting antimitotic drugs with targeted apoptosis potentiators is a promising new chemotherapeutic strategy to treat cancer. In this study, we investigate the cellular mechanism by which navitoclax (previously called ABT-263), a Bcl-2 family inhibitor, potentiates apoptosis triggered by paclitaxel and an inhibitor of kinesin-5 (K5I, also called a KSP inhibitor), across a panel of epithelial cancer lines. By using time-lapse microscopy, we showed that navitoclax has little effect on cell death during interphase, but strongly accelerates apoptosis during mitotic arrest, and greatly increases the fraction of apoptosis-resistant cells that die. By systematically knocking down individual Bcl-2 proteins, we determined that Mcl-1 and Bcl-xL are the primary negative regulators of apoptosis during prolonged mitotic arrest. Mcl-1 levels decrease during mitotic arrest because of an imbalance between synthesis and turnover, and turnover depends in part on the MULE/HUWE1 E3 ligase. The combination of Mcl-1 loss with inhibition of Bcl-xL by navitoclax causes rapid apoptosis in all lines tested. Variation in expression levels of Mcl-1 and Bcl-xL largely determines variation in response to antimitotics alone, and antimitotics combined with navitoclax, across our panel. We concluded that Bcl-xL is a critical target of Bcl-2 family inhibitors for enhancing the lethality of antimitotic drugs in epithelial cancers, and combination treatment with navitoclax and a spindle specific antimitotic, such as a K5I, might be more effective than paclitaxel alone.","['Shi, Jue', 'Zhou, Yuan', 'Huang, Hsiao-Chun', 'Mitchison, Timothy J']","['Shi J', 'Zhou Y', 'Huang HC', 'Mitchison TJ']","['Center for Quantitative Systems Biology and Department of Physics, Hong Kong Baptist University, Hong Kong, China. jshi@hkbu.edu.hk']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,2011/05/07 06:00,2011/10/01 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/10/01 06:00 [medline]']","['0008-5472.CAN-10-4336 [pii]', '10.1158/0008-5472.CAN-10-4336 [doi]']",ppublish,Cancer Res. 2011 Jul 1;71(13):4518-26. doi: 10.1158/0008-5472.CAN-10-4336. Epub 2011 May 5.,10.1158/0008-5472.CAN-10-4336 [doi],20110505,"['0 (Aniline Compounds)', '0 (Apoptosis Regulatory Proteins)', '0 (BCL2L1 protein, human)', '0 (BCL2L11 protein, human)', '0 (Bcl-2-Like Protein 11)', '0 (Membrane Proteins)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Sulfonamides)', '0 (bcl-X Protein)', 'P88XT4IS4D (Paclitaxel)', 'XKJ5VVK2WD (navitoclax)']",IM,"['Aniline Compounds/administration & dosage/*pharmacology', 'Antineoplastic Combined Chemotherapy Protocols/*pharmacology', 'Apoptosis/*drug effects', 'Apoptosis Regulatory Proteins/metabolism', 'Bcl-2-Like Protein 11', 'Cell Line, Tumor', 'Drug Synergism', 'Gene Knockdown Techniques', 'HeLa Cells', 'Humans', 'Membrane Proteins/metabolism', 'Mitosis/drug effects', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Paclitaxel/administration & dosage/pharmacology', 'Proto-Oncogene Proteins/metabolism', 'Proto-Oncogene Proteins c-bcl-2/biosynthesis/deficiency/metabolism', 'Sulfonamides/administration & dosage/*pharmacology', 'bcl-X Protein/*antagonists & inhibitors']","['R01 CA164448/CA/NCI NIH HHS/United States', 'P01 CA139980-02/CA/NCI NIH HHS/United States', 'CA139980/CA/NCI NIH HHS/United States', 'P01 CA139980/CA/NCI NIH HHS/United States', 'P01 CA139980-01A1/CA/NCI NIH HHS/United States']",PMC3129452,['(c)2011 AACR.'],,,['NIHMS295473'],,,,,,,,,,,,,
21546568,NLM,MEDLINE,20110929,20120605,1538-7445 (Electronic) 0008-5472 (Linking),71,13,2011 Jul 1,Stromal niche cells protect early leukemic FLT3-ITD+ progenitor cells against first-generation FLT3 tyrosine kinase inhibitors.,4696-706,"Targeting constitutively activated FMS-like tyrosine kinase 3 [(FLT3); FLT3-ITD] with tyrosine kinase inhibitor (TKI) in acute myeloid leukemia (AML) leads to clearance of blasts in the periphery but not in the bone marrow, suggesting a protective effect of the marrow niche on leukemic stem cells. In this study, we examined the effect of stromal niche cells on CD34(+) progenitors from patients with FLT3-ITD(+) or wild-type FLT3 (FLT3-WT) AML treated with the TKIs SU5614 or sorafenib. TKIs effectively and specifically inhibited FLT3 and increased the fraction of undivided progenitors in both FLT3-ITD(+) and FLT3-WT samples. Treatment with SU5614 and sorafenib also reduced the number of mature leukemic progenitors, whereas contact with stroma protected against this cell loss. In contrast, primitive long-term progenitors from both FLT3-ITD(+) and FLT3-WT AML were resistant to TKIs. Additional contact with niche cells significantly expanded long-term FLT3-ITD(+) but not FLT3-WT progenitors in the presence of SU5614 but not that of sorafenib. Thus, TKIs with first-generation inhibitors fail to eradicate early leukemic stem/progenitor cells in FLT3-ITD(+) AML. Further, we defined a specific interaction between FLT3-ITD(+) progenitors and niche cells that enables the maintenance of leukemic progenitors in the presence of TKI. Collectively, our findings suggest that molecular therapy may have unpredicted effects on leukemic progenitors, underscoring the necessity of developing strategies to selectively eliminate the malignant stem cell clone.","['Parmar, Amanda', 'Marz, Stefanie', 'Rushton, Sally', 'Holzwarth, Christina', 'Lind, Katarina', 'Kayser, Sabine', 'Dohner, Konstanze', 'Peschel, Christian', 'Oostendorp, Robert A J', 'Gotze, Katharina S']","['Parmar A', 'Marz S', 'Rushton S', 'Holzwarth C', 'Lind K', 'Kayser S', 'Dohner K', 'Peschel C', 'Oostendorp RA', 'Gotze KS']","['III Medizinische Klinik, Technische Universitat Munchen, Munich, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,2011/05/07 06:00,2011/10/01 06:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/10/01 06:00 [medline]']","['0008-5472.CAN-10-4136 [pii]', '10.1158/0008-5472.CAN-10-4136 [doi]']",ppublish,Cancer Res. 2011 Jul 1;71(13):4696-706. doi: 10.1158/0008-5472.CAN-10-4136. Epub 2011 May 5.,10.1158/0008-5472.CAN-10-4136 [doi],20110505,"['0 (Protein Kinase Inhibitors)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (Flt3 protein, mouse)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Adult', 'Aged', 'Animals', 'Cell Communication/*physiology', 'Drug Resistance, Neoplasm', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/enzymology/*pathology', 'Male', 'Mice', 'Middle Aged', 'Neoplastic Stem Cells/*pathology', 'Protein Kinase Inhibitors/*pharmacology', 'Stromal Cells/*pathology', 'Tandem Repeat Sequences', 'Young Adult', 'fms-Like Tyrosine Kinase 3/*antagonists & inhibitors/genetics/metabolism']",,,['(c)2011 AACR.'],,,,,,,,,,,,,,,,
21546505,NLM,MEDLINE,20111207,20211020,1592-8721 (Electronic) 0390-6078 (Linking),96,8,2011 Aug,Reassessment of small lymphocytic lymphoma in the era of monoclonal B-cell lymphocytosis.,1144-52,"BACKGROUND: In the 2008 World Health Organization classification, small lymphocytic lymphoma is defined as a neoplasm with the tissue morphology and immunophenotype of chronic lymphocytic leukemia, but with absence of leukemia. Minimal criteria of tissue involvement to separate small lymphocytic lymphoma from monoclonal B-cell lymphocytosis have not been defined. DESIGN AND METHODS: We reviewed the clinicopathological features of 36 patients with extramedullary tissue biopsies containing chronic lymphocytic leukemia-type cells and less than 5x10(9)/L peripheral blood monoclonal B cells. Pathological features (extent and patterns of involvement, architectural preservation, presence of proliferation centers) as well as cytogenetic and radiological findings were examined in relation to clinical outcome. RESULTS: The biopsies were performed to evaluate lymphadenopathy in 20 patients and for other reasons (most frequently staging of a non-hematologic neoplasm) in 16 patients. At latest follow-up (median 23 months), 21 untreated patients had no or stable lymphadenopathy, 3 had regressed lymphadenopathy, and 12 had developed progressive lymphadenopathy and/or received therapy for chronic lymphocytic leukemia/small lymphocytic lymphoma. Features associated with progression/treatment included lymph nodes 1.5 cm or greater on imaging studies (P=0.01) and presence of proliferation centers in the biopsied tissue (P=0.004). Neither the size nor extent of involvement of the excised lymph node correlated with progression/treatment. CONCLUSIONS: Our findings suggest that biopsies containing chronic lymphocytic leukemia-type cells, but lacking proliferation centers and with non-enlarged or only slightly enlarged lymph nodes on imaging, represent a very indolent disease that may best be considered a tissue equivalent of monoclonal B-cell lymphocytosis rather than overt small lymphocytic lymphoma. We propose that such cases be designated as tissue involvement by chronic lymphocytic leukemia/small lymphocytic lymphoma-like cells of uncertain significance.","['Gibson, Sarah E', 'Swerdlow, Steven H', 'Ferry, Judith A', 'Surti, Urvashi', 'Dal Cin, Paola', 'Harris, Nancy Lee', 'Hasserjian, Robert P']","['Gibson SE', 'Swerdlow SH', 'Ferry JA', 'Surti U', 'Dal Cin P', 'Harris NL', 'Hasserjian RP']","['Department of Pathology, Massachusetts General Hospital, 55 Fruit Street, Boston, MA 02114, USA.']",['eng'],['Editorial'],Italy,Haematologica,Haematologica,0417435,2011/05/07 06:00,2011/12/13 00:00,['2011/05/07 06:00'],"['2011/05/07 06:00 [entrez]', '2011/05/07 06:00 [pubmed]', '2011/12/13 00:00 [medline]']","['haematol.2011.042333 [pii]', '10.3324/haematol.2011.042333 [doi]']",ppublish,Haematologica. 2011 Aug;96(8):1144-52. doi: 10.3324/haematol.2011.042333. Epub 2011 May 5.,10.3324/haematol.2011.042333 [doi],20110505,,IM,"['Aged', 'Aged, 80 and over', 'Cytogenetic Analysis', 'Female', 'Follow-Up Studies', 'Humans', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/pathology', 'Lymph Nodes/pathology', 'Lymphocytosis/*diagnosis/pathology', 'Male', 'Middle Aged']",['UL1 TR000005/TR/NCATS NIH HHS/United States'],PMC3148908,,,['Haematologica. 2011 Aug;96(8):1089-91. PMID: 21810972'],,,,,,,,,,,,,,
