PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,CI,PMC,CON,CIN,GR,MID,OTO,OT,SI,TT,CN,EIN,RIN,OID,DA,DRDT,CTDT,PB,BTI,CDAT,IR,FIR,COIS,PS,FPS,GN
23545198,NLM,MEDLINE,20130930,20181202,1995-9133 (Electronic) 1684-1182 (Linking),46,2,2013 Apr,Skin and soft tissue infection caused by Aeromonas species in cancer patients.,144-6,10.1016/j.jmii.2013.02.006 [doi] S1684-1182(13)00032-7 [pii],,"['Chao, Chien-Ming', 'Lai, Chih-Cheng', 'Gau, Shiow-Jen', 'Hsueh, Po-Ren']","['Chao CM', 'Lai CC', 'Gau SJ', 'Hsueh PR']",,['eng'],"['Letter', 'Comment']",England,J Microbiol Immunol Infect,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",100956211,,IM,"['Aeromonas hydrophila/*isolation & purification', 'Female', 'Gram-Negative Bacterial Infections/*microbiology', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/*drug therapy', 'Sepsis/*microbiology']",2013/04/03 06:00,2013/10/01 06:00,['2013/04/03 06:00'],"['2013/02/06 00:00 [received]', '2013/02/18 00:00 [accepted]', '2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/10/01 06:00 [medline]']","['S1684-1182(13)00032-7 [pii]', '10.1016/j.jmii.2013.02.006 [doi]']",ppublish,J Microbiol Immunol Infect. 2013 Apr;46(2):144-6. doi: 10.1016/j.jmii.2013.02.006. Epub 2013 Mar 29.,20130329,,,['J Microbiol Immunol Infect. 2012 Apr;45(2):154-7. PMID: 22265850'],,,,,,,,,,,,,,,,,,,,,,,
23545186,NLM,MEDLINE,20130805,20190722,1530-8561 (Electronic) 0009-9147 (Linking),59,6,2013 Jun,Standardized quantitative assessment of BCR-ABL1 transcripts on an international scale.,874-5,10.1373/clinchem.2013.204941 [doi],,"['Bolufer, Pascual']",['Bolufer P'],,['eng'],"['Editorial', 'Comment']",England,Clin Chem,Clinical chemistry,9421549,,IM,"['*Genes, abl', 'Genetic Testing/*methods', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction/*standards', '*Severity of Illness Index']",2013/04/03 06:00,2013/08/06 06:00,['2013/04/03 06:00'],"['2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/08/06 06:00 [medline]']","['clinchem.2013.204941 [pii]', '10.1373/clinchem.2013.204941 [doi]']",ppublish,Clin Chem. 2013 Jun;59(6):874-5. doi: 10.1373/clinchem.2013.204941. Epub 2013 Apr 1.,20130401,,,['Clin Chem. 2013 Jun;59(6):938-48. PMID: 23471097'],,,,,,,,,,,,,,,,,,,,,,,
23545158,NLM,MEDLINE,20131112,20161125,1872-8057 (Electronic) 0303-7207 (Linking),372,1-2,2013 Jun 15,Phenotype and steroidogenic potential of PDGFRalpha-positive rat neonatal peritubular cells.,96-104,10.1016/j.mce.2013.03.019 [doi] S0303-7207(13)00115-9 [pii],"Platelet-derived growth factor receptor alpha (PDGFRalpha)-positive peritubular cells (PTCs) are suggested to be putative stem Leydig cells. At present little is known about their phenotype and steroidogenic potential. We isolated highly purified PDGFRalpha-positive neonatal PTCs by magnetic cell sorting (MACS) from 8dpp rat testes and characterized them in vitro. We have demonstrated that PDGFRalpha-positive PTCs have a mixed phenotype. They expressed PTC-specific genes (alphaSma, Myh11), pluripotency markers (Pou5f1, nestin, Lifr) and genes encoding steroidogenic enzymes. Treatment with the cAMP-analog (Bu)2cAMP for 7 days upregulated steroidogenic enzyme gene expression and significantly increased their steroidogenic potential. The main end-point steroid was progesterone due to rapid inactivation of CYP17 and 17betaHSD. Long-term culturing of PDGFRalpha-positive PTCs increased the expression of Myh11, and treatment with (Bu)2cAMP attenuated this process. All together, our findings support the hypothesis that neonatal PDGFRalpha-positive PTCs are steroidogenic competent progeny of stem Leydig cells (SLCs) which give rise to the adult Leydig cell lineage.","['Landreh, Luise', 'Stukenborg, Jan-Bernd', 'Soder, Olle', 'Svechnikov, Konstantin']","['Landreh L', 'Stukenborg JB', 'Soder O', 'Svechnikov K']","[""Department of Women's and Children's Health, Pediatric Endocrinology Unit, Karolinska Institutet and University Hospital, Solna, Sweden.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Mol Cell Endocrinol,Molecular and cellular endocrinology,7500844,"['0 (3 beta-hydroxysteroid oxidoreductase-delta(5) 3-ketosteroid isomerase)', '0 (Gonadal Steroid Hormones)', '0 (Intermediate Filament Proteins)', '0 (Leukemia Inhibitory Factor Receptor alpha Subunit)', '0 (Lifr protein, rat)', '0 (Multienzyme Complexes)', '0 (Nerve Tissue Proteins)', '0 (Nes protein, rat)', '0 (Nestin)', '3XMK78S47O (Testosterone)', '4G7DS2Q64Y (Progesterone)', 'E0399OZS9N (Cyclic AMP)', 'EC 1.1.1.145 (Progesterone Reductase)', 'EC 1.14.14.19 (CYP17A1 protein, rat)', 'EC 1.14.14.19 (Steroid 17-alpha-Hydroxylase)', 'EC 1.14.15.6 (Cholesterol Side-Chain Cleavage Enzyme)', 'EC 2.7.10.1 (Receptor, Platelet-Derived Growth Factor alpha)', 'EC 5.3.3.- (Steroid Isomerases)']",IM,"['Animals', 'Animals, Newborn', 'Cell Differentiation', 'Cholesterol Side-Chain Cleavage Enzyme/genetics/metabolism', 'Cyclic AMP/metabolism', 'Gonadal Steroid Hormones/biosynthesis', 'Intermediate Filament Proteins/metabolism', 'Leukemia Inhibitory Factor Receptor alpha Subunit/metabolism', 'Leydig Cells/*enzymology/metabolism', 'Male', 'Multienzyme Complexes/genetics/metabolism', 'Nerve Tissue Proteins/metabolism', 'Nestin', 'Phenotype', 'Primary Cell Culture', 'Progesterone/*biosynthesis', 'Progesterone Reductase/genetics/metabolism', 'Rats', 'Rats, Sprague-Dawley', 'Receptor, Platelet-Derived Growth Factor alpha/*metabolism', 'Second Messenger Systems', 'Seminiferous Tubules/cytology', 'Stem Cells/physiology', 'Steroid 17-alpha-Hydroxylase/genetics/metabolism', 'Steroid Isomerases/genetics/metabolism', 'Testosterone/*biosynthesis', 'Transcriptome']",2013/04/03 06:00,2013/11/13 06:00,['2013/04/03 06:00'],"['2012/10/29 00:00 [received]', '2013/03/21 00:00 [revised]', '2013/03/21 00:00 [accepted]', '2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/11/13 06:00 [medline]']","['S0303-7207(13)00115-9 [pii]', '10.1016/j.mce.2013.03.019 [doi]']",ppublish,Mol Cell Endocrinol. 2013 Jun 15;372(1-2):96-104. doi: 10.1016/j.mce.2013.03.019. Epub 2013 Mar 30.,20130330,['Copyright (c) 2013 Elsevier Ireland Ltd. All rights reserved.'],,,,,,,,,,,,,,,,,,,,,,,,,
23544940,NLM,MEDLINE,20130708,20171116,1543-2165 (Electronic) 0003-9985 (Linking),137,4,2013 Apr,Diagnostic and clinical considerations in concomitant bone marrow involvement by plasma cell myeloma and chronic lymphocytic leukemia/monoclonal B-cell lymphocytosis: a series of 15 cases and review of literature.,503-17,10.5858/arpa.2011-0696-OA [doi],"CONTEXT: Plasma cell myeloma and chronic lymphocytic leukemia are both common hematologic malignancies, sharing many epidemiologic features. Concomitant detection of the 2 conditions poses special diagnostic challenges for the pathologist. OBJECTIVE: To describe the pathologic findings in cases of concomitant bone marrow involvement by myeloma and CD5(+) monoclonal B cells and to outline the differential diagnostic possibilities, suggest a workup for correct diagnosis, and examine clinical outcome. DESIGN: Fifteen cases that met the diagnostic criteria were identified from pathology databases at 4 participating institutions. Morphologic findings were reviewed, additional immunohistochemical stains performed, and flow cytometric, cytogenetic, and relevant laboratory and clinical information was summarized. Previously published cases were searched from electronic databases and cross-references. RESULTS: Most patients (13 of 15) were older males. Often (11 of 15) they presented clinically with myeloma, yet had both monotypic plasma cells and B cells in the diagnostic marrow. In 4 patients, myeloma developed 24 months or later after chronic lymphocytic leukemia. In 7 patients, myeloma and CD5(+) B cells showed identical immunoglobulin light-chain restriction. Primary differential diagnoses include lymphoplasmacytic lymphoma, marginal zone lymphoma, and chronic lymphocytic leukemia with plasmacytoid differentiation. CD56 and/or cyclin D1 expression by plasma cells was helpful for correct diagnosis. Most patients in our cohort and published reports were treated for plasma cell myeloma. CONCLUSIONS: Concomitant detection of myeloma and chronic lymphocytic leukemia in the bone marrow is a rare event, which must be carefully differentiated from lymphomas with lymphoplasmacytic differentiation for correct treatment.","['Alley, Christopher L', 'Wang, Endi', 'Dunphy, Cherie H', 'Gong, Jerald Z', 'Lu, Chuanyi M', 'Boswell, Elizabeth L', 'Burchette, James', 'Lagoo, Anand S']","['Alley CL', 'Wang E', 'Dunphy CH', 'Gong JZ', 'Lu CM', 'Boswell EL', 'Burchette J', 'Lagoo AS']","['Department of Pathology, Duke University Medical Center, Durham, North Carolina 27710, USA.']",['eng'],"['Journal Article', 'Review']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,"['0 (Biomarkers, Tumor)', '0 (CD5 Antigens)', '0 (Immunoglobulin Light Chains)']",IM,"['Aged', 'Aged, 80 and over', 'B-Lymphocytes/metabolism/*pathology', 'Biomarkers, Tumor/genetics/metabolism', 'Bone Marrow/*pathology', 'CD5 Antigens/metabolism', 'Clone Cells', 'Diagnosis, Differential', 'Female', 'Gene Rearrangement, B-Lymphocyte, Light Chain', 'Humans', 'Immunoglobulin Light Chains/analysis', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/genetics/metabolism', 'Lymphocytosis/*diagnosis/genetics/metabolism', 'Lymphoma, B-Cell, Marginal Zone/diagnosis', 'Male', 'Middle Aged', 'Multiple Myeloma/*diagnosis/genetics/metabolism', 'Neoplasms, Multiple Primary/diagnosis/genetics/metabolism', 'Neoplasms, Second Primary/diagnosis/genetics/metabolism', 'Plasma Cells/metabolism/*pathology', 'Waldenstrom Macroglobulinemia/diagnosis']",2013/04/03 06:00,2013/07/09 06:00,['2013/04/03 06:00'],"['2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/07/09 06:00 [medline]']",['10.5858/arpa.2011-0696-OA [doi]'],ppublish,Arch Pathol Lab Med. 2013 Apr;137(4):503-17. doi: 10.5858/arpa.2011-0696-OA.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23544812,NLM,MEDLINE,20130802,20200413,1678-4782 (Electronic) 0021-7557 (Linking),89,1,2013 Jan-Feb,Acute lymphoblastic leukemia in infants: 20 years of experience.,64-9,10.1016/j.jped.2013.02.010 [doi] S0021-7557(13)00011-9 [pii],"OBJECTIVE: To analyze patients younger than 2 years with acute lymphoblastic leukemia, treated in the period between 1990 and 2010 in a state reference center. METHODS: This was a clinical-epidemiological, cross-sectional, observational, and descriptive study. It included patients younger than 2 years with acute lymphoblastic leukemia, treated in the period of 1990 to 2010 in a pediatric oncology unit of a state reference center, totaling 41 cases. RESULTS: All patients were white ethnicity, and 60.9% were females. Regarding age, 24.38% were younger than 6 months, 17.07% were between 6 months and 1 year, and 58.53% were older than 1 year. The age of 6 months was statistically significant for the outcome of death. Predominant signs and symptoms were fever, bruising, and petechiae. A leukocyte count > 100,000 was found in 34.14% of cases, hemoglobin count < 11 in 95.13%, and platelet count < 100,000 in 75.61. Infiltration of central nervous system was present in 12.91% of patients. According to the lineage, B-cell lineage predominated (73%), but the T-cell line was statistically significant for death. 39% of patients had disease recurrence. In relation to vital status, 70.73% of the patients died; septic shock was the main cause. CONCLUSIONS: Acute lymphoblastic leukemia in infants has a high mortality rate, especially in children under 1 year and those with T-cell derived lineage.","['Ibagy, Amanda', 'Silva, Denise B', 'Seiben, Jackline', 'Winneshoffer, Ana P F F', 'Costa, Tatiana E J B', 'Dacoregio, Juliana S', 'Costa, Imarui', 'Faraco, Daniel']","['Ibagy A', 'Silva DB', 'Seiben J', 'Winneshoffer AP', 'Costa TE', 'Dacoregio JS', 'Costa I', 'Faraco D']","['Pediatric Oncologist. Universidade Federal de Santa Catarina (UFSC), Florianopolis, SC, Brazil. amanda_ibagy@hotmail.com']",['eng'],['Journal Article'],Brazil,J Pediatr (Rio J),Jornal de pediatria,2985188R,,IM,"['Age Distribution', 'Age of Onset', 'Brazil/epidemiology', 'Central Nervous System/pathology', 'Cross-Sectional Studies', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Leukemic Infiltration', 'Leukocyte Count', 'Male', 'Platelet Count', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology/mortality/pathology', 'Sex Factors', 'Shock, Septic/mortality']",2013/04/03 06:00,2013/08/03 06:00,['2013/04/03 06:00'],"['2012/05/08 00:00 [received]', '2012/08/08 00:00 [accepted]', '2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/08/03 06:00 [medline]']","['S0021-7557(13)00011-9 [pii]', '10.1016/j.jped.2013.02.010 [doi]']",ppublish,J Pediatr (Rio J). 2013 Jan-Feb;89(1):64-9. doi: 10.1016/j.jped.2013.02.010.,,"['Copyright (c) 2013 Sociedade Brasileira de Pediatria. Published by Elsevier', 'Editora Ltda. All rights reserved.']",,,,,,,,,,,,,,,,,,,,,,,,,
23544656,NLM,MEDLINE,20131018,20161125,2211-5684 (Electronic) 2211-5684 (Linking),94,4,2013 Apr,Computed tomography and radioprotection: knowing and acting.,361-3,10.1016/j.diii.2013.03.015 [doi] S2211-5684(13)00130-7 [pii],,"['Ducou le Pointe, H']",['Ducou le Pointe H'],,['eng'],['Editorial'],France,Diagn Interv Imaging,Diagnostic and interventional imaging,101568499,,IM,"['Adolescent', 'Adult', 'Bone Marrow/diagnostic imaging/radiation effects', 'Brain/diagnostic imaging/radiation effects', 'Brain Neoplasms/etiology/mortality/prevention & control', 'Cause of Death', 'Female', 'France', 'Humans', 'Leukemia, Radiation-Induced/etiology/mortality/prevention & control', 'Male', 'Neoplasms, Radiation-Induced/etiology/mortality/prevention & control', 'Numbers Needed To Treat', 'Radiation Dosage', 'Radiation Protection/*methods', 'Radiography, Abdominal/adverse effects/methods', 'Radiography, Thoracic/adverse effects/methods', 'Tomography, X-Ray Computed/adverse effects/*methods', 'Young Adult']",2013/04/03 06:00,2013/10/19 06:00,['2013/04/03 06:00'],"['2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/10/19 06:00 [medline]']","['S2211-5684(13)00130-7 [pii]', '10.1016/j.diii.2013.03.015 [doi]']",ppublish,Diagn Interv Imaging. 2013 Apr;94(4):361-3. doi: 10.1016/j.diii.2013.03.015.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23544378,NLM,MEDLINE,20130620,20171116,0767-0974 (Print) 0767-0974 (Linking),29,3,2013 Mar,[An unexpected repressive role for Scl in the embryonic endothelium].,257-9,10.1051/medsci/2013293010 [doi],,"['Montel-Hagen, Amelie', 'Van Handel, Ben', 'Mikkola, Hanna']","['Montel-Hagen A', 'Van Handel B', 'Mikkola H']",,['fre'],['News'],France,Med Sci (Paris),Medecine sciences : M/S,8710980,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (Proto-Oncogene Proteins)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '135471-20-4 (TAL1 protein, human)']",IM,"['Animals', 'Basic Helix-Loop-Helix Transcription Factors/*physiology', 'Cell Differentiation', 'Endothelium, Vascular/*embryology', 'Fetal Heart/growth & development', 'Hematopoietic Stem Cells/physiology', 'Hematopoietic System/physiology', 'Humans', 'Myocytes, Cardiac/cytology', 'Proto-Oncogene Proteins/*physiology', 'T-Cell Acute Lymphocytic Leukemia Protein 1']",2013/04/03 06:00,2013/06/21 06:00,['2013/04/03 06:00'],"['2013/04/03 06:00 [entrez]', '2013/04/03 06:00 [pubmed]', '2013/06/21 06:00 [medline]']","['10.1051/medsci/2013293010 [doi]', 'medsci2013293p257 [pii]']",ppublish,Med Sci (Paris). 2013 Mar;29(3):257-9. doi: 10.1051/medsci/2013293010. Epub 2013 Mar 27.,20130327,,,,,,,,,,Role inattendu de Scl dans l'endothelium embryonnaire.,,,,,,,,,,,,,,,,
23544162,NLM,PubMed-not-MEDLINE,20130402,20211021,1936-5233 (Print) 1936-5233 (Linking),6,2,2013 Apr,2-hydroxyglutarate as a magnetic resonance biomarker for glioma subtyping.,92-8,,"Mutations in the isocitrate dehydrogenase (IDH) genes are frequently found in gliomas and in a fraction of acute myeloid leukemia patients. This results in the production of an oncometabolite, 2-hydroxyglutarate (2-HG). Glioma patients harboring IDH mutations have a longer survival than their wild-type counterparts. 2-HG has been detected noninvasively in gliomas with IDH mutations using magnetic resonance spectroscopy (MRS), suggesting its potential clinical relevance for identifying glioma subtypes with better prognosis. In this paper, the recent developments in the MRS detection of the 2-HG in gliomas are reviewed, including the therapeutic potentials and translational values.","['Esmaeili, Morteza', 'Vettukattil, Riyas', 'Bathen, Tone Frost']","['Esmaeili M', 'Vettukattil R', 'Bathen TF']","['Department of Circulation and Medical Imaging, Norwegian University of Science and Technology, Trondheim, Norway.']",['eng'],['Journal Article'],United States,Transl Oncol,Translational oncology,101472619,,,,2013/04/02 06:00,2013/04/02 06:01,['2013/04/02 06:00'],"['2012/11/23 00:00 [received]', '2013/01/16 00:00 [revised]', '2013/01/17 00:00 [accepted]', '2013/04/02 06:00 [entrez]', '2013/04/02 06:00 [pubmed]', '2013/04/02 06:01 [medline]']",['10.1593/tlo.12424 [doi]'],ppublish,Transl Oncol. 2013 Apr;6(2):92-8. doi: 10.1593/tlo.12424. Epub 2013 Apr 1.,20130401,,PMC3610550,,,,,,,,,,,,,,,,,,,,,,,,
23543795,NLM,PubMed-not-MEDLINE,20130402,20211021,0971-7196 (Print) 0971-7196 (Linking),36,1,2012 Apr,Filariasis in an infant with B-cell acute lymphoblastic leukemia: a rare enigma.,122-4,10.1007/s12639-011-0071-2 [doi],"Filariasis, a tropical parasitic infection, is a common public health problem in the Indian sub-continent. Occurrence of filariasis with acute lymphoblastic leukemia (ALL) is unusual, particularly in infants, since filariasis has a long incubation period of about 1 year. Though, there are case reports of leishmaniasis, malaria and other vector borne diseases seen in association with leukemias, filariasis co-existing with ALL has not been documented to the best of our knowledge. We report an incidental finding of Bancroftian filariasis in an 11 month old female already diagnosed as B-cell ALL.","['Yadav, Yogesh Kumar', 'Sipayya, Varuna', 'Khanna, Geetika', 'Gupta, Oneal']","['Yadav YK', 'Sipayya V', 'Khanna G', 'Gupta O']","['Department of Pathology, Safdarjung Hospital and V. M. M. College, New Delhi, India.']",['eng'],['Journal Article'],India,J Parasit Dis,Journal of parasitic diseases : official organ of the Indian Society for Parasitology,9713059,,,,2013/04/02 06:00,2013/04/02 06:01,['2013/04/02 06:00'],"['2011/08/05 00:00 [received]', '2011/08/17 00:00 [accepted]', '2013/04/02 06:00 [entrez]', '2013/04/02 06:00 [pubmed]', '2013/04/02 06:01 [medline]']","['10.1007/s12639-011-0071-2 [doi]', '71 [pii]']",ppublish,J Parasit Dis. 2012 Apr;36(1):122-4. doi: 10.1007/s12639-011-0071-2. Epub 2011 Sep 3.,20110903,,PMC3284616,,,,,['NOTNLM'],"['B-cell acute lymphoblastic leukemia', 'Filariasis', 'Wuchereria bancrofti']",,,,,,,,,,,,,,,,,,
23543742,NLM,MEDLINE,20130806,20211021,1083-351X (Electronic) 0021-9258 (Linking),288,20,2013 May 17,Trafficking of the transcription factor Nrf2 to promyelocytic leukemia-nuclear bodies: implications for degradation of NRF2 in the nucleus.,14569-14583,S0021-9258(19)54535-5 [pii] 10.1074/jbc.M112.437392 [doi],"Ubiquitylation of Nrf2 by the Keap1-Cullin3/RING box1 (Cul3-Rbx1) E3 ubiquitin ligase complex targets Nrf2 for proteasomal degradation in the cytoplasm and is an extensively studied mechanism for regulating the cellular level of Nrf2. Although mechanistic details are lacking, reports abound that Nrf2 can also be degraded in the nucleus. Here, we demonstrate that Nrf2 is a target for sumoylation by both SUMO-1 and SUMO-2. HepG2 cells treated with As2O3, which enhances attachment of SUMO-2/3 to target proteins, increased SUMO-2/3-modification (polysumoylation) of Nrf2. We show that Nrf2 traffics, in part, to promyelocytic leukemia-nuclear bodies (PML-NBs). Cell fractions harboring key components of PML-NBs did not contain biologically active Keap1 but contained modified Nrf2 as well as RING finger protein 4 (RNF4), a poly-SUMO-specific E3 ubiquitin ligase. Overexpression of wild-type RNF4, but not the catalytically inactive mutant, decreased the steady-state levels of Nrf2, measured in the PML-NB-enriched cell fraction. The proteasome inhibitor MG-132 interfered with this decrease, resulting in elevated levels of polysumoylated Nrf2 that was also ubiquitylated. Wild-type RNF4 accelerated the half-life (t&frac12;) of Nrf2, measured in PML-NB-enriched cell fractions. These results suggest that RNF4 mediates polyubiquitylation of polysumoylated Nrf2, leading to its subsequent degradation in PML-NBs. Overall, this work identifies Nrf2 as a target for sumoylation and provides a novel mechanism for its degradation in the nucleus, independent of Keap1.","['Malloy, Melanie Theodore', 'McIntosh, Deneshia J', 'Walters, Treniqka S', 'Flores, Andrea', 'Goodwin, J Shawn', 'Arinze, Ifeanyi J']","['Malloy MT', 'McIntosh DJ', 'Walters TS', 'Flores A', 'Goodwin JS', 'Arinze IJ']","['Department of Neuroscience and Pharmacology, School of Medicine, Meharry Medical College, Nashville, Tennessee 37208-3599.', 'Department of Neuroscience and Pharmacology, School of Medicine, Meharry Medical College, Nashville, Tennessee 37208-3599.', 'Department of Neuroscience and Pharmacology, School of Medicine, Meharry Medical College, Nashville, Tennessee 37208-3599.', 'Department of Neuroscience and Pharmacology, School of Medicine, Meharry Medical College, Nashville, Tennessee 37208-3599.', 'Department of Biochemistry and Cancer Biology, School of Medicine, Meharry Medical College, Nashville, Tennessee 37208-3599.', 'Department of Physiology, School of Medicine, Meharry Medical College, Nashville, Tennessee 37208-3599. Electronic address: iarinze@mmc.edu.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (NF-E2-Related Factor 2)', '0 (NFE2L2 protein, human)', '0 (Nuclear Proteins)', '0 (RNF4 protein, human)', '0 (Transcription Factors)']",IM,"['Cell Nucleus/metabolism', 'Fluorescence Resonance Energy Transfer', 'Genes, Reporter', 'Hep G2 Cells', 'Humans', 'Intranuclear Inclusion Bodies/metabolism', 'Leukemia, Promyelocytic, Acute/*metabolism', 'Microscopy, Fluorescence', 'NF-E2-Related Factor 2/*metabolism', 'Nuclear Proteins/*metabolism', '*Oxidative Stress', 'Protein Structure, Tertiary', 'Sumoylation', 'Transcription Factors/metabolism']",2013/04/02 06:00,2013/08/07 06:00,['2013/04/02 06:00'],"['2013/04/02 06:00 [entrez]', '2013/04/02 06:00 [pubmed]', '2013/08/07 06:00 [medline]']","['S0021-9258(19)54535-5 [pii]', '10.1074/jbc.M112.437392 [doi]']",ppublish,J Biol Chem. 2013 May 17;288(20):14569-14583. doi: 10.1074/jbc.M112.437392. Epub 2013 Mar 29.,20130329,,PMC3656310,,,"['S10 RR025497/RR/NCRR NIH HHS/United States', 'SC1 CA143985/CA/NCI NIH HHS/United States', 'T32GM07347/GM/NIGMS NIH HHS/United States', 'U01NS041071/NS/NINDS NIH HHS/United States', 'ULITR000445/PHS HHS/United States', '5R25GM059994/GM/NIGMS NIH HHS/United States', 'U54RR026140/RR/NCRR NIH HHS/United States', 'U01 NS041071/NS/NINDS NIH HHS/United States', 'SC1CA143985/CA/NCI NIH HHS/United States', 'U54 RR026140/RR/NCRR NIH HHS/United States', 'U54 CA163069/CA/NCI NIH HHS/United States', 'U54 CA091408/CA/NCI NIH HHS/United States', '5T32HL007737/HL/NHLBI NIH HHS/United States', 'S10RR0254970/RR/NCRR NIH HHS/United States', 'U54CA91408/CA/NCI NIH HHS/United States', '2S21MD000104/MD/NIMHD NIH HHS/United States']",,['NOTNLM'],"['Degradation of Nrf2', 'Fluorescence Resonance Energy Transfer (FRET)', 'Promyelocytic Leukemia-Nuclear Bodies', 'Protein Degradation', 'RNF4', 'Sumoylation', 'Trafficking', 'Transcription Factors']",,,,,,,,,,,,,,,,,,
23543587,NLM,PubMed-not-MEDLINE,20130402,20211021,0970-1915 (Print) 0970-1915 (Linking),27,2,2012 Apr,Frequency of TP53 Mutations and its Impact on Drug Sensitivity in Acute Myeloid Leukemia?,121-6,10.1007/s12291-012-0203-1 [doi],"The purpose of this study is to find out the frequency of TP53 mutations in acute myeloid leukemia (AML) patients and correlate sensitivity of drug response with TP53 mutations. In AML more than 90 % of cases comprise of wild type TP53. 94.2 % of TP53 mutations are found within exon 5-8 of which 73 % are point mutations. TP53 mutations were analysed with high resolution melting curve analysis. We analysed 106 AML samples of which we found nine mutations which represents 8.5 % mutation rate and found one rare SNP. The effect of TP53 mutations were studied on the chemosensitivity of two new drugs AZD115 and RHPS4, an Aurora Kinase B inhibitor and Telomerase inhibitor respectively. Four mutations were found out of 17 for RHPS4 stating significant (p = 0.002) increase in sensitivity and no mutation found in AZD1152 database, but need more study to get definite conclusion.","['Shah, Ankur', 'Seedhouse, Claire']","['Shah A', 'Seedhouse C']","['Department of Molecular Medical Sciences, Queens Medical Centre, University of Nottingham, Nottingham, NG7 2UH UK.']",['eng'],"['Journal Article', 'Retracted Publication']",India,Indian J Clin Biochem,Indian journal of clinical biochemistry : IJCB,8708303,,,,2013/04/02 06:00,2013/04/02 06:01,['2013/04/02 06:00'],"['2011/11/16 00:00 [received]', '2012/03/03 00:00 [accepted]', '2013/04/02 06:00 [entrez]', '2013/04/02 06:00 [pubmed]', '2013/04/02 06:01 [medline]']","['10.1007/s12291-012-0203-1 [doi]', '203 [pii]']",ppublish,Indian J Clin Biochem. 2012 Apr;27(2):121-6. doi: 10.1007/s12291-012-0203-1. Epub 2012 Mar 24.,20120324,,PMC3358364,,,,,['NOTNLM'],"['Acute myeloid leukemia', 'Drug sensitivity', 'High resolution melting curve analysis', 'TP53']",,,,,['Indian J Clin Biochem. 2014 Apr;29(2):265. PMID: 24757317'],,,,,,,,,,,,,
