PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,DEP,CIN,EIN,PMC,SI,MID,CI,TT,CON,CN,LID,SFM
15950498,NLM,MEDLINE,20051018,20171116,1065-6995 (Print) 1065-6995 (Linking),29,8,2005 Aug,In vitro hematopoietic differentiation of human embryonic stem cells induced by co-culture with human bone marrow stromal cells and low dose cytokines.,654-61,"Human embryonic stem (hES) cells randomly differentiate into multiple cell types during embryoid body (EB) development and limited studies have focused on directed hematopoietic differentiation. Here, we report that the treatment of hES cells during EBs development with a combination of low dose hematopoietic cytokines, including stem cell factor (SCF), Flt-3 ligand, vascular endothelial growth factor (VEGF) and human bone marrow stromal cells (hBMSCs), generated cell clusters that contained 8.81% KDR-positive hemangioblasts, 9.94% CD34-positive hematopoietic stem cells and 25.7% CD45-positive mature hematopoietic cells, and expressed hematopoietic genes such as KDR, stem cell leukemia (scl) and runt-related transcription factor 1 (Runx1). We provide the first evidence for the role of the cytokine-hBMSCs combination in promoting hematopoietic differentiation of hES cells, and thus provide the potential for generation of hematopoietic cells, as well as for understanding early developmental events that govern the initiation of hematopoiesis in humans.","['Wang, Jian', 'Zhao, Hui-Ping', 'Lin, Ge', 'Xie, Chang-Qing', 'Nie, Dong-Song', 'Wang, Qi-Ru', 'Lu, Guang-Xiu']","['Wang J', 'Zhao HP', 'Lin G', 'Xie CQ', 'Nie DS', 'Wang QR', 'Lu GX']","['National Stem Cell Engineering Centre, Institute of Human Reproductive and Stem Cell Engineering, Central South University, Changsha, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biol Int,Cell biology international,9307129,"['0 (Antigens, CD)', '0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (Biomarkers)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Stem Cell Factor)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '0 (Transcription Factors)', '0 (VEGFA protein, human)', '0 (Vascular Endothelial Growth Factor A)', '135471-20-4 (TAL1 protein, human)']",IM,"['Antigens, CD/metabolism', 'Basic Helix-Loop-Helix Transcription Factors', 'Biomarkers/metabolism', 'Bone Marrow Cells/*physiology', 'Cell Differentiation/*drug effects', 'Cell Lineage', 'Coculture Techniques', 'Colony-Forming Units Assay', 'Core Binding Factor Alpha 2 Subunit', 'Cytokines/*pharmacology', 'DNA-Binding Proteins/metabolism', 'Dose-Response Relationship, Drug', 'Embryo, Mammalian/*cytology', 'Fetus', 'Flow Cytometry', 'Hematopoietic Stem Cells/*cytology/metabolism', 'Humans', 'Proto-Oncogene Proteins/metabolism', 'Stem Cell Factor/metabolism', 'Stem Cells/*cytology', 'Stromal Cells/*physiology', 'T-Cell Acute Lymphocytic Leukemia Protein 1', 'Transcription Factors/metabolism', 'Vascular Endothelial Growth Factor A/metabolism']",2005/06/14 09:00,2005/10/19 09:00,['2005/06/14 09:00'],"['2004/09/25 00:00 [received]', '2005/03/09 00:00 [revised]', '2005/03/30 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/10/19 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S1065-6995(05)00084-3 [pii]', '10.1016/j.cellbi.2005.03.019 [doi]']",ppublish,Cell Biol Int. 2005 Aug;29(8):654-61. doi: 10.1016/j.cellbi.2005.03.019.,,,,,,,,,,,,,,
15950496,NLM,MEDLINE,20051223,20191210,1063-4584 (Print) 1063-4584 (Linking),13,8,2005 Aug,Comparison of the chondrosarcoma cell line SW1353 with primary human adult articular chondrocytes with regard to their gene expression profile and reactivity to IL-1beta.,697-708,"OBJECTIVE: In this study, the human chondrosarcoma cell line SW1353 was investigated by gene expression analysis in order to validate it as an in vitro model for primary human (adult articular) chondrocytes (PHCs). METHODS: PHCs and SW1353 cells were cultured as high density monolayer cultures with and without 1ng/ml interleukin-1beta (IL-1beta). RNA was isolated and assayed using a custom-made oligonucleotide microarray representing 312 chondrocyte-relevant genes. The expression levels of selected genes were confirmed by real-time polymerase chain reaction and the gene expression profiles of the two cell types, both with and without IL-1beta treatment, were compared. RESULTS: Overall, gene expression profiling showed only very limited similarities between SW1353 cells and PHCs at the transcriptional level. Similarities were predominantly seen with respect to catabolic effects after IL-1beta treatment. In both cell systems matrix metalloproteinase-1 (MMP-1), MMP-3 and MMP-13 were strongly induced by IL-1beta, without significant induction of MMP-2. IL-6 was also found to be up-regulated by IL-1beta in both cellular models. On the other hand, intercellular mediators such as leukemia inhibitory factor (LIF) and bone morphogenetic protein-2 (BMP-2) were not induced by IL-1beta in SW1353 cells, but significantly up-regulated in PHCs. Bioinformatical analysis identified nuclear factor kappa-B (NFkappaB) as a common transcriptional regulator of IL-1beta induced genes in both SW1353 cells and PHCs, whereas other transcription factors were only found to be relevant for individual cell systems. CONCLUSION: Our data characterize SW1353 cells as a cell line with only a very limited potential to mimic PHCs, though SW1353 cells can be of value to study the induction of protease expression within cells, a phenomenon also seen in chondrocytes.","['Gebauer, M', 'Saas, J', 'Sohler, F', 'Haag, J', 'Soder, S', 'Pieper, M', 'Bartnik, E', 'Beninga, J', 'Zimmer, R', 'Aigner, T']","['Gebauer M', 'Saas J', 'Sohler F', 'Haag J', 'Soder S', 'Pieper M', 'Bartnik E', 'Beninga J', 'Zimmer R', 'Aigner T']","['Department of Genomic Sciences, Sanofi-Aventis, Frankfurt, FR Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Validation Study']",England,Osteoarthritis Cartilage,Osteoarthritis and cartilage,9305697,"['0 (BMP2 protein, human)', '0 (Bone Morphogenetic Protein 2)', '0 (Bone Morphogenetic Proteins)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (NF-kappa B)', '0 (Transcription Factors)', '0 (Transforming Growth Factor beta)', 'EC 3.4.24.- (Matrix Metalloproteinases)']",IM,"['Aged', 'Bone Morphogenetic Protein 2', 'Bone Morphogenetic Proteins/genetics', 'Cartilage, Articular/*cytology', 'Cell Line, Tumor', 'Chondrocytes/*physiology', 'Down-Regulation/genetics', 'Extracellular Matrix/genetics', 'Female', 'Gene Expression Regulation/*genetics', 'Humans', 'Interleukin-1/*genetics', 'Interleukin-6/genetics', 'Leukemia Inhibitory Factor', 'Male', 'Matrix Metalloproteinases/analysis', 'Middle Aged', 'Models, Biological', 'NF-kappa B/genetics', 'Oligonucleotide Array Sequence Analysis', 'Polymerase Chain Reaction/methods', 'Transcription Factors/analysis', 'Transforming Growth Factor beta/genetics', 'Up-Regulation/genetics']",2005/06/14 09:00,2005/12/24 09:00,['2005/06/14 09:00'],"['2004/12/23 00:00 [received]', '2005/04/12 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/12/24 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S1063-4584(05)00100-7 [pii]', '10.1016/j.joca.2005.04.004 [doi]']",ppublish,Osteoarthritis Cartilage. 2005 Aug;13(8):697-708. doi: 10.1016/j.joca.2005.04.004.,,,,,,,,,,,,,,
15949701,NLM,MEDLINE,20050809,20161126,0006-3002 (Print) 0006-3002 (Linking),1740,3,2005 Jun 10,The effect of short-term kaempferol exposure on reactive oxygen levels and integrity of human (HL-60) leukaemic cells.,340-9,"Flavonoids may be a principal contributor to the cancer preventative activity of fruit- and vegetable-rich diets and there is interest in their use as dietary supplements. However, there is potential conflict between the cytoprotective and cytotoxic activities of flavonoids, and their efficacy as anti-cancer agents is unresolved. Here, the integrity and survival of HL-60 promyelocytic leukaemia cells following short-term (90 min) exposure to the dietary abundant flavonoid kaempferol (1-100 microM) is reported. Supplementation initially decreased reactive oxygen levels but, paradoxically, a dose-dependent increase in single-strand DNA breakage occurred. However, there was no increase in oxidised DNA purines or membrane damage. Following a 24-h recovery period in non-kaempferol supplemented media, DNA single-strand breakage had declined and kaempferol exposed and control cultures possessed similar reactive oxygen levels. A reduction in (3)H-thymidine incorporation occurred with > or =10 microM kaempferol. One hundred micromolar kaempefrol increased the proportion of cells in G(2)-M phase, the proportion of cells with a sub-G(1) DNA content and enhanced 'active' caspase-3 expression but only induced a loss of mitochondrial membrane potential within a minority of cells. The relevance of induced DNA damage within a non-overtly oxidatively stressed environment to the disease preventative and therapeutic use of kaempferol is discussed.","['Bestwick, Charles S', 'Milne, Lesley', 'Pirie, Lynn', 'Duthie, Susan J']","['Bestwick CS', 'Milne L', 'Pirie L', 'Duthie SJ']","['Phytochemical and Genomic Stability Group, Cellular Integrity Programme, Rowett Research Institute, Bucksburn, Aberdeen, UK. C.Bestwick@rowett.ac.uk']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Kaempferols)', '0 (Reactive Oxygen Species)', '10028-17-8 (Tritium)', '731P2LE49E (kaempferol)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)', 'VC2W18DGKR (Thymidine)']",IM,"['Caspase 3', 'Caspases/metabolism', 'Cell Cycle/*drug effects', 'Cell Membrane/*drug effects', 'Cell Survival/drug effects', '*DNA Damage', 'Dietary Supplements', 'Dose-Response Relationship, Drug', 'Enzyme Activation/drug effects', 'Flow Cytometry', 'HL-60 Cells', 'Humans', 'Kaempferols/*pharmacology/toxicity', 'Membrane Potentials/drug effects', 'Mitochondria/*physiology', 'Reactive Oxygen Species/*metabolism', 'Thymidine/metabolism', 'Tritium']",2005/06/14 09:00,2005/08/10 09:00,['2005/06/14 09:00'],"['2003/11/25 00:00 [received]', '2004/08/30 00:00 [revised]', '2004/10/15 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/08/10 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0925-4439(04)00208-X [pii]', '10.1016/j.bbadis.2004.10.005 [doi]']",ppublish,Biochim Biophys Acta. 2005 Jun 10;1740(3):340-9. doi: 10.1016/j.bbadis.2004.10.005. Epub 2004 Nov 3.,,,20041103,,,,,,,,,,,
15949688,NLM,MEDLINE,20050808,20161126,0006-3002 (Print) 0006-3002 (Linking),1740,2,2005 May 30,"The effect of beta-carotene and its derivatives on cytotoxicity, differentiation, proliferative potential and apoptosis on the three human acute leukemia cell lines: U-937, HL-60 and TF-1.",206-14,"The influence of beta-carotene (BC) and its derivatives on differentiation, proliferation and apoptosis in three human acute leukemia cell lines was studied. We investigated: (i) the cellular uptake of BC, (ii) the cytotoxicity, (iii) the effect on cell cycle progression and/or apoptosis. The dose- and time-dependent pattern of cellular BC uptake in all studied cell lines was seen. We did not observe any cytotoxic effect of BC and ATRA in the chosen concentrations. There was only limited effect of BC on gene expression. The microarrray analysis of U-937 cell line exposed to BC for 72 h showed an increased expression of BAX gene. This finding was confirmed by real-time Q-PCR analysis, and supported by a flow cytometry apoptosis tests. We did not observe any influence of studied components on cellular proliferation. The induction of differentiation after incubation with ATRA in HL-60 cells was noted. The induction of cellular apoptosis by BC was seen in all studied cell lines. We demonstrated that BC used in the concentrations achievable in vivo does not affect the proliferation and differentiation process of the studied leukemic cell lines, but can influence and enhance the apoptosis by modulating the expression of the regulatory genes.","['Sacha, Tomasz', 'Zawada, Magdalena', 'Hartwich, Jadwiga', 'Lach, Zofia', 'Polus, Anna', 'Szostek, Marta', 'Zdzi Owska, Edyta', 'Libura, Marta', 'Bodzioch, Marek', 'Dembinska-Kiec, Aldona', 'Skotnicki, Aleksander B', 'Goralczyk, Regina', 'Wertz, Karin', 'Riss, Georges', 'Moele, Christopher', 'Langmann, Thomas', 'Schmitz, Gerd']","['Sacha T', 'Zawada M', 'Hartwich J', 'Lach Z', 'Polus A', 'Szostek M', 'Zdzi Owska E', 'Libura M', 'Bodzioch M', 'Dembinska-Kiec A', 'Skotnicki AB', 'Goralczyk R', 'Wertz K', 'Riss G', 'Moele C', 'Langmann T', 'Schmitz G']","['Chair and Department of Haematology, Jagiellonian University Medical College, ul. Kopernika 17, 31-501 Cracow, Poland. mmsacha@cyf-kr.edu.pl']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,['01YAE03M7J (beta Carotene)'],IM,"['Apoptosis/*drug effects/genetics', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line, Tumor', 'Drug Evaluation, Preclinical', 'Flow Cytometry', 'Gene Expression Regulation, Neoplastic/drug effects', 'HL-60 Cells', 'Humans', 'Leukemia/classification/drug therapy', 'Microarray Analysis', 'U937 Cells', 'beta Carotene/*pharmacology/therapeutic use']",2005/06/14 09:00,2005/08/09 09:00,['2005/06/14 09:00'],"['2004/09/28 00:00 [received]', '2004/12/14 00:00 [revised]', '2004/12/16 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/08/09 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0925-4439(04)00281-9 [pii]', '10.1016/j.bbadis.2004.12.005 [doi]']",ppublish,Biochim Biophys Acta. 2005 May 30;1740(2):206-14. doi: 10.1016/j.bbadis.2004.12.005. Epub 2005 Feb 5.,,,20050205,,,,,,,,,,,
15949629,NLM,MEDLINE,20051014,20071115,0196-9781 (Print) 0196-9781 (Linking),26,7,2005 Jul,"Sesquin, a potent defensin-like antimicrobial peptide from ground beans with inhibitory activities toward tumor cells and HIV-1 reverse transcriptase.",1120-6,"An antifungal peptide with a molecular mass around 7 kDa and an N-terminal sequence highly homologous to defensin was isolated from ground beans (Vigna sesquipedalis cv. 'Ground Bean'). The peptide was adsorbed on Affi-gel blue gel and on Mono S. It exerted an antifungal action on Botrytis cinerea, Fusarium oxysporum and Mycosphaerella arachidicola; and an antibacterial action on Escherichia coli B, Proteus vulgaris, Mycobacterium phlei and Bacillus megaterium. The antimicrobial activity was inhibited in presence of the 5 mM CaCl2 and MgCl2, but no inhibition was observed in 5 mM NaCl. The peptide exerted antiproliferative activity toward breast cancer (MCF-7) cells and leukemia M1 cells, this activity could not be inhibited by the ions mentioned above. It also exhibited some inhibitory activity toward human immunodeficiency virus-type 1 reverse transcriptase.","['Wong, Jack Ho', 'Ng, Tzi Bun']","['Wong JH', 'Ng TB']","['Department of Biochemistry, Faculty of Medicine, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong, China.']",['eng'],['Journal Article'],United States,Peptides,Peptides,8008690,"['0 (Antifungal Agents)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Defensins)', '0 (Reverse Transcriptase Inhibitors)', 'EC 2.7.7.49 (HIV Reverse Transcriptase)']",IM,"['Animals', 'Antifungal Agents/isolation & purification/*pharmacology', 'Antineoplastic Agents, Phytogenic/isolation & purification/*pharmacology', 'Defensins/isolation & purification/*pharmacology', 'Fabaceae/*chemistry', 'HIV Reverse Transcriptase/*antagonists & inhibitors', 'Humans', 'Mice', 'Reverse Transcriptase Inhibitors/isolation & purification/*pharmacology', 'Tumor Cells, Cultured']",2005/06/14 09:00,2005/10/15 09:00,['2005/06/14 09:00'],"['2004/11/22 00:00 [received]', '2005/01/04 00:00 [revised]', '2005/01/06 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/10/15 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0196-9781(05)00019-7 [pii]', '10.1016/j.peptides.2005.01.003 [doi]']",ppublish,Peptides. 2005 Jul;26(7):1120-6. doi: 10.1016/j.peptides.2005.01.003.,,,,,,,,,,,,,,
15949579,NLM,MEDLINE,20050721,20171116,0165-4608 (Print) 0165-4608 (Linking),160,1,2005 Jul 1,Cryptic chromosomal anomaly in a patient with acute myeloid leukemia leading to AML1/ETO fusion with unfavorable prognostic factors.,94-5,,"['Ishii, Yuko', 'Sashida, Goro', 'Takaku, Tomo-Iku', 'Sumi, Masahiko', 'Nakajima, Akihiro', 'Ohyashiki, Kazuma']","['Ishii Y', 'Sashida G', 'Takaku TI', 'Sumi M', 'Nakajima A', 'Ohyashiki K']",,['eng'],"['Case Reports', 'Letter']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (AML1-ETO fusion protein, human)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (RUNX1 Translocation Partner 1 Protein)', '0 (Transcription Factors)']",IM,"['*Chromosome Aberrations', 'Core Binding Factor Alpha 2 Subunit', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/mortality', 'Male', 'Middle Aged', 'Oncogene Proteins, Fusion/*genetics', 'Prognosis', 'RUNX1 Translocation Partner 1 Protein', 'Transcription Factors/*genetics']",2005/06/14 09:00,2005/07/22 09:00,['2005/06/14 09:00'],"['2004/11/01 00:00 [received]', '2004/11/08 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/07/22 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0165-4608(04)00555-2 [pii]', '10.1016/j.cancergencyto.2004.11.006 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Jul 1;160(1):94-5. doi: 10.1016/j.cancergencyto.2004.11.006.,,,,,,,,,,,,,,
15949578,NLM,MEDLINE,20050721,20050613,0165-4608 (Print) 0165-4608 (Linking),160,1,2005 Jul 1,A der(14)t(1;14)(q12;p11) in chronic myelomonocytic leukemia.,89-93,"Duplication of the long arm of chromosome 1 (1q) is widely reported in human neoplasia, including the myelodysplastic syndromes (MDS). So far, it has not been described as a single aberration in the chronic myelomonocytic leukemia (CMML), a subtype of MDS. Rather, trisomy 1q was always a part of complex chromosome changes affecting the subtypes of MDS other than CMML. We report on a patient with CMML with an unbalanced translocation of the entire 1q onto the short arm of chromosome 14 as a sole cytogenetic abnormality. Fluorescence in situ hybridization (FISH) analysis with an alpha-satellite probe for the paracentric region of the long arm of chromosome 1 confirmed the presence of trisomy 1q in a derivative chromosome, der(14)t(1;14)(q12;p11). The discrepant results between the metaphase cytogenetics (100% abnormal) and interphase cytogenetic (71% nuclei with 3 signals) suggest that trisomy 1q, even in the absence of additional cytogenetic changes, has a sufficient leukemogenic potential to confer a proliferative advantage on hematopoietic cells committed to monocyte stemline both in vitro and in vivo. The literature data on partial and complete trisomy 1q in CMML is reviewed.","['Djordjevic, Vesna', 'Jankovic, Gradimir', 'Suvajdzic, Nada', 'Marisavljevic, Dragomir', 'Pantic, Milena', 'Bogdanovic, Andrija', 'Sefer, Dijana', 'Dencic, Marija', 'Colovic, Milica']","['Djordjevic V', 'Jankovic G', 'Suvajdzic N', 'Marisavljevic D', 'Pantic M', 'Bogdanovic A', 'Sefer D', 'Dencic M', 'Colovic M']","['Institute of Hematology, Clinical Center of Serbia, Koste Todorovica 2, 11000 Belgrade, Serbia and Montenegro. djmilan@eunet.yu']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', '*Chromosomes, Human, Pair 1', '*Chromosomes, Human, Pair 14', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*genetics', 'Male', '*Translocation, Genetic', 'Trisomy']",2005/06/14 09:00,2005/07/22 09:00,['2005/06/14 09:00'],"['2004/08/18 00:00 [received]', '2004/11/22 00:00 [revised]', '2004/12/10 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/07/22 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0165-4608(04)00634-X [pii]', '10.1016/j.cancergencyto.2004.12.009 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Jul 1;160(1):89-93. doi: 10.1016/j.cancergencyto.2004.12.009.,,,,,,,,,,,,,,
15949575,NLM,MEDLINE,20050721,20091119,0165-4608 (Print) 0165-4608 (Linking),160,1,2005 Jul 1,Acquired inv(9): what is its significance?,76-8,"Pericentric inversion of the heterochromatic region of chromosome 9 [inv(9)] is a common heteromorphism in the general population. It is presumed familial as there are no reports of de novo inv(9) chromosomes in constitutional karyotypes. We report 2 cases of acquired inv(9) chromosomes; 1 patient with acute myeloid leukemia, 46,XY,inv(9)(p11q13)[11]/46,XY[9], and a second with severe anemia, 46,XX,inv(9)(p11q13)[14]/46,XX[6]. The acquired nature of the inv(9) was confirmed by constitutional karyotyping and/or molecular analysis. The inv(9) in these patients may be a de novo inversion that cytogenetically mimics the constitutional inv(9) heteromorphism. Alternatively, it may be the result of neocentromere activation in 9q due to epigenetic events associated with the disease in these patients that results in a metacentric chromosome similarly mimicking the constitutional inv(9). One previous report of an acquired inv(9) was in a patient with essential thrombocythemia. The differences in clinical presentation may represent different underlying mechanisms generating the inv(9). The significance of an acquired inv(9) is unknown and will require reporting of additional cases.","['Betz, Jaime L', 'Behairy, Ahmed S', 'Rabionet, Pedro', 'Tirtorahardjo, Budi', 'Moore, Mathew W', 'Cotter, Philip D']","['Betz JL', 'Behairy AS', 'Rabionet P', 'Tirtorahardjo B', 'Moore MW', 'Cotter PD']","['Division of Genetics, US Labs Inc., Irvine, CA, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', 'Anemia/genetics', '*Chromosome Inversion', '*Chromosomes, Human, Pair 9', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/genetics', 'Male']",2005/06/14 09:00,2005/07/22 09:00,['2005/06/14 09:00'],"['2004/09/21 00:00 [received]', '2004/11/26 00:00 [revised]', '2004/12/02 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/07/22 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0165-4608(04)00601-6 [pii]', '10.1016/j.cancergencyto.2004.12.002 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Jul 1;160(1):76-8. doi: 10.1016/j.cancergencyto.2004.12.002.,,,,,,,,,,,,,,
15949574,NLM,MEDLINE,20050721,20131121,0165-4608 (Print) 0165-4608 (Linking),160,1,2005 Jul 1,Chronic myelogenous leukemia occurring in two brothers diagnosed 26 years apart.,73-5,"Chronic myelogenous leukemia (CML) is characterized by the presence of the chromosomal abnormality t(9;22)(q34;q11), which is detected in more than 90% of cases. Despite great strides in our understanding of this disease, few predisposing etiologic factors have been identified. We report on the case of a 45-year-old man with Philadelphia chromosome-positive, BCR-ABL fusion-positive chronic-phase CML, whose brother had succumbed to the same disease 22 years earlier. While a coincidental familial occurrence cannot be excluded in this case, we believe that this report underscores the need for further investigation of possible unknown environmental or heritable etiologic factors in this disease.","['Lessen, David S', 'Novoselac, Amory V', 'Hellman, Gerard', 'Tapia, Alberto', 'Ratner, Lynn H', 'Najfeld, Vesna']","['Lessen DS', 'Novoselac AV', 'Hellman G', 'Tapia A', 'Ratner LH', 'Najfeld V']","['Division of Hematology/Oncology, Lenox Hill Hospital, 100 East 77th Street, New York, NY 10021, USA. dslessen@yahoo.com']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Fusion Proteins, bcr-abl/analysis', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Male', 'Middle Aged', 'Siblings']",2005/06/14 09:00,2005/07/22 09:00,['2005/06/14 09:00'],"['2004/09/29 00:00 [received]', '2004/11/22 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/07/22 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0165-4608(04)00584-9 [pii]', '10.1016/j.cancergencyto.2004.11.013 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Jul 1;160(1):73-5. doi: 10.1016/j.cancergencyto.2004.11.013.,,,,,,,,,,,,,,
15949573,NLM,MEDLINE,20050721,20071115,0165-4608 (Print) 0165-4608 (Linking),160,1,2005 Jul 1,"Hematological, immunophenotypic, and cytogenetic characteristics of acute myeloblastic leukemia with trisomy 11.",68-72,"We evaluated the incidence of trisomy 11 in acute myeloblastic leukemia (AML) and its correlation with the most relevant clinical, biological, and immunophenotypic disease characteristics in a total of 399 consecutive AML patients. Trisomy 11 was found in 15 patients (3.8%), in 3 of them as the sole abnormality. Median age was 68 years (range 48-87); 87% of patients were older than 60 years. Seven patients displayed multilineage dysplasia. Cytogenetics showed an association with trisomy 8 in six patients, and in five cases with a del(5q); nine patients had complex karyotypes. In all cases, in situ hybridization studies revealed three copies of the MLL gene, but no rearrangements or tandem duplications of MLL. Immunophenotypic analysis of blast cells showed a constant immature immunophenotypic profile with CD34 or CD117 expression (or both) in all cases analyzed. The complete remission rate was 43%; median survival time was only 2 months.","['Sierra, Magdalena', 'Hernandez, Jesus M', 'Garcia, Juan L', 'Gutierrez, Norma C', 'Perez, Jose J', 'Vidriales, M Belen', 'Ramos, Fernando', 'Hernandez, Jose M', 'Romero, Mercedes', 'Gonzalez, M Belen', 'Galende, Josefina', 'San Miguel, Jesus F']","['Sierra M', 'Hernandez JM', 'Garcia JL', 'Gutierrez NC', 'Perez JJ', 'Vidriales MB', 'Ramos F', 'Hernandez JM', 'Romero M', 'Gonzalez MB', 'Galende J', 'San Miguel JF']","['Servicio de Hematologia, Hospital Universitario de Salamanca and Centro de Investigacion del Cancer, Universidad de Salamanca-CSIC, Paseo San Vicente 58-182, 37007 Salamanca, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', 'Aged, 80 and over', '*Chromosomes, Human, Pair 11', 'Female', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid, Acute/blood/*genetics/immunology', 'Male', 'Middle Aged', '*Trisomy']",2005/06/14 09:00,2005/07/22 09:00,['2005/06/14 09:00'],"['2004/04/06 00:00 [received]', '2004/11/17 00:00 [revised]', '2004/11/18 00:00 [accepted]', '2005/06/14 09:00 [pubmed]', '2005/07/22 09:00 [medline]', '2005/06/14 09:00 [entrez]']","['S0165-4608(04)00579-5 [pii]', '10.1016/j.cancergencyto.2004.11.008 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Jul 1;160(1):68-72. doi: 10.1016/j.cancergencyto.2004.11.008.,,,,,,,,,,,,,,
