PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,PMC,AID,TT,SI,CIN,EIN
3465433,NLM,MEDLINE,19861224,20131121,0008-5472 (Print) 0008-5472 (Linking),46,12 Pt 1,1986 Dec,Role of intracellular calcium ion in human promyelocytic leukemia HL-60 cell differentiation.,6059-63,"The relationship between calcium ions and the differentiation of human promyelocytic leukemia HL-60 cells was investigated. Proliferation of HL-60 cells incubated in calcium-free medium was inhibited without cell differentiation. On the other hand, incubation with 100 microM verapamil markedly inhibited cell proliferation and caused slight cell differentiation into monocytes. Both calcium-free medium and 100 microM verapamil enhanced HL-60 cell differentiation after treatment with 1 nM 1 alpha,25-dihydroxyvitamin D3, 1 nM beta-all-trans-retinoic acid, or 0.75% dimethyl sulfoxide. However, no enhancement was obtained by treatment with 1 nM 12-O-tetradecanoylphorbol-13-acetate. The free cytosolic calcium concentration was measured by the intracellularly trappable fluorescent calcium indicator, quin 2. The increase of intracellular calcium induced by 250 nM ionomycin was completely blocked by 100 microM verapamil in calcium-free medium, suggesting that the high concentration of verapamil (100 microM) blocks the intracellular calcium mobilization in HL-60 cells. Therefore, the enhancing effect of calcium deprivation or verapamil of HL-60 cell differentiation seemed to be closely related to the inhibition of intracellular calcium mobilization. This speculation is supported by the finding that 50 microM 8-(N,N-diethylamino)octyl-3,4,5-trimethoxybenzoate, an intracellular calcium antagonist, also enhanced HL-60 cell differentiation induced by 1 alpha,25-dihydroxyvitamin D3, beta-all-trans-retinoic acid, or dimethyl sulfoxide.","['Okazaki, T', 'Mochizuki, T', 'Tashima, M', 'Sawada, H', 'Uchino, H']","['Okazaki T', 'Mochizuki T', 'Tashima M', 'Sawada H', 'Uchino H']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Calcitriol/pharmacology', 'Calcium/*physiology', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Dimethyl Sulfoxide/pharmacology', 'Ethers/pharmacology', 'Gallic Acid/analogs & derivatives/pharmacology', 'Humans', 'Ionomycin', 'Leukemia, Myeloid, Acute/*pathology', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology', 'Verapamil/pharmacology']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1986 Dec;46(12 Pt 1):6059-63.,"['0 (Ethers)', '56092-81-0 (Ionomycin)', '5688UTC01R (Tretinoin)', '57818-92-5 (8-(N,N-diethylamino)octyl-3,4,5-trimethoxybenzoate)', '632XD903SP (Gallic Acid)', 'CJ0O37KU29 (Verapamil)', 'FXC9231JVH (Calcitriol)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'SY7Q814VUP (Calcium)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,,,
3465432,NLM,MEDLINE,19861224,20131121,0008-5472 (Print) 0008-5472 (Linking),46,12 Pt 1,1986 Dec,Two mechanisms of synergism when amphotericin B is used in combination with actinomycin D or 1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea against the human promyelocytic leukemia cell line HL-60.,6054-8,"The toxic effects of the combinations of amphotericin B (AmB) and actinomycin D or AmB and 1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea were measured against the human promyelocytic leukemia cells HL-60. The toxicities of both drug combinations were greater than the additive toxicity of each of the drugs used singly, but the exact conditions under which synergism was achieved differed for each combination. The synergism achieved by the AmB-actinomycin combination was accompanied by an AmB-induced increase in uptake of actinomycin D by the HL-60 cells, whereas the synergism of the AmB-1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea combination could be linked to potentiation by 1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea of AmB-induced oxidative injury. These results indicate that the synergism of these two drug combinations was caused by different mechanisms.","['Vertut-Croquin, A', 'Brajtburg, J', 'Medoff, G']","['Vertut-Croquin A', 'Brajtburg J', 'Medoff G']",['eng'],"['AI07172/AI/NIAID NIH HHS/United States', 'AI16228/AI/NIAID NIH HHS/United States', 'CA15665/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Amphotericin B/*pharmacology', 'Antineoplastic Combined Chemotherapy Protocols/*pharmacology', 'Cell Count', 'Cell Line', 'Dactinomycin/metabolism/*pharmacology', 'Drug Synergism', 'Humans', 'L-Lactate Dehydrogenase/analysis', 'Leukemia, Myeloid, Acute/metabolism/*pathology', 'Lomustine/metabolism/*pharmacology', 'Malondialdehyde/metabolism', 'Oxidation-Reduction', 'Potassium/analysis', 'Thymidine/metabolism']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1986 Dec;46(12 Pt 1):6054-8.,"['1CC1JFE158 (Dactinomycin)', '4Y8F71G49Q (Malondialdehyde)', '7BRF0Z81KG (Lomustine)', '7XU7A7DROE (Amphotericin B)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'RWP5GA015D (Potassium)', 'VC2W18DGKR (Thymidine)']",,,,,,
3465431,NLM,MEDLINE,19861224,20131121,0008-5472 (Print) 0008-5472 (Linking),46,12 Pt 1,1986 Dec,Lipoprotein modulation of the intracellular localization of protein kinase C and alteration of phorbol ester-stimulated differentiation in the human monoblastic U937 cell line.,6049-53,The subcellular localization of protein kinase C and the ability of phorbol esters to alter cell phenotype were examined in the U937 monoblastic cell line. Protein kinase C activity was evaluated using an in vitro assay measuring histone phosphorylation in the cytosolic and detergent extracted particulate fractions obtained after disrupting cells that had been cultured previously under varying conditions. Depriving cells of serum for 2-3 days resulted in a time-dependent decrease in protein kinase C activity of the particulate fraction. The addition of as little as 0.5-1% fetal bovine serum to serum-deprived cells increased protein kinase C in the particulate fraction by up to 2- to 3-fold. In contrast lipoprotein-deficient serum did not mimic the effect of whole serum. However addition of high or low density lipoproteins to cells grown in lipoprotein-deficient serum or serum-free medium produced a concentration-dependent 2- to 3-fold increase in particulate protein C kinase activity. The maximal lipoprotein effect was similar to that observed with 5% fetal bovine serum and the concentrations of lipoproteins needed to increase protein kinase C activity were in the physiological range. Adherence to plastic was used as a marker of the differentiated phenotype. Cells cultured in lipoprotein-deficient serum did not differentiate in response to phorbol ester stimulation as well as cells cultured in 5% fetal bovine serum. These results suggest that serum lipoproteins modulate protein kinase C localization and the response to phorbol ester stimulation in the U937 cell.,"['Ways, D K', 'Dodd, R C', 'Gwynne, J T', 'Earp, H S']","['Ways DK', 'Dodd RC', 'Gwynne JT', 'Earp HS']",['eng'],"['AM 07366/AM/NIADDK NIH HHS/United States', 'AM 31683/AM/NIADDK NIH HHS/United States', 'HL20160/HL/NHLBI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Blood Physiological Phenomena', 'Cell Differentiation/drug effects', 'Cell Line', 'Culture Media', 'Leukemia, Monocytic, Acute/*enzymology/pathology', 'Lipoproteins/*pharmacology', 'Protein Kinase C/*analysis', 'Tetradecanoylphorbol Acetate/*pharmacology']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1986 Dec;46(12 Pt 1):6049-53.,"['0 (Culture Media)', '0 (Lipoproteins)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,
3465430,NLM,MEDLINE,19870115,20190816,0165-4608 (Print) 0165-4608 (Linking),23,4,1986 Dec,t(4;11) translocation-associated acute leukemia: an update.,333-5,,"['De Braekeleer, M']",['De Braekeleer M'],['eng'],,['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adolescent', 'Child', 'Child, Preschool', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 4', 'Female', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Male', '*Translocation, Genetic']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1986 Dec;23(4):333-5. doi: 10.1016/0165-4608(86)90017-8.,,,"['0165-4608(86)90017-8 [pii]', '10.1016/0165-4608(86)90017-8 [doi]']",,,,
3465429,NLM,MEDLINE,19870112,20190619,0008-543X (Print) 0008-543X (Linking),58,12,1986 Dec 15,Granulocytic sarcoma in nonleukemic patients.,2697-709,"Sixteen patients presenting with granulocytic sarcoma without evidence of acute leukemia were seen and diagnosed at The University of Texas M.D. Anderson Hospital and Tumor Institute at Houston from 1962 to 1985. Seven of them (44%) did not develop acute leukemia. Of these seven, four are alive with no evidence of disease 3.5 to 16 years after initial presentation; the remaining three patients died of their disease within 2 to 8 months of presentation. Two of 16 patients were diagnosed within the last 15 months and do not have adequate follow-up. The seven remaining patients developed acute leukemia within 1 week to 13 months of the diagnosis of granulocytic sarcoma. Six of them died 5 weeks to 16 months after diagnosis; one patient has been in complete remission for 8 years. Twelve of these 16 cases (75%) were initially misdiagnosed, most frequently as large cell lymphoma. The remaining four cases were correctly diagnosed as granulocytic sarcoma. The naphthol-ASD-chloroacetate esterase stain was required to make the correct diagnosis in all cases. Contrary to findings in other series, granulocytic sarcoma arising in nonleukemic patients does not necessarily progress to acute leukemia. At least four of 16 (25%) patients in this series did not develop acute leukemia during the 3.5 to 16 years they have been followed. No prognostic factors were identified in this series to predict which patients would develop acute leukemia and which ones would not.","['Meis, J M', 'Butler, J J', 'Osborne, B M', 'Manning, J T']","['Meis JM', 'Butler JJ', 'Osborne BM', 'Manning JT']",['eng'],,['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Aged', 'Biopsy', 'Bone Marrow/ultrastructure', 'Child', 'Child, Preschool', 'Chromosome Aberrations', 'Female', 'Flow Cytometry', 'Humans', 'Leukemia, Myeloid/*diagnosis/pathology', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Naphthol AS D Esterase', 'Sarcoma/*diagnosis']",1986/12/15 00:00,1986/12/15 00:01,['1986/12/15 00:00'],"['1986/12/15 00:00 [pubmed]', '1986/12/15 00:01 [medline]', '1986/12/15 00:00 [entrez]']",ppublish,Cancer. 1986 Dec 15;58(12):2697-709. doi: 10.1002/1097-0142(19861215)58:12<2697::aid-cncr2820581225>3.0.co;2-r.,['EC 3.1.- (Naphthol AS D Esterase)'],,['10.1002/1097-0142(19861215)58:12<2697::aid-cncr2820581225>3.0.co;2-r [doi]'],,,,
3465428,NLM,MEDLINE,19870112,20190619,0008-543X (Print) 0008-543X (Linking),58,12,1986 Dec 15,High-degree abnormalities of nuclear DNA distribution in SIg negative acute lymphoblastic leukemia with vacuolated blasts.,2632-9,"Among 65 consecutive patients with untreated adult acute lymphoblastic leukemia (ALL), six had peculiar clinical and cytologic features. Bone marrow and circulating blasts were large and showed prominent vacuolization, with variable degree of granular periodic acid-Schiff positivity in the cytoplasm. All patients had marked spleen and liver enlargement with cholestasis and without either lymph node or central nervous system disease. They achieved complete response to chemotherapy, and their median survival was longer than 12 months. Blast cells were studied for immunologic markers, propidium iodide flow cytofluorometric DNA content, and in vitro tritiated thymidine labeling index (3H-TdR LI). These showed a ""null"" phenotype in two cases, contained intracytoplasmic immunoglobulins (Cy mu) in two and were positive for CALL and Ia antigens in two others (one of which also contained Cy mu). Surface immunoglobulins (SIg) were found on less than 12% of cells, and T-cell markers were absent. In five cases, one or two stem lines with highly abnormal modal DNA content were found to coexist with diploid blasts. The 3H-TdR LI was high (8.5%-15.5%). Abnormal cell lines, after being cleared by chemotherapy, were found again at relapse. Additional cell lines appeared during the course of the disease in one patient, having different sensitivity to cytostatics. These cases of ALL apparently derive from B-cells not yet expressing SIg and have an exceptionally high incidence of aneuploid cell lines.","['Riccardi, A', 'Montecucco, C', 'Girino, M', 'Danova, M', 'Ucci, G', 'Invernizzi, R', 'Ippoliti, G', 'Mazzini, G', 'Giordano, P', 'Pasquali, F']","['Riccardi A', 'Montecucco C', 'Girino M', 'Danova M', 'Ucci G', 'Invernizzi R', 'Ippoliti G', 'Mazzini G', 'Giordano P', 'Pasquali F', 'et al.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Cell Nucleus/ultrastructure', 'DNA, Neoplasm/*metabolism', 'Female', 'Flow Cytometry', 'Humans', 'Leukemia, Lymphoid/*genetics/immunology/pathology', 'Liver/pathology', 'Male', 'Middle Aged', 'Propidium', 'Receptors, Antigen, B-Cell/*analysis', 'Splenomegaly/complications']",1986/12/15 00:00,1986/12/15 00:01,['1986/12/15 00:00'],"['1986/12/15 00:00 [pubmed]', '1986/12/15 00:01 [medline]', '1986/12/15 00:00 [entrez]']",ppublish,Cancer. 1986 Dec 15;58(12):2632-9. doi: 10.1002/1097-0142(19861215)58:12<2632::aid-cncr2820581215>3.0.co;2-c.,"['0 (DNA, Neoplasm)', '0 (Receptors, Antigen, B-Cell)', '36015-30-2 (Propidium)']",,['10.1002/1097-0142(19861215)58:12<2632::aid-cncr2820581215>3.0.co;2-c [doi]'],,,,
3465419,NLM,MEDLINE,19861222,20190828,0263-7103 (Print) 0263-7103 (Linking),25,4,1986 Nov,Simultaneous presentation of rheumatoid arthritis and acute myeloid leukaemia masquerading as Felty's syndrome.,415,,"['Sinclair, H']",['Sinclair H'],['eng'],,"['Case Reports', 'Letter']",England,Br J Rheumatol,British journal of rheumatology,8302415,IM,"['Arthritis, Rheumatoid/*complications', 'Diagnosis, Differential', 'Felty Syndrome/*diagnosis', 'Humans', 'Leukemia, Myeloid, Acute/*complications/diagnosis', 'Male', 'Middle Aged']",1986/11/01 00:00,1986/11/01 00:01,['1986/11/01 00:00'],"['1986/11/01 00:00 [pubmed]', '1986/11/01 00:01 [medline]', '1986/11/01 00:00 [entrez]']",ppublish,Br J Rheumatol. 1986 Nov;25(4):415. doi: 10.1093/rheumatology/25.4.415.,,,['10.1093/rheumatology/25.4.415 [doi]'],,,,
3465380,NLM,MEDLINE,19861230,20190903,0006-5242 (Print) 0006-5242 (Linking),53,5,1986 Nov,Chronic monocytic leukemia terminating in blastic transformation.,405-9,"Chronic monocytic leukemia (CMoL) is a rare disorder, closely related to malignant histiocytosis, but a separate entity. The clinical course of the patient described in this case report was characterized by persistent monocytosis without response to cytotoxic therapy, and a large number of infections. On two occasions a clone of cells containing an extra chromosome 20 was observed. The disease terminated in a phase with rapidly increasing numbers of immature monocytoid cells, corresponding to blastic transformation.","['Wahlin, A', 'Nordenson, I', 'Roos, G']","['Wahlin A', 'Nordenson I', 'Roos G']",['eng'],,"['Case Reports', 'Journal Article']",Germany,Blut,Blut,0173401,IM,"['Cell Transformation, Neoplastic/pathology', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Middle Aged']",1986/11/01 00:00,1986/11/01 00:01,['1986/11/01 00:00'],"['1986/11/01 00:00 [pubmed]', '1986/11/01 00:01 [medline]', '1986/11/01 00:00 [entrez]']",ppublish,Blut. 1986 Nov;53(5):405-9. doi: 10.1007/BF00321103.,,,['10.1007/BF00321103 [doi]'],,,,
3465379,NLM,MEDLINE,19870107,20210216,0006-4971 (Print) 0006-4971 (Linking),68,6,1986 Dec,Only adult hemoglobin is produced in fetal nonerythroid x MEL cell hybrids.,1384-8,"In order to test whether the ontogenetic origin of human parental cells influences the expression of globin genes, we did fusions of mouse erythroleukemia (MEL) cells with fetal or adult nonerythroid cells and we assessed globin expression in hybrids. For selection of hybrid clones we used a monoclonal antibody that recognizes a human chromosome 11-linked cell surface marker. Globin expression was assessed with fluorescent antibody labeling, globin isoelectric focusing, and S1 nuclease mapping. Chromosome 11-containing hybrids from human nonerythroid cells (adult or fetal lymphoid cells; fetal fibroblasts) produced human adult (beta) but not fetal (gamma) globin chains. These results suggest that the MEL x nonerythroid cell hybrids express the adult human globin independent of whether the human cells derive from the fetal or from the adult stage of human development. Our findings, together with previous observations in MEL x fetal erythroid or MEL x HEL hybrids, show that the globin program of the parental human cell is the main determinant of the expression of fetal human globin in these hybrids.","['Takegawa, S', 'Brice, M', 'Stamatoyannopoulos, G', 'Papayannopoulou, T']","['Takegawa S', 'Brice M', 'Stamatoyannopoulos G', 'Papayannopoulou T']",['eng'],['AM30852/AM/NIADDK NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,IM,"['Chromosomes, Human, Pair 11', 'Fibroblasts/physiology', 'Globins/*genetics', 'Humans', 'Hybrid Cells/physiology', 'Leukemia, Erythroblastic, Acute/genetics', 'Liver/enzymology/physiology', 'Lymphocytes/physiology']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Blood. 1986 Dec;68(6):1384-8.,['9004-22-2 (Globins)'],,['S0006-4971(20)85967-9 [pii]'],,,,
3465378,NLM,MEDLINE,19870107,20210216,0006-4971 (Print) 0006-4971 (Linking),68,6,1986 Dec,bcr rearrangement and translocation of the c-abl oncogene in Philadelphia positive acute lymphoblastic leukemia.,1369-75,"The Philadelphia (Ph1) chromosome, the cytogenetic hallmark of chronic myeloid leukemia (CML), has also been detected in a significant number of acute lymphoblastic leukemias (ALL). Using in situ hybridization, we demonstrate that in accordance with observations in CML the Ph1 chromosome in ALL patients is the result of a consistent translocation of the c-abl oncogene to the Ph1 chromosome. Southern blot analysis using bcr probes, however, suggests that Ph1-positive ALL includes heterogeneous leukemic subtypes: six ALL patients showed bcr rearrangements as observed in CML; in three other patients recombination involving 5' bcr sequences could be demonstrated, but the corresponding translocated 3' bcr sequences were not detectable. A third group of five patients did not show any bcr rearrangements at all. Northern blot analysis using RNA from three Ph1-positive ALL patients revealed that in the leukemic cells of two patients larger c-abl mRNA transcripts were present, as in CML. In the RNA of one patient without a detectable bcr rearrangement, only the normal c-abl mRNA transcripts are present. The observed heterogeneity in bcr rearrangements of this group of Ph1-positive ALL patients is in contrast with the consistent results obtained in more than 50 Ph1-positive CML patients investigated in chronic and acute states.","['De Klein, A', 'Hagemeijer, A', 'Bartram, C R', 'Houwen, R', 'Hoefsloot, L', 'Carbonell, F', 'Chan, L', 'Barnett, M', 'Greaves, M', 'Kleihauer, E']","['De Klein A', 'Hagemeijer A', 'Bartram CR', 'Houwen R', 'Hoefsloot L', 'Carbonell F', 'Chan L', 'Barnett M', 'Greaves M', 'Kleihauer E', 'et al.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['Chromosome Deletion', 'Chromosome Mapping', '*Chromosomes, Human, Pair 22', '*Chromosomes, Human, Pair 9', 'DNA, Neoplasm/genetics', 'Genes', 'Humans', 'Leukemia, Lymphoid/*genetics', '*Philadelphia Chromosome', '*Proto-Oncogenes', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Transcription, Genetic', 'Translocation, Genetic']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Blood. 1986 Dec;68(6):1369-75.,"['0 (DNA, Neoplasm)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)']",,['S0006-4971(20)85965-5 [pii]'],,,,
3465377,NLM,MEDLINE,19870107,20210216,0006-4971 (Print) 0006-4971 (Linking),68,6,1986 Dec,Classifying acute leukemia by immunophenotyping: a combined FAB-immunologic classification of AML.,1355-62,"A panel of commercially available monoclonal antibodies and five heteroantisera were used to distinguish and subtype 138 cases of acute leukemia (AL). The immunophenotype was compared with the French-American-British (FAB) classification obtained on the cases. The immunophenotype discriminated acute myelogenous leukemia (AML) from acute lymphoblastic leukemia (ALL) and recognized cases not distinguished by cytochemistry (22% of cases), mixed lineage phenotypes (13% of cases), and cases with separate populations of lymphoblasts and myeloblasts (one case). Using the immunologic panel and derived criteria to subtype AML, correspondence of the immunophenotype to the FAB subtypes M1, M2, M4, and M5 was possible in greater than 80% of cases. A combined classification of the immunophenotype and FAB morphology/cytochemistry was devised for AML subtyping. It is recommended that immunophenotyping should be done at least in all cases with negative or inconclusive cytochemistry. At present, we suggest that until a ""gold standard"" for identifying leukemic subtypes is developed, the best method for typing acute leukemia is by using a combination of morphology, cytochemistry and immunophenotyping.","['Neame, P B', 'Soamboonsrup, P', 'Browman, G P', 'Meyer, R M', 'Benger, A', 'Wilson, W E', 'Walker, I R', 'Saeed, N', 'McBride, J A']","['Neame PB', 'Soamboonsrup P', 'Browman GP', 'Meyer RM', 'Benger A', 'Wilson WE', 'Walker IR', 'Saeed N', 'McBride JA']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['*Antibodies, Monoclonal', 'Antigens, Neoplasm/analysis', 'Antigens, Surface/analysis', 'Cell Differentiation', 'Humans', 'Leukemia, Lymphoid/classification/immunology', 'Leukemia, Myeloid, Acute/*classification/diagnosis/immunology', 'Phenotype', 'Receptors, Antigen, B-Cell/analysis']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Blood. 1986 Dec;68(6):1355-62.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Receptors, Antigen, B-Cell)']",,['S0006-4971(20)85963-1 [pii]'],,,,
3465376,NLM,MEDLINE,19870107,20210216,0006-4971 (Print) 0006-4971 (Linking),68,6,1986 Dec,Acute myelomonocytic leukemia with abnormal eosinophils and inv(16) or t(16;16) has a favorable prognosis.,1242-9,"Inv(16)(p13q22) and t(16;16)(p13;q22) are recurring chromosomal rearrangements which juxtapose the metallothionein gene cluster at 16q22 with other DNA sequences from 16p13. We have studied 20 men and 13 women who had acute nonlymphocytic leukemia; 27 patients had an inv(16) and six patients had a t(16;16). Eight patients also had trisomy 22, and four had trisomy 8. All but two patients had the unique morphologic features of acute myelomonocytic leukemia with abnormal eosinophils (M4Eo). In one patient with M4 leukemia, abnormal eosinophils were not observed in the marrow. A second patient had acute monocytic leukemia, plus abnormal eosinophils. Eosinophils constituted 1% to 46% (median, 6%) of the bone marrow cells, and in all but a single patient, the eosinophils exhibited distinctly abnormal morphology. Twenty-five patients have had a complete remission (78% of treated patients). Nine patients have remained in remission longer than 24 months. No patient had symptoms of central nervous system (CNS) disease at diagnosis, and none had CNS leukemic mass lesions at any time. Treatment with high-dose cytarabine may have provided prophylactic CNS therapy. Four additional patients with chromosomal rearrangements involving a breakpoint at 16q22 but not at 16p13 have had different morphological features and different clinical courses. Thus, the juxtaposition of genes at 16p13 and 16q22, which occurs both in the inv(16) and the t(16;16), results in a specific subset of acute nonlymphocytic leukemia that has a favorable prognosis.","['Larson, R A', 'Williams, S F', 'Le Beau, M M', 'Bitter, M A', 'Vardiman, J W', 'Rowley, J D']","['Larson RA', 'Williams SF', 'Le Beau MM', 'Bitter MA', 'Vardiman JW', 'Rowley JD']",['eng'],"['AM-07134-08/AM/NIADDK NIH HHS/United States', 'CA-25568/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,IM,"['Chromosome Banding', 'Chromosome Deletion', 'Chromosome Inversion', '*Chromosomes, Human, Pair 16', '*Chromosomes, Human, Pair 3', 'Eosinophils/*pathology', 'Humans', 'Leukemia, Myeloid, Acute/blood/*genetics/pathology', 'Prognosis', 'Translocation, Genetic']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Blood. 1986 Dec;68(6):1242-9.,,,['S0006-4971(20)85946-1 [pii]'],,,,
