PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,GR,AID,PMC,TT,OID,OAB,OABL,OTO,OT,GN,SI,RF
6554111,NLM,MEDLINE,19831021,20131121,0162-220X (Print) 0162-220X (Linking),6,4,1983 Aug,Metabolic complications of induction therapy for leukemia and lymphoma.,307-10,"['Cohen, D G']",['Cohen DG'],['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Nurs,Cancer nursing,7805358,"['0 (Antineoplastic Agents)', '268B43MJ25 (Uric Acid)']",,"['Antineoplastic Agents/*adverse effects/metabolism', 'Child, Preschool', 'Humans', 'Leukemia/*drug therapy', 'Lymphoma/*drug therapy', 'Male', 'Uric Acid/blood', 'Water-Electrolyte Imbalance/*etiology']",1983/08/01 00:00,1983/08/01 00:01,['1983/08/01 00:00'],"['1983/08/01 00:00 [pubmed]', '1983/08/01 00:01 [medline]', '1983/08/01 00:00 [entrez]']",ppublish,Cancer Nurs. 1983 Aug;6(4):307-10.,,,,,,,,,,,,,
6553647,NLM,MEDLINE,19830909,20061026,0449-752X (Print) 0449-752X (Linking),29,7,1983 May,[Nursing care of a patient with acute leukemia complicating genital ulcer and pharyngeal ulcer].,936-9,"['Enokikawa, K', 'Hagiwara, K', 'Natsuhara, I', 'Fukushima, C']","['Enokikawa K', 'Hagiwara K', 'Natsuhara I', 'Fukushima C']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Kango Gijutsu,[Kango gijutsu] : [Nursing technique],18110565R,,,"['Adolescent', 'Female', 'Genital Diseases, Female/complications/*nursing', 'Humans', 'Leukemia/complications/*nursing', 'Pharyngeal Diseases/complications/*nursing', 'Ulcer/nursing']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Kango Gijutsu. 1983 May;29(7):936-9.,,,,,,,,,,,,,
6553518,NLM,MEDLINE,19830920,20190908,0340-7004 (Print) 0340-7004 (Linking),15,2,1983,The role of humoral immunity and the contribution of the F1 anti-parental effect in the rejection of a Moloney leukemia virus-induced lymphoma graft.,92-5,"['Asjo, B', 'Klein, E', 'Fenyo, E M', 'Klein, G']","['Asjo B', 'Klein E', 'Fenyo EM', 'Klein G']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Antibodies, Neoplasm)', '0 (H-2 Antigens)']",IM,"['Animals', 'Antibodies, Neoplasm/immunology', '*Antibody Formation', 'Crosses, Genetic', 'Cytotoxicity, Immunologic', 'Female', '*Graft Rejection', 'H-2 Antigens/immunology', 'Leukemia, Experimental/*immunology/microbiology', 'Male', 'Mice', 'Mice, Inbred Strains', 'Moloney murine leukemia virus/*genetics', 'Neoplasm Transplantation', 'Species Specificity']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Cancer Immunol Immunother. 1983;15(2):92-5. doi: 10.1007/BF00199697.,"Antibody and rejection responses against the Moloney leukemia virus-induced YAC lymphoma of A strain origin were found to be weak in A but high in (A X C57Bl)F1 hybrids. (A X C57Bl) X A backcross mice typed for expression of H-2 antigens were investigated for these responses in order to ascertain the importance of the H-2 phenotype of the host and the development of antibodies for rejection of the tumor cells. With an LD50 challenge inoculum in immunized backcross mice, the presence of anti-YAC antibodies appeared to be important for protection against the outgrowth of the tumor, particularly in the H-2a mice. None of them survived, unless antibody-positive. On the other hand, a proportion of the H-2 heterozygous mice rejected the tumor in the absence of antibodies. In the antibody-positive group a higher number of H-2 heterozygous mice survived than of H-2 homozygous mice. The results showed that both humoral and cellular responses are important for the rejection of an antigenic lymphoma and indicate the contribution of an F1 anti-parental component in the latter.",['5 R01 CA 25250-04/CA/NCI NIH HHS/United States'],['10.1007/BF00199697 [doi]'],,,,,,,,,,
6553515,NLM,MEDLINE,19830920,20211203,0340-7004 (Print) 0340-7004 (Linking),15,2,1983,Thymosin alpha 1 restores NK-cell activity and prevents tumor progression in mice immunosuppressed by cytostatics or X-rays.,78-83,"['Umeda, Y', 'Sakamoto, A', 'Nakamura, J', 'Ishitsuka, H', 'Yagi, Y']","['Umeda Y', 'Sakamoto A', 'Nakamura J', 'Ishitsuka H', 'Yagi Y']",['eng'],['Journal Article'],Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Thymus Hormones)', '61512-21-8 (Thymosin)', 'U3P01618RT (Fluorouracil)', 'U68WG3173Y (Carmustine)', 'W0B22ISQ1C (Thymalfasin)']",IM,"['Animals', 'Carmustine/*therapeutic use', 'Fluorouracil/*therapeutic use', '*Immunosuppression Therapy', 'Killer Cells, Natural/*immunology', 'Leukemia L1210/drug therapy/*immunology/radiotherapy', 'Leukemia P388/drug therapy/*immunology/radiotherapy', 'Leukemia, Experimental/*immunology', 'Male', 'Mice', 'Mice, Inbred DBA', 'Mice, Inbred Strains', 'Thymalfasin', 'Thymosin/analogs & derivatives/*pharmacology', 'Thymus Hormones/*pharmacology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Cancer Immunol Immunother. 1983;15(2):78-83. doi: 10.1007/BF00199694.,"The effect of thymosin against tumor progression was examined in mice immunosuppressed by cytostatics or X-ray irradiation. When pretreated with cytostatic agents, such as 5-fluorouracil (5-FU) or BCNU, or by X-ray, and then inoculated with P388 or L1210 leukemias, mice died rapidly within a few days. In these systems, thymosin alpha 1 given concomitantly with the cytostatic agents or after X-irradiation prevented rapid death and extended survival, although the mice eventually died with leukemia like normal mice inoculated with cells of the same tumor. Rapid death in the 5-FU-treated mice was also prevented by adoptive transfer of spleen cells from the donor mice if these had been treated with 5-FU plus thymosin alpha 1, but not if they had received 5-FU alone. However, the restorative activity of the donor spleen cells was abrogated by treatment with anti-asialo GM1, but not by treatment with anti-Thy 1 or anti-mouse Ig serum, suggesting that the effector cells in the spleen are NK cells. In fact, thymosin alpha 1, when given concomitantly with 5-FU or after X-irradiation, maintained the NK activity of spleen, which was damaged by treatment with 5-FU or X-irradiation alone. The present study indicates that thymosin alpha 1 exerts a preventive activity against progression of leukemias at least in part through an effect on NK cells or their progenitor cells.",,['10.1007/BF00199694 [doi]'],,,,,,,,,,
6553506,NLM,MEDLINE,19830920,20190908,0340-7004 (Print) 0340-7004 (Linking),15,1,1983,The role of allogeneic cells in the stimulation of cell-mediated cytotoxicity to leukaemia cells. A family study.,39-46,"['Taylor, G M', 'Bradley, B A']","['Taylor GM', 'Bradley BA']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,['0 (HLA Antigens)'],IM,"['Aged', '*Cytotoxicity, Immunologic', 'Female', 'HLA Antigens/analysis', 'Humans', '*Immunity, Cellular', 'Immunotherapy', 'Leukemia/*immunology/therapy', 'Lymphocyte Transfusion', 'Lymphocytes/*immunology', 'Male', 'Middle Aged']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Cancer Immunol Immunother. 1983;15(1):39-46. doi: 10.1007/BF00199460.,"Allogeneic lymphocytes can stimulate cell-mediated cytotoxicity (CMC) in lymphocytes from leukaemia patients against autologous leukaemia target cells. We have compared the capacity of different allogeneic lymphoid cells to stimulate CMC to fresh (i.e., patient) and cultured (MOLT 4, K562) leukaemic target cells in lymphocytes from an acute leukaemic patient and his HLA-identical siblings. Allogeneic lymphoid cells, and particularly a lymphoblastoid cell line, were effective in stimulating CMC to leukaemia targets. In some instances, however, leukaemia cells derived from the patient, mixed with allogeneic lymphoid cells stimulated synergistic CMC to the patient's leukaemia. We also found that the patient's leukaemia cells alone were able to stimulate CMC in HLA-identical sib lymphocytes to fresh and cultured leukaemia targets. Extra specificities on fresh leukaemia cells were revealed when these cells induced unpredicted CMC on normal lymphocyte targets when added to mixed lymphocyte cultures (MLC) between related and unrelated lymphocytes. Cytotoxic lymphocytes generated in MLC against the patient's HLA antigens were absorbed by monolayers of lymphocytes and leukaemia cells of the same HLA type as the patient, leaving residual CMC to fresh (patient) and cultured (K562) leukaemia target cells. In addition, CMC to the patient's leukaemia cells, stimulated in lymphocytes from the patient's HLA-identical sib by allogeneic cells, was absorbed by a monolayer of these allogeneic cells. This suggests cross reactivity between determinants on the leukaemia and allogeneic lymphocytes. The results of this study are consistent with expression of 'leukaemia antigen', which are not restricted to leukaemia cells but may also be expressed on lymphocytes.",,['10.1007/BF00199460 [doi]'],,,,,,,,,,
6553257,NLM,MEDLINE,19830811,20041117,0954-7762 (Print) 0954-7762 (Linking),79,19,1983 May 11-17,Caring for patients with leukaemia.,56-7,"['Dobson, M']",['Dobson M'],['eng'],['Journal Article'],England,Nurs Times,Nursing times,0423236,['0 (Antineoplastic Agents)'],,"['Antineoplastic Agents/administration & dosage', 'Humans', 'Leukemia/drug therapy/*nursing/physiopathology']",1983/05/11 00:00,1983/05/11 00:01,['1983/05/11 00:00'],"['1983/05/11 00:00 [pubmed]', '1983/05/11 00:01 [medline]', '1983/05/11 00:00 [entrez]']",ppublish,Nurs Times. 1983 May 11-17;79(19):56-7.,,,,,,,,,,,,,
6553043,NLM,MEDLINE,19830811,20061115,0147-9563 (Print) 0147-9563 (Linking),12,4,1983 Jul,Anemia and malignancies.,447-53,,,['eng'],"['Case Reports', 'Journal Article']",United States,Heart Lung,Heart & lung : the journal of critical care,0330057,['9007-73-2 (Ferritins)'],IM,"['Adenocarcinoma/complications/diagnosis/pathology', 'Adult', 'Aged', 'Anemia/complications/diagnosis/*pathology', 'Anemia, Aplastic/diagnosis', 'Anemia, Hemolytic/diagnosis', 'Anemia, Hypochromic/diagnosis', 'Anemia, Megaloblastic/diagnosis', 'Anemia, Myelophthisic/diagnosis', 'Anemia, Sideroblastic/diagnosis', 'Chronic Disease', 'Colonic Neoplasms/complications/diagnosis/pathology', 'Diagnosis, Differential', 'Erythrocytes, Abnormal/cytology', 'Female', 'Ferritins/blood', 'Humans', 'Leukemia/diagnosis', 'Male', 'Neoplasms/complications/diagnosis/*pathology']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",ppublish,Heart Lung. 1983 Jul;12(4):447-53.,,,,,,,,,,,,,
6552858,NLM,MEDLINE,19830708,20161109,0065-2598 (Print) 0065-2598 (Linking),156 (Pt B),,1983,Photometric determination of glandular kallikrein in urine: method and clinical application.,1153-60,"['Witt, I', 'Grassle, M', 'Geisert, B']","['Witt I', 'Grassle M', 'Geisert B']",['eng'],['Journal Article'],United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,"['AYI8EX34EU (Creatinine)', 'EC 3.4.21.- (Kallikreins)']",IM,"['Creatinine/urine', 'Diabetes Mellitus/urine', 'Female', 'Humans', 'Kallikreins/*urine', 'Leukemia/urine', 'Male', 'Nephritis/urine', 'Photometry/methods', 'Time Factors']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Adv Exp Med Biol. 1983;156 (Pt B):1153-60.,,,,,,,,,,,,,
6552202,NLM,MEDLINE,19830715,20190919,0141-9854 (Print) 0141-9854 (Linking),5,1,1983,Serial complement measurements in patients with leukaemia.,23-34,"['Minh, D Q', 'Czink, E', 'Mod, A', 'Fust, G', 'Hollan, S R']","['Minh DQ', 'Czink E', 'Mod A', 'Fust G', 'Hollan SR']",['eng'],['Journal Article'],England,Clin Lab Haematol,Clinical and laboratory haematology,7907061,"['0 (Antigen-Antibody Complex)', '0 (Antineoplastic Agents)', '0 (Complement C3)', '0 (Complement C4)', 'EC 3.4.21.47 (Complement Factor B)']",IM,"['Acute Disease', 'Antigen-Antibody Complex/analysis', 'Antineoplastic Agents/immunology', 'Complement C3/*analysis', 'Complement C4/*analysis', 'Complement Factor B/analysis', 'Drug Therapy, Combination', 'Humans', 'Leukemia/*immunology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Clin Lab Haematol. 1983;5(1):23-34. doi: 10.1111/j.1365-2257.1983.tb00493.x.,"Haemolytic activity of the classical and alternative pathways and the levels of C4, C3 and factor B were serially measured in 153 serum samples of 41 patients with different types of leukaemia (9 AML, 14 ALL, 10 CML and 8 CLL). In parallel, the concentration of circulating immune complexes (CIC) was estimated using two methods, the complement consumption assay and the Clq-solubility test. Different complement profiles were found in different types of leukaemia. In AML, each complement parameter tested was elevated as compared to the control values (sera of healthy blood donors). Similar results were observed in ALL, although the differences were less marked. In CML, dissociation of the classical and alternative pathway activities was found: activities of the classical pathway and C4 were significantly elevated, whereas activity of the alternative pathway as well as C3 and factor B concentration did not differ significantly from the control values. In CLL, normal or slightly depressed complement levels were found. The concentration of circulating immune complexes measured by both methods was significantly increased as compared to control values. No significant positive or negative correlations were found between the complement levels and the immune complex concentrations determined in the same sera. An association between the clinical course of acute leukaemia and the complement levels was observed: significantly elevated complement titres were found in the blastic stage of the disease, whereas in remission normal values were recorded. The results of complement measurements performed in serum samples obtained before and after combination chemotherapy were compared on 32 occasions. In parallel to a significant decrease in the absolute number of blast cells in the peripheral blood, a normalization of the increased complement levels was observed after treatment.",,['10.1111/j.1365-2257.1983.tb00493.x [doi]'],,,,,,,,,,
6552090,NLM,MEDLINE,19830617,20041117,0766-1193 (Print) 0766-1193 (Linking),,22,1983 Mar,[School and the hospitalized child].,29-45,"['Bony, M', 'Diot, J', 'Floret, M', 'Lemarchand, D', 'Mangeat, N', 'Perrin, A', 'Tremaudan, J']","['Bony M', 'Diot J', 'Floret M', 'Lemarchand D', 'Mangeat N', 'Perrin A', 'Tremaudan J']",['fre'],"['Case Reports', 'Journal Article']",France,Soins Gynecol Obstet Pueric Pediatr,"Soins. Gynecologie, obstetrique, puericulture, pediatrie",8213615,,,"['Adolescent', 'Cerebral Palsy/psychology', 'Child', 'Child, Hospitalized/*education/psychology', '*Education, Special', 'Female', 'France', 'Hospital Design and Construction', 'Hospital Units/*organization & administration', 'Humans', 'Leukemia/psychology', 'Male', 'Mental Disorders/psychology', 'Pediatric Nursing', 'Renal Dialysis']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",ppublish,Soins Gynecol Obstet Pueric Pediatr. 1983 Mar;(22):29-45.,,,,,L'ecole et l'enfant hospitalise.,,,,,,,,
6550828,NLM,MEDLINE,19830527,20041117,0954-7762 (Print) 0954-7762 (Linking),79,7,1983 Feb 16-22,Children with leukaemia.,28-9,"['Robotham, A']",['Robotham A'],['eng'],['Journal Article'],England,Nurs Times,Nursing times,0423236,,,"['Child', '*Family', 'Humans', 'Leukemia/*psychology/therapy', '*Parent-Child Relations']",1983/02/16 00:00,1983/02/16 00:01,['1983/02/16 00:00'],"['1983/02/16 00:00 [pubmed]', '1983/02/16 00:01 [medline]', '1983/02/16 00:00 [entrez]']",ppublish,Nurs Times. 1983 Feb 16-22;79(7):28-9.,,,,,,,,,,,,,
6549572,NLM,MEDLINE,19860107,20191031,0732-9482 (Print) 0732-9482 (Linking),1,2,1984,Intrathecally administered m-AMSA in the rhesus monkey.,101-7,"['Gormley, P', 'Riccardi, R', ""O'Neill, D"", 'Poplack, D']","['Gormley P', 'Riccardi R', ""O'Neill D"", 'Poplack D']",['eng'],['Journal Article'],United States,Cancer Drug Deliv,Cancer drug delivery,8409965,"['0 (Aminoacridines)', '0 (Antineoplastic Agents)', '00DPD30SOY (Amsacrine)']",IM,"['Aminoacridines/*administration & dosage/blood/cerebrospinal fluid', 'Amsacrine', 'Animals', 'Antineoplastic Agents/*administration & dosage/blood/cerebrospinal fluid', 'Injections, Intravenous', 'Injections, Spinal', 'Macaca mulatta', 'Male']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",ppublish,Cancer Drug Deliv. 1984;1(2):101-7. doi: 10.1089/cdd.1984.1.101.,"4'-(9-Acridinylamino)-methanesulfon-m-anisidide (m-AMSA) is an acridine compound that has been found useful in the systemic treatment of acute leukemia. This paper specifically investigates the CSF pharmacokinetics of m-AMSA following both intravenous and intraventricular administration in a subhuman primate model. Following intravenous administration, m-AMSA crossed the blood-brain barrier poorly; cerebrospinal fluid (CSF) concentrations were only 1-3% of systemic concentrations. Intraventricular administration of drug achieved high initial ventricular fluid concentrations, but the drug was rapidly cleared with a half-life of 115 min. Following 500 micrograms of intraventricular drug, CSF concentrations of m-AMSA remained above 1 microM for only 6 h. These data suggest that m-AMSA has potential as an intrathecal agent against meningeal leukemia refractory to more conventional therapy, but detailed toxicology and neurohistopathology will be required before intra-CSF m-AMSA can be considered for human use.",,['10.1089/cdd.1984.1.101 [doi]'],,,,,,,,,,
6549559,NLM,MEDLINE,19851220,20191031,0732-9482 (Print) 0732-9482 (Linking),1,1,1983,History of intrathecal prophylaxis and therapy of meningeal leukemia.,87-92,"['Burchenal, J H']",['Burchenal JH'],['eng'],['Journal Article'],United States,Cancer Drug Deliv,Cancer drug delivery,8409965,"['04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Child', 'Cytarabine/administration & dosage', 'Humans', 'Injections, Spinal', 'Kinetics', 'Leukemia/*drug therapy/prevention & control', 'Meningeal Neoplasms/*drug therapy/prevention & control', 'Methotrexate/*administration & dosage/cerebrospinal fluid']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Cancer Drug Deliv. 1983;1(1):87-92. doi: 10.1089/cdd.1983.1.87.,,,['10.1089/cdd.1983.1.87 [doi]'],,,,,,,,,,
6549496,NLM,MEDLINE,19850606,20191031,0192-8562 (Print) 0192-8562 (Linking),6,4,1984 Winter,Evaluation of the LSA2L2 protocol for treatment of childhood non-Hodgkin's lymphoma. A report from the Polish Children's Leukemia/Lymphoma Study Group.,363-70,"['Boguslawska-Jaworska, J', 'Koscielniak, E', 'Sroczynska, M', 'Sonta-Jakimczyk, D', 'Armata, J', 'Balwierz, W', 'Ciepielewska, D', 'Kaczmarek-Kanold, M', 'Ochocka, M', 'Radwanska, U']","['Boguslawska-Jaworska J', 'Koscielniak E', 'Sroczynska M', 'Sonta-Jakimczyk D', 'Armata J', 'Balwierz W', 'Ciepielewska D', 'Kaczmarek-Kanold M', 'Ochocka M', 'Radwanska U', 'et al.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)', 'LSA2-L2 protocol']",IM,"['Abdominal Neoplasms/complications/drug therapy/radiotherapy', 'Alopecia/chemically induced', 'Antineoplastic Combined Chemotherapy Protocols', 'Central Nervous System Diseases/drug therapy/etiology', 'Child', 'Cyclophosphamide/adverse effects/therapeutic use', 'Cytarabine/therapeutic use', 'Daunorubicin/adverse effects/therapeutic use', 'Female', 'Follow-Up Studies', 'Head and Neck Neoplasms/complications/drug therapy/radiotherapy', 'Humans', 'Leukopenia/chemically induced', 'Lymphoma/*drug therapy/radiotherapy', 'Male', 'Mediastinal Neoplasms/complications/drug therapy/radiotherapy', 'Methotrexate/adverse effects/therapeutic use', 'Neoplasm Staging', 'Prednisone/adverse effects/therapeutic use', 'Prognosis', 'Vincristine/adverse effects/therapeutic use']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",ppublish,Am J Pediatr Hematol Oncol. 1984 Winter;6(4):363-70. doi: 10.1097/00043426-198424000-00002.,"From 1979 to 1982, 97 previously untreated children with non-Hodgkin's lymphoma were treated with the LSA2L2 protocol proposed by Wollner. Staging was done according to the criteria proposed by Wollner and re-staged according to Murphy's criteria. Each patient, regardless of clinical stage and histologic group, was given the same chemotherapy. A total of 28 nonrandomized patients received either cranial irradiation or intermediate-dose intravenous methotrexate as CNS prophylaxis. The complete remission rate was 72.6%. The 3-year actuarial estimate of survival was 73% and the disease-free survival rate was 62% for all responders, and was influenced by stage and main clinical features present at the time of initial presentation. The overall survival rate at 3 years is 52%. Of 26 children who failed to achieve complete remission, 21 had presented with disseminated disease. Also, 20/67 patients who entered remission have suffered relapses: four in the bone marrow, seven in the CNS, and nine with local relapses. Only one of 28 children who received CNS prophylaxis developed CNS disease as the site of first relapse, whereas six of those who received only intrathecal chemotherapy did so. This study confirms the improved outlook in comparison with a historical group for children with non-Hodgkin's lymphoma by the use of an intensive multiple-drug regimen and CNS prophylaxis.",,['10.1097/00043426-198424000-00002 [doi]'],,,,,,,,,,
6549470,NLM,MEDLINE,19850529,20190904,0163-3864 (Print) 0163-3864 (Linking),47,6,1984 Nov-Dec,"Plant anticancer agents, XXXIV. Cucurbitacins from Elaeocarpus dolichostylus.",988-93,"['Fang, X', 'Phoebe, C H Jr', 'Pezzuto, J M', 'Fong, H H', 'Farnsworth, N R', 'Yellin, B', 'Hecht, S M']","['Fang X', 'Phoebe CH Jr', 'Pezzuto JM', 'Fong HH', 'Farnsworth NR', 'Yellin B', 'Hecht SM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (23,24-dihydrocucurbitacin F)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Triterpenes)', '60137-06-6 (Cucurbitacins)']",IM,"['Animals', 'Antineoplastic Agents, Phytogenic/*isolation & purification/pharmacology', 'Cell Division/drug effects', 'Chemical Phenomena', 'Chemistry', 'Cucurbitacins/*isolation & purification/pharmacology', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Triterpenes/*isolation & purification/pharmacology']",1984/11/01 00:00,2001/03/28 10:01,['1984/11/01 00:00'],"['1984/11/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1984/11/01 00:00 [entrez]']",ppublish,J Nat Prod. 1984 Nov-Dec;47(6):988-93. doi: 10.1021/np50036a013.,"Elaeocarpus dolichostylus has afforded the new cucurbitacin derivative, hexanorcucurbitacin F (3), whose structure was determined by spectroscopic and chemical correlation with curcurbitacin F (1). Cucurbitacin F (1) and 23,24-dihydrocucurbitacin F (2) were also isolated in this study.",['CM-97295/CM/NCI NIH HHS/United States'],['10.1021/np50036a013 [doi]'],,,,,,,,,,
6549467,NLM,MEDLINE,19850529,20190904,0163-3864 (Print) 0163-3864 (Linking),47,6,1984 Nov-Dec,"Antineoplastic agents, 105. Zephyranthes grandiflora.",1018-20,"['Pettit, G R', 'Gaddamidi, V', 'Cragg, G M']","['Pettit GR', 'Gaddamidi V', 'Cragg GM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (Amaryllidaceae Alkaloids)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Isoquinolines)', '0 (Solvents)', '96281-31-1 (pancratistatin)']",IM,"['*Amaryllidaceae Alkaloids', 'Animals', 'Antineoplastic Agents, Phytogenic/*isolation & purification/pharmacology', 'Chemical Phenomena', 'Chemistry', 'Isoquinolines/pharmacology', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Peru', 'Plants, Medicinal/*analysis', 'Solvents']",1984/11/01 00:00,1984/11/01 00:01,['1984/11/01 00:00'],"['1984/11/01 00:00 [pubmed]', '1984/11/01 00:01 [medline]', '1984/11/01 00:00 [entrez]']",ppublish,J Nat Prod. 1984 Nov-Dec;47(6):1018-20. doi: 10.1021/np50036a020.,,"['CA-16049-06-08/CA/NCI NIH HHS/United States', 'N01-CM-97297/CM/NCI NIH HHS/United States']",['10.1021/np50036a020 [doi]'],,,,,,,,,,
6549317,NLM,MEDLINE,19850322,20190723,0021-8820 (Print) 0021-8820 (Linking),37,12,1984 Dec,3'-Deamino-4'-epi-3'-hydroxy-daunorubicin and -doxorubicin. Synthesis and antitumor activity.,1635-41,"['Horton, D', 'Priebe, W', 'Varela, O']","['Horton D', 'Priebe W', 'Varela O']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['3Z8479ZZ5X (Epirubicin)', ""73113-90-3 (3'-deamino-3'-hydroxydoxorubicin)"", '80168379AG (Doxorubicin)', ""95405-79-1 (3'-deamino-3'-hydroxydaunorubicin)"", 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Daunorubicin/*analogs & derivatives/chemical synthesis/pharmacology', 'Doxorubicin/*analogs & derivatives/chemical synthesis/pharmacology', '*Epirubicin/*analogs & derivatives', 'Leukemia P388/drug therapy', 'Mice', 'Structure-Activity Relationship']",1984/12/01 00:00,1984/12/01 00:01,['1984/12/01 00:00'],"['1984/12/01 00:00 [pubmed]', '1984/12/01 00:01 [medline]', '1984/12/01 00:00 [entrez]']",ppublish,J Antibiot (Tokyo). 1984 Dec;37(12):1635-41. doi: 10.7164/antibiotics.37.1635.,"3'-Deamino-4'-epi-3'-hydroxy-daunorubicin (11) and -doxorubicin (14) have been synthesized. In the in vivo murine P-388 lymphocytic leukemia assay, these two compounds were more active than daunorubicin (1) and doxorubicin (2), respectively. Comparative studies in the P-388 assay indicated 3'-deamino-3'-hydroxydoxorubicin (3) to be more active than its 4'-epimer 14.",['GM-11976/GM/NIGMS NIH HHS/United States'],['10.7164/antibiotics.37.1635 [doi]'],,,,,,,,,,
