PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1289191,NLM,MEDLINE,19930325,20041117,0390-6078 (Print) 0390-6078 (Linking),77,6,1992 Nov-Dec,Cutaneous involvement of systemic fungal infections in neutropenic patients.,522-3,"Skin nodules can be the first evidence of a disseminated fungal infection in febrile neutropenic patients. We present our experience in the diagnosis of this clinical problem in five patients treated for serious hematologic conditions in our Service. There were two cases of Candida sp., two of Fusarium sp., and one of Trichosporon sp.. The immediate assessment of any suspicious lesion, including a biopsy of the lesion for microbiological and histopathologic examinations, will usually lead to the correct diagnosis.","['Nucci, M', 'Pulcheri, W', 'Spector, N', 'Maiolino, A', 'Caiuby, M J', 'Maceira, J', 'Oliveira, H P']","['Nucci M', 'Pulcheri W', 'Spector N', 'Maiolino A', 'Caiuby MJ', 'Maceira J', 'Oliveira HP']","['University Hospital, Federal University of Rio de Janeiro, Brasil.']",['eng'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,,IM,,"['Anemia, Aplastic/complications', 'Biopsy', 'Dermatomycoses/complications/*pathology', 'Fever/etiology', 'Humans', 'Immunocompromised Host', 'Leukemia/complications', 'Mycoses/complications', 'Neutropenia/*complications', 'Retrospective Studies']",,1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Haematologica. 1992 Nov-Dec;77(6):522-3.,,,,,,,,,,,,,,,
1289185,NLM,MEDLINE,19930325,20130520,0390-6078 (Print) 0390-6078 (Linking),77,6,1992 Nov-Dec,ANLL patients with normal karyotype are not a homogeneous prognostic group.,484-6,"BACKGROUND AND METHODS: Karyotype in ANLL is referred as an independent prognostic factor. The prognosis of diploid ANLL subjects has been defined as ""good"" by some authors, or, more recently, ""intermediate"" by others. This is a retrospective study on 30 consecutive heavy treated ANLL diploid patients with the aim to make a correlation among age, normal karyotype and response. Chromosomal banding studies were performed at presentation with GTG technique. Diploid patients were divided into two age groups < 60 years (17 cases) and > or = 60 (13 cases). Data were analyzed by NCSS software. RESULTS AND CONCLUSIONS: CR rate for the two diploid age groups was 94% and 38% respectively (p = 0.002). Median DFS and overall survival were 14.4 and 23.3 months, 4 and 5 months for the two subgroups respectively: these data were not statistically significative. The probability of achieving CR was not affected by blood counts and Karnofsky performance status on admission, but only by age. Though ANLL patients with the same karyotype have the same course regardless of other prognostic factors, this does not occur in our series of diploid patients. We suggest that a normal karyotype, at least as defined with the GTG technique, does not characterize a homogeneous group of patient. Heterogeneity in this group might be due to submicroscopic or molecular genetic changes; it can enhance the age as prognostic factor.","['Mirto, S', 'Santoro, A', 'Barbata, G', 'Crescimanno, A', 'Buscemi, F', 'Carbone, P', 'Caronia, F']","['Mirto S', 'Santoro A', 'Barbata G', 'Crescimanno A', 'Buscemi F', 'Carbone P', 'Caronia F']","['Dipartimento di Ematologia, Ospedale V. Cervello, USL 60, Palermo, Italy.']",['eng'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,,IM,,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Chromosome Banding', 'Diploidy', 'Female', 'Humans', '*Karyotyping', 'Leukemia, Myeloid, Acute/classification/drug therapy/*genetics/mortality', 'Male', 'Middle Aged', 'Prognosis', 'Remission Induction', 'Retrospective Studies', 'Survival Rate']",,1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Haematologica. 1992 Nov-Dec;77(6):484-6.,,,,,,,,,,,,,,,
1289123,NLM,MEDLINE,19930325,20190918,0014-7370 (Print) 0014-7370 (Linking),31,4,1992 Dec,Lives in a balance: perceived family functioning and the psychosocial adjustment of adolescent cancer survivors.,383-97,"Childhood cancer patients have a greater likelihood of long-term survival than ever before. This study examined both the perceived family functioning of adolescents who had successfully completed treatment for pediatric cancer and the relationship between family functioning and post-treatment adjustment. Eighty-eight adolescent survivors of hematologic malignancies were assessed regarding their family functioning, mental health, self-esteem, global competence, and problem behaviors. Contrary to expectations about the influence of cancer on these families, adolescent cancer survivors reported lower levels of family cohesion than the normative sample of healthy adolescents and their families. While current age, gender, age at diagnosis, and time since treatment completion were generally not associated with adolescents' adjustment, perceived family cohesion and adaptability were strongly related to post-treatment psychological adjustment.","['Rait, D S', 'Ostroff, J S', 'Smith, K', 'Cella, D F', 'Tan, C', 'Lesko, L M']","['Rait DS', 'Ostroff JS', 'Smith K', 'Cella DF', 'Tan C', 'Lesko LM']","['Family Therapy Program, Palo Alto Veterans Administration Medical Center/Stanford University School of Medicine, CA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Fam Process,Family process,0400666,,IM,,"['*Adaptation, Psychological', 'Adolescent', '*Adolescent Behavior', 'Child', '*Family', 'Female', 'Follow-Up Studies', 'Hodgkin Disease/psychology/therapy', 'Humans', 'Leukemia/psychology/therapy', 'Lymphoma, Non-Hodgkin/psychology/therapy', 'Male', 'Neoplasms/*psychology/therapy', '*Psychology, Adolescent', 'Regression Analysis', '*Social Adjustment']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Fam Process. 1992 Dec;31(4):383-97. doi: 10.1111/j.1545-5300.1992.00383.x.,,['CA09461/CA/NCI NIH HHS/United States'],['10.1111/j.1545-5300.1992.00383.x [doi]'],63,,,,,,,,,,,
1289063,NLM,MEDLINE,19930325,20061115,0950-1991 (Print) 0950-1991 (Linking),116,3,1992 Nov,Multiple cholinergic differentiation factors are present in footpad extracts: comparison with known cholinergic factors.,731-44,"Sweat glands in rat footpads contain a neuronal differentiation activity that switches the phenotype of sympathetic neurons from noradrenergic to cholinergic during normal development in vivo. Extracts of developing and adult sweat glands induce changes in neurotransmitter properties in cultured sympathetic neurons that mimic those observed in vivo. We have characterized further the factors present in the extract and compared their properties to those of known cholinergic factors. When assayed on cultured rat sympathetic neurons, the major activities in footpad extracts from postnatal day 21 rat pups that induce choline acetyltransferase (ChAT) and vasoactive intestinal peptide (VIP) and reduce catecholamines and neuropeptide Y (NPY) are associated with a soluble protein of 22-26 x 10(3) M(r) and a pI of 5.0. These properties are similar to those of ciliary neurotrophic factor (CNTF). Moreover, the purified fraction from footpads has ciliary neurotrophic activity. Antibodies to CNTF that immunoprecipitate all differentiation activity from sciatic nerve extracts, a rich source of CNTF, immunoprecipitate 80% of the cholinergic activity in the footpad extracts, 50% of the VIP and 20% of the NPY activities. Neither CNTF protein nor CNTF mRNA, however, can be detected in immunoblot and northern analysis of footpads even though both CNTF protein and mRNA are evident in sciatic nerve. CNTF-immunoreactivity is associated with a sparse plexus of sensory fibers in the footpad but not with sweat glands or the Schwann cells associated with them. In addition, in situ hybridization studies with oligonucleotide probes failed to reveal CNTF mRNA in sweat glands. Comparison of the sweat gland differentiation activity with the cholinergic differentiation factor from heart cells (CDF; also known as leukemia inhibitory factor or LIF) suggests that most of the cholinergic activity in foot pads is biochemically distinct from CDF/LIF. Further, antibodies that block the activity of CDF/LIF purified from heart-cell-conditioned medium do not block the ChAT-inducing activity present in footpad extracts of postnatal day 8 animals. A differentiation factor isolated from skeletal muscle did not induce cholinergic properties in sympathetic neuron cultures and therefore is unlikely to be the cholinergic differentiation factor produced by sweat glands. Taken together, our data suggest that there are at least two differentiation molecules present in the extracts and that the major cholinergic activity obtained from footpads is related to, but distinct from, CNTF. The second factor remains to be characterized. In addition, CNTF associated with sensory fibers may make a minor contribution to the cholinergic inducing activity present in the extract.","['Rao, M S', 'Patterson, P H', 'Landis, S C']","['Rao MS', 'Patterson PH', 'Landis SC']","['Division of Biology, California Institute of Technology, Pasadena 91125.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Development,"Development (Cambridge, England)",8701744,"['0 (Ciliary Neurotrophic Factor)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Nerve Growth Factors)', '0 (Nerve Tissue Proteins)']",IM,,"['Animals', 'Cell Differentiation/physiology', 'Cells, Cultured', 'Cholinergic Fibers/physiology', 'Chromatography, High Pressure Liquid', 'Ciliary Neurotrophic Factor', 'Electrophoresis, Polyacrylamide Gel', 'Growth Inhibitors/physiology', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/physiology', 'Nerve Growth Factors/*analysis', 'Nerve Tissue Proteins/physiology', 'Neurons/*chemistry', 'Rats', 'Sweat Glands/*chemistry/innervation']",,1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Development. 1992 Nov;116(3):731-44.,,,,,,,,,,,,,,,
1289055,NLM,MEDLINE,19930325,20131121,0950-1991 (Print) 0950-1991 (Linking),116,3,1992 Nov,Expression of Pax-3- and neuroectoderm-inducing activities during differentiation of P19 embryonal carcinoma cells.,573-83,"A P19 embryonal carcinoma stem cell line carrying an insertion of the E. coli LacZ gene in an endogenous copy of the Pax-3 gene was identified. Expression of the Pax-3/LacZ fusion gene in neuroectodermal and mesodermal lineages following induction of differentiation by chemical treatments (retinoic acid and dimethylsulfoxide) was characterized using this line and is consistent with the previous localization of Pax-3 expression in the embryo to mitotically active cells of the dorsal neuroectoderm and the adjacent segmented dermomyotome. Pax-3/LacZ marked stem cells were also utilized as target cells in mixing experiments with unmarked P19 cells that had been differentiated by pretreatment with chemical inducers. Induction of beta-galactosidase and neuroectodermal markers in the target cells demonstrates that: (1) some differentiated P19 cell derivatives transiently express endogenous Pax-3- and neuroectoderm-inducing activities, (2) undifferentiated target stem cells respond to these activities even in the presence of leukemia inhibitory factor and (3) the endogenous activities can be distinguished from, and are more potent than, retinoic acid treatment in inducing neuroectoderm. These observations demonstrate that P19 embryonal carcinoma cells provide a useful in vitro system for analysis of the cellular interactions responsible for neuroectoderm induction in mammals.","['Pruitt, S C']",['Pruitt SC'],"['Roswell Park Cancer Institute, Department of Molecular and Cellular Biology, Buffalo, NY 14263.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Development,"Development (Cambridge, England)",8701744,"['0 (DNA-Binding Proteins)', '5688UTC01R (Tretinoin)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,['Pax-3'],"['Animals', 'Blotting, Northern', 'Cell Line', 'DNA-Binding Proteins/*genetics', 'Dimethyl Sulfoxide/pharmacology', 'Ectoderm/*physiology', 'Embryonic Induction/drug effects/*physiology', 'Fluorescent Antibody Technique', 'Gene Expression/*physiology', 'Mammals/*embryology', 'Mesoderm/physiology', 'Nervous System/*embryology', 'Teratoma', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured']",,1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Development. 1992 Nov;116(3):573-83.,,['HD25419/HD/NICHD NIH HHS/United States'],,,,,,,,,,,,,
1288971,NLM,MEDLINE,19930324,20071115,0366-6999 (Print) 0366-6999 (Linking),105,9,1992 Sep,Plasma ammonia in patients with acute leukemia.,713-6,"Plasma ammonia level (PAL) was studied in 43 cases of acute leukemia (AL). PAL was 39.21 +/- 26.2 mumol/L in normal controls and 38.8 +/- 16.6 mumol/L in leukemic patients before chemotherapy. High PAL was found in 40 cases after chemotherapy. Six cases showed clinical manifestations due to severe hyperammonemia, including dizziness, lethargy, confusion, coma and mental changes of various degree, and there was also respiratory alkalosis. After ammonia-trapping therapy, 4 of the 5 patients recovered. The authors believe that high PAL is not uncommon after chemotherapy in leukemic patients. Respiratory alkalosis and unexplained mental and neurologic changes following intensive chemotherapy are useful clues for the diagnosis of hyperammonemia syndrome. Early diagnosis and treatment with ammonia-trapping may improve the rates of remission and survival.","['Xu, S R', 'Yao, E G', 'Dong, Z R', 'Liu, R S', 'Pan, L', 'Lin, F R', 'Zhang, R X', 'Liu, M C', 'Ma, B B', 'Yin, J Q']","['Xu SR', 'Yao EG', 'Dong ZR', 'Liu RS', 'Pan L', 'Lin FR', 'Zhang RX', 'Liu MC', 'Ma BB', 'Yin JQ']","['Research Laboratory of Hematology, Second Affiliated Hospital, Hebei Medical College, Shijiazhuang.']",['eng'],['Journal Article'],China,Chin Med J (Engl),Chinese medical journal,7513795,['7664-41-7 (Ammonia)'],IM,,"['Adolescent', 'Adult', 'Ammonia/*blood', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/drug therapy']",,1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",ppublish,Chin Med J (Engl). 1992 Sep;105(9):713-6.,,,,,,,,,,,,,,,
1288883,NLM,MEDLINE,19930324,20061115,0008-7335 (Print) 0008-7335 (Linking),131,24-25,1992 Dec 4,[Results of bone marrow transplantation at the Institute of Hematology and Blood Transfusion in Prague].,764-9,"The first allogenic bone marrow transplantation (TKD), when for the preparation whole body irradiation was used, was implemented in the Institute of Haematology and Blood Transfusion (UHKT) in Prague in 1986. Before June 1992 36 TKD were performed incl. 28 allogenic, 2 syngenic and 6 autologous. For the first time bone marrow from a non-related donor was transplanted. Of 30 allogenic and syngenic TKD to the present time 17 patients survive, i.e. 56.6% of the whole group. According to individual diagnoses 8 patients with the diagnosis of chronic myeloid leukaemia (CML) survive, 5 of 10 patients with the diagnosis of acute leukaemia (AL) and 3 of 4 patients with the diagnosis of severe aplastic anaemia (SAA) or with Fancon's anaemia (FA) resp. The survival period of the whole group is from 1-62 months since the transplantation. The main cause of death of 8 from 13 patients who died were infections associated with acute or chronic disease of the graft against the host (GVHD). In autologous TKD the bone marrow was treated with etoposide. Of the six transplanted patients with AL five survive 1.5-30 months after transplantation. The authors present some general information of pretransplantation preparation, prevention of GVHD, its incidence and results of TKD.","['Lukasova, M', 'Hrabanek, J', 'Chudomel, V', 'Vanasek, J', 'Majsky, A', 'Korinkova, P', 'Soucek, J', 'Hruba, A', 'Kobylka, P', 'Herzog, P']","['Lukasova M', 'Hrabanek J', 'Chudomel V', 'Vanasek J', 'Majsky A', 'Korinkova P', 'Soucek J', 'Hruba A', 'Kobylka P', 'Herzog P', 'et al.']","['Ustav hematologie a krevni transfuze, Praha.']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,,IM,,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Humans', 'Middle Aged']",,1992/12/04 00:00,1992/12/04 00:01,['1992/12/04 00:00'],"['1992/12/04 00:00 [pubmed]', '1992/12/04 00:01 [medline]', '1992/12/04 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1992 Dec 4;131(24-25):764-9.,,,,,Vysledky transplantace kostni drene v Ustavu hematologie a krevni transfuze v Praze.,,,,,,,,,,
1288877,NLM,MEDLINE,19930324,20061115,0008-7335 (Print) 0008-7335 (Linking),131,24-25,1992 Dec 4,[Nucleolar asynchrony in human acute myeloid leukemia blast cells].,746-8,"Nucleolar asynchrony (the presence of ""active"" and ""sleeping"" nucleoli with respect to the RNA synthesis in one and the same nucleus) was noted and studied in blastic cells of the peripheral blood in patients of acute myeloid leukemias (M1 - M4 according to FAB classification) by means of light microscopy of smears after visualization of RNA containing structures. Nucleolar asynchrony seems to be a regular phenomenon in a certain number of blastic cells in the peripheral blood and has been also verified by electron microscopy. No significant difference has been noted in the incidence of blasts with nucleolar asynchrony between the peripheral blood of patients treated and untreated by cytostatic therapy at the time of taking samples for the present study: The presence of the nucleolar asynchrony/might contribute to the resistance of a certain population of leukemic blasts to the cytostatic therapy. This supposition is supported by the present experiments ""in vitro"" on mouse leukemic myeloblasts sensitive and resistant to Doxorubicin. The Doxorubicin resistant myeloblasts were characterized by a significantly larger incidence of the nucleolar asynchrony as compared with myeloblasts of the Doxorubicin sensitive cell line.","['Smetana, K', 'Rosa, L', 'Jiraskova, I', 'Lesakova, D', 'Subrtova, H', 'Chan, P K']","['Smetana K', 'Rosa L', 'Jiraskova I', 'Lesakova D', 'Subrtova H', 'Chan PK']","['Ustav hematologie a krevni transfuze, Praha.']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,"['0 (RNA, Messenger)']",IM,,"['Acute Disease', 'Cell Nucleolus/metabolism/*ultrastructure', 'Hematopoietic Stem Cells/*ultrastructure', 'Humans', 'Leukemia, Myeloid/genetics/*pathology', 'RNA, Messenger/analysis']",,1992/12/04 00:00,1992/12/04 00:01,['1992/12/04 00:00'],"['1992/12/04 00:00 [pubmed]', '1992/12/04 00:01 [medline]', '1992/12/04 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1992 Dec 4;131(24-25):746-8.,,,,,Nukleolarni asynchronie v blastech lidskych akutnich myeloidnich leukemii.,,,,,,,,,,
1288876,NLM,MEDLINE,19930324,20081121,0008-7335 (Print) 0008-7335 (Linking),131,24-25,1992 Dec 4,[Ferrochelatase gene expression in erythroid cells].,741-5,"The mRNA level for ferrochelatase was assessed in the total cytoplasmic RNA isolated from mouse erythroleukaemic cells, line 707, in the course of induction of erythroid differentiation with hexamethylenebisacetamide and from spleen cells of mice in different stages of erythroid differentiation after phenylhydrazine administration. The level of this mRNA increased after five days of induction of erythroleukaemic cells about six times. An even more marked increase of the mRNA level for ferrochelatase (13.5X) was found in the total cytoplasmic RNA isolated from erythropoietic spleen cells of mice after induction of haemolytic anaemia by phenylhydrazine. Haem synthesis inhibitors (succinylacetone, isonicotinic acid hydrazide and penicillamine) caused a reduced gene expression for ferrochelatase in erythroleukaemic cells of mice induced with hexamethylenebisacetamide. Conversely addition of precursors of haem synthesis (5-aminolaevulinic acid or protoporphyrin IX) led to an increased mRNA synthesis for ferrochelatase. In addition to protoporphyrin synthesis the supply of another substrate, iron, is decisive for the gene expression ferrochelatase. Iron chelators (desferrioxamine or pyridoxal isonicotinoylhydrazone) reduced and iron donors (iron bound to transferrin or pyridoxal isonicotinoylhydrazone) enhanced mRNA synthesis for ferrochelatase. Added haemin reduces mRNA synthesis for ferrochelatase in fully induced erythroleukaemic cells but increases the gene expression ferrochelatase in the course of induction of erythroid differentiation because it acts as an inducing agent.","['Fuchs, O']",['Fuchs O'],"['Ustav hematologie a krevni transfuze, Praha.']",['cze'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,"['0 (RNA, Messenger)', 'EC 4.99.1.1 (Ferrochelatase)']",IM,,"['Animals', 'Erythroid Precursor Cells/*enzymology', 'Ferrochelatase/*genetics', 'Friend murine leukemia virus', '*Gene Expression', 'Leukemia, Erythroblastic, Acute/*genetics', 'Mice', 'RNA, Messenger/analysis', 'Tumor Cells, Cultured']",,1992/12/04 00:00,1992/12/04 00:01,['1992/12/04 00:00'],"['1992/12/04 00:00 [pubmed]', '1992/12/04 00:01 [medline]', '1992/12/04 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1992 Dec 4;131(24-25):741-5.,,,,,Exprese genu pro ferochelatazu v erytroidnich bunkach.,,,,,,,,,,
1288873,NLM,MEDLINE,19930324,20071115,0008-7335 (Print) 0008-7335 (Linking),131,24-25,1992 Dec 4,[Use of cytogenetic and molecular biology in the detection of chronic myeloid leukemia].,729-32,The examination of the presence of Ph chromosome and of the fused gene BCR-ABL in patients with chronic myeloid leukemia (CML) is significant for the precise diagnosis and in some cases for the prognosis of the disease. We examined peripheral blood for the presence of BCR-ABL fused gene by polymerase chain reaction (PCR) in eight patients with CML consecutively cytogenetically studied before and after the bone marrow transplantation and in two patients treated with interferon. Southern blot analysis was performed before BMT in two patients and the molecular rearrangement of Ph chromosome was found. In all cases our results have proved that cytogenetic and recombinant DNA evaluations confirm each other. Due to the high sensitivity of PCR technique the minimal residual leukemia can be detected.,"['Michalova, K', 'Zemanova, Z', 'Haskovec, C', 'Rypackova, B', 'Brdicka, R']","['Michalova K', 'Zemanova Z', 'Haskovec C', 'Rypackova B', 'Brdicka R']","['III. interni klinika 1. lekarske fakulty Univerzity Karlovy, Praha.']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,,IM,,"['Blotting, Southern', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis/genetics', 'Philadelphia Chromosome', 'Polymerase Chain Reaction']",,1992/12/04 00:00,1992/12/04 00:01,['1992/12/04 00:00'],"['1992/12/04 00:00 [pubmed]', '1992/12/04 00:01 [medline]', '1992/12/04 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1992 Dec 4;131(24-25):729-32.,,,,,Cytogeneticky a molekularne biologicky prukaz chronicke myeloidni leukemie.,,,,,,,,,,
1288821,NLM,MEDLINE,19930324,20161123,0006-9248 (Print) 0006-9248 (Linking),93,10,1992 Oct,[Abnormal CT brain scan during acute lymphoblastic leukemia in children].,530-7,"The results of CT brain scans were evaluated in 96 children with acute lymphoblastic leukemia in different stages of the disease. Practically normal findings were recorded at establishing the diagnosis (17 children), with the exception of infiltration of the brain and meninges in one patient. Examinations performed after induction chemotherapy (31 children) revealed abnormal CT scans in 55% of the children concerning most frequently dilatation of the cerebrospinal fluid pathways and exhibiting less frequently hypodense foci in the white matter. At check-up examinations after 9 months (following prophylaxis of CNS leukemia) these deviations from the norm had disappeared in some patients, in others they persisted and in the rest of the patients they were found to be aggravated. Examinations carried out several years after treatment completion (40 patients) showed abnormal CR scans in 43% of the patients. These involved particularly derangements in the density of the white matter which were of leuko-dystrophic type and atrophic changes characterized by dilatation of the cerebrospinal fluid pathways. The recorded changes in the CT brain scans were more pronounced in patients with high-risk forms of leukemia and intensive prophylaxis of CNS leukemia.","['Cap, J', 'Foltinova, A', 'Boruta, P']","['Cap J', 'Foltinova A', 'Boruta P']","['Katedra pediatrie II LFUK, Bratislave, CSFR.']",['slo'],['Journal Article'],Slovakia,Bratisl Lek Listy,Bratislavske lekarske listy,0065324,,IM,,"['Adolescent', 'Brain/*diagnostic imaging', 'Child', 'Female', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnostic imaging', '*Tomography, X-Ray Computed']",,1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Bratisl Lek Listy. 1992 Oct;93(10):530-7.,,,,,Abnormalne obrazy pocitacovej tomografie mozgu v priebehu akutnej lymfoblastickej leukemie u deti.,,,,,,,,,,
1288818,NLM,MEDLINE,19930324,20161026,0006-9248 (Print) 0006-9248 (Linking),93,10,1992 Oct,[Differentiation antigens of hematopoietic cells (CD system)].,507-15,"Monoclonal antibodies allowed recognition and identification of a series of hematopoietic cell membrane antigens expressed on plasma membranes of leukemia patients and on cells of healthy subjects. Monoclonal antibodies produced in different laboratories were clustered on the basis of their reactivity with normal and malignant hematopoietic cells into CD (cluster of differentiation) groups, with defined properties of recognized antigens (glycoprotein, phosphoprotein or glycolipid nature, molecular weight, isoelectric point, amino acid or carbohydrate sequence, etc.) and with functional characteristics of the corresponding antigen and its distribution on cells of the hematopoietic system. This ""CD system"" of human hematopoietic cell differentiation antigens was established in a series of international laboratory workshops (1982-1989). The present state of the CD classification system, as assessed after the IVth International Workshop on Hematopoietic Cell Differentiation Antigens (1988/89), in which more than 100 laboratories analyzed over 1,000 monoclonal antibodies, is described. An overview of the data concerning properties of monoclonal antibodies produced in the authors' laboratory (monoclonal antibodies series Bra-) is presented.","['Chorvath, B', 'Sedlak, J']","['Chorvath B', 'Sedlak J']","['Ustav experimentalnej onkologie SAV, Bratislave, CSFR.']",['slo'],"['English Abstract', 'Journal Article']",Slovakia,Bratisl Lek Listy,Bratislavske lekarske listy,0065324,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)']",IM,,"['Antibodies, Monoclonal', 'Antigens, CD/*analysis', 'Hematopoietic Stem Cells/*immunology', 'Humans']",,1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Bratisl Lek Listy. 1992 Oct;93(10):507-15.,,,,,Antigeny diferenciacie hematopoetickych buniek (CD-system).,,,,,,,,,,
1288735,NLM,MEDLINE,19930325,20190911,0959-4973 (Print) 0959-4973 (Linking),3,6,1992 Dec,Bone marrow stromal cells attenuate mitoxantrone cytotoxicity against HL-60 leukemic cells.,647-50,We evaluated the effect of cultured human bone marrow (BM) stromal cells on the cytotoxicity of mitoxantrone (MIT) against the HL-60 leukemic cell line. BM-derived fibroblastoid cells (BMFC) suppressed colony formation of HL-60 cells in the absence of MIT. BMFC increased the survival of HL-60 colony-forming cells in the presence of 50 ng/ml MIT. A significant decrease in the drug concentration was not detected on BMFC. Our results suggest that BM stromal cells can modulate the antileukemic effect of an anticancer drug.,"['Takahashi, A', 'Yamamoto, K', 'Okuma, M', 'Sasada, M']","['Takahashi A', 'Yamamoto K', 'Okuma M', 'Sasada M']","['Department of Internal Medicine, Faculty of Medicine, Kyoto University, Japan.']",['eng'],['Journal Article'],England,Anticancer Drugs,Anti-cancer drugs,9100823,"['0 (Phytohemagglutinins)', 'BZ114NVM5P (Mitoxantrone)']",IM,,"['Cell Adhesion', 'Cell Survival/drug effects', 'Fibroblasts/drug effects', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Leukemia/*pathology', 'Mitoxantrone/*pharmacology', 'Phytohemagglutinins/pharmacology', 'Tumor Cells, Cultured/drug effects/pathology', '*Tumor Stem Cell Assay']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Anticancer Drugs. 1992 Dec;3(6):647-50. doi: 10.1097/00001813-199212000-00014.,,,['10.1097/00001813-199212000-00014 [doi]'],,,,,,,,,,,,
