PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AD,GR,PMC,AID,EIN,SI,CIN,TT,RF,CON,OID,OAB,OABL,OTO,OT,GN
2544670,NLM,MEDLINE,19890803,20041117,0022-1317 (Print) 0022-1317 (Linking),70 ( Pt 7),,1989 Jul,Persistent replication of herpes simplex virus type 1 in JOK-1 cells.,1907-11,"Infection of the human B cell line JOK-1 with herpes simplex virus type 1 persisted over a period of more than 12 months (to date). Although limited cytopathic effects were seen, viral infection did not lead to extinction of the culture. Infectious centre assays, performed at various times after infection, revealed that only a small proportion of cells (1 to 10%) produced infectious virus particles. However, immunofluorescence studies showed that at any given time considerably more cells than calculated by infectious centre assays contained the immediate early viral protein ICP4 and expressed viral glycoproteins. These observations were confirmed by in situ hybridization analyses which revealed the presence of viral DNA even in cells not producing infectious particles. Since no evidence for the involvement of interferon could be found, some other so far unknown intrinsic property of the cells must be responsible for the restriction of virus replication and/or maturation.","['Thiele, K', 'Mittnacht, S', 'Kirchner, H']","['Thiele K', 'Mittnacht S', 'Kirchner H']",['eng'],['Journal Article'],England,J Gen Virol,The Journal of general virology,0077340,"['0 (Antigens, Viral)', '0 (DNA, Viral)']",IM,"['Antigens, Viral/analysis', 'B-Lymphocytes/analysis/metabolism/*microbiology', 'Cell Line', 'DNA, Viral/analysis', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia, Hairy Cell', 'Leukocyte Count', 'Nucleic Acid Hybridization', 'Simplexvirus/growth & development/immunology/*physiology', 'Tumor Cells, Cultured/analysis/metabolism/*microbiology', '*Virus Replication']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",ppublish,J Gen Virol. 1989 Jul;70 ( Pt 7):1907-11. doi: 10.1099/0022-1317-70-7-1907.,"['Institute for Virus Research, German Cancer Research Center, Heidelberg, F.R.G.']",,,['10.1099/0022-1317-70-7-1907 [doi]'],,,,,,,,,,,,
2544663,NLM,MEDLINE,19890803,20061115,0022-1317 (Print) 0022-1317 (Linking),70 ( Pt 7),,1989 Jul,Epstein-Barr virus latent gene expression during the initiation of B cell immortalization.,1755-64,"Epstein-Barr virus (EBV) has the capacity to immortalize a subpopulation of resting B lymphocytes. Lymphoblastoid cell lines (LCL) established in this way carry the latent EBV genome as multiple copies of an extrachromosomal episome. Viral gene expression in LCLs is highly restricted; products identified correspond to a membrane protein (latent membrane protein; LMP), a nuclear antigen complex (Epstein-Barr nuclear antigens; EBNAs 1 to 6), two small RNA species (EBERs 1 and 2) and RNA species thought to encode a second membrane-associated polypeptide designated terminal protein (TP). Here we have investigated the temporal sequence of expression of the characterized 'latent' proteins during the initiation of immortalization when resting B cells are stimulated to enter and traverse the cell cycle. The analysis has been carried out on prolymphocytic leukaemia cells infected in vitro with either the immortalizing B95-8 strain of virus or the non-immortalizing P3HR1 strain. The results reveal that following B95-8 infection, a sequence of EBV expression is initiated within approximately 8 h with the synthesis of detectable levels of EBNA 2 shortly followed by EBNAs 1, 3, 4, 5 and 6. There is then a delay of approximately 40 h until the expression of LMP completes the latent pattern of proteins found in LCLs. P3HR1 infection, however, produces only transient expression of some EBNA species in a small percentage of cells after approximately 48 h. These observations suggest the failure of P3HR1 virus to immortalize may not be due solely to the absence of EBNA 2 expression and that cellular and/or virus-mediated events occur after EBNA synthesis which then facilitate efficient LMP expression and immortalization.","['Allday, M J', 'Crawford, D H', 'Griffin, B E']","['Allday MJ', 'Crawford DH', 'Griffin BE']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Gen Virol,The Journal of general virology,0077340,"['0 (Antigens, Viral)', '0 (EBV-associated membrane antigen, Epstein-Barr virus)', '0 (Epstein-Barr Virus Nuclear Antigens)', '0 (Viral Matrix Proteins)']",IM,"['Animals', 'Antigens, Viral/analysis', 'B-Lymphocytes/analysis/*microbiology/pathology', 'Cell Line, Transformed', '*Cell Transformation, Viral', 'Epstein-Barr Virus Nuclear Antigens', '*Gene Expression Regulation', '*Genes, Viral', 'Herpesvirus 4, Human/analysis/*genetics/immunology', 'Humans', 'Leukemia, Prolymphocytic/metabolism/*microbiology/pathology', 'Mice', '*Viral Matrix Proteins']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",ppublish,J Gen Virol. 1989 Jul;70 ( Pt 7):1755-64. doi: 10.1099/0022-1317-70-7-1755.,"['Department of Virology, Royal Postgraduate Medical School, London, U.K.']",,,['10.1099/0022-1317-70-7-1755 [doi]'],,,,,,,,,,,,
2544649,NLM,MEDLINE,19890731,20081121,0022-1767 (Print) 0022-1767 (Linking),143,2,1989 Jul 15,Feline cytotoxic large granular lymphocytes induced by recombinant human IL-2.,749-54,"Large granular lymphocytes (LGL) have been characterized phenotypically and functionally as cytotoxic T lymphocytes, NK cells or lymphokine-activated killer cells. The most prominent morphologic feature of LGL is large cytoplasmic granules that are thought to contain the molecules responsible for cell lysis. In this study, we describe the morphologic and functional characteristics of IL-2-dependent cytotoxic lymphocytes derived from feline PBL. Stimulation of feline PBL with Con A followed by culturing in 50 U of gibbon monkey IL-2 human rIL-2 induced long term lymphocyte cultures. These lymphocytes are cytotoxic for the feline leukemia virus-induced T cell lymphoma (FL74), in a 4-h 51Cr release assay. All cell lines are either constitutively cytotoxic for FL74 cells, or cytotoxic in a lectin-dependent cell cytotoxic assay, the latter being a characteristic of low passage cultures. In contrast, no cell lines express self lysis or lysis for other lines. [3H]TdR uptake showed that 1 U of human rIL-2 produces a 50% maximal proliferative response by feline lymphocytes suggesting a high degree of homology between the ligand binding sites of feline and human IL-2R. Feline cytotoxic lymphocytes possess abundant cytoplasm containing large azurophilic granules characteristic of LGL. These granules are bound by a bilipid membrane and contain numerous smaller membrane-bound vesicles 50 to 60 nm in diameter. A model is proposed, whereby subsequent to binding of LGL to target cell the large granules fuse to the LGL plasma membrane and release the small vesicles into the binding pocket. The vesicles then transport the lytic molecules directly and selectively to the target cell membrane.","['Tompkins, M B', 'Pang, V F', 'Michaely, P A', 'Feinmehl, R I', 'Basgall, E J', 'Baszler, T V', 'Zachary, J F', 'Tompkins, W A']","['Tompkins MB', 'Pang VF', 'Michaely PA', 'Feinmehl RI', 'Basgall EJ', 'Baszler TV', 'Zachary JF', 'Tompkins WA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Interleukin-2)', '0 (Lectins)', '0 (Recombinant Proteins)']",IM,"['Animals', 'Cats', 'Cell Line', 'Cells, Cultured', 'Cytoplasmic Granules/immunology/ultrastructure', '*Cytotoxicity, Immunologic', 'Humans', 'Immunity, Innate', 'Interleukin-2/*pharmacology', 'Killer Cells, Natural/*immunology/ultrastructure', 'Lectins', 'Leukemia Virus, Feline', '*Lymphocyte Activation', 'Lymphoma/immunology', 'Recombinant Proteins/pharmacology']",1989/07/15 00:00,1989/07/15 00:01,['1989/07/15 00:00'],"['1989/07/15 00:00 [pubmed]', '1989/07/15 00:01 [medline]', '1989/07/15 00:00 [entrez]']",ppublish,J Immunol. 1989 Jul 15;143(2):749-54.,"['Department of Microbiology, Pathology, and Parasitology, College of Veterinary Medicine, North Carolina State University, Raleigh 27606.']","['CA43676/CA/NCI NIH HHS/United States', 'N01-AI-27665/AI/NIAID NIH HHS/United States']",,,,,,,,,,,,,,
2544628,NLM,MEDLINE,19890803,20191210,0021-9738 (Print) 0021-9738 (Linking),84,1,1989 Jul,"Expression of multiple Na+,K+-adenosine triphosphatase isoform genes in human hematopoietic cells. Behavior of the novel A3 isoform during induced maturation of HL60 cells.",347-51,"Multiple isoenzymes of the Na+,K+-ATPase (alpha, alpha+, and alpha 3) have been identified by molecular cloning (Shull, G. E., J. Greeb, and J. B. Lingrel. 1986. Biochemistry. 25:8125-8132; and Schneider, J. W., R. W. Mercer, and E. J. Benz, Jr. 1987. Clin. Res. 35:585A. [Abstr.]). At least one of these, the alpha 3 chain, represents a novel form for which protein products and enzymatic activities are just beginning to be defined in rodents. We have recently demonstrated that expression of alpha 3 is largely confined to neuromuscular tissues of fetal and adult rats (Schneider, J. W., R. W. Mercer, M. Gilmore-Hebert, M. F. Utset, C. Lai, A. Greene, and E. J. Benz, Jr. 1988. Proc. Natl. Acad. Sci. USA. 85:284-288). We now report that certain human leukemia cell lines including HL60, HEL, and Molt 4 express mRNA for both alpha and alpha 3 isoforms of Na+,K+-ATPase; mRNA was not detected in several other cell lines, including K562 and U937; no cell lines expressed alpha+ mRNA. In uninduced HL60 cells, alpha 3 mRNA comprised 20-30% of total Na+,K+-ATPase mRNA. Furthermore, in HL60 and HEL cells, both alpha and alpha 3 mRNA declined after induction of maturation by DMSO, retinoic acid, or hemin. However, the reduction in alpha 3 mRNA was far more dramatic. alpha 3 mRNA virtually disappeared, but alpha mRNA declined by only approximately 50%. In contrast, when maturation of HL60 cells along the monocyte/macrophage lineage was induced by exposure to phorbol esters, alpha 3 mRNA remained abundant. Moreover, mRNA for the beta subunit of the Na+,K+-ATPase increased dramatically. Our results demonstrate that the alpha 3 isoform, formerly thought to be confined to neuromuscular tissues, is expressed in restricted lineages of hematopoietic origin. These leukemia cell lines should provide a useful model for analyzing regulation of the alpha 3 isoform gene and characterization of alpha 3 isoform activities.","['Gilmore-Hebert, M', 'Schneider, J W', 'Greene, A L', 'Berliner, N', 'Stolle, C A', 'Lomax, K', 'Mercer, R W', 'Benz, E J Jr']","['Gilmore-Hebert M', 'Schneider JW', 'Greene AL', 'Berliner N', 'Stolle CA', 'Lomax K', 'Mercer RW', 'Benz EJ Jr']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (DNA Probes)', '0 (Isoenzymes)', '0 (RNA, Messenger)', '9007-49-2 (DNA)', 'EC 7.2.2.13 (Sodium-Potassium-Exchanging ATPase)']",IM,"['Animals', 'Blotting, Northern', 'Cell Line', 'DNA', 'DNA Probes', 'Gene Expression Regulation', 'Hematopoietic System/*enzymology', 'Humans', 'Isoenzymes/*genetics', 'Nucleic Acid Hybridization', 'RNA, Messenger/genetics', 'Rats', 'Sodium-Potassium-Exchanging ATPase/*genetics']",1989/07/01 00:00,2001/03/28 10:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1989/07/01 00:00 [entrez]']",ppublish,J Clin Invest. 1989 Jul;84(1):347-51. doi: 10.1172/JCI114161.,"['Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut 06510.']",,PMC303989,['10.1172/JCI114161 [doi]'],,,,,,,,,,,,
2544590,NLM,MEDLINE,19890802,20210212,0021-9258 (Print) 0021-9258 (Linking),264,19,1989 Jul 5,Mammalian topoisomerase II activity is modulated by the DNA minor groove binder distamycin in simian virus 40 DNA.,11354-9,"DNA topoisomerases II are nuclear enzymes that have been identified recently as targets for some of the most active anticancer drugs. Antitumor topoisomerase II inhibitors such as teniposide (VM-26) produce enzyme-induced DNA cleavage and inhibition of enzyme activity. By adding to such reactions distamycin, a compound whose effects on DNA have been extensively characterized, we investigated the effects of drug binding upon topoisomerase II-mediated DNA cleavage induced by VM-26. We have found a correspondence between distamycin binding (determined by footprinting analysis) and topoisomerase II-mediated cleavage of SV40 DNA (determined by sequencing gel analysis). Distamycin binding potentiated the cleavage of specific sites in the near proximity of distamycin-binding sites (within at least 25 base pairs), which indicates that DNA secondary structure is involved in topoisomerase II-DNA interactions. That distamycin potentiated cleavage only at sites that were recognized in the absence of distamycin and suppressed cleavage directly at distamycin-binding sites indicates that topoisomerase II recognizes DNA on the basis of primary sequence. In addition, distamycin stimulated topoisomerase II-mediated DNA relaxation and antagonized the inhibitory effect of VM-26. These results show that the DNA sequence-specific binding of distamycin produces local and propagated effects in the DNA which markedly affect topoisomerase II activity.","['Fesen, M', 'Pommier, Y']","['Fesen M', 'Pommier Y']",['eng'],['Journal Article'],United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA, Viral)', '0 (Distamycins)', '0 (Pyrroles)', '957E6438QA (Teniposide)', 'EC 3.1.21.- (DNA Restriction Enzymes)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",IM,"['Animals', 'Base Sequence', 'Binding Sites', 'DNA Restriction Enzymes', 'DNA Topoisomerases, Type II/*metabolism', 'DNA, Viral/*metabolism', 'Distamycins/metabolism/*pharmacology', 'Drug Interactions', 'Electrophoresis', 'Leukemia L1210/enzymology', 'Mice', 'Molecular Sequence Data', 'Nucleic Acid Conformation/drug effects', 'Pyrroles/*pharmacology', 'Repetitive Sequences, Nucleic Acid', 'Simian virus 40/*genetics', 'Teniposide/pharmacology', 'Tumor Cells, Cultured']",1989/07/05 00:00,1989/07/05 00:01,['1989/07/05 00:00'],"['1989/07/05 00:00 [pubmed]', '1989/07/05 00:01 [medline]', '1989/07/05 00:00 [entrez]']",ppublish,J Biol Chem. 1989 Jul 5;264(19):11354-9.,"['Laboratory of Molecular Pharmacology, National Cancer Institute, Bethesda, Maryland 20892.']",,,['S0021-9258(18)60471-5 [pii]'],,,,,,,,,,,,
2544514,NLM,MEDLINE,19890804,20181113,0019-2805 (Print) 0019-2805 (Linking),67,1,1989 May,Regulation of IFN-gamma-induced host cell MHC antigen expression by Kirsten MSV and MLV. II. Effects on class II antigen expression.,26-31,"We have reported previously that the Kirsten murine sarcoma virus (Ki-MSV), which carries the v-Ki-ras oncogene, prevents the induction of the class II MHC antigen H-2A and reduces the induction of class I MHC antigens by interferon-gamma (IFN-gamma) on C3H10T 1/2 fibroblasts. It is here shown that the abolition by the virus of H-2A expression extends also to class II antigen H-2E and that this is maintained for at least 7 days after IFN treatment. In addition no concentration of IFN-gamma tested, including supra-optimal concentrations for class I antigen expression, induced class II antigens on MSV-infected cells. Thus MSV inhibits the induction by IFN-gamma of class II MHC antigens by a mechanism other than via a change in kinetics of response to, or in the sensitivity of the cells to, IFN. The possibility that transformation by MSV could result in the (selective) outgrowth of cells unresponsive to IFN was refuted by the observation that clones of C3H10T 1/2, when infected with Ki-MSV, expressed no or dramatically reduced levels of H-2A or H-2E. One C3H10T 1/2 clone chosen for high class II expression, when transformed with Ki-MSV, did express low levels of class II antigens at optimal concentrations of IFN-gamma, suggesting that the degree of the reduction of class II expression varies with the cells that are infected. Comparison with mechanisms whereby other viruses inhibit MHC antigen display revealed an interesting possibility: IFN response sequences (IRS) identified in the virus genomes might act in trans to (down) regulate MHC antigen expression. This could be an important mechanism determining the tumourigenicity of, and immune evasion by, Ki-MSV and other viruses.","['Maudsley, D J', 'Morris, A G']","['Maudsley DJ', 'Morris AG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Histocompatibility Antigens Class II)', '0 (Recombinant Proteins)', '82115-62-6 (Interferon-gamma)']",IM,"['Animals', 'Cell Line', 'Fibroblasts/drug effects/immunology', 'Histocompatibility Antigens Class II/*analysis', 'Interferon-gamma/*pharmacology', 'Kirsten murine sarcoma virus/*immunology', 'Leukemia Virus, Murine/*immunology', 'Mice', 'Recombinant Proteins', 'Sarcoma Viruses, Murine/*immunology', 'Time Factors']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",ppublish,Immunology. 1989 May;67(1):26-31.,"['Department of Biological Sciences, University of Warwick, Coventry, U.K.']",,PMC1385283,,,,,,,,,,,,,
2544513,NLM,MEDLINE,19890804,20181113,0019-2805 (Print) 0019-2805 (Linking),67,1,1989 May,Regulation of IFN-gamma-induced host cell MHC antigen expression by Kirsten MSV and MLV. I. Effects on class I antigen expression.,21-5,"We have reported previously that the Kirsten murine sarcoma virus (Ki-MSV) that carries the v-Ki-ras oncogene prevents C3H10T 1/2 fibroblasts from being able to respond to interferon-gamma (IFN-gamma) with the expression of the class II major histocompatibility complex (MHC) antigen, H-2A. In this report we investigate further as to whether MSV or its parent virus Kirsten murine leukaemia virus (Ki-MLV) is able to reduce host class I MHC antigen expression. The results demonstrate that class I expression is diminished in MSV-infected cells over a time-course of 7 days after exposure to IFN-gamma and over a range of IFN-gamma concentrations. The optimal concentration of IFN-gamma for maximal class I expression remained unchanged. Cells infected with Ki-MLV, which failed to abolish the induction by IFN-gamma of class II antigens, also expressed lower levels of class I antigens, similar to those for cells infected with Ki-MSV, after exposure to IFN-gamma. It is likely therefore that the inhibition of class I induction is due to genetic material shared between the viruses, principally in the long terminal repeats (LTR), and hence that the mechanism of action is distinct from that responsible for the abolition of class II induction by Ki-MSV alone. Since class I antigens are required for CD8+ T cells (mainly cytotoxic T cells) to recognize (foreign) antigen this reduction in class I expression might lead to reduced visibility of infected cells to T cells and thus might contribute to the tumorigenicity of Ki-MSV-infected cells.","['Maudsley, D J', 'Morris, A G']","['Maudsley DJ', 'Morris AG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Histocompatibility Antigens Class I)', '0 (Recombinant Proteins)', '82115-62-6 (Interferon-gamma)']",IM,"['Animals', 'Cell Line', 'Fibroblasts/drug effects/immunology', 'Histocompatibility Antigens Class I/*analysis', 'Interferon-gamma/*pharmacology', 'Kirsten murine sarcoma virus/*immunology', 'Leukemia Virus, Murine/*immunology', 'Mice', 'Recombinant Proteins', 'Sarcoma Viruses, Murine/*immunology', 'Time Factors']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",ppublish,Immunology. 1989 May;67(1):21-5.,"['Department of Biological Sciences, University of Warwick, Coventry, U.K.']",,PMC1385282,,,,,,,,,,,,,
2544394,NLM,MEDLINE,19890803,20151119,0204-3564 (Print) 0204-3564 (Linking),11,2,1989,[Quantitative evaluation of the surface membrane receptors of leukemic cells to blood serum transcobalamin-II].,45-8,Serum protein transcobalamin II (TC-II) is responsible for transport of cobalamins into mammalian cells. A method of quantitative estimation of plasma membrane receptors of hemopoietic cells to TC-II cobalamin complex is suggested. Analysis of mouse leukemia L1210 cells includes the saturation of radiolabelled ligand-receptor complex with papain. The number of receptors and 57CoCNCbl content in one cell is determined by differentiated radioactivity count of solubilized protein complexes and of cytoplasm.,"['Oreshkin, A E', 'Miasishcheva, N V']","['Oreshkin AE', 'Miasishcheva NV']",['rus'],"['English Abstract', 'Journal Article']",Ukraine,Eksp Onkol,Eksperimental'naia onkologiia,8406659,"['0 (Cobalt Radioisotopes)', '0 (Receptors, Cell Surface)', '0 (Transcobalamins)', '0 (transcobalamin receptor)']",IM,"['Animals', 'Biological Transport', 'Cell Membrane/analysis/metabolism', 'Cobalt Radioisotopes', 'Leukemia L1210/*blood', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Radioligand Assay/methods', 'Receptors, Cell Surface/*analysis/metabolism', 'Transcobalamins/*blood']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,Eksp Onkol. 1989;11(2):45-8.,,,,,,,,Kolichestvennaia otsenka retseptorov poverkhnostnoi membrany leikoznykh kletok k transkobalaminu-II syvorotki krovi.,,,,,,,,
2544307,NLM,MEDLINE,19890802,20201209,0344-5704 (Print) 0344-5704 (Linking),24,3,1989,Inhibition of topoisomerases by fredericamycin A.,167-71,"Fredericamycin is an antibiotic product of Streptomyces griseus that exhibits modest antitumor activity in vivo and in vitro. Because of its unique structure and the absence of a clearly defined mechanism of action, we examined the effects of this compound on L1210 cells in culture as well as on several enzymes that bind to DNA. Fredericamycin exhibits an IC50 of 4.4 microM toward L1210 cells, and its cytotoxicity is a function of the time of exposure as well as drug dose. No DNA breakage was observed in L1210 cells or isolated nuclei following exposure to highly lethal concentrations of fredericamycin. As a first step toward understanding its mechanism of action, we examined the effect of fredericamycin on several enzymes involved in DNA metabolism. The catalytic activity of both DNA topoisomerases I and II were totally inhibited by fredericamycin concentrations of 4.4 and 7.4 microM, respectively. Fredericamycin blocked etoposide-stimulated DNA cleavage by topoisomerase II both in vitro and in isolated nuclei. In addition, the drug inhibits DNA polymerase a in vitro, exhibiting an IC50 of 93 microM. These diverse actions of fredericamycin do not enable us to draw conclusions regarding its mechanism of antitumor effect but clearly identify it as a compound of pharmacologic interest.","['Latham, M D', 'King, C K', 'Gorycki, P', 'Macdonald, T L', 'Ross, W E']","['Latham MD', 'King CK', 'Gorycki P', 'Macdonald TL', 'Ross WE']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Antibiotics, Antineoplastic)', '0 (DNA, Neoplasm)', '0 (Isoquinolines)', '0 (Spiro Compounds)', '0 (Topoisomerase I Inhibitors)', '6PLQ3CP4P3 (Etoposide)', 'EC 2.7.7.7 (DNA Polymerase II)', 'WSY58QC629 (fredericamycin A)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology/toxicity', 'DNA Damage', 'DNA Polymerase II/antagonists & inhibitors', 'DNA, Neoplasm/biosynthesis/drug effects', 'Dose-Response Relationship, Drug', 'Etoposide/pharmacology', 'Isoquinolines/pharmacology/toxicity', 'Leukemia L1210/enzymology', 'Mice', 'Spiro Compounds/pharmacology/toxicity', 'Time Factors', '*Topoisomerase I Inhibitors', 'Tumor Cells, Cultured']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1989;24(3):167-71. doi: 10.1007/BF00300237.,"['Department of Pharmacology, University of Florida, Gainesville 32610.']",['CA-40884/CA/NCI NIH HHS/United States'],,['10.1007/BF00300237 [doi]'],,,,,,,,,,,,
2544265,NLM,MEDLINE,19890810,20190919,0256-7040 (Print) 0256-7040 (Linking),5,2,1989 Apr,Reduced cerebrospinal fluid B-endorphin levels in Rett syndrome.,111-3,"Cerebrospinal fluid (CSF) levels of B-endorphin (B-EP), B-lipotropin (B-LPH) and ACTH were measured in nine girls with Rett syndrome with features of autistic behavior (3.7-12.1 years of age) and in ten children with chronic leukemia (control group). The peptides were measured by radioimmunoassay, either directly in the sample (ACTH) or after Sephadex G-75 column chromatography, in order to eliminate interfering substances (B-LPH and B-EP). The CSF B-EP patient levels (20.8 +/- 13.1 fmol/ml, means +/- SD) were significantly lower than in age-matched controls (69.1 +/- 32.6, P less than 0.01), whereas the B-LPH and ACTH levels were in the control range. No correlations were found between the clinical findings and CSF neuropeptide concentrations. These data demonstrate a decrease in central opiate activity in girls with Rett syndrome.","['Genazzani, A R', 'Zappella, M', 'Nalin, A', 'Hayek, Y', 'Facchinetti, F']","['Genazzani AR', 'Zappella M', 'Nalin A', 'Hayek Y', 'Facchinetti F']",['eng'],['Journal Article'],Germany,Childs Nerv Syst,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,8503227,"['60617-12-1 (beta-Endorphin)', '9002-60-2 (Adrenocorticotropic Hormone)', '9035-55-6 (beta-Lipotropin)']",IM,"['Adrenocorticotropic Hormone/cerebrospinal fluid', 'Autistic Disorder/*cerebrospinal fluid', 'Child', 'Child, Preschool', 'Chronic Disease', 'Female', 'Humans', 'Leukemia/cerebrospinal fluid', 'Syndrome', 'beta-Endorphin/*cerebrospinal fluid', 'beta-Lipotropin/cerebrospinal fluid']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",ppublish,Childs Nerv Syst. 1989 Apr;5(2):111-3. doi: 10.1007/BF00571121.,"['Department of Obstetrics and Gynecology, University of Modena, Italy.']",,,['10.1007/BF00571121 [doi]'],,,,,,,,,,,,
2544261,NLM,MEDLINE,19890803,20181130,0008-5472 (Print) 0008-5472 (Linking),49,14,1989 Jul 15,Secretion of parathyroid hormone-like activity from human T-cell lymphotropic virus type I-infected lymphocytes.,3849-52,"Because many patients with adult T-cell leukemia/lymphoma (ATLL) develop hypercalcemia with similar characteristics to those of humoral hypercalcemia of malignancy (HHM) (Arch. Intern. Med., 148: 921-925, 1988), we investigated if ATLL cells produce parathyroid hormone (PTH)-like activity. Conditioned media from cultures of human T-cell lymphotropic virus type I-infected cell line (MT-2) as well as peripheral lymphocytes from a hypercalcemic ATLL patient stimulated cyclic AMP production in osteoblast-like rat osteogenic sarcoma cells (UMR 106) and bone resportion in organ cultures of fetal mouse calvaria. Furthermore, the stimulation of cyclic AMP production by conditioned medium of MT-2 cells was inhibited by human PTH(3-34), indicating that MT-2 cells secrete PTH-like activity. The PTH-like activity from MT-2 cells was chromatographically indistinguishable from the one extracted from a solid tumor causing HHM. The present results along with our previous observation that MT-2 cells constitutively express mRNA for PTH-related protein (Biochem. Biophys. Res. Commun., 154: 1182-1188, 1988) demonstrate that a PTH-like activity is synthesized and secreted by these cells, and are consistent with the hypothesis that elaboration of PTH-like activity by ATLL cells may be the mechanism by which hypercalcemia develops in ATLL patients as well as in solid cancer patients with HHM. However, these results do not rule out the possibility that other factors such as interleukin 1 are also involved and may act in concert with PTH-like activity in the development of hypercalcemia in ATLL.","['Fukumoto, S', 'Matsumoto, T', 'Watanabe, T', 'Takahashi, H', 'Miyoshi, I', 'Ogata, E']","['Fukumoto S', 'Matsumoto T', 'Watanabe T', 'Takahashi H', 'Miyoshi I', 'Ogata E']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Parathyroid Hormone)', 'E0399OZS9N (Cyclic AMP)', 'SY7Q814VUP (Calcium)']",IM,"['Adult', 'Animals', 'Bone Resorption/drug effects', 'Bone and Bones/drug effects/metabolism', 'Calcium/metabolism', 'Cell Line', '*Cell Transformation, Viral', 'Cyclic AMP/metabolism', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Hypercalcemia/physiopathology', 'Leukemia, T-Cell/*microbiology/physiopathology', 'Lymphocytes/metabolism/*microbiology', 'Mice', 'Parathyroid Hormone/*metabolism/pharmacology', 'Tumor Cells, Cultured/metabolism/*microbiology']",1989/07/15 00:00,1989/07/15 00:01,['1989/07/15 00:00'],"['1989/07/15 00:00 [pubmed]', '1989/07/15 00:01 [medline]', '1989/07/15 00:00 [entrez]']",ppublish,Cancer Res. 1989 Jul 15;49(14):3849-52.,"['Fourth Department of Internal Medicine, University of Tokyo School of Medicine, Japan.']",,,,,,,,,,,,,,,
