PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CON,GR,DEP,PMC,MID,OID,CIN,SI,CI,TT,RPF,EIN,IR,FIR,OTO,OT,GN,EFR,ROF,RIN,DA,DRDT,CTDT,PB,BTI,FED,ED,CDAT
20418238,NLM,MEDLINE,20100916,20101025,1472-4146 (Electronic) 0021-9746 (Linking),63,5,2010 May,GATA1 mutations are not a hallmark of acute myeloid leukaemia with t(8;21).,471-2,10.1136/jcp.2010.075382 [doi],,"['Hoeller, Sylvia', 'Bihl, Michel P', 'Arber, Caroline', 'Dirnhofer, Stephan', 'Tzankov, Alexandar']","['Hoeller S', 'Bihl MP', 'Arber C', 'Dirnhofer S', 'Tzankov A']",,['eng'],['Letter'],England,J Clin Pathol,Journal of clinical pathology,0376601,"['0 (GATA1 Transcription Factor)', '0 (GATA1 protein, human)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Base Sequence', 'Chromosomes, Human, Pair 21/genetics', 'Chromosomes, Human, Pair 8/genetics', 'Female', 'GATA1 Transcription Factor/*genetics', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', '*Mutation', 'Sequence Alignment', 'Translocation, Genetic']",,2010/04/27 06:00,2010/09/18 06:00,['2010/04/27 06:00'],"['2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/09/18 06:00 [medline]']","['63/5/471 [pii]', '10.1136/jcp.2010.075382 [doi]']",ppublish,J Clin Pathol. 2010 May;63(5):471-2. doi: 10.1136/jcp.2010.075382.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20418200,NLM,MEDLINE,20101019,20211020,1552-9924 (Electronic) 0091-6765 (Linking),118,6,2010 Jun,Benzene exposure near the U.S. permissible limit is associated with sperm aneuploidy.,833-9,10.1289/ehp.0901531 [doi],"BACKGROUND: Benzene is a common industrial chemical known to induce leukemia and other blood disorders, as well as aneuploidy, in both human blood cells and sperm at exposures > 10 ppm. Recent reports have identified health effects at exposure levels < 1 ppm, the permissible exposure limit (PEL; 8 hr) set by the U.S. Occupational Safety and Health Administration. OBJECTIVE: We investigated whether occupational exposures to benzene near 1 ppm induce aneuploidy in sperm. METHODS: We used multicolor fluorescence in situ hybridization to measure the incidence of sperm with numerical abnormalities of chromosomes X, Y, and 21 among 33 benzene-exposed men and 33 unexposed men from Chinese factories. Individual exposures were assessed using personal air monitoring and urinary concentrations of benzene and trans,trans-muconic acid (E,E-MA). Air benzene concentrations were not detectable in unexposed men; in exposed men, concentrations ranged from below the detection limit to 24 ppm (median, 2.9 ppm), with 27% of exposed men (n = 9) having concentrations of <or= 1 ppm. Exposed men were categorized into low and high groups based on urinary E,E-MA (median concentrations of 1.9 and 14.4 mg/L, respectively; median air benzene of 1 and 7.7 ppm, respectively), and aneuploidy frequencies were compared with those of unexposed men. RESULTS: Sperm aneuploidy increased across low- and high-exposed groups for disomy X [incidence rate ratio (IRR) = 2.0; 95% confidence interval (CI), 1.1-3.4; and IRR = 2.8; 95% CI, 1.5-4.9, respectively], and for overall hyperhaploidy for the three chromosomes investigated (IRR = 1.6; 95% CI, 1.0-2.4; and IRR = 2.3; 95% CI, 1.5-3.6, respectively). We also found elevated disomy X and hyperhaploidy in the nine men exposed to <or= 1 ppm benzene compared with unexposed men (IRR = 1.8; 95% CI, 1.1-3.0; and IRR = 2.0; 95% CI, 1.1-3.9, respectively). CONCLUSIONS: Benzene appeared to increase the frequencies of aneuploid sperm for chromosomes associated with chromosomal abnormality syndromes in human offspring, even in men whose air benzene exposure was at or below the U.S. permissible exposure limit.","['Xing, Caihong', 'Marchetti, Francesco', 'Li, Guilan', 'Weldon, Rosana H', 'Kurtovich, Elaine', 'Young, Suzanne', 'Schmid, Thomas E', 'Zhang, Luoping', 'Rappaport, Stephen', 'Waidyanatha, Suramya', 'Wyrobek, Andrew J', 'Eskenazi, Brenda']","['Xing C', 'Marchetti F', 'Li G', 'Weldon RH', 'Kurtovich E', 'Young S', 'Schmid TE', 'Zhang L', 'Rappaport S', 'Waidyanatha S', 'Wyrobek AJ', 'Eskenazi B']","['Life Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, California, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Environ Health Perspect,Environmental health perspectives,0330411,"['0 (Environmental Pollutants)', '3KD92ZL2KH (muconic acid)', 'J64922108F (Benzene)', 'X045WJ989B (Sorbic Acid)']",IM,"['*Aneuploidy', 'Benzene/analysis/*toxicity', 'China', 'Chromosome Aberrations/*chemically induced', 'Environmental Pollutants/standards/*toxicity/urine', 'Humans', 'In Situ Hybridization, Fluorescence', 'Male', 'Occupational Exposure/*analysis', 'Sorbic Acid/analogs & derivatives/analysis', 'Spermatozoa/*drug effects']",,2010/04/27 06:00,2010/10/20 06:00,['2010/04/27 06:00'],"['2009/10/02 00:00 [received]', '2010/01/06 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/10/20 06:00 [medline]']",['10.1289/ehp.0901531 [doi]'],ppublish,Environ Health Perspect. 2010 Jun;118(6):833-9. doi: 10.1289/ehp.0901531. Epub 2010 Jan 6.,,,"['P42 ES004705/ES/NIEHS NIH HHS/United States', 'R03 ES015340/ES/NIEHS NIH HHS/United States', 'P42 ES04705/ES/NIEHS NIH HHS/United States', 'R03ES015340-02/ES/NIEHS NIH HHS/United States']",20100106,PMC2898861,,,,,,,,,,,,,,,,,,,,,,,,
20417967,NLM,MEDLINE,20100930,20181201,1873-5835 (Electronic) 0145-2126 (Linking),34,10,2010 Oct,A case of blast clearance on sorafenib in relapsed FLT3-ITD acute myeloid leukemia: evidence of efficacy continues to mount.,e268-9,10.1016/j.leukres.2010.03.046 [doi],,"['Fesler, Mark J', 'Richart, John M', 'Petruska, Paul J']","['Fesler MJ', 'Richart JM', 'Petruska PJ']",,['eng'],"['Case Reports', 'Letter']",England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (Benzenesulfonates)', '0 (Phenylurea Compounds)', '0 (Protein Kinase Inhibitors)', '0 (Pyridines)', '25X51I8RD4 (Niacinamide)', '9ZOQ3TZI87 (Sorafenib)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzenesulfonates/*therapeutic use', 'Blast Crisis/*drug therapy', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/metabolism/pathology', 'Male', 'Middle Aged', 'Niacinamide/analogs & derivatives', 'Phenylurea Compounds', '*Point Mutation', 'Protein Kinase Inhibitors/*therapeutic use', 'Pyridines/*therapeutic use', 'Recurrence', 'Sorafenib', 'fms-Like Tyrosine Kinase 3/*antagonists & inhibitors/genetics']",,2010/04/27 06:00,2010/10/01 06:00,['2010/04/27 06:00'],"['2010/03/27 00:00 [received]', '2010/03/28 00:00 [revised]', '2010/03/29 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/10/01 06:00 [medline]']","['S0145-2126(10)00187-6 [pii]', '10.1016/j.leukres.2010.03.046 [doi]']",ppublish,Leuk Res. 2010 Oct;34(10):e268-9. doi: 10.1016/j.leukres.2010.03.046. Epub 2010 Apr 24.,,,,20100424,,,,,,,,,,,,,,,,,,,,,,,,,
20417966,NLM,MEDLINE,20100824,20100802,1873-5835 (Electronic) 0145-2126 (Linking),34,9,2010 Sep,PML/RAR-alpha fusion transcript and polyploidy in acute promyelocytic leukemia without t(15;17).,e261-3,10.1016/j.leukres.2010.03.043 [doi],,"['Soriani, Silvia', 'Cesana, Clara', 'Farioli, Renata', 'Scarpati, Barbara', 'Mancini, Valentina', 'Nosari, Annamaria']","['Soriani S', 'Cesana C', 'Farioli R', 'Scarpati B', 'Mancini V', 'Nosari A']",,['eng'],"['Case Reports', 'Letter']",England,Leuk Res,Leukemia research,7706787,"['0 (Oncogene Proteins, Fusion)', '0 (RNA, Messenger)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)']",IM,"['*Chromosomes, Human, Pair 15', '*Chromosomes, Human, Pair 17', 'Humans', 'Immunophenotyping', 'Leukemia, Promyelocytic, Acute/*genetics/immunology', 'Male', 'Middle Aged', 'Oncogene Proteins, Fusion/*genetics', 'RNA, Messenger/*genetics', '*Translocation, Genetic']",,2010/04/27 06:00,2010/08/25 06:00,['2010/04/27 06:00'],"['2010/03/12 00:00 [received]', '2010/03/23 00:00 [revised]', '2010/03/27 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/08/25 06:00 [medline]']","['S0145-2126(10)00184-0 [pii]', '10.1016/j.leukres.2010.03.043 [doi]']",ppublish,Leuk Res. 2010 Sep;34(9):e261-3. doi: 10.1016/j.leukres.2010.03.043. Epub 2010 Apr 24.,,,,20100424,,,,,,,,,,,,,,,,,,,,,,,,,
20417874,NLM,MEDLINE,20100504,20131121,1873-4456 (Electronic) 0165-4608 (Linking),199,1,2010 May,Multiple copies of a rare rearrangement of Philadelphia chromosome in a chronic myeloid leukemia patient: a case report.,66-8,10.1016/j.cancergencyto.2010.01.012 [doi],,"['Li Ming Chua, Constance', 'Tan, Yvoonne Yam Fang', 'Chua, Sok Peng', 'Ma, Hui Bao', 'Koay, Evelyn', 'Li Min Poon, Michelle', 'Liu, Te Chih', 'Gole, Leena']","['Li Ming Chua C', 'Tan YY', 'Chua SP', 'Ma HB', 'Koay E', 'Li Min Poon M', 'Liu TC', 'Gole L']",,['eng'],"['Case Reports', 'Letter']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Aged', '*Chromosome Aberrations', 'Chromosome Banding', 'Female', 'Fusion Proteins, bcr-abl/genetics/metabolism', 'Gene Rearrangement/*genetics', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', '*Philadelphia Chromosome']",,2010/04/27 06:00,2010/05/05 06:00,['2010/04/27 06:00'],"['2009/09/23 00:00 [received]', '2010/01/14 00:00 [revised]', '2010/01/17 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/05/05 06:00 [medline]']","['S0165-4608(10)00039-7 [pii]', '10.1016/j.cancergencyto.2010.01.012 [doi]']",ppublish,Cancer Genet Cytogenet. 2010 May;199(1):66-8. doi: 10.1016/j.cancergencyto.2010.01.012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20417871,NLM,MEDLINE,20100504,20151119,1873-4456 (Electronic) 0165-4608 (Linking),199,1,2010 May,Clonal evolution with double Ph followed by tetraploidy in imatinib-treated chronic myeloid leukemia with e19a2 transcript in transformation.,56-61,10.1016/j.cancergencyto.2010.01.018 [doi],"Chronic myeloid leukemia (CML) with the e19a2 transcript coding for p230 is typically associated with a benign clinical course unless accompanied at presentation with additional chromosomal abnormalities. We report here a case of CML with e19a2 who did not show additional chromosomal abnormalities at diagnosis, but progressed to the fatal advanced stage in approximately 2 years. The patient was initially treated with imatinib, which, however, could be administered only intermittently at reduced doses because of recurrent thrombocytopenia and fluid retention. Nine months after starting imatinib, fluorescence in situ hybridization (FISH) with the BCR/ABL-ES fusion probe revealed 96% and 3% of bone marrow cells with one and two BCR/ABL1 fusion signals, respectively. Two years after starting therapy, leukocytosis recurred and the bone marrow contained 8.2% large and bizarre myeloblasts. Cytogenetic analysis revealed double Ph clones as well as tetraploid cells with four to five Ph chromosomes. FISH analysis confirmed the presence of cells with two to five BCR/ABL1 fusion signals. The patient died of disease progression in 2 months. No point mutation was detected in the region coding for the BCR/ABL tyrosine kinase domain by sequence analysis. It is speculated that the amplification of the BCR/ABL1 fusion gene by duplication of Ph and tetraploidy led to the progression of CML with the e19a2 transcript.","['Oshikawa, Gaku', 'Kurosu, Tetsuya', 'Arai, Ayako', 'Murakami, Naomi', 'Miura, Osamu']","['Oshikawa G', 'Kurosu T', 'Arai A', 'Murakami N', 'Miura O']","['Department of Hematology, Tokyo Medical and Dental University, Bunkyoku, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (abl-bcr fusion protein, human)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Base Sequence', 'Benzamides', 'Bone Marrow/pathology', 'Cell Transformation, Neoplastic/*genetics', 'Clone Cells', 'DNA Mutational Analysis', 'Female', 'Fusion Proteins, bcr-abl/*genetics/metabolism', 'Gene Expression Regulation, Leukemic', 'Humans', 'Imatinib Mesylate', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics', 'Male', 'Middle Aged', 'Molecular Sequence Data', '*Philadelphia Chromosome', 'Piperazines/*therapeutic use', '*Polyploidy', 'Pyrimidines/*therapeutic use', 'RNA, Messenger/genetics/metabolism', 'RNA, Neoplasm/analysis/*genetics', 'Time Factors']",,2010/04/27 06:00,2010/05/05 06:00,['2010/04/27 06:00'],"['2009/07/22 00:00 [received]', '2010/01/22 00:00 [revised]', '2010/01/25 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/05/05 06:00 [medline]']","['S0165-4608(10)00045-2 [pii]', '10.1016/j.cancergencyto.2010.01.018 [doi]']",ppublish,Cancer Genet Cytogenet. 2010 May;199(1):56-61. doi: 10.1016/j.cancergencyto.2010.01.018.,,,,,,,,,,['2010 Elsevier Inc. All rights reserved.'],,,,,,,,,,,,,,,,,,,
20417868,NLM,MEDLINE,20100504,20100426,1873-4456 (Electronic) 0165-4608 (Linking),199,1,2010 May,Megakaryocytic blast crisis in a chronic myeloid leukemia patient with a rare variant of Philadelphia rearrangement t(9;22;22) and a constitutional translocation t(3;7).,45-7,10.1016/j.cancergencyto.2010.01.017 [doi],"Megakaryocytic blast crisis occurs extremely rarely, accounting for <3% of cases of chronic myelogenous leukemia in blastic transformation. In chronic myeloid leukemia, a variant Philadelphia translocation is reported in 2-10% of cases. We report an unusual case of megakaryocytic blast crisis with the Philadelphia variant rearrangement t(9;22;22) and a constitutional translocation t(3;7). The breakpoint in the 22q13 region was involved in this translocation. The chromosome region 22q13 harbors MKL1 gene, which is engaged in a specific translocation associated with acute megakaryoblastic leukemia. Study of deregulation of these four genes could contribute to better understanding of the effects of the t(9;22;22) rearrangement in a megakaryocytic blast crisis.","['Jarmuz, Malgorzata', 'Kroll, Renata', 'Przybylowicz-Chalecka, Anna', 'Ratajczak, Blazej', 'Gniot, Michal', 'Szyfter, Krzysztof', 'Komarnicki, Mieczyslaw']","['Jarmuz M', 'Kroll R', 'Przybylowicz-Chalecka A', 'Ratajczak B', 'Gniot M', 'Szyfter K', 'Komarnicki M']","['Department of Hematology, University of Medical Sciences, Poznan, Poland. maljar@man.poznan.pl <maljar@man.poznan.pl>']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', 'Blast Crisis/*genetics/*pathology', 'Chromosome Banding', 'Chromosomes, Human, Pair 22/genetics', 'Chromosomes, Human, Pair 3/genetics', 'Chromosomes, Human, Pair 7/genetics', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/*pathology', 'Megakaryocytes/*pathology', '*Philadelphia Chromosome']",,2010/04/27 06:00,2010/05/05 06:00,['2010/04/27 06:00'],"['2009/07/08 00:00 [received]', '2009/12/14 00:00 [revised]', '2010/01/25 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/05/05 06:00 [medline]']","['S0165-4608(10)00044-0 [pii]', '10.1016/j.cancergencyto.2010.01.017 [doi]']",ppublish,Cancer Genet Cytogenet. 2010 May;199(1):45-7. doi: 10.1016/j.cancergencyto.2010.01.017.,,,,,,,,,,['2010 Elsevier Inc. All rights reserved.'],,,,,,,,,,,,,,,,,,,
20417866,NLM,MEDLINE,20100504,20100426,1873-4456 (Electronic) 0165-4608 (Linking),199,1,2010 May,Acute myeloid leukemia (AML-M2) associated with variant t(8;21): report of three cases.,31-7,10.1016/j.cancergencyto.2009.10.002 [doi],"Variants of the t(8;21)(q22;q22) involving chromosome 8, 21, and other chromosomes account for approximately 3% of all t(8;21)(q22;q22) found in patients with acute myeloid leukemia (AML). The clinicopathologic features of AML with the variant t(8;21) have not been well established. We report three cases of AML with variants of t(8;21) characterized, respectively, by derivative 8 with the interstitial inverted insertion of 21q and concurrent monosomy 21, t(8;18;21)(p22;q11.3;q22), and t(2;21;8)(q11.2;q22;q22). Fluorescence in situ hybridization or reverse transcriptase-polymerase chain reaction assay confirmed the presence of RUNX1-RUNX1T1 gene (previously AML1-ETO) rearrangements. Among these cases, three-way breakpoints 18p11.3 and 2q11.2 have not been previously reported. The present report deals with the results of hematologic, immunophenotypic, cytogenetic, fluorescence in situ hybridization, and molecular analyses of these variants. The possible role of the genes in this region in leukemogenesis, response to treatment, and clinical implications are discussed.","['Bae, Sook Young', 'Kim, Jang Su', 'Ryeu, Bung Jun', 'Lee, Kap No', 'Lee, Chang Kyu', 'Kim, Young Kee', 'Lim, Chae Seung', 'Cho, Yunjung', 'Choi, Chul Won', 'Ryu, Sook-Won', 'Yoon, Soo-Young']","['Bae SY', 'Kim JS', 'Ryeu BJ', 'Lee KN', 'Lee CK', 'Kim YK', 'Lim CS', 'Cho Y', 'Choi CW', 'Ryu SW', 'Yoon SY']","['Department of Laboratory Medicine, Korea University College of Medicine, Seongbuk-Gu, Seoul, Republic of Korea.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', 'Base Sequence', 'Chromosome Painting', 'Chromosomes, Human, Pair 21/*genetics', 'Chromosomes, Human, Pair 8/*genetics', 'DNA Mutational Analysis', 'Humans', 'Immunophenotyping', 'Karyotyping', 'Leukemia, Myeloid, Acute/diagnosis/*genetics/pathology', 'Male', 'Middle Aged', 'Molecular Sequence Data', '*Translocation, Genetic', 'Young Adult']",,2010/04/27 06:00,2010/05/05 06:00,['2010/04/27 06:00'],"['2009/07/16 00:00 [received]', '2009/09/23 00:00 [revised]', '2009/10/08 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/05/05 06:00 [medline]']","['S0165-4608(09)00591-3 [pii]', '10.1016/j.cancergencyto.2009.10.002 [doi]']",ppublish,Cancer Genet Cytogenet. 2010 May;199(1):31-7. doi: 10.1016/j.cancergencyto.2009.10.002.,,,,,,,,,,['2010 Elsevier Inc. All rights reserved.'],,,,,,,,,,,,,,,,,,,
20417863,NLM,MEDLINE,20100504,20211020,1873-4456 (Electronic) 0165-4608 (Linking),199,1,2010 May,Recurrent deletion of 9q34 in adult normal karyotype precursor B-cell acute lymphoblastic leukemia.,15-20,10.1016/j.cancergencyto.2010.01.014 [doi],"The prognosis of adult normal karyotype (NK) precursor B-cell acute lymphoblastic leukemia (B-ALL) has not improved over the last decade, mainly because separation into distinct molecular subsets has been lacking and no targeted treatments are available. We screened the genome of blasts from 10 adult NK B-ALL patients for novel genomic alterations by array comparative genomic hybridization and verified our results with fluorescent in situ hybridization and gene expression profile with the same probes. The results demonstrate cryptic deletions of 9q34 involving SET, PKN3, NUP188, ABL1, and NUP214 in three of the samples. The smallest deletion resulted in the likely juxtaposition of the SET and NUP214 genes. This aberration has not been described before in adult NK B-ALL. Larger number of samples is warranted to determine the prognostic significance of this cryptic deletion.","['Nowak, Norma J', 'Sait, Sheila N J', 'Zeidan, Amer', 'Deeb, George', 'Gaile, Dan', 'Liu, Song', 'Ford, LaurieAnn', 'Wallace, Paul K', 'Wang, Eunice S', 'Wetzler, Meir']","['Nowak NJ', 'Sait SN', 'Zeidan A', 'Deeb G', 'Gaile D', 'Liu S', 'Ford L', 'Wallace PK', 'Wang ES', 'Wetzler M']","['Department of Cancer Genetics, Roswell Park Cancer Institute, Buffalo, NY 14263, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (Cyclin-Dependent Kinase Inhibitor p16)', '0 (Homeodomain Proteins)', '157907-48-7 (HoxA protein)']",IM,"['Adult', 'Aged', '*Chromosome Deletion', 'Chromosomes, Artificial, Bacterial/genetics', 'Chromosomes, Human, Pair 9/*genetics', 'Comparative Genomic Hybridization', 'Cyclin-Dependent Kinase Inhibitor p16/genetics', 'Female', 'Gene Expression Regulation, Leukemic', 'Homeodomain Proteins/genetics', 'Homozygote', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Male', 'Middle Aged', 'Multigene Family/genetics', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Young Adult']",,2010/04/27 06:00,2010/05/05 06:00,['2010/04/27 06:00'],"['2009/11/27 00:00 [received]', '2010/01/17 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/05/05 06:00 [medline]']","['S0165-4608(10)00041-5 [pii]', '10.1016/j.cancergencyto.2010.01.014 [doi]']",ppublish,Cancer Genet Cytogenet. 2010 May;199(1):15-20. doi: 10.1016/j.cancergencyto.2010.01.014.,,,"['P30 CA016056/CA/NCI NIH HHS/United States', 'P30 CA016056-33/CA/NCI NIH HHS/United States', 'CA16056/CA/NCI NIH HHS/United States']",,PMC2862995,['NIHMS173834'],,,,['2010 Elsevier Inc. All rights reserved.'],,,,,,,,,,,,,,,,,,,
20417862,NLM,MEDLINE,20100504,20100426,1873-4456 (Electronic) 0165-4608 (Linking),199,1,2010 May,A novel t(5;11)(q31;p15) involving the NUP98 gene on 11p15 is associated with a loss of the EGR1 gene on 5q31 in a patient with acute myeloid leukemia.,9-14,10.1016/j.cancergencyto.2010.01.008 [doi],"To date, at least 25 translocations involving the NUP98 gene and different partner genes have been reported in the literature. Here, we describe a novel reciprocal t(5;11)(q31;p15) involving NUP98, as revealed by conventional karyotypic analysis using R-banding technique and fluorescence in situ hybridization (FISH) using a BAC RP11-120E20 probe and whole chromosome paint probes for chromosomes 5 and 11 in a 77-year-old woman who was diagnosed as having de novo acute myeloid leukemia. The patient received two courses of intensive combined chemotherapy but did not reach complete remission. She eventually died from the progressive disease, surviving for only 1 month after diagnosis. FISH analysis using WCP5 together with BAC RP11-878F9 or RP11-155N22 demonstrated that the breakpoint of chromosome 5 is located on 5q31. In addition, the EGR1 gene was unexpectedly found to be lost in the FISH study using EGR1 (red)/D5S23, D5S721 (green) dual-color probe. We supposed that the fusion gene created by t(5;11)(q31;p15) consisting of the NUP98 and its partner gene, as well as the loss of the EGR1 gene, may play a cooperative role in leukemogenesis. The partner gene of NUP98 in t(5;11)(q31;p15) is unclear at this time. Further molecular study is required to identify this partner gene in our patient.","['Wang, Yong', 'Xue, Yongquan', 'Chen, Suning', 'Wu, Yafang', 'Pan, Jinlan', 'Zhang, Jun', 'Shen, Juan']","['Wang Y', 'Xue Y', 'Chen S', 'Wu Y', 'Pan J', 'Zhang J', 'Shen J']","['The First Affiliated Hospital of Soochow University, Jiangsu Institutes of Hematology, Suzhou, PR China.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (EGR1 protein, human)', '0 (Early Growth Response Protein 1)', '0 (Nuclear Pore Complex Proteins)', '0 (Nup98 protein, human)']",IM,"['Aged', 'Chromosome Banding', 'Chromosomes, Human, Pair 11/*genetics', 'Chromosomes, Human, Pair 5/*genetics', 'Early Growth Response Protein 1/*genetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Nuclear Pore Complex Proteins/*genetics', '*Translocation, Genetic']",,2010/04/27 06:00,2010/05/05 06:00,['2010/04/27 06:00'],"['2009/09/05 00:00 [received]', '2010/01/07 00:00 [revised]', '2010/01/12 00:00 [accepted]', '2010/04/27 06:00 [entrez]', '2010/04/27 06:00 [pubmed]', '2010/05/05 06:00 [medline]']","['S0165-4608(10)00035-X [pii]', '10.1016/j.cancergencyto.2010.01.008 [doi]']",ppublish,Cancer Genet Cytogenet. 2010 May;199(1):9-14. doi: 10.1016/j.cancergencyto.2010.01.008.,,,,,,,,,,['2010 Elsevier Inc. All rights reserved.'],,,,,,,,,,,,,,,,,,,
