PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RF,AB,PS,FPS
14233286,NLM,MEDLINE,19961201,20190711,0023-2173 (Print) 0023-2173 (Linking),42,,1964 Jun 1,[ON THE SELECTIVE ENZYME-CYTOCHEMICAL DEMONSTRATION OF NEUTROPHILIC MYELOID CELLS AND TISSUE MAST CELLS IN PARAFFIN SECTIONS].,553,"['LEDER, L D']",['LEDER LD'],['ger'],['Journal Article'],Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,"['8002-74-2 (Paraffin)', 'EC 3.1.- (Esterases)']",OM,"['*Esterases', '*Histocytochemistry', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Mast Cells', '*Myeloid Cells', '*Neutrophils', '*Paraffin']",,['NLM'],"['*ESTERASES', '*HISTOCYTOCHEMISTRY', '*LEUKEMIA, MYELOCYTIC', '*MAST CELLS', '*NEUTROPHILS']",1964/06/01 00:00,1964/06/01 00:01,['1964/06/01 00:00'],"['1964/06/01 00:00 [pubmed]', '1964/06/01 00:01 [medline]', '1964/06/01 00:00 [entrez]']",['10.1007/BF01486688 [doi]'],ppublish,Klin Wochenschr. 1964 Jun 1;42:553. doi: 10.1007/BF01486688.,UBER DIE SELEKTIVE FERMENTCYTOCHEMISCHE DARSTELLUNG VON NEUTROPHILEN MYELOISCHEN ZELLEN UND GEWEBSMASTZELLEN IM PARAFFINSCHNITT.,,,,
14233278,NLM,MEDLINE,19961201,20190711,0023-2173 (Print) 0023-2173 (Linking),42,,1964 Jun 1,[DIPLO-PH 1-CHROMOSOME IN MYELOID LEUKEMIA].,522-4,"['HAMPEL, K E']",['HAMPEL KE'],['ger'],['Journal Article'],Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,"['0 (Phosphines)', '5V9KLZ54CY (Vinblastine)', 'G1LN9045DK (Busulfan)']",OM,"['*Busulfan', '*Chromosomes', '*Drug Therapy', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Osteochondritis', '*Philadelphia Chromosome', '*Phosphines', '*Radiotherapy', '*Vinblastine']",,['NLM'],"['*BUSULFAN', '*CHROMOSOMES', '*DRUG THERAPY', '*LEUKEMIA, MYELOCYTIC', '*OSTEOCHONDRITIS', '*PHOSPHINES', '*RADIOTHERAPY', '*VINBLASTINE']",1964/06/01 00:00,1964/06/01 00:01,['1964/06/01 00:00'],"['1964/06/01 00:00 [pubmed]', '1964/06/01 00:01 [medline]', '1964/06/01 00:00 [entrez]']",['10.1007/BF01486679 [doi]'],ppublish,Klin Wochenschr. 1964 Jun 1;42:522-4. doi: 10.1007/BF01486679.,DIPLO-PH1-CHROMOSOM BEI DER MYELOISCHEN LEUKAEMIE.,,,,
14233228,NLM,MEDLINE,19961201,20190701,0098-7484 (Print) 0098-7484 (Linking),191,,1965 Jan 11,POSSIBLE ASSOCIATION BETWEEN LEUKEMIA IN CHILDREN AND VIRUS-LIKE AGENTS.,110-5,"['MURPHY, W H', 'FURTADO, D', 'PLATA, E']","['MURPHY WH', 'FURTADO D', 'PLATA E']",['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,"['59-01-8 (Kanamycin)', 'F8VB5M810T (Tetracycline)']",OM,"['*Bone Marrow', 'Child', '*Electrons', '*Kanamycin', '*Leukemia', '*Leukemia, Myeloid', '*Lupus Erythematosus, Systemic', '*Microscopy', '*Microscopy, Electron', '*Mycoplasma', '*Neoplasms', '*Neutralization Tests', '*Oncogenic Viruses', '*Sarcoma', '*Tetracycline', '*Tissue Culture Techniques', '*Virus Cultivation']",,['NLM'],"['*BONE MARROW', '*CHILD', '*KANAMYCIN', '*LEUKEMIA', '*LEUKEMIA, MONOCYTIC', '*LUPUS ERYTHEMATOSUS, SYSTEMIC', '*MICROSCOPY, ELECTRON', '*MYCOPLASMA', '*NEUTRALIZATION TESTS', '*ONCOGENIC VIRUSES', '*SARCOMA', '*TETRACYCLINE', '*TISSUE CULTURE', '*VIRUS CULTIVATION']",1965/01/11 00:00,1965/01/11 00:01,['1965/01/11 00:00'],"['1965/01/11 00:00 [pubmed]', '1965/01/11 00:01 [medline]', '1965/01/11 00:00 [entrez]']",['10.1001/jama.1965.03080020038012 [doi]'],ppublish,JAMA. 1965 Jan 11;191:110-5. doi: 10.1001/jama.1965.03080020038012.,,,,,
14233188,NLM,MEDLINE,19961201,20190710,0022-2623 (Print) 0022-2623 (Linking),7,,1964 Sep,CYANO ANALOGS OF PHENOLIC NITROGEN MUSTARDS.,670-1,"['BURKE, W J', 'BROWN, J E', 'WEATHERBEE, C', 'CURTIS, D H']","['BURKE WJ', 'BROWN JE', 'WEATHERBEE C', 'CURTIS DH']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Nitrogen Mustard Compounds)', '0 (Phenols)', '50D9XSG0VR (Mechlorethamine)']",OM,"['Animals', '*Carcinoma', '*Carcinoma 256, Walker', '*Chemistry, Pharmaceutical', '*Leukemia L1210', '*Mechlorethamine', 'Mice', '*Neoplasms', '*Neoplasms, Experimental', '*Nitrogen Mustard Compounds', '*Pharmacology', '*Phenols', '*Research']",,['NLM'],"['*CARCINOMA 256, WALKER', '*CHEMISTRY, PHARMACEUTICAL', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA L1210', '*MICE', '*NEOPLASMS, EXPERIMENTAL', '*NITROGEN MUSTARD COMPOUNDS', '*PHARMACOLOGY', '*PHENOLS']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",['10.1021/jm00335a027 [doi]'],ppublish,J Med Chem. 1964 Sep;7:670-1. doi: 10.1021/jm00335a027.,,,,,
14233181,NLM,MEDLINE,19961201,20190710,0022-2623 (Print) 0022-2623 (Linking),7,,1964 Sep,"N,N-BIS(2-CHLOROETHYL)CARBAMOYL DERIVATIVES OF L-AMINO ACIDS. NEW POTENTIAL ANTITUMOR AGENTS WITH LATENT ACTIVITY.",653-5,"['KHEDOURI, E', 'KIM, Y H', 'FRIEDMAN, O M']","['KHEDOURI E', 'KIM YH', 'FRIEDMAN OM']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Amino Acids)', '0 (Antineoplastic Agents)', '0 (Nitrogen Mustard Compounds)']",OM,"['*Amino Acids', 'Animals', '*Antineoplastic Agents', '*Chemistry, Pharmaceutical', '*Leukemia L1210', '*Neoplasms', '*Neoplasms, Experimental', '*Nitrogen Mustard Compounds', '*Research']",,['NLM'],"['*AMINO ACIDS', '*CHEMISTRY, PHARMACEUTICAL', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA L1210', '*NEOPLASMS, EXPERIMENTAL', '*NITROGEN MUSTARD COMPOUNDS']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",['10.1021/jm00335a020 [doi]'],ppublish,J Med Chem. 1964 Sep;7:653-5. doi: 10.1021/jm00335a020.,,,,,
14233180,NLM,MEDLINE,19961201,20190710,0022-2623 (Print) 0022-2623 (Linking),7,,1964 Sep,POLYPEPTIDES FROM P-PHENYLALANINE MUSTARD.,650-2,"['MOSHER, C W', 'IWAMOTO, R H', 'ACTON, E M', 'GOODMAN, L']","['MOSHER CW', 'IWAMOTO RH', 'ACTON EM', 'GOODMAN L']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Nitrogen Mustard Compounds)', '0 (Peptides)', '47E5O17Y3R (Phenylalanine)', 'Q41OR9510P (Melphalan)']",OM,"['Animals', '*Carcinoma', '*Carcinoma 256, Walker', '*Chemistry, Pharmaceutical', '*Leukemia L1210', '*Melphalan', 'Mice', '*Nitrogen Mustard Compounds', '*Peptides', '*Pharmacology', '*Phenylalanine', 'Rats', '*Research', '*Sarcoma 180', '*Toxicology']",,['NLM'],"['*CARCINOMA 256, WALKER', '*CHEMISTRY, PHARMACEUTICAL', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA L1210', '*MICE', '*NITROGEN MUSTARD COMPOUNDS', '*PEPTIDES', '*PHARMACOLOGY', '*PHENYLALANINE', '*RATS', '*SARCOMA 180, CROCKER', '*TOXICOLOGIC REPORT']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",['10.1021/jm00335a019 [doi]'],ppublish,J Med Chem. 1964 Sep;7:650-2. doi: 10.1021/jm00335a019.,,,,,
14233179,NLM,MEDLINE,19961201,20190710,0022-2623 (Print) 0022-2623 (Linking),7,,1964 Sep,SYNTHESIS OF POTENTIAL ANTINEOPLASTIC AGENTS. 33. BETA-DIKETONE ANALOGS OF THE GLUTARIMIDE ANTIBIOTICS.,646-50,"['STRUCK, R F', 'SCHAEFFER, H J', 'KRAUTH, C A', 'KEMP, R T', 'SHEALY, Y F', 'MONTGOMERY, J A']","['STRUCK RF', 'SCHAEFFER HJ', 'KRAUTH CA', 'KEMP RT', 'SHEALY YF', 'MONTGOMERY JA']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)', '0 (Ketones)', '0 (Piperidines)', '0 (Piperidones)', 'MV728O9612 (glutarimide)']",OM,"['Animals', '*Anti-Bacterial Agents', '*Antineoplastic Agents', '*Chemistry, Pharmaceutical', '*Ketones', '*Leukemia L1210', '*Neoplasms, Experimental', '*Pharmacology', '*Piperidines', '*Piperidones', '*Research', '*Sarcoma 180']",,['NLM'],"['*ANTIBIOTICS', '*ANTINEOPLASTIC AGENTS', '*CHEMISTRY, PHARMACEUTICAL', '*EXPERIMENTAL LAB STUDY', '*KETONES', '*LEUKEMIA L1210', '*NEOPLASMS, EXPERIMENTAL', '*PHARMACOLOGY', '*PIPERIDINES', '*SARCOMA 180, CROCKER']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",['10.1021/jm00335a018 [doi]'],ppublish,J Med Chem. 1964 Sep;7:646-50. doi: 10.1021/jm00335a018.,,,,,
14233157,NLM,MEDLINE,19961201,20181201,0022-2143 (Print) 0022-2143 (Linking),64,,1964 Oct,"QUANTITATIVE MEASUREMENT OF HUMAN GAMMA-2, BETA-2A, AND BETA-2M SERUM IMMUNOGLOBULINS.",685-93,"['CLAMAN, H N', 'MERRILL, D']","['CLAMAN HN', 'MERRILL D']",['eng'],['Journal Article'],United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,"['0 (Beta-Globulins)', '0 (gamma-Globulins)']",OM,"['*Agammaglobulinemia', '*Beta-Globulins', '*Biomedical Research', '*Eosinophilia', '*Hodgkin Disease', 'Humans', '*Immunodiffusion', '*Leukemia', '*Liver Cirrhosis', '*Lupus Erythematosus, Systemic', '*Lymphoma', '*Lymphoma, Non-Hodgkin', '*Multiple Myeloma', '*Pneumonia', '*Precipitin Tests', '*Waldenstrom Macroglobulinemia', '*gamma-Globulins']",,['NLM'],"['*AGAMMAGLOBULINEMIA', '*BETA GLOBULIN', '*CLINICAL RESEARCH', '*EOSINOPHILIA', '*GAMMA GLOBULIN', '*GEL DIFFUSION TESTS', ""*HODGKIN'S DISEASE"", '*LEUKEMIA', '*LIVER CIRRHOSIS', '*LUPUS ERYTHEMATOSUS, SYSTEMIC', '*LYMPHOSARCOMA', '*MACROGLOBULINEMIA', '*MULTIPLE MYELOMA', '*PNEUMONIA', '*PRECIPITIN TESTS']",1964/10/01 00:00,1964/10/01 00:01,['1964/10/01 00:00'],"['1964/10/01 00:00 [pubmed]', '1964/10/01 00:01 [medline]', '1964/10/01 00:00 [entrez]']",['0022-2143(64)90036-8 [pii]'],ppublish,J Lab Clin Med. 1964 Oct;64:685-93.,,,,,
14233145,NLM,MEDLINE,19961201,20181201,0022-2143 (Print) 0022-2143 (Linking),64,,1964 Oct,CONTRASTING INCIDENCE OF ACUTE MONOCYTIC AND GRANULOCYTIC LEUKEMIAS IN P32-TREATED PATIENTS WITH POLYCYTHEMIA VERA AND CHRONIC LYMPHOCYTIC LEUKEMIA.,560-73,"['OSGOOD, E E']",['OSGOOD EE'],['eng'],['Journal Article'],United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,['0 (Phosphorus Isotopes)'],OM,"['Humans', 'Incidence', '*Leukemia', '*Leukemia, Lymphocytic, Chronic, B-Cell', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', '*Leukemia, Radiation-Induced', '*Lymphocytes', 'Neoplasms/*epidemiology', '*Phosphorus Isotopes', '*Polycythemia Vera']",,['NLM'],"['*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MONOCYTIC', '*LEUKEMIA, RADIATION-INDUCED', '*NEOPLASM STATISTICS', '*PHOSPHORUS ISOTOPES', '*POLYCYTHEMIA VERA']",1964/10/01 00:00,1964/10/01 00:01,['1964/10/01 00:00'],"['1964/10/01 00:00 [pubmed]', '1964/10/01 00:01 [medline]', '1964/10/01 00:00 [entrez]']",['0022-2143(64)90024-1 [pii]'],ppublish,J Lab Clin Med. 1964 Oct;64:560-73.,,,,,
14233077,NLM,MEDLINE,19961201,20181201,0017-6575 (Print) 0017-6575 (Linking),7,,1964 Jan-Mar,[EPIDEMIOLOGICAL ASPECTS OF LEUCOSIS. I. INCIDENCE AND DISTRIBUTION OF THE LEUCEMIC DISEASE IN THE PROVINCE OF MILAN IN THE 3 YEAR PERIOD 1959-61].,9-41,"['ERIDANI, S', 'TISO, R', 'KLUZER, G']","['ERIDANI S', 'TISO R', 'KLUZER G']",['ita'],['Journal Article'],Italy,Haematol Lat,Haematologica Latina,0373001,,OM,"['*Biometry', '*Epidemiology', 'Humans', 'Incidence', 'Italy', '*Leukemia', 'Neoplasms/*epidemiology']",,['NLM'],"['*EPIDEMIOLOGY', '*ITALY', '*LEUKEMIA', '*NEOPLASM STATISTICS']",1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",,ppublish,Haematol Lat. 1964 Jan-Mar;7:9-41.,ASPETTI EPIDEMIOLOGICI DELLE LEUCOSI. I. INCIDENZA E DISTRIBUZIONE DELLA MALATTIA LEUCEMICA NELLA PROVINCIA DI MILANO NEL TRIENNIO 1959-61.,,,,
14232932,NLM,MEDLINE,19961201,20181201,0363-0153 (Print) 0363-0153 (Linking),79,,1965 Feb,TUMOR INCIDENCE IN A-STRAIN MICE.,177-84,"['DUHIG, J T']",['DUHIG JT'],['eng'],['Journal Article'],United States,Arch Pathol,Archives of pathology,7605251,"['50D9XSG0VR (Mechlorethamine)', '8N3DW7272P (Cyclophosphamide)']",OM,"['*Cyclophosphamide', 'Incidence', '*Leukemia', '*Leukemia, Radiation-Induced', '*Lung Neoplasms', '*Mechlorethamine', 'Mice', 'Neoplasms/*epidemiology', '*Neoplasms, Radiation-Induced', '*Pathology', '*Research', '*Thymectomy']",,['NLM'],"['*CYCLOPHOSPHAMIDE', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, RADIATION-INDUCED', '*LUNG NEOPLASMS', '*MECHLORETHAMINE', '*MICE', '*NEOPLASM STATISTICS', '*NEOPLASMS, RADIATION-INDUCED', '*PATHOLOGY', '*THYMECTOMY']",1965/02/01 00:00,1965/02/01 00:01,['1965/02/01 00:00'],"['1965/02/01 00:00 [pubmed]', '1965/02/01 00:01 [medline]', '1965/02/01 00:00 [entrez]']",,ppublish,Arch Pathol. 1965 Feb;79:177-84.,,,,,
14232684,NLM,MEDLINE,19961201,20181201,0370-4793 (Print) 0370-4793 (Linking),9,,1964 Nov,[AGGREGATION OF PLATELETS WITH ADP (ADENOSINE DIPHOSPHORIC ACID)].,999-1000,"['CAEN, J', 'MICHEL, H']","['CAEN J', 'MICHEL H']",['fre'],['Journal Article'],France,Rev Fr Etud Clin Biol,Revue francaise d'etudes cliniques et biologiques,0235616,"['0 (Adenine Nucleotides)', '0 (Diphosphates)', '333DO1RDJY (Serotonin)', '4E862E7GRQ (diphosphoric acid)', '61D2G4IYVH (Adenosine Diphosphate)', '9007-34-5 (Collagen)', 'K72T3FS567 (Adenosine)', 'X4W3ENH1CV (Norepinephrine)', 'YKH834O4BH (Epinephrine)']",OM,"['*Adenine Nucleotides', '*Adenosine', '*Adenosine Diphosphate', '*Blood Platelet Disorders', '*Blood Platelets', '*Collagen', '*Diphosphates', '*Epinephrine', '*Hemophilia A', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Norepinephrine', '*Research', '*Serotonin']",,['NLM'],"['*ADENINE NUCLEOTIDES', '*BLOOD PLATELET DISORDERS', '*BLOOD PLATELETS', '*COLLAGEN', '*EPINEPHRINE', '*EXPERIMENTAL LAB STUDY', '*HEMOPHILIA', '*LEUKEMIA, MYELOCYTIC', '*NOREPINEPHRINE', '*SEROTONIN']",1964/11/01 00:00,1964/11/01 00:01,['1964/11/01 00:00'],"['1964/11/01 00:00 [pubmed]', '1964/11/01 00:01 [medline]', '1964/11/01 00:00 [entrez]']",,ppublish,Rev Fr Etud Clin Biol. 1964 Nov;9:999-1000.,AGR'EGATION DES PLAQUETTES 'A L'ADP (ACIDE ADENOSINE DIPHOSPHORIQUE),,,,
14232681,NLM,MEDLINE,19961201,20181201,0370-4793 (Print) 0370-4793 (Linking),9,,1964 Nov,[ATTEMPT AT TREATMENT OF HODGKIN'S DISEASE AND VARIOUS HEMATOSARCOMAS WITH 1-METHYL-2-P-ALLOPHANOYL-BENZYLHYDRAZINE HYDROBROMIDE].,990-2,"['MATHE, G', 'SCHNEIDER, M', 'CATTAN, A', 'AMIEL, J L', 'SCHWARZENBERG, L', 'SCHLUMBERGER, J R']","['MATHE G', 'SCHNEIDER M', 'CATTAN A', 'AMIEL JL', 'SCHWARZENBERG L', 'SCHLUMBERGER JR']",['fre'],['Journal Article'],France,Rev Fr Etud Clin Biol,Revue francaise d'etudes cliniques et biologiques,0235616,"['0 (Antineoplastic Agents)', '0 (Hydrazines)', '9VP7PK6UMV (benzylhydrazine)']",OM,"['*Antineoplastic Agents', '*Hodgkin Disease', 'Humans', '*Hydrazines', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', '*Lymphoma', '*Lymphoma, Follicular', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Multiple Myeloma', '*Mycosis Fungoides', 'Neoplasms/*therapy', '*Sarcoma']",,['NLM'],"['*ANTINEOPLASTIC AGENTS', ""*HODGKIN'S DISEASE"", '*HYDRAZINES', '*LEUKEMIA', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MONOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*LYMPHOMA', '*LYMPHOMA, GIANT FOLLICULAR', '*LYMPHOSARCOMA', '*MULTIPLE MYELOMA', '*MYCOSIS FUNGOIDES', '*NEOPLASM THERAPY', '*SARCOMA, RETICULUM CELL']",1964/11/01 00:00,1964/11/01 00:01,['1964/11/01 00:00'],"['1964/11/01 00:00 [pubmed]', '1964/11/01 00:01 [medline]', '1964/11/01 00:00 [entrez]']",,ppublish,Rev Fr Etud Clin Biol. 1964 Nov;9:990-2.,ESSAI DE TRAITEMENT PAR LE BROMHYDRATE DE 1-M'ETHYL-2-P-ALLOPHANOYL-BENZYL-HYDRAZINE DE LA MALADIE DE HODGKIN ET DE DIVERS H'EMATOSARCOMES.,,,,
14232667,NLM,MEDLINE,19961201,20181201,0370-4793 (Print) 0370-4793 (Linking),9,,1964 Nov,[AGGREGATING ACTIVITY OF SERUM (PLASMA DEFIBRINATED WITH THROMBIN)].,1001-2,"['CAEN, J', 'MICHEL, H']","['CAEN J', 'MICHEL H']",['fre'],['Journal Article'],France,Rev Fr Etud Clin Biol,Revue francaise d'etudes cliniques et biologiques,0235616,"['0 (Adenine Nucleotides)', 'EC 3.4.21.5 (Thrombin)']",OM,"['*Adenine Nucleotides', '*Blood Platelet Disorders', '*Blood Platelets', '*Hemophilia A', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Plasma', '*Thrombin', '*von Willebrand Diseases']",,['NLM'],"['*ADENINE NUCLEOTIDES', '*BLOOD PLATELET DISORDERS', '*BLOOD PLATELETS', '*HEMOPHILIA', '*LEUKEMIA, MYELOCYTIC', '*THROMBIN', ""*VON WILLEBRAND'S DISEASE""]",1964/11/01 00:00,1964/11/01 00:01,['1964/11/01 00:00'],"['1964/11/01 00:00 [pubmed]', '1964/11/01 00:01 [medline]', '1964/11/01 00:00 [entrez]']",,ppublish,Rev Fr Etud Clin Biol. 1964 Nov;9:1001-2.,L'ACTIVIT'E AGR'EGANTE DU S'ERUM (PLASMA D'EFIBRIN'E PAR LA THROMBINE),,,,
14232501,NLM,MEDLINE,19961201,20211203,0026-2293 (Print) 0026-2293 (Linking),63,,1964 Dec,"EPIDEMIOLOGY OF LEUKEMIA MORTALITY IN MICHIGAN, 1950-1960.",861-5,"['SMITH, D C', 'RUPKE, L K', 'DEWEY, W J']","['SMITH DC', 'RUPKE LK', 'DEWEY WJ']",['eng'],['Journal Article'],United States,Mich Med,Michigan medicine,0017314,,OM,"['Adolescent', '*Blacks', 'Child', '*Geriatrics', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', 'Michigan', '*Mortality', 'Neoplasms/*epidemiology', '*Whites']",,['NLM'],"['*ADOLESCENCE', '*CAUCASIAN RACE', '*CHILD', '*GERIATRICS', '*LEUKEMIA', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*MICHIGAN', '*MORTALITY', '*NEGROES', '*NEOPLASM STATISTICS']",1964/12/01 00:00,1964/12/01 00:01,['1964/12/01 00:00'],"['1964/12/01 00:00 [pubmed]', '1964/12/01 00:01 [medline]', '1964/12/01 00:00 [entrez]']",,ppublish,Mich Med. 1964 Dec;63:861-5.,,,,,
14232424,NLM,MEDLINE,19961201,20181201,,60,,1964 Dec,USE OF ALKALOIDS OF VINCA ROSEA IN ACUTE LEUKEMIA.,378-80,"['SAMPEY, J R']",['SAMPEY JR'],['eng'],['Journal Article'],United States,J S C Med Assoc,Journal of the South Carolina Medical Association,101245535,"['0 (Alkaloids)', '0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', '5V9KLZ54CY (Vinblastine)']",OM,"['*Alkaloids', '*Antineoplastic Agents', '*Catharanthus', 'Humans', '*Leukemia', '*Vinblastine', '*Vincristine']",,['NLM'],"['*ALKALOIDS', '*ANTINEOPLASTIC AGENTS', '*LEUKEMIA', '*VINBLASTINE', '*VINCRISTINE']",1964/12/01 00:00,1964/12/01 00:01,['1964/12/01 00:00'],"['1964/12/01 00:00 [pubmed]', '1964/12/01 00:01 [medline]', '1964/12/01 00:00 [entrez]']",,ppublish,J S C Med Assoc. 1964 Dec;60:378-80.,,,,,
14232170,NLM,MEDLINE,19961201,20181201,0008-1264 (Print) 0008-1264 (Linking),101,,1964 Dec,ACUTE URIC ACID NEPHROPATHY IN LEUKEMIA.,481-4,"['CASDORPH, H R']",['CASDORPH HR'],['eng'],['Journal Article'],United States,Calif Med,California medicine,0410260,['268B43MJ25 (Uric Acid)'],OM,"['*Acute Disease', 'Humans', '*Kidney Diseases', '*Leukemia', '*Purine-Pyrimidine Metabolism, Inborn Errors', '*Uric Acid']",PMC1515861,['NLM'],"['*KIDNEY DISEASES', '*LEUKEMIA', '*URIC ACID']",1964/12/01 00:00,1964/12/01 00:01,['1964/12/01 00:00'],"['1964/12/01 00:00 [pubmed]', '1964/12/01 00:01 [medline]', '1964/12/01 00:00 [entrez]']",,ppublish,Calif Med. 1964 Dec;101:481-4.,,,,,
14232054,NLM,MEDLINE,19961201,20181201,0001-5806 (Print) 0001-5806 (Linking),27,,1964 Aug,[A STUDY OF GROSS PATHOLOGY AND HISTOPATHOLOGY OF MOUSE LYMPHOMA].,456-74,"['NISHIZUKA, Y', 'NAKAKUKI, K']","['NISHIZUKA Y', 'NAKAKUKI K']",['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,OM,"['*Leukemia', '*Leukemia, Experimental', '*Lymphoma', 'Mice', '*Neoplasms', '*Neoplasms, Experimental', '*Pathology', '*Research']",,['NLM'],"['*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*LYMPHOMA', '*MICE', '*NEOPLASMS, EXPERIMENTAL', '*PATHOLOGY']",1964/08/01 00:00,1964/08/01 00:01,['1964/08/01 00:00'],"['1964/08/01 00:00 [pubmed]', '1964/08/01 00:01 [medline]', '1964/08/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1964 Aug;27:456-74.,,,,,
14231891,NLM,MEDLINE,19961201,20190827,0002-9211 (Print) 0002-9211 (Linking),9,,1964 Dec,"CHRONIC LYMPHATIC LEUKEMIA ASSOCIATED WITH LOCALIZED LYMPHOSARCOMA OF THE TERMINAL ILEUM, CECUM, AND APPENDIX. REPORT OF A CASE.",884-8,"['WEE, G C', 'BOND, L F', 'SCHELLHOUSE, E M', 'YAP, M J']","['WEE GC', 'BOND LF', 'SCHELLHOUSE EM', 'YAP MJ']",['eng'],['Journal Article'],United States,Am J Dig Dis,The American journal of digestive diseases,0404011,,OM,"['*Appendiceal Neoplasms', '*Appendix', '*Cecum', '*Geriatrics', 'Humans', '*Ileum', '*Intestinal Neoplasms', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphoma', '*Lymphoma, Non-Hodgkin', '*Pathology', '*Surgical Procedures, Operative']",,['NLM'],"['*APPENDICEAL NEOPLASMS', '*CECUM', '*GERIATRICS', '*ILEUM', '*INTESTINAL NEOPLASMS', '*LEUKEMIA, LYMPHOCYTIC', '*LYMPHOSARCOMA', '*PATHOLOGY', '*SURGERY, OPERATIVE']",1964/12/01 00:00,1964/12/01 00:01,['1964/12/01 00:00'],"['1964/12/01 00:00 [pubmed]', '1964/12/01 00:01 [medline]', '1964/12/01 00:00 [entrez]']",['10.1007/BF02231883 [doi]'],ppublish,Am J Dig Dis. 1964 Dec;9:884-8. doi: 10.1007/BF02231883.,,,,,
