PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,SI,CIN,EIN,CON,PMC,TT,OID,OTO,OT,GN,CRI,CN
8828561,NLM,MEDLINE,19961029,20190615,0002-9378 (Print) 0002-9378 (Linking),175,3 Pt 2,1996 Sep,Screening and diagnosis of coagulation disorders.,778-83,"After clinical assessment, pertinent history, and family history, the clinician often has a good idea concerning the cause of a patient's bleeding. The most appropriate laboratory tests can then be ordered. Routine screening tests include a complete blood cell count, platelet count, and evaluation of a peripheral blood sample, a prothrombin time, and an activated partial thromboplastin time. Thrombocytopenia may result from idiopathic thrombocytopenic purpura, disseminated intravascular coagulation, or, less commonly, acute leukemia, aplastic anemia, thrombotic thrombocytopenic purpura, or a particular drug that a patient is taking. Again, the patient's history, physical findings, and evaluation of a well-prepared peripheral blood smear will be helpful in determining the cause of the patient's thrombocytopenia. An isolated prolongation of the activated partial thromboplastin time may result from low levels of factors VIII, IX, or XI. A slightly prolonged activated partial thromboplastin time and a moderate decrease in factor VIII may reflect von Willebrand disease or the ""carrier"" state for hemophilia A. In women a greatly prolonged activated partial thromboplastin time and very low levels of factor VIII (< 3%) most often result from an acquired factor VIII inhibitor (autoantibody against factor VIII) or from severe (type III) von Willebrand disease. If von Willebrand disease is suspected (because of menorrhagia with or without other mucous membrane bleeding, a positive family history, and a prolonged activated partial thromboplastin time), more specific laboratory tests for this disease should be done. These include assays of factor VIII, von Willebrand factor antigen, von Willebrand factor activity (measured by the ristocetin cofactor assay), and template bleeding time. In von Willebrand disease the defect is in von Willebrand factor. The affected individual may have subnormal levels of structurally and functionally normal von Willebrand factor (this is called ""classic"" or type I von Willebrand disease) or may produce von Willebrand factor that is structurally and functionally abnormal (von Willebrand disease type 2). Individuals who inherit a gene for von Willebrand disease from both parents have severe (type 3) von Willebrand disease and will have extremely low levels (< 3%) of von Willebrand factor and factor VIII and will have a very prolonged bleeding time. In most populations type I disease is the most common form, whereas type 3 is the least commonly encountered form. It should be noted that levels of von Willebrand factor can be influenced by the patient's blood type (persons who have blood type AB have 60% to 70% higher levels than do persons who have blood type O) and can be elevated during pregnancy, stress, and hyperthyroidism. The two major functions of von Willebrand factor are to serve as a ""bridge"" between platelets and injury sites in blood vessel walls and to protect circulating factor VIII from rapid proteolytic degradation. Thus, if a patient has either too little or functionally abnormal von Willebrand factor, the bleeding time will be prolonged and factor VIII will be decreased (because it is not being protected by von Willebrand factor). It should be determined which type of von Willebrand disease a particular patient has because treatment depends on type. Multimeric analysis of von Willebrand factor can be done with use of sodium dodecyl sulfate gels, radiolabeled antibody to von Willebrand's factor, and autoradiography. This will allow visualization of the multimeric structure of von Willebrand factor. In type I disease all bands are present, whereas in the type 2 variants 2A and 2B no high-molecular-weight multimers are seen. Desmopressin acetate (which is available in parenteral form for intravenous use and in a highly concentrated intranasal spray formulation) is the treatment of choice for classic type I disease. The drug effects a rapid release of von Willebrand factor from endothelial cell stor","['Lusher, J M']",['Lusher JM'],"[""Department of Hematology/Oncology, Children's Hospital of Michigan, Detroit 48201, USA.""]",['eng'],"['Journal Article', 'Review']",United States,Am J Obstet Gynecol,American journal of obstetrics and gynecology,0370476,,IM,"['Blood Coagulation Disorders/*diagnosis/prevention & control', 'Diagnosis, Differential', 'Female', 'Humans', 'Mass Screening', 'Pregnancy']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']","['S0002-9378(96)80084-6 [pii]', '10.1016/s0002-9378(96)80084-6 [doi]']",ppublish,Am J Obstet Gynecol. 1996 Sep;175(3 Pt 2):778-83. doi: 10.1016/s0002-9378(96)80084-6.,,25,,,,,,,,,,,,
8828471,NLM,MEDLINE,19961218,20131121,0013-7227 (Print) 0013-7227 (Linking),137,10,1996 Oct,"1,25-Dihydroxyvitamin D3-regulated binding of nuclear proteins to a c-myc intron element.",4154-60,"The steroid hormone 1,25-dihydroxyvitamin D3[1,25-(OH)2D3] induces maturation of many cells, including HL-60 promyelocytic leukemia cells that are differentiated to monocytes/macrophages. This process involves changes in transcription of genes such as c-myc. We investigated the effects of 1,25-(OH)2D3 on nuclear protein binding to the c-myc intron element (MIE), a region of DNA within the c-myc gene. A mutation in this MIE sequence has been shown to be associated with uncontrolled expression of the c-myc gene in various cell lines. In this report, we demonstrate for the first time that 1,25-(OH)2D3 induces increased binding of nuclear proteins to this MIE in HL-60 cells. The major MIE-binding proteins were approximately 32 kDa in size. Interestingly, phorbol 12-myristate 13-acetate induced a similar increase in binding of the 32-kDa doublet protein to the MIE. In addition, we showed that the level of 138-kDa MIE-binding protein was increased by 1,25-(OH)2D3 and phorbol 12-myristate 13-acetate. However, the extent of MIE binding by the 138-kDa protein is significantly less than that of the 32-kDa doublet binding species. MIE binding by the 32-kDa doublet protein was significantly increased within 12 h of 1,25-(OH)2D3 treatment. The time course of this increase was similar to that of 1,25-(OH)2D3-induced inhibition of c-myc gene transcription. We also demonstrated that dephosphorylation of the 32-kDa doublet protein inhibited its binding to the MIE. Thus, this study shows that the mechanism employed by 1,25-(OH)2D3 for regulation of c-myc expression may involve an increase in protein binding to the MIE, which has been shown to be the site for control of c-myc gene expression.","['Pan, Q', 'Martell, R E', ""O'Connell, T D"", 'Simpson, R U']","['Pan Q', 'Martell RE', ""O'Connell TD"", 'Simpson RU']","['Department of Pharmacology, University of Michigan, Ann Arbor 48109-0632, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Endocrinology,Endocrinology,0375040,"['0 (Carrier Proteins)', '0 (Nuclear Proteins)', '0 (Proto-Oncogene Proteins c-myc)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'FXC9231JVH (Calcitriol)']",IM,"['Alkaline Phosphatase/pharmacology', 'Calcitriol/*pharmacology', 'Carrier Proteins/metabolism', 'Dose-Response Relationship, Drug', 'Electrophoresis', 'HL-60 Cells', 'Humans', '*Introns', 'Nuclear Proteins/*metabolism', 'Proto-Oncogene Proteins c-myc/*genetics/*metabolism', 'Time Factors', 'Transcription, Genetic/drug effects']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['10.1210/endo.137.10.8828471 [doi]'],ppublish,Endocrinology. 1996 Oct;137(10):4154-60. doi: 10.1210/endo.137.10.8828471.,"['CA-43859/CA/NCI NIH HHS/United States', 'DE-10337/DE/NIDCR NIH HHS/United States', 'GM-07767/GM/NIGMS NIH HHS/United States']",,,,,,,,,,,,,
8828297,NLM,MEDLINE,19961108,20061115,0301-1208 (Print) 0301-1208 (Linking),33,3,1996 Jun,A quantitative structure-activity relationship study on DNA-directed alkylating agents.,234-6,,"['Gupta, S P', 'Anil, S N', 'Kurup, A']","['Gupta SP', 'Anil SN', 'Kurup A']","['Department of Chemistry, Birla Institute of Technology and Science, Pilani.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",India,Indian J Biochem Biophys,Indian journal of biochemistry & biophysics,0310774,"['0 (Antineoplastic Agents, Alkylating)', '0 (Intercalating Agents)', '9007-49-2 (DNA)']",IM,"['Animals', 'Antineoplastic Agents, Alkylating/*chemistry/*toxicity', 'CHO Cells', 'Cell Survival/drug effects', 'Cricetinae', '*DNA', 'Intercalating Agents/*chemistry/*toxicity', 'Leukemia P388', 'Mice', 'Structure-Activity Relationship', 'Tumor Cells, Cultured']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",,ppublish,Indian J Biochem Biophys. 1996 Jun;33(3):234-6.,,,,,,,,,,,,,,
8828144,NLM,MEDLINE,19961204,20191024,0920-8569 (Print) 0920-8569 (Linking),11,2-3,1995,Analysis of the phylogenetic placement of different spumaretroviral genes reveals complex pattern of foamy virus evolution.,183-90,"Foamy or spumaviruses are complex retroviruses. Phylogenetic trees have been constructed previously for either the polymerase or integrase domains showed a clustering of the foamy viruses relatively distant from other retroviruses. The most related retrovirus was found to be murine leukemia virus, irrespective of the method used or foamy viral gene analyzed. We analyze bel genes of different foamy viruses and compared the corresponding phylogenetic trees with those obtained from the pol genes that were constructed with refined computer programs. In addition, the nucleocapsid protein sequence of foamy viruses was used for a comparative phylogenetic analysis. Known biological properties of the individual FV protein domains are discussed to ascertain the apparent phylogenetic relatedness.","['Dias, H W', 'Aboud, M', 'Flugel, R M']","['Dias HW', 'Aboud M', 'Flugel RM']","['Abteilung Retroviral Genexpression, Forschungsschwerpunkt Angewandte Tumorvirologie, Heidelberg, Federal Republic of Germany.']",['eng'],"['Journal Article', 'Review']",United States,Virus Genes,Virus genes,8803967,"['EC 2.7.7.- (Integrases)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",IM,"['Amino Acid Sequence', 'Animals', 'Evolution, Molecular', '*Genes, Viral', 'Genes, env', 'Humans', 'Integrases/chemistry', 'Molecular Sequence Data', 'Phylogeny', 'RNA-Directed DNA Polymerase/chemistry', 'Sequence Homology, Amino Acid', 'Spumavirus/classification/*genetics']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1007/BF01728657 [doi]'],ppublish,Virus Genes. 1995;11(2-3):183-90. doi: 10.1007/BF01728657.,,29,"['GENBANK/J02029', 'GENBANK/J02255', 'GENBANK/J02256', 'GENBANK/J02257', 'GENBANK/J02342', 'GENBANK/J02343', 'GENBANK/K03455', 'GENBANK/L26493', 'GENBANK/M12349', 'GENBANK/M15122', 'GENBANK/M38432', 'GENBANK/P27400', 'GENBANK/P27401', 'GENBANK/P27402', 'GENBANK/P29169', 'GENBANK/Q00071', 'GENBANK/U04327', 'GENBANK/U21247', 'GENBANK/X05291', 'GENBANK/X05591', 'GENBANK/Y00070']",,,,,,,,,,,
8828142,NLM,MEDLINE,19961204,20191024,0920-8569 (Print) 0920-8569 (Linking),11,2-3,1995,Endogenous env elements: partners in generation of pathogenic feline leukemia viruses.,147-61,"Feline leukemia viruses (FeLVs), which are replication-competent oncoretroviruses of the domestic cat species, are contagiously transmitted in natural environments. They are capable of inducing either acute antiproliferative disease or, after prolonged latency, lymphoid malignancies in this animal population. Current knowledge of the recombinational events between infectious FeLV and noninfectious endogenously inherited FeLV-like elements is reviewed, and the potential role of the derived recombinant viruses in pathogenesis is discussed. Major observations made are as follows: (1) Up to three fourths of the exogenous FeLV envelope glycoprotein (SU), beginning from the N-terminal end, can be replaced by sequences from an endogenous FeLV to produce biologically active chimeric FeLVs. The in vitro replication efficiency or cell tropism of the recombinants appears to be influenced by the amount of SU sequences replaced by the endogenous partner, as well as by the locus of origin of the endogenous sequences. (2) Generation of FeLV recombinants in tissue culture cells corresponds closely to the findings from natural tumors. There is direct evidence, based on molecular genetic analysis, for the prevalence of recombinant proviruses in naturally arising FeLV-induced lymphomas. (3) Certain recombinants harboring an altered primary neutralizing epitope in the middle of SU corresponding to the endogenous FeLV sequence can evade immunity developed against common FeLV infection. In several other recombinants, the epitope sequence is found to be frequently mutated during the process of recombination. (4) FeLV variants with altered epitope, although they may not be efficient in replication in vivo, apparently are capable of causing focal infection in target organs. Evidence is also presented that when coinfected with an exogenous FeLV, the epitope sequence in the variants is reverted to the exogenous type, providing an explanation why this sequence is found to be conserved in all natural isolates of FeLV. (5) A prototype chimeric polyprotein containing most of the SU from the endogenous source is abnormally processed and becomes trapped in the endoplasmic reticulum. A functional consequence of such trapping is interference with specific FeLV infection. (6) Some recombinants, while only poorly replicating in the host, may have the ability to infect target erythroid progenitor cells for the induction of strong cytopathic effect. (7) Some other recombinants appear to potentiate lymphomagenesis by exogenous FeLV and others to acquire properties to infect CNS endothelial cells, an event that could potentially be related to FeLV-induced neuropathogenicity. (8) Of multiple recombinant viruses, a specific recombinant species was found to occur in each of the three cats examined in which lymphoma was experimentally induced, and it was exclusively seen in one of these cats. This recombinant FeLV may potentially be a candidate for strong leukemogenic function. In addition to commonly encountered virus envelope changes, another prominent viral factor involved in tumorigenesis is mutated FeLV transcription regulatory sequences, most frequently with enhancer duplication or triplication. Although only a limited amount of information is available in the area of insertional mutagenesis in FeLV neoplastic disease, activation of certain key nuclear transcription factor genes has been documented.","['Roy-Burman, P']",['Roy-Burman P'],"['Department of Pathology, University of Southern California School of Medicine, Los Angeles 90033, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Virus Genes,Virus genes,8803967,['0 (Epitopes)'],IM,"['Amino Acid Sequence', 'Animals', 'Cats', 'Epitopes/chemistry', '*Genes, env', 'Genome, Viral', 'Humans', 'Leukemia Virus, Feline/*genetics/pathogenicity', 'Lymphoma', 'Molecular Sequence Data', 'Neutralization Tests', 'Recombination, Genetic']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1007/BF01728655 [doi]'],ppublish,Virus Genes. 1995;11(2-3):147-61. doi: 10.1007/BF01728655.,['CA51485/CA/NCI NIH HHS/United States'],107,,,,,,,,,,,,
8827886,NLM,MEDLINE,19961218,20071115,0485-1439 (Print) 0485-1439 (Linking),37,8,1996 Aug,[Bone marrow transplantation from an unrelated donor in patient with congenital heart diseases].,731-3,"A 9-year-old with chronic myelogenous leukemia (CML) who received bone marrow transplantation from an unrelated donor (UBMT), is reported. He also suffered from congenital heart disease (CHD) consisting of corrected transposition of the great arteries and dextrocardia. The cardiac output was within normal limits. The conditioning regimen included busulfan, melphalan, ALG and TLI. Cyclophosphamide was not used because of it cardiotoxicity. The HLA-phenotype of the donor was identical with that of the patient. DNA typing showed was haplodentical DRB1. The patient is alive 18 months after the UBMT. This case showed that UBMT was possible in a CML patient with CHD, without congestive heart failure.","['Kumazaki, H', 'Hanada, R', 'Kikuchi, A', 'Ichikawa, M', 'Yamamoto, K', 'Aoyagi, H']","['Kumazaki H', 'Hanada R', 'Kikuchi A', 'Ichikawa M', 'Yamamoto K', 'Aoyagi H']","[""Saitama Children's Medical Center.""]",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['0 (Immunosuppressive Agents)'],IM,"['Adult', '*Bone Marrow Transplantation', 'Child', 'Graft vs Host Disease/prevention & control', 'Heart Defects, Congenital/*complications', 'Histocompatibility Testing', 'Humans', 'Immunosuppressive Agents/administration & dosage', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/*therapy', 'Male', 'Phenotype', '*Tissue Donors']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1996 Aug;37(8):731-3.,,,,,,,,,,,,,,
8827885,NLM,MEDLINE,19961218,20061115,0485-1439 (Print) 0485-1439 (Linking),37,8,1996 Aug,[Myelodysplastic syndrome with multiple chromosome aberrations in a patient with Werner's syndrome].,725-30,"An unusual case of Werner's syndrome with myelodysplastic syndrome (MDS) in a 63-year-old male is reported. He was transferred to our hospital for evaluation of pancytopenia in August 1994. He had surgery for cataracts at age 47. On admission, his weight was 39 kg and his height was 148 cm. He looked pale, had thin limbs, a bird-like face, loss of hair, a hoarse voice, and atrophic skin with ulcers. A complete blood count showed: hemoglobin 8.7 g/dl; platelet count 1.5 x 10(4)/microliters; and white blood cell count 2,900/microliters with 3% blasts. A bone marrow aspiration revealed hypercellularity with 11.8% blasts and trilineage myelodysplasia. A diagnosis of RAEB was made according to the FAB classification. Cytogenetic analysis of the bone marrow cells revealed multiple aberrations such as 44, XY, -3, -5, add (4) (q?31), add(6) (p2?), del(7) (q22), add(10) (q24), del(12) (q?), add(14) (q32), -15, -16, -17, + mar1, +mar2, +mar3. He died of pneumonia on day 11. Although approximately 700 cases (about 300 cases in Japan) of Werner's syndrome have been reported, the occurrence of hematopoietic malignancies in Werner's syndrome is rare, and the literature includes 8 cases of leukemia and 4 cases of MDS.","['Mita, M', 'Ishibashi, T', 'Shichishima, T', 'Maruyama, Y']","['Mita M', 'Ishibashi T', 'Shichishima T', 'Maruyama Y']","['Department of Hematology, Hoshi General Hospital, Koriyama.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Bone Marrow Cells', '*Chromosome Aberrations', 'Fatal Outcome', 'Humans', 'Karyotyping', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/diagnosis/*etiology/genetics', 'Werner Syndrome/*complications/genetics']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1996 Aug;37(8):725-30.,,15,,,,,,,,,,,,
8827883,NLM,MEDLINE,19961218,20121115,0485-1439 (Print) 0485-1439 (Linking),37,8,1996 Aug,[A case of myelofibrosis that developed polycythemia vera following treatment with ranimustine and then acute myelogenous leukemia (M0)].,713-8,"A 60-year-old Japanese woman was admitted to our hospital because of fatigue, weight loss and abdominal distension. Myelofibrosis was diagnosed, based on anemia, huge hepatosplenomegaly, leukoerythroblastosis and bone marrow fibrosis. Following treatment with ranimustine, anemia and splenomegaly improved. Seven months after initial therapy of ranimustine, however, polycythemia (RBC 7.39 x 10(6)/microliter; Hb 19.1 g/dl, Ht 65.9%) developed gradually, then RBC decreased to normal level following venesection (total 1,200 ml). After 32 months, blastic transformation occurred. The blasts were negative for myeloperoxidase. By flow cytometric analysis, the cells were positive for CD2, CD13, CD33 and HLA DR. Thus, AML (M0) was diagnosed. Despite of treatment with multicytotoxic agents, she died of DIC 36 months after the initial diagnosis of myelofibrosis. The progression from myelofibrosis to polycythemia is rare and only 15 cases have been reported so far. In addition, although a chromosomal abnormality, 46, XX, t(3; 12) (q25; p11), was present at the time of first diagnosis of myelofibrosis, the development of an additional abnormality, del(11) (q-), might be related to the transformation to AML.","['Harashima, S', 'Okamura, T', 'Umeno, M', 'Takaki, K']","['Harashima S', 'Okamura T', 'Umeno M', 'Takaki K']","['Department of Internal Medicine, Sawara Hospital, Fukuoka.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antineoplastic Agents)', '0 (Nitrosourea Compounds)', 'RYH2T97J77 (ranimustine)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Chromosome Aberrations', 'Chromosome Disorders', 'Disease Progression', 'Fatal Outcome', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*etiology/pathology', 'Lymphocyte Activation', 'Middle Aged', 'Nitrosourea Compounds/*therapeutic use', 'Polycythemia/*etiology', 'Primary Myelofibrosis/*complications/*drug therapy/pathology']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1996 Aug;37(8):713-8.,,,,,,,,,,,,,,
8827880,NLM,MEDLINE,19961218,20071115,0485-1439 (Print) 0485-1439 (Linking),37,8,1996 Aug,[Transverse lesion of the spinal cord due to mucormycosis in an AML patient].,694-700,"A 54 year old man complained exertional dyspnea and palpitation since November 1989. As he was diagnosed with marked anemia, leukocytosis and thrombocytopenia by his work place doctor, he was admitted to our hospital. Acute myelogenous leukemia was diagnosed based on laboratory findings. BHAC-DMP, BHAC-MEP and A triple V therapies were only partially effective. Fine nodular shadows in all lung fields and a semicircular mass in the right lower lobe next to the thoracic vertebra were evident on the chest X-P since the end of March 1990. He was treated with antibiotics and amphotericin B but the abnormal lung shadows did not disappear. He had sudden onset of paraplegia and loss of all sensation below Th6 on May 1. Aparavertebral mass in the right lower lobe was detected by CT and MRI, for which radiotherapy was performed but without improvement. He died of respiratory failure on May 12. Autopsy showed that the semicircular paravertebral mass continued to the main pulmonary vein and epidural area of the thoracic cord (Th6-8). Microscopically, mucormycosis was found. Necrosis due to mucor embolism was found in the thoracic cord. It is usually difficult to diagnose mucormycosis in immunocompromised patients while they are alive. It is important to suspect mucormycosis if any infarction symptoms or infections resistant to antibiotics develop in immunocompromised patients.","['Suzuki, G', 'Kurosawa, M', 'Takanashi, Y', 'Itaya, T', 'Kunieda, Y', 'Maeda, S', 'Okabe, M', 'Asaka, M', 'Miyazaki, T']","['Suzuki G', 'Kurosawa M', 'Takanashi Y', 'Itaya T', 'Kunieda Y', 'Maeda S', 'Okabe M', 'Asaka M', 'Miyazaki T']","['Third Department of Internal Medicine, Hokkaido University School of Medicine.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Fatal Outcome', 'Humans', 'Immunocompromised Host', 'Leukemia, Myeloid, Acute/*complications', 'Lung/pathology', 'Lung Diseases, Fungal/complications/pathology', 'Male', 'Middle Aged', '*Mucormycosis', 'Myelitis, Transverse/*complications/*microbiology/pathology', 'Opportunistic Infections/*complications', 'Spinal Cord/pathology']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1996 Aug;37(8):694-700.,,,,,,,,,,,,,,
8827878,NLM,MEDLINE,19961218,20161123,0485-1439 (Print) 0485-1439 (Linking),37,8,1996 Aug,"[Natural killer cell lymphoma having a nodular shadow in the lung as an initial finding, developed to leukemia complicated with hemophagocytic syndrome at the time of relapse].",682-7,"A 57-year-old female was admitted to Uji hospital for the further evaluation of nodular shadow on her right lung. During the period of admission, she developed cervical lymph node swelling. She was diagnosed as having malignant lymphoma (diffuse, small cleaved cell) by lymph node biopsy. She received combined chemotherapy and obtained partial remission for seven months until she developed fever and pancytopenia. Laboratory data showed increased number of large granular lymphocytes (LGLs) in blood. Bone marrow revealed increased number of LGLs with hemophagocytosis by macrophage. Surface marker analysis revealed LGLs were positive for CD2 CD16, and CD56 and negative for CD3, CD4, CD8, and CD20. T-cell receptor genes beta and gamma were in germ line configuration. Analysis of Epstein-Barr virus genome using termini probe indicated a monoclonal proliferation of LGLs. Reexamination of the biopsy specimen of lymph node revealed LGLs which was negative for CD3 and CD20. The patient was diagnosed as a leukemic phase of natural killer (NK) cell lymphoma complicated with hemophagocytic syndrome (HPS). Serum levels of interferon-gamma, macrophage colony-stimulating factor, granulocyte colony-stimulating factor, and interleukin-6 increased, which might be related to HPS.","['Morimoto, S', 'Hirata, T', 'Tatsumi, T', 'Yamagata, N', 'Ashihara, E', 'Goto, H', 'Inaba, T', 'Fujita, N', 'Kawa, K', 'Nakata, T', 'Shimazaki, C', 'Nakagawa, M']","['Morimoto S', 'Hirata T', 'Tatsumi T', 'Yamagata N', 'Ashihara E', 'Goto H', 'Inaba T', 'Fujita N', 'Kawa K', 'Nakata T', 'Shimazaki C', 'Nakagawa M']","['Second Department of Medicine, Kyoto Prefectural University of Medicine.']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antigens, CD)', '0 (Cytokines)']",IM,"['Antigens, CD/analysis', 'Bone Marrow Cells', 'Cytokines/blood', 'Female', 'Histiocytosis, Non-Langerhans-Cell/*etiology', 'Humans', '*Killer Cells, Natural', 'Leukemia/*etiology', 'Lymphocytes/pathology', 'Lymphoma, Non-Hodgkin/blood/*complications', 'Middle Aged', 'Radiography', 'Solitary Pulmonary Nodule/diagnostic imaging/*etiology']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1996 Aug;37(8):682-7.,,,,,,,,,,,,,,
