PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,EIN,GS,PMC,RF,SI,OID,OTO,OT,GN,CON,CRF,EFR,OAB,OABL
1541692,NLM,MEDLINE,19920407,20190501,0021-9746 (Print) 0021-9746 (Linking),45,2,1992 Feb,Childhood lymphoma in Yorkshire.,130-4,"AIMS: A histopathological review of 43 cases of childhood non-Hodgkin's lymphoma (NHL) in an attempt to identify histological variables of prognostic importance. METHOD: Each case was reclassified according to the Working Formulation and an attempt made to allocate an immunophenotype using a panel of monoclonal antibodies. Results were correlated with clinical data on site and survival. RESULTS: Of the 43 cases, 30 were males and 13 females. There were 17 cases of lymphoblastic lymphoma, 15 cases of small non-cleaved cell lymphoma (SNCC), and four cases of large cell lymphoma. The SNCC group was subdivided into 10 cases of Burkitt's lymphoma and five cases of non-Burkitt's lymphoma. An immunophenotype was allocated in 65.1% of cases (23 B, 5 T). The SNCC cases were spread throughout the 0-16 year age range while the lymphoblastic lymphoma cases tended to occur in older children. Most mediastinal tumours were lymphoblastic lymphoma and most abdominal tumours were SNCC. Statistical analysis failed to show a significant difference in survival among histological subgroups or immunophenotypes. CONCLUSION: No histological variables of prognostic importance were identified partly due to the great variation in treatment regimens, standard of supportive care, and prognosis over the period of the study (1972 to 1988).","['Davison, A M', 'McKinney, P A', 'Bailey, C C', 'Lewis, I', 'Cartwright, R A', ""O'Brien, C""]","['Davison AM', 'McKinney PA', 'Bailey CC', 'Lewis I', 'Cartwright RA', ""O'Brien C""]","['University Department of Pathology, Leeds General Infirmary.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Clin Pathol,Journal of clinical pathology,0376601,,IM,,"['Adolescent', 'Burkitt Lymphoma/pathology', 'Child', 'Child, Preschool', 'England', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphocytic, Chronic, B-Cell/pathology', 'Lymphoma, Large B-Cell, Diffuse/pathology', 'Lymphoma, Non-Hodgkin/mortality/*pathology', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology', 'Prognosis']",1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",['10.1136/jcp.45.2.130 [doi]'],ppublish,J Clin Pathol. 1992 Feb;45(2):130-4. doi: 10.1136/jcp.45.2.130.,,,,,PMC495651,,,,,,,,,,,
1541683,NLM,MEDLINE,19920407,20181113,0021-9738 (Print) 0021-9738 (Linking),89,3,1992 Mar,Internucleosomal DNA fragmentation during phorbol ester-induced monocytic differentiation and G0/G1 arrest.,954-60,"The treatment of human myeloid leukemia cell lines with phorbol esters, such as 12-O-tetradecanoylphorbol-13-acetate (TPA), is associated with loss of proliferative capacity and induction of monocytic differentiation. The present results demonstrate that treatment of asynchronous human U-937 leukemia cells with 10 nM TPA is also associated with oligonucleosomal DNA cleavage. This pattern of DNA fragmentation, which is observed in programmed cell death, was detectable in populations of TPA-treated cells that had entered a nonproliferative G0/G1 phase. Similar findings were obtained after TPA treatment of a synchronous population of G1 cells. These cells progressed through S and G2/M phases before undergoing internucleosomal DNA cleavage during G0/G1 arrest. These G0/G1 cells displayed characteristics of monocytic differentiation, including down-regulation of c-myc expression and induction of c-fms transcripts. DNA fragmentation was also studied in cells treated with 5 nM TPA for 48 h and then monitored in drug-free long-term culture. Endonucleolytic cleavage was similarly observed in the differentiated G0/G1 population. However, longer periods of culture were associated with a decrease in DNA fragmentation to undetectable levels. This effect was followed by retrodifferentiation and reentry of cells into cycle. Taken together, these findings demonstrate that internucleosomal DNA fragmentation occurs during induction of monocytic differentiation, and that both of these events are detectable in G0/G1 cells.","['Gunji, H', 'Hass, R', 'Kufe, D']","['Gunji H', 'Hass R', 'Kufe D']","['Laboratory of Clinical Pharmacology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, Massachusetts 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Nucleosomes)', '9007-49-2 (DNA)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,,"['Cell Differentiation', 'DNA/*metabolism', '*G1 Phase', 'Humans', 'Monocytes/drug effects/*metabolism', 'Nucleosomes/*metabolism', '*Resting Phase, Cell Cycle', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tumor Cells, Cultured']",1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']",['10.1172/JCI115677 [doi]'],ppublish,J Clin Invest. 1992 Mar;89(3):954-60. doi: 10.1172/JCI115677.,"['CA-34183/CA/NCI NIH HHS/United States', 'CA-42802/CA/NCI NIH HHS/United States']",,,,PMC442943,,,,,,,,,,,
1541668,NLM,MEDLINE,19920407,20181113,0021-9738 (Print) 0021-9738 (Linking),89,3,1992 Mar,Characterization of the immunoglobulin heavy chain complementarity determining region (CDR)-III sequences from human B cell precursor acute lymphoblastic leukemia cells.,739-46,"Sequence analysis of the immunoglobulin heavy chain complementarity determining region (CDR)-III of B-lineage cells at various stages has provided important insights concerning B cell maturation and selection. Knowledge of human CDR-III sequences has been relatively limited compared with that of the murine system. We analyzed the CDR-III sequences of B cell precursor acute lymphoblastic leukemia (pre-B ALL) cells in 23 newly diagnosed and 10 relapsed patients, in order to elucidate the organization of CDR-III in B cell precursors. We found a very low frequency of somatic mutations in D and JH regions, preferential use of DLR, DXP, DHQ52, and DN elements, and of 3' side JH segments, and no predominant usage of D coding frames. Unusual joinings such as VH-D-D-JH and VH-JH were observed in three, and one sequences, respectively. We compared the CDR-III sequences derived from 10 patients between diagnosis and relapse. Two of them had three spots of mutated nucleotides at relapse, all of which were found in the N region near the D segments. Our data showed the possibility of somatic mutation at relapse, in addition to developmentally regulated rearrangement of the immunoglobulin gene at the stage of B cell precursors.","['Kiyoi, H', 'Naoe, T', 'Horibe, K', 'Ohno, R']","['Kiyoi H', 'Naoe T', 'Horibe K', 'Ohno R']","['Department of Medicine, Branch Hospital Nagoya University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Variable Region)']",IM,,"['Adolescent', 'Adult', 'Base Sequence', 'Burkitt Lymphoma/*immunology', 'Child', 'Child, Preschool', 'Female', '*Genes, Immunoglobulin', 'Humans', 'Immunoglobulin Heavy Chains/*genetics', 'Immunoglobulin Variable Region/*genetics', 'Infant', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Neoplastic Stem Cells/*immunology', 'Recurrence']",1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']",['10.1172/JCI115650 [doi]'],ppublish,J Clin Invest. 1992 Mar;89(3):739-46. doi: 10.1172/JCI115650.,,,,,PMC442916,,"['GENBANK/S85451', 'GENBANK/S85452', 'GENBANK/S85453', 'GENBANK/S85454', 'GENBANK/S85455', 'GENBANK/S85456', 'GENBANK/S85457', 'GENBANK/S85458', 'GENBANK/S85460', 'GENBANK/S85461']",,,,,,,,,
1541282,NLM,MEDLINE,19920407,20190620,0014-2956 (Print) 0014-2956 (Linking),204,2,1992 Mar 1,Kinetic parameters for the uptake of anthracycline by drug-resistant and drug-sensitive K562 cells.,693-8,"Fluorescence-emission spectra from anthracycline-treated cells suspended in buffer have been used to measure the uptake of three anthracycline derivatives: adriamycin, 4'-O-tetrahydropyranyladriamycin and aclacinomycin in drug-sensitive and drug-resistant K562 cells. The initial rate of uptake and the kinetics of active efflux under the effect of an integral membrane glycoprotein, P-glycoprotein, have been measured as a function of temperature. The activation energies for the passage of the drugs through the plasma membrane have been calculated. In the case of 4'-O-tetrahydropyranyladriamycin, the activation energies for the passive diffusion of the drug equal 45 kJ.mol-1 and 37 kJ.mol-1 for sensitive and resistant cells, respectively. The activation energy for the active efflux of 4'-O-tetrahydropyranyladriamycin equal 25 kJ.mol-1.","['Tarasiuk, J', 'Garnier-Suillerot, A']","['Tarasiuk J', 'Garnier-Suillerot A']","['Laboratoire de Chimie Bioinorganique, Unite de Formation et de Recherche en Sante, Medecine et Biologie Humaine, Bobigny, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (aclacinomycins)', '74KXF8I502 (Aclarubicin)', '80168379AG (Doxorubicin)', 'D58G680W0G (pirarubicin)']",IM,,"['Aclarubicin/*analogs & derivatives/metabolism/pharmacology', 'Biological Transport', 'Cell Line', 'Cell Membrane/metabolism', 'Doxorubicin/*analogs & derivatives/*metabolism/pharmacology', 'Drug Resistance', 'Fluorescence Polarization', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'Membrane Fluidity', 'Temperature']",1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']",['10.1111/j.1432-1033.1992.tb16683.x [doi]'],ppublish,Eur J Biochem. 1992 Mar 1;204(2):693-8. doi: 10.1111/j.1432-1033.1992.tb16683.x.,,,,,,,,,,,,,,,,
1541218,NLM,MEDLINE,19920409,20071115,0009-4722 (Print) 0009-4722 (Linking),63,2,1992 Feb,[Nomenclature-inherent problems in oncology exemplified with primary thymogenic tumors].,109-12,"Controversy about thymic organogenesis and its complex ontogenesis and functions, have led to several contradictory classifications of primary thymic tumors. Apart from the mesenchymal tumors such as thymolipomas there are four cell types which may represent the cellular origins of primary neoplastic lesions of the thymus: Thymocytes (T-lymphoblastic lymphoma), thymic B-lymphocytes (thymic lymphoma of the B-cell type), epithelial cells (thymomas, thymic carcinomas), and neuroendocrine cells (carcinoid tumors of the thymus).","['Otto, H F']",['Otto HF'],['Pathologisches Institut der Universitat Heidelberg.'],['ger'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Chirurg,Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen,16140410R,,IM,,"['Carcinoid Tumor/diagnosis', 'Diagnosis, Differential', 'Hodgkin Disease/*diagnosis', 'Humans', 'Lymphoma, B-Cell/diagnosis', 'Lymphoma, Non-Hodgkin/*diagnosis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis', '*Terminology as Topic', 'Thymoma/diagnosis', 'Thymus Neoplasms/*classification/diagnosis']",1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",,ppublish,Chirurg. 1992 Feb;63(2):109-12.,,"Nomenklatur-immanente Probleme in der Onkologie, dargestellt am Beispiel primar thymogener Geschwulste.",,,,,,,,,,,,,,
1541172,NLM,MEDLINE,19920408,20190514,0012-3692 (Print) 0012-3692 (Linking),101,3,1992 Mar,Bowel infarction as the initial manifestation of disseminated aspergillosis.,877-9,Disseminated aspergillosis in the immunocompromised patient most commonly presents with clinically apparent pulmonary involvement and roentgenographic infiltrates. We report a patient with acute myelogenous leukemia who developed bowel infarction due to gastrointestinal invasion of Aspergillus fumigatus as the initial manifestation of widespread fungal disease.,"['Cohen, R', 'Heffner, J E']","['Cohen R', 'Heffner JE']","['Division of Pulmonary and Critical Care Medicine, Long Island Jewish Medical Center, NY.']",['eng'],"['Case Reports', 'Journal Article']",United States,Chest,Chest,0231335,,IM,,"['Adult', 'Aspergillosis/*complications/diagnosis/pathology', '*Aspergillus fumigatus', 'Humans', 'Ileum/*blood supply/pathology', 'Immunocompromised Host', 'Infarction/*etiology/pathology', 'Intestinal Diseases/complications/microbiology', 'Leukemia, Myeloid, Acute/complications', 'Lung Diseases, Parasitic/complications', 'Male']",1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']","['S0012-3692(16)31984-5 [pii]', '10.1378/chest.101.3.877 [doi]']",ppublish,Chest. 1992 Mar;101(3):877-9. doi: 10.1378/chest.101.3.877.,,,,,,,,,,,,,,,,
1541106,NLM,MEDLINE,19920408,20190706,0090-3493 (Print) 0090-3493 (Linking),20,3,1992 Mar,"Ethics and the provision of futile, harmful, or burdensome treatment to children.",427-33,,"['Nelson, L J', 'Nelson, R M']","['Nelson LJ', 'Nelson RM']","['Department of Pediatrics, Medical College of Wisconsin, Milwaukee.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Crit Care Med,Critical care medicine,0355501,,IM,,"['Acquired Immunodeficiency Syndrome/complications/therapy', 'Child', 'Child, Preschool', 'Consensus', 'Decision Making', '*Ethics, Medical', 'Female', 'Heart Arrest/complications/therapy', 'Humans', 'Infant', '*Life Support Care', 'Male', '*Parents', '*Physician-Patient Relations', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/therapy', 'Prognosis', 'Refusal to Treat', 'Risk Assessment', 'Social Values', '*Withholding Treatment']",1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']",['10.1097/00003246-199203000-00022 [doi]'],ppublish,Crit Care Med. 1992 Mar;20(3):427-33. doi: 10.1097/00003246-199203000-00022.,,,,,,,,['KIE: 39279'],['KIE'],"['Death and Euthanasia', 'Professional Patient Relationship']","['KIE: KIE BoB Subject Heading: allowing to die', 'KIE: KIE BoB Subject Heading: patient care/minors', 'KIE: Full author name: Nelson, Lawrence J', 'KIE: Full author name: Nelson, Robert M']",,,,,
1540994,NLM,MEDLINE,19920409,20190824,0009-2797 (Print) 0009-2797 (Linking),81,3,1992 Feb,Limitations of the in vitro repair synthesis assay for probing the role of DNA repair in platinum resistance.,223-31,"Several studies have implicated enhanced DNA repair in acquired platinum resistance. To better understand the mechanism of increased repair we have employed an in vitro assay using cell-free extracts from platinum sensitive and resistant murine and human cell lines. Since the platinum resistant murine cell lines used in our previous studies had shown increased repair of diaminocyclohexane(dach)-Pt-DNA adducts while one of the resistant human cell lines did not, we have measured in vitro repair synthesis on DNA damaged by (d,l)-trans-1,2-diaminocyclohexanedichloroplatinum(II) (PtCl2(dach)). The results of this assay were strongly dependent on the method used to calculate repair synthesis activity and appeared to disagree with previous estimates of repair activity in these cell lines. By one method of calculation the in vitro repair synthesis assay underestimated the ratio of repair activities in the resistant versus the sensitive murine cell lines, while by the other method the in vitro assay overestimated the ratio of repair activities in the resistant versus the sensitive human cell lines.","['Nichols, A F', 'Schmidt, W J', 'Chaney, S G', 'Sancar, A']","['Nichols AF', 'Schmidt WJ', 'Chaney SG', 'Sancar A']","['Department of Biochemistry and Biophysics, University of North Carolina School of Medicine, Chapel Hill 27599.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Ireland,Chem Biol Interact,Chemico-biological interactions,0227276,"['0 (Antineoplastic Agents)', '0 (Organoplatinum Compounds)', '52691-24-4 (dichloro-1,2-diaminocyclohexane platinum complex)', '9007-49-2 (DNA)']",IM,,"['Animals', 'Antineoplastic Agents/*pharmacology', 'DNA/*biosynthesis', '*DNA Damage', '*DNA Repair', 'Drug Resistance', 'Female', 'Humans', 'Leukemia L1210', 'Mice', 'Organoplatinum Compounds/*pharmacology', 'Ovarian Neoplasms', 'Tumor Cells, Cultured']",1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']","['0009-2797(92)90079-Z [pii]', '10.1016/0009-2797(92)90079-z [doi]']",ppublish,Chem Biol Interact. 1992 Feb;81(3):223-31. doi: 10.1016/0009-2797(92)90079-z.,"['CA34082/CA/NCI NIH HHS/United States', 'ST32 ES-07126/ST/OHS HRSA HHS/United States']",,,,,,,,,,,,,,,
1540980,NLM,MEDLINE,19920407,20190907,0340-7004 (Print) 0340-7004 (Linking),34,5,1992,Continuous intravenous infusion of high-dose recombinant interleukin-2 for acute myeloid leukaemia--a phase II study.,337-42,"A group of 13 patients with acute myeloid leukaemia of differing disease status were treated with continuous intravenous infusion of high-dose recombinant interleukin-2 (rIL-2). There was up-regulation of the cellular cytotoxic functions in all these patients following the rIL-2 therapy, with increase in the natural killer (NK) activity, lectin-dependent cellular cytotoxicity, induction of cytotoxicity-linked cytoplasmic serine esterase and lymphocyte activation. However, the clinical response to rIL-2 in these patients was disappointing, especially in patients treated in frank relapse. Although 1 patient treated in early second relapse achieved a third complete remission, the duration of the remission was brief and lasted only 6 months. Adverse reactions among these patients were common. Whether or not lymphokine-activated killer cells are needed to improve the response rate over rIL-2 alone in these patients deserves further investigation.","['Lim, S H', 'Newland, A C', 'Kelsey, S', 'Bell, A', 'Offerman, E', 'Rist, C', 'Gozzard, D', 'Bareford, D', 'Smith, M P', 'Goldstone, A H']","['Lim SH', 'Newland AC', 'Kelsey S', 'Bell A', 'Offerman E', 'Rist C', 'Gozzard D', 'Bareford D', 'Smith MP', 'Goldstone AH']","['Department of Haematology, University College Hospital, London, UK.']",['eng'],"['Clinical Trial', 'Journal Article']",Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Antineoplastic Agents)', '0 (Interleukin-2)', '0 (Recombinant Proteins)']",IM,,"['Adult', 'Antineoplastic Agents/*administration & dosage/adverse effects/therapeutic use', 'Drug Evaluation', 'Fever/etiology', 'Hematologic Diseases/etiology', 'Humans', 'Hypokalemia/etiology', 'Hypotension/etiology', 'Infusions, Intravenous', 'Interleukin-2/*administration & dosage/adverse effects/therapeutic use', 'Leukemia, Myeloid, Acute/mortality/pathology/*therapy', 'Middle Aged', 'Recombinant Proteins/administration & dosage', 'Remission Induction']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1007/BF01741555 [doi]'],ppublish,Cancer Immunol Immunother. 1992;34(5):337-42. doi: 10.1007/BF01741555.,,,,,,,,,,,,,,,,
1540962,NLM,MEDLINE,19920409,20151119,0008-5472 (Print) 0008-5472 (Linking),52,6,1992 Mar 15,Cytostatic and cytotoxic effects of fostriecin on human promyelocytic HL-60 and lymphocytic MOLT-4 leukemic cells.,1530-5,"Exposure of exponentially growing human promyelocytic of lymphocytic leukemic cells to the putative DNA topoisomerase II inhibitor fostriecin (FST), at a concentration of 1 microM, results in the suppression of their rate of progression through the S and G2 phases of the cell cycle. At concentrations between 5 microM and 0.5 mM, FST triggers endonucleolytic DNA degradation in human promyelocytic leukemia cells, resulting in apoptotic cell death; this effect is not selective for any particular phase of the cell cycle. Little or no apoptotic cell death is observed in lymphocytic leukemic cells at any FST concentration. Because FST, unlike other inhibitors of topoisomerase II, such as teniposide (TN) or amsacrine (m-AMSA), does not stabilize cleavable DNA-topoisomerase complexes, the observed differences between the effects of FST versus TN or m-AMSA on the cell cycle may provide clues regarding the role of such complexes in the kinetic effects of these inhibitors. The present results, therefore, are compared with our earlier data on the effects of TN and m-AMSA on the same cells. The only observed difference is the loss of cell cycle phase-specific triggering of DNA degradation by FST in human promyelocytic leukemia cells, compared to the S phase-specific effects of TN and m-AMSA. Therefore, stabilization of the DNA-topoisomerase cleavable complexes may be essential in the selectivity of cell kill during S phase. However, it appears that the presence of stabilized complexes is not essential to the suppression of cell progression through S or G2 or the induction of apoptotis or necrosis, in general, by topoisomerase II inhibitors.","['Hotz, M A', 'Del Bino, G', 'Lassota, P', 'Traganos, F', 'Darzynkiewicz, Z']","['Hotz MA', 'Del Bino G', 'Lassota P', 'Traganos F', 'Darzynkiewicz Z']","['Cancer Research Institute, New York Medical College, Valhalla 10595.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Alkenes)', '0 (Antibiotics, Antineoplastic)', '0 (DNA, Neoplasm)', '0 (Polyenes)', '0 (Pyrones)', '00DPD30SOY (Amsacrine)', '957E6438QA (Teniposide)', 'ZO1648L551 (fostriecin)']",IM,,"['Alkenes/pharmacology', 'Amsacrine/pharmacology', 'Antibiotics, Antineoplastic/*pharmacology', 'Cell Cycle/drug effects', 'DNA, Neoplasm/*drug effects', 'Humans', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Leukemia, Promyelocytic, Acute/*drug therapy/pathology', 'Polyenes', 'Pyrones', 'Teniposide/pharmacology', 'Tumor Cells, Cultured']",1992/03/15 00:00,1992/03/15 00:01,['1992/03/15 00:00'],"['1992/03/15 00:00 [pubmed]', '1992/03/15 00:01 [medline]', '1992/03/15 00:00 [entrez]']",,ppublish,Cancer Res. 1992 Mar 15;52(6):1530-5.,"['CA28704/CA/NCI NIH HHS/United States', 'R37 CA23296/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,
1540960,NLM,MEDLINE,19920409,20121115,0008-5472 (Print) 0008-5472 (Linking),52,6,1992 Mar 15,"DNA damage and cytotoxicity in L1210 cells by ellipticine and a structural analogue, N-2-(diethylaminoethyl)-9-hydroxyellipticinium chloride.",1515-9,"N-2-(Diethylaminoethyl)-9-hydroxyellipticinium chloride (DHE) is a structural analogue of ellipticine that is currently a leading compound for clinical trials. We have investigated the mechanism of DNA damage by this compound in murine L1210 leukemia cells using the method of alkaline elution. Although DHE was about 100-fold more cytotoxic than ellipticine, this increased cytotoxicity was not accompanied by greater amounts of DNA strand breakage or protein-DNA cross-linking. The single strand breaks caused by both compounds were protein associated and could be accounted for by the presence of double strand breaks. DNA damage by the compounds therefore was consistent with topoisomerase II inhibition. Unlike DHE, 80% of the DNA damage elicited by ellipticine was repaired within 1 h after removal of drug. For DHE, 20-h incubations in drug-free media were required to obtain 70% repair of single strand DNA breaks. These data indicated that although both ellipticine and DHE may inhibit topoisomerase II, the type of DNA damage which resulted in topoisomerase II inhibition by DHE was much more persistent than the DNA damage elicited by ellipticine.","['Djuric, Z', 'Everett, C K', 'Valeriote, F A']","['Djuric Z', 'Everett CK', 'Valeriote FA']","['Department of Internal Medicine, Wayne State University, Detroit, Michigan 48201.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '0 (DNA, Single-Stranded)', '0 (Ellipticines)', '117VLW7484 (ellipticine)', '81531-57-9 (detalliptinium)']",IM,,"['Animals', '*DNA Damage', '*DNA Repair', 'DNA, Neoplasm/*drug effects', 'DNA, Single-Stranded/*drug effects', 'Drug Screening Assays, Antitumor', 'Ellipticines/*pharmacology', 'Leukemia L1210/drug therapy/*genetics']",1992/03/15 00:00,1992/03/15 00:01,['1992/03/15 00:00'],"['1992/03/15 00:00 [pubmed]', '1992/03/15 00:01 [medline]', '1992/03/15 00:00 [entrez]']",,ppublish,Cancer Res. 1992 Mar 15;52(6):1515-9.,"['1PO1 CA46560/CA/NCI NIH HHS/United States', 'CA53001/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,
1540956,NLM,MEDLINE,19920409,20071115,0008-5472 (Print) 0008-5472 (Linking),52,6,1992 Mar 15,Chromosome abnormalities in adult T-cell leukemia/lymphoma: a karyotype review committee report.,1481-93,"Karyotypes of 107 cases with adult T-cell leukemia/lymphoma (58 male, 49 female; 81 acute or lymphoma type, 26 chronic or smoldering type) were reviewed by a panel of cytogeneticists and were correlated with the subtypes of the disease. Clonal chromosome abnormalities were found in 103 (96%) cases, of which four had hypotetraploidy. Of 184 numerical abnormalities in the remaining 99 cases with near- or pseudodiploidy, trisomies for chromosomes 3 (21% of cases), 7 (10%), and 21 (9%), monosomy for X chromosome (38%) in the female, and loss of a Y chromosome (17%) in the male were more frequent than expected (P less than 0.01). Of 373 structural abnormalities in all the 103 aneuploid cases, translocations involving 14q32 (28%) or 14q11 (14%) and deletion of 6q (23%) were most frequent, followed by deletion of 10p (9%), 3q (8%), 5q, 9q, and 13q (7% each), and 1p and 7p (6% each). The proportion of cases with aneuploid clones (with greater than or less than 46 chromosomes), the average numbers per case of both numerical and structural abnormalities, and marker chromosomes were larger in the aggressive acute or lymphoma type than in the nonaggressive chronic or smoldering type (P less than 0.01). The combination of rearrangement in 14q32 and monosomy X (seven cases) or deletion of 10p (six cases), and that of trisomy 3 and deletion in 6q21 (six cases), occurred only in the acute or lymphoma type and may be associated with the aggressiveness in adult T-cell leukemia/lymphoma.","['Kamada, N', 'Sakurai, M', 'Miyamoto, K', 'Sanada, I', 'Sadamori, N', 'Fukuhara, S', 'Abe, S', 'Shiraishi, Y', 'Abe, T', 'Kaneko, Y']","['Kamada N', 'Sakurai M', 'Miyamoto K', 'Sanada I', 'Sadamori N', 'Fukuhara S', 'Abe S', 'Shiraishi Y', 'Abe T', 'Kaneko Y', 'et al.']","['Department of Hematology, Hiroshima University, Japan.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Chromosome Aberrations/epidemiology/*genetics', 'Chromosome Banding', 'Chromosome Disorders', 'Female', 'Humans', 'Japan/epidemiology', 'Karyotyping', 'Leukemia-Lymphoma, Adult T-Cell/epidemiology/*genetics', 'Male', 'Middle Aged']",1992/03/15 00:00,1992/03/15 00:01,['1992/03/15 00:00'],"['1992/03/15 00:00 [pubmed]', '1992/03/15 00:01 [medline]', '1992/03/15 00:00 [entrez]']",,ppublish,Cancer Res. 1992 Mar 15;52(6):1481-93.,,,,,,,,,,,,,,,,
