PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,RN,SB,CON,MH,AID,CI,AD,GR,TT,DEP,RF,CIN,PS,FPS,MID,CN,SI,EIN,LID,OID,GN,OTO,OT
17395368,NLM,MEDLINE,20071009,20191210,0304-3835 (Print) 0304-3835 (Linking),253,2,2007 Aug 18,"FB1, an E2A fusion partner in childhood leukemia, interacts with U19/EAF2 and inhibits its transcriptional activity.",265-72,"BACKGROUND: U19/EAF2 is a potential tumor suppressor exhibiting frequent down-regulation and allelic loss in advanced human prostate cancer specimens. U19/EAF2 has also been identified as ELL-associated factor 2 (EAF2) based on its binding to ELL, a fusion partner of MLL in acute myeloid leukemia. U19/EAF2 is a putative transcription factor with a transactivation domain and capability of sequence-specific DNA binding. METHODS: Yeast-two-hybrid-screening was used to identify U19/EAF2-binding partners. Co-immunoprecipitation and mammalian 1-hybrid assay were used to characterize a U19/EAF2-binding partner. RESULTS: FB1, an E2A fusion partner in childhood leukemia, was identified as a binding-partner of U19/EAF2. FB1 also binds to EAF1, the only homologue of U19/EAF2. FB1 also interacts and co-localizes with ELL in the nucleus. Interestingly, FB1 inhibited the transcriptional activity of U19/EAF2 but not EAF1. CONCLUSIONS: FB1 is an important binding partner and a functional regulator of U19/EAF2, EAF1, and/or ELL.","['Jiang, Feng', 'Ai, Junkui', 'Xiao, Wuhan', 'Wang, Zhou']","['Jiang F', 'Ai J', 'Xiao W', 'Wang Z']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",Ireland,Cancer Lett,Cancer letters,7600053,PMC1989770,2007/03/31 09:00,2007/10/10 09:00,['2007/03/31 09:00'],"['2006/12/19 00:00 [received]', '2007/02/02 00:00 [revised]', '2007/02/05 00:00 [accepted]', '2007/03/31 09:00 [pubmed]', '2007/10/10 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Cancer Lett. 2007 Aug 18;253(2):265-72. doi: 10.1016/j.canlet.2007.02.003. Epub 2007 Mar 28.,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (EAF1 protein, human)', '0 (EAF2 protein, human)', '0 (ELL protein, human)', '0 (TFPT protein, human)', '0 (Transcription Factors)', '0 (Transcriptional Elongation Factors)']",IM,,"['Animals', 'Basic Helix-Loop-Helix Transcription Factors/analysis/*metabolism', 'COS Cells', 'Chlorocebus aethiops', 'Humans', 'Immunoprecipitation', 'Transcription Factors/analysis/*antagonists & inhibitors/*metabolism', 'Transcription, Genetic', 'Transcriptional Elongation Factors/analysis/metabolism', 'Two-Hybrid System Techniques']","['S0304-3835(07)00051-1 [pii]', '10.1016/j.canlet.2007.02.003 [doi]']",,"['Department of Urology, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.']","['P50 CA090386-020002/CA/NCI NIH HHS/United States', 'R01 DK051193/DK/NIDDK NIH HHS/United States', 'R37 DK051193/DK/NIDDK NIH HHS/United States', 'P50 CA090386/CA/NCI NIH HHS/United States', 'P50 CA90386/CA/NCI NIH HHS/United States', 'R37 DK051193-12/DK/NIDDK NIH HHS/United States', 'R01 DK51193/DK/NIDDK NIH HHS/United States']",,20070328,,,,,['NIHMS27735'],,,,,,,,
17395259,NLM,MEDLINE,20080303,20211203,0145-2126 (Print) 0145-2126 (Linking),32,1,2008 Jan,Methylenetetrahydrofolate reductase (MTHFR) C677T and thymidylate synthase promoter (TSER) polymorphisms in Indonesian children with and without leukemia.,19-24,"Genetic variations in the polymorphic tandem repeat sequence of the enhancer region of the thymidylate synthase promoter (TSER), as well as in methylenetetrahydrofolate reductase (MTHFR) C677T polymorphism, influence methotrexate sensitivity. We studied these polymorphisms in children with acute lymphoblastic leukaemia (ALL) and in subjects without malignancy in Indonesia and Holland. The frequencies of TT and CT genotypes were two-fold higher in Dutch children. The TSER 3R/3R repeat was three-fold more frequent in the Indonesian children, while the 2R/2R repeat was only 1% compared to 21% in the Dutch children. No differences of these polymorphisms were found between ALL cells and normal blood cells, indicating an ethnic rather than leukemic origin. These results may have implications for treatment of Indonesian children with ALL.","['Giovannetti, Elisa', 'Ugrasena, Dewa G', 'Supriyadi, Eddy', 'Vroling, Laura', 'Azzarello, Antonino', 'de Lange, Desiree', 'Peters, Godefridus J', 'Veerman, Anjo J P', 'Cloos, Jacqueline']","['Giovannetti E', 'Ugrasena DG', 'Supriyadi E', 'Vroling L', 'Azzarello A', 'de Lange D', 'Peters GJ', 'Veerman AJ', 'Cloos J']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,,2007/03/31 09:00,2008/03/04 09:00,['2007/03/31 09:00'],"['2007/01/03 00:00 [received]', '2007/02/16 00:00 [revised]', '2007/02/16 00:00 [accepted]', '2007/03/31 09:00 [pubmed]', '2008/03/04 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Leuk Res. 2008 Jan;32(1):19-24. doi: 10.1016/j.leukres.2007.02.011. Epub 2007 Mar 28.,"['EC 1.5.1.20 (Methylenetetrahydrofolate Reductase (NADPH2))', 'EC 2.1.1.45 (Thymidylate Synthase)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,,"['Adult', 'Child', 'Child, Preschool', 'Drug Resistance, Neoplasm', 'Ethnicity', 'Female', '*Genetic Predisposition to Disease', 'Humans', 'Indonesia', 'Male', 'Methotrexate/therapeutic use', 'Methylenetetrahydrofolate Reductase (NADPH2)/*genetics', 'Netherlands', '*Polymorphism, Genetic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/ethnology/*genetics', 'Promoter Regions, Genetic', 'Tandem Repeat Sequences', 'Thymidylate Synthase/*genetics']","['S0145-2126(07)00081-1 [pii]', '10.1016/j.leukres.2007.02.011 [doi]']",,"['Department of Medical Oncology, VU Institute for Cancer and Immunology, VU University Medical Center, De Boelelaan 1117, 1081 HV Amsterdam, The Netherlands.']",,,20070328,,,,,,,,,,,,,
17395110,NLM,MEDLINE,20070430,20151119,1470-2045 (Print) 1470-2045 (Linking),8,4,2007 Apr,Addition of fresh frozen plasma as a source of complement to rituximab in advanced chronic lymphocytic leukaemia.,361-2,,"['Klepfish, Abraham', 'Schattner, Amichai', 'Ghoti, Hussam', 'Rachmilewitz, Eliezer A']","['Klepfish A', 'Schattner A', 'Ghoti H', 'Rachmilewitz EA']",['eng'],"['Case Reports', 'Journal Article']",England,Lancet Oncol,The Lancet. Oncology,100957246,,2007/03/31 09:00,2007/05/01 09:00,['2007/03/31 09:00'],"['2007/03/31 09:00 [pubmed]', '2007/05/01 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Lancet Oncol. 2007 Apr;8(4):361-2. doi: 10.1016/S1470-2045(07)70106-7.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antigens, CD20)', '0 (Antineoplastic Agents)', '4F4X42SYQ6 (Rituximab)']",IM,,"['Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antigens, CD20/*immunology', 'Antineoplastic Agents/therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/pathology/*therapy', 'Middle Aged', '*Plasma', 'Rituximab', 'Treatment Outcome']","['S1470-2045(07)70106-7 [pii]', '10.1016/S1470-2045(07)70106-7 [doi]']",,"['Blood Bank and Haematology Department, E Wolfson Medical Centre, Holon, Israel. klepfish@zahav.net.il']",,,,,['Lancet Oncol. 2007 May;8(5):370-1. PMID: 17466893'],,,,,,,,,,,
17394769,NLM,MEDLINE,20070427,20191110,1225-8687 (Print) 1225-8687 (Linking),40,2,2007 Mar 31,Requirement for ERK activity in sodium selenite-induced apoptosis of acute promyelocytic leukemia-derived NB4 cells.,196-204,"Our previous study has shown that sodium selenite can cause apoptosis in acute promyelocytic leukemia-derived NB4 cells in a caspase-dependent manner, but the detailed mechanism is unknown. Here we demonstrate a requirement for extracellular signal-regulated protein kinase (ERK) in mediating sodium selenite -induced apoptosis in NB4 cell. Though no apparent elevation of ERK activity was observed during the apoptosis in NB4 cells caused by 20 microM sodium selenite treatment, PD98059 and U0126, specific chemical inhibitors of the MEK/ERK signaling pathway, were shown to strongly prevent the apoptosis process, while ERK activator TPA enhanced the process. It is also known that p38 MAPK inhibitor SB203580 and JNK inhibitor SP600125 had slight effects on apoptosis. Further study indicated that ERK exerted its proapoptotic effect only at the early stage of apoptosis and played an antiapoptotic role at the later stages. Taken together, our findings suggest that ERK plays an active role in mediating sodium seleniteinduced apoptosis in NB4 cells.","['Han, Bingshe', 'Wei, Wei', 'Hua, Fangyuan', 'Cao, Tingming', 'Dong, Hua', 'Yang, Tao', 'Yang, Yang', 'Pan, Huazhen', 'Xu, Caimin']","['Han B', 'Wei W', 'Hua F', 'Cao T', 'Dong H', 'Yang T', 'Yang Y', 'Pan H', 'Xu C']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Korea (South),J Biochem Mol Biol,Journal of biochemistry and molecular biology,9702084,,2007/03/31 09:00,2007/04/28 09:00,['2007/03/31 09:00'],"['2007/03/31 09:00 [pubmed]', '2007/04/28 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,J Biochem Mol Biol. 2007 Mar 31;40(2):196-204. doi: 10.5483/bmbrep.2007.40.2.196.,"['0 (Protein Kinase Inhibitors)', 'EC 2.7.11.24 (Extracellular Signal-Regulated MAP Kinases)', 'EC 2.7.11.24 (JNK Mitogen-Activated Protein Kinases)', 'EC 2.7.11.24 (p38 Mitogen-Activated Protein Kinases)', 'EC 2.7.12.2 (Mitogen-Activated Protein Kinase Kinases)', 'HIW548RQ3W (Sodium Selenite)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,,"['Apoptosis/*drug effects', 'Dose-Response Relationship, Drug', 'Enzyme Activation/drug effects', 'Extracellular Signal-Regulated MAP Kinases/*metabolism', 'Humans', 'JNK Mitogen-Activated Protein Kinases/metabolism', 'Leukemia, Promyelocytic, Acute/*enzymology/*pathology', 'Mitogen-Activated Protein Kinase Kinases/antagonists & inhibitors', 'Protein Kinase Inhibitors/pharmacology', 'Sodium Selenite/*pharmacology', 'Tetradecanoylphorbol Acetate/pharmacology', 'Time Factors', 'p38 Mitogen-Activated Protein Kinases/metabolism']",['10.5483/bmbrep.2007.40.2.196 [doi]'],,"['National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, Peking Union Medical College and Chinese Academy of Medical Sciences, Beijing, China.']",,,,,,,,,,,,,,,,
17394489,NLM,MEDLINE,20070517,20151119,0309-0167 (Print) 0309-0167 (Linking),50,5,2007 Apr,Characteristic appearances of the bone marrow in T-cell large granular lymphocyte leukaemia.,547-54,"AIMS: To augment the limited literature on bone marrow (BM) appearances in T-cell large granular lymphocyte (LGL) leukaemia and to identify a histological signature to aid in diagnosis of this condition. METHODS AND RESULTS: A descriptive analysis of the histology of the BM in T-cell LGL leukaemia was performed (n = 38). Antibodies against CD3, CD4, CD5, CD8, CD16, CD56, CD57 and CD20 or CD79a were employed. Antibodies against CD68 (macrophages) and CD34 (sinusoids) were also included. BM was normocellular or hypercellular in the majority of cases, with interstitial lymphoid infiltration in 97%. Lymphoid nodules were present in 55% and intrasinusoidal permeation in 58%. Apoptotic figures and haemosiderin deposition were common. All cases showed trilinear haematopoiesis with normal or increased megakaryopoiesis and erythropoiesis, but normal/reduced myelopoiesis. Reticulin was increased (Grade II-III). Immunohistochemistry revealed interstitial infiltration in all cases and helped to identify lymphoid nodules in two-thirds of cases. Preferential localization of CD8+ T lymphocytes to the interstitium and CD4+ T lymphocytes to the periphery of CD20+ B-cell nodules was seen in almost 90% of cases. CONCLUSIONS: Nodules with non-clonal B-cell centres surrounded by CD4+ cells, with interstitial CD8+ cells, are a characteristic finding in T-cell LGL leukaemia and may represent a histological signature for this condition.","['Osuji, N', 'Beiske, K', 'Randen, U', 'Matutes, E', 'Tjonnfjord, G', 'Catovsky, D', 'Wotherspoon, A']","['Osuji N', 'Beiske K', 'Randen U', 'Matutes E', 'Tjonnfjord G', 'Catovsky D', 'Wotherspoon A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Histopathology,Histopathology,7704136,,2007/03/31 09:00,2007/05/18 09:00,['2007/03/31 09:00'],"['2007/03/31 09:00 [pubmed]', '2007/05/18 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Histopathology. 2007 Apr;50(5):547-54. doi: 10.1111/j.1365-2559.2007.02656.x.,"['0 (Antigens, CD)', '0 (Biomarkers, Tumor)', '9011-92-1 (Hemosiderin)']",IM,,"['Adult', 'Aged', 'Antigens, CD/metabolism', 'Apoptosis', 'Biomarkers, Tumor/metabolism', 'Bone Marrow/metabolism/*pathology', 'Bone Marrow Cells/metabolism/*pathology', 'Female', 'Hematopoiesis/physiology', 'Hemosiderin/metabolism', 'Humans', 'Immunohistochemistry', 'Leukemia, T-Cell/metabolism/*pathology', 'Lymphoid Tissue/metabolism/pathology', 'Male', 'Middle Aged', 'T-Lymphocytes/metabolism/*pathology']","['HIS2656 [pii]', '10.1111/j.1365-2559.2007.02656.x [doi]']",,"['Section of Haemato-oncology, Royal Marsden NHS Foundation Trust, Institute of Cancer Research, Sutton, Surrey, UK. nnenna.osuji@icr.ac.uk']",,,,,,,,,,,,,,,,
17394134,NLM,MEDLINE,20070730,20070501,1045-2257 (Print) 1045-2257 (Linking),46,7,2007 Jul,Fusion gene-mediated truncation of RUNX1 as a potential mechanism underlying disease progression in the 8p11 myeloproliferative syndrome.,635-43,"The 8p11 myeloproliferative syndrome (EMS) is a chronic myeloproliferative disorder molecularly characterized by fusion of various 5' partner genes to the 3' part of the fibroblast growth factor receptor 1 (FGFR1) gene at 8p, resulting in constitutive activation of the tyrosine kinase activity contained within FGFR1. EMS is associated with a high risk of transformation to acute myeloid leukemia (AML), but the mechanisms underlying the disease progression are unknown. In the present study, we have investigated a case of EMS harboring a t(8;22)(p11;q11)/BCR-FGFR1 rearrangement as well as a t(9;21)(q34;q22) at the time of AML transformation. FISH and RT-PCR analyses revealed that the t(9;21) leads to a fusion gene consisting of the 5' part of RUNX1 (exons 1-4) fused to repetitive sequences of a gene with unknown function on chromosome 9, adding 70 amino acids to RUNX1 exon 4. The t(9;21) hence results in a truncation of RUNX1. No point mutations were found in the other RUNX1 allele. The most likely functional outcome of the rearrangement was haploinsufficiency of RUNX1, which thus may be one mechanism by which EMS transforms to AML.","['Agerstam, Helena', 'Lilljebjorn, Henrik', 'Lassen, Carin', 'Swedin, Agneta', 'Richter, Johan', 'Vandenberghe, Peter', 'Johansson, Bertil', 'Fioretos, Thoas']","['Agerstam H', 'Lilljebjorn H', 'Lassen C', 'Swedin A', 'Richter J', 'Vandenberghe P', 'Johansson B', 'Fioretos T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,,2007/03/31 09:00,2007/07/31 09:00,['2007/03/31 09:00'],"['2007/03/31 09:00 [pubmed]', '2007/07/31 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Genes Chromosomes Cancer. 2007 Jul;46(7):635-43. doi: 10.1002/gcc.20442.,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA, Complementary)', '0 (RUNX1 protein, human)']",IM,,"['Aged', 'Amino Acid Sequence', 'Base Sequence', 'Blotting, Northern', 'Blotting, Southern', '*Chromosomes, Human, Pair 8', 'Core Binding Factor Alpha 2 Subunit/*genetics', 'DNA, Complementary', 'Disease Progression', 'Female', '*Gene Fusion', 'Humans', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Myeloproliferative Disorders/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",['10.1002/gcc.20442 [doi]'],,"['Department of Clinical Genetics, Lund University Hospital, Lund, Sweden. helena.agerstam@med.lu.se']",,,,,,,,,,,,,,,,
17394101,NLM,MEDLINE,20070809,20131121,0032-0943 (Print) 0032-0943 (Linking),73,5,2007 May,Antioxidant activity of Vaccinium stamineum: exhibition of anticancer capability in human lung and leukemia cells.,451-60,"Fruit of deerberry [Vaccinium stamineum L.] were evaluated for their antioxidant capacity and anticancer properties in JB6 P (+) mouse epidermal cells, human lung and leukemia cells. Deerberries contain potent free radical scavenging activities. Pretreatment of JB6 P (+) mouse epidermal cells with deerberry fruit extracts produced an inhibition on the activation of activator protein-1 (AP-1) and nuclear factor-kappaB (NF-kappaB) induced by either 12- O-tetradecanoylphorbol 13-acetate (TPA) or ultraviolet-B (UVB). Deerberry fruit extracts also blocked TPA- or UVB-induced phosphorylation of ERKs and MEK 1/2, two upstream regulators of AP-1 and inhibited proliferation of human leukemia HL-60 cancer cells and human lung epithelial cancer A549 cells and induced apoptosis of HL-60 cells. These results suggest that the inhibition of TPA- or UVB-induced AP-1 and NF-kappaB activity, inhibition of HL-60 cells and cancer A549 cells proliferation and induction of apoptotic in human leukemia HL-60 cancer cells may be mediated through the ERKs and MEK 1/2 signal pathway.","['Wang, Shiow Y', 'Feng, Rentian', 'Bowman, Linda', 'Lu, Yongju', 'Ballington, James R', 'Ding, Min']","['Wang SY', 'Feng R', 'Bowman L', 'Lu Y', 'Ballington JR', 'Ding M']",['eng'],['Journal Article'],Germany,Planta Med,Planta medica,0066751,,2007/03/31 09:00,2007/08/10 09:00,['2007/03/31 09:00'],"['2007/03/31 09:00 [pubmed]', '2007/08/10 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Planta Med. 2007 May;73(5):451-60. doi: 10.1055/s-2007-967164. Epub 2007 Mar 29.,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Antioxidants)', '0 (Flavonoids)', '0 (NF-kappa B)', '0 (Plant Extracts)', '0 (Reactive Oxygen Species)', '0 (Transcription Factor AP-1)', '0 (Vaccinium stamineum fruit extract)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,,"['Animals', 'Antineoplastic Agents, Phytogenic/chemistry/isolation & purification/*pharmacology', 'Antioxidants/chemistry/isolation & purification/*pharmacology', 'Apoptosis/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Chromatography, High Pressure Liquid', 'Enzyme Activation/drug effects/radiation effects', 'Flavonoids/chemistry/isolation & purification', 'Fruit/chemistry', 'Humans', 'Leukemia/enzymology/metabolism', 'Lung Neoplasms/enzymology/metabolism', 'Mice', 'Mitogen-Activated Protein Kinases/antagonists & inhibitors/metabolism', 'NF-kappa B/antagonists & inhibitors', 'Phosphorylation/drug effects/radiation effects', 'Plant Extracts/chemistry/isolation & purification/*pharmacology', 'Reactive Oxygen Species/metabolism', 'Tetradecanoylphorbol Acetate/pharmacology', 'Transcription Factor AP-1/antagonists & inhibitors', 'Ultraviolet Rays', 'Vaccinium/*chemistry']",['10.1055/s-2007-967164 [doi]'],,"['Fruit Laboratory, Beltsville Agricultural Research Center, Agricultural Research Service, U. S. Department of Agriculture, Beltsville, MD 20705-2350, USA. wangs@ba.ars.usda.gov']",,,20070329,,,,,,,,,,,,,
17394003,NLM,MEDLINE,20080118,20181113,0179-0358 (Print) 0179-0358 (Linking),23,9,2007 Sep,"Calcified catheter ""cast"" masquerading as a retained catheter fragment after removal of an implanted venous access device.",927-30,"Calcified catheter ""cast"" found on radiologic studies after central venous catheter removal is a rare complication that has been reported twice. Both cases were associated with thrombus. In this case report, we present a 15-year-old boy with acute lymphoblastic leukemia who demonstrated on CT scan a radiopacity in his left brachiocephalic vein after removal of an implanted venous access device. This was initially thought to be a retained catheter fragment. Diagnostic studies, including venogram, excluded the presence of a retained catheter fragment. Additional procedures to retrieve a nonexistent catheter fragment were thus avoided. Therefore, a catheter ""cast"" should be considered as part of the differential diagnosis when calcification is found on an imaging study after removal of an implantable venous access device to prevent an unwarranted surgical exploration.","['Sabbaghian, M Shirin', 'Rivera, Rafael', 'Ginsburg, Howard B', 'Nadler, Evan P']","['Sabbaghian MS', 'Rivera R', 'Ginsburg HB', 'Nadler EP']",['eng'],"['Case Reports', 'Journal Article']",Germany,Pediatr Surg Int,Pediatric surgery international,8609169,,2007/03/31 09:00,2008/01/19 09:00,['2007/03/31 09:00'],"['2007/02/23 00:00 [accepted]', '2007/03/31 09:00 [pubmed]', '2008/01/19 09:00 [medline]', '2007/03/31 09:00 [entrez]']",ppublish,Pediatr Surg Int. 2007 Sep;23(9):927-30. doi: 10.1007/s00383-007-1911-0.,,IM,,"['Adolescent', 'Brachiocephalic Veins/diagnostic imaging', 'Calcinosis/*diagnosis/etiology', 'Catheterization, Central Venous/*adverse effects', 'Catheters, Indwelling/adverse effects', 'Device Removal/*adverse effects', 'Diagnosis, Differential', 'Foreign-Body Migration/*diagnosis', 'Humans', 'Male', 'Phlebography', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Tomography, X-Ray Computed']",['10.1007/s00383-007-1911-0 [doi]'],,"['Department of Surgery, New York University School of Medicine, 530 First Avenue, Suite 10 W, New York, NY 10016, USA.']",,,,,,,,,,,,,,,,
17393125,NLM,MEDLINE,20081014,20081121,1672-0733 (Print) 1672-0733 (Linking),27,1,2007 Feb,Fribrinolysis kinetics and its application.,111-3,"A new, convenient, and rapid method for kinetic measurement of human fibrinolysis was established. The alteration of absorbance (A) in the process of blood coagulation and lyses was automatically scanned and recorded using a UV2000 spectrophotometer connected to a computer. The parameters of human fibrinolysis kinetics were established. Urokinase at 20 U/mL was the optimal concentration used. There was significant difference in fibrinolysis kinetics and plasma plasminogen concentration between 22 normal subjects and 27 patients with acute myeloblastic leukemia (P<0.05 and <0.01 respectively). The coefficience of variation was (5.24+/-1.51)%. This method could also be used to measure the plasma fibrinogen concentration at the same time. It was concluded that this method was stable and was capable of providing dynamic, direct experimental data and multiparemeters for clinicians. It was also valuable in evaluating the anti-and pro-fibrinolytic capcity of patients' plasmas, allowing for monitoring of therapy, choice of drugs and adjustment of drug concentrations.","['Wei, Wenning', 'Yang, Rui', 'Guo, Tao', 'Yang, Yan', 'Hu, Yu']","['Wei W', 'Yang R', 'Guo T', 'Yang Y', 'Hu Y']",['eng'],['Journal Article'],China,J Huazhong Univ Sci Technolog Med Sci,Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban,101169627,,2007/03/30 09:00,2008/10/15 09:00,['2007/03/30 09:00'],"['2005/08/29 00:00 [received]', '2007/03/30 09:00 [pubmed]', '2008/10/15 09:00 [medline]', '2007/03/30 09:00 [entrez]']",ppublish,J Huazhong Univ Sci Technolog Med Sci. 2007 Feb;27(1):111-3. doi: 10.1007/s11596-007-0131-0.,"['0 (Crotalid Venoms)', '9001-32-5 (Fibrinogen)', 'EC 3.4.21.5 (Thrombin)', 'EC 3.4.21.5 (acutobin, Deinagkistrodon acutus)', 'EC 3.4.21.73 (Urokinase-Type Plasminogen Activator)']",IM,,"['Adolescent', 'Adult', 'Blood Coagulation/drug effects', 'Case-Control Studies', 'Cell Line, Tumor', '*Clinical Protocols', 'Crotalid Venoms/analysis/metabolism/pharmacology', 'Drug Monitoring', 'Female', 'Fibrinogen/analysis/metabolism', 'Fibrinolysis/drug effects/*physiology', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute/*blood', 'Male', 'Middle Aged', 'Ovarian Neoplasms/blood/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood', 'Reproducibility of Results', 'Spectrophotometry, Ultraviolet', 'Thrombin/analysis/metabolism/pharmacology', 'Time Factors', 'Transfection', 'Urokinase-Type Plasminogen Activator/analysis/metabolism/pharmacology']",['10.1007/s11596-007-0131-0 [doi]'],,"['Institution of Hematology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China. wenningwei@yahoo.com.cn']",,,,,,,,,,,,,,,,
17393091,NLM,MEDLINE,20070511,20161020,1006-9305 (Print) 1006-9305 (Linking),50,1,2007 Feb,Effects of TFAR19 gene on the in vivo biorheological properties and pathogenicity of mouse erythroleukemia cell line MEL.,111-9,"After injecting VP16, MEL cells and MEL-TF19 cells into the body of mice, with those injected with the same dose of saline as the control group, we observed the mice for their blood pictures, histological changes of the liver and spleen, and the hemorheological indexes within 4 weeks. The results indicated that after injecting MEL cells, the mice entered into a pathological status similar to erythroleukemia, which had the following exhibitions: the tissue structures of the liver and spleen were damaged, a mass of proerythroblasts, basophil erythroblasts and polychromatophilic erythroblasts could be observed on the smears of the bone marrow and spleen, and the deformability and orientation ability of erythrocytes were both depressed. The pathogenicity of MEL-TF19 cells carrying TFAR19 gene was obviously lower than that of MEL cells, and the MEL-TF19 cells even lost their faintish pathogenicity under the apoptosis-inducing effect of the chemotherapeutic reagent. The outcome from the animal experiments suggests that the TFAR19 gene suppresses the pathogenicity of MEL cells to the mice, and the effect may be better exerted with the synergy of the chemotherapeutic reagent.","['Gu, Li', 'Tang, ZhiYu', 'He, DongQi', 'Ka, WeiBo', 'Sun, DaGong', 'Wen, ZongYao']","['Gu L', 'Tang Z', 'He D', 'Ka W', 'Sun D', 'Wen Z']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Sci China C Life Sci,"Science in China. Series C, Life sciences",9611809,,2007/03/30 09:00,2007/05/12 09:00,['2007/03/30 09:00'],"['2006/03/26 00:00 [received]', '2006/06/27 00:00 [accepted]', '2007/03/30 09:00 [pubmed]', '2007/05/12 09:00 [medline]', '2007/03/30 09:00 [entrez]']",ppublish,Sci China C Life Sci. 2007 Feb;50(1):111-9. doi: 10.1007/s11427-007-0007-3.,"['0 (Apoptosis Regulatory Proteins)', '0 (Neoplasm Proteins)', '0 (Pdcd5 protein, mouse)']",IM,,"['Animals', 'Apoptosis Regulatory Proteins/genetics/*physiology', 'Cell Line, Tumor', 'Erythrocyte Deformability/genetics', 'Leukemia, Erythroblastic, Acute/blood/*genetics/*pathology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Neoplasm Proteins/genetics/*physiology', 'Rheology']",['10.1007/s11427-007-0007-3 [doi]'],,"['State Key Laboratory of Microbial Technology, Life School of Shandong University, Jinan, 250100, China.']",,,,,,,,,,,,,,,,
