PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,TT,RF,GR,CI,SI,DEP,CN,CON,MID,EIN,RIN
11070932,NLM,MEDLINE,20001226,20131121,0485-1439 (Print) 0485-1439 (Linking),41,9,2000 Sep,[Development of Sweet's syndrome during all-trans retinoic acid therapy for acute promyelocytic leukemia].,718-22,"A 54-year-old woman visited our hospital because of gingival bleeding on May 31, 1998. After hematological and bone marrow examinations, she was diagnosed as having acute promyelocytic leukemia (APL) and given all-trans retinoic acid (ATRA) therapy starting on June 1. Anti-cancer drugs were administered for 5 days from June 12 because of an increase in the number of APL cells. The patient developed fever on June 20, and nodular erythematous eruptions appeared on June 23. Sweet's syndrome was diagnosed from biopsy samples of the eruption. ATRA was therefore discontinued, and prednisolone was started on June 29. The fever and skin eruptions improved rapidly, and complete remission was obtained on July 13. Sweet's syndrome due to ATRA may be a partial form of retinoic acid syndrome, in which the differentiated leukemic neutrophils increase and invade various organs. However, Sweet's syndrome must be considered regardless of the WBC count because in this case the syndrome occurred even when the WBC count was not high.","['Ueno, R', 'Takeuchi, J', 'Shimizu, T', 'Kumagai, T', 'Sawada, U', 'Horie, T']","['Ueno R', 'Takeuchi J', 'Shimizu T', 'Kumagai T', 'Sawada U', 'Horie T']","['First Department of Internal Medicine, Nihon University School of Medicine.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Female', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Middle Aged', 'Sweet Syndrome/*chemically induced/pathology', 'Tretinoin/*adverse effects']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']",,ppublish,Rinsho Ketsueki. 2000 Sep;41(9):718-22.,['5688UTC01R (Tretinoin)'],,,,,,,,,,,,
11070893,NLM,MEDLINE,20010301,20190712,0076-6879 (Print) 0076-6879 (Linking),312,,2000,Analysis of glycolipid-dependent cell adhesion based on carbohydrate-carbohydrate interaction.,447-58,,"['Handa, K', 'Kojima, N', 'Hakomori, S']","['Handa K', 'Kojima N', 'Hakomori S']","['Pacific Northwest Research Institute, Seattle, Washington 98122-4327, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Methods Enzymol,Methods in enzymology,0212271,IM,"['Animals', 'Carbohydrate Sequence', 'Cell Adhesion/*physiology', 'Cells, Cultured', 'Ceramides/chemistry/*physiology', 'Endothelium, Vascular/cytology/*physiology', 'G(M3) Ganglioside/*physiology', 'Glycolipids/*physiology', 'Glycosphingolipids/chemistry/physiology', 'Humans', 'Leukemia, Basophilic, Acute', 'Liposomes', 'Melanoma, Experimental', 'Mice', 'Molecular Sequence Data', 'Rats', 'Teratoma', 'Tumor Cells, Cultured']",,2000/11/09 11:00,2001/03/07 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/03/07 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['S0076-6879(00)12930-1 [pii]', '10.1016/s0076-6879(00)12930-1 [doi]']",ppublish,Methods Enzymol. 2000;312:447-58. doi: 10.1016/s0076-6879(00)12930-1.,"['0 (Ceramides)', '0 (G(M3) Ganglioside)', '0 (Glycolipids)', '0 (Glycosphingolipids)', '0 (Liposomes)']",,,,['CA42505/CA/NCI NIH HHS/United States'],,,,,,,,
11070867,NLM,MEDLINE,20010301,20190712,0076-6879 (Print) 0076-6879 (Linking),312,,2000,Purification and analysis of gangliosides.,135-45,,"['Ladisch, S', 'Li, R']","['Ladisch S', 'Li R']","['Center for Cancer and Transplantation Biology, George Washington University School of Medicine, Washington, DC 20010-2970, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Methods Enzymol,Methods in enzymology,0212271,IM,"['1-Butanol', 'Animals', 'Brain Neoplasms/cerebrospinal fluid', 'Carbon Radioisotopes', 'Chromatography, Gel/methods', 'Ethers', 'Galactose/metabolism', 'Gangliosides/*analysis/*isolation & purification/metabolism', 'Glucosamine/metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*blood', 'Mice', 'Radioisotope Dilution Technique', 'Sodium Chloride', 'Solvents', 'Spectrometry, Mass, Fast Atom Bombardment', 'Tumor Cells, Cultured']",,2000/11/09 11:00,2001/03/07 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/03/07 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['S0076-6879(00)12904-0 [pii]', '10.1016/s0076-6879(00)12904-0 [doi]']",ppublish,Methods Enzymol. 2000;312:135-45. doi: 10.1016/s0076-6879(00)12904-0.,"['0 (Carbon Radioisotopes)', '0 (Ethers)', '0 (Gangliosides)', '0 (Solvents)', '451W47IQ8X (Sodium Chloride)', '8PJ61P6TS3 (1-Butanol)', 'DO7Y998826 (diisopropyl ether)', 'N08U5BOQ1K (Glucosamine)', 'X2RN3Q8DNE (Galactose)']",,,,['CA 42361/CA/NCI NIH HHS/United States'],,,,,,,,
11070849,NLM,MEDLINE,20010215,20190915,0091-679X (Print) 0091-679X (Linking),64,,2001,Detection of minimal residual disease.,385-420,,"['Deptala, A', 'Mayer, S P']","['Deptala A', 'Mayer SP']","['Brander Cancer Research Institute, New York Medical College, Hawthorne, New York 10532, USA.']",['eng'],['Journal Article'],United States,Methods Cell Biol,Methods in cell biology,0373334,IM,"['Biomarkers, Tumor/*analysis', '*Bone Marrow Examination', 'Cytogenetics/methods', 'Flow Cytometry/*methods', 'Humans', 'Immunophenotyping/*methods', 'In Situ Hybridization, Fluorescence/methods', 'Karyotyping', 'Leukemia/diagnosis/genetics/physiopathology', 'Lymph Nodes/metabolism/surgery', 'Lymphoma/diagnosis/genetics/physiopathology', 'Multiple Myeloma/diagnosis/genetics/physiopathology', 'Neoplasm, Residual/*diagnosis', 'Polymerase Chain Reaction/methods', 'Remission Induction']",,2000/11/09 11:00,2001/03/03 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2000/11/09 11:00 [entrez]']",['10.1016/s0091-679x(01)64023-8 [doi]'],ppublish,Methods Cell Biol. 2001;64:385-420. doi: 10.1016/s0091-679x(01)64023-8.,"['0 (Biomarkers, Tumor)']",,,,,,,,,,,,
11070847,NLM,MEDLINE,20010215,20190915,0091-679X (Print) 0091-679X (Linking),64,,2001,Immunophenotyping of acute leukemia: utility of CD45 for blast cell identification.,343-58,,"['Vial, J P', 'Lacombe, F']","['Vial JP', 'Lacombe F']","['Laboratory of Hematology, University Hospital Haut-Leveque, Pessac, France.']",['eng'],['Journal Article'],United States,Methods Cell Biol,Methods in cell biology,0373334,IM,"['Acute Disease', 'Antibodies, Monoclonal/immunology', 'Antigens, Surface/immunology/metabolism', 'Biomarkers, Tumor/metabolism', 'Bone Marrow Cells/*immunology', 'Cell Lineage', 'Flow Cytometry/*methods', 'Hematologic Neoplasms/classification/diagnosis/immunology', 'Humans', 'Immunophenotyping/*methods', 'Leukemia, Myeloid/*classification/*diagnosis/immunology', 'Leukocyte Common Antigens/*analysis', 'Specimen Handling']",,2000/11/09 11:00,2001/03/03 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2000/11/09 11:00 [entrez]']",['10.1016/s0091-679x(01)64021-4 [doi]'],ppublish,Methods Cell Biol. 2001;64:343-58. doi: 10.1016/s0091-679x(01)64021-4.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (Biomarkers, Tumor)', 'EC 3.1.3.48 (Leukocyte Common Antigens)']",,,,,,,,,,,,
11070484,NLM,MEDLINE,20001207,20190906,0098-1532 (Print) 0098-1532 (Linking),35,5,2000 Nov,Febrile neutropenia caused by Brucella melitensis in a child with hypoplastic acute lymphoblastic leukemia.,496-7,,"['Ozcay, F', 'Derbent, M', 'Ergin, F', 'Duru, F', 'Ozbek, N']","['Ozcay F', 'Derbent M', 'Ergin F', 'Duru F', 'Ozbek N']","['Department of Pediatrics, Baskent University Faculty of Medicine, Ankara, Turkey.']",['eng'],"['Case Reports', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['*Brucella melitensis/isolation & purification', 'Brucellosis/*complications/diagnosis/drug therapy', 'Child', 'Female', 'Humans', 'Immunophenotyping', 'Neutropenia/complications/*microbiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/microbiology', 'Turkey']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['10.1002/1096-911X(20001101)35:5<496::AID-MPO10>3.0.CO;2-R [pii]', '10.1002/1096-911x(20001101)35:5<496::aid-mpo10>3.0.co;2-r [doi]']",ppublish,Med Pediatr Oncol. 2000 Nov;35(5):496-7. doi: 10.1002/1096-911x(20001101)35:5<496::aid-mpo10>3.0.co;2-r.,,,,,,,,,,,,,
11070483,NLM,MEDLINE,20001207,20190906,0098-1532 (Print) 0098-1532 (Linking),35,5,2000 Nov,Acute lymphoblastic leukemia in infants: a decade of experience in the Czech Republic.,493-5,,"['Jabali, Y', 'Stary, J', 'Hak, J', 'Blazek, B', 'Hrstkova, H', 'Mihal, V', 'Mydlil, J', 'Timr, P', 'Gajdos, P']","['Jabali Y', 'Stary J', 'Hak J', 'Blazek B', 'Hrstkova H', 'Mihal V', 'Mydlil J', 'Timr P', 'Gajdos P']","['Department of Paediatrics, Regional Hospital, Ceske Budejovice, Czech Republic.']",['eng'],['Journal Article'],United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['Analysis of Variance', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Asparaginase/administration & dosage', 'Chromosomes, Human, Pair 11/genetics', 'Czech Republic/epidemiology', 'DNA-Binding Proteins/genetics', 'Daunorubicin/administration & dosage', 'Diploidy', 'Disease-Free Survival', 'Female', 'Genetic Predisposition to Disease', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Myeloid-Lymphoid Leukemia Protein', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*drug therapy/genetics/mortality', 'Prednisone/administration & dosage', 'Prognosis', '*Proto-Oncogenes', 'Risk Factors', '*Transcription Factors', 'Translocation, Genetic', 'Vincristine/administration & dosage']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['10.1002/1096-911X(20001101)35:5<493::AID-MPO9>3.0.CO;2-P [pii]', '10.1002/1096-911x(20001101)35:5<493::aid-mpo9>3.0.co;2-p [doi]']",ppublish,Med Pediatr Oncol. 2000 Nov;35(5):493-5. doi: 10.1002/1096-911x(20001101)35:5<493::aid-mpo9>3.0.co;2-p.,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', '5J49Q6B70F (Vincristine)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)', 'PVDA protocol']",,,,,,,,,,,,
11070477,NLM,MEDLINE,20001207,20190906,0098-1532 (Print) 0098-1532 (Linking),35,5,2000 Nov,White matter changes on MRI during treatment in children with acute lymphoblastic leukemia: correlation with neuropsychological findings.,456-61,"BACKGROUND: Treatment of childhood acute lymphoblastic leukemia (ALL) may cause structural and functional brain damage. To find out the incidence of white matter changes during therapy, a prospective MRI study was designed, and the findings were correlated with neuropsychological evaluation. PROCEDURE: Thirty-three children with ALL underwent serial cranial MRI before, during, and after therapy. Twenty-eight of these children underwent also neuropsychological assessment at the end of treatment. They all received intravenous and intrathecal methotrexate for central nervous system (CNS) therapy, 15 patients received cranial irradiation in addition. RESULTS: Transient high-intensity white matter changes were observed by MRI in three children 9% (95% CI, 2-24%) who received chemotherapy only. The high-intensity changes were most prominent in the frontal lobes in two of these children. The children with white matter changes were significantly younger than those with normal MRI (2.8 vs. 7.4 years; mean). There was no correlation between neuropsychological tests and white matter changes, except in attention and in tests referring to the frontal areas in general. CONCLUSIONS: White matter changes are occasionally observed during therapy with the current Nordic protocols. Young children may be more susceptible to developing white matter changes after repeated intravenous methotrexate injections. There is no systematic correlation between neuropsychological deficits and MRI findings.","['Paakko, E', 'Harila-Saari, A', 'Vanionpaa, L', 'Himanen, S', 'Pyhtinen, J', 'Lanning, M']","['Paakko E', 'Harila-Saari A', 'Vanionpaa L', 'Himanen S', 'Pyhtinen J', 'Lanning M']","['Department of Diagnostic Radiology, University of Oulu, Oulu, Finland. eija.paakko@oulu.fi']",['eng'],['Journal Article'],United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['Adolescent', 'Antimetabolites, Antineoplastic/*adverse effects', 'Antineoplastic Agents, Hormonal/adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Brain Injuries/*chemically induced', 'Child', 'Child, Preschool', 'Cytarabine/adverse effects', 'Demyelinating Diseases/*chemically induced', 'Female', 'Humans', 'Injections, Spinal', 'Magnetic Resonance Imaging', 'Male', 'Methotrexate/*adverse effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prospective Studies', 'Radiotherapy, Adjuvant', 'Statistics, Nonparametric']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['10.1002/1096-911X(20001101)35:5<456::AID-MPO3>3.0.CO;2-1 [pii]', '10.1002/1096-911x(20001101)35:5<456::aid-mpo3>3.0.co;2-1 [doi]']",ppublish,Med Pediatr Oncol. 2000 Nov;35(5):456-61. doi: 10.1002/1096-911x(20001101)35:5<456::aid-mpo3>3.0.co;2-1.,"['0 (Antimetabolites, Antineoplastic)', '0 (Antineoplastic Agents, Hormonal)', '04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,"['Copyright 2000 Wiley-Liss, Inc.']",,,,,,,
11070476,NLM,MEDLINE,20001207,20190906,0098-1532 (Print) 0098-1532 (Linking),35,5,2000 Nov,Acute neurotoxicity in children with B-lineage acute lymphoblastic leukemia (B-ALL) treated with intermediate risk protocols.,449-55,"BACKGROUND: This study describes the incidence of acute neurotoxicity (NT) in children with B-lineage acute lymphoblastic leukemia (ALL) treated with three intermediate risk protocols that differ in the intensity of central nervous system (CNS) ""prophylaxis. "" PROCEDURE: A total of 122 patients (64 boys; median age 5.3 years) with B-lineage ALL without CNS leukemia diagnosed between February 1987 and December 1997 were enrolled in the intermediate risk (IR) protocols: Associazione Italiana di Ematologia ed Oncologia Pediatrica (AIEOP)-ALL 87 (n = 33), 91 (n = 51), and 95 (n = 38). Presymptomatic CNS therapy consisted of intrathecal methotrexate (six doses) and cranial irradiation (18 Gy) in the IR AIEOP 87 study, and extended triple intrathecal therapy with methotrexate, cytarabine, and prednisone depending on age in the IR AIEOP-ALL 91 and 95 protocols (20 and 17 total doses, respectively). World Health Organization (WHO) grade 4 acute neurotoxicity criteria were employed. Patients with neurologic symptoms, in addition to physical examination, underwent EEG, computed tomography (CT) and/or magnetic resonance imaging (MRI), and lumbar puncture to exclude CNS leukemia and infection. RESULTS: Acute NT was not reported in AIEOP-ALL 87 treated patients, but we observed acute NT in 3 out of 51 (5.8%) AIEOP-ALL 91 patients, and in 7 out of 38 (18.4%) AIEOP-ALL 95 patients. CONCLUSIONS: There was an increased incidence of acute NT in our patients with ALL treated with current intermediate risk protocols. The intensification of treatment, however, bettered event free survival (EFS) to 58%, 72% and 85% in IR AIEOP 87, 91 and 95 studies, respectively.","['Lo Nigro, L', 'Di Cataldo, A', 'Schiliro, G']","['Lo Nigro L', 'Di Cataldo A', 'Schiliro G']","['Division of Pediatric Hematology and Oncology, University of Catania, Catania, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['Adolescent', 'Anti-Inflammatory Agents/adverse effects', 'Antimetabolites, Antineoplastic/*adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Burkitt Lymphoma/*drug therapy/mortality', 'Central Nervous System Diseases/*chemically induced/epidemiology', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Cytarabine/adverse effects', 'Disease-Free Survival', 'Female', 'Humans', 'Hydrocortisone/adverse effects', 'Incidence', 'Infant', 'Injections, Spinal', 'Italy/epidemiology', 'Male', 'Methotrexate/*adverse effects', 'Radiotherapy, Adjuvant', 'Retrospective Studies']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['10.1002/1096-911X(20001101)35:5<449::AID-MPO2>3.0.CO;2-X [pii]', '10.1002/1096-911x(20001101)35:5<449::aid-mpo2>3.0.co;2-x [doi]']",ppublish,Med Pediatr Oncol. 2000 Nov;35(5):449-55. doi: 10.1002/1096-911x(20001101)35:5<449::aid-mpo2>3.0.co;2-x.,"['0 (Anti-Inflammatory Agents)', '0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'WI4X0X7BPJ (Hydrocortisone)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,"['Copyright 2000 Wiley-Liss, Inc.']",,,,,,,
11070348,NLM,MEDLINE,20001222,20190831,0960-0760 (Print) 0960-0760 (Linking),73,5,2000 Jul-Aug,Glucocorticoid mediated transcriptional repression of c-myc in apoptotic human leukemic CEM cells.,195-202,"Suppression of c-myc has been implicated as a critical event in some glucocorticoid-evoked apoptotic systems. It is therefore of interest to understand the mechanism of glucocorticoid-regulation of the c-myc gene. In the present study, a detailed analysis of dexamethasone (Dex)-evoked regulation of the human c-myc gene in human leukemic CEM-C7 cells has been performed. Dex suppresses c-myc mRNA and immunoreactive protein expression in clone CEM-C7 and subclone CEM-C7-14 cells. Nuclear run-on assays suggested that the regulation occurred at the level of transcription initiation. The half-life of c-myc mRNA was approximately 30 min and its stability was not affected by Dex treatment. In addition, Dex suppressed luciferase gene expression driven by -2052 to +34 bp c-myc promoter in transfected CEM-C7-14 cells. This result further supports that c-myc gene is suppressed by Dex at the transcriptional level in apoptotic human leukemic cells.","['Zhou, F', 'Medh, R D', 'Thompson, E B']","['Zhou F', 'Medh RD', 'Thompson EB']","['Department of Human Biological Chemistry and Genetics, The University of Texas Medical Branch, Galveston, TX 77555-0645, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,J Steroid Biochem Mol Biol,The Journal of steroid biochemistry and molecular biology,9015483,IM,"['Apoptosis/*physiology', 'Dactinomycin/pharmacology', 'Dexamethasone/*pharmacology', 'Gene Expression Regulation, Neoplastic/*drug effects', 'Genes, Reporter', '*Genes, myc', 'Glucocorticoids/*pharmacology', 'Humans', 'Kinetics', 'Luciferases/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Promoter Regions, Genetic/*drug effects', 'Proto-Oncogene Proteins c-myc/genetics', 'RNA, Messenger/genetics', 'Transcription, Genetic/*drug effects', 'Transfection', 'Tumor Cells, Cultured']",PMC2761022,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['S0960-0760(00)00080-7 [pii]', '10.1016/s0960-0760(00)00080-7 [doi]']",ppublish,J Steroid Biochem Mol Biol. 2000 Jul-Aug;73(5):195-202. doi: 10.1016/s0960-0760(00)00080-7.,"['0 (Glucocorticoids)', '0 (Proto-Oncogene Proteins c-myc)', '0 (RNA, Messenger)', '1CC1JFE158 (Dactinomycin)', '7S5I7G3JQL (Dexamethasone)', 'EC 1.13.12.- (Luciferases)']",,,,"['R01 CA041407/CA/NCI NIH HHS/United States', 'R01 CA041407-14/CA/NCI NIH HHS/United States', '5R01CA41407/CA/NCI NIH HHS/United States']",,,,,,['NIHMS147909'],,
11070173,NLM,MEDLINE,20001207,20201222,1074-7613 (Print) 1074-7613 (Linking),13,4,2000 Oct,Partial impairment of cytokine responses in Tyk2-deficient mice.,549-60,"To assess the role of the Janus kinase (Jak) family member Tyk2, we have generated Tyk2-/- mice. In contrast to other Jaks, where inactivation leads to a complete loss of the respective cytokine receptor signal, Tyk2-/- mice display reduced responses to IFNalpha/beta and IL-12 and a selective deficiency in Stat3 activation in these pathways. Unexpectedly, IFNgamma signaling is also impaired in Tyk2-/- mice. Tyk2-/- macrophages fail to produce nitric oxide upon lipopolysaccharide induction. Tyk2-/- mice are unable to clear vaccinia virus and show a reduced T cell response after LCMV challenge. These data imply a selective contribution of Tyk2 to the signals triggered by various biological stimuli and cytokine receptors.","['Karaghiosoff, M', 'Neubauer, H', 'Lassnig, C', 'Kovarik, P', 'Schindler, H', 'Pircher, H', 'McCoy, B', 'Bogdan, C', 'Decker, T', 'Brem, G', 'Pfeffer, K', 'Muller, M']","['Karaghiosoff M', 'Neubauer H', 'Lassnig C', 'Kovarik P', 'Schindler H', 'Pircher H', 'McCoy B', 'Bogdan C', 'Decker T', 'Brem G', 'Pfeffer K', 'Muller M']","['Institute of Animal Breeding and Genetics, Veterinary University of Vienna, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Immunity,Immunity,9432918,IM,"['Animals', 'Cell Line', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Cytokines/*biosynthesis/deficiency/genetics', 'DNA-Binding Proteins/antagonists & inhibitors/deficiency/metabolism', 'Down-Regulation/genetics/immunology', 'Embryo, Mammalian', 'Fibroblasts', 'Genetic Predisposition to Disease', 'Granulocyte Colony-Stimulating Factor/pharmacology', '*Growth Inhibitors', 'Humans', 'Interferon Type I/metabolism/pharmacology', 'Interferon-gamma/metabolism', 'Interleukin-10/pharmacology', 'Interleukin-12/pharmacology', 'Interleukin-3/pharmacology', 'Interleukin-6/pharmacology', 'Leukemia Inhibitory Factor', 'Leukemia Inhibitory Factor Receptor alpha Subunit', 'Lipopolysaccharides/pharmacology', 'Lymphocyte Activation/genetics', 'Lymphocytic Choriomeningitis/genetics/immunology', '*Lymphokines', 'Macrophages/immunology/metabolism', 'Membrane Proteins', 'Mice', 'Mice, Inbred Strains', 'Myeloid Progenitor Cells/cytology', 'Nitric Oxide/biosynthesis', 'Protein-Tyrosine Kinases/*deficiency/*genetics/physiology', 'Proteins/*genetics/physiology', 'Receptor, Interferon alpha-beta', 'Receptors, Cytokine/physiology', 'Receptors, Interferon/antagonists & inhibitors/physiology', 'Receptors, OSM-LIF', 'Rhabdoviridae Infections/genetics/immunology', 'STAT3 Transcription Factor', 'Signal Transduction/genetics/immunology', 'Spleen/cytology/enzymology/immunology', 'TYK2 Kinase', 'Thrombopoietin/pharmacology', 'Trans-Activators/antagonists & inhibitors/deficiency/metabolism', 'Vaccinia/genetics/immunology', 'Vesicular stomatitis Indiana virus/immunology']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['S1074-7613(00)00054-6 [pii]', '10.1016/s1074-7613(00)00054-6 [doi]']",ppublish,Immunity. 2000 Oct;13(4):549-60. doi: 10.1016/s1074-7613(00)00054-6.,"['0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (Growth Inhibitors)', '0 (Interferon Type I)', '0 (Interleukin-3)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (LIFR protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Leukemia Inhibitory Factor Receptor alpha Subunit)', '0 (Lif protein, mouse)', '0 (Lifr protein, mouse)', '0 (Lipopolysaccharides)', '0 (Lymphokines)', '0 (Membrane Proteins)', '0 (Proteins)', '0 (Receptors, Cytokine)', '0 (Receptors, Interferon)', '0 (Receptors, OSM-LIF)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)', '07MXG07O12 (interferon gamma receptor)', '130068-27-8 (Interleukin-10)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '156986-95-7 (Receptor, Interferon alpha-beta)', '187348-17-0 (Interleukin-12)', '31C4KY9ESH (Nitric Oxide)', '82115-62-6 (Interferon-gamma)', '9014-42-0 (Thrombopoietin)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (TYK2 Kinase)', 'EC 2.7.10.2 (TYK2 protein, human)', 'EC 2.7.10.2 (Tyk2 protein, mouse)']",,,,,,,,,,,,
11070120,NLM,MEDLINE,20001205,20071115,0046-8177 (Print) 0046-8177 (Linking),31,10,2000 Oct,Utility of immunohistochemistry in bone marrow evaluation of T-lineage large granular lymphocyte leukemia.,1266-73,"Although T-lineage large granular lymphocyte (LGL) leukemia has been described for over 20 years, many patients with this neoplasm go unrecognized. Chief among the difficulties in diagnosing this entity is that the morphologic features are nonspecific and that it is difficult to distinguish it from reactive processes. The purpose of this study was to examine the histologic and immunophenotypic appearance of T-LGL leukemia in the peripheral blood and bone marrow, and to determine what features may suggest that ancillary studies such as flow cytometric and molecular analysis should be pursued to make a definitive diagnosis. We took a multidisciplinary approach by using morphology, immunoperoxidase staining, flow cytometric analysis, and molecular studies on 9 cases of T-lineage LGL leukemia. Our findings indicate that T-lineage LGL leukemia typically infiltrates the marrow diffusely. Most cases show a hypercellular marrow with an increase in myeloid precursors relative to the mature cells (i.e., an inversion of the myeloid maturation pyramid) and a decreased myeloid:erythroid ratio. Neutropenia without a left shift is usually seen in the peripheral blood. The tumor cells are usually CD3+, CD8+, CD57+, and TIA-1+. Most notably, the number of CD3+ T cells per high-power field is markedly elevated in T-LGL leukemia compared with normal, reactive, and pathologic marrows with neutropenia (mean values, 559 cells/mm(2) v. 7/mm(2), 11/mm(2), and 263/mm(2), respectively, P<.01). Moreover, CD57 staining also shows an increase in positive cells in T-LGL cases in comparison with normal, reactive, and pathologic marrows with neutropenia. Taken together, these findings indicate immunoperoxidase findings may be a useful tool to identify cases that should proceed to molecular or flow cytometric analysis.","['Evans, H L', 'Burks, E', 'Viswanatha, D', 'Larson, R S']","['Evans HL', 'Burks E', 'Viswanatha D', 'Larson RS']","['Department of Pathology, University of New Mexico, Albuquerque, NM, USA.']",['eng'],['Journal Article'],United States,Hum Pathol,Human pathology,9421547,IM,"['Aged', 'Aged, 80 and over', 'Bone Marrow/*pathology', 'Female', 'Flow Cytometry', 'Humans', 'Immunoenzyme Techniques', 'Immunophenotyping', 'Leukemia, Lymphoid/*pathology', 'Leukemia, T-Cell/*pathology', 'Male', 'Middle Aged']",,2000/11/09 11:00,2001/02/28 10:01,['2000/11/09 11:00'],"['2000/11/09 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/11/09 11:00 [entrez]']","['S0046-8177(00)27858-1 [pii]', '10.1053/hupa.2000.19298 [doi]']",ppublish,Hum Pathol. 2000 Oct;31(10):1266-73. doi: 10.1053/hupa.2000.19298.,,,,,,,,,,,,,
