PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,GS,PMC,CON,TT,RF,OTO,OT,IR,FIR,IRAD,SI,EIN,OID,OAB,OABL,GN,EFR
1350885,NLM,MEDLINE,19920708,20200824,0002-9297 (Print) 0002-9297 (Linking),50,6,1992 Jun,Correction of sulfatide metabolism after transfer of prosaposin cDNA to cultured cells from a patient with SAP-1 deficiency.,1252-8,"The lysosomal removal of the sulfate moiety from sulfatide requires the action of two proteins, arylsulfatase A and sphingolipid activator protein-1 (SAP-1). Recently, patients have been identified who have a variant form of metachromatic leukodystrophy which is characterized by mutations in the gene coding for SAP-1, which is also called ""prosaposin."" All of the mutations characterized in these patients result in (a) deficient mature SAP-1, as determined by immunoblotting after SDS-PAGE of tissue and cell extracts, and (b) decreased ability of cultured skin fibroblasts to metabolize endocytosed [14C]-sulfatide. We now report the insertion of the full-length prosaposin cDNA into the Moloney murine leukemia virus-derived retroviral vector, pLJ, and the infection of cultured skin fibroblasts from a newly diagnosed and molecularly characterized patient with SAP-1 deficiency. The cultured cells infected with the prosaposin cDNA construct now show both production of normal levels of mature SAP-1 and completely normal metabolism of endocytosed [14C]-sulfatide. These studies demonstrate that the virally transferred prosaposin cDNA is processed normally and is localized within lysosomes, where it is needed for interaction between sulfatide and arylsulfatase A. In addition, normal as well as mutant sequences can now be found by allele-specific oligonucleotide hybridization of PCR-amplified genomic DNA by using exonic sequences as primers.","['Rafi, M A', 'Amini, S', 'Zhang, X L', 'Wenger, D A']","['Rafi MA', 'Amini S', 'Zhang XL', 'Wenger DA']","['Department of Medicine, Jefferson Medical College, Philadelphia, PA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hum Genet,American journal of human genetics,0370475,"['0 (Antisense Elements (Genetics))', '0 (Glycoproteins)', '0 (Oligodeoxyribonucleotides)', '0 (PSAP protein, human)', '0 (Protein Precursors)', '0 (Saposins)', '0 (Sphingolipid Activator Proteins)', '0 (Stearic Acids)', '0 (Sulfoglycosphingolipids)', '4ELV7Z65AP (stearic acid)', 'EC 3.1.6.8 (Cerebroside-Sulfatase)']",IM,"['Antisense Elements (Genetics)', 'Base Sequence', 'Cells, Cultured', 'Cerebroside-Sulfatase/metabolism', 'Child', 'Fibroblasts/enzymology/metabolism', 'Genetic Vectors', 'Glycoproteins/*deficiency/*genetics/metabolism', 'Humans', 'Kinetics', 'Leukodystrophy, Metachromatic/genetics/metabolism', 'Molecular Sequence Data', 'Mutation', 'Oligodeoxyribonucleotides', 'Plasmids', 'Polymerase Chain Reaction', 'Protein Precursors/*genetics/metabolism', 'Retroviridae/genetics', 'Saposins', 'Skin/enzymology/*metabolism', 'Sphingolipid Activator Proteins', 'Stearic Acids/metabolism', 'Sulfoglycosphingolipids/*metabolism', '*Transfection']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",,ppublish,Am J Hum Genet. 1992 Jun;50(6):1252-8.,['DK38795/DK/NIDDK NIH HHS/United States'],,,PMC1682565,,,,,,,,,,,,,,,
1350742,NLM,MEDLINE,19920709,20191028,0950-3536 (Print) 0950-3536 (Linking),5,1,1992 Jan,Chronic leukaemias.,27-56,"In recent years many subtypes of CLL and some CML variants have been recognized throughout the world by means of careful clinical, epidemiological, immunological, molecular biological and viral studies. Most striking has been the establishment of a close association between certain immunophenotypical subtypes of CLL and infection with HTLV-I and possibly HTLV-II. CLL has consistently been shown to have a strong genetic component and a low incidence among Asians, but a growing body of evidence also links this major leukaemia type with environmental factors including solvents, unidentified farming and other occupational exposures. In contrast, CML is characterized by few genetic associations, relatively homogenous world-wide distribution, greater frequency in Blacks than in Whites, little evidence of viral aetiology, and evidence that exposures to ionizing radiation, benzene and possibly other chemical agents are important aetiological factors. Most studies suggest that acquired rather than genetic factors are of greater importance in the aetiology of CML, but this conclusion is somewhat difficult to reconcile with the relatively small variation in incidence rates internationally. Common to both disorders in most populations are an increasing incidence with age, male predominance, and stability of incidence, survival and mortality over the years, exclusive of improved survival of CML following allogeneic bone marrow transplantation.","['Finch, S C', 'Linet, M S']","['Finch SC', 'Linet MS']",,['eng'],"['Journal Article', 'Review']",England,Baillieres Clin Haematol,Bailliere's clinical haematology,8800474,"['0 (Biomarkers, Tumor)']",IM,"['Adult', 'Biomarkers, Tumor', 'Case-Control Studies', 'Chromosome Aberrations', 'Chronic Disease', 'Cohort Studies', 'Deltaretrovirus Infections/complications', 'Diseases in Twins/epidemiology', 'Epidemiologic Methods', 'Female', 'Global Health', 'Humans', 'Incidence', 'Leukemia/classification/diagnosis/*epidemiology/etiology/microbiology/mortality', 'Leukemia, Radiation-Induced/epidemiology/mortality', 'Male', 'Middle Aged', 'Neoplasms, Second Primary/epidemiology', 'Occupational Diseases/epidemiology/etiology', 'Risk']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1016/s0950-3536(11)80034-x [doi]'],ppublish,Baillieres Clin Haematol. 1992 Jan;5(1):27-56. doi: 10.1016/s0950-3536(11)80034-x.,,,,,,,93,,,,,,,,,,,,
1350740,NLM,MEDLINE,19920709,20210216,0006-4971 (Print) 0006-4971 (Linking),79,12,1992 Jun 15,Development of a lethal mast cell disease in mice reconstituted with bone marrow cells expressing the v-erbB oncogene.,3145-58,"An animal model for malignant mastocytosis is described in mice reconstituted with bone marrow cells expressing the v-erbB oncogene. The lethal mast cell disease is characterized by massive infiltration of bone marrow, spleen, and several other visceral organs by connective tissue mast cells, which normally reside in the skin and the peritoneal cavity. As is frequently found in malignant mastocytosis, the v-erbB-induced mast cell disease was accompanied in some primary recipients by an acute myelogenous leukemia (AML) that killed all secondary recipients regardless of whether the AML was already evident in the primary host. The infiltrating mast cells stained strongly positive with berberine sulfate, suggesting that they were terminally differentiated and in vitro they showed only a weak proliferative capacity. The leukemias were clonal but apparently of different origin than the malignant mast cells, implying the transformation of two independent cell populations. Leukemic cells expressed various myeloid-specific markers as well as the B220 antigen, normally associated with the B-cell lineage. However, the Ig heavy chain genes were still in germ line configuration. In culture, these cells proliferated in the absence of exogenous growth factors and had the capacity to differentiate into mature myeloid cells. Preliminary experiments suggest that v-erbB may use parts of a signal transduction pathway normally coupled to the c-kit receptor. The v-erbB-induced malignant mast cell disease should provide a useful animal model for elucidating the cause for malignant mastocytosis in humans and to explore possible therapeutic strategies.","['von Ruden, T', 'Kandels, S', 'Radaszkiewicz, T', 'Ullrich, A', 'Wagner, E F']","['von Ruden T', 'Kandels S', 'Radaszkiewicz T', 'Ullrich A', 'Wagner EF']","['Research Institute of Molecular Pathology (IMP), Vienna, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Oncogene Proteins v-erbB)', '0 (Retroviridae Proteins, Oncogenic)']",IM,"['Alpharetrovirus/genetics', 'Animals', 'Bone Marrow/*metabolism/pathology', 'Bone Marrow Transplantation', 'Cell Differentiation', 'Cell Division', '*Disease Models, Animal', '*Gene Expression', 'Genetic Vectors', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/etiology/pathology', 'Male', 'Mast Cells/pathology', 'Mastocytosis/complications/*genetics/pathology', 'Mice', 'Mice, Inbred CBA', 'Oncogene Proteins v-erbB', 'Retroviridae Proteins, Oncogenic/*genetics', 'Spleen/pathology', 'Transfection']",1992/06/15 00:00,1992/06/15 00:01,['1992/06/15 00:00'],"['1992/06/15 00:00 [pubmed]', '1992/06/15 00:01 [medline]', '1992/06/15 00:00 [entrez]']",['S0006-4971(20)71170-5 [pii]'],ppublish,Blood. 1992 Jun 15;79(12):3145-58.,,,['v-erbB'],,,,,,,,,,,,,,,,
1350652,NLM,MEDLINE,19920629,20181130,0887-6924 (Print) 0887-6924 (Linking),6,5,1992 May,Effect of position 185 mutations of the MDR-1 gene on drug resistance in leukaemia.,484-5,,"['Holmes, J A', 'Whittaker, J A', 'Padua, R A']","['Holmes JA', 'Whittaker JA', 'Padua RA']",,['eng'],['Letter'],England,Leukemia,Leukemia,8704895,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Membrane Glycoproteins)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Base Sequence', 'Drug Resistance', 'Genes', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Membrane Glycoproteins/*genetics', 'Molecular Sequence Data', 'Mutation']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",,ppublish,Leukemia. 1992 May;6(5):484-5.,,,,,,,,,,,,,,,,,,,
1350651,NLM,MEDLINE,19920629,20131121,0887-6924 (Print) 0887-6924 (Linking),6,5,1992 May,"Demonstration of clonality, by X-linked DNA analysis, in chronic natural killer cell lymphocytosis and successful therapy with oral cyclophosphamide.",477-80,"The expanded lymphocyte population in large granular lymphocyte (LGL)-leukemia carries the phenotypic characteristics of either cytotoxic T lymphocytes (CD3+,CD8+) or natural killer (NK) cells (CD3-,CD15+). In the former subset, clonality has been demonstrated by T-cell receptor gene rearrangement studies. Since NK cells do not rearrange T-cell receptor genes, the neoplastic nature of chronic NK cell lymphocytosis has not been well defined. We used X-linked DNA analysis to study the clonal nature of an expanded NK cell population in a patient with a 3-year history of relative lymphocytosis associated with anemia and neutropenia. Southern blot analysis showed no clonal T-cell receptor gene rearrangement. The majority of the circulating lymphocytes had a NK cell phenotype and demonstrated both direct NK cell-mediated cytotoxicity and antibody-dependent cellular cytotoxicity. However, the in vitro growth characteristics of these cells did not suggest that they were polyclonal expansions of normal NK cells. To determine directly the clonal origin of these cells, we performed X-linked DNA analysis. Density gradient centrifugation methods were used to isolate mononuclear cells, and NK cells were positively selected by CD16-immunoconjugated magnetic beads. The DNA of these cells was analyzed by restriction fragment length polymorphism-methylation strategy and showed a monoclonal pattern of X-chromosome inactivation while a polyclonal pattern was obtained in corresponding skin tissue. Treatment of the patient with oral cyclophosphamide resulted in complete hematologic remission. We conclude that chronic NK lymphocytosis may be clonal and responsive to immunosuppressive therapy.","['Tefferi, A', 'Greipp, P R', 'Leibson, P J', 'Thibodeau, S N']","['Tefferi A', 'Greipp PR', 'Leibson PJ', 'Thibodeau SN']","['Division of Hematology, Mayo Clinic, Rochester, MN 55905.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['8N3DW7272P (Cyclophosphamide)', '9007-49-2 (DNA)', 'N29QWW3BUO (Danazol)', 'VB0R961HZT (Prednisone)']",IM,"['Aged', 'Cyclophosphamide/*therapeutic use', 'DNA/analysis', 'Danazol/therapeutic use', 'Female', 'Humans', 'Killer Cells, Natural/drug effects/*metabolism/ultrastructure', 'Lymphocytosis/drug therapy/genetics/*metabolism', 'Polymorphism, Restriction Fragment Length', 'Prednisone/therapeutic use']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",,ppublish,Leukemia. 1992 May;6(5):477-80.,['CA47752/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,
1350588,NLM,MEDLINE,19920629,20191028,0733-2459 (Print) 0733-2459 (Linking),7,1,1992,A discrepancy between the instantaneous and the overall collection efficiency of the Fenwal CS3000 for peripheral blood stem cell apheresis.,6-11,"The collection efficiency (CE) of the Fenwall CS3000 continuous flow blood cell separator in the apheresis of peripheral blood stem cells during haemopoietic recovery following myelosuppressive chemotherapy was analysed. Ninety-three apheresis were performed in 19 patients using procedure 3 on the Fenwal CS3000. The overall CE was calculated from the pre-apheresis cell counts and the stated blood volume processed. Instantaneous CE was calculated from cell counts in the inlet and return lines. The overall mononuclear cell and granulocyte-macrophage colony forming unit CE were 64.0% and 55.8%, respectively, significantly lower than the instantaneous CEs of 94.5% and 95.4%, respectively (P = 0.0001, t test, for both comparisons). Three factors unrelated to machine performance contributed to the lower overall CE despite a high instantaneous CE: (1) A fall in the patient's mononuclear cell counts during apheresis leading to an overestimation of the cells available for collection, (2) dilution of blood by anti-coagulant, and (3) the operational dead space of the Fenwal CS3000. The overall CE corrected for these 3 factors approximated the instantaneous CE closely. Thus there is little room for further enhancement of machine performance because the Fenwal CS3000 is already operating with a very high instantaneous CE. To achieve major improvement in the yield of peripheral blood stem cell harvests, more effective mobilization protocols and better timing of apheresis are required.","['Haylock, D N', 'Canty, A', 'Thorp, D', 'Dyson, P G', 'Juttner, C A', 'To, L B']","['Haylock DN', 'Canty A', 'Thorp D', 'Dyson PG', 'Juttner CA', 'To LB']","['Leukaemia Research Unit, Institute of Medical and Veterinary Science, Adelaide, Australia.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Apher,Journal of clinical apheresis,8216305,"['04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)', 'FTK8U1GZNX (Thioguanine)', 'ZS7284E0ZP (Daunorubicin)', 'DAT protocol 1']",IM,"['Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', 'Blood Cell Count', '*Blood Cells/transplantation', 'Blood Component Removal/*instrumentation', 'Blood Transfusion, Autologous', 'Bone Marrow Diseases/chemically induced/therapy', 'Cyclophosphamide/adverse effects/therapeutic use', 'Cytarabine/administration & dosage/adverse effects', 'Daunorubicin/administration & dosage/adverse effects', 'Evaluation Studies as Topic', 'Hematopoietic Stem Cell Transplantation', '*Hematopoietic Stem Cells', 'Humans', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Neoplasms/*blood/drug therapy', 'Thioguanine/administration & dosage/adverse effects']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1002/jca.2920070104 [doi]'],ppublish,J Clin Apher. 1992;7(1):6-11. doi: 10.1002/jca.2920070104.,,,,,,,,,,,,,,,,,,,
1350568,NLM,MEDLINE,19920702,20181113,0019-2805 (Print) 0019-2805 (Linking),75,4,1992 Apr,"Development of the cell contact-mediated accessory function for T-cell proliferation in a human promyelocytic leukaemia cell line, HL-60, by 1,25-dihydroxyvitamin D3.",619-25,"A human promyelocytic leukaemia cell line, HL-60 cells, did not show accessory cell (AC) function to potentiate the proliferation of human T cells induced by anti-CD3 antibody coupled to latex beads (alpha T3-L). This was found to be at least due to the inability of HL-60 cells to express certain molecules which are inducible with interferon-gamma (IFN-gamma) on mature monocytes and are necessary for interaction with T cells. HL-60 cells acquired the ability to express such surface molecules by stimulation with IFN-gamma when the cells were pretreated with 1,25-dihydroxyvitamin D3 (Vit D). The effect of Vit D was reversible, that is, the AC function of the HL-60 cells was lost when the cells were cultured in Vit D-free medium for 7 days. It was also found that HL-60 cells treated with IFN-gamma and then with Vit D did not show significant AC function. The flow cytometric analysis showed that the expression of HLA-DR and intercellular adhesion molecule-1 (ICAM-1) was highly increased on HL-60 cells when stimulated with IFN-gamma after treatment with Vit D. The expression of ICAM-1 was also induced with IFN-gamma on untreated cells but in lower amounts. Monoclonal antibodies against ICAM-1 and HLA-DR inhibited the alpha T3-L-induced T-cell proliferation, indicating that these molecules are at least required for contact-mediated AC function. Thus our study revealed that HL-60 cells express cell surface interaction molecules necessary for potentiating the T-cell proliferation through two steps, differentiation with Vit D to mature monocyte-like cells followed by stimulation with IFN-gamma.","['Shinbori, T', 'Yamada, M', 'Kakimoto, K', 'Araki, S', 'Onoue, K']","['Shinbori T', 'Yamada M', 'Kakimoto K', 'Araki S', 'Onoue K']","['Department of Biochemistry, Kumamoto University Medical School, Japan.']",['eng'],['Journal Article'],England,Immunology,Immunology,0374672,"['0 (Cell Adhesion Molecules)', '0 (HLA-DR Antigens)', '0 (Recombinant Proteins)', '126547-89-5 (Intercellular Adhesion Molecule-1)', '82115-62-6 (Interferon-gamma)', 'FXC9231JVH (Calcitriol)']",IM,"['Antigen-Presenting Cells/*immunology', 'Calcitriol/*immunology', 'Cell Adhesion Molecules/analysis', 'Cell Communication/immunology', 'Cell Division/immunology', 'Cell Line', 'Dose-Response Relationship, Immunologic', 'HLA-DR Antigens/analysis', 'Humans', 'Intercellular Adhesion Molecule-1', 'Interferon-gamma/immunology', 'Kinetics', 'Leukemia, Promyelocytic, Acute/*immunology', 'Lymphocyte Activation/immunology', 'Monocytes/immunology', 'Recombinant Proteins', 'T-Lymphocytes/*immunology']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",,ppublish,Immunology. 1992 Apr;75(4):619-25.,,,,PMC1384840,,,,,,,,,,,,,,,
1350537,NLM,MEDLINE,19920629,20190907,0902-4441 (Print) 0902-4441 (Linking),48,4,1992 Apr,IL2- and IL4-dependent proliferation of T-cell clones derived early after allogeneic bone marrow transplantation: studies of patients with chronic myelogenous leukaemia.,221-7,"In an attempt to explore T-cell functions shortly after allogeneic bone marrow transplantation more fully, IL2- and IL4-dependent proliferation was assessed on CD4+ TCR alpha beta+ T-cell clones derived 4-6 weeks after transplantation. Both allogeneic pooled peripheral blood mononuclear cells and Epstein-Barr virus-transformed B-cell lines (BCL) could function as accessory cells (AC) for PHA activation of T-cell clones. Although minimal clonal proliferation was seen when the T-cell activation signal was BCL+PHA+IL4, a majority of the clones could undergo IL4-dependent proliferation after previous activation with AC+PHA+IL2. For certain clones, IL4 also showed an additive effect with IL2. Thus, IL4 was a growth factor for a majority of the investigated posttransplant T-cell clones, and in vivo modulation of IL4-dependent T-cell functions may thus become a future therapeutic possibility to enhance graft-versus-leukaemia effects in bone marrow transplant recipients.","['Bruserud, O', 'Hamann, W', 'Patel, S', 'Ehninger, G', 'Pawelec, G']","['Bruserud O', 'Hamann W', 'Patel S', 'Ehninger G', 'Pawelec G']","['Second Department of Internal Medicine, University of Tubingen, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,"['0 (Interleukin-2)', '0 (Phytohemagglutinins)', '0 (Receptors, Antigen, T-Cell, alpha-beta)', '0 (Tumor Necrosis Factor-alpha)', '207137-56-2 (Interleukin-4)', '82115-62-6 (Interferon-gamma)']",IM,"['Antigen-Presenting Cells/physiology', '*Bone Marrow Transplantation', 'CD4-Positive T-Lymphocytes/*physiology', 'Clone Cells', 'Dose-Response Relationship, Drug', 'Humans', 'Interferon-gamma/biosynthesis', 'Interleukin-2/*pharmacology', 'Interleukin-4/*pharmacology', 'Leukemia, Myeloid, Acute/*pathology/*surgery', 'Lymphocyte Activation/*drug effects', 'Phytohemagglutinins', 'Receptors, Antigen, T-Cell, alpha-beta/biosynthesis', 'Tumor Necrosis Factor-alpha/biosynthesis/pharmacology']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['10.1111/j.1600-0609.1992.tb01589.x [doi]'],ppublish,Eur J Haematol. 1992 Apr;48(4):221-7. doi: 10.1111/j.1600-0609.1992.tb01589.x.,,,,,,,,,,,,,,,,,,,
1350288,NLM,MEDLINE,19920625,20171116,0022-1767 (Print) 0022-1767 (Linking),148,11,1992 Jun 1,T-deficient transmembrane signaling in CD4+ T cells of retroviral-induced immune-deficient mice.,3377-84,"The defective virus found in the LP-BM5 mixture of murine leukemia viruses induces a severe immune deficiency disease in C57BL/6 mice that is characterized by the activation and expansion of T and B cells that become unresponsive to normal immune stimuli. The nature of the biochemical lesion in these defective lymphocyte populations remains unknown. Flow cytometric analysis of the T cell population in infected animals has demonstrated expansion of both CD4+ and CD8+ subsets. Despite chronic expansion in vivo, CD4+ T cells by wk 4 postinfection failed to up-regulate cell surface IL-2R expression, produced IL-2, or proliferate in vitro in response to either Con A, Staphylococcal enterotoxin super-antigens, or anti-CD3 stimulation. Exogenous IL-2 did not restore the proliferative response and also failed to up-regulate IL-R expression on CD4+ T cells from infected mice, even though basal IL-2R expression was initially elevated compared to normals. In contrast, CD4+ T cells from infected mice could be induced to proliferate by stimulation with PMA and ionomycin resulting in IL-2R up-regulation, IL-2 production, and proliferation. Moreover, proliferation could also be induced by anti-CD3 plus PMA, although anti-CD3 plus ionomycin was without effect. These studies suggest that chronic expansion of CD4+ T cells in infected mice is probably not maintained by normal TCR signaling, which appears defective in these cells. In addition, the lesion in biochemical signaling appears to result in defective activation of protein kinase C, which can be overcome by direct activation with PMA.","['Fitzpatrick, E A', 'Bryson, J S', 'Rhoads, C', 'Kaplan, A M', 'Cohen, D A']","['Fitzpatrick EA', 'Bryson JS', 'Rhoads C', 'Kaplan AM', 'Cohen DA']","['Department of Microbiology and Immunology, University of Kentucky, Lexington 40536-0084.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD3 Complex)', '0 (Interleukin-2)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Interleukin-2)', '56092-81-0 (Ionomycin)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'SY7Q814VUP (Calcium)']",IM,"['Animals', 'Antigens, Differentiation, T-Lymphocyte/immunology', 'CD3 Complex', 'CD4-Positive T-Lymphocytes/*physiology', 'Calcium/physiology', 'Cell Cycle', 'Interleukin-2/pharmacology', 'Ionomycin/pharmacology', 'Lymphocyte Activation/drug effects', 'Mice', 'Murine Acquired Immunodeficiency Syndrome/*physiopathology', 'Protein Kinase C/physiology', 'Receptors, Antigen, T-Cell/immunology/physiology', 'Receptors, Interleukin-2/metabolism', 'Signal Transduction', 'Tetradecanoylphorbol Acetate/pharmacology']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",,ppublish,J Immunol. 1992 Jun 1;148(11):3377-84.,"['AA08237/AA/NIAAA NIH HHS/United States', 'CA09509/CA/NCI NIH HHS/United States', 'CA34052/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
1350280,NLM,MEDLINE,19920625,20210210,0021-9258 (Print) 0021-9258 (Linking),267,15,1992 May 25,Energy-dependent accumulation of daunorubicin into subcellular compartments of human leukemia cells and cytoplasts.,10638-44,"Anthracycline accumulation was evaluated by flow cytometry or radiolabeled drug assays in cells and cytoplasts (enucleated cells) prepared from parental and multidrug-resistant human K562 leukemia cells. Treatment with energy inhibitors, such as dinitrophenol (DNP) or sodium azide/deoxyglucose, led to a marked decrease in daunorubicin accumulation in parental cells and cytoplasts. Another ionophore, monensin, also caused a significant decrease in daunorubicin accumulation; however, ATPase inhibitors ouabain, vanadate, and N-ethylamaleimide had little or no effect. The lysosomatropic agents chloroquine and methylamine caused a moderate decrease in anthracycline accumulation. Fluorescence microscopy showed that the DNP-sensitive daunorubicin uptake occurred in a nonnuclear subcellular compartment. Studies using increasing daunorubicin concentrations demonstrated fluorescence quenching that occurred in the nonnuclear, DNP-sensitive compartment. The effect of inhibitors on the accumulation of rhodamine 123 and acridine orange strongly implicated lysosomes as the principal compartment of this inhibitable daunorubicin accumulation. Cytoplasts from P-glycoprotein containing multidrug-resistant K562 cells demonstrated a verapamil-reversible, decreased daunorubicin accumulation that was observed in resistant whole cells. Verapamil pretreatment of cytoplasts from resistant cells revealed the subcellular DNP-sensitive uptake present in parental cytoplasts. These studies demonstrate that cytoplasts are an effective means to study drug transport in mammalian cells without nuclear drug binding. Parental K562 cells and cytoplasts exhibit an energy-dependent accumulation of daunorubicin into cytoplasmic organelles that is also present in resistant cells and cytoplasts when P-glycoprotein mediated efflux is inhibited.","['Slapak, C A', 'Lecerf, J M', 'Daniel, J C', 'Levy, S B']","['Slapak CA', 'Lecerf JM', 'Daniel JC', 'Levy SB']","['Department of Medicine, New England Medical Center, Boston, Massachusetts.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Azides)', '0 (Dinitrophenols)', '0 (Membrane Glycoproteins)', '0 (Methylamines)', '3WHH0066W5 (Vanadates)', '5ACL011P69 (Ouabain)', '886U3H6UFF (Chloroquine)', '906O0YJ6ZP (Monensin)', '968JJ8C9DV (Sodium Azide)', '9G2MP84A8W (Deoxyglucose)', 'BSF23SJ79E (methylamine)', 'CJ0O37KU29 (Verapamil)', 'O3C74ACM9V (Ethylmaleimide)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Azides/pharmacology', 'Cell Compartmentation', 'Chloroquine/pharmacology', 'Daunorubicin/*metabolism/pharmacology', 'Deoxyglucose/pharmacology', 'Dinitrophenols/pharmacology', 'Drug Interactions', 'Drug Resistance', 'Energy Metabolism', 'Ethylmaleimide/pharmacology', 'Humans', 'Leukemia/*metabolism', 'Membrane Glycoproteins/metabolism', 'Methylamines/pharmacology', 'Microscopy, Fluorescence', 'Monensin/pharmacology', 'Ouabain/pharmacology', 'Sodium Azide', 'Tumor Cells, Cultured', 'Vanadates/pharmacology', 'Verapamil/pharmacology']",1992/05/25 00:00,1992/05/25 00:01,['1992/05/25 00:00'],"['1992/05/25 00:00 [pubmed]', '1992/05/25 00:01 [medline]', '1992/05/25 00:00 [entrez]']",['S0021-9258(19)50065-5 [pii]'],ppublish,J Biol Chem. 1992 May 25;267(15):10638-44.,"['CA-01613/CA/NCI NIH HHS/United States', 'F32-CA08774/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
