PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,RF,DEP,CI,CIN,GR,PMC,EIN,TT,MID,CON,OID,OTO,OT,GN,CN,SI,CRF,RIN,PS,FPS
16015525,NLM,MEDLINE,20050826,20201209,0883-9441 (Print) 0883-9441 (Linking),20,1,2005 Mar,Acute lung injury induced by arsenic trioxide in a patient with refractory myelodysplastic syndrome.,111-3,"['Hassaballa, Hesham A', 'Lateef, Omar B', 'Silver, Michael R', 'Balk, Robert A']","['Hassaballa HA', 'Lateef OB', 'Silver MR', 'Balk RA']","['Division of Pulmonary and Critical Care Medicine, Department of Medicine, Rush Medical College and Rush University Medical Center, Chicago, IL 60612, USA. hhassaba@rush.edu']",['eng'],"['Case Reports', 'Journal Article']",United States,J Crit Care,Journal of critical care,8610642,IM,"['Aged', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Arsenic Trioxide', 'Arsenicals/*adverse effects/therapeutic use', 'Humans', 'Male', 'Myelodysplastic Syndromes/*drug therapy', 'Oxides/*adverse effects/therapeutic use', 'Respiratory Distress Syndrome/*chemically induced']",2005/07/15 09:00,2005/08/27 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/08/27 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S0883944104001339 [pii]', '10.1016/j.jcrc.2004.08.009 [doi]']",ppublish,J Crit Care. 2005 Mar;20(1):111-3. doi: 10.1016/j.jcrc.2004.08.009.,"Arsenic trioxide has been used successfully for the treatment of refractory acute promyelocytic leukemia and has shown promise in the treatment of myelodysplastic syndrome (MDS), although it is not a labeled indication. Retinoic acid syndrome is manifested by fever, dyspnea, peripheral edema, pulmonary infiltrates, and pleural and/or pericardial effusions and is typically seen in conjunction with all- trans retinoic acid therapy of acute promyelocytic leukemia. We report a case of acute lung injury and a retinoic acid syndrome-like illness in a patient who received arsenic for MDS. To our knowledge, this is the first such report, and clinicians should be aware of this potentially life-threatening complication of arsenic trioxide treatment in patients with MDS.","['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (Oxides)', 'S7V92P67HO (Arsenic Trioxide)']",,,,,,,,,,,,,,,,,,,,
16015507,NLM,MEDLINE,20051006,20191109,0037-1963 (Print) 0037-1963 (Linking),42,3 Suppl 2,2005 Jul,Pharmacology of 5-Aza-2'-deoxycytidine (decitabine).,S9-16,"['Momparler, Richard L']",['Momparler RL'],"['Centre de recherche, Hopital Sainte-Justine, Montreal, Quebec, Canada. richard.l.momparler@umontreal.ca']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['Animals', 'Azacitidine/*analogs & derivatives/pharmacokinetics/pharmacology/toxicity', 'Biotransformation', 'Decitabine', 'Humans', 'Leukemia/drug therapy', 'Treatment Outcome']",2005/07/15 09:00,2005/10/07 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/07 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S0037196305000624 [pii]', '10.1053/j.seminhematol.2005.05.002 [doi]']",ppublish,Semin Hematol. 2005 Jul;42(3 Suppl 2):S9-16. doi: 10.1053/j.seminhematol.2005.05.002.,"The preclinical pharmacology of 5-aza-2'-deoxycytidine (decitabine, 5AZA-CdR) is reviewed. 5AZA-CdR, an analogue of deoxycytidine, is a prodrug that requires metabolic activation by deoxycytidine kinase. The active inhibitor in the cell is its triphosphate form (5AZA-dCTP), which incorporates very readily into DNA to produce an inhibition of DNA methyltransferase. The mechanism responsible for the antileukemic action of 5AZA-CdR is related to its reversal of epigenetic silencing by aberrant DNA methylation of genes that suppress leukemiogenesis. 5AZA-CdR is an S-phase-specific agent. At concentrations in the range of micromolars this analogue can induce terminal differentiation and loss of clonogenicity of human leukemic cells. Drug resistance to 5AZA-CdR occurs primarily by reduction in deoxycytidine kinase activity or increase in the activity of cytidine deaminase, the enzyme that inactivates this analogue. 5AZA-CdR is a very potent antileukemic agent in animal models, more effective than the related antileukemic drug, cytosine arabinoside. In humans, 5AZA-CdR has a short half-life of 15 to 25 minutes due to rapid inactivation by liver cytidine deaminase. The major toxicity produced by 5AZA-CdR is myelosuppression. Preliminary clinical studies in patients with hematologic malignancies indicate that 5AZA-CdR is an active chemotherapeutic agent. The optimal dose-schedule for this interesting epigenetic agent with a novel mechanism of action remains to be determined. Translation of the pharmacology of 5AZA-CdR into therapeutic regimens based on scientific rationale can be used to obtain this objective.","['776B62CQ27 (Decitabine)', 'M801H13NRU (Azacitidine)']",67,,,,,,,,,,,,,,,,,,,
16015506,NLM,MEDLINE,20051006,20191109,0037-1963 (Print) 0037-1963 (Linking),42,3 Suppl 2,2005 Jul,Future directions for the use of hypomethylating agents.,S50-9,"['Garcia-Manero, Guillermo', 'Gore, Steven D']","['Garcia-Manero G', 'Gore SD']","['Department of Leukemia, University of Texas M.D. Anderson Cancer Center, Houston, TX 77030, USA. ggarciam@mdanderson.org']",['eng'],"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['DNA Modification Methylases/antagonists & inhibitors', 'Drug Therapy, Combination', 'Epigenesis, Genetic/*drug effects', 'Forecasting', 'Hematologic Diseases/drug therapy', 'Histone Deacetylase Inhibitors', 'Humans', 'Neoplasms/drug therapy']",2005/07/15 09:00,2005/10/07 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/07 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S0037196305000648 [pii]', '10.1053/j.seminhematol.2005.05.004 [doi]']",ppublish,Semin Hematol. 2005 Jul;42(3 Suppl 2):S50-9. doi: 10.1053/j.seminhematol.2005.05.004.,"Epigenetics refers to heritable changes in DNA and chromatin that impact gene expression without a change in DNA sequence. Two major steps involved in epigenetic regulation of gene expression include methylation of the promoter region of the gene and deacetylation of specific lysine residues on promoter-associated histones leading to changes in chromatin structure. Promoter hypermethylation is the most extensively studied epigenetic process. Our expanding knowledge of this process has led to its application in the diagnosis, prognosis, and treatment of various hematologic and neoplastic diseases. Several agents, which reverse promoter methylation or inhibit histone deacetylases, are under development for use alone or in combination for a variety of neoplastic diseases. This review discusses the potential use of methylation reversing agents in the treatment of solid tumors and in benign hematologic disorders along with the rationale for combination therapies using hypomethylating agents.","['0 (Histone Deacetylase Inhibitors)', 'EC 2.1.1.- (DNA Modification Methylases)']",85,,,,,,,,,,,,,,,,,,,
16015505,NLM,MEDLINE,20051006,20191109,0037-1963 (Print) 0037-1963 (Linking),42,3 Suppl 2,2005 Jul,Decitabine in chronic leukemias.,S43-9,"['Issa, Jean-Pierre J', 'Byrd, John C']","['Issa JP', 'Byrd JC']","['Department of Leukemia, The University of Texas M.D. Anderson Cancer Center, Houston, TX 77030, USA. jpissa@mdanderson.org']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['Azacitidine/administration & dosage/*analogs & derivatives/therapeutic use', 'Chronic Disease', 'Combined Modality Therapy', 'Decitabine', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy']",2005/07/15 09:00,2005/10/07 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/07 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S003719630500065X [pii]', '10.1053/j.seminhematol.2005.05.005 [doi]']",ppublish,Semin Hematol. 2005 Jul;42(3 Suppl 2):S43-9. doi: 10.1053/j.seminhematol.2005.05.005.,"5-Aza-2'-deoxycitidine (decitabine, Dacogen, Bloomington, MN) is a cytosine analogue that promotes hypomethylation of DNA and has documented efficacy in myeloid malignancies. Indeed, promising clinical results have been observed in acute myeloid leukemia (AML) and the myelodysplastic syndromes (MDS). Aberrant methylation has also been found in chronic leukemias, providing a rationale for investigating the use of decitabine in these diseases. There is clear evidence of molecular (hypomethylation) as well as hematologic and cytogenetic responses to decitabine in chronic myelogenous leukemia of all phases, including in patients resistant to imatinib mesylate. Clinical trials of decitabine in chronic lymphocytic leukemia are ongoing. There are many unanswered questions regarding optimizing this treatment for chronic leukemias, but successful proof-of-concept studies for hypomethylating agents move us closer to approaches that may have a significant impact on patient outcomes.","['776B62CQ27 (Decitabine)', 'M801H13NRU (Azacitidine)']",67,,,,,,,,,,,,,,,,,,,
16015504,NLM,MEDLINE,20051006,20191109,0037-1963 (Print) 0037-1963 (Linking),42,3 Suppl 2,2005 Jul,Decitabine in acute myeloid leukemia.,S38-42,"['Lubbert, Michael', 'Minden, Mark']","['Lubbert M', 'Minden M']","['Department of Medicine, Division of Hematology/Oncology, University of Freiburg Medical Center, Freiburg, Germany. luebbert@mm11.ukl.uni-freiburg.de']",['eng'],"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['Acute Disease', 'Azacitidine/administration & dosage/*analogs & derivatives/therapeutic use', 'DNA Modification Methylases/antagonists & inhibitors', 'Decitabine', 'Dose-Response Relationship, Drug', 'Epigenesis, Genetic/drug effects', 'Humans', 'Leukemia, Myeloid/*drug therapy/mortality']",2005/07/15 09:00,2005/10/07 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/07 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S0037196305000673 [pii]', '10.1053/j.seminhematol.2005.05.007 [doi]']",ppublish,Semin Hematol. 2005 Jul;42(3 Suppl 2):S38-42. doi: 10.1053/j.seminhematol.2005.05.007.,"Standard induction chemotherapy, depending on patient tolerability, is at present the treatment of choice in patients with acute myeloid leukaemia (AML) under the age of 75 years. Since AML is a disease primarily of the elderly, a large proportion of patients do not receive this therapy; therefore, novel treatment modalities are warranted. In addition, younger patients with poor-risk cytogenetics often have unsatisfactory results with conventional chemotherapy, so novel treatment options would represent a significant advancement in the management of this disease. The encouraging results of low-dose schedules of demethylating agents in myelodysplastic syndromes (MDS) have stimulated interest in the use of these agents in patients with AML. The DNA methylator phenotype of MDS and AML offers a biological rationale for treating these patients with doses of demethylating agents which act by reverting the hypermethylated state to an unmethylated state rather than by ""classic"" cytotoxicity mechanisms typically associated with higher doses. However, many issues surrounding this therapy need to be unravelled, including the role of different target genes that may become demethylated, and the potential use of combination therapy of hypomethylating agents with other drugs. This review will provide a summary of epigenetic processes in AML and the role of the demethylating agent 5-aza-2'-deoxycytidine (decitabine; Dacogen, MGI Pharma, Inc, Bloomington, MN).","['776B62CQ27 (Decitabine)', 'EC 2.1.1.- (DNA Modification Methylases)', 'M801H13NRU (Azacitidine)']",37,,,,,,,,,,,,,,,,,,,
16015500,NLM,MEDLINE,20051006,20191109,0037-1963 (Print) 0037-1963 (Linking),42,3 Suppl 2,2005 Jul,Decitabine dosing schedules.,S17-22,"['Kantarjian, Hagop M', 'Issa, Jean-Pierre J']","['Kantarjian HM', 'Issa JP']","['Department of Leukemia, The University of Texas M.D. Anderson Cancer Center, Houston, TX 77030, USA. hkantarj@mdanderson.org']",['eng'],"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['Azacitidine/administration & dosage/*analogs & derivatives/toxicity', 'Decitabine', 'Dose-Response Relationship, Drug', 'Drug Administration Routes', 'Drug Administration Schedule', 'Humans', 'Neoplasms/drug therapy', 'Treatment Outcome']",2005/07/15 09:00,2005/10/07 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/07 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S0037196305000661 [pii]', '10.1053/j.seminhematol.2005.05.006 [doi]']",ppublish,Semin Hematol. 2005 Jul;42(3 Suppl 2):S17-22. doi: 10.1053/j.seminhematol.2005.05.006.,"5-Aza-2'-deoxycytidine (decitabine; Dacogen, MGI Pharma, Inc, Bloomington, MN) is a cytidine analog that inhibits DNA methyltransferases resulting in loss of DNA methylation with subsequent gene re-expression. This compound was first synthesized over 40 years ago and since that time much information has been learned regarding its mechanism of action. It took nearly 20 years before the dual mechanism of action was elucidated. At high doses decitabine is cytotoxic, while lower doses are associated with demethylating activity. This information sparked further clinical trials using a lower dosing schedule since the original studies using higher doses were associated with significant myelosuppression and induction toxicity. Current trials using lower dosing schedules, particularly in patients with hematologic malignancies, have shown significant promise for the future use of demethylating agents. Sequential and/or randomized phase I/II studies have suggested that decitabine is most active when administered at relatively low doses given via a short infusion. The drug is less active and more toxic when administered via continuous infusion, and increasing dose-intensity resulted in a higher response rate, suggesting a relationship between peak drug levels and response. Even with all the information we have learned, there is still a need to determine the optimal dosing schedule and the development of alternative dosing forms.","['776B62CQ27 (Decitabine)', 'M801H13NRU (Azacitidine)']",35,,,,,,['Semin Hematol. 2005 Oct;42(4):274'],,,,,,,,,,,,,
16015499,NLM,MEDLINE,20051006,20191109,0037-1963 (Print) 0037-1963 (Linking),42,3 Suppl 2,2005 Jul,Introduction: emerging role of epigenetic therapy: focus on decitabine.,S1-2,"['Issa, Jean-Pierre J', 'Kantarjian, Hagop M']","['Issa JP', 'Kantarjian HM']","['Department of Leukemia, M.D. Anderson Cancer Center, Houston, TX 77030, USA.']",['eng'],['Editorial'],United States,Semin Hematol,Seminars in hematology,0404514,IM,"['Azacitidine/administration & dosage/analogs & derivatives/therapeutic use', 'DNA Modification Methylases/antagonists & inhibitors', 'Decitabine', 'Epigenesis, Genetic/*drug effects', 'Humans', 'Neoplasms/*drug therapy', 'Treatment Outcome']",2005/07/15 09:00,2005/10/07 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/07 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['S0037196305000636 [pii]', '10.1053/j.seminhematol.2005.05.003 [doi]']",ppublish,Semin Hematol. 2005 Jul;42(3 Suppl 2):S1-2. doi: 10.1053/j.seminhematol.2005.05.003.,,"['776B62CQ27 (Decitabine)', 'EC 2.1.1.- (DNA Modification Methylases)', 'M801H13NRU (Azacitidine)']",,,,,,,,,,,,,,,,,,,,
16015410,NLM,MEDLINE,20051031,20191109,1076-0296 (Print) 1076-0296 (Linking),11,3,2005 Jul,Usefulness of measurement of reticulated platelets for diagnosis of idiopathic thrombocytopenic purpura.,253-61,"['Sakakura, Miho', 'Wada, Hideo', 'Abe, Yasunori', 'Nishioka, Junji', 'Tomatsu, Hiroaki', 'Hamaguchi, Yukio', 'Oguni, Shinichiro', 'Shiku, Hiroshi', 'Nobori, Tsutomu']","['Sakakura M', 'Wada H', 'Abe Y', 'Nishioka J', 'Tomatsu H', 'Hamaguchi Y', 'Oguni S', 'Shiku H', 'Nobori T']","['Second Department of Internal Medicine, Mie University Hospital, Tsu-city, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Clin Appl Thromb Hemost,Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,9508125,IM,"['Adult', 'Blood Platelets/pathology', 'Female', 'Humans', 'Male', 'Middle Aged', '*Platelet Count', 'Purpura, Thrombocytopenic, Idiopathic/blood/*diagnosis', 'Reference Values', 'Thrombocytopenia/blood/diagnosis']",2005/07/15 09:00,2005/11/01 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/11/01 09:00 [medline]', '2005/07/15 09:00 [entrez]']",['10.1177/107602960501100303 [doi]'],ppublish,Clin Appl Thromb Hemost. 2005 Jul;11(3):253-61. doi: 10.1177/107602960501100303.,"Reticulated platelets (RP) and large platelets (LP) were measured by an automated hematology analyzer (modified R-2000) in 287 healthy volunteers and 131 patients with thrombocytopenia or thrombocytosis. RP was significantly higher in patients with idiopathic thrombocytopenic purpura (ITP), especially in active phase, while RP was markedly lower in patients with essential thrombocytosis (ET) or chronic myelocytic leukemia (CML). LP was significantly higher in patients with ITP, especially in active phase, while LP was markedly lower in patients with aplastic anemia (AA), ET, or CML. In ITP, RP and LP were significantly higher in patients positive for anti-glycoprotein (Gp) IIb/IIIa antibody. RP and LP were poorly correlated with platelet-associated IgG (PAIgG). RP and LP were poorly correlated with plasma thrombopoietin levels, and negatively correlated with platelet count. These results show that RP reflects the pathology of thrombocytopenic disorders, and that measurement of RP is useful for the differential diagnosis and analysis of platelet kinetics.",,,,,,,,,,,,,,,,,,,,,
16015390,NLM,MEDLINE,20051020,20130304,0887-6924 (Print) 0887-6924 (Linking),19,9,2005 Sep,Tumor supernatant from myeloid malignancies inhibits T-cell apoptosis and cell cycle entry independently.,1699-702,"['Milojkovic, D', 'Buggins, A G S', 'Devereux, S', 'Thomas, N S B', 'Mufti, G J']","['Milojkovic D', 'Buggins AG', 'Devereux S', 'Thomas NS', 'Mufti GJ']",,['eng'],['Letter'],England,Leukemia,Leukemia,8704895,IM,"['Apoptosis/*drug effects/immunology', 'Cell Cycle/drug effects', 'Cells, Cultured', 'Coculture Techniques', 'Culture Media, Conditioned/metabolism/*pharmacology', 'Humans', 'Interleukin-2/antagonists & inhibitors', 'Karyotyping', 'Leukemia, Myeloid/genetics/*immunology/metabolism', 'Proto-Oncogene Proteins c-myc/antagonists & inhibitors', 'Retinoblastoma Protein/antagonists & inhibitors', 'T-Lymphocytes/cytology/*drug effects/immunology', 'Tumor Escape/immunology']",2005/07/15 09:00,2005/10/21 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/21 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['2403864 [pii]', '10.1038/sj.leu.2403864 [doi]']",ppublish,Leukemia. 2005 Sep;19(9):1699-702. doi: 10.1038/sj.leu.2403864.,,"['0 (Culture Media, Conditioned)', '0 (Interleukin-2)', '0 (Proto-Oncogene Proteins c-myc)', '0 (Retinoblastoma Protein)']",,,,,,,,,,,,,,,,,,,,
16015389,NLM,MEDLINE,20051020,20130304,0887-6924 (Print) 0887-6924 (Linking),19,9,2005 Sep,Targeting an MMP-9-activated prodrug to multiple myeloma-diseased bone marrow: a proof of principle in the 5T33MM mouse model.,1628-33,"['Van Valckenborgh, E', 'Mincher, D', 'Di Salvo, A', 'Van Riet, I', 'Young, L', 'Van Camp, B', 'Vanderkerken, K']","['Van Valckenborgh E', 'Mincher D', 'Di Salvo A', 'Van Riet I', 'Young L', 'Van Camp B', 'Vanderkerken K']","['Department of Haematology and Immunology, Vrije Universiteit Brussel (VUB), Brussels, Belgium.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Animals', 'Biotransformation', 'Bone Marrow Cells/*drug effects/metabolism', 'Cell Line', 'Disease Models, Animal', 'Dose-Response Relationship, Drug', 'Fluoresceins/chemical synthesis/metabolism/*therapeutic use', 'Fluorescence', 'Matrix Metalloproteinase 9/biosynthesis/*metabolism', 'Mice', 'Mice, Inbred C57BL', 'Molecular Conformation', 'Multiple Myeloma/*drug therapy/metabolism', 'Oligopeptides/chemical synthesis/metabolism/*therapeutic use', 'Organ Specificity/drug effects', 'Prodrugs/chemical synthesis/metabolism/*therapeutic use', 'Spleen/cytology/drug effects/metabolism']",2005/07/15 09:00,2005/10/21 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/21 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['2403866 [pii]', '10.1038/sj.leu.2403866 [doi]']",ppublish,Leukemia. 2005 Sep;19(9):1628-33. doi: 10.1038/sj.leu.2403866.,"Multiple myeloma (MM) is an incurable B-cell cancer characterised by the monoclonal proliferation of tumour cells in the bone marrow (BM). It has been described that matrix metalloproteinases (MMPs) and especially MMP-9 is secreted by MM cells. In this study, we investigated the possibility to exploit MMP-9 activity to activate prodrugs and to target MM cells as a new tumour-specific therapy. Cleavage of the prodrug EV1-FITC by MMP-9 resulted in release of fluorescence which can be used as a measure of prodrug activation. The 5T33MM mouse model was used in this proof-of-principle study. The prodrug was activated in a higher amount by addition to MMP-9-producing 5T33MMvv cells, homogenates from tumour-bearing organs (BM, spleen) and isolated 5T33MM-diseased BM and spleen cells compared to non-MMP-9-producing 5T33MMvt cells and homogenates/cells from non-tumour-bearing organs/mice, as measured by fluorescence release. This fluorescence release could be inhibited by the MMP-2/MMP-9-specific inhibitor, CTT. Activation of the prodrug in the 5T33MM spleen and BM homogenates was confirmed by chromatography. EV1-fluorescein isothiocyanate injection into 5T33MM-diseased animals resulted in a higher fluorescence release by the isolated BM and spleen cells compared to injection into healthy animals. In conclusion, MMP-9 activity can be used to activate prodrugs that target MM.","['0', '(1-(3-(fluoresceinylthioureidoalanyl-alanyl-alanyl-L-leucyl-glycyl-L-norvalyl-L-p', 'rolylamino)propylamino)anthracene-9,10-dione)', '0 (Fluoresceins)', '0 (Oligopeptides)', '0 (Prodrugs)', 'EC 3.4.24.35 (Matrix Metalloproteinase 9)']",,,,,,,,,,,,,,,,,,,,
16015388,NLM,MEDLINE,20051020,20181201,0887-6924 (Print) 0887-6924 (Linking),19,9,2005 Sep,Synergistic interactions between MEK1/2 and histone deacetylase inhibitors in BCR/ABL+ human leukemia cells.,1579-89,"['Yu, C', 'Dasmahapatra, G', 'Dent, P', 'Grant, S']","['Yu C', 'Dasmahapatra G', 'Dent P', 'Grant S']","['Department of Medicine, Massey Cancer Center, Virginia Commonwealth University, Richmond, VA 23298, USA.']",['eng'],"['Comparative Study', 'Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S."", 'Retracted Publication']",England,Leukemia,Leukemia,8704895,IM,"['Antigens, CD34/drug effects/metabolism', 'Apoptosis/drug effects', 'Benzamides/*pharmacology', 'Bone Marrow Cells/drug effects', 'Butadienes/pharmacology', 'Butyrates/pharmacology', 'Caspases/drug effects/metabolism', 'Cell Line, Tumor', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Enzyme Inhibitors/*pharmacology', 'Fusion Proteins, bcr-abl/drug effects/metabolism', '*Histone Deacetylase Inhibitors', 'Humans', 'Hydroxamic Acids/*pharmacology', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*metabolism', 'Mitochondria/drug effects/metabolism', 'Mitogen-Activated Protein Kinase Kinases/*antagonists & inhibitors', 'Nitriles/pharmacology', 'Vorinostat']",2005/07/15 09:00,2005/10/21 09:00,['2005/07/15 09:00'],"['2005/07/15 09:00 [pubmed]', '2005/10/21 09:00 [medline]', '2005/07/15 09:00 [entrez]']","['2403868 [pii]', '10.1038/sj.leu.2403868 [doi]']",ppublish,Leukemia. 2005 Sep;19(9):1579-89. doi: 10.1038/sj.leu.2403868.,"Interactions between the histone deacetylase inhibitor SAHA and the pharmacologic MEK1/2 inhibitor PD184352 were examined in Bcr/Abl+ human leukemia cells. Coadministration of minimally toxic concentrations of SAHA (or sodium butyrate) and PD184352 (or U0126) resulted in a synergistic increase in mitochondrial damage, caspase activation, and apoptosis in K562 and LAMA 84 cells. Similar interactions were observed in CD34+ cells from two patients with CML and in imatinib mesylate-resistant K562 cells but not in normal human CD34+ bone marrow cells. These events were associated with a marked increase in ROS generation, inactivation of ERK and Akt, downregulation of p21CIP1, Bcr/Abl, and cyclin D1, and activation of JNK. Of these events, ROS generation, ERK inactivation, and cytochrome c/AIF release were largely caspase-independent, whereas the other phenomena displayed varying degrees of caspase-dependence. Using pharmacologic and genetic approaches, generation of ROS, p21CIP1 downregulation, and inactivation of Akt and MEK were found to play significant functional roles in SAHA/PD184352-mediated lethality, whereas JNK activation and Raf-1 downregulation were determined to represent secondary events. These findings indicate that interruption of the MEK/ERK pathway substantially lowers the threshold for HDAC inhibitor-mediated oxidative injury, mitochondrial dysfunction, and apoptosis, suggesting that this approach warrants further examination in Bcr/Abl+-related malignancies.","['0 (2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide)', '0 (Antigens, CD34)', '0 (Benzamides)', '0 (Butadienes)', '0 (Butyrates)', '0 (Enzyme Inhibitors)', '0 (Histone Deacetylase Inhibitors)', '0 (Hydroxamic Acids)', '0 (Nitriles)', '0 (U 0126)', '58IFB293JI (Vorinostat)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.12.2 (Mitogen-Activated Protein Kinase Kinases)', 'EC 3.4.22.- (Caspases)']",,,,"['NIH Guide Grants Contracts. 2015 Dec 18;:NOT-OD-16-040. PMID: 26693581', 'Fed Regist. 2015 Dec 10;80(237):76703-76704. PMID: 27737268']","['CA 100866/CA/NCI NIH HHS/United States', 'CA63753/CA/NCI NIH HHS/United States', 'CA72955/CA/NCI NIH HHS/United States', 'CA88906/CA/NCI NIH HHS/United States', 'CA93738/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,['Leukemia. 2016 Jun;30(6):1452. PMID: 27055874'],,
