PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CON,AB,AD,GR,CIN,EIN,CN,RF,CI,PMC,DEP,TT,MID,SI,LID,PS,FPS,OID,OTO,OT,GN
11965606,NLM,MEDLINE,20020509,20191025,0001-2998 (Print) 0001-2998 (Linking),32,2,2002 Apr,Phase I study of peptide receptor radionuclide therapy with [In-DTPA]octreotide: the Rotterdam experience.,110-22,"['Valkema, Roelf', 'De Jong, Marion', 'Bakker, Willem H', 'Breeman, Wout A p', 'Kooij, Peter P m', 'Lugtenburg, Pieternella J', 'De Jong, Frank H', 'Christiansen, Arjan', 'Kam, Boen L r', 'De Herder, Wouter W', 'Stridsberg, Mats', 'Lindemans, Jan', 'Ensing, Geert', 'Krenning, Eric P']","['Valkema R', 'De Jong M', 'Bakker WH', 'Breeman WA', 'Kooij PP', 'Lugtenburg PJ', 'De Jong FH', 'Christiansen A', 'Kam BL', 'De Herder WW', 'Stridsberg M', 'Lindemans J', 'Ensing G', 'Krenning EP']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase I', 'Journal Article']",United States,Semin Nucl Med,Seminars in nuclear medicine,1264464,"['0 (Radiopharmaceuticals)', '0 (Receptors, Somatostatin)', '142694-57-3 (SDZ 215-811)', '7A314HQM0I (Pentetic Acid)', 'RWM8CCW8GP (Octreotide)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Humans', 'Male', 'Middle Aged', 'Neoplasms/chemistry/diagnostic imaging/*radiotherapy', 'Neuroendocrine Tumors/diagnostic imaging/radiotherapy', 'Octreotide/administration & dosage/adverse effects/*analogs & derivatives/*therapeutic use', 'Pentetic Acid/administration & dosage/adverse effects/*analogs & derivatives/*therapeutic use', 'Radionuclide Imaging', 'Radiopharmaceuticals/administration & dosage/adverse effects/*therapeutic use', 'Radiotherapy Dosage', 'Receptors, Somatostatin/analysis']",2002/04/20 10:00,2002/05/10 10:01,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/05/10 10:01 [medline]', '2002/04/20 10:00 [entrez]']","['S0001299802500155 [pii]', '10.1053/snuc/2002.31025 [doi]']",ppublish,Semin Nucl Med. 2002 Apr;32(2):110-22. doi: 10.1053/snuc/2002.31025.,,"Fifty patients with somatostatin receptor-positive tumors were treated with multiple doses of [(111)In-diethylenetriamine pentaacetic acid(0)]octreotide. Forty patients were evaluable after cumulative doses of at least 20 GBq up to 160 GBq. Therapeutic effects were seen in 21 patients: partial remission in 1 patient, minor remissions in 6 patients, and stabilization of previously progressive tumors in 14 patients. Our results thus underscore the therapeutic potential of Auger-emitting radiolabelled peptides. The toxicity was generally mild bone marrow toxicity, but 3 of the 6 patients who received more than 100 GBq developed a myelodysplastic syndrome or leukemia. Therefore, we consider 100 GBq as the maximal tolerable dose. With a renal radiation dose of 0.45 mGy/MBq (based on previous studies) a cumulative dose of 100 GBq [(111)In-DTPA(0)]octreotide will lead to 45Gy on the kidneys, twice the accepted limit for external beam radiation. However, no development of hypertension, proteinuria, or significant changes in serum creatinine or creatinine clearance were observed in our patients including 2 patients who received 106 and 113 GBq [(111)In-DTPA(0)]octreotide without protection with amino acids, over a follow-up period of respectively 3 and 2 years. These findings show that the radiation of the short-range (maximal 10 microns) Auger electrons originating from the cells of the proximal tubules is not harmful for the renal function. The decrease in serum inhibin B and concomitant increase of serum FSH levels in men indicate that the spermatogenesis was impaired.","['Department of Nuclear Medicine, Erasmus MC, Rotterdam, The Netherlands.']",,,,,,"['Copyright 2002, Elsevier Science.']",,,,,,,,,,,,
11965547,NLM,MEDLINE,20020513,20081121,0950-9232 (Print) 0950-9232 (Linking),21,17,2002 Apr 18,Inactivation of p57KIP2 by regional promoter hypermethylation and histone deacetylation in human tumors.,2741-9,"['Kikuchi, Takefumi', 'Toyota, Minoru', 'Itoh, Fumio', 'Suzuki, Hiromu', 'Obata, Toshiro', 'Yamamoto, Hiroyuki', 'Kakiuchi, Hideki', 'Kusano, Masanobu', 'Issa, Jean-Pierre J', 'Tokino, Takashi', 'Imai, Kohzoh']","['Kikuchi T', 'Toyota M', 'Itoh F', 'Suzuki H', 'Obata T', 'Yamamoto H', 'Kakiuchi H', 'Kusano M', 'Issa JP', 'Tokino T', 'Imai K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (CDKN1C protein, human)', '0 (Chromatin)', '0 (Cyclin-Dependent Kinase Inhibitor p57)', '0 (DNA Primers)', '0 (DNA, Neoplasm)', '0 (Histones)', '0 (Nuclear Proteins)', '63231-63-0 (RNA)']",IM,"['Acetylation', 'Chromatin/metabolism', 'CpG Islands/physiology', 'Cyclin-Dependent Kinase Inhibitor p57', '*DNA Methylation', 'DNA Primers/chemistry', 'DNA, Neoplasm/genetics/metabolism', 'Gene Expression Regulation, Neoplastic', '*Gene Silencing', 'Histones/*metabolism', 'Humans', 'Neoplasms/*genetics', 'Nuclear Proteins/*genetics/metabolism', 'Promoter Regions, Genetic', 'RNA/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Transcription, Genetic', 'Tumor Cells, Cultured']",2002/04/20 10:00,2002/05/15 10:01,['2002/04/20 10:00'],"['2001/10/15 00:00 [received]', '2002/01/29 00:00 [revised]', '2002/01/31 00:00 [accepted]', '2002/04/20 10:00 [pubmed]', '2002/05/15 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1038/sj.onc.1205376 [doi]'],ppublish,Oncogene. 2002 Apr 18;21(17):2741-9. doi: 10.1038/sj.onc.1205376.,,"To clarify the role of DNA methylation in the silencing of the expression of cyclin-dependent kinase inhibitor p57KIP2 seen in certain tumors, we investigated the methylation status of its 5' CpG island in various tumor cell lines and primary cancers. Dense methylation of the region around the transcription start site was detected in 1 out of 10 colorectal, 2 out of 8 gastric, and 6 out of 14 hematopoietic tumor cell lines and in 5 out of 35 (14%) gastric, 6 out of 20 (30%) hepatocellular, and 2 out of 18 (11%) pancreatic cancers; 7 out of 25 (28%) acute myeloid leukemia cases also showed methylation of the p57KIP2 gene, which strongly correlated with the CpG island methylator phenotype (P<0.001). Detailed mapping revealed that dense methylation of the region around the transcription start site (-300 to +400), but not of the edges of the CpG island, was closely associated with gene silencing. 5-aza-2'-deoxycytidine, a methyltransferase inhibitor, restored expression of p57KIP2, and chromatin immunoprecipitation using anti-histone H3 and H4 antibodies showed histone to be deacetylated in cell lines where p57KIP2 was methylated at the transcription start site. Regional methylation and histone deacetylation thus appear to be crucially involved in the silencing of p57KIP2 expression in human tumors.","['First Department of Internal Medicine, Sapporo Medical University, Sapporo 060-8543, Japan.']",,,,,,,,,,,,,,,,,,
11965546,NLM,MEDLINE,20020513,20151119,0950-9232 (Print) 0950-9232 (Linking),21,17,2002 Apr 18,MOZ and MORF histone acetyltransferases interact with the Runt-domain transcription factor Runx2.,2729-40,"['Pelletier, Nadine', 'Champagne, Nathalie', 'Stifani, Stefano', 'Yang, Xiang-Jiao']","['Pelletier N', 'Champagne N', 'Stifani S', 'Yang XJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (Core Binding Factor Alpha 1 Subunit)', '0 (Neoplasm Proteins)', '0 (Oligopeptides)', '0 (Peptides)', '0 (Saccharomyces cerevisiae Proteins)', '0 (Transcription Factors)', '98849-88-8 (FLAG peptide)', 'EC 1.13.12.- (Luciferases)', 'EC 2.3.1.- (Acetyltransferases)', 'EC 2.3.1.48 (Histone Acetyltransferases)', 'EC 2.3.1.48 (KAT6A protein, human)']",IM,"['3T3 Cells', 'Acetyltransferases/genetics/*metabolism', 'Animals', 'Baculoviridae/physiology', 'Core Binding Factor Alpha 1 Subunit', 'Histone Acetyltransferases', 'Humans', 'Luciferases/metabolism', 'Mice', '*Neoplasm Proteins', 'Oligopeptides', 'Peptides', 'Polymerase Chain Reaction', 'Protein Binding', '*Saccharomyces cerevisiae Proteins', 'Transcription Factors/genetics/*metabolism', 'Transcription, Genetic']",2002/04/20 10:00,2002/05/15 10:01,['2002/04/20 10:00'],"['2001/12/04 00:00 [received]', '2002/01/18 00:00 [revised]', '2002/01/21 00:00 [accepted]', '2002/04/20 10:00 [pubmed]', '2002/05/15 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1038/sj.onc.1205367 [doi]'],ppublish,Oncogene. 2002 Apr 18;21(17):2729-40. doi: 10.1038/sj.onc.1205367.,,"The monocytic leukemia zinc finger protein MOZ and its homologue MORF have been implicated in leukemogenesis. Both MOZ and MORF are histone acetyltransferases with weak transcriptional repression domains and strong transcriptional activation domains, suggesting that they may function as transcriptional coregulators. Here we describe that MOZ and MORF both interact with Runx2 (or Cbfa1), a Runt-domain transcription factor that is known to play important roles in T cell lymphomagenesis and bone development. Through its C-terminal SM (serine- and methionine-rich) domain, MORF binds to Runx2 in vitro and in vivo. Consistent with this, the SM domain of MORF also binds to Runx1 (or AML1), a Runx2 homologue that is frequently altered by leukemia-associated chromosomal translocations. While MORF does not acetylate Runx2, its SM domain potentiates Runx2-dependent transcriptional activation. Moreover, endogenous MORF is required for transcriptional activation by Runx2. Intriguingly, Runx2 negatively regulates the transcriptional activation potential of the SM domain. Like that of MORF, the SM domain of MOZ physically and functionally interacts with Runx2. These results thus identify Runx2 as an interaction partner of MOZ and MORF and suggest that both acetyltransferases are involved in regulating transcriptional activation mediated by Runx2 and its homologues.","['Molecular Oncology Group, Department of Medicine, McGill University Health Center, Quebec, Canada.']",,,,,,,,,,,,,,,,,,
11965542,NLM,MEDLINE,20020513,20171116,0950-9232 (Print) 0950-9232 (Linking),21,17,2002 Apr 18,"The t(3;21) fusion product, AML1/Evi-1 blocks AML1-induced transactivation by recruiting CtBP.",2695-703,"['Izutsu, Koji', 'Kurokawa, Mineo', 'Imai, Yoichi', 'Ichikawa, Motoshi', 'Asai, Takashi', 'Maki, Kazuhiro', 'Mitani, Kinuko', 'Hirai, Hisamaru']","['Izutsu K', 'Kurokawa M', 'Imai Y', 'Ichikawa M', 'Asai T', 'Maki K', 'Mitani K', 'Hirai H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA-Binding Proteins)', '0 (MDS1 and EVI1 Complex Locus Protein)', '0 (MECOM protein, human)', '0 (Phosphoproteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Transcription Factors)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '63231-63-0 (RNA)', 'EC 1.1.- (Alcohol Oxidoreductases)', 'EC 1.1.1.- (C-terminal binding protein)', 'EC 3.5.1.98 (Histone Deacetylases)']",IM,"['Alcohol Oxidoreductases', 'Animals', '*Artificial Gene Fusion', 'Binding Sites', 'Blotting, Northern', 'Blotting, Western', 'Cell Differentiation', 'Chromosomes, Human, Pair 21/*genetics', 'Chromosomes, Human, Pair 3/*genetics', 'Core Binding Factor Alpha 2 Subunit', 'Cricetinae', 'DNA-Binding Proteins/genetics/*metabolism/pharmacology', 'Gene Expression Regulation, Neoplastic', 'Granulocyte Colony-Stimulating Factor/pharmacology', 'Granulocytes/cytology/metabolism', 'Histone Deacetylases/metabolism', 'Humans', 'Leukemia, Myeloid/*metabolism', 'MDS1 and EVI1 Complex Locus Protein', 'Phosphoproteins/*metabolism', 'Precipitin Tests', '*Proto-Oncogene Proteins', '*Proto-Oncogenes', 'RNA/metabolism', 'Sequence Deletion', 'Transcription Factors/genetics/*metabolism/pharmacology', 'Transcription, Genetic']",2002/04/20 10:00,2002/05/15 10:01,['2002/04/20 10:00'],"['2001/09/18 00:00 [received]', '2002/01/21 00:00 [revised]', '2002/01/22 00:00 [accepted]', '2002/04/20 10:00 [pubmed]', '2002/05/15 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1038/sj.onc.1205356 [doi]'],ppublish,Oncogene. 2002 Apr 18;21(17):2695-703. doi: 10.1038/sj.onc.1205356.,,"AML1/Evi-1 is a chimeric protein that is derived from t(3;21), found in blastic transformation of chronic myelogenous leukemia. It is composed of the N-terminal AML1 portion with the DNA-binding Runt domain and the C-terminal Evi-1 portion. It has been shown to dominantly repress AML1-induced transactivation. The mechanism for it has been mainly attributed to competition with AML1 for the DNA-binding and for the interaction with PEBP2beta (CBFbeta), a partner protein which heterodimerizes with AML1. It was recently found that Evi-1 interacts with C-terminal binding protein (CtBP) to repress TGFbeta-induced transactivation. Here, we demonstrate that AML1/Evi-1 interacts with CtBP in SKH1 cells, a leukemic cell line which endogenously overexpresses AML1/Evi-1 and that AML1/Evi-1 requires the interaction with CtBP to repress AML1-induced transactivation. The association with CtBP is also required when AML1/Evi-1 blocks myeloid differentiation of 32Dcl3 cells induced by granulocyte colony-stimulating factor. Taken together, it is suggested that one of the mechanisms for AML1/Evi-1-associated leukemogenesis should be an aberrant recruitment of a corepressor complex by the chimeric protein.","['Department of Hematology and Oncology, Graduate School of Medicine, University of Tokyo, Tokyo 113-8655, Japan.']",,,,,,,,,,,,,,,,,,
11965234,NLM,MEDLINE,20020614,20171221,1073-2748 (Print) 1073-2748 (Linking),9,2,2002 Mar-Apr,Cancer vaccines for hematologic malignancies.,138-51,"['Borrello, Ivan M', 'Sotomayor, Eduardo M']","['Borrello IM', 'Sotomayor EM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,9438457,"['0 (Antigens, Neoplasm)', '0 (Cancer Vaccines)', '0 (Epitopes)']",IM,"['Animals', 'Antigens, Neoplasm/therapeutic use', 'Bone Marrow Transplantation', 'Cancer Vaccines/*immunology/*therapeutic use', 'Clinical Trials as Topic', 'Epitopes', 'Forecasting', 'Hematologic Neoplasms/*immunology/*therapy', 'Humans', 'Immune System/drug effects/immunology', 'Leukemia, Myeloid/immunology/therapy', 'Treatment Outcome']",2002/04/20 10:00,2002/06/18 10:01,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1177/107327480200900206 [doi]'],ppublish,Cancer Control. 2002 Mar-Apr;9(2):138-51. doi: 10.1177/107327480200900206.,,"BACKGROUND: Improvements in the identification of tumor-associated antigens and in our understanding of the mechanisms regulating antitumor immune responses have revived interest in the use of therapeutic cancer vaccination. Due to their unique characteristics, hematologic malignancies represent an ideal target for vaccine-based therapeutic interventions. METHODS: A review of published vaccine studies in experimental models as well as the results of clinical trials using vaccines for patients with hematologic tumors is presented. RESULTS: Tumor vaccine strategies can be divided into two categories: antigen-specific strategies, in which the tumor antigens have been identified and can be isolated to develop a molecularly defined vaccine, and cellular or non-antigen-specific, in which the tumor-specific antigens are unknown but presumed to exist within the material used to generate the vaccine. Early clinical trials have shown not only the feasibility and safety of either approach but also the obstacles in therapeutic cancer vaccination as an effective treatment modality for hematologic malignancies. CONCLUSIONS: Active immunization using current cancer vaccine approaches is feasible and safe. Although no major successes have been reported, the positive clinical results observed in some patients support the potential for therapeutic cancer vaccination in the management of hematologic malignancies. Results of studies that are testing vaccine formulations, targets, and settings (eg, bone marrow transplantation) may support the use of cancer vaccination as an efficient therapeutic strategy against tumors of hematologic origin.","['Department of Oncology at the Johns Hopkins University School of Medicine, Baltimore, MD 21231, USA. iborrell@jhmi.edu']",,,,,98,,,,,,,,,,,,,
11965233,NLM,MEDLINE,20020614,20201226,1073-2748 (Print) 1073-2748 (Linking),9,2,2002 Mar-Apr,Donor lymphocyte infusions to treat hematologic malignancies in relapse after allogeneic blood or marrow transplantation.,123-37,"['Luznik, Leo', 'Fuchs, Ephraim J']","['Luznik L', 'Fuchs EJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,9438457,,IM,"['*Blood Transfusion', '*Bone Marrow Transplantation/trends', 'Europe/epidemiology', 'Forecasting', 'Graft vs Host Disease/immunology/therapy', 'Hematologic Neoplasms/*immunology/*therapy', 'Hematopoietic Stem Cell Transplantation/trends', 'Humans', 'Immunotherapy, Adoptive/trends', 'Leukemia/immunology/therapy', '*Lymphocyte Transfusion/standards', 'Lymphocytes/*blood/*immunology', 'Medicine in the Arts', 'North America/epidemiology', 'Recurrence', '*Tissue Donors', 'Transplantation, Homologous/trends', 'Treatment Outcome']",2002/04/20 10:00,2002/06/18 10:01,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1177/107327480200900205 [doi]'],ppublish,Cancer Control. 2002 Mar-Apr;9(2):123-37. doi: 10.1177/107327480200900205.,,"BACKGROUND: Patients with hematologic malignancies in relapse after allogeneic bone marrow transplantation can be treated by infusing leukocytes from the original stem cell donor. METHODS: The published literature on donor lymphocyte infusion (DLI) was reviewed. RESULTS: DLI induces complete remissions in the majority of patients with chronic myeloid leukemia (CML) in early-stage relapse and in less than 30% of patients with relapsed acute leukemia, myelodysplasia, and multiple myeloma. DLI-induced remissions of chronic phase CML are durable, but as many as half of patients with other diseases ultimately relapse. Complications of DLI include acute and chronic graft-vs-host disease (GVHD) and aplasia, which induce profound immunosuppression and susceptibility to opportunistic infections. There is a strong correlation of GVHD and disease response. CONCLUSIONS: Novel methods of augmenting the antitumor efficacy of DLI and of dissociating the graft-vs-leukemia effect from GVHD are needed. These studies will require an improved understanding of the cellular and molecular mechanisms of alloreactivity and the development of novel agents to control the nature and intensity of the alloimmune response.","['Divisions of Hematologic Malignancies and Immunology/Hematopoiesis, Johns Hopkins Oncology Center, Baltimore, MD 21231, USA. fuchsep@jhmi.edu']",['P01-CA15396A1/CA/NCI NIH HHS/United States'],,,,142,,,,,,,,,,,,,
11965232,NLM,MEDLINE,20020614,20171221,1073-2748 (Print) 1073-2748 (Linking),9,2,2002 Mar-Apr,T-cell therapy of leukemia.,114-22,"['Riddell, Stanley R', 'Murata, Makoto', 'Bryant, Sophia', 'Warren, Edis H']","['Riddell SR', 'Murata M', 'Bryant S', 'Warren EH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,9438457,['0 (Minor Histocompatibility Antigens)'],IM,"['Animals', 'Graft vs Host Disease/immunology/therapy', 'Graft vs Leukemia Effect/immunology', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunotherapy, Adoptive', 'Leukemia/*immunology/*therapy', 'Minor Histocompatibility Antigens/immunology/therapeutic use', 'T-Lymphocytes/*immunology', 'Tissue Donors', 'Transplantation, Homologous/immunology']",2002/04/20 10:00,2002/06/18 10:01,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1177/107327480200900204 [doi]'],ppublish,Cancer Control. 2002 Mar-Apr;9(2):114-22. doi: 10.1177/107327480200900204.,,"BACKGROUND: The demonstration that immune-mediated elimination of leukemia contributes to the success of allogeneic hematopoietic stem cell transplantation (HSCT) has renewed interest in the development of immune-based therapies that might be used to augment the antileukemic effect of HSCT or in patients who are not receiving HSCT. METHODS: The authors reviewed studies that have analyzed the mechanisms that may be operative in T-cell recognition of leukemia after allogeneic HSCT, identified candidate target antigens for immunotherapy of leukemia in transplant and nontransplant patients, and evaluated expression of candidate antigens on leukemic progenitors. RESULTS: A large number of potential targets for T-cell therapy or vaccination have now been identified in human leukemia. Studies to evaluate novel immune-based therapies are now being initiated. CONCLUSIONS: The rapid pace of progress in cellular and molecular immunology has identified new opportunities for developing T-cell therapy or vaccination for leukemia. Obstacles must be addressed before these approaches can be applied broadly, but the promising results of preclinical studies suggest continued efforts in this area will result in the establishment of immunotherapy as a useful modality in clinical practice.","['Immunology Program, Fred Hutchinson Cancer Research Center, Seattle WA 98109, USA. sriddell@fhcrc.org']",['CA18029/CA/NCI NIH HHS/United States'],,,,54,,,,,,,,,,,,,
11965231,NLM,MEDLINE,20020614,20171221,1073-2748 (Print) 1073-2748 (Linking),9,2,2002 Mar-Apr,Radioimmunotherapy for acute leukemia.,106-13,"['Burke, John M', 'Jurcic, Joseph G', 'Scheinberg, David A']","['Burke JM', 'Jurcic JG', 'Scheinberg DA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,9438457,"['0 (Antibodies, Monoclonal)', '0 (Antineoplastic Agents)', '0 (Radioisotopes)']",IM,"['Acute Disease', 'Alpha Particles/therapeutic use', 'Antibodies, Monoclonal/*immunology/therapeutic use', 'Antineoplastic Agents/*immunology/therapeutic use', 'Beta Particles/therapeutic use', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Humans', 'Leukemia/*immunology/*radiotherapy', 'Medicine in the Arts', '*Radioimmunotherapy', 'Radioisotopes/*immunology/therapeutic use', 'Treatment Outcome']",2002/04/20 10:00,2002/06/18 10:01,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1177/107327480200900203 [doi]'],ppublish,Cancer Control. 2002 Mar-Apr;9(2):106-13. doi: 10.1177/107327480200900203.,,"BACKGROUND: The use of monoclonal antibodies to deliver radioactive isotopes directly to tumor cells has become a promising strategy to enhance the antitumor effects of native monoclonal antibodies. In this article, we summarize the role of radioimmunotherapy in the treatment of leukemia. METHODS: The authors reviewed the published clinical trials of radioimmunotherapy in acute leukemia. RESULTS: Radioimmunoconjugates that emit beta-particles, such as 131I-anti-CD33, 90Y-anti-CD33, 131I-anti-CD45, and 188Re-anti-CD66c, deliver significant doses of radiation to the bone marrow and may be particularly effective when used as part of a conditioning regimen for hematopoietic stem cell transplantation. Radioimmunoconjugates that emit short-ranged alpha-particles, such as 213Bi-anti-CD33, are better suited for the treatment of low-volume or residual disease. CONCLUSIONS: Radiolabeled antibodies can be administered safely to patients with advanced leukemias and have significant antileukemic activity. Radiolabeled antibodies can potentially intensify the antileukemic effects of conditioning regimens when used in conjunction with hematopoietic stem cell transplantation. Whether or not radiolabeled antibodies improve the outcome of patients with leukemia remains to be demonstrated by randomized studies.","['Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York, NY 10021, USA. burkej@mskcc.org']",,,,,42,,,,,,,,,,,,,
11965230,NLM,MEDLINE,20020614,20171221,1073-2748 (Print) 1073-2748 (Linking),9,2,2002 Mar-Apr,Immunotherapy of hematologic malignancies: the road to the future.,97-8,"['Sotomayor, Eduardo M', 'Loughran, Thomas P']","['Sotomayor EM', 'Loughran TP']",['eng'],['Editorial'],United States,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,9438457,"['0 (Antibodies)', '0 (Immunosuppressive Agents)']",IM,"['Antibodies/immunology/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy/trends', 'Forecasting', 'Hematologic Neoplasms/*immunology/*therapy', 'Humans', 'Immune System/drug effects', 'Immunosuppressive Agents/immunology/therapeutic use', '*Immunotherapy/trends', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/therapy', 'Radioimmunotherapy', 'Treatment Outcome']",2002/04/20 10:00,2002/06/18 10:01,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/04/20 10:00 [entrez]']",['10.1177/107327480200900201 [doi]'],ppublish,Cancer Control. 2002 Mar-Apr;9(2):97-8. doi: 10.1177/107327480200900201.,,,,,,,,,,,,,,,,,,,,,
11965121,NLM,MEDLINE,20021213,20061115,0181-5512 (Print) 0181-5512 (Linking),25,1,2002 Jan,[Ophthalmic manifestations of acute leukemia].,62-6,"['Charif Chefchaouni, M', 'Belmekki, M', 'Hajji, Z', 'Tahiri, H', 'Amrani, R', 'El Bakkali, M', 'Msefer Alaoui, F', 'Berraho, A']","['Charif Chefchaouni M', 'Belmekki M', 'Hajji Z', 'Tahiri H', 'Amrani R', 'El Bakkali M', 'Msefer Alaoui F', 'Berraho A']",['fre'],"['English Abstract', 'Journal Article']",France,J Fr Ophtalmol,Journal francais d'ophtalmologie,7804128,,IM,"['Acute Disease', 'Child', 'Child, Preschool', 'Eye Diseases/*etiology', 'Female', 'Humans', 'Leukemia/*complications', 'Male', 'Retrospective Studies']",2002/04/20 10:00,2002/12/17 04:00,['2002/04/20 10:00'],"['2002/04/20 10:00 [pubmed]', '2002/12/17 04:00 [medline]', '2002/04/20 10:00 [entrez]']",['MDOI-JFO-01-2002-25-1-0181-5513-101019-ART11 [pii]'],ppublish,J Fr Ophtalmol. 2002 Jan;25(1):62-6.,,"Orbital and ocular lesions are the third most frequent extramedullar locations of acute leukemia after the meninges and testicles. These lesions are treated as a central nervous system lesion; therefore diagnosis is essential to therapeutic adjustment. We present a retrospective study on charts of children treated for acute leukemia between 1996 and 1998. Ophthalmic examination was carried out when there were ocular symptoms. One hundred ninety-six children were treated for acute leukemia. Twelve children (6.1%) had an ocular and orbital lesion: 7 boys and 5 girls, with an average age of 6 years. Six had acute lymphoblastic leukemia, 6 had acute myeloid leukemia. Visual acuity was 1/10 in 9 children. Four children had an initial orbital lesion with a rapidly progressing exophthalmos. The hemogram and myelogram showed a granulocytic sarcoma. Two children who had been previously treated for acute leukemia presented a bilateral anterior uveitis with hypopyon; anterior chamber paracentesis showed blast cells and confirmed the ocular relapse. A corneal lesion was found in 2 children and in 2 cases, the optic nerve had edema; a decrease in visual acuity was the sign of the optic nerve lesion. Two patients had retinal infiltration with hemorrhages in the posterior pole. Prophylaxis consists of intrathecal injection of methotrexate and reinforcement of chemotherapy. Central nervous system irradiation is seldom used in children. Orbital and ocular lesions carry a poor prognosis according to the majority of authors. Two years after diagnosis of the ocular lesions, only 1 of the children studied remains alive.","[""Service d'Ophtalmologie B , Hopital des Specialites, France.""]",,,,,,,,,Manifestations ophtalmologiques des leucemies aigues.,,,,,,,,,
