PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,RF,CIN,TT,OTO,OT,CN,CON,SI,OID,EIN,RIN,IR,FIR,COIS,ROF
18772612,NLM,MEDLINE,20090213,20080905,1883-0498 (Electronic) 0023-2513 (Linking),54,2,2008 Jul 18,Case report: Iridium 192-health effects during 20 years after irradiation.,E108-13,,"This Case Report has presented health effects of high level of irradiation with gamma rays from Ir 192m on the patient M. L. during 21 years after the accident. The main purpose of this investigation was to analyze long time consequences of partial high-level irradiation on human health. Locally, short-term irradiation, with high deadly dose, caused acute radiation syndrome with reversible disorder function of the individual, most exposed, organs. Frequency of chromosomal aberrations (dicentric), characteristic for direct irradiation, was increased. However, dicentric analyzes did not give expected result for an acute radioactivity illness. Radio dermatitis had begun already after the incident, while changes on the heart began not earlier than six months and gradually have been increased up to two years after the incident. Irradiated parts of the patient skin have been replaced with auto-transplanted skin and appropriate therapy had been taken. More than two decades after the irradiation, system (leukemia) nor solitary tumor on near organs (liver, heart, lungs, bones) have not been appeared. Radiation illness did not happen in spite of very large dose, because impacts had been local and body was unlikely irradiated. Also, an appropriate therapy was organized and other potential illnesses did not appear.",,"['Milacic, Snezana', 'Simic, Jadranko']","['Milacic S', 'Simic J']","['Faculty of Medicine, University of Belgrade, Institute of Occupational Medicine and Radiological Protection, Belgrade, Serbia.']",['eng'],,['Journal Article'],Japan,Kobe J Med Sci,The Kobe journal of medical sciences,0413531,['0 (Iridium Radioisotopes)'],IM,"['Chromosome Aberrations/*radiation effects', 'Gamma Rays/*adverse effects', 'Humans', 'Iridium Radioisotopes/*adverse effects', 'Radiation', 'Radiation Injuries/*epidemiology', 'Radioactive Hazard Release', 'Serbia', 'Skin/radiation effects', '*Skin Transplantation']",,,2008/09/06 09:00,2009/02/14 09:00,['2008/09/06 09:00'],"['2008/09/06 09:00 [pubmed]', '2009/02/14 09:00 [medline]', '2008/09/06 09:00 [entrez]']",,epublish,Kobe J Med Sci. 2008 Jul 18;54(2):E108-13.,20080718,,,,,,,,,,,,,,,
18772587,NLM,MEDLINE,20090127,20151119,1421-9697 (Electronic) 0250-6807 (Linking),53,1,2008,Vegetarian diet affects genes of oxidative metabolism and collagen synthesis.,29-32,10.1159/000152871 [doi],"BACKGROUND/AIM: A vegetarian diet is known to prevent a series of diseases but may influence the balance of carbohydrate and fat metabolism as well as collagen synthesis. This study compares expression patterns of relevant genes in oral mucosa of omnivores and vegetarians. METHODS: Quantitative reverse transcriptase polymerase chain reaction was applied for analysis of mRNA levels from carnitine transporter OCTN2, hepatic CPT1A and nonhepatic CPT1B isoforms of carnitine palmitoyltransferase and collagen (CCOL2A1) in oral mucosa. RESULTS: Compared with volunteers with traditional eating habits, carbohydrate consumption was significantly higher (+22%) in vegetarians. This was associated with a significant stimulation of CPT1A (+50%) and OCTN2 (+10%) and a lowered collagen synthesis (-10%). CONCLUSION: These novel findings provide further insight into the association of a changed fat metabolism and reduced collagen synthesis in vegetarians, which could also play a role in the aging process.","['Copyright 2008 S. Karger AG, Basel.']","['Karlic, Heidrun', 'Schuster, Daniela', 'Varga, Franz', 'Klindert, Gerhard', 'Lapin, Alexander', 'Haslberger, Alexander', 'Handschur, Michael']","['Karlic H', 'Schuster D', 'Varga F', 'Klindert G', 'Lapin A', 'Haslberger A', 'Handschur M']","['Ludwig Boltzmann Institute for Leukemia Research and Hematology, Hanusch Hospital, Vienna, Austria. heidrun.karlic@meduniwien.ac.at']",['eng'],,['Journal Article'],Switzerland,Ann Nutr Metab,Annals of nutrition & metabolism,8105511,"['0 (Organic Cation Transport Proteins)', '0 (RNA, Messenger)', '9007-34-5 (Collagen)', 'EC 2.3.1.21 (Carnitine O-Palmitoyltransferase)', 'S7UI8SM58A (Carnitine)']",IM,"['Adolescent', 'Adult', 'Carnitine/genetics/metabolism', 'Carnitine O-Palmitoyltransferase/genetics/*metabolism', 'Collagen/*biosynthesis/genetics', '*Diet, Vegetarian', 'Energy Metabolism/*physiology', 'Female', 'Humans', 'Male', 'Mouth Mucosa/*metabolism', 'Organic Cation Transport Proteins/*biosynthesis/genetics', 'Oxidation-Reduction', 'RNA, Messenger/biosynthesis/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Young Adult']",,,2008/09/06 09:00,2009/01/28 09:00,['2008/09/06 09:00'],"['2007/07/05 00:00 [received]', '2008/06/17 00:00 [accepted]', '2008/09/06 09:00 [pubmed]', '2009/01/28 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['000152871 [pii]', '10.1159/000152871 [doi]']",ppublish,Ann Nutr Metab. 2008;53(1):29-32. doi: 10.1159/000152871. Epub 2008 Sep 5.,20080905,,,,,,,,,,,,,,,
18772536,NLM,MEDLINE,20081016,20190911,0369-4305 (Print) 0369-4305 (Linking),64,8,2008 Aug 20,[Preliminary survey for communicating risk in medical exposure--perception of risk among nurses working in radiology].,937-47,,"A questionnaire survey was conducted on radiation risk and medical exposure, particularly in applications involving children. The survey was targeted at nurses (170 females) engaged in important roles in communicating risk regarding medical exposure. The questionnaire survey yielded the following findings. 1) A significant number of respondents associated the word ""radiation"" with ""cancer treatment,"" ""exposure,"" and ""X-ray pictures."" Perceptions about ""food exposure"" differed between respondents with children and those without. 2) Among the potential health problems posed by radiation, ""effects on children,"" ""cancer and leukemia,"" and ""genetic effects"" were perceived as the most worrisome. Significant differences in perception were noted regarding infertility between respondents with children and those without. 3) Concerning the effects of medical exposure on fetuses/children, only 10 percent of all respondents replied that they were not anxious about negative effects in either case. Among the respondents who felt uneasy about these aspects, most tended to assess exposed parts, doses, damage potentially suffered, timing of occurrence, and uncertainty, based on their professional experience and knowledge, to rationally distinguish acceptable risks from unacceptable ones and to limit concern to the unacceptable aspects.",,"['Kanda, Reiko', 'Tsuji, Satsuki', 'Shirakawa, Yoshiyuki', 'Yonehara, Hidenori']","['Kanda R', 'Tsuji S', 'Shirakawa Y', 'Yonehara H']","['Regulatory Science Research Group, National Institute of Radiological Sciences.']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Nihon Hoshasen Gijutsu Gakkai Zasshi,Nihon Hoshasen Gijutsu Gakkai zasshi,7505722,,IM,"['Adult', 'Child', 'Female', 'Humans', '*Knowledge', 'Middle Aged', '*Nurses', 'Occupational Exposure', '*Radiation', '*Radiology', 'Risk', 'Surveys and Questionnaires']",,,2008/09/06 09:00,2008/10/17 09:00,['2008/09/06 09:00'],"['2008/09/06 09:00 [pubmed]', '2008/10/17 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['JST.JSTAGE/jjrt/64.937 [pii]', '10.6009/jjrt.64.937 [doi]']",ppublish,Nihon Hoshasen Gijutsu Gakkai Zasshi. 2008 Aug 20;64(8):937-47. doi: 10.6009/jjrt.64.937.,,,,,,,,,,,,,,,,
18772500,NLM,MEDLINE,20090428,20080905,1672-7347 (Print) 1672-7347 (Linking),33,8,2008 Aug,[Expression and SNP analysis of BRD7 gene in acute leukemia cells].,645-50,,"OBJECTIVE: To evaluate the expression level of BRD7 gene in bone marrow mononuclear cells (BMNCs) in patients with acute leukemia (AL) and to analyze BRD7 single nucleotide polymorphism(SNP). METHODS: RT-PCR was used to detect BRD7 expression in patients with AL and normal bone marrow subjects. Single-strand conformation polymorphism and DNA sequence analysis were also used to identify BRD7 mutation or SNP to investigate the relation between BRD7 and AL. RESULTS: BRD7 mRNA in BMNCs from 52 patients with AL and 30 control subjects was expressed. The mRNA relative expression of BRD7 in patients with AL was higher than that of the control group (P=0.001). Three SNPs (C657A,C495T and A737G) in BRD7 gene coding region (447 approximately 844 bp) were found, and A737G was coupled with C495T . The allele frequencies of SNP C657A were not significantly different between AL and the control group. The genotype and the allele frequencies of the 2 coupled SNPs were significantly different (P<0.01). But there was no significant discrepancy among the mRNA expression levels of AA, AG, and GG genotypes in the leukemia group (P>0.05). CONCLUSION: Expression of BRD7 gene is up-regulated in AL cells. The 2 coupled SNPs (C495T and A737G ) in BRD7 gene coding region (447 approximately 844 bp) are correlated with AL, indicating that SNPs may be one of the genetic susceptibility factors of AL.",,"['Tang, Xue-yuan', 'Liu, Fen', 'Peng, Ya', 'Xiang, Bo', 'Wang, Cheng-hong', 'Yao, Chen-jiao', 'Shen, Shou-rong']","['Tang XY', 'Liu F', 'Peng Y', 'Xiang B', 'Wang CH', 'Yao CJ', 'Shen SR']","['Department of Hematology, Third Xiangya Hospital, Central South University, Changsha 410013, China.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhong Nan Da Xue Xue Bao Yi Xue Ban,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,101230586,"['0 (BRD7 protein, human)', '0 (Chromosomal Proteins, Non-Histone)', '0 (RNA, Messenger)']",IM,"['Adolescent', 'Adult', 'Aged', 'Amino Acid Sequence', 'Base Sequence', 'Child', 'Chromosomal Proteins, Non-Histone/*biosynthesis/genetics', 'Female', 'Gene Frequency', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Molecular Sequence Data', '*Polymorphism, Single Nucleotide', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'RNA, Messenger/biosynthesis/genetics']",,,2008/09/06 09:00,2009/04/29 09:00,['2008/09/06 09:00'],"['2008/09/06 09:00 [pubmed]', '2009/04/29 09:00 [medline]', '2008/09/06 09:00 [entrez]']",['1672-7347(2008)08-0645-06 [pii]'],ppublish,Zhong Nan Da Xue Xue Bao Yi Xue Ban. 2008 Aug;33(8):645-50.,,,,,,,,,,,,,,,,
18772452,NLM,MEDLINE,20090112,20211020,1528-0020 (Electronic) 0006-4971 (Linking),112,13,2008 Dec 15,Lenalidomide down-regulates the CD20 antigen and antagonizes direct and antibody-dependent cellular cytotoxicity of rituximab on primary chronic lymphocytic leukemia cells.,5180-9,10.1182/blood-2008-01-133108 [doi],"Lenalidomide, an immunomodulatory agent that enhances antibody-dependent cellular cytotoxicity (ADCC), is currently being investigated as a therapy for chronic lymphocytic leukemia (CLL). The anti-CD20 antibody rituximab is active in CLL and represents a rational agent to combine with lenalidomide. We therefore examined whether lenalidomide combined with rituximab enhances direct apoptosis and ADCC in CLL cells. In contrast to previous reports using CD20-positive lymphoma cell lines, lenalidomide down-regulated CD20 surface antigen expression in CLL patient cells via enhanced internalization, without influencing transcription. The CD20 surface antigen internalization enhanced delivery of an oligonucleotide incorporated into anti-CD20 immunoliposomes. In addition, CD20 surface antigen down-modulation by lenalidomide in CLL was accompanied by diminished rituximab-mediated apoptosis and ADCC. These observations suggest a need for alternative sequencing strategies to avoid antagonism between lenalidomide and rituximab therapy in CLL. In addition, they suggest that lenalidomide therapy might be useful to enhance targeted delivery of RNAi-based therapies using CD20 immunoliposomes in B-cell malignancies.",,"['Lapalombella, Rosa', 'Yu, Bo', 'Triantafillou, Georgia', 'Liu, Qing', 'Butchar, Jonathan P', 'Lozanski, Gerard', 'Ramanunni, Asha', 'Smith, Lisa L', 'Blum, William', 'Andritsos, Leslie', 'Wang, Da-Sheng', 'Lehman, Amy', 'Chen, Ching-Shih', 'Johnson, Amy J', 'Marcucci, Guido', 'Lee, Robert J', 'Lee, L James', 'Tridandapani, Susheela', 'Muthusamy, Natarajan', 'Byrd, John C']","['Lapalombella R', 'Yu B', 'Triantafillou G', 'Liu Q', 'Butchar JP', 'Lozanski G', 'Ramanunni A', 'Smith LL', 'Blum W', 'Andritsos L', 'Wang DS', 'Lehman A', 'Chen CS', 'Johnson AJ', 'Marcucci G', 'Lee RJ', 'Lee LJ', 'Tridandapani S', 'Muthusamy N', 'Byrd JC']","['Division of Hematology-Oncology, Department of Internal Medicine, College of Medicine, The Ohio State University, Columbus, USA.']",['eng'],"['P01 CA095426/CA/NCI NIH HHS/United States', 'P01 CA101956/CA/NCI NIH HHS/United States', 'UL1 RR025755/RR/NCRR NIH HHS/United States', 'CA95426/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antigens, CD20)', '0 (Liposomes)', '4F4X42SYQ6 (Rituximab)', '4Z8R6ORS6L (Thalidomide)', 'F0P408N6V4 (Lenalidomide)']",IM,"['Aged', 'Aged, 80 and over', 'Antibodies, Monoclonal/*pharmacology', 'Antibodies, Monoclonal, Murine-Derived', 'Antibody-Dependent Cell Cytotoxicity/drug effects', 'Antigens, CD20/*drug effects', 'Antineoplastic Combined Chemotherapy Protocols/pharmacology', 'Apoptosis/drug effects', 'Cytotoxicity, Immunologic/*drug effects', 'Down-Regulation/drug effects', 'Drug Antagonism', 'Drug Delivery Systems/methods', 'Endocytosis/drug effects', 'Female', 'Genetic Therapy/methods', 'Humans', 'Lenalidomide', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/pathology', 'Liposomes', 'Male', 'Middle Aged', 'Rituximab', 'Thalidomide/*analogs & derivatives/pharmacology', 'Tumor Cells, Cultured']",PMC2597613,,2008/09/06 09:00,2009/01/13 09:00,['2008/09/06 09:00'],"['2008/09/06 09:00 [pubmed]', '2009/01/13 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['S0006-4971(20)51759-X [pii]', '10.1182/blood-2008-01-133108 [doi]']",ppublish,Blood. 2008 Dec 15;112(13):5180-9. doi: 10.1182/blood-2008-01-133108. Epub 2008 Sep 4.,20080904,,['Blood. 2008 Dec 15;112(13):4785-6. PMID: 19064733'],,,,,,,,['Blood. 2009 Oct 15;114(16):3506'],,,,,
18772436,NLM,MEDLINE,20080909,20211020,1095-9203 (Electronic) 0036-8075 (Linking),321,5894,2008 Sep 5,"Apobec3 encodes Rfv3, a gene influencing neutralizing antibody control of retrovirus infection.",1343-6,10.1126/science.1161121 [doi],"Recovery from Friend virus 3 (Rfv3) is a single autosomal gene encoding a resistance trait that influences retroviral neutralizing antibody responses and viremia. Despite extensive research for 30 years, the molecular identity of Rfv3 has remained elusive. Here, we demonstrate that Rfv3 is encoded by Apobec3. Apobec3 maps to the same chromosome region as Rfv3 and has broad inhibitory activity against retroviruses, including HIV. Not only did genetic inactivation of Apobec3 convert Rfv3-resistant mice to a susceptible phenotype, but Apobec3 was also found to be naturally disabled by aberrant messenger RNA splicing in Rfv3-susceptible strains. The link between Apobec3 and neutralizing antibody responses highlights an Apobec3-dependent mechanism of host protection that might extend to HIV and other human retroviral infections.",,"['Santiago, Mario L', 'Montano, Mauricio', 'Benitez, Robert', 'Messer, Ronald J', 'Yonemoto, Wes', 'Chesebro, Bruce', 'Hasenkrug, Kim J', 'Greene, Warner C']","['Santiago ML', 'Montano M', 'Benitez R', 'Messer RJ', 'Yonemoto W', 'Chesebro B', 'Hasenkrug KJ', 'Greene WC']","['Gladstone Institute of Virology and Immunology, San Francisco, CA 94158, USA.']",['eng'],"['R01 AI065329/AI/NIAID NIH HHS/United States', 'R01 AI065329-04/AI/NIAID NIH HHS/United States', 'ImNIH/Intramural NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', 'Research Support, N.I.H., Intramural']",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (Antibodies, Viral)', 'EC 3.5.4.5 (Apobec3 protein, mouse)', 'EC 3.5.4.5 (Cytidine Deaminase)']",IM,"['Animals', 'Antibodies, Viral/*biosynthesis/blood/immunology', 'Chromosome Mapping', 'Cloning, Molecular', 'Cytidine Deaminase/*genetics/metabolism', 'Friend murine leukemia virus/*immunology/physiology', 'Immunity, Innate', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Molecular Sequence Data', 'Neutralization Tests', 'Retroviridae Infections/genetics/*immunology/virology', 'Tumor Virus Infections/genetics/*immunology/virology', 'Viremia']",PMC2701658,['NIHMS109077'],2008/09/06 09:00,2008/09/10 09:00,['2008/09/06 09:00'],"['2008/09/06 09:00 [pubmed]', '2008/09/10 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['321/5894/1343 [pii]', '10.1126/science.1161121 [doi]']",ppublish,Science. 2008 Sep 5;321(5894):1343-6. doi: 10.1126/science.1161121.,,,,,,,,,"['GENBANK/EU707568', 'GENBANK/EU707569', 'GENBANK/EU707570', 'GENBANK/EU707571']",,,,,,,
18772122,NLM,MEDLINE,20081021,20190117,1726-4901 (Print) 1726-4901 (Linking),71,8,2008 Aug,Acute myeloid leukemia associated with acute myocardial infarction and dural sinus thrombosis: the possible role of leukemia-related hyperhomocysteinemia.,416-20,10.1016/S1726-4901(08)70093-5 [doi],"The association of acute myeloid leukemia (AML) and acute myocardial infarction (AMI) is rare. We encountered a 40-year-old female with inferior wall myocardial infarction that occurred simultaneously with the diagnosis of AML. She developed subsequent dural sinus thrombosis during chemotherapy for AML. The screen for thrombophilia revealed that she had hyperhomocysteinemia. In the English literature, only 4 cases have been reported previously. Remission induction was not affected by the occurrence of AMI, although anthracyclines were avoided in all cases. In the absence of conventional risk factors for coronary artery disease, AMI can be related to leukemia per se and the role of homocysteine is worth further investigation.",,"['Chang, Hung', 'Lin, Tung-Liang', 'Ho, Wan-Jing', 'Hsu, Lung-An']","['Chang H', 'Lin TL', 'Ho WJ', 'Hsu LA']","['Division of Hematology-Oncology, Chang Gung Memorial Hospital, Taipei, Taiwan, Republic of China.']",['eng'],,"['Case Reports', 'Journal Article', 'Review']",Netherlands,J Chin Med Assoc,Journal of the Chinese Medical Association : JCMA,101174817,,IM,"['Adult', 'Female', 'Humans', 'Hyperhomocysteinemia/*complications', 'Leukemia, Myeloid, Acute/*complications', 'Myocardial Infarction/*etiology', 'Sinus Thrombosis, Intracranial/*etiology']",,,2008/09/06 09:00,2008/10/22 09:00,['2008/09/06 09:00'],"['2008/09/06 09:00 [pubmed]', '2008/10/22 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['S1726-4901(08)70093-5 [pii]', '10.1016/S1726-4901(08)70093-5 [doi]']",ppublish,J Chin Med Assoc. 2008 Aug;71(8):416-20. doi: 10.1016/S1726-4901(08)70093-5.,,14,,,,,,,,,,,,,,
18772113,NLM,MEDLINE,20081015,20220114,1878-3686 (Electronic) 1535-6108 (Linking),14,3,2008 Sep 9,Expansion of Bcr-Abl-positive leukemic stem cells is dependent on Hedgehog pathway activation.,238-49,10.1016/j.ccr.2008.08.003 [doi],"Resistance of Bcr-Abl-positive leukemic stem cells (LSCs) to imatinib treatment in patients with chronic myeloid leukemia (CML) can cause relapse of disease and might be the origin for emerging drug-resistant clones. In this study, we identified Smo as a drug target in Bcr-Abl-positive LSCs. We show that Hedgehog signaling is activated in LSCs through upregulation of Smo. While Smo(-/-) does not impact long-term reconstitution of regular hematopoiesis, the development of retransplantable Bcr-Abl-positive leukemias was abolished in the absence of Smo expression. Pharmacological Smo inhibition reduced LSCs in vivo and enhanced time to relapse after end of treatment. Our results indicate that Smo inhibition might be an effective treatment strategy to reduce the LSC pool in CML.",,"['Dierks, Christine', 'Beigi, Ronak', 'Guo, Gui-Rong', 'Zirlik, Katja', 'Stegert, Mario R', 'Manley, Paul', 'Trussell, Christopher', 'Schmitt-Graeff, Annette', 'Landwerlin, Klemens', 'Veelken, Hendrik', 'Warmuth, Markus']","['Dierks C', 'Beigi R', 'Guo GR', 'Zirlik K', 'Stegert MR', 'Manley P', 'Trussell C', 'Schmitt-Graeff A', 'Landwerlin K', 'Veelken H', 'Warmuth M']","['Department of Hematology/Oncology, University of Freiburg, Hugstetter Strasse 55, 79106 Freiburg, Germany. christine.dierks@uniklinik-freiburg.de']",['eng'],,['Journal Article'],United States,Cancer Cell,Cancer cell,101130617,"['0 (Gli1 protein, mouse)', '0 (Hedgehog Proteins)', '0 (Kruppel-Like Transcription Factors)', '0 (Patched Receptors)', '0 (Pyrimidines)', '0 (Receptors, Cell Surface)', '0 (Receptors, G-Protein-Coupled)', '0 (Smo protein, mouse)', '0 (Smoothened Receptor)', '0 (Veratrum Alkaloids)', '0 (Zinc Finger Protein GLI1)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'F41401512X (nilotinib)', 'ZH658AJ192 (cyclopamine)']",IM,"['Animals', 'Apoptosis/drug effects', 'Bone Marrow Cells/drug effects/metabolism/pathology', 'Bone Marrow Transplantation', '*Cell Proliferation', 'Drug Therapy, Combination', 'Fetal Stem Cells/cytology/metabolism/transplantation', 'Fusion Proteins, bcr-abl/genetics/*metabolism', 'Gene Expression/drug effects', 'Hedgehog Proteins/*physiology', 'Hematopoiesis/drug effects/physiology', 'Humans', 'Kruppel-Like Transcription Factors/genetics/metabolism', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/metabolism/pathology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Mice, Transgenic', 'Neoplastic Stem Cells/drug effects/metabolism/*pathology', 'Patched Receptors', 'Pyrimidines/pharmacology/therapeutic use', 'Receptors, Cell Surface/genetics/metabolism', 'Receptors, G-Protein-Coupled/genetics/metabolism', 'Signal Transduction/drug effects/*physiology', 'Smoothened Receptor', 'Survival Analysis', 'Veratrum Alkaloids/pharmacology/therapeutic use', 'Zinc Finger Protein GLI1']",,,2008/09/06 09:00,2008/10/16 09:00,['2008/09/06 09:00'],"['2007/10/25 00:00 [received]', '2008/01/16 00:00 [revised]', '2008/08/08 00:00 [accepted]', '2008/09/06 09:00 [pubmed]', '2008/10/16 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['S1535-6108(08)00257-2 [pii]', '10.1016/j.ccr.2008.08.003 [doi]']",ppublish,Cancer Cell. 2008 Sep 9;14(3):238-49. doi: 10.1016/j.ccr.2008.08.003.,,,,,,,,,,,,,,,,
18771930,NLM,MEDLINE,20081205,20211020,1464-3391 (Electronic) 0968-0896 (Linking),16,18,2008 Sep 15,"11-Substituted 2,3-dimethoxy-8,9-methylenedioxybenzo[i]phenanthridine derivatives as novel topoisomerase I-targeting agents.",8598-606,10.1016/j.bmc.2008.08.018 [doi],"Several 11-substituted benzo[i]phenanthridine derivatives were synthesized, and their TOP1-targeting activity and cytotoxicity were assessed. Comparative data indicate that TOP1-targeting was often the primary molecular target associated with their cytotoxicity. Several 11-aminoalkyl derivatives, 11-aminocarboxy derivatives as well as the 11-[(2-dimethylamino)ethyl]carboxamide of 2,3-dimethoxy-8,9-methylenedioxybenzo[i]phenanthridine were synthesized and did exhibit considerable cytotoxicity with IC(50) values ranging from 20 to 120 nM in the human lymphoblast tumor cell line RPMI8402.",,"['Feng, Wei', 'Satyanarayana, Mavurapu', 'Tsai, Yuan-Chin', 'Liu, Angela A', 'Liu, Leroy F', 'LaVoie, Edmond J']","['Feng W', 'Satyanarayana M', 'Tsai YC', 'Liu AA', 'Liu LF', 'LaVoie EJ']","['Department of Pharmaceutical Chemistry, Ernest Mario School of Pharmacy, Rutgers, The State University of New Jersey, 160 Frelinghuysen Road, Piscataway, NJ 08854-8020, USA.']",['eng'],"['R01 CA098127/CA/NCI NIH HHS/United States', 'CA39662/CA/NCI NIH HHS/United States', 'CA098127/CA/NCI NIH HHS/United States', 'R01 CA039662/CA/NCI NIH HHS/United States', 'R01 CA039662-22/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",England,Bioorg Med Chem,Bioorganic & medicinal chemistry,9413298,"['0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', '0 (Phenanthridines)', '0 (Topoisomerase I Inhibitors)', 'EC 5.99.1.2 (DNA Topoisomerases, Type I)']",IM,"['Animals', 'Antineoplastic Agents/chemical synthesis/*pharmacology', 'Cell Line, Tumor/drug effects', 'DNA Topoisomerases, Type I/metabolism', 'Enzyme Inhibitors/chemical synthesis/*pharmacology', 'Humans', 'Inhibitory Concentration 50', 'Leukemia, Lymphoid/metabolism/*pathology', 'Phenanthridines/chemical synthesis/*pharmacology', 'Structure-Activity Relationship', '*Topoisomerase I Inhibitors']",PMC2733853,['NIHMS135085'],2008/09/06 09:00,2008/12/17 09:00,['2008/09/06 09:00'],"['2008/03/26 00:00 [received]', '2008/07/31 00:00 [revised]', '2008/08/04 00:00 [accepted]', '2008/09/06 09:00 [pubmed]', '2008/12/17 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['S0968-0896(08)00735-9 [pii]', '10.1016/j.bmc.2008.08.018 [doi]']",ppublish,Bioorg Med Chem. 2008 Sep 15;16(18):8598-606. doi: 10.1016/j.bmc.2008.08.018. Epub 2008 Aug 7.,20080807,,,,,,,,,,,,,,,
18771807,NLM,MEDLINE,20090409,20091119,0165-5728 (Print) 0165-5728 (Linking),204,1-2,2008 Nov 15,Leukemia inhibitory factor modulates production of inflammatory mediators and myelin phagocytosis by macrophages.,52-7,10.1016/j.jneuroim.2008.07.015 [doi],"Leukemia inhibitory factor (LIF) promotes survival of glial cells and neurons during autoimmune and injury responses in the central nervous system (CNS). While various studies indicate that LIF also modulates ongoing inflammatory responses, data on underlying events are lacking. In this study we demonstrate that LIF modulates macrophage function. LIF inhibits the production of oxygen radicals and TNFalpha and stimulates myelin uptake by macrophages. These effects of LIF are accompanied by activation of the JAK/STAT3 signalling pathway. Our findings demonstrate that LIF has anti-inflammatory properties and enhances myelin clearance, implicating that LIF may be an important factor in CNS inflammatory disease.",,"['Hendriks, Jerome J A', 'Slaets, Helena', 'Carmans, Sofie', 'de Vries, Helga E', 'Dijkstra, Christine D', 'Stinissen, Piet', 'Hellings, Niels']","['Hendriks JJ', 'Slaets H', 'Carmans S', 'de Vries HE', 'Dijkstra CD', 'Stinissen P', 'Hellings N']","['Hasselt University, Biomedical Research Institute (BIOMED), Diepenbeek, Belgium.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Neuroimmunol,Journal of neuroimmunology,8109498,"['0 (Leukemia Inhibitory Factor)', '0 (Leukemia Inhibitory Factor Receptor alpha Subunit)', '0 (Reactive Oxygen Species)', '0 (STAT3 Transcription Factor)', '0 (Stat3 protein, mouse)', '0 (Tumor Necrosis Factor-alpha)', '133483-10-0 (Cytokine Receptor gp130)', 'EC 2.7.11.1 (Oncogene Protein v-akt)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinase 3)']",IM,"['Animals', 'Cytokine Receptor gp130/metabolism', 'Dose-Response Relationship, Drug', 'Leukemia Inhibitory Factor/*pharmacology', 'Leukemia Inhibitory Factor Receptor alpha Subunit/metabolism', 'Macrophages, Peritoneal/*drug effects', 'Mice', 'Mice, Inbred C57BL', 'Mitogen-Activated Protein Kinase 3/metabolism', 'Myelin Sheath/*metabolism', 'Oncogene Protein v-akt/metabolism', 'Phagocytosis/*drug effects', 'Reactive Oxygen Species/*metabolism', 'STAT3 Transcription Factor/metabolism', 'Time Factors', 'Tumor Necrosis Factor-alpha/*metabolism']",,,2008/09/06 09:00,2009/04/10 09:00,['2008/09/06 09:00'],"['2008/05/21 00:00 [received]', '2008/07/14 00:00 [revised]', '2008/07/24 00:00 [accepted]', '2008/09/06 09:00 [pubmed]', '2009/04/10 09:00 [medline]', '2008/09/06 09:00 [entrez]']","['S0165-5728(08)00307-X [pii]', '10.1016/j.jneuroim.2008.07.015 [doi]']",ppublish,J Neuroimmunol. 2008 Nov 15;204(1-2):52-7. doi: 10.1016/j.jneuroim.2008.07.015.,,,,,,,,,,,,,,,,
