PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,RF,PMC,CIN,TT,CON,OID,OTO,OT,GN,GS,EIN,CN,PS,FPS,OAB,OABL
8509066,NLM,MEDLINE,19930712,20071115,0367-6102 (Print) 0367-6102 (Linking),68,2,1993 Mar,[Molecular analysis of transformation into blast crisis in chronic myelogenous leukemia].,237-50,"Molecular events associated with the transformation into blast crisis phase in Ph1-positive CML were analyzed in the present study. The 9;22 chromosomal translocation in CML generates the bcr/abl fused gene coding P210bcr/abl that has enhanced tyrosine kinase activity. In 55 CML cases, Southern and RT-PCR analysis revealed that breakpoints of the bcr gene on chromosome 22q11 were clustered in M-bcr, except for one case and no obvious difference was observed between chronic and crisis phases. However, blast crisis cells displayed enhanced the expression of bcr/abl mRNA, when compared with those in chronic phase cells. By DNA transfection and PCR analysis, the point-mutational activation of N-ras oncogene was rarely identified, and no point-mutational activation of fms gene was found in the crisis phase cases. On the other hand, 2 out of 13 crisis cases contained gross alteration of p53 anti-oncogene. Furthermore, all 4 myeloid crisis cases and K562 cells showed disappearance of the P53 transcript, and MC3 cells derived from a myeloid crisis case showed an aberrant transcript, whereas chronic phase cases, Ph1-positive ALL cell lines and lymphoid crisis cases including NALM-1 cells showed normal expression of the P53 gene. At present, the precise mechanism associated with the blastic trans-formation in CML remain to be determined. The present study suggested one possibility that a selective and progressive process of Ph1 clone with high expression of the bcr/abl gene may be involved with the transformation into non-lymphoid crisis phases from chronic phases. In addition, this progression may be accelerated by the alteration of p53 anti-oncogene, or/and rarely by the point-mutational activation of ras oncogene family.","['Okabe, M']",['Okabe M'],"['Third Department of Internal Medicine, Hokkaido University School of Medicine, Sapporo, Japan.']",['jpn'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Hokkaido Igaku Zasshi,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,17410290R,['0 (Oligonucleotide Probes)'],IM,"['Base Sequence', 'Blast Crisis/*genetics', 'Gene Expression Regulation, Leukemic', 'Genes, Tumor Suppressor', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/pathology', 'Molecular Sequence Data', 'Oligonucleotide Probes', 'Point Mutation', 'Polymerase Chain Reaction', '*Proto-Oncogenes', 'Transfection', 'Translocation, Genetic']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Hokkaido Igaku Zasshi. 1993 Mar;68(2):237-50.,,,,,,,,,,,"['Ha-ras', 'Ki-ras', 'N-ras', 'bcr/abl', 'fms', 'p53']",,,,,,
8508790,NLM,MEDLINE,19930715,20190620,0014-2956 (Print) 0014-2956 (Linking),214,1,1993 May 15,Cannabinoid-receptor expression in human leukocytes.,173-80,"Marijuana and many of its constituent cannabinoids influence the central nervous system (CNS), probably through the cannabinoid receptor, which has recently been cloned in rat and human. While numerous reports have also described effects of cannabinoids on the immune system, the observation of both mRNA and cannabinoid receptor has hitherto been exclusively confined to the brain, a reported detection in the testis being the sole example of its presence at the periphery. Here we report the expression of the cannabinoid receptor on human immune tissues using a highly sensitive polymerase-chain-reaction-based method for mRNA quantification. We show that, although present in a much lower abundance than in brain, cannabinoid receptor transcripts are found in human spleen, tonsils and peripheral blood leukocytes. The distribution pattern displays important variations of the mRNA level for the cannabinoid receptor among the main human blood cell subpopulations. The rank order of mRNA levels in these cells is B cells > natural killer cells > or = polymorphonuclear neutrophils > or = T8 cells > monocytes > T4 cells. Cannabinoid-receptor mRNA, which is also found in monocytic, as well as T and B leukemia cell lines but not in Jurkat cells, presents a great diversity of expression on these cells as well, B-cell lines expressing a much higher level than T-cell lines. The cannabinoid receptor PCR products from leukocytes and brain are identical both in size and sequence suggesting a strong similarity between central and peripheral cannabinoid receptors. The expression of this receptor was demonstrated on membranes of the myelomonocytic U937 cells using the synthetic cannabinoid [3H]CP-55940 as ligand. The Kd determined from Scatchard analysis was 0.1 nM and the Bmax for membranes was 525 fmol/mg protein. The demonstration of cannabinoid-receptor expression at both mRNA and protein levels on human leukocytes provides a molecular basis for cannabinoid action on these cells.","['Bouaboula, M', 'Rinaldi, M', 'Carayon, P', 'Carillon, C', 'Delpech, B', 'Shire, D', 'Le Fur, G', 'Casellas, P']","['Bouaboula M', 'Rinaldi M', 'Carayon P', 'Carillon C', 'Delpech B', 'Shire D', 'Le Fur G', 'Casellas P']",,['eng'],,['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Oligodeoxyribonucleotides)', '0 (RNA, Messenger)', '0 (Receptors, Cannabinoid)', '0 (Receptors, Drug)', '9007-49-2 (DNA)']",IM,"['Animals', 'Base Sequence', 'Cannabis/metabolism', 'Cell Line', 'DNA/biosynthesis', 'Gene Expression', 'Humans', 'Leukocytes/*metabolism', 'Lymphoid Tissue/metabolism', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Polymerase Chain Reaction', 'RNA, Messenger/genetics/metabolism', 'Rats', 'Receptors, Cannabinoid', 'Receptors, Drug/*biosynthesis/genetics', 'Tumor Cells, Cultured']",1993/05/15 00:00,1993/05/15 00:01,['1993/05/15 00:00'],"['1993/05/15 00:00 [pubmed]', '1993/05/15 00:01 [medline]', '1993/05/15 00:00 [entrez]']",['10.1111/j.1432-1033.1993.tb17910.x [doi]'],ppublish,Eur J Biochem. 1993 May 15;214(1):173-80. doi: 10.1111/j.1432-1033.1993.tb17910.x.,,,,,,,,,,,,,,,,,
8508474,NLM,MEDLINE,19930715,20190706,0009-2363 (Print) 0009-2363 (Linking),41,4,1993 Apr,Studies on the differentiation inducers of myeloid leukemic cells from Citrus species.,714-9,"An attempt was made to isolate differentiation inducers from Aurantii Nobilis Pericarpium and the fruit peel of Citrus reticulata Blanco (Rutaceae). Twenty-seven kinds of flavones, including five new flavones, were isolated after repeated chromatography from methanol extracts of these plants and their structures were established, from their physicochemical data, to be highly methoxylated flavones. Each compound, except for two flavone glucosides, showed the differentiation inducing activity toward mouse myeloid leukemia cells (M1), and the cells came to have phagocytic activity. Furthermore, differentiation inducing activity was tested using human acute promyelocytic leukemia cell line (HL-60).","['Sugiyama, S', 'Umehara, K', 'Kuroyanagi, M', 'Ueno, A', 'Taki, T']","['Sugiyama S', 'Umehara K', 'Kuroyanagi M', 'Ueno A', 'Taki T']","['School of Pharmaceutical Sciences, University of Shizuoka, Japan.']",['eng'],,['Journal Article'],Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,['0 (Flavonoids)'],IM,"['Animals', 'Cell Differentiation/*drug effects', 'Citrus/*chemistry', 'Flavonoids/isolation & purification/*pharmacology', 'Humans', 'Leukemia, Myeloid/pathology', 'Leukemia, Promyelocytic, Acute/pathology', 'Mice', 'Tumor Cells, Cultured']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['10.1248/cpb.41.714 [doi]'],ppublish,Chem Pharm Bull (Tokyo). 1993 Apr;41(4):714-9. doi: 10.1248/cpb.41.714.,,,,,,,,,,,,,,,,,
8508418,NLM,MEDLINE,19930713,20190620,0008-543X (Print) 0008-543X (Linking),72,1,1993 Jul 1,Impaired muscle strength in female adolescents and young adults surviving leukemia in childhood.,276-81,"BACKGROUND: With the improving cure rate in childhood malignancies, increasing interest has been focused on long-term survivors. To evaluate late sequelae of childhood leukemia, the muscle strength of 43 young female survivors was investigated and compared with that of 69 healthy age-matched women. The patients had been off therapy for 1 to 19 years. METHODS: The anthropometric characteristics measured were height and weight, and body mass index was calculated. The maximal isometric strengths for elbow flexion, knee extension, and hand grip were measured on a special dynamometer chair. Dynamic muscular endurance was measured by pushup and situp tests. RESULTS: The mean height of the patients was 6.5 cm shorter (P < 0.001) and their mean weight 4.8 kg lighter (P = 0.011) than that of the reference subjects. Muscle strength was in most tests poorer in the patients than in the reference subjects. The differences were statistically significant in elbow flexion and knee extension, and in both muscular endurance tests. There was an association between the maximal isometric strengths and the anthropometric characteristics. Even when allowance was made for the smaller size of the patients, however, they still had less muscle strength than the reference subjects. Of the various treatment modalities, radiation therapy to the cranial area and chemotherapy with L-asparaginase were independently associated with the lower muscle strength values. CONCLUSIONS: The muscle strength of female patients may be subnormal for many years after therapy for childhood leukemia. To compensate for these deficiencies, the possible benefits of prophylactic and individually planned exercise should be studied.","['Hovi, L', 'Era, P', 'Rautonen, J', 'Siimes, M A']","['Hovi L', 'Era P', 'Rautonen J', 'Siimes MA']","[""Children's Hospital, University of Helsinki, Finland.""]",['eng'],,['Journal Article'],United States,Cancer,Cancer,0374236,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Body Height', 'Body Weight', 'Cranial Irradiation', 'Female', 'Follow-Up Studies', 'Humans', 'Isometric Contraction', 'Leukemia/*physiopathology/radiotherapy', 'Muscles/*physiopathology', 'Reference Values', 'Whole-Body Irradiation']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1002/1097-0142(19930701)72:1<276::aid-cncr2820720148>3.0.co;2-2 [doi]'],ppublish,Cancer. 1993 Jul 1;72(1):276-81. doi: 10.1002/1097-0142(19930701)72:1<276::aid-cncr2820720148>3.0.co;2-2.,,,,,,,,,,,,,,,,,
8508416,NLM,MEDLINE,19930713,20190620,0008-543X (Print) 0008-543X (Linking),72,1,1993 Jul 1,Central nervous system treatment in childhood acute lymphoblastic leukemia. Long-term follow-up of patients diagnosed between 1973 and 1985.,261-70,"BACKGROUND: Despite advances in the treatment of childhood acute lymphoblastic leukemia (ALL), optimal therapy of the central nervous system (CNS) remains controversial. METHODS: Between 1973 and 1985, 540 children with ALL (199 standard risk and 341 high risk) were treated on four protocols. RESULTS: The 7-year event-free survival rate (+/- standard error) was 62.1% (+/- 2.1) for the entire group: 71.8% (+/- 3.2) for standard-risk and 56.4% (+/- 2.7) for high-risk patients. Five hundred eighteen of the children entered complete remission and received cranial irradiation with intrathecal methotrexate for CNS treatment; 197 had standard-risk ALL and 321 had high-risk ALL. Thirty-one patients (5 standard risk and 26 high risk) had a CNS relapse with or without concurrent bone marrow relapse as an initial event, the latest of which was observed 49 months after complete remission. The cumulative incidence of CNS relapse was 6.0% (+/- 1.1) for the entire group: 2.5% (+/- 1.1) for standard-risk and 8.2% (+/- 1.5) for high-risk patients (P = 0.01). CNS recurrence of leukemia, whether as an ""isolated"" site or a ""combined"" site of relapse, was a major adverse event. Only 4 of 31 patients were alive for 25+, 28+, 54+, and 71+ months after a CNS relapse. The median survival time after CNS relapse was 22 months: 21 months for the 20 patients who had an isolated CNS relapse, and 23 months for the 11 patients who had a CNS relapse concurrent with a recurrence in other sites. CONCLUSIONS: Although attempts to diminish CNS treatment-related morbidity are warranted for standard-risk patients, the authors recommend that intensive CNS treatment be enhanced for the high-risk patients because CNS relapses continue to occur in this population. Furthermore, CNS relapse after cranial irradiation was associated with a very poor prognosis and needs to be treated as intensively as a bone marrow relapse.","['Gelber, R D', 'Sallan, S E', 'Cohen, H J', 'Donnelly, M', 'Dalton, V', 'Tobia, F', 'Clavell, L A', 'Tarbell, N J']","['Gelber RD', 'Sallan SE', 'Cohen HJ', 'Donnelly M', 'Dalton V', 'Tobia F', 'Clavell LA', 'Tarbell NJ']","['Division of Biostatics, Dana-Farber Cancer Institute, Boston, Massachusetts 02115.']",['eng'],"['CA 06516/CA/NCI NIH HHS/United States', 'CA 34183/CA/NCI NIH HHS/United States']","['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Brain Neoplasms/mortality/*prevention & control', 'Child', 'Child, Preschool', '*Cranial Irradiation', 'Humans', 'Infant', 'Injections, Spinal', 'Methotrexate/*administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/mortality/*prevention & control', 'Recurrence', 'Remission Induction', 'Survival Rate']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1002/1097-0142(19930701)72:1<261::aid-cncr2820720146>3.0.co;2-o [doi]'],ppublish,Cancer. 1993 Jul 1;72(1):261-70. doi: 10.1002/1097-0142(19930701)72:1<261::aid-cncr2820720146>3.0.co;2-o.,,,,,,,,,,,,,,,,,
8508415,NLM,MEDLINE,19930713,20190620,0008-543X (Print) 0008-543X (Linking),72,1,1993 Jul 1,Hypercalcemia complicating childhood malignancies.,256-60,"BACKGROUND: Hypercalcemia complicating malignancy is a frequent complication in adults, but little has been published about the pathogenesis or the true incidence of hypercalcemia in children with cancer. METHODS: Hypercalcemia developing in childhood malignancies was studied retrospectively at St. Jude Children's Research Hospital to determine its incidence, the timing of its presentation, and its response to therapy. RESULTS: Over a 29-year period, 25 children (median age, 9.5 years) had been diagnosed and treated for hypercalcemia that occurred during the course of their malignancy. These 25 represented 0.4% of the total number of children treated for cancer at the institution during that period. Their malignancies comprised acute leukemias (11; 0.6%), rhabdomyosarcoma (4; 1.2%), malignant rhabdoid tumor (2), Hodgkin disease (1), non-Hodgkin lymphoma (1), hepatoblastoma (2), neuroblastoma (1), brain tumor (1), angiosarcoma (1), and a solid malignant tumor of undetermined type. CONCLUSIONS: Patients with acute lymphoblastic leukemia were more likely to present with hypercalcemia at the time of their initial diagnosis and to achieve resolution of this complication, whereas patients with solid tumors presented with hypercalcemia later in the course of their disease and had hypercalcemia that was more resistant to therapy. In contrast to adults with cancer, hypercalcemia of malignancy is extremely rare in children.","['McKay, C', 'Furman, W L']","['McKay C', 'Furman WL']","['Division of Nephrology, College of Medicine, University of Tennessee, Memphis.']",['eng'],"['CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States', 'CA-23099/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['0 (Parathyroid Hormone)'],IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Hypercalcemia/blood/*etiology', 'Infant', 'Leukemia/blood/complications', 'Male', 'Neoplasms/blood/*complications', 'Parathyroid Hormone/blood', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/complications', 'Retrospective Studies', 'Rhabdomyosarcoma/blood/complications']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1002/1097-0142(19930701)72:1<256::aid-cncr2820720145>3.0.co;2-d [doi]'],ppublish,Cancer. 1993 Jul 1;72(1):256-60. doi: 10.1002/1097-0142(19930701)72:1<256::aid-cncr2820720145>3.0.co;2-d.,,,,,,,,,,,,,,,,,
8508409,NLM,MEDLINE,19930713,20190620,0008-543X (Print) 0008-543X (Linking),72,1,1993 Jul 1,Myelodysplastic syndrome after cisplatin therapy.,213-8,"Therapy-related myelodysplastic syndrome (tMDS) and acute nonlymphocytic leukemia (tANLL) are known late complications of cytotoxic drug therapy for hematologic malignancies, solid tumors, and nonmalignant conditions. The alkylating agents are often the causative agents, but a few reports have implicated cisplatin as an etiologic agent. Cisplatin has a significant impact on the treatment of a number of malignant neoplasms, including testicular and ovarian cancer, and is a part of several clinical trials for squamous cell carcinoma of the head and neck region. Given its increasing use, a complication as significant as tMDS is potentially important. In this article, the authors describe the case of a patient who had myelodysplastic syndrome develop after successful treatment for laryngeal cancer with cisplatin. The treatment included cisplatin in combination with 5-fluorouracil, followed by radiation therapy. The authors also present a review of articles in the literature regarding tMDS and tANLL occurrence after treatment with cisplatin-containing regimens. The authors conclude that cisplatin can be a leukemogenic agent. The drug may potentiate the leukemogenic effects of other alkylating agents and drugs that inhibit topoisomerase II action.","['Cheruku, R', 'Hussain, M', 'Tyrkus, M', 'Edelstein, M']","['Cheruku R', 'Hussain M', 'Tyrkus M', 'Edelstein M']","['Department of Internal Medicine, Scott & White Hospital and Clinic, Temple, TX 76508.']",['eng'],,"['Case Reports', 'Journal Article', 'Review']",United States,Cancer,Cancer,0374236,"['Q20Q21Q62J (Cisplatin)', 'U3P01618RT (Fluorouracil)']",IM,"['Anemia, Sideroblastic/*chemically induced/genetics', 'Carcinoma, Squamous Cell/drug therapy', 'Cisplatin/administration & dosage/*adverse effects', 'Drug Administration Schedule', 'Fluorouracil/administration & dosage', 'Humans', 'Laryngeal Neoplasms/drug therapy', 'Male', 'Middle Aged']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1002/1097-0142(19930701)72:1<213::aid-cncr2820720138>3.0.co;2-i [doi]'],ppublish,Cancer. 1993 Jul 1;72(1):213-8. doi: 10.1002/1097-0142(19930701)72:1<213::aid-cncr2820720138>3.0.co;2-i.,,49,,,,,,,,,,,,,,,
8508373,NLM,MEDLINE,19930709,20190620,0008-543X (Print) 0008-543X (Linking),71,12,1993 Jun 15,Treatment-related esophageal stricture in pediatric patients with cancer.,4084-90,"BACKGROUND: Intensive antineoplastic regimens have enhanced long-term survival in pediatric patients with cancer, but can result in long-term complications. Esophageal stricture formation is one such complication. METHODS: We reviewed the experience with benign esophageal stricture in pediatric patients with cancer over the past 15 years in a major cancer center. Clinical course, along with endoscopic, radiologic, and manometric esophageal studies, was reviewed. RESULTS: Esophageal strictures formed in five pediatric patients who were treated with radiation and/or chemotherapy. Stricture formation was associated with abnormal esophageal motility in four out of the five patients. Repeated esophageal dilation was performed from 3-50 times and resulted in stricture resolution in only 2 of the 5 patients. CONCLUSIONS: Esophageal stricture formation in this population is rare, but is associated with long-term morbidity.","['Ellenhorn, J D', 'Lambroza, A', 'Lindsley, K L', 'LaQuaglia, M P']","['Ellenhorn JD', 'Lambroza A', 'Lindsley KL', 'LaQuaglia MP']","['Department of Surgery, Memorial Sloan-Kettering Cancer Center, New York, NY 10021.']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Esophageal Motility Disorders/chemically induced/diagnosis/etiology', 'Esophageal Neoplasms/drug therapy/radiotherapy', 'Esophageal Stenosis/*chemically induced/diagnosis/*etiology', 'Esophagitis/chemically induced/diagnosis/etiology', 'Female', 'Hodgkin Disease/drug therapy/radiotherapy', 'Humans', 'Male', 'Manometry', 'Neoplasms/*drug therapy/*radiotherapy', 'Oropharyngeal Neoplasms/drug therapy/radiotherapy', 'Palatal Neoplasms/drug therapy/radiotherapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/radiotherapy', 'Radiation Injuries/*etiology', 'Rhabdomyosarcoma/drug therapy/radiotherapy', 'Tracheal Neoplasms/drug therapy/radiotherapy']",1993/06/15 00:00,1993/06/15 00:01,['1993/06/15 00:00'],"['1993/06/15 00:00 [pubmed]', '1993/06/15 00:01 [medline]', '1993/06/15 00:00 [entrez]']",['10.1002/1097-0142(19930615)71:12<4084::aid-cncr2820711246>3.0.co;2-b [doi]'],ppublish,Cancer. 1993 Jun 15;71(12):4084-90. doi: 10.1002/1097-0142(19930615)71:12<4084::aid-cncr2820711246>3.0.co;2-b.,,,,,,,,,,,,,,,,,
8508355,NLM,MEDLINE,19930709,20190620,0008-543X (Print) 0008-543X (Linking),71,12,1993 Jun 15,"Randomized study of individualized induction therapy with or without vincristine, and of maintenance-intensification therapy between 4 or 12 courses in adult acute myeloid leukemia. AML-87 Study of the Japan Adult Leukemia Study Group.",3888-95,"BACKGROUND: It was assessed whether addition of vincristine (VCR) to remission induction therapy would increase the complete remission (CR) rate, and, secondarily, whether 12 courses of maintenance-intensification therapy would produce longer survival than 4 courses in adult acute myeloid leukemia (AML). METHODS: A randomized comparison of individualized induction therapy was conducted between daunorubicin, behenoyl cytarabine, 6-mercaptopurine, and prednisolone with or without VCR. After 3 courses of intensive consolidation therapy, maintenance-intensification therapy was randomized to 4 or 12 courses given every 6 weeks. RESULTS: Of 265 patients registered, 252 were evaluable. CR was obtained in 78%; 80% in 205 patients of age younger than 60 years, and 65% in 47 of age 60 years or older. Addition of VCR reduced the CR rate significantly (84% to 70%, P = 0.007). Predicted 4-year survival, continuing CR, and disease-free survival (DFS) rates of 196 CR patients are 45%, 41%, and 35%, respectively. Patients receiving 12 courses of maintenance-intensification showed better DFS. By multivariate analyses, significant factors for achievement of CR were performance status 0 to 2, age younger than 60 years, and no VCR; and those for longer DFS were achievement of CR by one course, age younger than 50 years, and French-American-British (FAB) classification M3 or M5. Among 131 patients randomized to the maintenance, the administration of 12 courses was the most important factor (P = 0.0040) for longer DFS, followed by FAB M3 or M5, and by achievement of CR by one course. CONCLUSIONS: Addition of VCR in remission induction therapy was harmful, and longer intensive maintenance therapy prolonged DFS in adult AML.","['Ohno, R', 'Kobayashi, T', 'Tanimoto, M', 'Hiraoka, A', 'Imai, K', 'Asou, N', 'Tomonaga, M', 'Tsubaki, K', 'Takahashi, I', 'Kodera, Y']","['Ohno R', 'Kobayashi T', 'Tanimoto M', 'Hiraoka A', 'Imai K', 'Asou N', 'Tomonaga M', 'Tsubaki K', 'Takahashi I', 'Kodera Y', 'et al.']","['Department of Medicine, Nagoya University Branch Hospital, Japan.']",['eng'],,"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Mercaptopurine/administration & dosage', 'Middle Aged', 'Prednisolone/administration & dosage', 'Prospective Studies', 'Remission Induction', 'Survival Rate', 'Time Factors', 'Vincristine/*administration & dosage']",1993/06/15 00:00,1993/06/15 00:01,['1993/06/15 00:00'],"['1993/06/15 00:00 [pubmed]', '1993/06/15 00:01 [medline]', '1993/06/15 00:00 [entrez]']",['10.1002/1097-0142(19930615)71:12<3888::aid-cncr2820711216>3.0.co;2-g [doi]'],ppublish,Cancer. 1993 Jun 15;71(12):3888-95. doi: 10.1002/1097-0142(19930615)71:12<3888::aid-cncr2820711216>3.0.co;2-g.,,,,,,,,,,,,,,,,,
8508354,NLM,MEDLINE,19930709,20190620,0008-543X (Print) 0008-543X (Linking),71,12,1993 Jun 15,Dual-color flow cytometric analysis of megakaryocytic DNA ploidy in the investigation of blastic phase chronic myelogenous leukemia with rearrangement of 3q26.,3882-7,"A patient is described with chronic myelogenous leukemia in blastic crisis, in whom numerous circulating platelet fragments and megakaryocytic nuclei were present, with 50% blasts and 50% micromegakaryocytes in the marrow. The blasts expressed myeloid-associated antigens CD34, CD33, and CD13, whereas the micromegakaryocytes were positive for CD41, CD42b, and CD61. These findings suggested a myeloblastic transformation with a possible megakaryoblastic component. Cytogenetic analysis showed rearrangement of 3q26 in the form of t(2;3) (p13;q26), in addition to t(9;22) (q34;q11). Dual-color flow cytometric analysis of DNA content of CD42b-positive cells showed that the micromegakaryocytes were predominantly 2N, indicating a maturation block before nuclear endoreplication and polyploidization. These findings confirmed a combined myeloblastic and megakaryoblastic transformation. It is concluded that dual-color flow cytometric DNA analysis is a useful method for the investigation of abnormal megakaryocytopoiesis in hematologic malignancies.","['Kwong, Y L', 'Robertson, E P', 'Lee, C P', 'Chan, L C']","['Kwong YL', 'Robertson EP', 'Lee CP', 'Chan LC']","['University Department of Medicine, Queen Mary Hospital, Hong Kong.']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,"['0 (DNA, Neoplasm)']",IM,"['Adult', 'Bone Marrow/pathology', 'Cell Nucleolus/ultrastructure', 'Cell Nucleus/ultrastructure', '*Chromosomes, Human, Pair 3', 'Cytoplasm/ultrastructure', 'DNA, Neoplasm/*genetics', 'Diploidy', 'Female', 'Flow Cytometry', '*Gene Rearrangement', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Chronic-Phase/*genetics/*pathology', 'Megakaryocytes/metabolism/*pathology', '*Ploidies', 'Polyploidy']",1993/06/15 00:00,1993/06/15 00:01,['1993/06/15 00:00'],"['1993/06/15 00:00 [pubmed]', '1993/06/15 00:01 [medline]', '1993/06/15 00:00 [entrez]']",['10.1002/1097-0142(19930615)71:12<3882::aid-cncr2820711215>3.0.co;2-0 [doi]'],ppublish,Cancer. 1993 Jun 15;71(12):3882-7. doi: 10.1002/1097-0142(19930615)71:12<3882::aid-cncr2820711215>3.0.co;2-0.,,,,,,,,,,,,,,,,,
