PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CIN,GR,GS,SI,RF,PMC,TT,RIN,CON,EIN,MID,PS,FPS
7651791,NLM,MEDLINE,19950927,20181130,0031-4005 (Print) 0031-4005 (Linking),96,3 Pt 1,1995 Sep,Scopolamine patch-induced unilateral mydriasis.,525,,"['Thiele, E A', 'Riviello, J J']","['Thiele EA', 'Riviello JJ']","[""Department of Neurology, Children's Hospital, Boston, MA 02115, USA.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Pediatrics,Pediatrics,0376422,['DL48G20X8X (Scopolamine)'],IM,"['Administration, Cutaneous', 'Adult', 'Bone Marrow Transplantation', 'Child', 'Female', 'Humans', 'Mydriasis/*chemically induced/physiopathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Scopolamine/administration & dosage/*adverse effects']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",,ppublish,Pediatrics. 1995 Sep;96(3 Pt 1):525.,,,,,,,,,,,,,,
7651466,NLM,MEDLINE,19950928,20190702,0027-5107 (Print) 0027-5107 (Linking),347,2,1995 Jul,An investigation of the cytotoxic and mutagenic potential of low intensity laser irradiation in Friend erythroleukaemia cells.,67-71,"The purpose of this study was to investigate the cytotoxic and genotoxic potential of low intensity laser irradiation (660 nm, 12 mW, 5 kHz) on mammalian cells. Thymidine kinase (TK)-positive and TK-deficient Friend erythroleukaemia (FEL) cells, clone 707 and subclone 707BUF respectively, were used in this investigation. Following irradiation of exponentially growing cells in suspension at doses of 2 and 20 J/cm2 a number of sensitive bioassays were used to facilitate the detection of laser-induced mutations, DNA damage and cell killing. Mutations were assessed by the examination of chromosome spreads, the determination of micronucleus frequency and by the determination of the mutant frequency at the hypoxanthine-guanine phosphoribosyltransferase (hgprt) locus. DNA damage was quantified using a sensitive ELISA. The cytotoxic effect of laser irradiation was assessed using a cloning assay. The results of this investigation did not show any significant increase in mutation frequency, DNA damage or cell survival in the laser-irradiated cells, compared to sham-irradiated controls. The lack of any demonstrable cytotoxic and genotoxic effects of low intensity laser irradiation on mammalian cells in culture would support it as being a safe modality for clinical use.","['Logan, I D', 'McKenna, P G', 'Barnett, Y A']","['Logan ID', 'McKenna PG', 'Barnett YA']","['Biotherapeutics Research Group, School of Biomedical Sciences, University of Ulster, Coleraine, Co. Londonderry, Northern Ireland, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Mutat Res,Mutation research,0400763,,IM,"['Cell Line', 'Cell Survival', 'DNA Damage', 'Friend murine leukemia virus', 'Humans', '*Lasers', 'Leukemia, Erythroblastic, Acute/*genetics', 'Lymphocytes/*radiation effects', 'Mutagenicity Tests', 'Tumor Cells, Cultured']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']","['0165-7992(95)90072-1 [pii]', '10.1016/0165-7992(95)90072-1 [doi]']",ppublish,Mutat Res. 1995 Jul;347(2):67-71. doi: 10.1016/0165-7992(95)90072-1.,,,,,,,,,,,,,,
7651416,NLM,MEDLINE,19950922,20210526,0270-7306 (Print) 0270-7306 (Linking),15,9,1995 Sep,Overexpression of core-binding factor alpha (CBF alpha) reverses cellular transformation by the CBF beta-smooth muscle myosin heavy chain chimeric oncoprotein.,4980-9,"A fusion between the transcription factor core-binding factor beta (CBF beta; also known as PEBP2 beta) and the tail region of smooth muscle myosin heavy chain (SMMHC) is generated by an inversion of chromosome 16 [inv(16) (p13q22)] associated with the M4Eo subtype of acute myeloid leukemia. We have previously shown that this CBF beta-SMMHC chimeric protein can transform NIH 3T3 cells and that this process requires regions of the chimeric protein necessary for association with the CBF alpha subunit. In this study, we show that NIH 3T3 cells overexpressing murine Cbf alpha 2 (also known as Aml1) cannot be transformed by CBF beta-SMMHC and that overexpression of Cbf alpha 2 in cells previously transformed by CBF beta-SMMHC reverts the cells to a less transformed phenotype. Cbf alpha 2 overexpression does not cause any gross morphological changes to NIH 3T3 cells but does result in increased CBF activity, as indicated by electrophoretic mobility shift assays and transactivation of reporter constructs. Cells transformed by CBF beta-SMMHC lack normal CBF-DNA complexes and have decreased levels of transactivation. Reversion of CBF beta-SMMHC transformation by Cbf alpha 2 is associated with a restoration of normal CBF-DNA complexes and transactivation activity. A Cbf alpha 2 mutant lacking transactivation properties does not transform cells when overexpressed, nor does it protect cells from CBF beta-SMMHC transformation. These results suggest that CBF beta-SMMHC interferes with the normal function of CBF and that this interference is necessary but not sufficient for cellular transformation.","['Hajra, A', 'Liu, P P', 'Speck, N A', 'Collins, F S']","['Hajra A', 'Liu PP', 'Speck NA', 'Collins FS']","['Laboratory of Gene Transfer, National Institutes of Health, Bethesda, Maryland 20892, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Retracted Publication']",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Core Binding Factor alpha Subunits)', '0 (Core Binding Factor beta Subunit)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Runx1 protein, mouse)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)']",IM,"['3T3 Cells', 'Animals', 'Base Sequence', 'Cell Transformation, Neoplastic/*genetics', 'Chromosome Inversion', 'Chromosomes, Human, Pair 16/*genetics', 'Core Binding Factor Alpha 2 Subunit', 'Core Binding Factor alpha Subunits', 'Core Binding Factor beta Subunit', 'DNA-Binding Proteins/genetics/*metabolism', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Myeloid/etiology/*genetics', 'Mice', 'Models, Biological', 'Molecular Sequence Data', 'Mutation', 'Neoplasm Proteins/genetics/*metabolism', '*Proto-Oncogene Proteins', 'Transcription Factor AP-2', 'Transcription Factors/genetics/*metabolism', 'Transcriptional Activation', 'Transfection']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1128/MCB.15.9.4980 [doi]'],ppublish,Mol Cell Biol. 1995 Sep;15(9):4980-9. doi: 10.1128/MCB.15.9.4980.,,,['CA58343-01/CA/NCI NIH HHS/United States'],,,,PMC230745,,"['Hajra A, Liu PP, Speck NA, Collins FS. Mol Cell Biol. 1996 Dec;16(12):7185. PMID:', '9333713']",,,,,
7651367,NLM,MEDLINE,19950926,20161123,0026-895X (Print) 0026-895X (Linking),48,2,1995 Aug,Characterization of drug resistance mediated via the suppression of apoptosis by Abelson protein tyrosine kinase.,334-43,"Constitutive activation of the Abelson (Abl) protein tyrosine kinase (PTK) is a causative event in chronic myeloid leukemia, where intense chemotherapy currently fails to eradicate the leukemic clone. Using a mouse mast cell line (IC.DP), we previously showed that v-Abl PTK induced resistance to the anti-cancer drugs melphalan and hydroxyurea by the suppression of apoptosis. Here, using this cell line, we demonstrate by alkaline elution that v-Abl PTK did not affect the levels of DNA damage induced by either drug. This confirms that v-Abl PTK acts downstream of the drug-target interaction to prevent the coupling of drug-induced damage to the apoptotic pathway. Although Abl PTK- and interleukin-3 (IL-3)-stimulated signaling events share common signaling pathways, a similar level of drug resistance was not provided by IL-3, implying that Abl PTK does not merely mimic an IL-3 survival signaling pathway. Previously we demonstrated translocation of protein kinase C-beta II stimulated by activation of Abl PTK. Drug sensitivity was restored in cells with active v-Abl PTK by simultaneous addition of calphostin C, an inhibitor of protein kinase C, suggesting a role for protein kinase C in the suppression of drug-induced apoptosis by v-Abl PTK. One novel strategy for the treatment of chronic myeloid leukemia could therefore include the use of a downstream modifier of the Abl PTK-mediated survival signaling pathway to render leukemic cells more sensitive to a second drug, such as a cytotoxic agent.","['Chapman, R S', 'Whetton, A D', 'Chresta, C M', 'Dive, C']","['Chapman RS', 'Whetton AD', 'Chresta CM', 'Dive C']","['Cancer Research Campaign Molecular and Cellular Pharmacology Group, School of Biological Sciences, University of Manchester, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Interleukin-3)', '0 (Naphthalenes)', '9007-49-2 (DNA)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.13 (Protein Kinase C)', 'I271P23G24 (calphostin C)', 'Q41OR9510P (Melphalan)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Abelson murine leukemia virus/*enzymology', 'Animals', '*Apoptosis', 'Cell Cycle', 'Cell Line', 'DNA/drug effects', 'DNA Damage', '*Drug Resistance', 'Hydroxyurea/pharmacology', 'Interleukin-3/pharmacology', 'Melphalan/pharmacology', 'Mice', 'Naphthalenes/pharmacology', 'Protein Kinase C/antagonists & inhibitors', 'Protein-Tyrosine Kinases/*metabolism']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Mol Pharmacol. 1995 Aug;48(2):334-43.,,,,,,,,,,,,,,
7651366,NLM,MEDLINE,19950926,20121115,0026-895X (Print) 0026-895X (Linking),48,2,1995 Aug,"Substrate specificity of mammalian folylpolyglutamate synthetase for 5,10-dideazatetrahydrofolate analogs.",326-33,"The metabolism of 5,10-dideazatetrahydrofolate (DDATHF [lometrexol]) to polyglutamate derivatives by folylpoly-gamma-glutamate synthetase (FPGS) plays a central role in the activity of this compound as an antineoplastic agent. The availability of a series of DDATHF derivatives differing in structure throughout the molecule has allowed a study of the structural requirements for substrate activity with mouse liver and hog liver FPGS. Kinetics of the polyglutamation reaction in vitro have been related to the potency of these compounds as inhibitors of the growth of human CEM leukemic cells. The structure-activity relationships for enzyme from both sources were nearly identical. FPGS from both species showed a broad acceptance for structural changes in the pyridopyrimidine ring, in the phenyl group, and in the intermediate bridge region, with structural changes in these regions being reflected in changes in Km for FPGS but much more modest alterations in Vmax. The data suggested that the phenyl ring was not contributing to any pi-pi hydrophobic interactions. It appeared to function primarily in maintaining a favorable distance between the pyridopyrimidine ring and the glutamate side chain. The lowest Km values were found for DDATHF analogs in which there were small alterations at the 10 position, e.g., 5-deazatetrahydrofolate, 10-methyl-DDATHF, and 10-formyl-5-deazatetrahydrofolate; the first-order rate constants for these substrates were the highest in this series, an indication of the efficiency of polyglutamation at low substrate concentrations. After correction for the intrinsic inhibitory activity of the parent DDATHF analog as an inhibitor of the target enzyme, the first-order rate constants for FPGS were found to be predictive of the potency of tumor cell growth inhibition for most of the compounds in this structural series.","['Habeck, L L', 'Mendelsohn, L G', 'Shih, C', 'Taylor, E C', 'Colman, P D', 'Gossett, L S', 'Leitner, T A', 'Schultz, R M', 'Andis, S L', 'Moran, R G']","['Habeck LL', 'Mendelsohn LG', 'Shih C', 'Taylor EC', 'Colman PD', 'Gossett LS', 'Leitner TA', 'Schultz RM', 'Andis SL', 'Moran RG']","['Lilly Research Laboratories, Eli Lilly and Company, Indianapolis, Indiana 46285, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Tetrahydrofolates)', '6P3AVY8A7Q (lometrexol)', 'EC 2.1.2.- (Hydroxymethyl and Formyl Transferases)', 'EC 2.1.2.2 (Phosphoribosylglycinamide Formyltransferase)', 'EC 2.3.- (Acyltransferases)', 'EC 6.3.2.- (Peptide Synthases)', 'EC 6.3.2.17 (folylpolyglutamate synthetase)']",IM,"['Acyltransferases/antagonists & inhibitors', 'Animals', 'Cell Division/drug effects', '*Hydroxymethyl and Formyl Transferases', 'Kinetics', 'Leukemia/pathology', 'Liver/enzymology', 'Mice', 'Peptide Synthases/*metabolism', 'Phosphoribosylglycinamide Formyltransferase', 'Substrate Specificity', 'Swine', 'Tetrahydrofolates/chemistry/*metabolism/pharmacology', 'Tumor Cells, Cultured']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Mol Pharmacol. 1995 Aug;48(2):326-33.,,,['CA27605/CA/NCI NIH HHS/United States'],,,,,,,,,,,
7651206,NLM,MEDLINE,19950928,20190711,0076-6879 (Print) 0076-6879 (Linking),251,,1995,Use of p-nitrophenyl disulfide to measure reductive capacity of intact cells.,279-86,,"['Gitler, C', 'Londner, M']","['Gitler C', 'Londner M']","['Department of Membrane Research and Biophysics, Weizmann Institute of Science, Rehovot, Israel.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Methods Enzymol,Methods in enzymology,0212271,"['0 (Disulfides)', '0 (Indicators and Reagents)', '0 (Maleates)', ""100-32-3 (4,4'-dinitrodiphenyldisulfide)"", '9BZQ3U62JX (Dithionitrobenzoic Acid)', 'K39366X5N0 (dimethyl maleate)']",IM,"['Animals', 'Cells/*metabolism', '*Disulfides/*chemistry', 'Dithionitrobenzoic Acid/pharmacology', 'Erythrocytes/*metabolism', 'Humans', 'Indicators and Reagents', 'Kinetics', 'Leukemia L1210/*metabolism', 'Maleates/pharmacology', 'Mice', 'Oxidation-Reduction', 'Spectrophotometry/methods', 'Tumor Cells, Cultured']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']","['0076-6879(95)51130-X [pii]', '10.1016/0076-6879(95)51130-x [doi]']",ppublish,Methods Enzymol. 1995;251:279-86. doi: 10.1016/0076-6879(95)51130-x.,,,,,,,,,,,,,,
7651204,NLM,MEDLINE,19950928,20190711,0076-6879 (Print) 0076-6879 (Linking),251,,1995,Thiols and the immune system: effect of N-acetylcysteine on T cell system in human subjects.,255-70,,"['Droge, W', 'Kinscherf, R', 'Mihm, S', 'Galter, D', 'Roth, S', 'Gmunder, H', 'Fischbach, T', 'Bockstette, M']","['Droge W', 'Kinscherf R', 'Mihm S', 'Galter D', 'Roth S', 'Gmunder H', 'Fischbach T', 'Bockstette M']","['Division of Immunochemistry, Deutsches Krebsforschungszentrum, Heidelberg 1, Germany.']",['eng'],['Journal Article'],United States,Methods Enzymol,Methods in enzymology,0212271,"['0 (NF-kappa B)', '0 (Receptors, Interleukin-2)', '0 (Sulfhydryl Compounds)', '3X7931PO74 (hydrocortisone acetate)', '60-24-2 (Mercaptoethanol)', 'EC 1.8.1.7 (Glutathione Reductase)', 'GAN16C9B8O (Glutathione)', 'K848JZ4886 (Cysteine)', 'ULW86O013H (Glutathione Disulfide)', 'WI4X0X7BPJ (Hydrocortisone)', 'WYQ7N0BPYC (Acetylcysteine)']",IM,"['Acetylcysteine/*pharmacology', 'Animals', 'Cell Line', 'Cells, Cultured', 'Culture Techniques/methods', 'Cysteine/pharmacology', 'Cytotoxicity, Immunologic/drug effects', 'Gene Expression/drug effects', 'Glutathione/analogs & derivatives/metabolism/pharmacology', 'Glutathione Disulfide', 'Glutathione Reductase/metabolism', 'Humans', 'Hydrocortisone/analogs & derivatives/pharmacology', 'Immunotherapy', 'Leukemia L5178/immunology/therapy', 'Lymphocyte Activation/*drug effects', 'Mercaptoethanol/pharmacology', 'Mice', 'Mice, Inbred C3H', 'Mice, Inbred DBA', 'NF-kappa B/*metabolism', 'Receptors, Interleukin-2/biosynthesis', 'Spleen/immunology', 'Sulfhydryl Compounds/*pharmacology', 'T-Lymphocytes/drug effects/*immunology', 'T-Lymphocytes, Cytotoxic/immunology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']","['0076-6879(95)51128-8 [pii]', '10.1016/0076-6879(95)51128-8 [doi]']",ppublish,Methods Enzymol. 1995;251:255-70. doi: 10.1016/0076-6879(95)51128-8.,,,,,,,,,,,,,,
7651065,NLM,MEDLINE,19950927,20191210,0024-3477 (Print) 0024-3477 (Linking),117,1-2,1995 Jan-Feb,[Transference and countertransference problems in patients treated with bone marrow transplantation].,2-8,"Psychological problems that restrain the patient before, during and after the bone marrow transplantation (BMT) are multiple and are very complex and often have significant effect on the transplantation procedure itself. What patient is going through followed with his expectations and dependence on the transplantation team, together with development of an archaic transference develops a number of counter-transference reactions within the team members. If we assume that during the time spent in a sterile unit and isolation, because of the regressive position, patients use early defending mechanisms, which again, reflect in the reactions of the team members. The aim of this project is to analyse transference and counter-transference problems of the patients and the team members during the BMT. The method used was psychodynamic clinical observance and analysis of transference and counter-transference problems of patients and the team members during the process of transplantation. Thirty-five patients with acute myeloblastic and acute lymphoblastic leukemia, treated with allogenic BMT, were observed during their stay in a sterile unit over the 5-year period. Transplantation procedure, based on observation of psychological dwelling and transference reactions of the patients, is divided into five phases while, from the perspective of the team members, the counter-transference problems are revealed especially during the moments of helplessness. The most important mechanism that the team members are using to protect themselves from this feeling is ""selective avoidance of psychological"", in other words, avoidance of empathy.","['Gregurek, R', 'Ladika, I']","['Gregurek R', 'Ladika I']","['Klinika za psiholossku medicinu, Medicinski fakultet Sveucilisa u Zagrebu, Klinicki bolnicki centar.']",['hrv'],['Journal Article'],Croatia,Lijec Vjesn,Lijecnicki vjesnik,0074253,,IM,"['Adolescent', 'Adult', 'Bone Marrow Transplantation/*psychology', '*Countertransference', 'Female', 'Humans', 'Leukemia/psychology/therapy', 'Male', '*Transference, Psychology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",,ppublish,Lijec Vjesn. 1995 Jan-Feb;117(1-2):2-8.,,,,,,,,Transferni i kontratransferni problemi u radu s bolesnicima lijecenim transplantacijom kostane srzi.,,,,,,
7650986,NLM,MEDLINE,19950926,20071115,0023-7205 (Print) 0023-7205 (Linking),92,34,1995 Aug 23,[Peroral 32P in polycythemia vera and essential thrombocytopenia. An old method still of current interest].,2989-92,,"['Brandt, L', 'Anderson, H']","['Brandt L', 'Anderson H']","['Onkologiska kliniken, Universitetssjukhuset, Lund.']",['swe'],['Journal Article'],Sweden,Lakartidningen,Lakartidningen,0027707,['0 (Phosphorus Radioisotopes)'],IM,"['Administration, Oral', 'Aged', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/etiology', 'Male', 'Phosphorus Radioisotopes/*administration & dosage', 'Polycythemia Vera/complications/mortality/*radiotherapy', 'Risk Factors']",1995/08/23 00:00,1995/08/23 00:01,['1995/08/23 00:00'],"['1995/08/23 00:00 [pubmed]', '1995/08/23 00:01 [medline]', '1995/08/23 00:00 [entrez]']",,ppublish,Lakartidningen. 1995 Aug 23;92(34):2989-92.,,,,,,,,32P peroralt vid polycytaemia vera och essentiell trombocytopeni. Gammal metod som haller an.,,,,,,
7650695,NLM,MEDLINE,19950927,20190709,0022-2623 (Print) 0022-2623 (Linking),38,17,1995 Aug 18,"Synthesis and evaluation of some 10-mono- and 2',10-diesters of 10-deacetylpaclitaxel.",3411-4,"10-Deacetylpaclitaxel, isolated from the bark of Taxus brevifolia, was converted into paclitaxel in one composite step (trimethylsilylation, acetylation, and desilylation) and in an overall yield of 80-85%. A series of 10-monoesters of 10-deacetylpaclitaxel are prepared by protection of the 2'- and 7-hydroxyls with a chloroacetyl group, acylation, and deprotection. Depending on the reaction conditions, the 10-monoesters, either exclusively or accompanied by the 2',10-diesters, are formed. The mono- and diesters were evaluated using the L-1210 cell culture assay. The 10-monoesters were comparable to paclitaxel and more active than the corresponding 2',10-diesters. The 10-[(4-methoxyphenyl)acetyl], 10-(2-nitrobenzoyl), and 10-(phenylacetyl) esters were found to be somewhat more active than paclitaxel.","['Rao, K V', 'Bhakuni, R S', 'Johnson, J', 'Oruganti, R S']","['Rao KV', 'Bhakuni RS', 'Johnson J', 'Oruganti RS']","['Department of Medicinal Chemistry, College of Pharmacy, University of Florida, Gainesville 32610, USA.']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Esters)', '0 (Taxoids)', 'B77R96LJLK (10-deacetylpaclitaxel)', 'P88XT4IS4D (Paclitaxel)']",IM,"['Animals', 'Antineoplastic Agents, Phytogenic/*chemical synthesis/chemistry/pharmacology', 'Esters', 'Leukemia L1210/pathology', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Paclitaxel/*analogs & derivatives/chemical synthesis/chemistry/pharmacology', '*Taxoids', 'Tumor Cells, Cultured']",1995/08/18 00:00,1995/08/18 00:01,['1995/08/18 00:00'],"['1995/08/18 00:00 [pubmed]', '1995/08/18 00:01 [medline]', '1995/08/18 00:00 [entrez]']",['10.1021/jm00017a026 [doi]'],ppublish,J Med Chem. 1995 Aug 18;38(17):3411-4. doi: 10.1021/jm00017a026.,,,,,,,,,,,,,,
7650692,NLM,MEDLINE,19950927,20190709,0022-2623 (Print) 0022-2623 (Linking),38,17,1995 Aug 18,"Nucleosides and nucleotides. 141. Chemical stability of a new antitumor nucleoside, 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine in alkaline medium: formation of 2'-C-cyano-2'-deoxy-1-beta-D-ribo-pentofuranosylcytosine and its antitumor activity.",3391-7,"We have designed 2'-C-cyano-2'-deoxy-1-beta-D-arabino- pentofuranosylcytosine (CNDAC) as a potential mechanism-based DNA-strand-breaking nucleoside, which showed potent tumor cell growth inhibitory activity against various human tumor cell lines in vitro and in vivo. When measuring the pKa of the 2' alpha-proton of CNDAC, we found that CNDAC epimerized to 2'-C-cyano-2'-deoxy-1-beta-D-ribo-pentofuranosylcytosine (CNDC) with concomitant degradation of both CNDAC and CNDC to cytosine and 1,4-anhydro-2-C-cyano-2-deoxy-D-erythro-pent-1- enitol. Kinetic analysis of these reactions showed that abstraction of the acidic 2'-proton of CNDAC and CNDC initiated the reactions, which quickly reached an equilibrium. In the equilibrium, a concentration ratio of CNDAC and CNDC was about 3:5. Concomitant degradation of these nucleosides was found to be rather slow. Deuterium incorporation experiments with CNDAC in a D2O buffer suggested the mechanism of the beta-elimination reactions is an E1cB type. These epimerization and degradation reactions were found even in neutral conditions (pH 7.5) and also occurred in RPMI 1640 cell culture medium. The discovery of which nucleoside possesses the predominate tumor cell growth inhibitory activity was important. While both nucleosides showed potent tumor cell growth inhibitory activity against three human tumor cell lines (colon carcinoma WiDr, small cell lung carcinoma SBC-5, and stomach carcinoma MKN-74 cells) in 48 h of incubation, in 20 min of incubation, CNDAC was 11-50 times more effective than CNDC. In vivo antileukemic activity of these nucleosides against a mouse P388 model, CNDAC was obviously superior to CNDC.(ABSTRACT TRUNCATED AT 250 WORDS)","['Azuma, A', 'Hanaoka, K', 'Kurihara, A', 'Kobayashi, T', 'Miyauchi, S', 'Kamo, N', 'Tanaka, M', 'Sasaki, T', 'Matsuda, A']","['Azuma A', 'Hanaoka K', 'Kurihara A', 'Kobayashi T', 'Miyauchi S', 'Kamo N', 'Tanaka M', 'Sasaki T', 'Matsuda A']","['Faculty of Pharmaceutical Sciences, Hokkaido University, Sapporo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"[""0 (2'-C-cyano-2'-deoxy-1-ribopentofuranosylcytosine)"", '0 (Antineoplastic Agents)', '0 (Ribonucleosides)', '04079A1RDZ (Cytarabine)', ""134665-72-8 (2'-cyano-2'-deoxyarabinofuranosylcytosine)""]",IM,"['Adenocarcinoma/pathology', 'Animals', 'Antineoplastic Agents/*chemical synthesis/pharmacology', 'Cell Division/drug effects', 'Colonic Neoplasms/pathology', 'Cytarabine/*analogs & derivatives/chemical synthesis/chemistry/pharmacology', 'Drug Stability', 'Female', 'Humans', 'Hydrogen-Ion Concentration', 'Leukemia P388/pathology', 'Mice', 'Mice, Inbred DBA', 'Ribonucleosides/*chemical synthesis/chemistry/pharmacology', 'Spectrum Analysis', 'Tumor Cells, Cultured']",1995/08/18 00:00,1995/08/18 00:01,['1995/08/18 00:00'],"['1995/08/18 00:00 [pubmed]', '1995/08/18 00:01 [medline]', '1995/08/18 00:00 [entrez]']",['10.1021/jm00017a023 [doi]'],ppublish,J Med Chem. 1995 Aug 18;38(17):3391-7. doi: 10.1021/jm00017a023.,,,,,,,,,,,,,,
7650682,NLM,MEDLINE,19950927,20190709,0022-2623 (Print) 0022-2623 (Linking),38,17,1995 Aug 18,"Synthesis of (dialkylamino)alkyl-disubstituted pyrimido[5,6,1- de]acridines, a novel group of anticancer agents active on a multidrug resistant cell line.",3282-6,"A series of pyrimidoacridine derivatives with two basic side chains, 7a-e, was synthesized, as potential antitumor drugs, starting from 2-[2-(dimethylamino)ethyl]-6-chloropyrimido[5,6,1-de]acridine-1,3, 7- trione (6) and a suitable (alkylamino)alkylamine. The products 6 and 7a-e showed significant cytotoxic activity in vitro against L1210 leukemia. Compounds 7a,d were 2 orders of magnitude more cytotoxic than ametantrone. All compounds were also examined for their activity on LoVo and resistant LoVo/Dx cell lines. Unlike ametantrone, the compounds have shown to be able to overcome the multidrug resistance. Compounds 7a,d, the two most active in vitro, were tested in vivo against murine P388 leukemia showing good activity.","['Antonini, I', 'Cola, D', 'Polucci, P', 'Bontemps-Gracz, M', 'Borowski, E', 'Martelli, S']","['Antonini I', 'Cola D', 'Polucci P', 'Bontemps-Gracz M', 'Borowski E', 'Martelli S']","['Department of Chemical Sciences, University of Camerino, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Acridines)', '0 (Antineoplastic Agents)']",IM,"['Acridines/chemical synthesis/*pharmacology', 'Animals', 'Antineoplastic Agents/chemical synthesis/*pharmacology', '*Drug Resistance, Multiple', 'Drug Screening Assays, Antitumor', 'Humans', 'Leukemia L1210/drug therapy', 'Tumor Cells, Cultured']",1995/08/18 00:00,1995/08/18 00:01,['1995/08/18 00:00'],"['1995/08/18 00:00 [pubmed]', '1995/08/18 00:01 [medline]', '1995/08/18 00:00 [entrez]']",['10.1021/jm00017a013 [doi]'],ppublish,J Med Chem. 1995 Aug 18;38(17):3282-6. doi: 10.1021/jm00017a013.,,,,,,,,,,,,,,
