PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,EIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,RF,GR,CI,PMC,CIN,OID,OTO,OT,GN,SI,CON,OAB,OABL
9621062,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,In vivo protein binding and functional analysis of cis-acting elements in the U3 region of the bovine leukemia virus long terminal repeat.,5994-6003,"Bovine leukemia virus (BLV) is a member of the human T-cell leukemia virus (HTLV)/BLV group of retroviruses. These viruses regulate their own transcription by producing Tax, a protein which activates the virus promoter region, the long terminal repeat (LTR). To explore the molecular mechanisms involved in the transactivation, we identified protein binding elements by in vivo footprinting and analyzed their function by site- directed mutagenesis. We used in vivo dimethyl sulfate footprinting by ligation-mediated PCR to detect constitutive in vivo protein-DNA interactions in a BLV-producing cell line, Bat2Cl6. The U3 region and part of the R region of the LTR were footprinted. In addition to the cis-acting elements (three cyclic AMP-responsive elements [CREs] and two AP4 sites) reported by others to be important for Tax-mediated activation of the BLV LTR, we found footprints in regions flanking these elements and in the core promoter region. The importance of these sites for transcriptional activation was studied by site-directed mutagenesis followed by promoter function analysis of the mutants with a chloramphenicol acetyltransferase reporter system. Our data corroborate those of others showing that the CREs are necessary for transactivation of the LTR, and they identify two new functional sites not previously reported by others. We show that the middle region of the BLV U3 contains multiple dual-functioning cis-acting elements which act as either positive or negative regulatory elements depending on the cell type tested. This is the first report of a functional mapping of the cis-acting elements of a virus of the HTLV/BLV group.","['Xiao, J', 'Buehring, G C']","['Xiao J', 'Buehring GC']","['School of Public Health, University of California, Berkeley, California 94720, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['Animals', 'Binding Sites', 'Cattle', 'Cell Line', 'Female', 'Gene Products, tax/physiology', 'Leukemia Virus, Bovine/*genetics', 'Mutation', '*Promoter Regions, Genetic', 'Protein Binding', '*Repetitive Sequences, Nucleic Acid', 'TATA Box']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5994-6003.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5994-6003. doi: 10.1128/JVI.72.7.5994-6003.1998.,"['0 (Gene Products, tax)']",,,,,PMC110404,,,,,,,,,
9621058,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,Retroviral diversity and distribution in vertebrates.,5955-66,"We used the PCR to screen for the presence of endogenous retroviruses within the genomes of 18 vertebrate orders across eight classes, concentrating on reptilian, amphibian, and piscine hosts. Thirty novel retroviral sequences were isolated and characterized by sequencing approximately 1 kb of their encoded protease and reverse transcriptase genes. Isolation of novel viruses from so many disparate hosts suggests that retroviruses are likely to be ubiquitous within all but the most basal vertebrate classes and, furthermore, gives a good indication of the overall retroviral diversity within vertebrates. Phylogenetic analysis demonstrated that viruses clustering with (but not necessarily closely related to) the spumaviruses and murine leukemia viruses are widespread and abundant in vertebrate genomes. In contrast, we were unable to identify any viruses from hosts outside of mammals and birds which grouped with the other five currently recognized retroviral genera: the lentiviruses, human T-cell leukemia-related viruses, avian leukemia virus-related retroviruses, type D retroviruses, and mammalian type B retroviruses. There was also some indication that viruses isolated from individual vertebrate classes tended to cluster together in phylogenetic reconstructions. This implies that the horizontal transmission of at least some retroviruses, between some vertebrate classes, occurs relatively infrequently. It is likely that many of the retroviral sequences described here are distinct enough from those of previously characterized viruses to represent novel retroviral genera.","['Herniou, E', 'Martin, J', 'Miller, K', 'Cook, J', 'Wilkinson, M', 'Tristem, M']","['Herniou E', 'Martin J', 'Miller K', 'Cook J', 'Wilkinson M', 'Tristem M']","['Department of Biology, Imperial College, Ascot, Berkshire SL5 7PY, United Kingdom.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['Amino Acid Sequence', 'Animals', 'Humans', 'Molecular Sequence Data', 'Phylogeny', 'Polymerase Chain Reaction', 'Retroviridae/*classification/genetics', 'Vertebrates/*virology']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5955-5966.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5955-66. doi: 10.1128/JVI.72.7.5955-5966.1998.,,,,,,PMC110400,,,,,,"['GENBANK/AJ225207', 'GENBANK/AJ225208', 'GENBANK/AJ225209', 'GENBANK/AJ225210', 'GENBANK/AJ225211', 'GENBANK/AJ225212', 'GENBANK/AJ225213', 'GENBANK/AJ225214', 'GENBANK/AJ225215', 'GENBANK/AJ225216', 'GENBANK/AJ225217', 'GENBANK/AJ225218', 'GENBANK/AJ225219', 'GENBANK/AJ225220', 'GENBANK/AJ225221', 'GENBANK/AJ225222', 'GENBANK/AJ225223', 'GENBANK/AJ225224', 'GENBANK/AJ225225', 'GENBANK/AJ225226', 'GENBANK/AJ225227', 'GENBANK/AJ225228', 'GENBANK/AJ225229', 'GENBANK/AJ225230', 'GENBANK/AJ225231', 'GENBANK/AJ225232', 'GENBANK/AJ225233', 'GENBANK/AJ225234', 'GENBANK/AJ225235', 'GENBANK/AJ225236']",,,
9621052,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,Replication defect of moloney murine leukemia virus with a mutant reverse transcriptase that can incorporate ribonucleotides and deoxyribonucleotides.,5905-11,"Reverse transcriptase (RT) plays a critical role in retrovirus replication, directing the synthesis of a double- stranded DNA copy of the viral RNA genome. We have previously described a mutant RT of the Moloney murine leukemia virus in which F155 was replaced by valine, and we demonstrated that this substitution allowed the enzyme to incorporate ribonucleotides to form RNA while still retaining its normal ability to incorporate deoxyribonucleotides to form DNA. When introduced into the viral genome, this mutation rendered the virus incapable of replication. Characterization of the mutant virus revealed that the enzyme was still active and able to synthesize minus-strand strong stop DNA and some longer products but failed to make full-length minus-strand DNA. We propose that the failure of the enzyme to complete DNA synthesis in vivo resulted from its ability to incorporate ribonucleotides into the products, which served as inhibitors for DNA synthesis. We also tested seven other amino acid residues for their abilities to substitute for F155 in virus replication; of these, only tyrosine could support virus replication. In an attempt to select for second-site suppressor mutations, the F155V mutant was subjected to random mutagenesis and was used as a parent for the isolation of revertant viruses. Two independent revertants were found to have changed the valine residue at position 155 back to the wild- type phenylalanine. These results suggest that an aromatic ring at this position is important for virus replication.","['Gao, G', 'Goff, S P']","['Gao G', 'Goff SP']","['Howard Hughes Medical Institute, Department of Biochemistry and Molecular Biophysics, Columbia University College of Physicians and Surgeons, New York, New York 10032, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,IM,,"['3T3 Cells', 'Animals', 'DNA, Viral/biosynthesis', 'Deoxyribonucleotides/*metabolism', 'Mice', 'Moloney murine leukemia virus/*physiology', 'Mutation', 'RNA-Directed DNA Polymerase/*physiology', 'Ribonucleotides/*metabolism', 'Virion/genetics', '*Virus Replication']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5905-5911.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5905-11. doi: 10.1128/JVI.72.7.5905-5911.1998.,"['0 (DNA, Viral)', '0 (Deoxyribonucleotides)', '0 (Ribonucleotides)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",,,"['R01 CA030488/CA/NCI NIH HHS/United States', 'R37 CA030488/CA/NCI NIH HHS/United States', 'CA 30488/CA/NCI NIH HHS/United States']",,PMC110394,,,,,,,,,
9621051,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,Antiapoptotic activity of the herpesvirus saimiri-encoded Bcl-2 homolog: stabilization of mitochondria and inhibition of caspase-3-like activity.,5897-904,"Viruses have evolved different strategies to interfere with host cell apoptosis. Herpesvirus saimiri (HVS) and other lymphotropic herpesviruses code for proteins that are homologous to the cellular antiapoptotic Bcl-2. In this study HVS-Bcl-2 was stably expressed in the human leukemia cell line Jurkat and in the murine T-cell hybridoma DO to assess its antiapoptotic spectrum and to gain further insight into its mode of action. HVS- Bcl-2 prevented apoptosis that occurs as a result of a disturbance of intracellular homeostasis by, for example, DNA damage or menadione, which gives rise to oxygen radicals. In Jurkat cells, HVS-Bcl-2 also inhibited apoptosis mediated by the death receptor CD95. In DO cells, HVS-Bcl-2 did not interfere with CD95-mediated apoptosis but blocked dexamethasone-induced cell death. Mitochondrial damage is a central coordinating event in apoptosis induced by different stimuli. To assess the integrity of mitochondria, we used rhodamine 123, which is released upon disturbance of the mitochondrial membrane potential, and determined the release of cytochrome c into the cytosol. Both signs of mitochondrial damage were prevented by HVS-Bcl-2. This viral protein also inhibited the generation of caspase-3-like DEVDase activity and blocked the cleavage of poly(ADP-ribose) polymerase, a natural substrate of caspase-3-like proteases. In conclusion, HVS-Bcl-2 protects against a great variety of apoptotic stimuli, stabilizes mitochondria, and acts upstream of the generation of caspase-3-like activity.","['Derfuss, T', 'Fickenscher, H', 'Kraft, M S', 'Henning, G', 'Lengenfelder, D', 'Fleckenstein, B', 'Meinl, E']","['Derfuss T', 'Fickenscher H', 'Kraft MS', 'Henning G', 'Lengenfelder D', 'Fleckenstein B', 'Meinl E']","['Institut fur Klinische und Molekulare Virologie, University of Erlangen-Nurnberg, D-91054 Erlangen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['Apoptosis/*drug effects', 'Caspase 3', '*Caspases', 'Cell Line', 'Cysteine Endopeptidases/*metabolism', 'Dexamethasone/pharmacology', 'Free Radicals', 'Herpesvirus 2, Saimiriine/*physiology', 'Humans', 'Mitochondria/*drug effects', 'Phosphatidylserines/pharmacology', 'Proto-Oncogene Proteins c-bcl-2/*pharmacology', 'Serine Proteinase Inhibitors/*pharmacology', 'Transfection', 'Viral Proteins/*pharmacology', 'fas Receptor/physiology']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5897-5904.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5897-904. doi: 10.1128/JVI.72.7.5897-5904.1998.,"['0 (Free Radicals)', '0 (Phosphatidylserines)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Serine Proteinase Inhibitors)', '0 (Viral Proteins)', '0 (fas Receptor)', '7S5I7G3JQL (Dexamethasone)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)', 'EC 3.4.22.- (Cysteine Endopeptidases)']",,,,,PMC110393,,,,,,,,,
9621033,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,B-Cell lymphoma induction by akv murine leukemia viruses harboring one or both copies of the tandem repeat in the U3 enhancer.,5745-56,"Akv is an endogenous, ecotropic murine leukemia virus (MuLV) of the AKR strain. It has served as a prototype nonpathogenic or weakly pathogenic reference virus for studies of closely related potent lymphomagenic viruses such as the T-lymphomagenic SL3-3. We here report that Akv and an Akv mutant (Akv1-99) with only one copy of the 99-bp transcriptional enhancer induce malignant lymphomas with nearly 100% incidence and mean latency periods of 12 months after injection into newborn NMRI mice. Molecular analysis of tumor DNA showed that the majority of the tumors were of the B-cell type. Sequence analysis of proviral transcriptional enhancers in DNA of B-cell lymphomas revealed conservation of the enhancer sequence, as well as a lack of sequence duplications of the Akv1-99 variant, while the repeat copy number in Akv was subject to fluctuations. In support of a B-cell specificity of the Akv enhancer, a murine plasmacytoma cell line was found to sustain three- to fivefold-higher transient transcriptional activity upon the Akv and Akv1-99 enhancers than upon the enhancer of the T-lymphomagenic SL3-3 MuLV. Thus, the overall picture is that Akv MuLV possesses a B- lymphomagenic potential and that the second copy of the 99-bp sequence seems to be of minor importance for this potential. However, in one animal the lymphomas induced by Akv1-99 were of the T-cell type. Among the 24 tumors analyzed only this one harbored a clonal proviral integration in the c-myc locus. This provirus had undergone a duplication of a 113-bp sequence of the enhancer region, partly overlapping with the 99-bp repeat of Akv, as well as a few single nucleotide alterations within and outside the repeats. Taken together with previous studies, our results suggest that T- versus B-lymphomagenic specificity of the enhancer is governed by more than one nucleotide difference and that alterations in binding sites for transcription factors of the AML1 and nuclear-factor-1 families may contribute to this specificity.","['Lovmand, J', 'Sorensen, A B', 'Schmidt, J', 'Ostergaard, M', 'Luz, A', 'Pedersen, F S']","['Lovmand J', 'Sorensen AB', 'Schmidt J', 'Ostergaard M', 'Luz A', 'Pedersen FS']","['Department of Molecular and Structural Biology, University of Aarhus, DK-8000 Aarhus C, Denmark.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['3T3 Cells', 'Animals', 'DNA, Neoplasm/analysis', '*Enhancer Elements, Genetic', 'Gene Rearrangement', 'Genes, myc', 'Immunohistochemistry', 'Leukemia Virus, Murine/*genetics/pathogenicity', 'Lymphoma, B-Cell/*etiology', 'Mice', 'Mice, Inbred AKR', 'Point Mutation', '*Repetitive Sequences, Nucleic Acid', 'Tumor Cells, Cultured', 'Virus Integration']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5745-5756.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5745-56. doi: 10.1128/JVI.72.7.5745-5756.1998.,"['0 (DNA, Neoplasm)']",,,,,PMC110375,,,,,,,,,
9621020,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,The neuroinvasiveness of a murine retrovirus is influenced by a dileucine-containing sequence in the cytoplasmic tail of glycosylated Gag.,5619-25,"The tempo and intensity of retroviral neuropathogenesis are dependent on the capacity of the virus to invade the central nervous system. For murine leukemia viruses, an important determinant of neuroinvasiveness is the virus-encoded protein glycosylated Gag, the function of which in the virus life cycle is not known. While this protein is dispensable for virus replication, mutations which prevent its expression slow the spread of virus in vivo and restrict virus dissemination to the brain. To further explore the function of this protein, we compared two viruses, CasFrKP (KP) and CasFrKP41 (KP41), which differ dramatically in neurovirulence. KP expresses high early viremia titers, is neuroinvasive, and induces clinical neurologic disease in 100% of neonatally inoculated mice, with an incubation period of 18 to 23 days. In contrast, KP41 expresses early viremia titers 100- fold lower than those of KP, exhibits attenuated neuroinvasiveness, and induces clinical neurologic disease infrequently, with a relatively long incubation period. The genomes of these two viruses differ by only 10 nucleotides, resulting in differences at five residues, all located within the N-terminal cytoplasmic tail of glycosylated Gag. In this study, using KP as the parental virus, we systematically mutated each of the five amino acid residues to those of KP41 and found that substitution mutation of two membrane-proximal residues, E53 and L56, to K and P, respectively produced the greatest effect on early viremia kinetics and neurovirulence. These mutations disrupted the KP sequence E53FLL56, the leucine dipeptide of which suggests the possibility that it may represent a sorting signal for glycosylated Gag. Supporting this idea was the finding that alteration of this sequence motif increased the level of cell surface expression of the protein, which suggests that analysis of the intracellular trafficking of glycosylated Gag may provide further clues to its function.","['Fujisawa, R', 'McAtee, F J', 'Wehrly, K', 'Portis, J L']","['Fujisawa R', 'McAtee FJ', 'Wehrly K', 'Portis JL']","['Laboratory of Persistent Viral Diseases, Rocky Mountain Laboratories, National Institute of Allergy and Infectious Diseases, Hamilton, Montana 59840, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,IM,,"['Amino Acid Sequence', 'Animals', 'Brain/*virology', 'Cytoplasm/chemistry', 'Gene Products, gag/*chemistry', 'Glycosylation', 'Leucine', 'Leukemia Virus, Murine/chemistry/*pathogenicity', 'Mice', 'Molecular Sequence Data', 'Spleen/virology', 'Viremia/virology', 'Virulence']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5619-5625.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5619-25. doi: 10.1128/JVI.72.7.5619-5625.1998.,"['0 (Gene Products, gag)', 'GMW67QNF9C (Leucine)']",,,['69607/PHS HHS/United States'],,PMC110223,,,,,,,,,
9621016,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,Members of the GATA family of transcription factors bind to the U3 region of Cas-Br-E and graffi retroviruses and transactivate their expression.,5579-88,"Cas-Br-E and Graffi are two murine viruses that induce myeloid leukemia in mice: while Cas-Br-E induces mostly non-T, non-B leukemia composed of very immature cells, Graffi causes exclusively a granulocytic leukemia (E. Rassart, J. Houde, C. Denicourt, M. Ru, C. Barat, E. Edouard, L. Poliquin, and D. Bergeron, Curr. Top. Microbiol. Immunol. 211:201-210, 1995). In an attempt to understand the basis of the myeloid specificity of these two retroviruses, we used DNase I footprinting analysis and gel mobility shift assays to identify a number of protein binding sites within the Cas-Br-E and Graffi U3 regions. Two protected regions include potential GATA binding sites. Methylation interference analysis with different hematopoietic nuclear extracts showed the importance of the G residues in these GATA sites, and supershift assays clearly identified the binding factors as GATA-1, GATA-2, and GATA-3. Transient assays with long terminal repeat (LTR)-chloramphenicol acetyltransferase constructs showed that these three GATA family members are indeed able to transactivate Cas-Br-E and Graffi LTRs. Thus, the availability and relative abundance of the various members of the GATA family of transcription factors in a given cell type could influence the transcriptional tissue specificity of murine leukemia viruses and hence their disease specificity.","['Barat, C', 'Rassart, E']","['Barat C', 'Rassart E']","['Laboratoire de Biologie Moleculaire, Departement de Sciences Biologiques, Universite du Quebec a Montreal, Montreal, Quebec, Canada H3C 3P8.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['Animals', 'Base Sequence', 'Binding Sites', 'Cell Line', 'DNA-Binding Proteins/*metabolism', 'Erythroid-Specific DNA-Binding Factors', 'GATA1 Transcription Factor', 'GATA2 Transcription Factor', 'GATA3 Transcription Factor', 'Humans', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Molecular Sequence Data', 'Repetitive Sequences, Nucleic Acid', 'Trans-Activators/*metabolism', 'Transcription Factors/*metabolism', '*Transcriptional Activation']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5579-5588.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5579-88. doi: 10.1128/JVI.72.7.5579-5588.1998.,"['0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (GATA1 Transcription Factor)', '0 (GATA1 protein, human)', '0 (GATA2 Transcription Factor)', '0 (GATA2 protein, human)', '0 (GATA3 Transcription Factor)', '0 (GATA3 protein, human)', '0 (Gata1 protein, mouse)', '0 (Gata2 protein, mouse)', '0 (Gata3 protein, mouse)', '0 (Trans-Activators)', '0 (Transcription Factors)']",,,,,PMC110213,,,,,,,,,
9621009,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,An interferon regulatory factor binding site in the U5 region of the bovine leukemia virus long terminal repeat stimulates Tax-independent gene expression.,5526-34,"Bovine leukemia virus (BLV) replication is controlled by both cis- and trans-acting elements. The virus-encoded transactivator, Tax, is necessary for efficient transcription from the BLV promoter, although it is not present during the early stages of infection. Therefore, sequences that control Tax-independent transcription must play an important role in the initiation of viral gene expression. This study demonstrates that the R-U5 sequence of BLV stimulates Tax-independent reporter gene expression directed by the BLV promoter. R-U5 was also stimulatory when inserted immediately downstream from the transcription initiation site of a heterologous promoter. Progressive deletion analysis of this region revealed that a 46-bp element corresponding to the 5' half of U5 is principally responsible for the stimulation. This element exhibited enhancer activity when inserted upstream or downstream from the herpes simplex virus thymidine kinase promoter. This enhancer contains a binding site for the interferon regulatory factors IRF-1 and IRF-2. A 3-bp mutation that destroys the IRF recognition site caused a twofold decrease in Tax-independent BLV long terminal repeat-driven gene expression. These observations suggest that the IRF binding site in the U5 region of BLV plays a role in the initiation of virus replication.","['Kiermer, V', 'Van Lint, C', 'Briclet, D', 'Vanhulle, C', 'Kettmann, R', 'Verdin, E', 'Burny, A', 'Droogmans, L']","['Kiermer V', 'Van Lint C', 'Briclet D', 'Vanhulle C', 'Kettmann R', 'Verdin E', 'Burny A', 'Droogmans L']","['Department of Molecular Biology, University of Brussels, B1640 Rhode-Saint-Genese, Belgium. vkiermer@dbm.ulb.ac.be']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['Animals', 'Binding Sites', 'Cattle', 'Cells, Cultured', 'DNA-Binding Proteins/*metabolism', '*Enhancer Elements, Genetic', '*Gene Expression Regulation, Viral', 'Gene Products, tax/*physiology', 'Interferon Regulatory Factor-1', 'Interferon Regulatory Factor-2', 'Interferon-alpha/pharmacology', 'Leukemia Virus, Bovine/*genetics', 'Phosphoproteins/*metabolism', 'Promoter Regions, Genetic', '*Repetitive Sequences, Nucleic Acid', '*Repressor Proteins', '*Transcription Factors']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5526-5534.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5526-34. doi: 10.1128/JVI.72.7.5526-5534.1998.,"['0 (DNA-Binding Proteins)', '0 (Gene Products, tax)', '0 (Interferon Regulatory Factor-1)', '0 (Interferon Regulatory Factor-2)', '0 (Interferon-alpha)', '0 (Phosphoproteins)', '0 (Repressor Proteins)', '0 (Transcription Factors)']",,,,,PMC110197,,,,,,,,,
9620996,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,Threshold number of provirus copies required per cell for efficient virus production and interference in moloney murine leukemia virus-infected NIH 3T3 cells.,5414-24,"The gag-pol readthrough mutant of Moloney murine leukemia virus, MLV-B(CAG) (T. Odawara, H. Yoshikura, M. Oshima, T. Tanaka, D. S. Jones, F. Nemoto, Y. Kuchino, and A. Iwamoto, J. Virol. 65:6376-6379, 1991), was poorly complemented by a mutant encoding only Gag. This is because with all the genetic elements necessary for env expression present in MLV-B(CAG), insufficient Env protein was produced by the cells expressing MLV-B(CAG) for efficient virus production. Since the env mRNA expression per provirus in the MLV-B(CAG)- and wild-type-MLV-producing cells were the same and since the cells expressing the former contained eightfold fewer proviral copies, the insufficient Env expression by the former was found to be due to insufficient proviral copies in the cells. Examination of the cell clones having various proviral copies of Deltawt MLV (M. Oshima, T. Odawara, T. Matano, H. Sakahira, Y. Kuchino, A. Iwamoto, and H. Yoshikura, J. Virol. 70:2286-2295, 1996) showed that mRNA level was proportional to the number of proviral copies while interference and virus production followed a sigmoid curve with a sharp rise at the threshold number of proviral copies of around four per cell. Multicycle infection probably continues until the threshold level of proviral copies is attained in natural infection too.","['Odawara, T', 'Oshima, M', 'Doi, K', 'Iwamoto, A', 'Yoshikura, H']","['Odawara T', 'Oshima M', 'Doi K', 'Iwamoto A', 'Yoshikura H']","['Department of Bacteriology, Faculty of Medicine, University of Tokyo, Bunkyo-ku, Tokyo 113, Japan. tako@nih.go.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,,"['3T3 Cells', 'Animals', '*Gene Dosage', 'Gene Products, env/physiology', 'Gene Products, gag/physiology', 'Mice', 'Moloney murine leukemia virus/*physiology', 'Proviruses/genetics/*physiology', 'RNA, Viral/analysis', '*Viral Interference', '*Virus Replication']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5414-5424.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5414-24. doi: 10.1128/JVI.72.7.5414-5424.1998.,"['0 (Gene Products, env)', '0 (Gene Products, gag)', '0 (RNA, Viral)']",,,,,PMC110173,,,,,,,,,
9620995,NLM,MEDLINE,19980701,20200724,0022-538X (Print) 0022-538X (Linking),72,7,1998 Jul,Nonreciprocal pseudotyping: murine leukemia virus proteins cannot efficiently package spleen necrosis virus-based vector RNA.,5408-13,"It has been documented that spleen necrosis virus (SNV) can package murine leukemia virus (MLV) RNA efficiently and propagate MLV vectors to the same titers as it propagates SNV-based vectors. Although the SNV packaging signal (E) and MLV packaging signal (Psi) have little sequence homology, similar double-hairpin RNA structures were predicted and supported by experimental evidence. To test whether SNV RNA can be packaged by MLV proteins, we modified an SNV vector to be expressed in an MLV-based murine helper cell line. Surprisingly, we found that MLV proteins could not support the replication of SNV vectors. The decrease in titer was approximately 2,000- to 20,000-fold in one round of retroviral replication. RNA analysis revealed that SNV RNA was not efficiently packaged by MLV proteins. RNA hybridization of the cellular and viral RNAs indicated that SNV RNA was packaged at least 25-fold less efficiently than MLV RNA, which was the sensitivity limit of the hybridization assay. The contrast between the MLV and SNV packaging specificity is striking. SNV proteins can recognize both SNV E and MLV Psi, but MLV can recognize only MLV Psi. This is the first demonstration of two retroviruses with nonreciprocal packaging specificities.","['Certo, J L', 'Shook, B F', 'Yin, P D', 'Snider, J T', 'Hu, W S']","['Certo JL', 'Shook BF', 'Yin PD', 'Snider JT', 'Hu WS']","['Department of Genetics and Developmental Biology, West Virginia University, Morgantown, West Virginia 26506, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,IM,,"['Cell Line', 'Genetic Vectors', 'Leukemia Virus, Murine/*physiology', 'RNA, Viral/*analysis', 'Repetitive Sequences, Nucleic Acid', 'Reticuloendotheliosis Viruses, Avian/*physiology', 'Retroviridae Proteins/*physiology', '*Virus Assembly']",1998/06/17 00:00,1998/06/17 00:01,['1998/06/17 00:00'],"['1998/06/17 00:00 [pubmed]', '1998/06/17 00:01 [medline]', '1998/06/17 00:00 [entrez]']",['10.1128/JVI.72.7.5408-5413.1998 [doi]'],ppublish,J Virol. 1998 Jul;72(7):5408-13. doi: 10.1128/JVI.72.7.5408-5413.1998.,"['0 (RNA, Viral)', '0 (Retroviridae Proteins)']",,,['CA58345/CA/NCI NIH HHS/United States'],,PMC110171,,,,,,,,,
