PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,PMC,GR,CN,CIN,RF,TT,CON,OID,OTO,OT,GN,EIN,ROF,SI,MID,LID
14736717,NLM,MEDLINE,20070806,20040122,1547-3317 (Electronic) 0587-2871 (Linking),39,6,2003 Nov-Dec,Prevalence and risk factors for heartworm infection in cats from northern Florida.,533-7,"Necropsies were performed on 630 adult cats in northern Florida to determine the prevalence and risk factors for heartworm infection in cats of this region. Heartworms were identified in 4.9% of cats, and serological evidence of heartworm exposure was present in 17% of cats. Not all cats from which heartworms were recovered were seropositive for heartworm antigen or antibody. There was no association between heartworm infection and co-infection with feline leukemia virus (FeLV) or feline immunodeficiency virus (FIV). Male cats were at higher risk of infection with heartworm, FeLV, or FIV than were females. Because even a single heartworm can cause clinical disease or death in cats, the authors conclude that cats in this region should receive heartworm prophylaxis to prevent heartworm infection.",,"['Levy, Julie K', 'Snyder, Patti S', 'Taveres, Larissa M', 'Hooks, Jennifer L', 'Pegelow, Mike J', 'Slater, Margaret R', 'Hughes, Kathy L', 'Salute, Marc E']","['Levy JK', 'Snyder PS', 'Taveres LM', 'Hooks JL', 'Pegelow MJ', 'Slater MR', 'Hughes KL', 'Salute ME']","['Department of Small Animal Clinical Sciences, College of Veterinary Medicine, University of Florida, Gainesville, Florida 32610, USA.']",['eng'],['Journal Article'],United States,J Am Anim Hosp Assoc,Journal of the American Animal Hospital Association,0415027,"['0 (Antibodies, Helminth)']",IM,"['Animals', 'Antibodies, Helminth/*blood', 'Cat Diseases/*epidemiology', 'Cats', 'Dirofilaria immitis/*immunology', 'Dirofilariasis/*epidemiology', 'Female', 'Florida/epidemiology', 'Male', 'Risk Factors', 'Seroepidemiologic Studies']",2004/01/23 05:00,2007/08/07 09:00,['2004/01/23 05:00'],"['2004/01/23 05:00 [pubmed]', '2007/08/07 09:00 [medline]', '2004/01/23 05:00 [entrez]']","['39/6/533 [pii]', '10.5326/0390533 [doi]']",ppublish,J Am Anim Hosp Assoc. 2003 Nov-Dec;39(6):533-7. doi: 10.5326/0390533.,,,,,,,,,,,,,,,,,
14736567,NLM,MEDLINE,20040324,20190827,0248-8663 (Print) 0248-8663 (Linking),25,1,2004 Jan,[Light chain-secreting lymphoplasmocytoid lymphoma revealed by retinal vein occlusion].,93-4,,,"['Granier, H', 'Nicolas, X', 'Laborde, J-P', 'Kowalski, J-L', 'Talarmin, F']","['Granier H', 'Nicolas X', 'Laborde JP', 'Kowalski JL', 'Talarmin F']",,['fre'],"['Case Reports', 'Letter']",France,Rev Med Interne,La Revue de medecine interne,8101383,['0 (Immunoglobulin kappa-Chains)'],IM,"['Humans', 'Immunoglobulin kappa-Chains/metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*diagnosis/metabolism', 'Male', 'Middle Aged', 'Retinal Vein Occlusion/*etiology']",2004/01/23 05:00,2004/03/25 05:00,['2004/01/23 05:00'],"['2004/01/23 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/23 05:00 [entrez]']","['S0248866303003229 [pii]', '10.1016/j.revmed.2003.09.012 [doi]']",ppublish,Rev Med Interne. 2004 Jan;25(1):93-4. doi: 10.1016/j.revmed.2003.09.012.,,,,,,,Occlusion veineuse retinienne revelant un lymphome lymphoplasmocytaire avec secretion de chaines legeres.,,,,,,,,,,
14736495,NLM,MEDLINE,20040305,20190727,0041-008X (Print) 0041-008X (Linking),194,2,2004 Jan 15,Mitochondrial dysfunction as an early event in the process of apoptosis induced by woodfordin I in human leukemia K562 cells.,141-55,"Tannins are a group of widely distributed plant polyphenols, some of which are beneficial to health because of their chemopreventive activities. In the present study, we investigated the effects and action mechanisms of woodfordin I, a macrocyclic ellagitannin dimer, on human chronic myelogenous leukemia (CML) K562 cells. The results showed that woodfordin I was able to suppress the proliferation and induce apoptosis in K562 cells. Apoptosis was evaluated by cytomorphology, internucleosomal DNA fragmentation, and externalization of phosphatidylserine. Woodfordin I treatment caused a rapid and sustained loss of mitochondrial transmembrane potential (MMP), transient generation of reactive oxygen species (ROS), transient elevation of intracellular Ca2+ concentration, and cytosolic accumulation of cytochrome c. The activation of caspase-9 and 3, but not caspase-8, was also demonstrated, indicating that the apoptotic signaling triggered by woodfordin I was mediated through the intrinsic mitochondria-dependent pathway. Western blot and immunofluorescence analysis revealed that the anti-apoptotic Bcl-2 and Bcl-xL levels were downregulated, together with the pro-apoptotic Bax protein. Significantly, woodfordin I-induced apoptosis was associated with a decline in the levels of c-Abl, Bcr-Abl, and cellular protein tyrosine phosphorylation. Considering the consequence of all the events in the process of woodfordin I-induced apoptosis, the mitochondrial dysfunction is directly responsible for the pro-apoptotic effects on K562 cells. Furthermore, because CML is a malignancy of pleuripotent hematopoietic cells caused by the dysregulated tyrosine kinase activity of Bcr-Abl, these findings suggest that woodfordin I may be a potential lead compound against CML.",,"['Liu, Ming-Jie', 'Wang, Zhao', 'Li, Hai-Xia', 'Wu, Rong-Cong', 'Liu, Yan-Ze', 'Wu, Qing-Yu']","['Liu MJ', 'Wang Z', 'Li HX', 'Wu RC', 'Liu YZ', 'Wu QY']","['Department of Biological Sciences and Biotechnology, Tsinghua University, Beijing 100084, PR China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Toxicol Appl Pharmacol,Toxicology and applied pharmacology,0416575,"['0 (Hydrolyzable Tannins)', '0 (Plant Extracts)', '0 (Tannins)', '126347-63-5 (woodfordin C)']",IM,"['Apoptosis/*drug effects', 'Cell Survival/drug effects/physiology', 'Dose-Response Relationship, Drug', 'Humans', '*Hydrolyzable Tannins', 'K562 Cells', 'Mitochondria/*drug effects', 'Plant Extracts/chemistry/isolation & purification/*pharmacology', 'Plant Structures', 'Tannins/*toxicity', '*Woodfordia']",2004/01/23 05:00,2004/03/06 05:00,['2004/01/23 05:00'],"['2004/01/23 05:00 [pubmed]', '2004/03/06 05:00 [medline]', '2004/01/23 05:00 [entrez]']","['S0041008X03004174 [pii]', '10.1016/j.taap.2003.08.017 [doi]']",ppublish,Toxicol Appl Pharmacol. 2004 Jan 15;194(2):141-55. doi: 10.1016/j.taap.2003.08.017.,,,,,,,,,,,,,,,,,
14736281,NLM,MEDLINE,20040212,20210527,1543-2165 (Electronic) 0003-9985 (Linking),128,2,2004 Feb,Follicular lymphoma with a burkitt translocation--predictor of an aggressive clinical course: a case report and review of the literature.,210-3,"Follicular lymphoma is an indolent lymphoma characterized by the (14;18) translocation, which leads to aberrant expression of Bcl-2. Translocations involving 8q24 are most commonly associated with Burkitt lymphoma and result in c-Myc overexpression. We report a case of follicular lymphoma of predominant small cleaved-cell type (grade 1) associated with both a t(14;18)(q32;q21) and a t(8;22)(q24;q11). The 8q24 translocation predicted an aggressive clinical course, as the lymphoma transformed into acute lymphoblastic leukemia within a year of initial diagnosis. Routine cytogenetic analysis is recommended at initial diagnosis of follicular lymphoma to better identify abnormalities that may predict prognosis and influence therapy.",,"['Voorhees, Peter M', 'Carder, Kathryn A', 'Smith, Scott V', 'Ayscue, Lanier H', 'Rao, Kathleen W', 'Dunphy, Cherie H']","['Voorhees PM', 'Carder KA', 'Smith SV', 'Ayscue LH', 'Rao KW', 'Dunphy CH']","['Department of Internal Medicine, Division of Hematology and Oncology, University of North Carolina, Chapel Hill, NC 27599-7525, USA.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,,IM,"['Burkitt Lymphoma/genetics', 'Cell Transformation, Neoplastic', '*Chromosomes, Human, Pair 8', 'Cytogenetic Analysis', 'Disease Progression', 'Flow Cytometry', 'Genes, bcl-2', 'Humans', 'Immunohistochemistry', 'Lymphoma, Follicular/*diagnosis/pathology', 'Middle Aged', 'Prognosis', '*Translocation, Genetic']",2004/01/23 05:00,2004/02/13 05:00,['2004/01/23 05:00'],"['2004/01/23 05:00 [pubmed]', '2004/02/13 05:00 [medline]', '2004/01/23 05:00 [entrez]']","['CR3088 [pii]', '10.5858/2004-128-210-FLWABT [doi]']",ppublish,Arch Pathol Lab Med. 2004 Feb;128(2):210-3. doi: 10.5858/2004-128-210-FLWABT.,,,,,,15,,,,,,,,,,,
14736271,NLM,MEDLINE,20040212,20210527,1543-2165 (Electronic) 0003-9985 (Linking),128,2,2004 Feb,Pure erythroid leukemia.,241-2,,,"['Huang, Qin']",['Huang Q'],"['Division of Pathology, City of Hope National Medical Center, Duarte, Calif 91010, USA. qhuang@coh.org']",['eng'],['Journal Article'],United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,,IM,"['Humans', 'Leukemia, Erythroblastic, Acute/diagnosis/*pathology', 'Male', 'Middle Aged']",2004/01/23 05:00,2004/02/13 05:00,['2004/01/23 05:00'],"['2004/01/23 05:00 [pubmed]', '2004/02/13 05:00 [medline]', '2004/01/23 05:00 [entrez]']","['IP3140 [pii]', '10.5858/2004-128-241-PEL [doi]']",ppublish,Arch Pathol Lab Med. 2004 Feb;128(2):241-2. doi: 10.5858/2004-128-241-PEL.,,,,,,,,,,,,,,,,,
14735464,NLM,MEDLINE,20040312,20171116,0020-7136 (Print) 0020-7136 (Linking),109,1,2004 Mar,"Antisense abrogation of DENN expression induces apoptosis of leukemia cells in vitro, causes tumor regression in vivo and alters the transcription of genes involved in apoptosis and the cell cycle.",24-37,"We previously reported that messenger RNA expression of DENN (differentially expressed in normal and neoplastic cells) is considerably higher in cancer cell lines than in normal cells. In our present study, we established that certain cancer cell lines express conspicuously higher levels of the 2 DENN isoforms in contrast to the 2 pro-apoptotic IG20 isoforms. Antisense DENN oligodeoxynucleotide treatment of K36 cells in vitro induced extensive apoptosis, while antisense DENN silencing of K36 tumor-bearing mice caused significant tumor regression in vivo. Compared to wild-type murine embryonic fibroblasts, antisense treatment of NFkappaB and TNFR1 KO cells resulted in markedly more pronounced cell death, whereas antisense-treated TNFalpha and TNFR2 knockouts exhibited less prominent apoptosis. Cell viability and apoptosis were authenticated by flow cytometry, membrane integrity, TUNEL, annexin V assays, histology and electron microscopy. Antisense abrogation of DENN expression culminated in upregulated expression of TNFR2, TRAIL and Fas, but downregulation of TNFalpha, TNFR1 and cyclin D3. Conversely, DENN overexpression stimulated cell proliferation and led to upregulated TRPM2 and cyclin B1, but diminished expression of Fas, TNFR2, TRAIL and Egr-1. The participation of TNFalpha, TNFR1, TNFR2 and Fas in the inhibition of DENN expression was also demonstrated. These data support the anti-apoptotic and cell survival role of DENN, especially in malignant cells, and its interaction with specific genes and proteins involved in the apoptotic and cell cycle pathways.","['Copyright 2003 Wiley-Liss, Inc.']","['Lim, Kah M', 'Yeo, Wee S', 'Chow, Vincent T K']","['Lim KM', 'Yeo WS', 'Chow VT']","['Department of Microbiology, Faculty of Medicine, National University of Singapore, Kent Ridge, Singapore.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Death Domain Receptor Signaling Adaptor Proteins)', '0 (Guanine Nucleotide Exchange Factors)', '0 (MADD protein, human)', '0 (Madd protein, mouse)', '0 (Oligonucleotides)', '0 (Oligonucleotides, Antisense)', '0 (Protein Isoforms)', '0 (Tumor Necrosis Factor-alpha)', '0 (fas Receptor)']",IM,"['Animals', '*Apoptosis', 'Cell Cycle', 'Cell Death', 'Cell Division', 'Cell Line, Tumor', 'Cell Survival', 'Cells, Cultured', 'Death Domain Receptor Signaling Adaptor Proteins', 'Fibroblasts/metabolism', 'Gene Expression Regulation, Neoplastic', 'Gene Silencing', 'Guanine Nucleotide Exchange Factors/*biosynthesis', 'Humans', 'In Situ Nick-End Labeling', 'Jurkat Cells', 'Leukemia/*metabolism', 'Mice', 'Mice, Knockout', 'Microscopy, Electron', 'Neoplasms/pathology', 'Nucleic Acid Hybridization', 'Oligonucleotide Array Sequence Analysis', 'Oligonucleotides/chemistry/pharmacology', 'Oligonucleotides, Antisense/*pharmacology', 'Plasmids/metabolism', 'Protein Isoforms', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Analysis, DNA', 'Time Factors', 'Transcription, Genetic', 'Tumor Necrosis Factor-alpha/metabolism', 'fas Receptor/metabolism']",2004/01/22 05:00,2004/03/16 05:00,['2004/01/22 05:00'],"['2004/01/22 05:00 [pubmed]', '2004/03/16 05:00 [medline]', '2004/01/22 05:00 [entrez]']",['10.1002/ijc.11660 [doi]'],ppublish,Int J Cancer. 2004 Mar;109(1):24-37. doi: 10.1002/ijc.11660.,,,,,,,,,,,,,,,,,
14735387,NLM,MEDLINE,20040212,20131121,0300-8126 (Print) 0300-8126 (Linking),31,6,2003 Dec,Meningitis due to multiple-resistant penicillin- and cefotaxime-intermediate Streptococcus pneumoniae in a German child after bone marrow transplantation.,425-7,"The incidence of infection with penicillin-non-susceptible Streptococcus pneumoniae is increasing rapidly worldwide. Spain and France are highly affected, whereas the level of penicillin resistance in Germany, Italy, The Netherlands and Scandinavia is low. We report a lethal episode of meningitis due to penicillin- and cefotaxime-intermediate S. pneumoniae in a 7-year-old, allogene bone marrow transplanted German boy, 5 weeks after a holiday in Spain. Three days prior to the infection the patient showed good performance status. He was in complete remission without signs of graft-versus-host disease (GVHD). He died on day 341 post bone marrow transplant (BMT), 2 days after the onset of meningitis. Penicillin-non-susceptible S. pneumoniae should be regarded as a potential infectious agent even in countries with a low prevalence of resistance.",,"['Buxmann, H', 'Soerensen, J', 'Koehl, U', 'Schwabe, D', 'Klingebiel, T', 'Reinert, R R', 'Schaefer, V']","['Buxmann H', 'Soerensen J', 'Koehl U', 'Schwabe D', 'Klingebiel T', 'Reinert RR', 'Schaefer V']","[""Dept. of Neonatology, Johann Wolfgang Goethe University, Children's Hospital, Frankfurt am Main, Germany.""]",['eng'],"['Case Reports', 'Journal Article']",Germany,Infection,Infection,0365307,['N2GI8B1GK7 (Cefotaxime)'],IM,"['Bone Marrow Transplantation/*adverse effects/methods', 'Cefotaxime/pharmacology', '*Cephalosporin Resistance', 'Child', 'Disease Progression', 'Drug Resistance, Multiple, Bacterial', 'Fatal Outcome', 'Germany', 'Humans', 'Male', 'Meningitis, Pneumococcal/*drug therapy/microbiology', 'Microbial Sensitivity Tests', '*Penicillin Resistance', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/therapy', 'Risk Assessment', 'Streptococcus pneumoniae/*drug effects/isolation & purification']",2004/01/22 05:00,2004/02/13 05:00,['2004/01/22 05:00'],"['2002/08/05 00:00 [received]', '2003/04/08 00:00 [accepted]', '2004/01/22 05:00 [pubmed]', '2004/02/13 05:00 [medline]', '2004/01/22 05:00 [entrez]']",['10.1007/s15010-003-3134-1 [doi]'],ppublish,Infection. 2003 Dec;31(6):425-7. doi: 10.1007/s15010-003-3134-1.,,,,,,,,,,,,,,,,,
14735248,NLM,MEDLINE,20040625,20181113,0020-9554 (Print) 0020-9554 (Linking),45,1,2004 Jan,"[Imatinib-New, molecular therapeutic possibility in chronic myeloid leukemia. The IRIS Study].",102-3,,,"['Berger, U', 'Hehlmann, R']","['Berger U', 'Hehlmann R']","['III. Medizinische Universitatsklinik, Klinikum Mannheim der Universitat Heidelberg. ute.berger@med3.ma.uni-heidelberg.de']",['ger'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",Germany,Internist (Berl),Der Internist,0264620,"['0 (Benzamides)', '0 (Interferon-alpha)', '0 (Piperazines)', '0 (Pyrimidines)', '04079A1RDZ (Cytarabine)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Benzamides', 'Cytarabine/*administration & dosage/adverse effects', 'Disease Progression', 'Female', 'Fusion Proteins, bcr-abl', 'Humans', 'Imatinib Mesylate', 'Interferon-alpha/*administration & dosage/adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Leukemia, Myeloid, Chronic-Phase/*drug therapy', 'Male', 'Middle Aged', 'Piperazines/*administration & dosage/adverse effects', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/*administration & dosage/adverse effects', 'Remission Induction', 'Treatment Outcome']",2004/01/22 05:00,2004/06/26 05:00,['2004/01/22 05:00'],"['2004/01/22 05:00 [pubmed]', '2004/06/26 05:00 [medline]', '2004/01/22 05:00 [entrez]']",['10.1007/s00108-003-1085-3 [doi]'],ppublish,Internist (Berl). 2004 Jan;45(1):102-3. doi: 10.1007/s00108-003-1085-3.,,,,,,,"Imatinib-Neuartige, molekulare Therapiemoglichkeit bei chronischer myeloischer Leukamie. Die IRIS-Studie.",,,,,,,,,,
14735203,NLM,MEDLINE,20040304,20211203,0007-0920 (Print) 0007-0920 (Linking),90,2,2004 Jan 26,Molecular variants of the ATM gene in Hodgkin's disease in children.,522-5,"Ataxia telangiectasia is an autosomal recessive disease with a striking predisposition of lymphoid malignancies. ATM mutations have been reported in adult sporadic lymphoma and leukaemia. The aim of this study was to investigate the possible involvement of the ATM gene in the carcinogenesis of Hodgkin disease in children. Tumours were obtained from 23 patients and were subjected to mutation screening and loss of heterozygosity analysis. Eight base substitutions were identified in seven patients. Of them, Y54Y, a silent change, was observed in two patients and a known polymorphism, D1853N, in three patients. Of the other two patients, one harboured a combined genotype P604S/F1463C, identified previously in two patients with Hodgkin lymphoma, and the other a novel missense mutation, V595A. The alterations were present in the germ line, and both had a more aggressive disease. In all, 100 matched normal ethnic controls were screened for these mutations and P604S/F1463C was identified in one healthy control. Loss of heterozygosity was identified in four patients and in three of them it was located centromeric to the ATM gene, and, in one, it spanned a large region, indicating the involvement of other tumour-suppressor genes in this disease. Missense variants of the ATM gene are a rare event in childhood Hodgkin disease.",,"['Liberzon, E', 'Avigad, S', 'Yaniv, I', 'Stark, B', 'Avrahami, G', 'Goshen, Y', 'Zaizov, R']","['Liberzon E', 'Avigad S', 'Yaniv I', 'Stark B', 'Avrahami G', 'Goshen Y', 'Zaizov R']","['Molecular Oncology, Felsenstein Medical Research Center, Petah Tikva, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['0 (Cell Cycle Proteins)', '0 (DNA-Binding Proteins)', '0 (Tumor Suppressor Proteins)', 'EC 2.7.11.1 (ATM protein, human)', 'EC 2.7.11.1 (Ataxia Telangiectasia Mutated Proteins)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)']",IM,"['Adolescent', 'Ataxia Telangiectasia', 'Ataxia Telangiectasia Mutated Proteins', 'Cell Cycle Proteins', 'Child', 'Child, Preschool', 'Cohort Studies', 'DNA Mutational Analysis', 'DNA-Binding Proteins', 'Female', 'Genes, Tumor Suppressor', '*Genetic Predisposition to Disease', 'Genotype', 'Hodgkin Disease/*genetics/physiopathology', 'Humans', 'Leucine Zippers', 'Loss of Heterozygosity', 'Male', 'Mutation, Missense', 'Phosphatidylinositol 3-Kinases', '*Polymorphism, Genetic', 'Protein Serine-Threonine Kinases/*genetics', 'Tumor Suppressor Proteins']",2004/01/22 05:00,2004/03/05 05:00,['2004/01/22 05:00'],"['2004/01/22 05:00 [pubmed]', '2004/03/05 05:00 [medline]', '2004/01/22 05:00 [entrez]']","['10.1038/sj.bjc.6601522 [doi]', '6601522 [pii]']",ppublish,Br J Cancer. 2004 Jan 26;90(2):522-5. doi: 10.1038/sj.bjc.6601522.,,PMC2409549,,,,,,,,,,,,,,,
14734791,NLM,MEDLINE,20040302,20190607,1535-3702 (Print) 1535-3699 (Linking),229,2,2004 Feb,Leukemia cells and the cytokine network: therapeutic prospects.,121-37,"The network and balance of cytokines is of major importance in maintaining proper homeostasis of hematopoiesis. Abnormalities in this network may result in a variety of blood disorders; however, the role of this network is not clear in leukemia. The use of antineoplastic agents has improved the survival rate of some types of leukemia, and adjunctive therapy with cytokines may be helpful. Chemotherapeutic approaches are no longer the best choice because cytotoxicity may affect normal and leukemic cells, and leukemic cells may develop resistance to the chemotherapeutic agent. Induction of differentiation to a mature phenotype and the control of apoptotic-gene expression have provided other possible alternative therapies. Combined effects of cytokines and vitamin derivatives such as retinoic acid (RA) and 1,25 dihydroxyvitamin D3 (VD3) were found more beneficial than any of these agents individually. These agents exhibit cooperative effects, potentiate each other's effects, or both. Therefore, understanding the hematopoietic actions of these agents, their interactions with their receptors, and their differentiation signaling pathways may result in the design of new therapies. However, the role of cytokines in apoptosis is controversial because in some cases they were found to increase tumor cell resistance to apoptosis-inducing agents. Recent studies in the molecular biology of gene regulation, transcription factors, and repressors have led to new possible approaches such as differentiation therapy for the treatment of leukemia. In addition, the development of drugs that act on the molecular level such as imatinib is just the beginning of a new era in molecular targeted therapy in which the drug acts specifically on the leukemic cell. There are many possible combinations of cytokines, retinoids, and VD3, and perhaps the best therapeutic combination is yet to be described. This minireview is an update on the role of cytokines and the therapeutic potential of combinations with agents such as RA, VD3, and other chemotherapeutic agents.",,"['Moqattash, Satei', 'Lutton, John D']","['Moqattash S', 'Lutton JD']","['Department of Human and Clinical Anatomy, College of Medicine, Sultan Qaboos University, Muscat, Sultanate of Oman. satei@squ.edu.om']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Exp Biol Med (Maywood),"Experimental biology and medicine (Maywood, N.J.)",100973463,"['0 (Cytokines)', '5688UTC01R (Tretinoin)', 'FXC9231JVH (Calcitriol)']",IM,"['Animals', 'Apoptosis/physiology', 'Calcitriol/pharmacology/therapeutic use', 'Chemotherapy, Adjuvant', 'Cytokines/pharmacology/*physiology/*therapeutic use', 'Drug Synergism', 'Hematopoiesis/drug effects/physiology', 'Humans', 'Leukemia/*drug therapy/*metabolism', 'Stromal Cells/cytology/metabolism', 'Tretinoin/pharmacology/therapeutic use', 'Tumor Cells, Cultured']",2004/01/22 05:00,2004/03/03 05:00,['2004/01/22 05:00'],"['2004/01/22 05:00 [pubmed]', '2004/03/03 05:00 [medline]', '2004/01/22 05:00 [entrez]']",['10.1177/153537020422900201 [doi]'],ppublish,Exp Biol Med (Maywood). 2004 Feb;229(2):121-37. doi: 10.1177/153537020422900201.,,,,,,144,,,,,,,,,,,
14734782,NLM,MEDLINE,20040507,20190516,0022-1767 (Print) 0022-1767 (Linking),172,3,2004 Feb 1,Molecular analysis of TCR clonotypes in LGL: a clonal model for polyclonal responses.,1960-9,"Large granular lymphocytic (LGL) leukemia is a clonal lymphoproliferative disorder of CTL associated with cytopenias resulting from an immune and cytokine attack on hemopoietic progenitor cells. Extreme clonality of CTL expansions seen in LGL leukemia makes it an ideal model to study the role of the T cell repertoire in other less-polarized immune-mediated disorders. Complementarity-determining region 3 (CDR3) of the TCR is a unique Ag-specific region that can serve as a molecular marker, or clonotype, of the disease-specific T cells. We studied the variable portion of the beta-chain spectrum in a cohort of LGL leukemia patients. The CDR3 sequences were determined for the immunodominant clones and used to design clonotype-specific primers. By direct and semi-nested amplification, clonotype amplicons were found to be shared by multiple patients and controls. Analysis of the generated sequences demonstrated that the original clonotypes are rarely encountered in normal control samples; however, high levels of homology were found in both controls and patients. Clonotypes derived from individual LGL patients can be used as tumor markers for the malignant clone. More generally, clonotypic analysis and comparison of the variable portion of the beta-chain CDR3-specific sequences from a large number of patients may lead to better subclassification of not only LGL but also other immune-mediated disorders.",,"[""O'Keefe, Christine L"", 'Plasilova, Magdalena', 'Wlodarski, Marcin', 'Risitano, Antonio M', 'Rodriguez, Alexander R', 'Howe, Evan', 'Young, Neal S', 'Hsi, Eric', 'Maciejewski, Jaroslaw P']","[""O'Keefe CL"", 'Plasilova M', 'Wlodarski M', 'Risitano AM', 'Rodriguez AR', 'Howe E', 'Young NS', 'Hsi E', 'Maciejewski JP']","['Experimental Hematology and Hematopoiesis Section, and Hematopathology Section, Cleveland Clinic Foundation, Cleveland, OH 44195, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Complementarity Determining Regions)', '0 (Immunosuppressive Agents)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Antigen, T-Cell, alpha-beta)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Cell Division/drug effects/genetics/immunology', 'Clone Cells', 'Cloning, Molecular/methods', 'Complementarity Determining Regions/analysis/biosynthesis/genetics', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, Lymphoid/drug therapy/genetics/*immunology/*pathology', 'Leukemia, T-Cell/drug therapy/genetics/*immunology/*pathology', 'Leukopenia/genetics/immunology/pathology', 'Lymphocyte Activation/drug effects/genetics/immunology', 'Middle Aged', 'Polymerase Chain Reaction/methods', 'Receptors, Antigen, T-Cell/*analysis/biosynthesis/genetics', 'Receptors, Antigen, T-Cell, alpha-beta/analysis/biosynthesis/genetics', 'T-Lymphocytes, Cytotoxic/drug effects/*metabolism/*pathology']",2004/01/22 05:00,2004/05/08 05:00,['2004/01/22 05:00'],"['2004/01/22 05:00 [pubmed]', '2004/05/08 05:00 [medline]', '2004/01/22 05:00 [entrez]']",['10.4049/jimmunol.172.3.1960 [doi]'],ppublish,J Immunol. 2004 Feb 1;172(3):1960-9. doi: 10.4049/jimmunol.172.3.1960.,,,,,,,,,,,,,,,,,
