PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,MID,SI,CIN,CON,EIN,RF,OTO,OT,TT,CN,IR,FIR,OID,UOF,RPI
20537433,NLM,MEDLINE,20100914,20131121,1768-3254 (Electronic) 0223-5234 (Linking),45,8,2010 Aug,Synthesis and cytotoxicity screening of substituted isobenzofuranones designed from anacardic acids.,3480-9,10.1016/j.ejmech.2010.05.015 [doi],"This work is part of a large program, which seeks to discover new antitumor isobenfuranones designed from anacardic acids. The synthetic strategy for the construction of the title compounds takes into consideration the use of inexpensive anacardic acids (2), the major natural cashew (Anacardium occidentale) nut-shell phenolic lipid, and features one-pot construction of fused-ring aromatic gamma-lactones, phthalides. The cytotoxicity screening in different human cancer cell lines (HL-60 leukemia, SF295 glioblastoma and MDA-MB435 melanoma) by the MTT assay showed that acyclic precursor (6), and isobenfuranones (1a and 1b) are active compounds. Interestingly, 1a exhibits significant antiproliferative effect against HL-60 cells and moderate activity against SF295 and MDA-MB435 cell lines. Analysis of mechanisms involved in the cytotoxic activity showed that active compounds were leading to DNA damage, triggering apoptosis or necrosis induction.",['Copyright (c) 2010 Elsevier Masson SAS. All rights reserved.'],"['Logrado, Lucio P L', 'Santos, Camila O', 'Romeiro, Luiz A S', 'Costa, Arinice M', 'Ferreira, Jose R O', 'Cavalcanti, Bruno C', 'Manoel de Moraes, O', 'Costa-Lotufo, Leticia V', 'Pessoa, Claudia', 'Dos Santos, Maria L']","['Logrado LP', 'Santos CO', 'Romeiro LA', 'Costa AM', 'Ferreira JR', 'Cavalcanti BC', 'Manoel de Moraes O', 'Costa-Lotufo LV', 'Pessoa C', 'Dos Santos ML']","['Instituto de Quimica, Universidade de Brasilia, Campus Darcy Ribeiro, Brasilia, Brazil.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20100512,France,Eur J Med Chem,European journal of medicinal chemistry,0420510,"['0 (Anacardic Acids)', '0 (Antineoplastic Agents)', '0 (Benzofurans)', '18654-18-7 (anacardic acid)', 'S88TT14065 (Oxygen)']",IM,"['Anacardic Acids/*chemistry', 'Animals', 'Antineoplastic Agents/chemical synthesis/*chemistry/*pharmacology', 'Apoptosis/drug effects', 'Benzofurans/chemical synthesis/*chemistry/*pharmacology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Cell Survival/drug effects', '*Drug Design', 'Drug Evaluation, Preclinical/*methods', 'Humans', 'Hydrophobic and Hydrophilic Interactions', 'Inhibitory Concentration 50', 'Oxygen/chemistry']",2010/06/12 06:00,2010/09/15 06:00,['2010/06/12 06:00'],"['2010/02/26 00:00 [received]', '2010/05/04 00:00 [revised]', '2010/05/07 00:00 [accepted]', '2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/09/15 06:00 [medline]']","['S0223-5234(10)00354-5 [pii]', '10.1016/j.ejmech.2010.05.015 [doi]']",ppublish,Eur J Med Chem. 2010 Aug;45(8):3480-9. doi: 10.1016/j.ejmech.2010.05.015. Epub 2010 May 12.,,,,,,,,,,,,,,,,,
20537387,NLM,MEDLINE,20100930,20131121,1873-5835 (Electronic) 0145-2126 (Linking),34,10,2010 Oct,Central nervous system involvement at second relapse in acute promyelocytic leukemia treated with ATRA and chemotherapy.,e264-5,10.1016/j.leukres.2010.04.020 [doi],,,"['Kumar, Bijender', 'Sharma, Vineeta', 'Chopra, Anita', 'Mahapatra, Manoranjan', 'Kumar, Ravi', 'Mathur, Sandeep', 'Sazawal, Sudha', 'Kumar, Sunil', 'Saxena, Renu']","['Kumar B', 'Sharma V', 'Chopra A', 'Mahapatra M', 'Kumar R', 'Mathur S', 'Sazawal S', 'Kumar S', 'Saxena R']",,['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",,England,Leuk Res,Leukemia research,7706787,['5688UTC01R (Tretinoin)'],IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Brain Neoplasms/*etiology/therapy', 'Female', 'Humans', 'Leukemia, Promyelocytic, Acute/complications/*drug therapy', 'Recurrence', 'Tretinoin/*administration & dosage', 'Young Adult']",2010/06/12 06:00,2010/10/01 06:00,['2010/06/12 06:00'],"['2010/03/15 00:00 [received]', '2010/04/14 00:00 [revised]', '2010/04/25 00:00 [accepted]', '2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/10/01 06:00 [medline]']","['S0145-2126(10)00240-7 [pii]', '10.1016/j.leukres.2010.04.020 [doi]']",ppublish,Leuk Res. 2010 Oct;34(10):e264-5. doi: 10.1016/j.leukres.2010.04.020.,,,,,,,,,,,,,,,,,
20537386,NLM,MEDLINE,20100930,20151119,1873-5835 (Electronic) 0145-2126 (Linking),34,10,2010 Oct,BCR-ABL tyrosine kinase inhibitors in the treatment of Philadelphia chromosome positive chronic myeloid leukemia: a review.,1255-68,10.1016/j.leukres.2010.04.016 [doi],"Chronic Myeloid Leukemia (CML) is a clonal disease characterized by the presence of the Philadelphia (Ph+) chromosome and its oncogenic product, BCR-ABL, a constitutively active tyrosine kinase, that is present in >90% of the patients. Epidemiologic data indicates that almost 5000 new cases are reported every year and 10% of these patients eventually succumb to the disease. The treatment of CML was revolutionized by the introduction of imatinib mesylate (IM, Gleevec), a BCR-ABL tyrosine kinase inhibitor (TKI). The clinical use of specific BCR-ABL inhibitors has resulted in a significantly improved prognosis, response rate, overall survival, and patient outcome in CML patients compared to previous therapeutic regimens. However, the complete eradication of CML in patients receiving imatinib was limited by the emergence of resistance mostly due to mutations in the ABL kinase domain and to a lesser extent by molecular residual disease after treatment. The second-generation BCR-ABL TKIs nilotinib (Tasigna) and dasatinib (Sprycel), showed significant activity in clinical trials in patients intolerant or resistant to imatinib therapy, except in those patients with the T315I BCR-ABL mutation. Identifying key components involved in the CML pathogenesis may lead to the exploration of new approaches that might eventually overcome resistance mediated to the BCR-ABL TKIs. Here, we present an overview about the current treatment of Ph+ CML patients with the TKIs and the obstacles to successful treatment with these drugs.",['Copyright (c) 2010 Elsevier Ltd. All rights reserved.'],"['An, Xin', 'Tiwari, Amit K', 'Sun, Yibo', 'Ding, Pei-Rong', 'Ashby, Charles R Jr', 'Chen, Zhe-Sheng']","['An X', 'Tiwari AK', 'Sun Y', 'Ding PR', 'Ashby CR Jr', 'Chen ZS']","[""Department of Pharmaceutical Sciences, College of Pharmacy and Allied Health Professions, St John's University, 8000 Utopia Parkway, Jamaica, NY 11439, USA.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,England,Leuk Res,Leukemia research,7706787,"['0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (RNA, Messenger)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Benzamides', 'Clinical Trials as Topic', 'Drug Resistance, Neoplasm', 'Fusion Proteins, bcr-abl/*antagonists & inhibitors/genetics', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Piperazines/adverse effects/pharmacokinetics/therapeutic use', 'Point Mutation', 'Protein Kinase Inhibitors/adverse effects/pharmacology/*therapeutic use', 'Pyrimidines/adverse effects/pharmacokinetics/therapeutic use', 'RNA, Messenger/analysis']",2010/06/12 06:00,2010/10/01 06:00,['2010/06/12 06:00'],"['2010/01/21 00:00 [received]', '2010/04/25 00:00 [revised]', '2010/04/25 00:00 [accepted]', '2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/10/01 06:00 [medline]']","['S0145-2126(10)00236-5 [pii]', '10.1016/j.leukres.2010.04.016 [doi]']",ppublish,Leuk Res. 2010 Oct;34(10):1255-68. doi: 10.1016/j.leukres.2010.04.016.,,,,,,,,150,,,,,,,,,
20537332,NLM,MEDLINE,20101207,20131121,1873-2380 (Electronic) 0021-9290 (Linking),43,12,2010 Aug 26,Biomechanical alterations of dendritic cells by co-culturing with K562 CML cells and their potential role in immune escape.,2339-47,10.1016/j.jbiomech.2010.04.028 [doi],"Dendritic cells (DCs), which are potent antigen presenting cells (APCs), are utilized to deliver the signals essential for the initiation of immune responses. In this study, we used an interdisciplinary approach to characterize the effect of K562 cells, a human chronic myeloid leukemia (CML) cell line, on the biomechanical characteristics and immune functions of DCs. When co-cultured with K562 cells, the biomechanical and immunological characteristics of immature DCs (imDCs) and mature DCs (mDCs) were severely impaired compared with controls. The changes include increased membrane viscoelasticity, reorganized cytoskeleton (F-actin), suppressed capability of antigen uptake, transendothelium migration, and activation of naive T cells. In exploring the mechanisms of these changes, we identified several genes and proteins by microarray analysis and 2D gel electrophoresis. Changes were found in the cytoskeleton-related genes and proteins (such as cofilin1 and profilin1) and matrix-related genes and proteins (such as TIMP1 and MMP9). These findings provide a molecular basis for the biomechanical and immunological changes of DCs in response to K562 and may help to elucidate the mechanism for tumor immune escape.",['2010 Elsevier Ltd. All rights reserved.'],"['Xu, Xiaofeng', 'Zeng, Zhu', 'Yao, Weijuan', 'Wang, Xianwei', 'Sun, Dagong', 'Ka, Weibo', 'Zhang, Yingyu', 'Wang, Xifu', 'Chen, Xiaopeng', 'Zha, Yi', 'Sun, Li', 'Xie, Lide', 'Wen, Zongyao', 'Chien, Shu']","['Xu X', 'Zeng Z', 'Yao W', 'Wang X', 'Sun D', 'Ka W', 'Zhang Y', 'Wang X', 'Chen X', 'Zha Y', 'Sun L', 'Xie L', 'Wen Z', 'Chien S']","['Department of Laboratory Medicine, Beijing Tongren Hospital, Capital Medical University, Beijing 100730, PR China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Biomech,Journal of biomechanics,0157375,"['0 (Actins)', '0 (Antigens, CD)', '0 (CFL1 protein, human)', '0 (Cofilin 1)', '0 (Culture Media, Conditioned)', '0 (PFN1 protein, human)', '0 (Profilins)', '0 (RNA, Messenger)', '0 (Tissue Inhibitor of Metalloproteinase-1)', 'EC 3.4.24.35 (Matrix Metalloproteinase 9)']",IM,"['Actins/metabolism', 'Antigens, CD/metabolism', 'Apoptosis', 'Biomechanical Phenomena', 'Cell Differentiation', 'Cell Movement', 'Coculture Techniques', 'Cofilin 1/genetics', 'Culture Media, Conditioned', 'Dendritic Cells/cytology/*immunology/*physiology', 'Elasticity', 'Endocytosis', 'Humans', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*immunology', 'Matrix Metalloproteinase 9/genetics', 'Oligonucleotide Array Sequence Analysis', 'Phenotype', 'Profilins/genetics', 'Proteomics', 'RNA, Messenger/genetics/metabolism', 'Tissue Inhibitor of Metalloproteinase-1/genetics', '*Tumor Escape', 'Viscosity']",2010/06/12 06:00,2010/12/14 06:00,['2010/06/12 06:00'],"['2010/01/28 00:00 [received]', '2010/04/22 00:00 [revised]', '2010/04/22 00:00 [accepted]', '2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/12/14 06:00 [medline]']","['S0021-9290(10)00240-X [pii]', '10.1016/j.jbiomech.2010.04.028 [doi]']",ppublish,J Biomech. 2010 Aug 26;43(12):2339-47. doi: 10.1016/j.jbiomech.2010.04.028.,,,,,,,,,,,,,,,,,
20536911,NLM,MEDLINE,20110218,20211203,1432-2277 (Electronic) 0934-0874 (Linking),23,12,2010 Dec,Impact of amino acid substitution at residue 9 of HLA-A2 on the development of acute GVHD in Korean pediatric patients receiving unrelated hematopoietic stem cell transplantation.,1216-22,10.1111/j.1432-2277.2010.01117.x [doi],"Incompatibility of human leukocyte antigen (HLA) alleles between donors and recipients of unrelated hematopoietic stem cell transplantation (UHSCT) increases the risk of acute graft-versus-host disease (GVHD). We evaluated the positional effect of amino acid substitutions in HLA molecules on severe acute GVHD in Korean pediatric recipients of UHSCT. All of 64 donor-recipient pairs were serologically matched for HLA-A, -B, and -DR loci. Only substitution at residue 9 resulting from an HLA-A*02 polymorphism was significantly associated with the risk of severe acute GVHD in patients (OR=7.0, P=0.033) on multivariate analysis. Recipients of this mismatched HLA also showed shortened overall survival (HR=9.7, P<0.001) and increased risk for transplant-related mortality (HR=9.1, P=0.027). Structural modeling showed that the amino acid substitution could alter the peptide preference of the ligand-binding pocket. A single amino acid substitution at position 9 was a major predictor of severe acute GVHD in Korean pediatric patients.","['(c) 2010 The Authors. Journal compilation (c) 2010 European Society for Organ', 'Transplantation.']","['Hwang, Sang-Hyun', 'Oh, Heung-Bum', 'Choi, Sung-Eun', 'Seo, Jong-Jin', 'Lee, Jae-Hwan', 'Cho, Sung-Woo', 'Chae, Jeong-Min', 'Heo, Yong-Seok', 'Chang, Chulhun L', 'Lee, Eun-Yup']","['Hwang SH', 'Oh HB', 'Choi SE', 'Seo JJ', 'Lee JH', 'Cho SW', 'Chae JM', 'Heo YS', 'Chang CL', 'Lee EY']","['Department of Laboratory Medicine, Pusan National University School of Medicine, Busan, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Transpl Int,Transplant international : official journal of the European Society for Organ Transplantation,8908516,['0 (HLA-A2 Antigen)'],IM,"['Adolescent', 'Amino Acid Sequence', 'Amino Acid Substitution', 'Asians/genetics', 'Child', 'Child, Preschool', 'Female', 'Graft vs Host Disease/*genetics', 'HLA-A2 Antigen/*genetics/immunology', 'Hematopoietic Stem Cell Transplantation/*adverse effects/mortality', 'Histocompatibility Testing', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Myeloid, Acute/therapy', 'Logistic Models', 'Male', 'Models, Molecular', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Republic of Korea']",2010/06/12 06:00,2011/02/22 06:00,['2010/06/12 06:00'],"['2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2011/02/22 06:00 [medline]']","['TRI1117 [pii]', '10.1111/j.1432-2277.2010.01117.x [doi]']",ppublish,Transpl Int. 2010 Dec;23(12):1216-22. doi: 10.1111/j.1432-2277.2010.01117.x.,,,,,,,,,,,,,,,,,
20536726,NLM,MEDLINE,20100720,20100611,0385-5600 (Print) 0385-5600 (Linking),54,5,2010 May,Molecular cloning and expression analysis of bovine programmed death-1.,291-8,10.1111/j.1348-0421.2010.00208.x [doi],"Recent work has shown that PD-1, an immune inhibitory receptor, is involved in mechanisms for down-regulating immune responses during tumor progression or chronic viral infection. However, in the case of bovine diseases, there have been no reports on this molecule due to lack of information about bovine PD-1. In this study, we performed identification and preliminary characterization of the bovine PD-1 gene in two breeds of cattle. We cloned full cDNA sequences encoding for PD-1 from both Holstein-Friesian and Japanese Black breeds, and found that both of the genes encoded a 282-amino acid protein, which had a signal sequence, transmembrane domain and an immunoreceptor tyrosine-based inhibitory motif. This bovine PD-1 showed 72.9% and 65.6% homology to human and mouse PD-1, respectively, both of which have been well characterized and documented. Quantitative real-time PCR analysis showed that bovine PD-1 is expressed predominantly in T-cells (such as CD4(+) and CD8(+) cells) and among PBMCs, and is strongly upregulated on T-cell stimulation via ConA. A limited number of cattle were tested yet, as expected, the degree of PD-1 mRNA expression in CD4(+) and CD8(+) T-cells was greater in cattle with bovine leukemia virus-induced lymphoma than in uninfected cattle. Further studies to characterize the functions of bovine PD-1 are therefore warranted, in order to elucidate the mechanism of the immunosuppression associated with progression of several diseases and therapy in cattle.",,"['Ikebuchi, Ryoyo', 'Konnai, Satoru', 'Sunden, Yuji', 'Onuma, Misao', 'Ohashi, Kazuhiko']","['Ikebuchi R', 'Konnai S', 'Sunden Y', 'Onuma M', 'Ohashi K']","['Department of Disease Control, Graduate School of Veterinary Medicine, Hokkaido University, Sapporo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Australia,Microbiol Immunol,Microbiology and immunology,7703966,"['0 (Antigens, CD)', '0 (Apoptosis Regulatory Proteins)', '0 (RNA, Messenger)']",IM,"['Amino Acid Sequence', 'Animals', 'Antigens, CD/biosynthesis/*genetics', 'Apoptosis Regulatory Proteins/*genetics', 'Base Sequence', 'CD4-Positive T-Lymphocytes/immunology', 'CD8-Positive T-Lymphocytes/immunology', 'Cattle', 'Cloning, Molecular', 'Enzootic Bovine Leukosis/immunology/virology', 'Leukemia Virus, Bovine/immunology', 'Molecular Sequence Data', 'Phylogeny', 'RNA, Messenger/chemistry/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Alignment']",2010/06/12 06:00,2010/07/21 06:00,['2010/06/12 06:00'],"['2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/07/21 06:00 [medline]']","['MIM208 [pii]', '10.1111/j.1348-0421.2010.00208.x [doi]']",ppublish,Microbiol Immunol. 2010 May;54(5):291-8. doi: 10.1111/j.1348-0421.2010.00208.x.,,,,['GENBANK/AB510901'],,,,,,,,,,,,,
20536670,NLM,MEDLINE,20101001,20100611,1346-8138 (Electronic) 0385-2407 (Linking),37,6,2010 Jun,Cutaneous endometriosis in the umbilical region: the usefulness of CD10 in identifying the interstitium of ectopic endometriosis.,545-9,10.1111/j.1346-8138.2010.00831.x [doi],"Endometriosis is a condition in which endometrium or endometrium-like tissue grows in areas other than the endometrium and is often found within the pelvis such as in the uterus or ovary, but occasionally develops ectopically in the skin. In this paper, we report a case of cutaneous endometriosis in the umbilical region found in a 37-year-old woman with no history of pregnancy. The lesion was a brown, firm and elastic nodule, 9 mm x 7 mm in size, and caused bleeding as well as pain which increased during menstruation. Histopathological findings revealed that there were small and large glandular cavity structures in the dermis and the edematous interstitium around it. On immunohistochemical staining for estrogen and progesterone receptors, the cellular nuclei of glandular cavity walls were mainly found to be positive for both, and cells in the edematous interstitium around the glandular cavity were positive for CD10. Consequently, we diagnosed this case as cutaneous endometriosis in the umbilical region. CD10 was initially described as a tumor-specific antigen found in acute lymphoblastic leukemia. Recently, the usefulness of CD10 in diagnosing endometriosis in addition to various types of lymphoma or blood cancer has been confirmed, and in our case it also proved to be as useful as estrogen receptor or progesterone receptor in the definitive diagnosis of endometriosis.",,"['Fukuda, Hidetsugu', 'Mukai, Hideki']","['Fukuda H', 'Mukai H']","['Department of Dermatology, Toho University Ohashi Medical Center, Meguro-ku, Tokyo, Japan. h-fukuda@med.toho-u.ac.jp']",['eng'],"['Case Reports', 'Journal Article']",,England,J Dermatol,The Journal of dermatology,7600545,['EC 3.4.24.11 (Neprilysin)'],IM,"['Adult', 'Endometriosis/metabolism/*pathology', 'Female', 'Humans', 'Neprilysin/*metabolism', 'Skin Diseases/metabolism/*pathology', 'Umbilicus/*pathology']",2010/06/12 06:00,2010/10/05 06:00,['2010/06/12 06:00'],"['2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/10/05 06:00 [medline]']","['JDE831 [pii]', '10.1111/j.1346-8138.2010.00831.x [doi]']",ppublish,J Dermatol. 2010 Jun;37(6):545-9. doi: 10.1111/j.1346-8138.2010.00831.x.,,,,,,,,,,,,,,,,,
20536351,NLM,MEDLINE,20100927,20190116,1029-2403 (Electronic) 1026-8022 (Linking),51,6,2010 Jun,The Hammersmith Hospital hematopathology case of the month: myeloid sarcoma with Langerhans cell proliferation.,1128-34,10.3109/10428191003777989 [doi],"We present a patient whose initial lymph node biopsy showed extensive histiocyte and Langerhans cell infiltration, which obscured the underlying myeloid sarcoma (MS). The initial diagnosis of Langerhans cell histiocytosis (LCH) was not compatible with the disease evolution, and a subsequent biopsy performed much later showed all the characteristics of MS. Clinical distinction between LCH and MS involving the skin and management of these diseases, and the reported association of LCH/Langerhans cell proliferations with myeloid and lymphoid malignancies, are discussed.",,"['Naresh, Kikkeri N', 'Zokaie, Simon', 'Madhavan, Krishna Swamy', 'Chu, Anthony']","['Naresh KN', 'Zokaie S', 'Madhavan KS', 'Chu A']","['Departments of Histopathology, Hammersmith Hospital Campus, Imperial College Healthcare NHS Trust and Imperial College, London, UK. k.naresh@imperial.ac.uk']",['eng'],"['Case Reports', 'Clinical Conference', 'Journal Article']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['*Cell Proliferation', 'Diagnosis, Differential', 'Fatal Outcome', 'Histiocytosis, Langerhans-Cell/*diagnosis', 'Humans', 'Langerhans Cells/*pathology', 'Male', 'Middle Aged', 'Sarcoma, Myeloid/*diagnosis']",2010/06/12 06:00,2010/09/29 06:00,['2010/06/12 06:00'],"['2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/09/29 06:00 [medline]']",['10.3109/10428191003777989 [doi]'],ppublish,Leuk Lymphoma. 2010 Jun;51(6):1128-34. doi: 10.3109/10428191003777989.,,,,,,,"['Leuk Lymphoma. 2010 Aug;51(8):1582. Chzu, Anthony [corrected to Chu, Anthony]']",,,,,,,,,,
20536350,NLM,MEDLINE,20100927,20211203,1029-2403 (Electronic) 1026-8022 (Linking),51,6,2010 Jun,The associations of Janus kinase-2 (JAK2) A830G polymorphism and the treatment outcomes in patients with acute myeloid leukemia.,1115-20,10.3109/10428191003774960 [doi],"The Janus kinase/signal transducer and activator of transcription (JAK/STAT) pathway is active in both normal hematopoiesis and hematological malignancies. Moreover, Janus kinase-2 (JAK2) is the key hematopoietic kinase, and mutations together with single nucleotide polymorphisms (SNPs) of JAK2 have been thoroughly evaluated. In this study, we aimed to investigate whether the synonymous genetic polymorphism A830G in the JAK2 gene is associated with the treatment outcomes of Ara-C-based chemotherapy regimens in patients with acute myeloid leukemia (AML). A total of 152 patients with AML in a Chinese population were enrolled in our study. Peripheral blood samples drawn at the time of diagnosis were analyzed for the presence of JAK2 A830G by matrix assisted laser desorption ionization-time of flight mass spectrometry (MALDI-TOF-MS). The results showed that frequencies of the AA genotype were higher in the group 40-60 years old, higher white blood cell (WBC) patient group, homoharringtonine and Ara-C (HA) regimen group, and good therapy response group, and patients with the GG genotype were significantly associated with a higher rate of early death. We conclude that the AA and GG genotypes of JAK2 A830G might be important markers for therapy outcomes of patients with AML in a Chinese population.",,"['Zhong, Yuejiao', 'Chen, Baoan', 'Feng, Jifeng', 'Cheng, Lu', 'Li, Yufeng', 'Qian, Jun', 'Ding, Jiahua', 'Gao, Feng', 'Xia, Guohua', 'Chen, Ningna', 'Lu, Zuhong']","['Zhong Y', 'Chen B', 'Feng J', 'Cheng L', 'Li Y', 'Qian J', 'Ding J', 'Gao F', 'Xia G', 'Chen N', 'Lu Z']","['Department of Hematology, Medical School, Zhongda Hospital, Sontheast University, Nanjing, China.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['04079A1RDZ (Cytarabine)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asians/genetics', 'China', 'Cytarabine/administration & dosage', 'Female', 'Gene Frequency', 'Genotype', 'Humans', 'Janus Kinase 2/*genetics', 'Leukemia, Myeloid, Acute/*drug therapy/ethnology/*genetics', 'Male', 'Middle Aged', '*Polymorphism, Single Nucleotide', 'Remission Induction', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Treatment Outcome', 'Young Adult']",2010/06/12 06:00,2010/09/29 06:00,['2010/06/12 06:00'],"['2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/09/29 06:00 [medline]']",['10.3109/10428191003774960 [doi]'],ppublish,Leuk Lymphoma. 2010 Jun;51(6):1115-20. doi: 10.3109/10428191003774960.,,,,,['Leuk Lymphoma. 2010 Jul;51(7):1161-2. PMID: 20496996'],,,,,,,,,,,,
20536349,NLM,MEDLINE,20100927,20211020,1029-2403 (Electronic) 1026-8022 (Linking),51,6,2010 Jun,Design and synthesis of novel derivatives of all-trans retinoic acid demonstrate the combined importance of acid moiety and conjugated double bonds in its binding to PML-RAR-alpha oncogene in acute promyelocytic leukemia.,1108-14,10.3109/10428191003786766 [doi],"The binding of all-trans retinoic acid (ATRA) to retinoid receptor-alpha (RAR-alpha) relieves transcriptional repression induced by the promyelocytic leukemia-retinoic acid receptor (PML-RAR) oncoprotein. The ATRA molecule contains a cyclohexenyl ring, a polyene chain containing conjugated double alkene bonds, and a terminal carboxyl group. To determine the contributions of these structural components of ATRA to its clinical efficacy, we synthesized three novel retinoids. These consisted of either a modified conjugated alkene backbone with an intact acid moiety (13a) or a modified conjugated alkene backbone and conversion of the acid group to either an ester (13b) or an aromatic amide (13c). Reporter assays demonstrated that compound 13a successfully relieved transcriptional repression by RAR-alpha, while 13b and 13c could not, demonstrating the critical role of the acid moiety in this binding. However, only ATRA was able to significantly inhibit the proliferation of APL cells while 13a, 13b, or 13c was not. Furthermore, only 13a led to partial non-significant differentiation of NB4 cells, demonstrating the importance of C9-C10 double bonds in differentiation induced CD11 expression. Our results demonstrate that both the acid moiety and conjugated double bonds present in the ATRA molecule are important for its biological activity in APL and have important implications for the design of future novel retinoids.",,"['Schinke, Carolina', 'Goel, Swati', 'Bhagat, Tushar D', 'Zhou, Li', 'Mo, Yongkai', 'Gallagher, Robert', 'Kabalka, George W', 'Platanias, Leonidas C', 'Verma, Amit', 'Das, Bhaskar']","['Schinke C', 'Goel S', 'Bhagat TD', 'Zhou L', 'Mo Y', 'Gallagher R', 'Kabalka GW', 'Platanias LC', 'Verma A', 'Das B']","['Albert Einstein College of Medicine, Bronx, NY, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (CD11 Antigens)', '0 (Oncogene Proteins, Fusion)', '0 (Recombinant Fusion Proteins)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', '5688UTC01R (Tretinoin)', 'EC 1.13.12.- (Luciferases)']",IM,"['Apoptosis/drug effects', 'CD11 Antigens/analysis', 'Cell Differentiation/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/*drug effects', 'Drug Design', 'Flow Cytometry', 'Gene Expression Regulation/drug effects', 'Humans', 'Infant', 'Leukemia, Promyelocytic, Acute/genetics/metabolism/pathology', 'Luciferases/genetics/metabolism', 'Molecular Structure', 'Oncogene Proteins, Fusion/genetics/*metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'Response Elements/genetics', 'Transfection', 'Tretinoin/chemical synthesis/metabolism/*pharmacology']",2010/06/12 06:00,2010/09/29 06:00,['2010/06/12 06:00'],"['2010/06/12 06:00 [entrez]', '2010/06/12 06:00 [pubmed]', '2010/09/29 06:00 [medline]']",['10.3109/10428191003786766 [doi]'],ppublish,Leuk Lymphoma. 2010 Jun;51(6):1108-14. doi: 10.3109/10428191003786766.,"['R01 CA121192/CA/NCI NIH HHS/United States', 'R01 CA121192-04/CA/NCI NIH HHS/United States', 'P30 CA060553/CA/NCI NIH HHS/United States', 'R01 CA121192-03/CA/NCI NIH HHS/United States', 'R01 HL082946/HL/NHLBI NIH HHS/United States', 'R01 HL082946-04/HL/NHLBI NIH HHS/United States', 'CA121192/CA/NCI NIH HHS/United States', 'T32 CA009173/CA/NCI NIH HHS/United States', '1R01HL082946-01/HL/NHLBI NIH HHS/United States']",PMC4104194,['NIHMS590806'],,,,,,,,,,,,,,
