PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,GR,PMC,RF,TT,CIN,CON,EIN,CRF,OTO,OT,PS,FPS,OID,GN,LID,ROF
8987576,NLM,MEDLINE,19970219,20190914,0168-1656 (Print) 0168-1656 (Linking),47,2-3,1996 Jun 27,Preservation of viable biological samples for experiments in space laboratories.,377-93,"Standard viable preservation methods for biological samples using low temperatures have been investigated concerning their storage capabilities under higher temperature levels than usual. For a representative set of organism classes (plants, mammalian cells, arthropods and aquatic invertebrates), the minimum appropriate storage conditions have been identified by screening storage temperatures at -196 degrees, -80 degrees, -20 degrees, +4 degrees, +20 degrees/25 degrees C for periods from 2 days to 4 weeks. For storage below 0 degree C, as a typical cryopreservative, dimethylsulfoxide (DMSO) was used. For some samples, the addition of trehalose (as cryopreservative) and the use of a nitrogen atmosphere were investigated. After storage, the material was tested for vitality. The findings demonstrated that acceptable preservation can be achieved under higher storage temperatures than are typically applied. Small, dense cultured plant cells survive for 21 d when moderately cooled (+4 degrees to -20 degrees C); addition of trehalose enhances viability at -20 degrees C. For mammalian cells, the results show that human lymphocytes can be preserved for 3 d at 25 degrees C, 7 d at 4 degrees C and 28 d at -80 degrees C. Friend leukaemia virus transformed cells can be stored for 3 d at 25 degrees C, 14 d at 4 degrees C and 28 d at -80 degrees C. Hybridoma cells can be kept 7 d at 4 degrees C and 28 d at -20 degrees C or -80 degrees C. Model arthropod systems are well preserved for 2 weeks if maintained at lower temperatures that vary depending on the species and/or stage of development; e.g., 12 degrees C for Drosophila imagoes and 4-6 degrees C for Artemia nauplii. For aquatic invertebrates such as sea urchins, embryonic and larval stages can be preserved for several weeks at +6 degrees C, whereas sperm and eggs can best be stored at + 4 degrees C for up to 5 d at maximum. These results enhance the range of feasible space experiments with biological systems. Moreover, for typical terrestrial preservation methods, considerable modification potential is identified.","['Anthony, P', 'Ausseil, J', 'Bechler, B', 'Benguria, A', 'Blackhall, N', 'Briarty, L G', 'Cogoli, A', 'Davey, M R', 'Garesse, R', 'Hager, R', 'Loddenkemper, R', 'Marchant, R', 'Marco, R', 'Marthy, H J', 'Perry, M', 'Power, J B', 'Schiller, P', 'Ugalde, C', 'Volkmann, D', 'Wardrop, J']","['Anthony P', 'Ausseil J', 'Bechler B', 'Benguria A', 'Blackhall N', 'Briarty LG', 'Cogoli A', 'Davey MR', 'Garesse R', 'Hager R', 'Loddenkemper R', 'Marchant R', 'Marco R', 'Marthy HJ', 'Perry M', 'Power JB', 'Schiller P', 'Ugalde C', 'Volkmann D', 'Wardrop J']","['Life Science Department, University of Nottingham, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Biotechnol,Journal of biotechnology,8411927,,,"['Animals', 'Biotechnology', 'Cells, Cultured', 'Cryopreservation/methods', 'Evaluation Studies as Topic', 'Female', 'Humans', 'Male', 'Preservation, Biological/*methods', '*Space Flight', 'Temperature', 'Time Factors']",1996/06/27 00:00,1996/06/27 00:01,['1996/06/27 00:00'],"['1996/06/27 00:00 [pubmed]', '1996/06/27 00:01 [medline]', '1996/06/27 00:00 [entrez]']","['0168-1656(96)01363-6 [pii]', '10.1016/0168-1656(96)01363-6 [doi]']",ppublish,J Biotechnol. 1996 Jun 27;47(2-3):377-93. doi: 10.1016/0168-1656(96)01363-6.,,,,,,,,,,,,,,,,,
8987361,NLM,MEDLINE,19970213,20210526,0146-0749 (Print) 0146-0749 (Linking),60,4,1996 Dec,T helper cell activation and human retroviral pathogenesis.,722-42,"T helper (Th) cells are of central importance in regulating many critical immune effector mechanisms. The profile of cytokines produced by Th cells correlates with the type of effector cells induced during the immune response to foreign antigen. Th1 cells induce the cell-mediated immune response, while Th2 cells drive antibody production. Th cells are the preferential targets of human retroviruses. Infections with human T-cell leukemia virus (HTLV) or human immunodeficiency virus (HIV) result in the expansion of Th cells by the action of HTLV (adult T-cell leukemia) or the progressive loss of T cells by the action of HIV (AIDS). Both retrovirus infections impart a high-level activation state in the host immune cells as well as systemically. However, diverging responses to this activation state have contrasting effects on the Th-cell population. In HIV infection, Th-cell loss has been attributed to several mechanisms, including a selective elimination of cells by apoptosis. The induction of apoptosis in HIV infection is complex, with many different pathways able to induce cell death. In contrast, infection of Th cells with HTLV-1 affords the cell a protective advantage against apoptosis. This advantage may allow the cell to escape immune surveillance, providing the opportunity for the development of Th-cell cancer. In this review, we will discuss the impact of Th-cell activation and general immune activation on human retrovirus expression with a focus upon Th-cell function and the progression to disease.","['Copeland, K F', 'Heeney, J L']","['Copeland KF', 'Heeney JL']","['Department of Pathology, McMaster University, Hamilton, Ontario, Canada. copelndk@fhs.mcmaster.ca']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Microbiol Rev,Microbiological reviews,7806086,['0 (Viral Proteins)'],IM,"['Acquired Immunodeficiency Syndrome/immunology', 'Apoptosis', 'Deltaretrovirus Infections/*immunology', 'Disease Progression', 'HIV Infections/*immunology', 'HIV-1/genetics/pathogenicity', 'Human T-lymphotropic virus 1/genetics/pathogenicity', 'Humans', 'Immune Tolerance', '*Lymphocyte Activation', 'Th1 Cells/*immunology/*virology', 'Th2 Cells/*immunology/*virology', 'Viral Proteins/physiology']",1996/12/01 00:00,1996/12/01 00:01,['1996/12/01 00:00'],"['1996/12/01 00:00 [pubmed]', '1996/12/01 00:01 [medline]', '1996/12/01 00:00 [entrez]']",['10.1128/mr.60.4.722-742.1996 [doi]'],ppublish,Microbiol Rev. 1996 Dec;60(4):722-42. doi: 10.1128/mr.60.4.722-742.1996.,,,PMC239461,370,,,,,,,,,,,,,
8987354,NLM,MEDLINE,19970213,20191024,0025-5564 (Print) 0025-5564 (Linking),138,2,1996 Dec,Acute leukemia and chemotherapy: a modeling viewpoint.,79-100,"A couple of models of acute myeloblastic leukemia (AML) are proposed. Normal and leukemic cells are assumed to exist side-by-side with the two cell populations obeying Gompertzian dynamics but with the leukemic cells exercising inhibition over the normal cells. The kinetic equations and steady-state properties of one of the models is analytically obtained. Possible situations of detection or nondetection of malignancy are then discussed. Based on the models of AML, a treatment model is proposed and numerically simulated. Consequently, the option of aggressive treatment of the disease with heavy doses of drugs is shown to be a plausible and worthwhile chemotherapeutic strategy.","['Afenya, E']",['Afenya E'],"['Department of Mathematics, Elmhurst College, Illinois 60126, USA.']",['eng'],"['Journal Article', 'Review']",United States,Math Biosci,Mathematical biosciences,0103146,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*therapeutic use', 'Cell Division/drug effects', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Mathematics', '*Models, Biological']",1996/12/01 00:00,1996/12/01 00:01,['1996/12/01 00:00'],"['1996/12/01 00:00 [pubmed]', '1996/12/01 00:01 [medline]', '1996/12/01 00:00 [entrez]']","['S0025556496000867 [pii]', '10.1016/s0025-5564(96)00086-7 [doi]']",ppublish,Math Biosci. 1996 Dec;138(2):79-100. doi: 10.1016/s0025-5564(96)00086-7.,,,,30,,,,,,,,,,,,,
8987253,NLM,MEDLINE,19970219,20191101,0902-4506 (Print) 0902-4506 (Linking),60,,1996,The effects of benzene and other leukaemogenic agents on haematopoietic stem and progenitor cell differentiation.,119-24,"A characteristic shared by a diverse group of myelotoxic compounds and leukaemogens is the ability to act synergistically with granulocyte-macrophage colony stimulating factor (GM-CSF) in increasing clonogenic response. Pretreatment of murine or human bone marrow cells with the benzene metabolite, hydroquinone, but not phenol, catechol or trans, trans-muconaldehyde, results in a selective enhancement of GM-CSF but not an interleukin-3 (IL-3)-mediated clonogenic response. Clonal enhancement is preserved and magnified in enriched populations of CD34+ cells (> 95% purity), suggesting an intrinsic effect on haematopoietic progenitor cell (HPC) recruitment rather than a secondary effect involving accessory cytokines. Clonogenic enhancement of murine HPCs is not accompanied by alterations in GM-CSF receptor expression or ligand affinity and appears to be mediated via a p53-independent mechanism. These observations suggest that hydroquinone treatment alters recruitment and differentiation in a primitive subpopulation of CD34+ cells and are consistent with a role for altered stem cell differentiation in the development of chemically induced myelodysplasias.","['Irons, R D', 'Stillman, W S']","['Irons RD', 'Stillman WS']","['Department of Pharmaceutical Sciences, School of Pharmacy, University of Colorado Health Sciences Center, Denver 80262, USA. Richard.Irons@UCHSC.EDU']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Eur J Haematol Suppl,European journal of haematology. Supplementum,8703474,"['0 (Carcinogens)', '0 (Cytokines)', 'J64922108F (Benzene)']",IM,"['Animals', 'Benzene/*toxicity', 'Carcinogens/*toxicity', 'Cell Differentiation/drug effects', 'Cytokines/physiology', 'Hematopoietic Stem Cells/*drug effects', 'Humans', 'Leukemia/*chemically induced/pathology/physiopathology', 'Leukemia, Experimental/*chemically induced/pathology/physiopathology']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1996.tb01657.x [doi]'],ppublish,Eur J Haematol Suppl. 1996;60:119-24. doi: 10.1111/j.1600-0609.1996.tb01657.x.,,"['ES06258/ES/NIEHS NIH HHS/United States', 'P30 CA46934/CA/NCI NIH HHS/United States']",,40,,,,,,,,,,,,,
8987245,NLM,MEDLINE,19970219,20191101,0902-4506 (Print) 0902-4506 (Linking),60,,1996,The role of cytokines in haematopoiesis.,69-74,"Cytokines, by definition, exert an effect on haematopoiesis. Diseases characterized by haematopoietic insufficiency, such as aplastic anaemia, should therefore be investigated for abnormal expression of these regulatory proteins. In studies on hairy cell leukaemia, a severe deficiency was found in the production of interleukin-3 (IL-3), granulocyte-macrophage colony stimulating factor (GM-CSF), granulocyte CSF, IL-6 and tumour necrosis factor alpha (TNF alpha). Further studies on IL-6 at the mRNA and protein levels revealed that peripheral blood mononuclear cells and even hairy cells could be stimulated by interferon alpha (IFN alpha) to produce IL-6. It is interesting to speculate on the beneficial effects of IFN alpha therapy on the expansion of normal haematopoiesis and suppression or even elimination of malignant cells. Studies on a patient with angio-immunoblastic lymphadenopathy, another disease showing haematopoietic insufficiency, who developed severe aplastic anaemia, showed massive increases in IFN gamma and TNF alpha levels in serum; IL-6 and GM-CSF levels were below the limit of detection. These results correlated with an abnormal distribution of CD4+ and CD8+ T lymphocytes in the patient's blood and were compatible with the suppressive effects of IFN gamma and TNF alpha on haematopoiesis.","['Schwarzmeier, J D']",['Schwarzmeier JD'],"['L. Boltzmann Institute for Cytokine Research, Department of Haematology, University of Vienna, Austria.']",['eng'],"['Journal Article', 'Review']",England,Eur J Haematol Suppl,European journal of haematology. Supplementum,8703474,"['0 (Colony-Stimulating Factors)', '0 (Cytokines)', '0 (Interleukin-3)', '0 (Stem Cell Factor)']",IM,"['Colony-Stimulating Factors/physiology', 'Cytokines/*physiology/therapeutic use', 'Hematopoiesis/*physiology', 'Humans', 'Interleukin-3/physiology', 'Stem Cell Factor/physiology']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1996.tb01649.x [doi]'],ppublish,Eur J Haematol Suppl. 1996;60:69-74. doi: 10.1111/j.1600-0609.1996.tb01649.x.,,,,11,,,,,,,,,,,,,
8987243,NLM,MEDLINE,19970219,20191101,0902-4506 (Print) 0902-4506 (Linking),60,,1996,Could aplastic anaemia be considered a pre-pre-leukaemic disorder?,60-3,"Clinical evidence for a link between aplastic anaemia, paroxysmal nocturnal haemoglobinuria (PNH) and hypoplastic leukaemia is provided by studies of clonal disorders, which may be a complication of congenital or acquired aplastic anaemia. Fanconi's anaemia is the most common congenital disorder and leukaemia occurs in at least 10% of cases. In acquired aplastic anaemia, a high incidence of myelodysplastic syndrome (MDS) was noted in patients with aplastic anaemia, seemingly cured of their aplasia by antilymphocyte globulins (ALG). In a recent survey, the 10-year cumulative incidence rates were 9.6% for MDS, 6.6% for acute leukaemia (115-fold higher than in the general population). Biological evidence is provided by bone marrow morphology, as a certain degree of dysmyelopoiesis is not unusual in aplastic anaemia. Cytogenetic analyses in aplastic anaemia are scarce, but data have shown clonal cytogenetic abnormalities at diagnosis in otherwise typical aplastic anaemia. Recently, flow cytometry to assess the glycosyl-phosphatidylinositol (GPI) molecule defect in PNH has demonstrated that a significant proportion of patients with otherwise typical aplastic anaemia have, in fact, a GPI defect due to alterations within the PIG-A gene. Finally, aplastic anaemia patients were recently reported to have molecular evidence of clonal haematopoiesis; this must now be discussed in light of recent clonality studies in normal individuals. The clinical and biological evidence for a link between aplastic anaemia, PNH and hypoplastic leukaemia allows the generation of a model of aplastic anaemia as a possible pre-pre-leukaemic disorder.","['Socie, G']",['Socie G'],"['Service de Greffe de Moelle, Hopital Saint Louis, Paris, France.']",['eng'],"['Journal Article', 'Review']",England,Eur J Haematol Suppl,European journal of haematology. Supplementum,8703474,,IM,"['Acute Disease', 'Anemia, Aplastic/*complications', 'Humans', 'Leukemia/*etiology', 'Myelodysplastic Syndromes/*etiology', '*Precancerous Conditions', 'Risk Factors']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1996.tb01647.x [doi]'],ppublish,Eur J Haematol Suppl. 1996;60:60-3. doi: 10.1111/j.1600-0609.1996.tb01647.x.,,,,39,,,,,,,,,,,,,
8987056,NLM,MEDLINE,19970311,20190909,0736-8046 (Print) 0736-8046 (Linking),13,6,1996 Nov-Dec,Congenital leukemia cutis preceding monoblastic leukemia by 3 months.,472-6,"We report an infant born with a cutaneous nodular eruption and neutropenia. Skin biopsy specimens revealed an immature dermal infiltrate suggestive of leukemia cutis, but repeated peripheral blood and bone marrow examinations failed to demonstrate malignant cells. The eruption resolved spontaneously. At the age of 3 months, a second occurrence of maculopapular skin lesions led to discovery of an acute monoblastic leukemia with (9;11)(p21-22;q23) translocation. Congenital acute leukemia is a rare disease associated with skin infiltration in 25% to 30% of patients. Usually the diagnosis is easily made by peripheral blood examination and/or bone marrow aspirate. However, skin involvement may precede acute leukemia by several weeks. Although very rare, this event must be kept in mind.","['Monpoux, F', 'Lacour, J P', 'Hatchuel, Y', 'Hofman, P', 'Raynaud, S', 'Sudaka, I', 'Ortonne, J P', 'Mariani, R']","['Monpoux F', 'Lacour JP', 'Hatchuel Y', 'Hofman P', 'Raynaud S', 'Sudaka I', 'Ortonne JP', 'Mariani R']","[""Department of Pediatrics, Hopital de l'Archet, Nice, France.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Pediatr Dermatol,Pediatric dermatology,8406799,,IM,"['Biopsy', 'Bone Marrow/pathology', 'Fatal Outcome', 'Humans', 'Infant, Newborn', 'Leukemia, Monocytic, Acute/complications/*congenital/*diagnosis/genetics', 'Male', 'Neutropenia/etiology', 'Skin/pathology', 'Skin Diseases/*etiology', 'Translocation, Genetic']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1111/j.1525-1470.1996.tb00727.x [doi]'],ppublish,Pediatr Dermatol. 1996 Nov-Dec;13(6):472-6. doi: 10.1111/j.1525-1470.1996.tb00727.x.,,,,,,,,,,,,,,,,,
8986864,NLM,MEDLINE,19970325,20050726,0733-2459 (Print) 0733-2459 (Linking),11,4,1996,Successful collection and transplantation of peripheral blood stem cells in cancer patients using large-volume leukaphereses.,185-94,"It was the aim of our study to determine the collection efficiency and yield of CD34+ cells in 88 cancer patients (pts, 44 males/44 females) who underwent 154 large-volume leukaphereses (LV-LPs). The diagnoses were as follows: 18 patients had Non-Hodgkin's lymphoma, 9 Hodgkin's disease, 24 multiple myeloma, 6 acute leukemia, 27 breast cancer, and 4 patients had solid tumors of different types. During the course of LV-LPs, 20 liters (1) of blood were processed at a median flow-rate of 85 ml/min (CS 3000 Baxter) and 130 ml/min (COBE Spectra), respectively. Peripheral blood stem cells (PBSC) were collected following granulocyte colony-stimulating factor (G-CSF)-supported cytotoxic chemotherapy. A 31% and 21% mean decrease in the platelet and white blood count was noted at the end of the LV-LPs when compared with the pre-leukapheresis values. The aphereses were well tolerated without adverse effects. The level of circulating CD34+ cells was closely related to the number of CD34+ cells contained in the respective leukapheresis product (R = 0.89, P < 0.001). Compared with 270 patients who underwent 838 regular 10 1 LPs, the yield of CD34+ cells/kg was almost two-fold greater (4.84 +/- 0.63 x 10(6) [Mean +/- SEM] vs. 2.60 +/- 0.16 x 10(6), P < 0.001). The antigenic profile of CD34+ cells was assessed in 54 separate products collected on the occasion of 27 LV-LPs following the processing of 10 1 and 20 1, respectively. The intra-individual comparison included differentiation- as well as lineage-associated markers (CD38, Thy-1, c-kit, CD33, CD45RA). No difference in the subset composition was observed between the first and second product, arguing against a preferential release of particular CD34+ cell subsets during the procedure. As shown by molecular biological or immunocytochemical examination, the likelihood of harvesting malignant cells using large-volume aphereses was not increased in comparison with regular leukaphereses. Single harvests of > or = 2.5 x 10(6) CD34+ cells/kg could be obtained in 74% of the patients, compared with 52% in case of regular LPs. As the majority of patients were autografted with more than 2.5 x 10(6) CD34+ cells/kg following high-dose therapy, hematological recovery in general was rapid and not related to the type of apheresis product used. Considering patient comfort and savings in resource utilization, large-volume leukaphereses have become the standard procedure for PBSC collection in our center.","['Murea, S', 'Goldschmidt, H', 'Hahn, U', 'Pforsich, M', 'Moos, M', 'Haas, R']","['Murea S', 'Goldschmidt H', 'Hahn U', 'Pforsich M', 'Moos M', 'Haas R']","['Department of Internal Medicine V, University of Heidelberg, Germany.']",['eng'],['Journal Article'],United States,J Clin Apher,Journal of clinical apheresis,8216305,"['0 (Antigens, CD34)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antigens, CD34', 'Female', 'Flow Cytometry', 'Hematologic Neoplasms/*therapy', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Leukapheresis/*methods', 'Male', 'Middle Aged', 'Neoplasms/*therapy']",1996/01/01 00:00,2000/06/20 09:00,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/01/01 00:00 [entrez]']","['10.1002/(SICI)1098-1101(1996)11:4<185::AID-JCA3>3.0.CO;2-7 [pii]', '10.1002/(SICI)1098-1101(1996)11:4<185::AID-JCA3>3.0.CO;2-7 [doi]']",ppublish,J Clin Apher. 1996;11(4):185-94. doi: 10.1002/(SICI)1098-1101(1996)11:4<185::AID-JCA3>3.0.CO;2-7.,,,,,,,,,,,,,,,,,
8986808,NLM,MEDLINE,19970128,20190501,0027-8424 (Print) 0027-8424 (Linking),93,26,1996 Dec 24,HMG I(Y) interferes with the DNA binding of NF-AT factors and the induction of the interleukin 4 promoter in T cells.,15311-6,"HMG I(Y) proteins bind to double-stranded A + T oligonucleotides longer than three base pairs. Such motifs form part of numerous NF-AT-binding sites of lymphokine promoters, including the interleukin 4 (IL-4) promoter. NF-AT factors share short homologous peptide sequences in their DNA-binding domain with NF-kappa B factors and bind to certain NF-kappa B sites. It has been shown that HMG I(Y) proteins enhance NF-kappa B binding to the interferon beta promoter and virus-mediated interferon beta promoter induction. We show that HMG I(Y) proteins exert an opposite effect on the DNA binding of NF-AT factors and the induction of the IL-4 promoter in T lymphocytes. Introduction of mutations into a high-affinity HMG I(Y)-binding site of the IL-4 promoter, which decreased HMG I(Y)-binding to a NF-AT-binding sequence, the Pu-bB (or P) site, distinctly increased the induction of the IL-4 promoter in Jurkat T leukemia cells. High concentrations of HMG I(Y) proteins are able to displace NF-ATp from its binding to the Pu-bB site. High HMG I(Y) concentrations are typical for Jurkat cells and peripheral blood T lymphocytes, whereas E14 T lymphoma cells and certain T helper type 2 cell clones contain relatively low HMG I(Y) concentrations. Our results indicate that HMG I(Y) proteins do not cooperate, but instead compete with NF-AT factors for the binding to DNA even though NF-AT factors share some DNA-binding to DNA even though NF-AT factors share some DNA-binding properties with NF-kB factors. This competition between HMG I(Y) and NF-AT proteins for DNA binding might be due to common contacts with minor groove nucleotides of DNA and may be one mechanism contributing to the selective IL-4 expression in certain T lymphocyte populations, such as T helper type 2 cells.","['Klein-Hessling, S', 'Schneider, G', 'Heinfling, A', 'Chuvpilo, S', 'Serfling, E']","['Klein-Hessling S', 'Schneider G', 'Heinfling A', 'Chuvpilo S', 'Serfling E']","['Department of Molecular Pathology, University of Wurzburg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA-Binding Proteins)', '0 (High Mobility Group Proteins)', '0 (NF-kappa B)', '0 (NFATC Transcription Factors)', '0 (Nuclear Proteins)', '0 (Oligodeoxyribonucleotides)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '124544-67-8 (HMGA1a Protein)', '207137-56-2 (Interleukin-4)', 'EC 2.5.1.18 (Glutathione Transferase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Animals', 'Base Sequence', 'Binding, Competitive', 'Cell Line', 'Cloning, Molecular', 'DNA-Binding Proteins/*metabolism', 'Glutathione Transferase/biosynthesis', 'HMGA1a Protein', 'HeLa Cells', 'High Mobility Group Proteins/*metabolism', 'Humans', 'Interleukin-4/*biosynthesis/*genetics', 'Leukemia, T-Cell', 'Lymphocyte Activation', 'Lymphoma, T-Cell', 'Mice', 'Mutagenesis, Site-Directed', 'NF-kappa B/metabolism', 'NFATC Transcription Factors', '*Nuclear Proteins', 'Oligodeoxyribonucleotides/metabolism/pharmacology', '*Promoter Regions, Genetic', 'Protein Binding', 'Recombinant Fusion Proteins/biosynthesis/metabolism', 'T-Lymphocytes/immunology/*metabolism', 'Tetradecanoylphorbol Acetate/pharmacology', 'Transcription Factors/*metabolism']",1996/12/24 00:00,1996/12/24 00:01,['1996/12/24 00:00'],"['1996/12/24 00:00 [pubmed]', '1996/12/24 00:01 [medline]', '1996/12/24 00:00 [entrez]']",['10.1073/pnas.93.26.15311 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1996 Dec 24;93(26):15311-6. doi: 10.1073/pnas.93.26.15311.,,,PMC26401,,,,,,,,,,,,,,
8986799,NLM,MEDLINE,19970128,20190501,0027-8424 (Print) 0027-8424 (Linking),93,26,1996 Dec 24,Transduction of nondividing cells using pseudotyped defective high-titer HIV type 1 particles.,15266-71,"The use of Moloney murine leukemia virus (Mo-MLV)-based vectors to deliver therapeutic genes into target cells is limited by their inability to transduce nondividing cells. To test the capacity of HIV-based vectors to deliver genes into nondividing cells, we have generated replication-defective HIV type 1 (HIV-1) reporter vectors carrying neomycin phosphotransferase or mouse heat stable antigen, replacing the HIV-1 sequences encoding gp160. These vectors also harbor inactive vpr, vpu, and nef coding regions. Pseudotyped HIV-1 particles carrying either the ecotropic or the amphotropic Mo-MLV envelope proteins or the vesicular stomatitis virus G protein were released after single or double transfections of either human 293T or monkey COS-7 cells with titers of up to 10(7) colony-forming units per milliliter. A simple ultrafiltration procedure resulted in an additional 10- to 20-fold concentration of the pseudotyped particles. These vectors along with Mo-MLV-based vectors were used to transduce primary human skin fibroblasts and human peripheral blood CD34+ cells. The HIV-1 vector system was significantly more efficient than its Mo-MLV-based counterpart in transducing human skin fibroblasts arrested at the G0/G1 stage of the cell cycle by density-dependent inhibition of growth. Human CD34+ cells were transduced efficiently using HIV-1 pseudotype particles without prior stimulation with cytokines.","['Reiser, J', 'Harmison, G', 'Kluepfel-Stahl, S', 'Brady, R O', 'Karlsson, S', 'Schubert, M']","['Reiser J', 'Harmison G', 'Kluepfel-Stahl S', 'Brady RO', 'Karlsson S', 'Schubert M']","['Molecular and Medical Genetics Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892, USA. jreiser@helix.nih.gov']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antigens, CD34)', '0 (HIV Envelope Protein gp160)', '0 (Recombinant Proteins)', 'EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))', 'EC 2.7.1.95 (Kanamycin Kinase)']",IM,"['Animals', 'Antigens, CD34', 'COS Cells', 'Cell Cycle', 'Cell Line', 'Defective Viruses/*physiology', 'Genes, nef', 'Genes, vpr', 'Genes, vpu', 'Genetic Therapy', 'Genetic Vectors', 'HIV Envelope Protein gp160/biosynthesis/genetics', 'HIV-1/*genetics/*physiology', 'Humans', 'Kanamycin Kinase', 'Lymphocytes', 'Mice', 'Moloney murine leukemia virus', 'Phosphotransferases (Alcohol Group Acceptor)/biosynthesis/genetics', 'Recombinant Proteins/biosynthesis', 'Signal Transduction', 'Skin/metabolism', 'Transfection']",1996/12/24 00:00,1996/12/24 00:01,['1996/12/24 00:00'],"['1996/12/24 00:00 [pubmed]', '1996/12/24 00:01 [medline]', '1996/12/24 00:00 [entrez]']",['10.1073/pnas.93.26.15266 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1996 Dec 24;93(26):15266-71. doi: 10.1073/pnas.93.26.15266.,,,PMC26392,,,,,,,,,,,,,,
