PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,PMC,RF,CIN,GR,PS,FPS
4428133,NLM,MEDLINE,19750129,20061115,0300-8592 (Print) 0300-8592 (Linking),27,10,1974 Oct,[Radiotherapy for rheumatic conditions of the motor-system (author's transl)].,504-7,"['Dihlmann, W']",['Dihlmann W'],['ger'],"['English Abstract', 'Journal Article']",Germany,Rontgenblatter,Rontgen-Blatter; Zeitschrift fur Rontgen-Technik und medizinisch-wissenschaftliche Photographie,0413560,,IM,"['Arthritis, Rheumatoid/complications/*radiotherapy', 'Humans', 'Leukemia/etiology', 'Radiation Injuries/diagnosis', 'Radiotherapy/adverse effects', 'Radiotherapy Dosage', 'Spondylitis, Ankylosing/complications/*radiotherapy']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",,ppublish,Rontgenblatter. 1974 Oct;27(10):504-7.,Rontgentherapie bei entzundlich-rheumatischen Erkrankungen der Bewegungsorgane,,,,,,,
4428060,NLM,MEDLINE,19750203,20071115,0033-8419 (Print) 0033-8419 (Linking),113,3,1974 Dec,Quantitation of tumor volumes and response to therapy with ultrasound B-scans.,705-8,"['Tolbert, D D', 'Zagzebski, J A', 'Banjavic, R A', 'Wiley, A L Jr']","['Tolbert DD', 'Zagzebski JA', 'Banjavic RA', 'Wiley AL Jr']",['eng'],['Journal Article'],United States,Radiology,Radiology,0401260,,IM,"['Child', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Lymphoid/radiotherapy', 'Liver/pathology', 'Liver Neoplasms/drug therapy/pathology/radiotherapy/*therapy', 'Retroperitoneal Neoplasms/drug therapy/pathology/radiotherapy/*therapy', 'Rhabdomyosarcoma/drug therapy/pathology/radiotherapy/*therapy', 'Splenomegaly/*diagnosis', '*Ultrasonography']",1974/12/01 00:00,2001/03/28 10:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1974/12/01 00:00 [entrez]']",['10.1148/113.3.705 [doi]'],ppublish,Radiology. 1974 Dec;113(3):705-8. doi: 10.1148/113.3.705.,,,,,,,,
4427392,NLM,MEDLINE,19750125,20190511,0027-8874 (Print) 0027-8874 (Linking),53,4,1974 Oct,Graft versus leukemia: effect of phytohemagglutinin-stimulated and normal spleen cells on Rauscher disease.,1165-8,"['Lair, S V', 'Lozzio, B B']","['Lair SV', 'Lozzio BB']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['0 (Lectins)'],IM,"['Animals', 'Blood Cell Count', 'Cell Survival', 'Immunization, Passive', '*Immunotherapy', 'Lectins/*pharmacology', 'Leukemia, Experimental/*immunology', '*Lymphocyte Activation', 'Lymphocytes/*immunology', 'Mice', 'Mice, Inbred BALB C', '*Rauscher Virus', 'Sonication', 'Spleen/*immunology', 'Time Factors', 'Viral Plaque Assay']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",['10.1093/jnci/53.4.1165 [doi]'],ppublish,J Natl Cancer Inst. 1974 Oct;53(4):1165-8. doi: 10.1093/jnci/53.4.1165.,,,,,,,,
4427388,NLM,MEDLINE,19750125,20190511,0027-8874 (Print) 0027-8874 (Linking),53,4,1974 Oct,Extraction of gross surface antigens from AKR mouse lymphoma cells with potassium chloride.,1079-83,"['Brandchaft, P B', 'Boone, C W']","['Brandchaft PB', 'Boone CW']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Viral)', '0 (Iodine Radioisotopes)', '660YQ98I10 (Potassium Chloride)', 'SU46BAM238 (Ammonium Sulfate)']",IM,"['AKR murine leukemia virus/*immunology', 'Ammonium Sulfate', 'Animals', 'Antigen-Antibody Reactions', 'Antigens, Viral/*isolation & purification', 'Cell Line', 'Cell Membrane/*immunology', 'Chemical Precipitation', 'Chromatography, Gel', 'Iodine Radioisotopes', 'Lymphoma/*immunology', 'Male', 'Mice', 'Mice, Inbred AKR', '*Potassium Chloride']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",['10.1093/jnci/53.4.1079 [doi]'],ppublish,J Natl Cancer Inst. 1974 Oct;53(4):1079-83. doi: 10.1093/jnci/53.4.1079.,,,,,,,,
4427280,NLM,MEDLINE,19750127,20190711,0022-3549 (Print) 0022-3549 (Linking),63,9,1974 Sep,Preparation of 4-(p-(bis(2-chloroethyl)amino)phenyl)butyramides as potential antitumor agents. I.,1487-9,"['Billman, J H', 'Roehrig, G R']","['Billman JH', 'Roehrig GR']",['eng'],['Journal Article'],United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Amides)', '0 (Antineoplastic Agents)', '0 (Butyrates)', '0 (Nitrogen Mustard Compounds)']",IM,"['Amides/chemical synthesis/therapeutic use', 'Animals', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Butyrates/chemical synthesis/therapeutic use', 'Carcinoma', 'Carcinoma 256, Walker/drug therapy', 'Cell Line', 'Humans', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Mouth Neoplasms', 'Nitrogen Mustard Compounds/*chemical synthesis/therapeutic use', 'Spectrophotometry, Infrared']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']","['S0022-3549(15)41812-X [pii]', '10.1002/jps.2600630940 [doi]']",ppublish,J Pharm Sci. 1974 Sep;63(9):1487-9. doi: 10.1002/jps.2600630940.,,,,,,,,
4427279,NLM,MEDLINE,19750127,20190711,0022-3549 (Print) 0022-3549 (Linking),63,9,1974 Sep,Phosphorus-nitrogen compounds XVI: phosphoramantadine derivatives.,1480-2,"['Cates, L A', 'Gallio, R L']","['Cates LA', 'Gallio RL']",['eng'],['Journal Article'],United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Organophosphorus Compounds)', 'BF4C9Z1J53 (Amantadine)']",IM,"['Amantadine/*analogs & derivatives/chemical synthesis/therapeutic use', 'Animals', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Magnetic Resonance Spectroscopy', 'Methods', 'Organophosphorus Compounds/chemical synthesis/therapeutic use']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']","['S0022-3549(15)41834-9 [pii]', '10.1002/jps.2600630937 [doi]']",ppublish,J Pharm Sci. 1974 Sep;63(9):1480-2. doi: 10.1002/jps.2600630937.,,,,,,,,
4427148,NLM,MEDLINE,19750122,20151119,0161-5505 (Print) 0161-5505 (Linking),15,12,1974 Dec,Efficacy of skull imaging in routine bone scanning.,1185-6,"['Coleman, R E', 'Bernier, D R', 'Pasternak, S', 'Siegel, B A']","['Coleman RE', 'Bernier DR', 'Pasternak S', 'Siegel BA']",['eng'],['Journal Article'],United States,J Nucl Med,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",0217410,"['0 (Phosphates)', '7440-26-8 (Technetium)', '7440-31-5 (Tin)']",IM,"['Bone Neoplasms/*diagnosis', 'Breast Neoplasms/diagnosis', 'Female', 'Humans', 'Leukemia/diagnosis', 'Lung Neoplasms/diagnosis', 'Lymphoma/diagnosis', 'Male', 'Neoplasm Metastasis', 'Osteitis Deformans/diagnosis', 'Phosphates', 'Prostatic Neoplasms/diagnosis', '*Radionuclide Imaging', 'Skull Neoplasms/*diagnosis', 'Technetium', 'Tin']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",,ppublish,J Nucl Med. 1974 Dec;15(12):1185-6.,,,,,,,,
4427044,NLM,MEDLINE,19750203,20190919,0002-7138 (Print) 0002-7138 (Linking),13,3,1974 Summer,Childhood leukemia. The child psychiatrist as a member of the oncology team.,499-508,"['Lansky, S B']",['Lansky SB'],['eng'],['Journal Article'],United States,J Am Acad Child Psychiatry,Journal of the American Academy of Child Psychiatry,7505568,,IM,"['Attitude to Death', '*Child Psychiatry', 'Child, Preschool', 'Crisis Intervention', 'Divorce', 'Family Therapy', 'Female', 'Grief', 'Humans', 'Leukemia/*therapy', 'Male', 'Parent-Child Relations', '*Patient Care Team', 'Sibling Relations']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",['10.1016/s0002-7138(09)61354-6 [doi]'],ppublish,J Am Acad Child Psychiatry. 1974 Summer;13(3):499-508. doi: 10.1016/s0002-7138(09)61354-6.,,,,,,,,
4426982,NLM,MEDLINE,19750122,20190501,0021-9746 (Print) 0021-9746 (Linking),27,9,1974 Sep,Comparison of the diagnostic value of bone marrow biopsy and bone marrow aspiration in neoplastic disease.,738-40,"['Bearden, J D', 'Ratkin, G A', 'Coltman, C A']","['Bearden JD', 'Ratkin GA', 'Coltman CA']",['eng'],"['Comparative Study', 'Journal Article']",England,J Clin Pathol,Journal of clinical pathology,0376601,,IM,"['*Biopsy, Needle/methods', 'Bone Marrow Examination/*methods', 'Breast Neoplasms/diagnosis', 'Bronchial Neoplasms/diagnosis', 'Hodgkin Disease/diagnosis', 'Humans', 'Leukemia/diagnosis', 'Lymphoma/diagnosis', 'Melanoma/diagnosis', 'Neoplasms/*diagnosis']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",['10.1136/jcp.27.9.738 [doi]'],ppublish,J Clin Pathol. 1974 Sep;27(9):738-40. doi: 10.1136/jcp.27.9.738.,,"The Jamshidi-Swaim biopsy needle was utilized to perform 205 bone marrow biopsies, accompanied by simultaneous bone marrow aspirates, on patients with lymphoma, leukaemia, and a variety of solid tumours. There was no significant morbidity. There were 67 positive findings with biopsy and 42 with aspiration. The two techniques were complementary in Hodgkin's disease, non-Hodgkin's lymphoma, breast carcinoma, bronchogenic carcinoma, malignant melanoma, and in leukaemia. We have examined the bone marrow biopsies and aspirates with respect to the adequacy of the bone marrow biopsy specimen, the number of positive biopsies in the various categories of neoplasia, and the disparity of biopsy and aspirate, finding that 28 of the 67 positive biopsies (41.8%) had negative aspirates. These data and specimens obtained compared quite favourably with other series in which a modification of the Vim-Silverman needle was used.",PMC475459,,,,,
4426967,NLM,MEDLINE,19750122,20211203,0021-9681 (Print) 0021-9681 (Linking),27,9-10,1974 Nov,Relation of place of birth and migration in cancer mortality in the U.S.--a study of Ohio residents (1959-1967).,459-74,"['Mancuso, T F', 'Sterling, T D']","['Mancuso TF', 'Sterling TD']",['eng'],['Journal Article'],England,J Chronic Dis,Journal of chronic diseases,2985123R,,IM,"['Adult', 'Age Factors', 'Aged', 'Blacks', 'Breast Neoplasms/mortality', '*Emigration and Immigration', 'Esophageal Neoplasms/mortality', 'Female', 'Humans', 'Intestinal Neoplasms/mortality', 'Laryngeal Neoplasms/mortality', 'Leukemia/*mortality', 'Liver Neoplasms/mortality', 'Lung Neoplasms/mortality', 'Lymphoma/mortality', 'Male', 'Middle Aged', 'Neoplasms/*mortality', 'Ohio', 'Pancreatic Neoplasms/mortality', 'Racial Groups', 'Rectal Neoplasms/mortality', 'Sex Factors', 'Stomach Neoplasms/mortality', 'Urinary Bladder Neoplasms/mortality', 'Uterine Cervical Neoplasms/mortality', '*Vital Statistics', 'Whites']",1974/11/01 00:00,1974/11/01 00:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '1974/11/01 00:01 [medline]', '1974/11/01 00:00 [entrez]']",['10.1016/0021-9681(74)90039-3 [doi]'],ppublish,J Chronic Dis. 1974 Nov;27(9-10):459-74. doi: 10.1016/0021-9681(74)90039-3.,,,,,,,,
4426641,NLM,MEDLINE,19750122,20031114,0019-5189 (Print) 0019-5189 (Linking),12,1,1974 Jan,Humoral & cell mediated immunity to leukemia specific antigens in an inbred mouse strain showing spontaneous leukemia & mammary tumors.,12-4,"['Vissa, B', 'Gangal, S G']","['Vissa B', 'Gangal SG']",['eng'],['Journal Article'],India,Indian J Exp Biol,Indian journal of experimental biology,0233411,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)']",IM,"['Animals', '*Antibodies, Neoplasm', '*Antigens, Neoplasm', 'Cytotoxicity Tests, Immunologic', '*Immunity, Cellular', 'Leukemia/*immunology', 'Mammary Neoplasms, Experimental/*immunology', 'Mice', 'Mice, Inbred Strains']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",,ppublish,Indian J Exp Biol. 1974 Jan;12(1):12-4.,,,,,,,,
4426479,NLM,MEDLINE,19750201,20191210,0016-450X (Print) 0016-450X (Linking),65,4,1974 Aug,Ultrastructural changes induced by carbazilquinone in L-1210 lymphocytic leukemia cells in mice.,351-8,"['Fukuda, K', 'Arakawa, M', 'Shindo, H']","['Fukuda K', 'Arakawa M', 'Shindo H']",['eng'],['Journal Article'],Japan,Gan,Gan,0151745,"['0 (Alkylating Agents)', '0 (Antineoplastic Agents)']",IM,"['Alkylating Agents/*pharmacology', 'Animals', 'Antineoplastic Agents/*pharmacology', 'Injections, Intravenous', 'L Cells/*drug effects', 'Leukemia, Lymphoid/*pathology', 'Liver/*pathology/ultrastructure', 'Male', 'Mice', 'Neoplasm Transplantation', 'Spleen/pathology/ultrastructure']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",,ppublish,Gan. 1974 Aug;65(4):351-8.,,,,,,,,
