PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,EIN,RF,PMC,CIN,TT,SI,GS,CON,OID,OTO,OT,GN,PS,FPS
2122593,NLM,MEDLINE,19901203,20151119,0507-3758 (Print) 0507-3758 (Linking),36,9,1990,[Enzymatic markers in chronic myeloleukemia and their importance for identifying a blast crisis].,1053-8,"The paper summarizes data on the activity of adenosine deaminase and purine nucleoside phosphorylase which contribute to purine nucleotide degradation. The enzyme activity was studied in leukocytes of varying degree of differentiation obtained from 29 cases with chronic phase of chronic myeloid leukemia (CML), 19 patients with acute phase of the disease and from blasts of 32 cases with CML-associated blast crisis. In CML patients, lymphocytes of leukemic clones showed various levels of activity of the enzymes. Myeloid and lymphoid blast crises proved biochemically heterogeneous. The possibility to establish the nature of blast crisis in CML on the basis of profile of adenosine deaminase and purine nucleoside phosphorylase in blasts is discussed.","['Filanovskaia, L I', 'Togo, A V', 'Shcherbakova, E G', 'Rogaleva, E Iu', 'Blinov, M N']","['Filanovskaia LI', 'Togo AV', 'Shcherbakova EG', 'Rogaleva EIu', 'Blinov MN']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,"['0 (Biomarkers)', 'EC 2.4.2.1 (Purine-Nucleoside Phosphorylase)', 'EC 3.5.4.4 (Adenosine Deaminase)']",IM,"['Adenosine Deaminase/*blood', 'Biomarkers/blood', 'Blast Crisis/*diagnosis', 'Blood Donors', '*Clinical Enzyme Tests', 'Granulocytes/enzymology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*pathology', 'Leukocytes/enzymology', 'Purine-Nucleoside Phosphorylase/*blood']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1990;36(9):1053-8.,,,,,,Enzimaticheskie markery pri khronicheskom mieloleikoze i ikh znachenie dlia identifikatsii blastnogo kriza.,,,,,,,,,
2122229,NLM,MEDLINE,19901204,20131121,0026-895X (Print) 0026-895X (Linking),38,4,1990 Oct,Regulation of jun-B gene expression by 1-beta-D-arabinofuranosyl-cytosine in human myeloid leukemia cells.,435-9,"The jun-B gene is a member of the jun family of immediate early response genes that regulate cellular responses to growth factors. The present studies have examined the effects of 1-beta-D-arabinofuranosylcytosine (ara-C) on jun-B expression in human KG-1 myeloid leukemia cells. The results demonstrate that ara-C increases jun-B mRNA levels. The level of jun-B transcripts was maximal after 12 hr of exposure to 10(-5) M ara-C and persisted through 72 hr. Nuclear run-on assays demonstrated that ara-C treatment is associated with an increased rate of jun-B gene transcription. The results also demonstrate that ara-C-induced jun-B mRNA levels are regulated by a posttranscriptional mechanism. The level of jun-B transcripts in ara-C-treated cells was superinduced by inhibition of protein synthesis. Moreover, cycloheximide prolonged the half-life of ara-C-induced jun-B transcripts. These results, thus, demonstrate that ara-C induces expression of the jun-B gene in KG-1 cells and that this effect is mediated by transcriptional and posttranscriptional mechanisms.","['Datta, R', 'Kharbanda, S', 'Kufe, D']","['Datta R', 'Kharbanda S', 'Kufe D']","['Laboratory of Clinical Pharmacology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, Massachusetts 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Oncogene Protein p65(gag-jun))', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-fos)', '0 (Retroviridae Proteins, Oncogenic)', '04079A1RDZ (Cytarabine)', '98600C0908 (Cycloheximide)']",IM,"['Cycloheximide/pharmacology', 'Cytarabine/*pharmacology', 'Gene Expression Regulation, Neoplastic/*drug effects', 'Humans', 'Leukemia, Myeloid/*genetics', 'Oncogene Protein p65(gag-jun)', '*Oncogenes', 'Proto-Oncogene Proteins/genetics', 'Proto-Oncogene Proteins c-fos', 'Retroviridae Proteins, Oncogenic/*genetics', 'Transcription, Genetic/drug effects', 'Tumor Cells, Cultured']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",,ppublish,Mol Pharmacol. 1990 Oct;38(4):435-9.,['CA29431/CA/NCI NIH HHS/United States'],,,,,,,['jun-B'],,,,,,,
2122051,NLM,MEDLINE,19901210,20190817,0021-5287 (Print) 0021-5287 (Linking),81,8,1990 Aug,[The influence of chemotherapy on testicular function of boys with acute lymphoblastic leukemia].,1168-74,"In order to investigate gonadal development of boys after chemotherapy, testicular biopsy specimens, which were obtained from 16 boys within 6 months after completion of the therapy for acute lymphoblastic leukemia, were assessed and their gonadal function was examined. More than half of them showed a decrease of Mean Tubular Diameter and Johnsen's Score Count, but no specimen showed a decrease of Tubular Fertility Index. Seventeen healed patients consisting of 12 biopsied and 5 non-biopsied cases were examined as to the volume of testis, development of the genital organ, skeletal age, plasma LH, FSH, testosterone, LH-RH test and HCG test. The period of follow-up after completion of chemotherapy varied from 1 month to 5 years. All patients showed testis volume, development of external genitalia and skeletal age suitable for their age. Some patients who were examined within 2 years after completion of chemotherapy, showed abnormal endocrine functions, but other patients examined after more than two years showed normal endocrine functions except a case who received testicular irradiation. Semen analysis in one case revealed density and motility within normal range. These data indicate that chemotherapy of acute lymphoblastic leukemia in boys damages testicular function, but more than 2 years later the spermatogenesis as well as endocrine function is expected to recover gradually.","['Ishii, H']",['Ishii H'],"['Department of Urology, School of Medicine, Chiba University.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Hinyokika Gakkai Zasshi,Nihon Hinyokika Gakkai zasshi. The japanese journal of urology,2984841R,"['3XMK78S47O (Testosterone)', '9002-67-9 (Luteinizing Hormone)', '9002-68-0 (Follicle Stimulating Hormone)']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*pharmacology', 'Child', 'Child, Preschool', 'Follicle Stimulating Hormone/blood', 'Humans', 'Luteinizing Hormone/blood', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/physiopathology', 'Sperm Count/drug effects', 'Sperm Motility/drug effects', 'Testis/*drug effects', 'Testosterone/blood', 'Time Factors']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",['10.5980/jpnjurol1989.81.1168 [doi]'],ppublish,Nihon Hinyokika Gakkai Zasshi. 1990 Aug;81(8):1168-74. doi: 10.5980/jpnjurol1989.81.1168.,,,,,,,,,,,,,,,
2121942,NLM,MEDLINE,19901213,20201126,1011-1344 (Print) 1011-1344 (Linking),6,1-2,1990 Jun,Sites of photosensitization by protoporphyrin and tin protoporphyrin in leukemia L1210 cells.,87-92,"Studies with protoporphyrin (PP) and tin protoporphyrin (SnPP) were carried out to assess the effects of tin insertion on the sites of dye localization. Fluorescence emission spectra and studies on the sites of photodamage were consistent with a concentration of PP at membrane loci. In contrast, SnPP photodamage involved an intracellular site.","['Kessel, D', 'Schulz, V']","['Kessel D', 'Schulz V']","['Department of Pharmacology, Wayne State University School of Medicine, Detroit, MI 48201.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,J Photochem Photobiol B,"Journal of photochemistry and photobiology. B, Biology",8804966,"['0 (Metalloporphyrins)', '0 (Protoporphyrins)', '0 (Radiation-Sensitizing Agents)', 'DIO3JT9G2P (tin protoporphyrin IX)']",IM,"['Animals', 'Biological Transport', 'Cell Survival/drug effects', '*DNA Damage', 'DNA Replication/drug effects', 'Darkness', 'Leukemia L1210/*metabolism', 'Light', 'Metalloporphyrins/metabolism/*pharmacology', 'Mice', 'Protoporphyrins/metabolism/*pharmacology', 'Radiation-Sensitizing Agents/*pharmacology', 'Spectrometry, Fluorescence', 'Tumor Cells, Cultured/cytology/*drug effects/radiation effects']",1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']","['1011-1344(90)85077-A [pii]', '10.1016/1011-1344(90)85077-a [doi]']",ppublish,J Photochem Photobiol B. 1990 Jun;6(1-2):87-92. doi: 10.1016/1011-1344(90)85077-a.,['CA 23378/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
2121911,NLM,MEDLINE,19901226,20170210,0732-183X (Print) 0732-183X (Linking),8,12,1990 Dec,Effects of radiation on testicular function in long-term survivors of childhood acute lymphoblastic leukemia: a report from the Children Cancer Study Group.,1981-7,"Testicular function was evaluated in 60 long-term survivors of childhood acute lymphoblastic leukemia (ALL). All the patients were treated on two consecutive Children Cancer Study Group protocols and received identical chemotherapy and either 18 or 24 Gy radiation therapy (RT) to one of the following fields: craniospinal plus 12 Gy abdominal RT including the gonads (group 1); craniospinal (group 2); or cranial (group 3). The median age at the time of their last evaluation was 14.5 years (range, 10.5 to 25.7), which took place a median of 5.0 years (range, 1 to 10.3) after discontinuing therapy. The incidence of primary germ cell dysfunction as judged by raised levels of follicle-stimulating hormone (FSH) and/or reduced testicular volume was significantly associated with field of RT; 55% of group 1, 17% of group 2, and 0% of group 3 were abnormal (P = .002). Leydig cell function, as assessed by plasma concentrations of luteinizing hormone (LH) and testosterone, and pubertal development, was unaffected in the majority of subjects regardless of RT field. These data indicate that in boys undergoing therapy for ALL, germ cell dysfunction is common following testicular irradiation and can occur following exposure to scattered irradiation from craniospinal RT. In contrast, Leydig cell function appears resistant to direct irradiation with doses as high as 12 Gy.","['Sklar, C A', 'Robison, L L', 'Nesbit, M E', 'Sather, H N', 'Meadows, A T', 'Ortega, J A', 'Kim, T H', 'Hammond, G D']","['Sklar CA', 'Robison LL', 'Nesbit ME', 'Sather HN', 'Meadows AT', 'Ortega JA', 'Kim TH', 'Hammond GD']","['Division of Pediatric Endocrinology, New York University, New York.']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['9002-67-9 (Luteinizing Hormone)', '9002-68-0 (Follicle Stimulating Hormone)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Follicle Stimulating Hormone/*blood', 'Humans', 'Infant', 'Luteinizing Hormone/*blood', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/drug therapy/*radiotherapy', 'Puberty/blood', 'Sexual Maturation/*radiation effects', 'Testis/*radiation effects']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",['10.1200/JCO.1990.8.12.1981 [doi]'],ppublish,J Clin Oncol. 1990 Dec;8(12):1981-7. doi: 10.1200/JCO.1990.8.12.1981.,,,,,,,,,,,,,,,
2121856,NLM,MEDLINE,19901205,20190820,0387-5911 (Print) 0387-5911 (Linking),64,7,1990 Jul,[The antitumor activity of Lactobacillus casei--the direct effects of L. casei to human tumor cell lines].,781-6,"The effects of somatic components of Lactobacillus casei (L. casei) were studied on cell growth in vitro. L. casei was able to suppress the growth of MT-2, MT-4 cells from adult T-cell leukemia, Molt-4 cells from acute lymphoblastic leukemia and U-937 cells from promonocytic leukemia. This effect was obviously different from the cytotoxicity of Vinbrastin, an anti-cancer drug. Flow cytometric experiments employing BrdU-anti BrdU antibody demonstrated an increase of cells in G1 + G0 phases (pre-DNA synthesis phases) by the treatment of L. casei, therefore L. casei maybe acts as a low grade inhibitor of the protein synthesis. PC-treated L. casei had no more inhibition on cell growth than the non-treated one.","['Katayama, Y']",['Katayama Y'],"['Department of Microbiology, Osaka Medical College.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Kansenshogaku Zasshi,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,0236671,,IM,"['Cell Cycle', 'Humans', 'Lactobacillus casei/*physiology', 'Leukemia/*pathology', 'Tumor Cells, Cultured/microbiology/pathology']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",['10.11150/kansenshogakuzasshi1970.64.781 [doi]'],ppublish,Kansenshogaku Zasshi. 1990 Jul;64(7):781-6. doi: 10.11150/kansenshogakuzasshi1970.64.781.,,,,,,,,,,,,,,,
2121824,NLM,MEDLINE,19901212,20061115,0022-1767 (Print) 0022-1767 (Linking),145,10,1990 Nov 15,IL-6 is produced by osteoblasts and induces bone resorption.,3297-303,"To examine the possible involvement of IL-6 in bone metabolism, a mouse osteoblastic cell line (MC3T3-E1) and primary osteoblast-like cells from fetal mouse calvaria were cultured with several systemic and local bone-resorbing agents and their expression of IL-6 mRNA was determined. Local bone-resorbing agents such as IL-1 alpha, IL-1 beta, TNF-alpha, and LPS greatly induced IL-6 mRNA expression in both MC3T3-E1 cells and primary osteoblast-like cells. Parathyroid hormone slightly increased expression of IL-6 mRNA in primary osteoblast-like cells but not in MC3T3-E1 cells. Neither IL-6 nor 1 alpha,25-dihydroxyvitamin D3 increased expression of IL-6 mRNA in either of the osteoblast-like cells. In agreement with the expression of IL-6 mRNA, biologically active IL-6 was produced in response to the treatment with IL-1 alpha, TNF-alpha, and LPS in MC3T3-E1 cells. Adding IL-6 dose dependently stimulated the release of 45Ca from prelabeled fetal mouse calvaria. Simultaneously adding suboptimal concentrations of IL-6 and IL-1 alpha induced bone resorption cooperatively. In accord with the increase in the release of 45Ca by IL-6, there were three times as many osteoclasts in the bone sections of calvaria cultured with IL-6 for 5 days as in the controls. IL-6 slightly suppressed alkaline phosphatase activity and collagen synthesis in MC3T3-E1 cells. These results indicate that IL-6 is also produced by osteoblasts, preferentially in response to local bone-resorbing agents, and it induces bone resorption both alone and in concert with other bone-resorbing agents.","['Ishimi, Y', 'Miyaura, C', 'Jin, C H', 'Akatsu, T', 'Abe, E', 'Nakamura, Y', 'Yamaguchi, A', 'Yoshiki, S', 'Matsuda, T', 'Hirano, T']","['Ishimi Y', 'Miyaura C', 'Jin CH', 'Akatsu T', 'Abe E', 'Nakamura Y', 'Yamaguchi A', 'Yoshiki S', 'Matsuda T', 'Hirano T', 'et al.']","['Department of Biochemistry, School of Dentistry, Showa University, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Growth Inhibitors)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (RNA, Messenger)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '0 (monocyte-macrophage differentiation factor)', '9007-34-5 (Collagen)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/analysis', 'Animals', 'Bone Resorption/*chemically induced', 'Cells, Cultured', 'Collagen/biosynthesis', 'Female', '*Growth Inhibitors', 'Interleukin-1/pharmacology', 'Interleukin-6/*biosynthesis/genetics/pharmacology', 'Leukemia Inhibitory Factor', 'Lymphokines/pharmacology', 'Mice', 'Osteoblasts/*metabolism', 'Pregnancy', 'RNA, Messenger/analysis', 'Recombinant Proteins/pharmacology', 'Tumor Necrosis Factor-alpha/pharmacology']",1990/11/15 00:00,1990/11/15 00:01,['1990/11/15 00:00'],"['1990/11/15 00:00 [pubmed]', '1990/11/15 00:01 [medline]', '1990/11/15 00:00 [entrez]']",,ppublish,J Immunol. 1990 Nov 15;145(10):3297-303.,,,,,,,,,,,,,,,
2121804,NLM,MEDLINE,19901204,20190709,0190-9622 (Print) 0190-9622 (Linking),23,4 Pt 1,1990 Oct,Simultaneous occurrence of cutaneous T cell lymphoma and low-grade B cell lymphoproliferative diseases. A report of two cases.,677-81,"Two previously unreported patients with cutaneous T cell lymphoma associated with systemic low-grade B cell proliferations are presented. The first patient had Waldenstrom's macroglobulinemia and the second had simultaneous chronic lymphocytic leukemia. The use of immunosuppressive drugs or a genetic predisposition may have contributed to the second malignancy. However, the possibility that malignant helper/inducer T lymphocytes were a factor in the promotion of the proliferation of B cells cannot be excluded.","['Allue, L', 'Domingo, A', 'Moreno, A', 'Crespo, N', 'Marcoval, J', 'Peyri, J']","['Allue L', 'Domingo A', 'Moreno A', 'Crespo N', 'Marcoval J', 'Peyri J']","['Department of Dermatology, Hospital de Bellvitge, Barcelona, Spain.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,,IM,"['Aged', 'Aged, 80 and over', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications', 'Lymphoma, T-Cell, Cutaneous/*complications', 'Waldenstrom Macroglobulinemia/*complications']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']","['0190-9622(90)70272-J [pii]', '10.1016/0190-9622(90)70272-j [doi]']",ppublish,J Am Acad Dermatol. 1990 Oct;23(4 Pt 1):677-81. doi: 10.1016/0190-9622(90)70272-j.,,,,,,,,,,,,,,,
2121691,NLM,MEDLINE,19901213,20190510,0910-5050 (Print) 0910-5050 (Linking),81,9,1990 Sep,Interleukin-2 receptor beta-chain (p70-75) expressed on leukemic cells from adult T cell leukemia patients.,902-8,"To determine whether the interleukin-2 receptor (IL-2R) beta-chain (p70-75) is expressed on leukemic cells from patients with adult T cell leukemia (ATL) as well as alpha-chain (p55, Tac), we performed radiolabeled interleukin-2 (IL-2) binding assay, chemical crosslinking of radiolabeled IL-2 and flow cytometric analysis using a newly-developed anti-IL-2R beta-chain antibody. The results showed that leukemic cells from all the 12 ATL patients we examined expressed the IL-2R beta-chain together with the alpha-chain whereas there was no detectable beta-chain expression on unstimulated peripheral blood CD4(+) T cells from healthy volunteers. Southern blot analysis revealed that this abnormal expression was not caused by the structural change of IL-2R beta-chain gene. Though leukemic cells from all ATL patients examined expressed high-affinity IL-2Rs, leukemic cells from only 25% of all ATL patients proliferated in response to IL-2. These results showing abnormal expression of IL-2R beta-chain on leukemic cells from ATL patients (ATL cells) suggest a close association between HTLV-I infection and abnormal beta-chain expression as well as alpha-chain expression.","['Kodaka, T', 'Uchiyama, T', 'Ishikawa, T', 'Kamio, M', 'Onishi, R', 'Itoh, K', 'Hori, T', 'Uchino, H', 'Tsudo, M', 'Araki, K']","['Kodaka T', 'Uchiyama T', 'Ishikawa T', 'Kamio M', 'Onishi R', 'Itoh K', 'Hori T', 'Uchino H', 'Tsudo M', 'Araki K']","['First Division of Internal Medicine, Faculty of Medicine, Kyoto University.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD4 Antigens)', '0 (CD8 Antigens)', '0 (Cross-Linking Reagents)', '0 (Interleukin-2)', '0 (Receptors, Interleukin-2)']",IM,"['Aged', 'Antigens, Differentiation, T-Lymphocyte/analysis', 'Blotting, Southern', 'CD4 Antigens/analysis', 'CD8 Antigens', 'Cell Division', 'Cross-Linking Reagents', 'Female', 'Flow Cytometry', 'Humans', 'Interleukin-2/metabolism', 'Leukemia, T-Cell/*metabolism', 'Male', 'Middle Aged', 'Receptors, Interleukin-2/genetics/*metabolism']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",['10.1111/j.1349-7006.1990.tb02665.x [doi]'],ppublish,Jpn J Cancer Res. 1990 Sep;81(9):902-8. doi: 10.1111/j.1349-7006.1990.tb02665.x.,,,,PMC5918106,,,,,,,,,,,
2121689,NLM,MEDLINE,19901213,20190510,0910-5050 (Print) 0910-5050 (Linking),81,9,1990 Sep,Survey of anti-human T-cell leukemia virus type I antibody in family members of patients with adult T-cell leukemia.,884-9,"To evaluate the intrafamilial clustering of HTLV-I, we examined the sera or plasma of 296 healthy family members of patients with adult T-cell leukemia (ATL) for anti-HTLV-I antibodies. Of 296 subjects, 132 (44.6%) had anti-HTLV-I antibodies. Fifty-nine (41.0%) out of 144 males and 73 (48.0%) out of 152 females were seropositive. The positive rates of antibody to HTLV-I increased with age, especially between the 30-39 and the 40-49 age groups. Five out of 6 fathers, 3 out of 4 mothers, 31 (60.8%) out of 51 spouses, 40 (63.5%) out of 63 siblings and 46 (33.8%) out of 136 children of patients with ATL had anti-HTLV-I antibodies. Of 74 children with an ATL father, 14 (18.9%) were seropositive, while 32 (51.6%) out of 63 children with an ATL mother were seropositive. This difference was statistically significant (P less than 0.001). Of those children with an ATL father, 12 (26.1%) out of 46 whose mothers were HTLV-I carriers had antibodies to HTLV-I. In contrast, none of the 13 children whose mothers were not carriers were seropositive. These results supported the hypothesis that the mother-to-child transmission is one of the most important modes of HTLV-I transmission. In wives of male patients with ATL, the positive rate of antibody to HTLV-I was 65.6% (21/32), and in husbands of female patients, it was 52.6% (10/19). The high positive rate of antibody to HTLV-I not only in wives of male patients but also in husbands of female patients suggests that either HTLV-I is more frequently transmitted from wives to their husbands than we had originally expected, or that ATL may develop even in wives who acquire HTLV-I from their husbands after marriage.","['Momita, S', 'Ikeda, S', 'Amagasaki, T', 'Soda, H', 'Yamada, Y', 'Kamihira, S', 'Tomonaga, M', 'Kinoshita, K', 'Ichimaru, M']","['Momita S', 'Ikeda S', 'Amagasaki T', 'Soda H', 'Yamada Y', 'Kamihira S', 'Tomonaga M', 'Kinoshita K', 'Ichimaru M']","['Department of Hematology, Nagasaki University School of Medicine.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,['0 (HTLV-I Antibodies)'],IM,"['Adult', 'Age Factors', 'Aged', 'Family', 'Female', 'HTLV-I Antibodies/*immunology', 'Human T-lymphotropic virus 1/*immunology', 'Humans', 'Leukemia, T-Cell/epidemiology/immunology/*microbiology', 'Male', 'Middle Aged', 'Pedigree', 'Sex Factors']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",['10.1111/j.1349-7006.1990.tb02662.x [doi]'],ppublish,Jpn J Cancer Res. 1990 Sep;81(9):884-9. doi: 10.1111/j.1349-7006.1990.tb02662.x.,,,,PMC5918107,,,,,,,,,,,
2121676,NLM,MEDLINE,19901227,20190510,0910-5050 (Print) 0910-5050 (Linking),81,10,1990 Oct,The in vivo anti-tumor effect of human recombinant interleukin-6.,1032-8,"Administration of recombinant interleukin-6 (IL-6) was found to induce in vivo generation of cytotoxic T lymphocytes (CTL) against syngeneic transplantable erythroleukemia (FBL-3) in lymph node cells and peritoneal exudate cells (PEC) in C57BL/6 mice. Furthermore, 15 out of 16 C57BL/6 mice injected with 5 x 10(6) viable FBL-3 cells survived on day 100 when they were treated with 5 x 10(4) U of recombinant IL-6 three times a day on days 1, 2, 3, 5, 7 and 9 after the inoculation of tumor cells (the cure rate was 94%). Cured mice could reject the tumor cells rapidly after the re-inoculation of a large number of live FBL-3 cells. In contrast, all normal mice died of tumor development by day 10. In these cured mice, FBL-3-specific CD4-8+ CTL cells were found to be generated in PEC, spleen and lymph node cells by either in vivo or in vitro re-stimulation with FBL-3 cells, but lymphokine-activated killer cells never developed. The results suggested that the anti-tumor effect of IL-6 was mediated by in vivo induction of tumor-specific CTL.","['Kitahara, M', 'Kishimoto, S', 'Hirano, T', 'Kishimoto, T', 'Okada, M']","['Kitahara M', 'Kishimoto S', 'Hirano T', 'Kishimoto T', 'Okada M']","['Department of Medicine, Osaka University Hospital.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antineoplastic Agents)', '0 (Interleukin-6)', '0 (Recombinant Proteins)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Cytotoxicity, Immunologic/immunology', 'Injections, Intraperitoneal', 'Interleukin-6/administration & dosage/*pharmacology', 'Leukemia, Erythroblastic, Acute/drug therapy/immunology', 'Lymphocyte Activation/drug effects', 'Mice', 'Neoplasm Transplantation', 'Recombinant Proteins/administration & dosage/pharmacology', 'T-Lymphocytes, Cytotoxic/drug effects/immunology']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",['10.1111/j.1349-7006.1990.tb03342.x [doi]'],ppublish,Jpn J Cancer Res. 1990 Oct;81(10):1032-8. doi: 10.1111/j.1349-7006.1990.tb03342.x.,,,,PMC5917969,,,,,,,,,,,
2121532,NLM,MEDLINE,19901204,20190620,0014-5793 (Print) 0014-5793 (Linking),271,1-2,1990 Oct 1,CTP-dependent endogenous ADP-ribosylation of a 38 kDa protein in HL-60 cell membranes.,211-4,"Incubation of membranes of human promyelocytic leukemia HL-60 cells with [32P]NAD led to ADP-ribosylation of several proteins including a 38 kDa protein by endogenous ADP-ribosyltransferases. The ADP-ribosylation of the 38 kDa protein was distinctly different from others on the basis of pH dependency and heat stability at 50 degrees C, suggesting that there are at least two endogenous ADP-ribosyltransferases. It was enhanced by CTP, but not affected by ATP, GTP and UTP, whereas it was inhibited by GTP gamma S. [alpha-32P]CTP bound to the 38 kDa protein immobilized on a nitrocellulose sheet, indicating that the 38 kDa protein which bound CTP is strongly ADP-ribosylated by an endogenous ADP-ribosyltransferase.","['Morinaga, N', 'Noda, M', 'Kato, I']","['Morinaga N', 'Noda M', 'Kato I']","['Second Department of Microbiology, School of Medicine, Chiba University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,"['65-47-4 (Cytidine Triphosphate)', 'EC 2.4.2.30 (Poly(ADP-ribose) Polymerases)']",IM,"['Cell Membrane/drug effects/enzymology', 'Cells, Cultured', 'Cytidine Triphosphate/*pharmacology', 'Enzyme Stability', 'Hot Temperature', 'Humans', 'Hydrogen-Ion Concentration', 'Poly(ADP-ribose) Polymerases/chemistry/*metabolism']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']","['0014-5793(90)80408-B [pii]', '10.1016/0014-5793(90)80408-b [doi]']",ppublish,FEBS Lett. 1990 Oct 1;271(1-2):211-4. doi: 10.1016/0014-5793(90)80408-b.,,,,,,,,,,,,,,,
