PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RF,PMC,COIS,GR,MID,CI,CON,CN,CIN,EIN,OTO,OT,PS,FPS,SI,OID,LID,RPF
17917968,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,Quantitative expression analysis in peripheral blood of patients with chronic myeloid leukaemia: correlation between HMGA2 expression and white blood cell count.,2008-13,"The architectural transcription factor HMGA2 is highly expressed during embryogenesis but scarcely detectable in non-dividing adult cells. Previously, HMGA2 re-expression was detected in blood from CML patients by conventional RT-PCR, while blood samples from healthy volunteers were HMGA2 negative. Using the sensitive method of real-time quantitative RT-PCR, herein HMGA2 expression was detectable not only in peripheral blood from leukaemia patients but also in blood from healthy donors. Statistical analysis revealed a highly significant correlation between white blood cell count and HMGA2 transcript levels. The results indicate that up-regulation of HMGA2 expression is correlated to the undifferentiated phenotype of leukaemic cells accumulating during progression of chronic phase to blast crisis.","['Meyer, B', 'Krisponeit, D', 'Junghanss, C', 'Murua Escobar, H', 'Bullerdiek, J']","['Meyer B', 'Krisponeit D', 'Junghanss C', 'Murua Escobar H', 'Bullerdiek J']","['Centre for Human Genetics, University of Bremen, Bremen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (HMGA2 Protein)'],IM,"['Adult', 'Aged', 'Blast Crisis', 'Disease Progression', '*Gene Expression Regulation, Leukemic', 'HMGA2 Protein/*biosynthesis', 'Humans', 'Leukemia/*genetics/metabolism', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood/*metabolism', 'Leukocyte Count', 'Middle Aged', 'Models, Statistical', 'Reverse Transcriptase Polymerase Chain Reaction', 'Treatment Outcome', 'Up-Regulation']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782746412 [pii]', '10.1080/10428190701559116 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):2008-13. doi: 10.1080/10428190701559116.,,,,,,,,,,['Leuk Lymphoma. 2007 Oct;48(10):1898-9. PMID: 17917958'],,,,,,,,,
17917967,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,Myeloid leukemias express a broad spectrum of VEGF receptors including neuropilin-1 (NRP-1) and NRP-2.,1997-2007,"Vascular endothelial growth factor (VEGF) is produced in neoplastic cells in various myeloid neoplasms and may act as an autocrine growth-regulator. We have examined the expression of five VEGF receptors (VEGR1/Flt-1, VEGFR2/KDR, Flt-4, neuropilin-1 = NRP-1, NRP-2) in leukemic cells obtained from patients with acute myeloid leukemia (n = 28), chronic myeloid leukemia (n = 14), chronic eosinophilic leukemia (n = 3), chronic myelomonocytic leukemia (n = 9), or mast cell leukemia/systemic mastocytosis (n = 3) as well as in respective cell lines. Expression of VEGFR mRNA was analyzed by RT-PCR, and expression of VEGFR protein by immunocytochemistry. In most patients, leukemic cells expressed NRP-1 mRNA and NRP-2 mRNA independent of the type of disease. By contrast, transcripts for Flt-1, KDR, and Flt-4 were expressed variably without a clear correlation to the type of leukemia. Expression of VEGF receptors was also demonstrable at the protein level in all cases tested. In conclusion, neoplastic cells in myeloid leukemias frequently express VEGFR including NRP-1 and NRP-2.","['Vales, Anja', 'Kondo, Rudin', 'Aichberger, Karl J', 'Mayerhofer, Matthias', 'Kainz, Birgit', 'Sperr, Wolfgang R', 'Sillaber, Christian', 'Jager, Ulrich', 'Valent, Peter']","['Vales A', 'Kondo R', 'Aichberger KJ', 'Mayerhofer M', 'Kainz B', 'Sperr WR', 'Sillaber C', 'Jager U', 'Valent P']","['Department of Internal Medicine I, Division of Hematology and Hemostaseology, Medical University of Vienna, Vienna, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Neuropilin-2)', '0 (RNA, Messenger)', '144713-63-3 (Neuropilin-1)', 'EC 2.7.10.1 (Receptors, Vascular Endothelial Growth Factor)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Cell Line, Tumor', 'Female', 'Gene Expression Profiling', '*Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Myeloid/*genetics/*metabolism', 'Male', 'Middle Aged', '*Neovascularization, Pathologic', 'Neuropilin-1/*biosynthesis', 'Neuropilin-2/*biosynthesis', 'RNA, Messenger/metabolism', 'Receptors, Vascular Endothelial Growth Factor/*biosynthesis']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782741657 [pii]', '10.1080/10428190701534424 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):1997-2007. doi: 10.1080/10428190701534424.,,,,,,,,,,,,,,,,,,,
17917966,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,Clinical outcome of incidental pelvic node malignant B-cell lymphomas discovered at the time of radical prostatectomy.,1976-80,"Incidental pelvic node malignant B-cell lymphomas diagnosed at the time of radical prostatectomy are rare. Their clinical outcome has not been studied. We studied thirteen such cases with long-term clinical follow-up. Patients were followed between 9 and 94 months after surgery. Of 13 cases, 9 were chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL), 3 marginal zone B-cell lymphoma (MZL) and 1 mantle cell lymphoma (MCL). All 13 patients did not receive radiation or chemotherapy; and five of 13 cases showed hematologic evidence of lymphoma progression between 1 and 5 months after radical prostatectomy. After progression, the mantle cell lymphoma patient received aggressive chemotherapy and had systemic dissemination. Two of 13 cases had recurrent prostate carcinoma. None of 13 patients had died from lymphoma or prostate carcinoma at the last follow-up. In conclusion, most incidental pelvic node lymphomas (8/13) showed no evidence of systemic dissemination to peripheral blood or bone marrow after a mean 42.8 weeks of follow-up despite the fact that no additional treatment was given. Strong consideration should be given to withholding further treatment in patients diagnosed with pelvic low-grade B-cell lymphoma at the time of radical prostatectomy until disease progression occurs.","['He, Huiying', 'Cheng, Liang', 'Weiss, Lawrence M', 'Chu, Peiguo G']","['He H', 'Cheng L', 'Weiss LM', 'Chu PG']","['Division of Pathology, City of Hope National Medical Center, Duarte, California 91010, USA.']",['eng'],['Journal Article'],,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (Antineoplastic Agents)'],IM,"['Aged', 'Antineoplastic Agents/therapeutic use', 'Disease-Free Survival', 'Follow-Up Studies', 'Humans', 'Lymphoma, B-Cell/complications/*immunology/*therapy', 'Male', 'Middle Aged', 'Models, Biological', 'Neoplasm Metastasis', 'Neoplasms, Second Primary/*therapy', 'Prognosis', 'Prostatectomy', 'Prostatic Neoplasms/complications/*surgery/*therapy', 'Time Factors', 'Treatment Outcome']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782741634 [pii]', '10.1080/10428190701584007 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):1976-80. doi: 10.1080/10428190701584007.,,,,,,,,,,,,,,,,,,,
17917962,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,"Antiangiogenic activity of thalidomide in combination with fludarabine, carboplatin, and topotecan for high-risk acute myelogenous leukemia.",1940-9,"Forty-two patients with poor prognosis AML were enrolled in a phase II study combining fludarabine, carboplatin, and topotecan (FCT) with thalidomide. Laboratory correlates included serum vascular endothelial growth factor levels (VEGF) and bone marrow microvascular density (MVD). Ten of 42 (24%) patients achieved a complete remission (CR or CRp). Serious thrombotic adverse events were observed in 5 patients suggesting that the combination of cytotoxic chemotherapy and thalidomide may be thrombogenic despite significant thrombocytopenia. VEGF did not correlate with response to therapy, while a trend towards decreased MVD was noted in patients who achieved CR. The addition of thalidomide did not significantly influence angiogenic markers. It is not clear that thalidomide adds any efficacy to the FCT regimen.","['Barr, Paul', 'Fu, Pingfu', 'Lazarus, Hillard', 'Kane, Donna', 'Meyerson, Howard', 'Hartman, Paul', 'Reyes, Rania', 'Creger, Richard', 'Stear, Karen', 'Laughlin, Mary', 'Tse, William', 'Cooper, Brenda']","['Barr P', 'Fu P', 'Lazarus H', 'Kane D', 'Meyerson H', 'Hartman P', 'Reyes R', 'Creger R', 'Stear K', 'Laughlin M', 'Tse W', 'Cooper B']","['Department of Hematology and Oncology, University Hospitals Case Medical Center, Cleveland 44106, USA.']",['eng'],"['Clinical Trial, Phase II', 'Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Angiogenesis Inhibitors)', '0 (Vascular Endothelial Growth Factor A)', '4Z8R6ORS6L (Thalidomide)', '7M7YKX2N15 (Topotecan)', 'BG3F62OND5 (Carboplatin)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Adult', 'Aged', 'Angiogenesis Inhibitors/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Carboplatin/*administration & dosage', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Neovascularization, Pathologic', 'Thalidomide/*administration & dosage', 'Thrombocytopenia/chemically induced', 'Topotecan/*administration & dosage', 'Vascular Endothelial Growth Factor A/blood', 'Vidarabine/administration & dosage/*analogs & derivatives']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782727724 [pii]', '10.1080/10428190701573208 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):1940-9. doi: 10.1080/10428190701573208.,,,,,['CA43703/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
17917961,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,The natural history of fludarabine-refractory chronic lymphocytic leukemia patients who fail alemtuzumab or have bulky lymphadenopathy.,1931-9,"The natural history and outcome of salvage treatment for patients with fludarabine-refractory chronic lymphocytic leukemia who are either refractory to alemtuzumab (""double-refractory"") or ineligible for alemtuzumab due to bulky lymphadenopathy (""bulky fludarabine-refractory"") have not been described. We present the outcomes of 99 such patients (double-refractory n = 58, bulky fludarabine-refractory n = 41) undergoing their first salvage treatment at our center. Patients received a variety of salvage regimens including monoclonal antibodies (n = 15), single-agent cytotoxic drugs (n = 14), purine analogue combination regimens (n = 21), intensive combination chemotherapy (n = 36), allogeneic stem cell transplantation (SCT; n = 4), or other therapies (n = 9). Overall response to first salvage therapy other than SCT was 23%, with no complete responses. All four patients who underwent SCT as first salvage achieved complete remission. Early death (within 8 weeks of commencing first salvage) occurred in 13% of patients, and 54% of patients experienced a major infection during therapy. Overall survival was 9 months, with hemoglobin < 11 g/dL (hazard ratio 2.3), hepatomegaly (hazard ratio 2.4), and performance status > or = 2 (hazard ratio 1.9) being significant independent predictors of inferior survival.","['Tam, Constantine S', ""O'Brien, Susan"", 'Lerner, Susan', 'Khouri, I', 'Ferrajoli, A', 'Faderl, S', 'Browning, M', 'Tsimberidou, Apostolia M', 'Kantarjian, Hagop', 'Wierda, William G']","['Tam CS', ""O'Brien S"", 'Lerner S', 'Khouri I', 'Ferrajoli A', 'Faderl S', 'Browning M', 'Tsimberidou AM', 'Kantarjian H', 'Wierda WG']","['Department of Leukemia and Stem Cell Transplantation, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030, USA.']",['eng'],['Journal Article'],,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antibodies, Neoplasm)', '0 (Antineoplastic Agents)', '3A189DH42V (Alemtuzumab)', '4F4X42SYQ6 (Rituximab)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Adult', 'Aged', 'Alemtuzumab', 'Antibodies, Monoclonal/*pharmacology/therapeutic use', 'Antibodies, Monoclonal, Humanized', 'Antibodies, Monoclonal, Murine-Derived', 'Antibodies, Neoplasm/*pharmacology', 'Antineoplastic Agents/pharmacology', '*Drug Resistance, Neoplasm', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/*pathology/therapy', 'Lymphatic Diseases/*drug therapy/pathology/therapy', 'Male', 'Middle Aged', 'Models, Biological', 'Rituximab', 'Stem Cell Transplantation/methods', 'Transplantation, Homologous', 'Treatment Outcome', 'Vidarabine/*analogs & derivatives/pharmacology']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782735244 [pii]', '10.1080/10428190701573257 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):1931-9. doi: 10.1080/10428190701573257.,,,,,,,,,,['Leuk Lymphoma. 2007 Oct;48(10):1885-7. PMID: 17917953'],,,,,,,,,
17917958,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,HMGA2 levels in CML: reflective of miRNA gene regulation in a hematopoietic tumor?,1898-9,,"['Godley, Lucy A']",['Godley LA'],"['Section of Hematology/Oncology, Department of Medicine, The University of Chicago, Chicago, IL 60637, USA. lgodley@medicine.bsd.uchicago.edu']",['eng'],"['Comment', 'Journal Article']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (HMGA2 Protein)', '0 (MicroRNAs)']",IM,"['Animals', 'Caenorhabditis elegans', 'CpG Islands', 'Gene Expression Profiling', '*Gene Expression Regulation, Neoplastic', 'Genes, Tumor Suppressor', 'HMGA2 Protein/*genetics/*physiology', 'Hematologic Neoplasms/immunology/*metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukocytes/metabolism', 'MicroRNAs/*genetics/metabolism', 'Models, Biological']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782738043 [pii]', '10.1080/10428190701644348 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):1898-9. doi: 10.1080/10428190701644348.,,,,,,,,['Leuk Lymphoma. 2007 Oct;48(10):2008-13. PMID: 17917968'],,,,,,,,,,,
17917953,NLM,MEDLINE,20071207,20190116,1042-8194 (Print) 1026-8022 (Linking),48,10,2007 Oct,Chronic lymphocytic leukaemia resistant to both fludarabine and alemtuzumab--double jeopardy.,1885-7,,"['Mulligan, Stephen P']",['Mulligan SP'],"['Department of Haematology, Royal North Shore Hospital, Sydney, NSW, Australia. mulligan@staff.edu.au']",['eng'],"['Journal Article', 'Comment']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antibodies, Neoplasm)', '3A189DH42V (Alemtuzumab)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Alemtuzumab', 'Antibodies, Monoclonal/*pharmacology/therapeutic use', 'Antibodies, Monoclonal, Humanized', 'Antibodies, Neoplasm/*pharmacology', '*Drug Resistance, Neoplasm', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/*pathology', 'Models, Biological', 'Prognosis', 'Stem Cell Transplantation/methods', 'Transplantation, Homologous', 'Treatment Outcome', 'Vidarabine/*analogs & derivatives/pharmacology']",2007/10/06 09:00,2007/12/08 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/08 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782749392 [pii]', '10.1080/10428190701599013 [doi]']",ppublish,Leuk Lymphoma. 2007 Oct;48(10):1885-7. doi: 10.1080/10428190701599013.,,,,,,,,['Leuk Lymphoma. 2007 Oct;48(10):1931-9. PMID: 17917961'],,,,,,,,,,,
17917889,NLM,MEDLINE,20080820,20080219,1477-2566 (Electronic) 1465-3249 (Linking),9,8,2007,Four cases of donor cell-derived AML following unrelated cord blood transplantation for adult patients: experiences of the Tokyo Cord Blood Bank.,727-8,,"['Nagamura-Inoue, T', 'Kodo, H', 'Takahashi, T A', 'Mugishima, H', 'Tojo, A', 'Asano, S']","['Nagamura-Inoue T', 'Kodo H', 'Takahashi TA', 'Mugishima H', 'Tojo A', 'Asano S']",,['eng'],['Letter'],20071004,England,Cytotherapy,Cytotherapy,100895309,,IM,"['Adult', 'Blood Banks', '*Blood Donors', 'Cord Blood Stem Cell Transplantation/*adverse effects', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*etiology/physiopathology', 'Male', 'Middle Aged', 'Pregnancy', 'Tokyo']",2007/10/06 09:00,2008/08/21 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2008/08/21 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782851292 [pii]', '10.1080/14653240701466339 [doi]']",ppublish,Cytotherapy. 2007;9(8):727-8. doi: 10.1080/14653240701466339. Epub 2007 Oct 4.,,,,,,,,,,,,,,,,,,,
17917882,NLM,MEDLINE,20080108,20211203,1465-3249 (Print) 1465-3249 (Linking),9,7,2007,Ethnically mismatched cord blood transplants in African Americans: the Saint Louis Cord Blood Bank experience.,660-6,"BACKGROUND: For ethnic minority patients where a suitably matched BM or peripheral blood donor is frequently unavailable, cord blood offers an opportunity for hematopoietic stem cell transplantation. Focused recruitment of ethnic minorities for cord blood donation has been proposed as the preferred strategy to improve access for minority recipients to cord blood for transplantation. The aim of this study was to evaluate cord blood characteristics for Caucasian and African American donors and the success of ethnically mismatched UC blood transplantation in African American recipients. METHODS: Retrospective data analysis was performed comparing the characteristics of 556 cord blood units from African American and Caucasian donors. The outcomes of 18 African American ethnically mismatched transplant recipients were compared with a paired sample of 18 ethnically matched Caucasian recipients. RESULTS: The fraction of collected units meeting acceptability criteria from African Americans was significantly lower compared with Caucasians (P = <0.0001). Additionally, African Americans had a significantly lower post-processing total nucleated cell count (TNC) compared with Caucasians (P=0.007) but there were no other significant differences in conventionally measured product characteristics. In the transplant analysis, there was no difference in overall survival at 1 year (P=0.85) or time to neutrophil engraftment (P=0.92) between the two patient populations. DISCUSSION: At comparable levels of TNC dose and HLA matching, the use of ethnically mismatched UC blood units as a source for allogeneic unrelated transplant can result in successful transplant outcomes for African American patients.","['Wofford, J', 'Kemp, J', 'Regan, D', 'Creer, M']","['Wofford J', 'Kemp J', 'Regan D', 'Creer M']","[""Saint Louis Cord Blood Bank at SSM Cardinal Glennon Children's Medical Center, St Louis, MO 63110, USA. jwofford@slcbb.org""]",['eng'],['Journal Article'],,England,Cytotherapy,Cytotherapy,100895309,,IM,"['*African Americans', 'Blood Banks', 'Blood Donors', 'Cord Blood Stem Cell Transplantation/*ethnology/mortality/statistics & numerical data', 'Fetal Blood/cytology', 'Graft vs Host Disease/epidemiology', 'Hematopoietic Stem Cell Transplantation/*ethnology/methods/mortality/statistics & numerical data', 'Humans', 'Infant, Newborn', 'Leukemia/therapy', 'Retrospective Studies', 'Survival Analysis', '*Whites']",2007/10/06 09:00,2008/01/09 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2008/01/09 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782862996 [pii]', '10.1080/14653240701620570 [doi]']",ppublish,Cytotherapy. 2007;9(7):660-6. doi: 10.1080/14653240701620570.,,,,,,,,,,,,,,,,,,,
17917880,NLM,MEDLINE,20111227,20201212,1477-2566 (Electronic) 1465-3249 (Linking),10,1,2008,Ab therapy of AML: native anti-CD33 Ab and drug conjugates.,7-12,"MAb have become an important treatment modality in cancer therapy.Genetically engineered chimeric and humanized Ab have demonstrated activity against a variety of tumors. While the humanized anti-CD33MAb lintuzumab has only modest single-agent activity against overt AML, it can eliminate minimal residual disease detectable by reverse transcription-PCR in acute promyelocytic leukemia. Targeted chemotherapy with the anti-CD33-calicheamicin construct gemtuzumab ozogamicin has produced remissions in patients with relapsed AML and appears promising when used in combination with standard chemotherapy in the treatment of newly diagnosed AML.","['Jurcic, J G']",['Jurcic JG'],"['Memorial Sloan-Kettering Cancer Center, Department of Medicine, New York, New York, USA. jurcicj@mskcc.org']",['eng'],"['Journal Article', 'Review']",,England,Cytotherapy,Cytotherapy,100895309,"['0 (Aminoglycosides)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antigens, CD)', '0 (Antigens, Differentiation, Myelomonocytic)', '0 (CD33 protein, human)', '0 (Sialic Acid Binding Ig-like Lectin 3)', '93NS566KF7 (Gemtuzumab)', 'V00Y10W60W (lintuzumab)']",IM,"['Aminoglycosides/administration & dosage/therapeutic use', 'Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Humanized/administration & dosage/therapeutic use', 'Antigens, CD/administration & dosage/*therapeutic use', 'Antigens, Differentiation, Myelomonocytic/administration & dosage/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Gemtuzumab', 'Humans', 'Immunotherapy/methods', 'Leukemia, Myeloid, Acute/immunology/*therapy', 'Sialic Acid Binding Ig-like Lectin 3']",2007/10/06 09:00,2011/12/28 06:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2011/12/28 06:00 [medline]', '2007/10/06 09:00 [entrez]']","['782849102 [pii]', '10.1080/14653240701519012 [doi]']",ppublish,Cytotherapy. 2008;10(1):7-12. doi: 10.1080/14653240701519012.,,,,,,,,,,,,,,,,,,,
17917878,NLM,MEDLINE,20080108,20080424,1465-3249 (Print) 1465-3249 (Linking),9,7,2007,Are UC blood transplants prone to developing leukemia?,611-2,,"['Barrett, J']",['Barrett J'],"['Hematology Branch, National Heart, Lung and Blood Institute, National Institutes of Health, Bethesda, MD 20892-2012, USA. barrettj@nih.gov']",['eng'],['Journal Article'],,England,Cytotherapy,Cytotherapy,100895309,,IM,"['Cord Blood Stem Cell Transplantation/*adverse effects/statistics & numerical data', 'Humans', 'Leukemia/*etiology']",2007/10/06 09:00,2008/01/09 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2008/01/09 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['782849723 [pii]', '10.1080/14653240701650346 [doi]']",ppublish,Cytotherapy. 2007;9(7):611-2. doi: 10.1080/14653240701650346.,,,,,,,,,,,,,,,,,,,
17917728,NLM,MEDLINE,20080411,20131121,0939-5555 (Print) 0939-5555 (Linking),87,3,2008 Mar,Absent immunoglobulins in HIV-related Burkitt lymphoma/leukaemia.,255-6,,"['Shimomura, Akihiko', 'Lilienfeld-Toal, Marie von', 'Balta, Zeynep', 'Schroers, Elisabeth', 'Schmidt-Wolf, Ingo G H', 'Buttner, Reinhard', 'Rucker, Alexander von', 'Gutgemann, Ines']","['Shimomura A', 'Lilienfeld-Toal Mv', 'Balta Z', 'Schroers E', 'Schmidt-Wolf IG', 'Buttner R', 'Rucker Av', 'Gutgemann I']",,['eng'],"['Case Reports', 'Letter']",20071005,Germany,Ann Hematol,Annals of hematology,9107334,"['0 (Immunoglobulins)', '04079A1RDZ (Cytarabine)', '7S5I7G3JQL (Dexamethasone)', '8N3DW7272P (Cyclophosphamide)', '957E6438QA (Teniposide)', '9PHQ9Y1OLM (Prednisolone)', 'UM20QQM95Y (Ifosfamide)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/administration & dosage', 'Antiretroviral Therapy, Highly Active', 'B-Lymphocytes', 'Blood Cell Count', 'Bone Marrow/metabolism/pathology', 'Burkitt Lymphoma/*blood/drug therapy/*etiology/pathology', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Dexamethasone/administration & dosage', 'HIV Infections/*blood/*complications/drug therapy/pathology', 'Humans', 'Ifosfamide/administration & dosage', 'Immunoglobulins/*blood', 'Male', 'Methotrexate/administration & dosage', 'Middle Aged', 'Prednisolone/administration & dosage', 'Teniposide/administration & dosage']",2007/10/06 09:00,2008/04/12 09:00,['2007/10/06 09:00'],"['2007/05/19 00:00 [received]', '2007/09/13 00:00 [accepted]', '2007/10/06 09:00 [pubmed]', '2008/04/12 09:00 [medline]', '2007/10/06 09:00 [entrez]']",['10.1007/s00277-007-0389-0 [doi]'],ppublish,Ann Hematol. 2008 Mar;87(3):255-6. doi: 10.1007/s00277-007-0389-0. Epub 2007 Oct 5.,,,,,,,,,,,,,,,,,,,
17917661,NLM,MEDLINE,20071227,20071005,1078-8956 (Print) 1078-8956 (Linking),13,10,2007 Oct,The phantom menace?,1146,,"['Stevens, Katherine']",['Stevens K'],,['eng'],['News'],,United States,Nat Med,Nature medicine,9502015,,IM,"['Animals', 'Histocompatibility', 'Immunocompromised Host/immunology', 'Leukemia/*etiology/pathology', 'Mice', 'Neoplastic Stem Cells/*cytology/*transplantation', '*Stem Cell Transplantation', 'Transplantation, Homologous']",2007/10/06 09:00,2007/12/28 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/28 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['nm1007-1146a [pii]', '10.1038/nm1007-1146a [doi]']",ppublish,Nat Med. 2007 Oct;13(10):1146. doi: 10.1038/nm1007-1146a.,,,,,,,,,,,,,,,,,,,
17917659,NLM,MEDLINE,20071227,20151119,1078-8956 (Print) 1078-8956 (Linking),13,10,2007 Oct,Where lies the blame for resistance--tumor or host?,1144-5,,"['Sawyers, Charles L']",['Sawyers CL'],,['eng'],['News'],,United States,Nat Med,Nature medicine,9502015,"['0 (Benzamides)', '0 (Ligands)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Receptors, Cytokine)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 3.6.5.2 (ADP-Ribosylation Factor 1)']",IM,"['ADP-Ribosylation Factor 1/genetics', 'Animals', 'Benzamides', 'Disease Models, Animal', 'Drug Resistance, Neoplasm/*drug effects', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/genetics', 'Humans', 'Imatinib Mesylate', 'Ligands', 'Mice', 'Models, Immunological', 'Neoplasms, Experimental/*immunology/*therapy', 'Piperazines/*therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Protein Kinase Inhibitors/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Receptors, Cytokine/*metabolism']",2007/10/06 09:00,2007/12/28 09:00,['2007/10/06 09:00'],"['2007/10/06 09:00 [pubmed]', '2007/12/28 09:00 [medline]', '2007/10/06 09:00 [entrez]']","['nm1007-1144 [pii]', '10.1038/nm1007-1144 [doi]']",ppublish,Nat Med. 2007 Oct;13(10):1144-5. doi: 10.1038/nm1007-1144.,,,,,,,,,,,,,,,,,,,
