PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,CIN,RF,PMC,SI,GS,CON,ROF,EIN,OID,OTO,OT,GN,EFR,OAB,OABL,CN
8207973,NLM,MEDLINE,19940713,20130304,0887-6924 (Print) 0887-6924 (Linking),8,6,1994 Jun,Detection of monosomy 7 and trisomies 8 and 11 in myelodysplastic disorders by interphase fluorescent in situ hybridization. Comparison with acute non-lymphocytic leukemias.,1005-11,"Cells from 50 patients with myelodysplastic syndrome (MDS) and 20 patients with acute non-lymphoblastic leukemia (ANLL) were studied by fluorescent in situ hybridization (FISH) using alphoid biotinylated probes to detect numerical chromosome 7, 8 and 11 aberrations in interphase nuclei. FISH data were compared with cytogenetic results. Both methods were in agreement in 25/50 MDS and 20/20 ANLL cases. Trisomy 11 was found neither by cytogenetic study nor by FISH. In 11 MDS patients the percentage of abnormal cells was higher by FISH than by classical cytogenetic analysis. FISH revealed monosomy 7 which was undetectable by karyotypic study in 5-22% cells from 15 MDS patients. It also allowed the identification of two small markers and a ring chromosome in two MDS cases. FISH hence appears to be useful for the detection of minor abnormal clones and is a convenient complement to conventional cytogenetic analysis in the study of MDS.","['Brizard, F', 'Brizard, A', 'Guilhot, F', 'Tanzer, J', 'Berger, R']","['Brizard F', 'Brizard A', 'Guilhot F', 'Tanzer J', 'Berger R']","[""Departement d'Hematologie et Oncologie Medicale, Centre Hospitalier Universitaire, Poitiers, France.""]",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Aged', 'Aged, 80 and over', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 7', '*Chromosomes, Human, Pair 8', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Interphase', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', '*Monosomy', 'Myelodysplastic Syndromes/*genetics', '*Trisomy']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Jun;8(6):1005-11.,,,,,,,,,,,,,,,,,,
8207972,NLM,PubMed-not-MEDLINE,19940713,20190225,0887-6924 (Print) 0887-6924 (Linking),8,6,1994 Jun,"Announcement communicated at the International Conference on Glycol Ethers, Nancy, France, April 19-22, 1994.",following 1094,,"['Lanotte, M', 'Boiron, O', 'Ruchaud, S']","['Lanotte M', 'Boiron O', 'Ruchaud S']",,['eng'],,['Retraction of Publication'],England,Leukemia,Leukemia,8704895,,,1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Jun;8(6):following 1094.,,,,,,,,,"['Ruchaud S, Boiron O, Cicolella A, Lanotte M. Leukemia. 1992 Apr;6(4):328-34.', 'PMID: 1588795']",,,,,,,,,
8207964,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,"Detection of bcrabl fusion mRNA in samples of whole, unfractionated blood.",465-8,"Using a new strategy, capture-RT-PCR, bcrabl fusion mRNA sequences were specifically and sensitively detected in samples of whole blood from leukemia patients with the Philadelphia chromosome. Sample processing required only mixing blood with the chaotropic salt, GuSCN, and mRNA was captured during a short incubation of prepared blood with an affinity membrane. Immobilized mRNA sequences were amplified without elution. No radioisotopes or Southern transfer were needed.","['Kolbe, T', 'Cuddy, K', 'Brodsky, I', 'Marks, D I', 'Gillespie, D']","['Kolbe T', 'Cuddy K', 'Brodsky I', 'Marks DI', 'Gillespie D']","['Department of Neoplastic Diseases, Hahnemann University, Philadelphia, PA 19102-1192.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",England,Leuk Res,Leukemia research,7706787,IM,"['Blood Specimen Collection/methods', 'Fusion Proteins, bcr-abl/*biosynthesis', 'Humans', 'Kinetics', 'Leukemia/*blood', 'Polymerase Chain Reaction/*methods', 'RNA, Messenger/*blood']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90082-5 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):465-8. doi: 10.1016/0145-2126(94)90082-5.,"['0 (RNA, Messenger)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,,,,,,
8207963,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,"1,25(OH)2-16ene-vitamin D3 is a potent antileukemic agent with low potential to cause hypercalcemia.",453-63,"Compounds that induce cancer cells to differentiate are clinically effective for several types of malignancies. The 1,25-dihydroxyvitamin D3[1,25(OH)2D3(C)] induces leukemic cells, including HL-60, to differentiate and/or no longer proliferate, but it causes hypercalcemia. Development of vitamin D analogs that are more potent in their abilities to affect leukemic cells without causing greater hypercalcemia, may be useful therapeutically. A novel analog [1,25(OH)2-16ene-D3(HM)] has a double bond between C-16 and C-17; it appears to be an extremely effective antileukemic agent with the same or fewer effects on serum calciums. We define the potency of this compound and compare it with seven, previously reported, potent analogs of 1,25(OH)2D3. HM inhibited clonal growth of HL-60 cells by 50% at 1.5 x 10(-11) M. This was about equipotent to 1,25(OH)2-16ene-23yne-D3(V), about 100-fold more potent than many of the other analogs, and 1000-fold more potent than 1,25(OH)2D3. The rank order of leukemic inhibitory activity was: 1,25(OH)2-16ene-D3(HM) > or = 1,25(OH)2- 16ene-23yne-D3(V) > 1,25(OH)2-23ene-D3(EX) = 1,24(OH)2-22ene-24-cyclopropyl-D3(BT) = 22-oxa- 1,25(OH)2D3(EU) = 1,25(OH)2-24-homo-D3(ER) > 1,25(OH)2D3(C) > 1,25(OH)2-24- dihomo-D3(ES). The rank order of their effects on induction of differentiation of HL-60 cells, as measured by superoxide production and nonspecific esterase activity, was similar to their antiproliferative activities. In contrast, each analog slightly stimulated proliferation of normal human myeloid clonal growth. Serum calcium levels were the same or slightly less when either 1,25(OH)2-16ene-D3(HM) or 1,25(OH)2D3 (0.0625, 0.125, or 0.25 microgram) was given intraperitoneally to mice for 5 weeks. HM bound to 1,25(OH)2D3 receptors about 1.5-fold more avidly than 1,25(OH)2D3. In fact, this vitamin D3 appears to be the most avid binder to 1,25(OH)2D3 receptors that has been identified to date. In contrast, HM had a greater than 50-fold lower affinity for the D-binding proteins as compared with 1,25(OH)2D3, thus increasing the availability of the compound for target tissues. Further differentiation experiments showed that HM was more potent than 1,25(OH)2D3 in the presence of serum, but was equipotent in serum-free conditions. Taken together, our experiments suggest that 1,25(OH)2-16ene-D3(HM) may be more potent than 1,25(OH)2D3(C) because of its higher affinity to the 1,25(OH)2D3 receptors and its low affinity to the D-binding protein present in serum. HM is an ideal compound for clinical studies including patients with preleukemia and other neoplasia, as well as several skin disorders, such as psoriasis.","['Jung, S J', 'Lee, Y Y', 'Pakkala, S', 'de Vos, S', 'Elstner, E', 'Norman, A W', 'Green, J', 'Uskokovic, M', 'Koeffler, H P']","['Jung SJ', 'Lee YY', 'Pakkala S', 'de Vos S', 'Elstner E', 'Norman AW', 'Green J', 'Uskokovic M', 'Koeffler HP']","[""Pusan Women's Junior College, Korea.""]",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,IM,"['Antineoplastic Agents/*toxicity', 'Calcitriol/*analogs & derivatives/metabolism/toxicity', 'Calcium/*metabolism', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Cholecalciferol/*analogs & derivatives/*toxicity', 'Dose-Response Relationship, Drug', 'Humans', 'Hypercalcemia', 'Leukemia, Promyelocytic, Acute', 'Molecular Structure', 'Structure-Activity Relationship', 'Tumor Cells, Cultured', 'Tumor Stem Cell Assay', 'Vitamin D-Binding Protein/metabolism']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90081-7 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):453-63. doi: 10.1016/0145-2126(94)90081-7.,"['0 (Antineoplastic Agents)', '0 (Vitamin D-Binding Protein)', '124409-58-1 (1,25-dihydroxy-16-ene-vitamin D3)', '1C6V77QF41 (Cholecalciferol)', 'FXC9231JVH (Calcitriol)', 'SY7Q814VUP (Calcium)']",,,,,,,,,,,,,,,,,
8207962,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,Purine metabolism in promyelocytic HL60 and dimethylsulphoxide-differentiated HL60 cells.,441-51,"Purine metabolism was studied in the human promyelocytic leukaemic cell line HL60 both before and after differentiation by dimethylsulphoxide (DMSO) treatment in vitro. DMSO-induced differentiation had no effect on the steady-state concentration of 5-phosphoribosylpyrophosphate (PRPP), even though the activity of the oxidative segment of the pentose phosphate pathway (OPP) increased two-fold and the activities of glucose-6-phosphate dehydrogenase and 6-phosphogluconate dehydrogenase were enhanced 3-6 times. [14C]-formate incorporation, on the other hand, showed that undifferentiated HL60 cells produced purines by the de novo pathway at six-fold the rate of the differentiated cells and at three times the rate measured in polymorphonuclear leukocytes (PMNs) separated from human blood. This is consistent with significantly higher activities (two to five-fold) of the key regulatory enzymes of the de novo purine synthesis pathway (PRPP synthetase, amido-phosphoribosyl transferase and adenylosuccinate synthase) in the undifferentiated cells. Labelling the cells with [14C]-hypoxanthine showed that there was an active salvage pathway in the HL60 cells which remained unaltered by differentiation. The activities of the salvage enzymes were also the same, although hypoxanthine was taken up at twice the rate by the undifferentiated cells. Human PMNs had an active salvage pathway, but their rate was five times lower than that of the HL60 cells, consistent with much lower activities (three to eight-fold) of the salvage pathway enzymes. These observations suggest that regulation of the synthesis and activities of the purine nucleotide synthesis enzymes may play an important role in the regulation of differentiation of myeloid cells.","['Ahmed, N', 'Weidemann, M J']","['Ahmed N', 'Weidemann MJ']","['Division of Biochemistry and Molecular Biology, School of Life Sciences, Australian National University, Canberra.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Cell Differentiation', 'Cell Line', 'Cytochrome c Group/metabolism', 'Dimethyl Sulfoxide/*pharmacology', 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Luminescent Measurements', 'Luminol', 'Neutrophils/*metabolism', 'Nitroblue Tetrazolium', 'Oxidation-Reduction', 'Pentose Phosphate Pathway', 'Purines/*metabolism', 'Pyrimidines/metabolism', 'Time Factors', 'Tumor Cells, Cultured']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90080-9 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):441-51. doi: 10.1016/0145-2126(94)90080-9.,"['0 (Cytochrome c Group)', '0 (Purines)', '0 (Pyrimidines)', '298-83-9 (Nitroblue Tetrazolium)', '5EXP385Q4F (Luminol)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,,,,,,,,,,,,,,
8207961,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,The natural tyrosine kinase inhibitor genistein produces cell cycle arrest and apoptosis in Jurkat T-leukemia cells.,431-9,"Genistein, a natural isoflavonoid phytoestrogen, is a strong inhibitor of protein tyrosine kinases. We analyzed the effects of genistein on in vitro growth, cell-cycle progression and chromatin structure of Jurkat cells, a T-cell leukemia line with a constitutively increased tyrosine phosphorylation pattern. Exposure of in vitro cultured Jurkat cells to genistein resulted in a dose-dependent, growth inhibition. Cell-cycle analysis of genistein-treated cells revealed a G2/M arrest at low genistein concentrations (5-10 micrograms/ml), while at higher doses (20-30 micrograms/ml) there was also a perturbation in S-phase progression. The derangements in cell-cycle control were followed by apoptotic death of genistein-treated cells. Immunocytochemical analysis of cells stained with a FITC-conjugated anti-phosphotyrosine monoclonal antibody showed that 30 micrograms/ml genistein effectively inhibit tyrosine kinase activity in cultured Jurkat cells. Our results indicate that the natural isoflavone genistein antagonizes tumor cell growth through both cell-cycle arrest and induction of apoptosis and suggest that it could be a promising new agent in cancer therapy.","['Spinozzi, F', 'Pagliacci, M C', 'Migliorati, G', 'Moraca, R', 'Grignani, F', 'Riccardi, C', 'Nicoletti, I']","['Spinozzi F', 'Pagliacci MC', 'Migliorati G', 'Moraca R', 'Grignani F', 'Riccardi C', 'Nicoletti I']","['Istituti di Medicina Interna e Scienze Oncologiche, Universita di Perugia, Italy.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Antineoplastic Agents/*toxicity', 'Apoptosis/drug effects', 'Cell Cycle/drug effects', 'Cell Division/drug effects', 'Cell Line', 'DNA, Neoplasm/analysis', 'Dose-Response Relationship, Drug', 'Genistein', 'Humans', 'Isoflavones/*toxicity', 'Kinetics', 'Leukemia, T-Cell', 'Protein-Tyrosine Kinases/*antagonists & inhibitors', 'Time Factors', 'Tumor Cells, Cultured']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90079-5 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):431-9. doi: 10.1016/0145-2126(94)90079-5.,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Isoflavones)', 'DH2M523P0H (Genistein)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",,,,,,,,,,,,,,,,,
8207960,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,Prototypical HTLV-I/II infection is rare in LGL leukemia.,423-9,"The etiology of LGL leukemia is not known; however, we recently detected HTLV-II in a patient with LGL leukemia. In this study, we found that sera from 6 of 28 patients with LGL leukemia were positive for HTLV-I/II using a whole virus ELISA; moreover, the ELISA-negative sera were near the positive cut-off value. Therefore, we performed additional studies on these sera using commercially available assays which can confirm and distinguish HTLV-I from HTLV-II infection. Serum from only one patient was confirmed positive using conventional criteria (HTLV-II+). Sera from 25 patients (89%) had indeterminate reactivity on Western blot assays. Of these, sera from 21 (84%) reacted to gag protein p24; 12 (48%) reacted with recombinant env protein p21e, and 10 (40%) reacted with both. We could not detect HTLV-I/II pol or pX gene sequences in these patients using polymerase chain reaction analyses, with the exception of the HTLV-II-infected patient described previously. These data show that most patients with LGL leukemia are not infected with prototypical HTLV-I or HTLV-II. The frequent reactivity of patient sera to HTLV-I/II gag protein p24 and to env protein p21e, however, suggests that a deleted or variant form of HTLV-I/II may be associated with LGL leukemia.","['Loughran, T P Jr', 'Sherman, M P', 'Ruscetti, F W', 'Frey, S', 'Coyle, T', 'Montagna, R A', 'Jones, B', 'Starkebaum, G', 'Poiesz, B J']","['Loughran TP Jr', 'Sherman MP', 'Ruscetti FW', 'Frey S', 'Coyle T', 'Montagna RA', 'Jones B', 'Starkebaum G', 'Poiesz BJ']","['Veterans Affairs Medical Center, Syracuse, NY 13210.']",['eng'],"['AI127658/AI/NIAID NIH HHS/United States', 'CA 46903/CA/NCI NIH HHS/United States', 'CA 54552/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,IM,"['Blotting, Western', 'DNA/blood', 'Enzyme-Linked Immunosorbent Assay/methods', 'Genes, env', 'Genes, gag', 'Genes, pol', 'HTLV-I Antibodies/*blood', 'HTLV-I Infections/*complications/diagnosis', 'HTLV-II Antibodies/*blood', 'HTLV-II Infections/*complications/diagnosis', 'Human T-lymphotropic virus 1/*isolation & purification', 'Human T-lymphotropic virus 2/*isolation & purification', 'Humans', 'Leukemia, T-Cell/*diagnosis/*microbiology', 'Polymerase Chain Reaction/methods']",1994/06/01 00:00,2001/03/28 10:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90078-7 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):423-9. doi: 10.1016/0145-2126(94)90078-7.,"['0 (HTLV-I Antibodies)', '0 (HTLV-II Antibodies)', '9007-49-2 (DNA)']",,,,,,,,,,,,,,,,,
8207959,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,Serum concentrations of tumour necrosis factor-alpha during chemotherapy-induced leukopenia in patients with acute leukaemia and bacterial infections.,415-21,"Serum concentrations of tumour necrosis factor-alpha (TNF-alpha) increase during septicaemia in previously healthy individuals. To investigate whether a similar increase in TNF-alpha can be seen in severely immunocompromised patients with acute leukaemia and chemotherapy-induced leukopenia, serum TNF-alpha was analysed in leukopenic patients with bacterial infections. Pretherapy serum levels of TNF-alpha were decreased in leukaemia patients compared with healthy controls, and serum TNF-alpha levels showed a further decrease when patients developed chemotherapy-induced leukopenia. When leukopenic patients developed bacterial infections, serum concentrations of TNF-alpha increased. Serum levels of TNF-alpha decreased when clinical signs of infection resolved during antibiotic therapy, but an increase occurred later in parallel with haematopoietic reconstitution.","['Bruserud, O', 'Bergheim, J', 'Shammas, F V', 'Nesthus, I']","['Bruserud O', 'Bergheim J', 'Shammas FV', 'Nesthus I']","['Medical Department B, Haukeland University Hospital, Bergen, Norway.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Adolescent', 'Adult', 'Anti-Bacterial Agents/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Bacterial Infections/*blood/complications', 'Biomarkers/blood', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*blood/complications/drug therapy', 'Leukocyte Count', 'Leukopenia/*blood/chemically induced/complications', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/complications/drug therapy', 'Reference Values', 'Tumor Necrosis Factor-alpha/*analysis']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90077-9 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):415-21. doi: 10.1016/0145-2126(94)90077-9.,"['0 (Anti-Bacterial Agents)', '0 (Biomarkers)', '0 (Tumor Necrosis Factor-alpha)']",,,,,,,,,,,,,,,,,
8207958,NLM,MEDLINE,19940711,20211203,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,Overexpression of the Raf-1 proto-oncogene in human myeloid leukemia.,409-13,"The Raf-1 protein, a cytoplasmic serine/threonine kinase, plays an important role in signal transduction pathways. In order to examine the role of Raf-1 in human myeloid leukemia, we determined raf-1 mRNA expression by Northern blot analysis in blast cell samples from 27 acute myeloid leukemia (AML) cases and peripheral blood mononuclear cells from six healthy donors. A normal raf-1 transcript size was detected in all cases investigated. However, overexpression of raf-1 mRNA was found in 2 of 27 AML cases, both of which were erythroleukemias (AML, FAB M6).","['Schmidt, C A', 'Oettle, H', 'Ludwig, W D', 'Serke, S', 'Pawlaczyk-Peter, B', 'Wilborn, F', 'Binder, L T', 'Huhn, D', 'Siegert, W']","['Schmidt CA', 'Oettle H', 'Ludwig WD', 'Serke S', 'Pawlaczyk-Peter B', 'Wilborn F', 'Binder LT', 'Huhn D', 'Siegert W']","['Abteilung fur Innere Medizin und Poliklinik, Universitatsklinikum Rudolf Virchow, Freie Universitat Berlin, F.R.G.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Acute Disease', 'Base Sequence', 'DNA Primers', '*Gene Expression', 'Humans', 'Leukemia, Erythroblastic, Acute/blood/genetics', 'Leukemia, Myeloid/blood/*genetics', 'Leukocytes, Mononuclear/metabolism', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Protein Serine-Threonine Kinases/*biosynthesis/genetics', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*biosynthesis/genetics', 'Proto-Oncogene Proteins c-raf', '*Proto-Oncogenes', 'RNA, Messenger/biosynthesis/blood', 'Reference Values']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90076-0 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):409-13. doi: 10.1016/0145-2126(94)90076-0.,"['0 (DNA Primers)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-raf)']",,,,,,,,,,,,,,,,,
8207957,NLM,MEDLINE,19940711,20190825,0145-2126 (Print) 0145-2126 (Linking),18,6,1994 Jun,Capping of bcr-abl antisense oligonucleotides enhances antiproliferative activity against chronic myeloid leukemia cell lines.,401-8,"Leukemia due to a chromosomal translocation offers an attractive model for the design and testing of antisense agents because the sequence at the translocation junction is unique to the leukemic cell population. Chronic myeloid leukemia is the most common such translocation-induced leukemia. We have found antisense phosphodiester oligonucleotides directed at the bcr-abl junction to be ineffective in inhibiting the growth of CML cell lines. Therefore, we have investigated the effects produced by certain structural modifications of bcr-abl antisense oligonucleotides. For assay purposes we used K562 cells which have the bcr exon 3/abl exon 2 junction and BV173 cells which have the bcr exon 2/abl exon 2 junction. We have found that 5'-capping with a dimethoxytrityl group and 3'-capping with an amino-2-hydroxypropyl group confer antiproliferative activity. The enhancement of activity by capping appears at least partly attributable to exonuclease resistance since stability in serum-containing medium is increased.","['Thomas, M', 'Kosciolek, B', 'Wang, N', 'Rowley, P']","['Thomas M', 'Kosciolek B', 'Wang N', 'Rowley P']","['Department of Medicine, University of Rochester School of Medicine, New York 14642.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Base Sequence', 'Cell Division/*drug effects', 'Cell Line', 'Culture Media', 'Culture Media, Serum-Free', 'Exons', 'Fusion Proteins, bcr-abl/*biosynthesis', 'Genes, abl', 'Humans', 'Kinetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Molecular Sequence Data', 'Oligonucleotides, Antisense/*pharmacology', '*Oncogenes', 'Tumor Cells, Cultured']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1016/0145-2126(94)90075-2 [doi]'],ppublish,Leuk Res. 1994 Jun;18(6):401-8. doi: 10.1016/0145-2126(94)90075-2.,"['0 (Culture Media)', '0 (Culture Media, Serum-Free)', '0 (Oligonucleotides, Antisense)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,"['abl', 'bcr']",,,,,,,,,,,
8207894,NLM,MEDLINE,19940708,20071115,0021-5252 (Print) 0021-5252 (Linking),47,6,1994 Jun,[A case of mediastinal malignant lymphoma; 16 years follow up after surgery].,492-5,"A 32-year-old female was admitted to our hospital on September 1976 because of left mediastinal mass shadows on chest roentgenogram. Needle biopsy studies provided no definitive diagnosis, and exploratory operation was carried out through left postero-lateral thoracotomy. Two large masses were seen in the mediastinum and five small tumors were seen on the diaphragm. All of these masses were removed. Histopathological examination of the tumors indicated non-Hodgkin's lymphoma, diffuse small cell type. Radiation therapy was carried out postoperatively, but chemotherapy could not continue because of side effect. Eight years after surgical therapy, recurrence was seen at left parietal pleura, ten years at peritoneum, twelve years at left parietal pleura, thirteen years at upper mediastinal lymph node, 16 years at post-peritoneal space. These tumors disappeared after radiation therapy. She is doing well seventeen years after the surgery.","['Nonaka, M', 'Kadokura, M', 'Yamamoto, S', 'Tanio, N', 'Funami, M', 'Inoue, K', 'Takaba, T', 'Soejima, K', 'Hishida, T']","['Nonaka M', 'Kadokura M', 'Yamamoto S', 'Tanio N', 'Funami M', 'Inoue K', 'Takaba T', 'Soejima K', 'Hishida T']","['Department of Surgery, Showa University School of Medicine, Tokyo, Japan.']",['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Kyobu Geka,Kyobu geka. The Japanese journal of thoracic surgery,0413533,IM,"['Adult', 'Combined Modality Therapy', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/radiotherapy/*surgery', 'Mediastinal Neoplasms/radiotherapy/*surgery', 'Prognosis']",1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",,ppublish,Kyobu Geka. 1994 Jun;47(6):492-5.,,,,,,,,,,,,,,,,,,
