PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,IP,OID,TT,AB,RF
14411809,NLM,MEDLINE,19981101,20181201,0004-0061 (Print) 0004-0061 (Linking),31,1960,[On the problem of so-called epitheloid-cell reticulosis].,269-87,"['KRAUSPE, C']",['KRAUSPE C'],['ger'],['Journal Article'],Italy,Arch De Vecchi Anat Patol,"Archivio ""de Vecchi"" per l'anatomia patologica e la medicina clinica",0372455,OM,"['*Genetic Diseases, X-Linked', 'Humans', 'Leukemia, Hairy Cell/*pathology', 'Lymphatic Diseases/*pathology', '*Severe Combined Immunodeficiency']",['NLM'],['*RETICULOENDOTHELIOSIS/pathology'],1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",ppublish,Arch De Vecchi Anat Patol. 1960;31:269-87.,"['Reticuloendotheliosis, X-linked']",,,,,,,
14411635,NLM,MEDLINE,19981101,20190627,0002-9343 (Print) 0002-9343 (Linking),28,1960 May,Mechanisms of drug action in leukemia.,735-50,"['KRAKOFF, I H']",['KRAKOFF IH'],['eng'],['Journal Article'],United States,Am J Med,The American journal of medicine,0267200,OM,"['Antineoplastic Agents/*therapy', 'Leukemia/*therapy']",['NLM'],"['*ANTINEOPLASTIC AGENTS/therapy', '*LEUKEMIA/therapy']",1960/05/01 00:00,1960/05/01 00:01,['1960/05/01 00:00'],"['1960/05/01 00:00 [pubmed]', '1960/05/01 00:01 [medline]', '1960/05/01 00:00 [entrez]']",ppublish,Am J Med. 1960 May;28:735-50. doi: 10.1016/0002-9343(60)90131-5.,['0 (Antineoplastic Agents)'],"['0002-9343(60)90131-5 [pii]', '10.1016/0002-9343(60)90131-5 [doi]']",,,,,,
14411602,NLM,MEDLINE,19981101,20181201,0552-2080 (Print) 0552-2080 (Linking),4,1959 Nov,[On the problem of conditions of development of leukoses].,21-5,"['KRAEVSKII, N A', 'NEMENOVA, N M', 'ROZANOVA, N S']","['KRAEVSKII NA', 'NEMENOVA NM', 'ROZANOVA NS']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['Humans', 'Leukemia/*etiology']",['NLM'],['*LEUKEMIA/etiology'],1959/11/01 00:00,1959/11/01 00:01,['1959/11/01 00:00'],"['1959/11/01 00:00 [pubmed]', '1959/11/01 00:01 [medline]', '1959/11/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1959 Nov;4:21-5.,,,,,,,,
14411601,NLM,MEDLINE,19981101,20181201,0552-2080 (Print) 0552-2080 (Linking),5,1960 Mar,[On the problem of the existence of leukemoid reactions and so-called reactive reticuloses].,3-11,"['KRAEVSKII, N A', 'NEMENOVA, N M', 'DANILOVA, L A']","['KRAEVSKII NA', 'NEMENOVA NM', 'DANILOVA LA']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['*Leukemia', '*Leukemoid Reaction', 'Peptide Nucleic Acids']",['NLM'],['*LEUKEMIA'],1960/03/01 00:00,1960/03/01 00:01,['1960/03/01 00:00'],"['1960/03/01 00:00 [pubmed]', '1960/03/01 00:01 [medline]', '1960/03/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1960 Mar;5:3-11.,"['0 (Peptide Nucleic Acids)', '0 (reticulose)']",,,,,,,
14411392,NLM,MEDLINE,19981101,20181201,0027-8874 (Print) 0027-8874 (Linking),24,1960 Apr,"Studies on cyclophosphamide, antitumor alkylating compound. I. Effect on mouse leukemias.",759-68,"['KOVACS, E T', 'OHNO, S', 'KINOSITA, R']","['KOVACS ET', 'OHNO S', 'KINOSITA R']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,OM,"['Animals', 'Antineoplastic Agents/*pharmacology', '*Cyclophosphamide', '*Leukemia', 'Mice']",['NLM'],['*ANTINEOPLASTIC AGENTS/pharmacology'],1960/04/01 00:00,1960/04/01 00:01,['1960/04/01 00:00'],"['1960/04/01 00:00 [pubmed]', '1960/04/01 00:01 [medline]', '1960/04/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1960 Apr;24:759-68.,"['0 (Antineoplastic Agents)', '8N3DW7272P (Cyclophosphamide)']",,,,,,,
14411312,NLM,MEDLINE,19981101,20181201,0552-2080 (Print) 0552-2080 (Linking),5,1960 Mar,[Some data on the change of blood coagulation factors in leukemia].,29-32,"['KOTOVSHCHIKOVA, M A', 'FEDOROVA, Z D']","['KOTOVSHCHIKOVA MA', 'FEDOROVA ZD']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['*Blood Coagulation', '*Blood Coagulation Factors', 'Humans', 'Leukemia/*blood']",['NLM'],"['*BLOOD COAGULATION', '*LEUKEMIA/blood']",1960/03/01 00:00,1960/03/01 00:01,['1960/03/01 00:00'],"['1960/03/01 00:00 [pubmed]', '1960/03/01 00:01 [medline]', '1960/03/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1960 Mar;5:29-32.,['0 (Blood Coagulation Factors)'],,,,,,,
14411285,NLM,MEDLINE,19981101,20181201,,14,1960 Jun,[Pulmonary manifestations in leukemia].,162-9,"['KOTAS, J', 'KOLAR, V']","['KOTAS J', 'KOLAR V']",['cze'],['Journal Article'],Czech Republic,Cesk Rentgenol,Ceskoslovenska rentgenologie,16120080R,OM,"['Humans', 'Leukemia/*diagnostic imaging', 'Lung/*diagnostic imaging', '*Radiography, Thoracic']",['NLM'],"['*LEUKEMIA/radiography', '*LUNG/radiography']",1960/06/01 00:00,1960/06/01 00:01,['1960/06/01 00:00'],"['1960/06/01 00:00 [pubmed]', '1960/06/01 00:01 [medline]', '1960/06/01 00:00 [entrez]']",ppublish,Cesk Rentgenol. 1960 Jun;14:162-9.,,,,,,,,
14410907,NLM,MEDLINE,19981101,20181201,0552-2080 (Print) 0552-2080 (Linking),4,1959 Sep,[A case of conversion of lymphadenosis into reticulosis].,47-9,"['KONSTANTINOVICH, N V']",['KONSTANTINOVICH NV'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['*Genetic Diseases, X-Linked', 'Humans', '*Leukemia', 'Leukemia, Hairy Cell/*etiology', 'Leukemia, Lymphoid/*pathology', 'Lymphatic Diseases/*etiology', '*Lymphocytes', '*Severe Combined Immunodeficiency']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/pathology', '*RETICULOENDOTHELIOSIS/etiology']",1959/09/01 00:00,1959/09/01 00:01,['1959/09/01 00:00'],"['1959/09/01 00:00 [pubmed]', '1959/09/01 00:01 [medline]', '1959/09/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1959 Sep;4:47-9.,"['Reticuloendotheliosis, X-linked']",,,,,,,
14410746,NLM,MEDLINE,19981101,20181201,0507-3758 (Print) 0507-3758 (Linking),5,1959,[Similarity and differences in the antigen property of tissues in human sarcoma and leukosis].,643-8,"['KOLMYKOVA, V N', 'EROSHKINA, A M']","['KOLMYKOVA VN', 'EROSHKINA AM']",['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,OM,"['Humans', 'Leukemia/*immunology', '*Neoplasms', 'Sarcoma/*immunology']",['NLM'],"['*LEUKEMIA/immunology', '*SARCOMA/immunology']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1959;5:643-8.,,,,,,,,
14410195,NLM,MEDLINE,19981101,20181201,0300-8614 (Print) 0300-8614 (Linking),209,1959,[On cyto- and histogenesis and on the clinical classification of reticulohistiocytic diseases of the skin].,130-70,"['KNOTH, W']",['KNOTH W'],['ger'],['Journal Article'],Germany,Arch Klin Exp Dermatol,Archiv fur klinische und experimentelle Dermatologie,1256765,OM,"['*Genetic Diseases, X-Linked', 'Humans', 'Leukemia, Hairy Cell/*pathology', 'Lymphatic Diseases/*pathology', 'Lymphoma, Large B-Cell, Diffuse/*pathology', 'Lymphoma, Non-Hodgkin/*pathology', '*Sarcoma', '*Severe Combined Immunodeficiency', '*Skin', '*Skin Diseases']",['NLM'],"['*RETICULOENDOTHELIOSIS/pathology', '*SARCOMA, RETICULUM CELL/pathology', '*SKIN/diseases']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",ppublish,Arch Klin Exp Dermatol. 1959;209:130-70.,"['Reticuloendotheliosis, X-linked']",,,,,,,
14410108,NLM,MEDLINE,19981101,20181202,0036-7672 (Print) 0036-7672 (Linking),90,1960 Apr 23,[Leukemoid reaction and intermittent Charcot's fever as a clinical syndrome in malignant bile duct occlusion and liver metastasis].,464-8,"['KNICK, B', 'SCHILLING, F']","['KNICK B', 'SCHILLING F']",['ger'],"['Case Reports', 'Journal Article']",Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,OM,"['*Bile Ducts', '*Cholestasis', '*Fever', 'Humans', '*Leukemia', '*Leukemoid Reaction', '*Liver Neoplasms', '*Medical Records']",['NLM'],"['*FEVER/case reports', '*LEUKEMIA/case reports', '*LIVER NEOPLASMS/case reports']",1960/04/23 00:00,1960/04/23 00:01,['1960/04/23 00:00'],"['1960/04/23 00:00 [pubmed]', '1960/04/23 00:01 [medline]', '1960/04/23 00:00 [entrez]']",ppublish,Schweiz Med Wochenschr. 1960 Apr 23;90:464-8.,,,,,,,,
14409872,NLM,MEDLINE,19981101,20181202,0552-2080 (Print) 0552-2080 (Linking),4,1959 Sep,[Adaptation of transfused erythrocytes in patients with leukemia].,35-9,"['KLIMOVA, N F']",['KLIMOVA NF'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['*Blood Transfusion', '*Erythrocyte Transfusion', 'Erythrocytes/*physiology', 'Humans', 'Leukemia/*therapy']",['NLM'],"['*BLOOD TRANSFUSION', '*ERYTHROCYTES/physiology', '*LEUKEMIA/therapy']",1959/09/01 00:00,1959/09/01 00:01,['1959/09/01 00:00'],"['1959/09/01 00:00 [pubmed]', '1959/09/01 00:01 [medline]', '1959/09/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1959 Sep;4:35-9.,,,,,,,,
14409816,NLM,MEDLINE,19981101,20181202,0366-8576 (Print) 0366-8576 (Linking),206,1959,"[On the behavior of the coagulating factors in liver cirrhosis, plasmocytoma, macroglobulinemia Waldenstroem, reticulosis, retothelial sarcoma and purpura hyperglobuline mica].",59-76,"['KLESPER, R', 'ACHENBACH, W', 'EICH, R']","['KLESPER R', 'ACHENBACH W', 'EICH R']",['ger'],['Journal Article'],Germany,Dtsch Arch Klin Med,Deutsches Archiv fur klinische Medizin,0060760,OM,"['*Aluminum Silicates', 'Animals', 'Blood Coagulation/*physiology', '*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', 'Liver Cirrhosis/*blood', '*Lymphatic Diseases', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', 'Multiple Myeloma/*blood', '*Plasma Cells', '*Plasmacytoma', 'Purpura/*blood', '*Sarcoma', '*Serum Globulins', '*Severe Combined Immunodeficiency', '*Waldenstrom Macroglobulinemia']",['NLM'],"['*BLOOD COAGULATION/physiology', '*LIVER CIRRHOSIS/blood', '*MYELOMA, PLASMA CELL/blood', '*PURPURA/blood', '*RETICULOENDOTHELIOSIS', '*SARCOMA, RETICULUM CELL', '*SERUM GLOBULIN']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",ppublish,Dtsch Arch Klin Med. 1959;206:59-76.,"['0 (Aluminum Silicates)', '0 (Serum Globulins)', 'V8A1AW0880 (mica)', 'Reticuloendotheliosis, X-linked']",,,,,,,
14409807,NLM,MEDLINE,19981101,20181202,0032-3756 (Print) 0032-3756 (Linking),14,1959 Dec 21,[Etiological and clinical problems of acute leukemias in children].,2225-31,"['KLEPACKI, W', 'GERKOWICZ, T']","['KLEPACKI W', 'GERKOWICZ T']",['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,OM,"['*Acute Disease', 'Child', 'Humans', 'Infant', '*Leukemia']",['NLM'],['*LEUKEMIA/in infancy and childhood'],1959/12/21 00:00,1959/12/21 00:01,['1959/12/21 00:00'],"['1959/12/21 00:00 [pubmed]', '1959/12/21 00:01 [medline]', '1959/12/21 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1959 Dec 21;14:2225-31.,,,,,,,,
14409806,NLM,MEDLINE,19981101,20181202,0032-3756 (Print) 0032-3756 (Linking),14,1959 Nov 23,[Cerebrospinal meningitis and pleurisy in acute myelocytic leukemia in a child].,2067-9,"['KLEPACKI, W', 'GERKOWICZ, T']","['KLEPACKI W', 'GERKOWICZ T']",['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,OM,"['Humans', '*Leukemia', 'Leukemia, Myeloid/*complications', '*Leukemia, Myeloid, Acute', 'Meningitis/*etiology', 'Pleurisy/*etiology']",['NLM'],"['*LEUKEMIA, MYELOCYTIC/complications', '*MENINGITIS/etiology', '*PLEURISY/etiology']",1959/11/23 00:00,1959/11/23 00:01,['1959/11/23 00:00'],"['1959/11/23 00:00 [pubmed]', '1959/11/23 00:01 [medline]', '1959/11/23 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1959 Nov 23;14:2067-9.,,,,,,,,
14409440,NLM,MEDLINE,19981101,20181202,0552-2080 (Print) 0552-2080 (Linking),4,1959 Sep,[Sarcoma and leukosis in children of the same family].,49-50,"['KISLIAK, N S']",['KISLIAK NS'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['Child', 'Humans', '*Kidney Neoplasms', 'Leukemia/*history', '*Neoplasms', 'Sarcoma/*history']",['NLM'],"['*KIDNEY/neoplasms', '*LEUKEMIA/history', '*SARCOMA/history']",1959/09/01 00:00,1959/09/01 00:01,['1959/09/01 00:00'],"['1959/09/01 00:00 [pubmed]', '1959/09/01 00:01 [medline]', '1959/09/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1959 Sep;4:49-50.,,,,,,,,
