PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,GR,PMC,MID,RPI,CI,SI,CON,CIN,CN,IR,FIR,EIN,TT,COIS,OTO,OT,RIN,OID,DA,DRDT,CTDT,PB,BTI,FED,ED,CDAT
21110922,NLM,MEDLINE,20110321,20131121,1976-670X (Electronic) 1976-6696 (Linking),43,11,2010 Nov,Investigation of effects of newly synthesized Pt(II) complex against human serum albumin and leukemia cell line of K562.,766-71,10.5483/BMBRep.2010.43.11.766 [doi],"['Divsalar, Adeleh', 'Saboury, Ali A', 'Ahadi, Leila', 'Zemanatiyar, Elham', 'Mansouri-Torshizi, Hassan']","['Divsalar A', 'Saboury AA', 'Ahadi L', 'Zemanatiyar E', 'Mansouri-Torshizi H']",['eng'],['Journal Article'],,Korea (South),BMB Rep,BMB reports,101465334,"[""0 (2,2'-bipyridin butylglycinato platinum(II))"", '0 (Antineoplastic Agents)', '0 (Coordination Complexes)', '0 (Organoplatinum Compounds)', '0 (Serum Albumin)', '5TWQ1V240M (Palladium)']",IM,"['Antineoplastic Agents/chemical synthesis/chemistry/*toxicity', 'Apoptosis', 'Circular Dichroism', 'Coordination Complexes/chemical synthesis/chemistry/toxicity', 'Humans', 'K562 Cells', 'Organoplatinum Compounds/chemical synthesis/chemistry/*toxicity', 'Palladium/chemistry', 'Protein Binding', 'Serum Albumin/*chemistry', 'Spectrometry, Fluorescence', 'Thermodynamics']",2010/11/30 06:00,2011/03/22 06:00,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/03/22 06:00 [medline]']",['10.5483/BMBRep.2010.43.11.766 [doi]'],ppublish,BMB Rep. 2010 Nov;43(11):766-71. doi: 10.5483/BMBRep.2010.43.11.766.,"The biological evaluation of a new synthesized Pt(II)-complex, 2,2'-bipyridin Butylglycinato Pt(II) nitrate, an anti-tumor component, was studied at different temperatures by fluorescence and far UV circular dichroism (CD) spectroscopic methods. Human serum albumin (HSA) and human tumor cell line K562 were as targets. The Pt(II)-complex has a strong ability to quench the intrinsic fluorescence of HSA. Binding and thermodynamic parameters of the interaction were calculated by fluorescence quenching method. Far-UV-CD results showed that Pt(II)-complex induced increasing in content of alpha helical structure of the protein and stabilized it. The 50% cytotoxic concentration (Cc(50)) of complex was determined using MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide) assay at different incubation times. Also, fluorescence staining with DAPI (4,6-diamidino-2-phenylindole) revealed some typical nuclear changes, which are characteristic of apoptosis. Above results suggest that Pt (II) complex is a promising anti-proliferative agent and should execute its biological effects by inducing apoptosis.","['Institute of Biochemistry and Biophysics, University of Tehran, Iran. divsalar@ibb.ut.ac.ir']",,,,,,,,,,,,,,,,,,,,,,,,,,
21110852,NLM,MEDLINE,20110318,20211020,1756-9966 (Electronic) 0392-9078 (Linking),29,,2010 Nov 26,Glycogen synthase kinase-3beta inhibition induces nuclear factor-kappaB-mediated apoptosis in pediatric acute lymphocyte leukemia cells.,154,10.1186/1756-9966-29-154 [doi],"['Hu, Yanni', 'Gu, Xiaoyan', 'Li, Ruiyan', 'Luo, Qing', 'Xu, Youhua']","['Hu Y', 'Gu X', 'Li R', 'Luo Q', 'Xu Y']",['eng'],['Journal Article'],20101126,England,J Exp Clin Cancer Res,Journal of experimental & clinical cancer research : CR,8308647,"['0 (BIRC5 protein, human)', '0 (Inhibitor of Apoptosis Proteins)', '0 (Microtubule-Associated Proteins)', '0 (NF-kappa B)', '0 (Survivin)', 'EC 2.7.11.1 (GSK3B protein, human)', 'EC 2.7.11.1 (Glycogen Synthase Kinase 3 beta)', 'EC 2.7.11.26 (Glycogen Synthase Kinase 3)']",IM,"['Apoptosis/*physiology', 'Blotting, Western', 'Cell Separation', 'Cells, Cultured', 'Child', 'Electrophoretic Mobility Shift Assay', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Gene Expression Regulation, Neoplastic', 'Glycogen Synthase Kinase 3/*metabolism', 'Glycogen Synthase Kinase 3 beta', 'Humans', 'Inhibitor of Apoptosis Proteins', 'Microtubule-Associated Proteins/biosynthesis', 'NF-kappa B/*metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism/pathology', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/physiology', 'Survivin']",2010/11/30 06:00,2011/03/19 06:00,['2010/11/30 06:00'],"['2010/10/03 00:00 [received]', '2010/11/26 00:00 [accepted]', '2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/03/19 06:00 [medline]']","['1756-9966-29-154 [pii]', '10.1186/1756-9966-29-154 [doi]']",epublish,J Exp Clin Cancer Res. 2010 Nov 26;29:154. doi: 10.1186/1756-9966-29-154.,"BACKGROUND: Molecular therapies that target genetic abnormalities in leukemic cells and their affected signaling pathways have been emerging in pediatric acute lymphoblastic leukemia (ALL). Glycogen synthase kinase-3beta (GSK-3beta) has recently been found to positively regulate the activity of nuclear factor-kappaB (NF-kappaB). Here, we investigated the relationship between GSK-3beta inhibition and NF-kappaB in apoptosis of pediatric primary leukemia cells obtained from 39 newly diagnosed ALL children in China. METHODS: Bone marrow mononuclear cells (BMMC) were isolated by density gradient centrifugation from the heparinized aspirates of children with ALL. We used immunofluorescence staining to detect nuclear GSK-3beta in these cells. After treatment with chemically distinct GSK-3beta inhibitors in vitro, NF-kappaB transcriptional activity was identified by means of western blotting and electrophoretic mobility shift assay (EMSA). NF-kappaB-mediated apoptosis was detected by Annexin V-PE/7-AAD double-staining flow cytometry. The expression level of the survivin gene was detected by reverse-transcriptase polymerase chain reaction (RT-PCR). RESULTS: GSK-3beta significantly accumulates in the nuclei of ALL cells than in the nuclei of control cells. Cell death induced by GSK-3beta inhibition in ALL cells was mediated by a downregulation of NF-kappaB p65 transcriptional activity. GSK-3beta inhibition significantly decreased the expression of the NF-kappaB target gene survivin. CONCLUSIONS: These results indicate that inhibition of GSK-3beta downregulates the NF-kappaB activation pathway, leading to suppression of the expression of an NF-kappaB-regulated gene and promotion of apoptosis in ALL cells in vitro. Furthermore, our findings suggest that GSK-3beta or NF-kappaB is a potential therapeutic target in the treatment of pediatric ALL.","[""Laboratory of Oncology, Affiliated Children's Hospital, Chongqing Medical University, No,136, Zhongshan 2nd Road, Yuzhong District, Chongqing 86 400014, China.""]",,PMC3002327,,,,,,,,,,,,,,,,,,,,,,,,
21110339,NLM,MEDLINE,20110331,20101129,1521-4184 (Electronic) 0365-6233 (Linking),343,11-12,2010 Nov,Synthesis and in vitro anticancer activities of some selenadiazole derivatives.,680-91,10.1002/ardp.201000014 [doi],"['Plano, Daniel', 'Moreno, Esther', 'Font, Maria', 'Encio, Ignacio', 'Palop, Juan Antonio', 'Sanmartin, Carmen']","['Plano D', 'Moreno E', 'Font M', 'Encio I', 'Palop JA', 'Sanmartin C']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Germany,Arch Pharm (Weinheim),Archiv der Pharmazie,0330167,"['0 (Antineoplastic Agents)', '0 (Azoles)', '0 (Organoselenium Compounds)']",IM,"['Antineoplastic Agents/*chemical synthesis/pharmacology', 'Apoptosis/drug effects', 'Azoles/*chemical synthesis/pharmacology', 'Cell Cycle/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Humans', 'Neoplasms/*drug therapy/pathology', 'Organoselenium Compounds/*chemical synthesis/pharmacology']",2010/11/27 06:00,2011/04/01 06:00,['2010/11/27 06:00'],"['2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/04/01 06:00 [medline]']",['10.1002/ardp.201000014 [doi]'],ppublish,Arch Pharm (Weinheim). 2010 Nov;343(11-12):680-91. doi: 10.1002/ardp.201000014.,"A novel series of fourteen substituted selenadiazoles has been synthesized and the compounds tested for their in vitro antiproliferative and cytotoxic activities. The tests were carried out against leukemia (CCRF-CEM), colon (HT-29), lung (HTB-54), and breast (MCF-7) cancer cells. In order to assess the selectivity of the compounds under investigation the assays were also carried out on two non-tumoral lines - one mammary (184B5) and one bronchial epithelium (BEAS-2B) cell line. Assay-based antiproliferative activity studies revealed that seven derivatives (2a, 2c, 2e, 2f, 2g, 3a, and 3b) exhibited good activity against MCF-7 cells: for instance, 2c and 2f inhibited cell growth with nanomolar GI(5)(0) values. Compound 2f had a better antitumoral profile than vinorelbine and paclitaxel, two drugs that are used as first-line treatments in advanced, recurrent, and/or metastatic cancer. In the other cell lines the compounds showed moderate activity or were inactive - with the exception of 2a, which was also found to have antiproliferative activity. Modulation of the cell cycle and apoptotic effects of active compounds were further evaluated in MCF-7 cells. Of these, 6-bromo[1,2,5]selenadiazolo[3,4-b]pyridine (2a) was the most active, with an apoptogenic effect 3.9 times higher than that of camptothecin, which was used as a positive control. Compound 2a also provoked cell cycle arrest with a significant decrease in the G(0)/G(1) phase cell population and an increase in S and G(2)/M cells, thus suggesting mitotic arrest prior to metaphase.","['Departamento de Quimica Organica y Farmaceutica, University of Navarra, Pamplona, Spain.']",,,,,,,,,,,,,,,,,,,,,,,,,,
21110323,NLM,MEDLINE,20110225,20211020,1615-9861 (Electronic) 1615-9853 (Linking),10,23,2010 Dec,Assaying pharmacodynamic endpoints with targeted therapy: flavopiridol and 17AAG induced dephosphorylation of histone H1.5 in acute myeloid leukemia.,4281-92,10.1002/pmic.201000080 [doi],"['Wang, Liwen', 'Harshman, Sean W', 'Liu, Shujun', 'Ren, Chen', 'Xu, Hua', 'Sallans, Larry', 'Grever, Michael', 'Byrd, John C', 'Marcucci, Guido', 'Freitas, Michael A']","['Wang L', 'Harshman SW', 'Liu S', 'Ren C', 'Xu H', 'Sallans L', 'Grever M', 'Byrd JC', 'Marcucci G', 'Freitas MA']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,Germany,Proteomics,Proteomics,101092707,"['0 (Benzoquinones)', '0 (Biomarkers, Pharmacological)', '0 (Caseins)', '0 (Flavonoids)', '0 (HSP90 Heat-Shock Proteins)', '0 (Histones)', '0 (Lactams, Macrocyclic)', '0 (Phosphopeptides)', '0 (Piperidines)', '0 (Protein Kinase Inhibitors)', '45AD6X575G (alvocidib)', '4GY0AVT3L4 (tanespimycin)']",IM,"['Amino Acid Sequence', 'Benzoquinones/*pharmacology', 'Biomarkers, Pharmacological/*analysis', 'Caseins/chemistry', 'Flavonoids/*pharmacology', 'HSP90 Heat-Shock Proteins/*antagonists & inhibitors', 'Histones/chemistry/*metabolism', 'Humans', 'Lactams, Macrocyclic/*pharmacology', 'Leukemia, Myeloid, Acute/*metabolism', 'Molecular Sequence Data', 'Molecular Targeted Therapy', 'Phosphopeptides/chemistry', 'Piperidines/*pharmacology', 'Protein Kinase Inhibitors/*pharmacology', 'Tumor Cells, Cultured']",2010/11/27 06:00,2011/02/26 06:00,['2010/11/27 06:00'],"['2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/02/26 06:00 [medline]']",['10.1002/pmic.201000080 [doi]'],ppublish,Proteomics. 2010 Dec;10(23):4281-92. doi: 10.1002/pmic.201000080.,"Histone H1 is commonly used to assay kinase activity in vitro. As many promising targeted therapies affect kinase activity of specific enzymes involved in cancer transformation, H1 phosphorylation can serve as potential pharmacodynamic marker for drug activity within the cell. In this study we utilized a phosphoproteomic workflow to characterize histone H1 phosphorylation changes associated with two targeted therapies in the Kasumi-1 acute myeloid leukemia cell line. The phosphoproteomic workflow was first validated with standard casein phosphoproteins and then applied to the direct analysis of histone H1 from Kasumi-1 nuclear lysates. Ten H1 phosphorylation sites were identified on the H1 variants, H1.2, H1.3, H1.4, H1.5 and H1.x. LC MS profiling of intact H1s demonstrated global dephosphorylation of H1.5 associated with therapy by the cyclin-dependent kinase inhibitor, flavopiridol and the Heat Shock Protein 90 inhibitor, 17-(Allylamino)-17-demethoxygeldanamycin. In contrast, independent treatments with a nucleotide analog, proteosome inhibitor and histone deacetylase inhibitor did not exhibit decreased H1.5 phosphorylation. The data presented herein demonstrate that potential of histones to assess the cellular response of reagents that have direct and indirect effects on kinase activity that alters histone phosphorylation. As such, this approach may be a highly informative marker for response to targeted therapies influencing histone phosphorylation.","['Department of Chemistry, The Ohio State University, Columbus OH, USA.']","['S10 RR023647/RR/NCRR NIH HHS/United States', 'S10 RR023647-01/RR/NCRR NIH HHS/United States', 'R56 CA107106/CA/NCI NIH HHS/United States', 'RR023647/RR/NCRR NIH HHS/United States', 'CA101956/CA/NCI NIH HHS/United States', 'P01 CA101956/CA/NCI NIH HHS/United States', 'R01 CA107106-01/CA/NCI NIH HHS/United States', 'R01 CA107106/CA/NCI NIH HHS/United States', 'CA107106/CA/NCI NIH HHS/United States']",PMC3021470,['NIHMS262344'],,,,,,,,,,,,,,,,,,,,,,,
21110146,NLM,MEDLINE,20110525,20211020,1865-3774 (Electronic) 0925-5710 (Linking),92,5,2010 Dec,A case of chronic myeloid leukemia with eosinophilic interstitial pneumonitis after administration of imatinib mesylate for 11 months.,777-8,10.1007/s12185-010-0729-z [doi],"['Suemori, Koichiro', 'Fujiwara, Hiroshi', 'Watanabe, Seiichiro', 'Azuma, Taichi', 'Yasukawa, Masaki']","['Suemori K', 'Fujiwara H', 'Watanabe S', 'Azuma T', 'Yasukawa M']",['eng'],"['Case Reports', 'Journal Article']",20101126,Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Aged', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Benzamides', 'Female', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/*drug therapy', 'Lung Diseases, Interstitial/*complications/diagnostic imaging/pathology', 'Piperazines/adverse effects/*therapeutic use', 'Pulmonary Eosinophilia/complications/diagnostic imaging/pathology', 'Pyrimidines/adverse effects/*therapeutic use', 'Radiography', 'Treatment Outcome']",2010/11/27 06:00,2011/05/26 06:00,['2010/11/27 06:00'],"['2010/09/03 00:00 [received]', '2010/11/11 00:00 [accepted]', '2010/10/25 00:00 [revised]', '2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/05/26 06:00 [medline]']",['10.1007/s12185-010-0729-z [doi]'],ppublish,Int J Hematol. 2010 Dec;92(5):777-8. doi: 10.1007/s12185-010-0729-z. Epub 2010 Nov 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21110023,NLM,MEDLINE,20111031,20181201,1432-0843 (Electronic) 0344-5704 (Linking),68,3,2011 Sep,Induction of fetal hemoglobin and ABCB1 gene expression in 9-beta-D-arabinofuranosylguanine-resistant MOLT-4 cells.,583-91,10.1007/s00280-010-1524-5 [doi],"['Fyrberg, Anna', 'Peterson, Curt', 'Kagedal, Bertil', 'Lotfi, Kourosh']","['Fyrberg A', 'Peterson C', 'Kagedal B', 'Lotfi K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20101126,Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (ABCB1 protein, human)', '0 (ATP Binding Cassette Transporter, Subfamily B)', '0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antineoplastic Agents)', '0 (Arabinonucleosides)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)', '0 (Tetrazolium Salts)', '0 (Thiazoles)', '38819-10-2 (9-arabinofuranosylguanine)', '9034-63-3 (Fetal Hemoglobin)', 'EUY85H477I (thiazolyl blue)']",IM,"['ATP Binding Cassette Transporter, Subfamily B', 'ATP Binding Cassette Transporter, Subfamily B, Member 1/*biosynthesis/*genetics', 'Antineoplastic Agents/*pharmacology', 'Arabinonucleosides/*pharmacology', 'Blotting, Western', 'Cell Line, Tumor', 'Cell Survival', 'DNA Methylation', 'Drug Resistance, Neoplasm/genetics', 'Enzyme Activation/drug effects', 'Fetal Hemoglobin/*analysis', 'Humans', 'Microarray Analysis', 'Neoplasm Proteins/biosynthesis/genetics', 'RNA, Neoplasm/biosynthesis/isolation & purification', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tetrazolium Salts', 'Thiazoles']",2010/11/27 06:00,2011/11/01 06:00,['2010/11/27 06:00'],"['2010/09/03 00:00 [received]', '2010/11/05 00:00 [accepted]', '2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/11/01 06:00 [medline]']",['10.1007/s00280-010-1524-5 [doi]'],ppublish,Cancer Chemother Pharmacol. 2011 Sep;68(3):583-91. doi: 10.1007/s00280-010-1524-5. Epub 2010 Nov 26.,"PURPOSE: To characterize resistance mechanisms to the nucleoside analog 9-beta-D-arabinofuranosylguanine (AraG) in the T-cell acute lymphoblastic leukemia cell line MOLT-4 and its AraG-resistant variant. METHODS: A gene expression microarray analysis was performed, as well as gene expression and enzyme activity measurements of key enzymes in the activation of AraG. Cytotoxicity of AraG and cross-resistance to other compounds were evaluated using a standard cytotoxicity assay. RESULTS: Gene expression microarray analysis revealed that fetal hemoglobin genes and the multidrug resistance ABCB1 gene, encoding the drug efflux pump P-gp, were the most highly upregulated genes in the resistant cells, while genes traditionally associated with nucleoside analog resistance were not. Fetal hemoglobin and ABCB1 induction can be due to global DNA hypomethylation. This phenomenon was studied using AraG during a period of 4 weeks in MOLT-4 cells and the lung adenocarcinoma cell line A549, leading to up-regulation of hemoglobin gamma and ABCB1 as well as DNA hypomethylation. Inhibiting P-gp in the AraG-resistant MOLT-4 cells led to decreased proliferation, reduced hemoglobin expression, and highly induced ABCB1 expression. CONCLUSIONS: We show that AraG can cause hypomethylation of DNA and induce the expression of the fetal hemoglobin gamma gene and the ABCB1 gene. We speculate that the induction of ABCB1/P-gp may occur in order to help with excretion of hemoglobin degradation products that would otherwise be toxic to the cells, and we present data supporting our theory that P-gp may be linked to the induction of hemoglobin.","['Department of Medicine and Health, Linkoping University, Linkoping, Sweden. anna.fyrberg@liu.se']",,,,,,,,,,,,,,,,,,,,,,,,,,
21109979,NLM,MEDLINE,20110406,20101126,1791-2431 (Electronic) 1021-335X (Linking),25,1,2011 Jan,Terpenic subfraction of Pterodon pubescens induces apoptosis of K562 leukemic cells by modulating gene expression.,215-21,,"['Pereira, Monica Farah', 'Martino, Thiago', 'Dalmau, Sergio Ranto', 'Albano, Rodolfo Mattos', 'Ferezou, Jean-Pierre', 'Costa, Sonia Soares', 'Coelho, Marsen Garcia Pinto', 'Sabino, Katia Gosta Carvalho']","['Pereira MF', 'Martino T', 'Dalmau SR', 'Albano RM', 'Ferezou JP', 'Costa SS', 'Coelho MG', 'Sabino KG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Greece,Oncol Rep,Oncology reports,9422756,"['0 (Antineoplastic Agents)', '0 (Diterpenes)', '0 (Plant Extracts)']",IM,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/*drug effects', 'Cell Proliferation/drug effects', 'Diterpenes/chemistry/pharmacology', 'Fabaceae/*chemistry', 'Flow Cytometry', 'Gene Expression/drug effects', 'Gene Expression Regulation, Neoplastic/*drug effects', 'Humans', 'K562 Cells', 'Leukemia/*genetics', 'Plant Extracts/*pharmacology', 'Reverse Transcriptase Polymerase Chain Reaction']",2010/11/27 06:00,2011/04/07 06:00,['2010/11/27 06:00'],"['2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/04/07 06:00 [medline]']",,ppublish,Oncol Rep. 2011 Jan;25(1):215-21.,"Deregulation of cell proliferation and apoptosis is linked to malignant cell development. Leukemia is the most frequent cancer in children, and plants are important sources for new potential anti-cancer agents. Although anti-tumoral effects have been shown for Pterodon pubescens extracts, the mechanisms are still obscure. This study describes in Pterodon pubescens a furane diterpene only reported in Pterodon polygalaeflorus, the methyl-6alpha-acetoxy-7beta-hydroxyvouacapan-17beta-oate, indicated by HRMS and 13C-NMR analysis, and demonstrates some mechanisms of the anti-leukemia action of its terpene subfraction SF5. SF5 induced cytotoxic and anti-proliferative effects on K562 cells. Increased sub-G1 nuclei and Annexin V+-FITC cells confirmed apoptosis of leukemic cells by treatment of these cells with SF5. Down-regulation of DNMT1 gene transcription and over-expression of Apaf-1 mRNA suggested that SF5 may be inducing apoptosis of K562 cells by epigenetic up-regulation of pro-apoptotic proteins involved in the mitochondrial intrinsic pathway.","['Departamento de Bioquimica, Instituto de Biologia Roberto Alcantara Gomes, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, RJ, Brazil.']",,,,,,,,,,,,,,,,,,,,,,,,,,
21109922,NLM,MEDLINE,20110524,20211020,1791-2423 (Electronic) 1019-6439 (Linking),38,1,2011 Jan,Mutation in the RNA binding protein TIS11D/ZFP36L2 is associated with the pathogenesis of acute leukemia.,25-31,,"['Iwanaga, Eisaku', 'Nanri, Tomoko', 'Mitsuya, Hiroaki', 'Asou, Norio']","['Iwanaga E', 'Nanri T', 'Mitsuya H', 'Asou N']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Greece,Int J Oncol,International journal of oncology,9306042,"['0 (RNA-Binding Proteins)', '0 (Transcription Factors)', '0 (ZFP36L2 protein, human)']",IM,"['Animals', 'Burkitt Lymphoma/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Female', '*Frameshift Mutation', 'Genes, p53', 'HeLa Cells', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Male', 'Mice', 'Mice, Knockout', 'RNA-Binding Proteins/genetics', 'Sequence Analysis, DNA', 'Transcription Factors/*genetics']",2010/11/27 06:00,2011/05/25 06:00,['2010/11/27 06:00'],"['2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/05/25 06:00 [medline]']",,ppublish,Int J Oncol. 2011 Jan;38(1):25-31.,"TIS11D is an AU-rich element binding protein that is involved in RNA metabolism and definitive hematopoiesis. Although disruption of genes related to hematopoiesis often leads to the development of leukemia and lymphoma, the involvement of TIS11D in hematological malignancies remains to be determined. In the present study, we identified a heterozygous frameshift mutation (I373fsX91) in the carboxy-terminus of the TIS11D gene in leukemic cells from a patient with acute myeloid leukemia. Moreover, biallelic inactivation of the TIS11D gene resulting from a hemizygous frameshift mutation (G107fsX80) was identified in the Burkitt's lymphoma cell line DG75. In HeLa cells, overexpression of wild-type TIS11D protein (TIS11D(WT)) induced growth inhibition and an S phase checkpoint response, while the mutant protein (TIS11D(I373fsX91)) showed a diminished effect. Interestingly, this response was accompanied by p21 downregulation, which is frequently seen in the cellular response to ultraviolet irradiation. These data suggest that the dysregulation of TIS11D function is associated with the pathogenesis of certain types of leukemia.","['Department of Hematology, Kumamoto University Graduate School of Biosciences, Kumamoto, Japan. sakusaku6554@fc.kuh.kumamoto-u.ac.jp']",['Z01 BC011109/Intramural NIH HHS/United States'],PMC7322624,['NIHMS1595602'],,,,,,,,,,,,,,,,,,,,,,,
21109772,NLM,MEDLINE,20110408,20181201,1476-5551 (Electronic) 0887-6924 (Linking),25,2,2011 Feb,Rapid recovery from panobinostat (LBH589)-induced thrombocytopenia in mice involves a rebound effect of bone marrow megakaryocytes.,362-5,10.1038/leu.2010.262 [doi],"['Giver, C R', 'Jaye, D L', 'Waller, E K', 'Kaufman, J L', 'Lonial, S']","['Giver CR', 'Jaye DL', 'Waller EK', 'Kaufman JL', 'Lonial S']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20101126,England,Leukemia,Leukemia,8704895,"['0 (Histone Deacetylase Inhibitors)', '0 (Hydroxamic Acids)', '0 (Indoles)', '9647FM7Y3Z (Panobinostat)']",IM,"['Animals', 'Bone Marrow Cells', 'Cell Count', 'Histone Deacetylase Inhibitors', 'Hydroxamic Acids/*toxicity', 'Indoles', 'Kinetics', 'Megakaryocytes/*cytology', 'Mice', 'Mice, Inbred BALB C', 'Panobinostat', 'Thrombocytopenia/*chemically induced']",2010/11/27 06:00,2011/04/09 06:00,['2010/11/27 06:00'],"['2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/04/09 06:00 [medline]']","['leu2010262 [pii]', '10.1038/leu.2010.262 [doi]']",ppublish,Leukemia. 2011 Feb;25(2):362-5. doi: 10.1038/leu.2010.262. Epub 2010 Nov 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21109771,NLM,MEDLINE,20110408,20131121,1476-5551 (Electronic) 0887-6924 (Linking),25,2,2011 Feb,Synergistic induction of PI-PLCbeta1 signaling by azacitidine and valproic acid in high-risk myelodysplastic syndromes.,271-80,10.1038/leu.2010.266 [doi],"['Follo, M Y', 'Finelli, C', 'Mongiorgi, S', 'Clissa, C', 'Chiarini, F', 'Ramazzotti, G', 'Paolini, S', 'Martinelli, G', 'Martelli, A M', 'Cocco, L']","['Follo MY', 'Finelli C', 'Mongiorgi S', 'Clissa C', 'Chiarini F', 'Ramazzotti G', 'Paolini S', 'Martinelli G', 'Martelli AM', 'Cocco L']",['eng'],"['Controlled Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20101126,England,Leukemia,Leukemia,8704895,"['0 (Antimetabolites, Antineoplastic)', '0 (Enzyme Inhibitors)', '614OI1Z5WI (Valproic Acid)', 'EC 3.1.4.11 (Phosphoinositide Phospholipase C)', 'M801H13NRU (Azacitidine)']",IM,"['Aged', 'Aged, 80 and over', 'Antimetabolites, Antineoplastic', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Azacitidine/*pharmacology', 'Case-Control Studies', 'Cells, Cultured', 'DNA Methylation', 'Drug Synergism', 'Enzyme Inhibitors', 'Epigenesis, Genetic/drug effects', 'Female', 'Humans', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*drug therapy/pathology', 'Phosphoinositide Phospholipase C/*drug effects/genetics/metabolism', 'Promoter Regions, Genetic', 'Signal Transduction/*drug effects', 'Valproic Acid/*pharmacology']",2010/11/27 06:00,2011/04/09 06:00,['2010/11/27 06:00'],"['2010/11/27 06:00 [entrez]', '2010/11/27 06:00 [pubmed]', '2011/04/09 06:00 [medline]']","['leu2010266 [pii]', '10.1038/leu.2010.266 [doi]']",ppublish,Leukemia. 2011 Feb;25(2):271-80. doi: 10.1038/leu.2010.266. Epub 2010 Nov 26.,"The association between azacitidine (AZA) and valproic acid (VPA) has shown high response rates in high-risk myelodysplastic syndromes (MDS) cases with unfavorable prognosis. However, little is known about the molecular mechanisms underlying this therapy, and molecular markers useful to monitor the disease and the effect of the treatment are needed. Phosphoinositide-phospholipase C (PI-PLC) beta1 is involved in both genetic and epigenetic mechanisms of MDS progression to acute myeloid leukemia. Indeed, AZA as a single agent was able to induce PI-PLCbeta1 expression, therefore providing a promising new tool in the evaluation of response to demethylating therapies. In this study, we assessed the efficacy of the combination of AZA and VPA on inducing PI-PLCbeta1 expression in high-risk MDS patients. Furthermore, we observed an increase in Cyclin D3 expression, a downstream target of PI-PLCbeta1 signaling, therefore suggesting a potential combined activity of AZA and VPA in high-risk MDS in activating PI-PLCbeta1 signaling, thus affecting cell proliferation and differentiation. Taken together, our findings might open up new lines of investigations aiming at evaluating the role of the activation of PI-PLCbeta1 signaling in the epigenetic therapy, which may also lead to the identification of innovative targets for the epigenetic therapy of high-risk MDS.","['Department of Human Anatomical Sciences, University of Bologna, Bologna, Italy.']",,,,,,,,,,,,,,,,,,,,,,,,,,
