PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,EIN,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GS,CIN,TT,SI,CON,PS,FPS,CRF
8018946,NLM,MEDLINE,19940804,20041117,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,"Can artificial intelligence help us understand ""spontaneous remissions"" in leukemia?",660-1,,"['Bessis, M']",['Bessis M'],"[""Centre D'Ecologie Cellulaire, Hopital de la Salpetriere, Paris, France.""]",['eng'],,"['Comment', 'Journal Article']",United States,Blood Cells,Blood cells,7513567,,IM,,"['*Artificial Intelligence', 'Herpesvirus 4, Human/pathogenicity', 'Humans', 'Leukemia/etiology/microbiology/*pathology', '*Neoplasm Regression, Spontaneous']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):660-1.,,,,,,['Blood Cells. 1993;19(3):649-59; discussion 662-5. PMID: 8018945'],,,
8018945,NLM,MEDLINE,19940804,20121115,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,Aid to discovery in medicine using formal induction techniques.,649-59; discussion 662-5,"This article presents a particular approach to the subfield of artificial intelligence referred to as ""aid to scientific discovery."" The progress made in formal induction techniques suggests that the acquisition and discovery of knowledge may be considered as a refinement cycle in which the computer can play a central role. Some of the perspectives and the main difficulties are illustrated with a study done on the discovery of the causes of scurvy, and some links are made to the concept of scientific dogmas.","['Corruble, V', 'Ganascia, J G']","['Corruble V', 'Ganascia JG']","['LAFORIA-IBP, Universite Paris VI, France.']",['eng'],,"['Historical Article', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,,IM,,"['*Artificial Intelligence', 'Diet', 'History, 18th Century', 'Humans', 'Leukemia/*therapy', '*Research Design', 'Scurvy/*etiology/history']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):649-59; discussion 662-5.,,,['Blood Cells. 1993;19(3):660-1. PMID: 8018946'],,,,,,
8018944,NLM,MEDLINE,19940804,20171116,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,Problems existing in differentiation therapy of acute promyelocytic leukemia (APL) with all-trans retinoic acid (ATRA).,633-41; discussion 642-7,"A large number of acute promyelocytic leukemia (APL) patients, treated with all-trans retinoic acid (ATRA) and chemotherapy, were studied. The results of the studies are as follows: (1) Among 65 patients investigated for the postremissional therapy, the 5-year survival probabilities were 0.20 +/- 0.13 (mean +/- SE) in the group treated with ATRA alone, 0.47 + 0.10 (mean +/- SE) in the group using chemotherapy alone and 0.42 +/- 0.09 (mean +/- SE) in the group treated with chemotherapy and ATRA. (2) The main severe adverse effects in the ATRA treatment include retinoic acid syndrome, renal failure, and thrombosis. These sequelae were observed more frequently in cases with persistent, marked elevation of white blood cell count without significant maturation of leukemic promyelocytes. (3) APL is not a homogeneous disease in that among 50 patients studied at the molecular level, although a PML-RARA fusion gene was detected in 45 cases, one had a variant translocation t(11;17) bearing fusion gene PLZF-RARA, one presented no obvious structural alteration of the PML gene while the RARA gene was rearranged, and three patients had no rearrangement of either PML or RARA genes. (4) Using RT/PCR to detect minimal residual disease, we found positive rates of 22%, 18.4%, and 11.5%, respectively, 12, 24, and 36 months after CR. This observation justifies the use of chemotherapy for at least 3 years after CR induced by ATRA. (5) It seems likely that the fusion gene PML-RARA plays an important role in APL leukemogenesis and in its response to the ATRA treatment.","['Wang, Z Y', 'Chen, Z', 'Huang, W', 'Li, X S', 'Lu, J X', 'Huang, L A', 'Zhang, F Q', 'Gu, L J', 'Ouyang, R R', 'Chen, S J']","['Wang ZY', 'Chen Z', 'Huang W', 'Li XS', 'Lu JX', 'Huang LA', 'Zhang FQ', 'Gu LJ', 'Ouyang RR', 'Chen SJ', 'et al.']","['Shanghai Institute of Hematology, Rui-jin Hospital, Shanghai Second Medical University, PR China.']",['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,"['5688UTC01R (Tretinoin)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,,"['Actuarial Analysis', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/mortality', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Survival Analysis', 'Tretinoin/administration & dosage/adverse effects/*therapeutic use']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):633-41; discussion 642-7.,,,,,,,,,
8018943,NLM,MEDLINE,19940804,20041117,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,"B cell malignancies frequently reflect expansion of the autoreactive B cell repertoire, although the mechanism accounting for this remains controversial.",626-30; discussion 631-2,,"['Dighiero, G']",['Dighiero G'],"['Pavillon Laveran, Hopital de la Salpetriere, Paris, France.']",['eng'],,"['Comment', 'Journal Article']",United States,Blood Cells,Blood cells,7513567,"['0 (Antibodies, Monoclonal)', '0 (Autoantibodies)']",IM,,"['Animals', 'Antibodies, Monoclonal/biosynthesis', 'Autoantibodies/biosynthesis', 'B-Lymphocytes/*immunology', 'Genes, Immunoglobulin', 'Humans', 'Leukemia, B-Cell/genetics/*immunology', 'Mice', 'Mice, Inbred BALB C/immunology']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):626-30; discussion 631-2.,,,,,,['Blood Cells. 1993;19(3):615-25; discussion 631-2. PMID: 8018942'],,,
8018942,NLM,MEDLINE,19940804,20071115,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,Immunoglobulin genes in chronic lymphocytic leukemia.,615-25; discussion 631-2,"Common B cell chronic lymphocytic leukemia (CLL) cells frequently produce polyreactive autoantibodies. Molecular studies have revealed that the leukemia cells in this disease use a restricted repertoire of conserved immunoglobulin variable region genes (Ig V genes) that generally have not undergone somatic mutation. Studies indicate that this polyreactive autoantibody activity expressed in CLL is dependent upon the third complementarity determining region (CDR) of the heavy chain variable region and on proper pairing of the Ig light and heavy chains. In this light, the high frequency at which CLL patients have leukemia cells that make IgM autoantibodies does not appear secondary to the genetic constraints on the potential diversity of the antibodies that may be expressed in this disease. Rather, even though they express nonmutated Ig V genes, CLL B cells appear to have been selected for their ability to bind self-antigens. Conceivably, normal B cells that express such autoantibodies may be perpetually stimulated, thereby increasing their risk for malignant transformation into CLL. Alternatively, anti-self-reactivity may enhance the survival of a B cell clone subsequent to its malignant transformation. In either case, the autoantibody activity of the immunoglobulins expressed by leukemia B cells may be an important factor in the etiopathogenesis of this disease.","['Kipps, T J']",['Kipps TJ'],"['Department of Medicine, University of California, San Diego, La Jolla.']",['eng'],"['AG04100/AG/NIA NIH HHS/United States', 'CA49870/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Blood Cells,Blood cells,7513567,"['0 (Autoantibodies)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)', '0 (Immunoglobulin Variable Region)']",IM,,"['Autoantibodies/biosynthesis', 'B-Lymphocytes/immunology', '*Genes, Immunoglobulin', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin Light Chains/genetics', 'Immunoglobulin Variable Region/genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/*immunology']",39,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):615-25; discussion 631-2.,,,['Blood Cells. 1993;19(3):626-30; discussion 631-2. PMID: 8018943'],,,,,,
8018941,NLM,MEDLINE,19940804,20151119,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,CD23 and chronic lymphocytic leukemia.,591-6; discussion 597-9,"Chronic lymphocytic leukemia (CLL) is classically defined by the proliferation and accumulation of monoclonal CD5 positive B cells ""arrested"" at an intermediate stage of differentiation. The CD23 antigen (the low affinity receptor for IgE (Fc epsilon RII) is a 45 kD membrane glycoprotein primarily expressed on surface IgM and IgD positive B cells. The aim of this paper is to establish the link between CD23 and CLL disease and to propose that the CD23 molecule is not simply a marker of CLL disease but may also be involved in the proliferation of the leukemic B cells.","['Sarfati, M']",['Sarfati M'],"['Notre-Dame Hospital Research Center, University of Montreal, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Blood Cells,Blood cells,7513567,"['0 (Antigens, CD)', '0 (Biomarkers, Tumor)', '0 (Receptors, IgE)']",IM,,"['Antigens, CD/*blood/urine', 'B-Lymphocytes/*immunology', 'Biomarkers, Tumor/*blood/urine', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*blood/immunology', 'Lymphocyte Activation', 'Receptors, IgE/*analysis/metabolism']",19,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):591-6; discussion 597-9.,,,,,,,,,
8018940,NLM,MEDLINE,19940804,20071115,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,"Basket cells or shadow cells of Gumprecht: a scanning electron microscope study, and the correlation between percentages of basket cells, and cells with altered chromatin structure (dense cells), in chronic lymphocytic leukemia.",573-81; discussion 582-9,"For over 50 years the received wisdom has been that the shadow cells of Gumprecht otherwise known as basket cells (BC) are in artefact, produced during preparation of films when a drop of blood is spread on a slide. The assumption has been that they are therefore of no significance. They are commonly seen in blood films from patients with lymphoproliferative syndromes and particularly in chronic lymphocytic leukemia (CLL). In 96 patients with CLL a statistically significant correlation existed between the basket cells observed in films and the lymphocytes with dense chromatin (DC) determined by flow-cytometry. There was no statistically significant correlation between the number of BC and DC, and the anatomic-clinical stage of the disease.","['Binet, J L', 'Baudet, S', 'Mentz, F', 'Chevance, A', 'Lesty, C', 'Blanc, C', 'Michel, A', 'Merle-Beral, H']","['Binet JL', 'Baudet S', 'Mentz F', 'Chevance A', 'Lesty C', 'Blanc C', 'Michel A', 'Merle-Beral H']","['Hopital de la Salpetriere, Paris, France.']",['eng'],,"['Comparative Study', 'Journal Article']",United States,Blood Cells,Blood cells,7513567,['0 (Chromatin)'],IM,['Blood Cells 1994;20(2-3):630'],"['Chromatin/pathology/*ultrastructure', 'Erythrocytes/pathology/*ultrastructure', 'Flow Cytometry', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*blood/*pathology', 'Lymphocytes/pathology/ultrastructure', 'Lymphoproliferative Disorders/blood/pathology', 'Microscopy, Electron, Scanning/methods', 'Neoplasm Staging']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):573-81; discussion 582-9.,,,,,,,,,
8018939,NLM,MEDLINE,19940804,20071115,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,2-Chlorodeoxyadenosine: hairy cell leukemia takes a surprising turn.,559-68; discussion 569-72,"2-Chlorodeoxyadenosine (2CdA; Cladribine; Leustatin) was developed as a result of the discovery that the death of lymphocytes in hereditary adenosine deaminase deficiency was the result of the accumulation of deoxynucleotides, specifically in lymphocytes, because of their unique enzymatic profile. This deoxyadenosine analog was selected from 25 candidate compounds because it was resistant to deamination by ADA and because it had a favorable therapeutic index. The lymphoid specific action of this drug is a function of the high deoxycytidine kinase and low 5' nucleotidase activity of lymphocytes. The drug appears to trigger apoptosis, very likely by preventing the repair of nicks in double-stranded DNA. Accordingly, 2-CdA has been found effective against a variety of lymphoid neoplasms. Hairy cell leukemia has proved to be most sensitive to its action, with approximately 80% of patients achieving a complete, long-lasting remission after a single five- or seven-day infusion. 2-CdA also shows promise in the treatment of autoimmune disorders.","['Beutler, E', 'Carson, D A']","['Beutler E', 'Carson DA']","['Department of Molecular and Experimental Medicine, Scripps Research Institute, La Jolla, California 92037.']",['eng'],['RR00833/RR/NCRR NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Blood Cells,Blood cells,7513567,['146-77-0 (2-Chloroadenosine)'],IM,,"['2-Chloroadenosine/*therapeutic use', 'Apoptosis/drug effects', 'Humans', 'Leukemia/*drug therapy/pathology', 'Leukemia, Hairy Cell/*drug therapy/pathology', 'Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Lymphocytes/drug effects', 'Lymphoma/*drug therapy']",37,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):559-68; discussion 569-72.,,,,,,,,,
8018938,NLM,MEDLINE,19940804,20041117,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,History of concepts and dogmas.,549-53; discussion 554-8,"The history of 150 years of progression in our understanding of leukemia is the history of struggles against ignorance and struggles against dogma. Dogmas that have been subsequently refuted have existed in all aspects of research on leukemias: their classification, their evolution, and the requirements of successful therapy.","['Bernard, J']",['Bernard J'],"['Hopital de la Salpetriere, Paris, France.']",['eng'],,"['Historical Article', 'Journal Article']",United States,Blood Cells,Blood cells,7513567,,IM,,"['History, 19th Century', 'History, 20th Century', 'Humans', 'Leukemia/*classification/etiology/history/*therapy', '*Research']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):549-53; discussion 554-8.,,,,,,,,,
8018937,NLM,MEDLINE,19940804,20051116,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,Preconceived ideas in the classification of leukemia.,537-41; discussion 542-7,"General biological classifications have theoretical aims regarding the natural order of things. Classification in pathology has basic pragmatic aims regarding diagnosis, prognosis and treatment. In history, leukemia classifications were mainly (but not exclusively) based on classification of normal cells. Clinical data were introduced mainly secondarily. For a long time, no treatment was available. Two questions are asked: might classification of leukemia help to understand the disease's mechanisms; might better classification eliminate unclassifiable leukemias?","['Debru, C']",['Debru C'],"['C.N.R.S., Paris, France.']",['eng'],,"['Journal Article', 'Review']",United States,Blood Cells,Blood cells,7513567,,IM,,"['Erythrocytes/pathology', 'Humans', 'Leukemia/*classification/pathology/therapy', 'Monocytes/pathology', 'Reference Values']",14,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):537-41; discussion 542-7.,,,,,,,,,
8018936,NLM,MEDLINE,19940804,20161123,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,The history of leukemia: a personal perspective.,521-9; discussion 530-5,"A brief review of the history of human leukemia, first identified as a new disease in 1845, is given as a personal perspective related to the re-examination of dogmas surrounding the disease. The paper addresses the question of what kind of disease leukemia is, and how far the adherence to dogma has shaped the firm belief that leukemia is a malignancy.","['Piller, G']",['Piller G'],"['Institute of Child Health, University of London, UK.']",['eng'],,"['Historical Article', 'Journal Article', 'Review']",United States,Blood Cells,Blood cells,7513567,,IM,,"['Adult', 'Child', 'Female', 'France', 'History, 18th Century', 'History, 19th Century', 'History, 20th Century', 'Humans', 'Japan', 'Leukemia/*history/mortality/*therapy', 'Male', 'Middle Aged', 'United Kingdom']",29,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):521-9; discussion 530-5.,,,,,,,,,
8018935,NLM,MEDLINE,19940804,20181130,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,"Human leukemia: re-examination of dogmas. Symposium, May 19-21, 1993.",517-730,,,,,['eng'],,"['Congress', 'Overall']",United States,Blood Cells,Blood cells,7513567,,IM,,"['Humans', '*Leukemia']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):517-730.,,,,,,,,,
8018934,NLM,MEDLINE,19940804,20061115,0340-4684 (Print) 0340-4684 (Linking),19,3,1993,Human leukemia: re-examination of dogmas.,517-20,,"['Epstein, A']",['Epstein A'],,['eng'],,['Editorial'],United States,Blood Cells,Blood cells,7513567,,IM,,"['Avian Sarcoma Viruses', 'Burkitt Lymphoma/microbiology', 'Herpesvirus 4, Human', 'Humans', '*Leukemia/etiology/microbiology', '*Research']",,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1993;19(3):517-20.,,,,,,,,,
8018933,NLM,MEDLINE,19940804,20210216,0006-4971 (Print) 0006-4971 (Linking),84,1,1994 Jul 1,Hck expression correlates with granulocyte-macrophage colony-stimulating factor-induced proliferation in HL-60 cells.,94-103,"The human myeloid cell line HL-60 expresses approximately 300 high-affinity granulocyte-macrophage colony-stimulating factor receptors (GM-CSFRs), yet treatment of these cells with GM-CSF does not result in enhanced cellular proliferation or increases in protein tyrosine phosphorylation. In contrast, GM-CSF induces rapid increases in protein tyrosine phosphorylation and proliferative responses in HL-60 cells pretreated for 3 days in dimethyl sulfoxide (DMSO). Similarly, HL-60 cells pretreated with retinoic acid or 1,25 dihydroxyvitamin D3 were also capable of responding to GM-CSF. Interestingly, each of these treatments resulted in increased expression of the src-like tyrosine kinase hck. Stimulation with GM-CSF increased hck autophosphorylation in DMSO-treated HL-60 cells, suggesting that hck is a component of the GM-CSF signal transduction pathway. To determine if hck has a role in the DMSO-induced recoupling of the GM-CSFR, we overexpressed hck in HL-60 cells. The resulting cell line (HL-60/hck) expresses hck mRNA and protein at levels comparable with DMSO-treated HL-60 cells. Stimulation of HL-60/hck cells with GM-CSF results in activation of hck, increases in protein tyrosine phosphorylation, and increased proliferation. These results show that cytokine receptors can exist in an uncoupled form and suggest that in HL-60 cells, appropriate levels of the src-like tyrosine kinase hck are critical for functional coupling of the GM-CSFR to biologic responses.","['Linnekin, D', 'Howard, O M', 'Park, L', 'Farrar, W', 'Ferris, D', 'Longo, D L']","['Linnekin D', 'Howard OM', 'Park L', 'Farrar W', 'Ferris D', 'Longo DL']","['Laboratory of Leukocyte Biology, National Cancer Institute, Frederick Cancer Research and Development Center, MD.']",['eng'],,['Journal Article'],United States,Blood,Blood,7603509,"['0 (Proto-Oncogene Proteins)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Granulocyte-Macrophage Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (HCK protein, human)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-hck)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,,"['Cell Division/drug effects', 'Dimethyl Sulfoxide/pharmacology', 'Granulocyte-Macrophage Colony-Stimulating Factor/*pharmacology', 'Humans', 'Leukemia, Promyelocytic, Acute/metabolism/*pathology', 'Phosphorylation', 'Protein-Tyrosine Kinases/genetics/*physiology', 'Proto-Oncogene Proteins/genetics/*physiology', 'Proto-Oncogene Proteins c-hck', 'Receptors, Antigen, T-Cell/physiology', 'Receptors, Granulocyte-Macrophage Colony-Stimulating Factor/analysis', 'Signal Transduction', 'Transfection', 'Tumor Cells, Cultured']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['S0006-4971(20)78800-2 [pii]'],ppublish,Blood. 1994 Jul 1;84(1):94-103.,,,,,,,,,
8018932,NLM,MEDLINE,19940804,20210216,0006-4971 (Print) 0006-4971 (Linking),84,1,1994 Jul 1,Difference in response to colony-stimulating factors and involvement of protein kinase C signal transduction system in three subclones from the ME-1 cell line and two sublines.,84-93,"We previously established a cell line from a patient with acute myelomonocytic leukemia with eosinophilia (M4E0), ME-1. ME-1 cells are responsive to colony-stimulating factors (CSFs) such as interleukin-3 (IL-3), IL-4, and granulocyte-macrophage CSF (GM-CSF), and exhibit monocyte-macrophage differentiation. We isolated three subclones, ME-F1 from ME-1, and ME-F2 and ME-F3 from two sublines of ME-1. These subclones had different morphologic, cytochemical, phenotypic, and cytogenetic features. They represented different monocytic-lineage differentiation stages and exhibited different responses to IL-3, GM-CSF, and especially IL-4. IL-3, GM-CSF, and IL-4 enhanced proliferation and differentiation to macrophage-like cells in the ME-F1 subclone. However, they enhanced only proliferation of ME-F2 cells and only differentiation to macrophage-like cells in the ME-F3 subclone. To elucidate possible differences in signal transduction mechanisms in ME-F1, ME-F2, and ME-F3 cells following stimulation by CSFs, we studied the effects of IL-3 and IL-4 on protein kinase C (PKC) activity. Both IL-3 and IL-4 induced a rapid, transient decrease of cytosolic PKC in ME-F1 cells, but did not affect PKC activity in ME-F2 and ME-F3 cells. The PKC inhibitors, 1-(5-isoquinolinyl-sulfonyl)-2-methylpiperazine (H-7) and calphostin C inhibited IL-3-induced enhancement of proliferation and differentiation of ME-F1 cells, but did not inhibit enhancement of proliferation of ME-F2 cells and differentiation of ME-F3 cells. Our data suggest that PKC-dependent signal transduction is considerably related to IL-3-induced proliferation and differentiation of ME-F1 cells. In addition, it was demonstrated that the two subclones, ME-F2 and ME-F3, lost one of the two responses of ME-F1 cells to CSFs, either proliferation or differentiation, and simultaneously lost PKC-dependent response to CSFs.","['Yanagisawa, K', 'Sato, M', 'Horiuchi, T', 'Hasegawa, H', 'Fujita, S']","['Yanagisawa K', 'Sato M', 'Horiuchi T', 'Hasegawa H', 'Fujita S']","['First Department of Internal Medicine, School of Medicine, Ehime University, Japan.']",['eng'],,['Journal Article'],United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Interleukin-3)', '207137-56-2 (Interleukin-4)', 'EC 2.7.11.13 (Protein Kinase C)']",IM,,"['Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Chromosome Aberrations', 'Colony-Stimulating Factors/*pharmacology', 'Humans', 'Interleukin-3/pharmacology', 'Interleukin-4/pharmacology', 'Leukemia, Myelomonocytic, Acute/genetics/immunology/*pathology', 'Protein Kinase C/*physiology', '*Signal Transduction', 'Tumor Cells, Cultured']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['S0006-4971(20)78799-9 [pii]'],ppublish,Blood. 1994 Jul 1;84(1):84-93.,,,,,,,,,
8018923,NLM,MEDLINE,19940804,20210216,0006-4971 (Print) 0006-4971 (Linking),84,1,1994 Jul 1,Regulation of the expression of annexin VIII in acute promyelocytic leukemia.,279-86,"Annexin VIII is a calcium-dependent phospholipid-binding protein previously identified as a blood anticoagulant based on in vitro studies. However, the physiologic function of annexin VIII remains unknown. In acute promyelocytic leukemia (APL) the annexin VIII gene is highly expressed, but its expression is undetectable in the blasts of other acute leukemias. In the present investigation, we showed using the APL-derived NB4 cell line that expression of the annexin VIII gene is regulated at the transcription level during induced differentiation by all-trans retinoic acid (ATRA). The half-life of the annexin VIII mRNA is about 5 to 6 hours, as determined by using actinomycin D as a transcription inhibitor. Analysis of the expression of annexin VIII protein in NB4 cells and in APL samples showed a consistent expression of a predominant 36-kD protein and a weak 72-kD protein. After ATRA-induced differentiation of NB4 cells, the annexin VIII protein level reduced gradually, but a detectable level persisted even after 4 days of induction. Because annexin VIII mRNA becomes undetectable after 48 hours of ATRA induction, this result indicates that annexin VIII is a relatively stable protein. A multiple tissue Northern blot analysis was performed, and we found that annexin VIII is normally expressed in the placenta and the lung. Cellular localization of the annexin VIII protein was determined by immunofluorescence staining and subcellular fractionation. These results indicated that annexin VIII is predominantly localized to the plasma membrane. The annexin VIII is neither an extracellular protein nor associated with the cell surface suggesting that it does not play a role in blood coagulation in vivo. The plasma membrane localization and its property as a phospholipase inhibitor suggests that annexin VIII may have a role in the signal transduction pathway in the APL cells.","['Sarkar, A', 'Yang, P', 'Fan, Y H', 'Mu, Z M', 'Hauptmann, R', 'Adolf, G R', 'Stass, S A', 'Chang, K S']","['Sarkar A', 'Yang P', 'Fan YH', 'Mu ZM', 'Hauptmann R', 'Adolf GR', 'Stass SA', 'Chang KS']","['Molecular Hematopathology Program, University of Texas M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['CA-16672/CA/NCI NIH HHS/United States', 'CA-55577/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Annexins)', '5688UTC01R (Tretinoin)', 'EC 3.1.1.32 (Phospholipases A)']",IM,,"['Annexins/analysis/*genetics', 'Cell Differentiation/drug effects', '*Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Promyelocytic, Acute/*metabolism/pathology', 'Organ Specificity', 'Phospholipases A/physiology', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['S0006-4971(20)78822-1 [pii]'],ppublish,Blood. 1994 Jul 1;84(1):279-86.,,,,,,,,,
