PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,OAB,OABL,OTO,OT,GN
307428,NLM,MEDLINE,19780925,20141120,0008-5472 (Print) 0008-5472 (Linking),38,8,1978 Aug,Potentiation by 2'-deoxycoformycin of the inhibitory effect by 3'-deoxyadenosine (cordycepin) on nuclear RNA synthesis in L1210 cells in vitro.,2233-8,"The effect of the adenosine deaminase inhibitor, 2'-deoxycoformycin, on the inhibitory effect of cordycepin on nuclear RNA synthesis was examined in L1210 cells in vitro. The median inhibitory dose for the effect of deoxycoformycin on adenosine deaminase was 4 X 10(-8) M, and 100% inhibition was achieved at 5 X 10(-7) M. Pretreatment of cells for 30 min with 1 X 10(-6) M deoxycoformycin resulted in a reduction of the median inhibitory dose for cordycepin from 2.5 X 10(-4) to 1.8 X 10(-5) M, as assessed by the measurement of [3H]uridine incorporation into total RNA. Measurement of the synthesis of nuclear ribosomal RNA, nonpolyadenylic acid heterogeneous RNA, and polyadenylic acid heterogeneous RNA revealed potentiation by 2'-deoxycoformycin of the inhibitory effect of cordycepin on all species of RNA, as well as on polyadenylic acid synthesis. No differences were noted in the size of nuclear polyadenylic acid obtained from cells treated with cordycepin in either the presence or the absence of the adenosine deaminase inhibitor. These results suggest that the potentiation by 2'-deoxycoformycin of the cytotoxic and antitumor effects of cordycepin on L1210 cells in vivo is related to inhibition of nuclear RNA synthesis.","['Glazer, R I', 'Lott, T J', 'Peale, A L']","['Glazer RI', 'Lott TJ', 'Peale AL']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Adenosine Deaminase Inhibitors)', '0 (Azepines)', '0 (Deoxyadenosines)', '0 (Deoxyribonucleosides)', '0 (RNA, Neoplasm)', '0 (RNA, Ribosomal)', '24937-83-5 (Poly A)']",IM,"['Adenosine Deaminase Inhibitors', 'Animals', 'Azepines/*pharmacology', 'Cell Nucleus/metabolism', 'Deoxyadenosines/*pharmacology', 'Deoxyribonucleosides/*pharmacology', 'Drug Synergism', 'In Vitro Techniques', 'Leukemia L1210/*drug therapy/metabolism', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Poly A/biosynthesis', 'RNA, Neoplasm/*biosynthesis', 'RNA, Ribosomal/biosynthesis']",1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1978 Aug;38(8):2233-8.,,,,,,,,
307417,NLM,MEDLINE,19780929,20071115,0006-4971 (Print) 0006-4971 (Linking),52,2,1978 Aug,Marrow adherent cell colony-stimulating activity production in acute myeloid leukemia.,362-78,,"['Greenberg, P L', 'Mara, B', 'Heller, P']","['Greenberg PL', 'Mara B', 'Heller P']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Glycoproteins)']",IM,"['Cell Adhesion', 'Colony-Stimulating Factors/*biosynthesis', 'Glycoproteins/*biosynthesis', 'Granulocytes/physiology', 'Hematopoiesis', 'Hematopoietic Stem Cells/metabolism/*physiology', 'Humans', 'Leukemia, Myeloid, Acute/diagnosis/metabolism/*physiopathology', 'Macrophages/physiology', 'Monocytes/physiology', 'Prognosis']",1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",,ppublish,Blood. 1978 Aug;52(2):362-78.,,,,,,,,
307416,NLM,MEDLINE,19780929,20071115,0006-4971 (Print) 0006-4971 (Linking),52,2,1978 Aug,Ultrastructural study of acute lymphocytic leukemia: comparison with immunologic studies.,311-22,"Leukemic cells from 29 cases of acute lymphocytic leukemia (ALL), studied for T and B cell markers by the use of sheep erythrocyte rosetting and surface immunoglobulin determinations, were examined by electron microscopy. The majority of patients (76%) were found to have non-T, non-B neoplasms composed predominantly of relatively small, inactive-appearing cells with frequent nuclear folds. T cell cases (21%) were associated with mediastinal masses and were predominantly composed of large, active-appearing cells with nuclear irregularity and little rough endoplasmic reticulum. One case of B cell origin was not morphologically distinct from the non-T, non-B cell cases.","['Glick, A D', 'Vestal, B K', 'Flexner, J M', 'Collins, R D']","['Glick AD', 'Vestal BK', 'Flexner JM', 'Collins RD']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Adolescent', 'Adult', 'B-Lymphocytes/ultrastructure', 'Cell Nucleus/ultrastructure', 'Child', 'Child, Preschool', 'Endoplasmic Reticulum/ultrastructure', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/immunology/*ultrastructure', 'Male', 'Middle Aged', 'Polyribosomes/ultrastructure', 'Rosette Formation', 'T-Lymphocytes/ultrastructure']",1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",,ppublish,Blood. 1978 Aug;52(2):311-22.,,,,,,,,
307408,NLM,MEDLINE,19780925,20071115,0300-0893 (Print) 0300-0893 (Linking),28,2,1978 May,Isolation of glycosaminoglycans from lymphocytes in chronic lymphoic leukemia.,124-9,"Glycosaminoglycans were isolated from type B chronic lymphoid leukemia lymphocytes. Their studies showed chondroitin sulfate A (C) and under-sulfated chondroitin sulfate, no heparan sulfate was found. These results were confirmed with 12 other chronic lymphoid leukemia patients. By the same method polyanionic glycopeptides distinct from glycosaminoglycans were obtained from lymphocyte glycoproteins. They showed similarities in composition with known cell receptors. The largest part of chondroitin sulfate was liberated from cells by mild hydrolysis with trypsin and thus appeared to be a cell-surface component.","['Capeau, J', 'Picard, J', 'Paul-Gardais, A']","['Capeau J', 'Picard J', 'Paul-Gardais A']",['eng'],['Journal Article'],France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,"['0 (Glycosaminoglycans)', '0 (Sialoglycoproteins)', '9007-28-7 (Chondroitin Sulfates)', '9050-30-0 (Heparitin Sulfate)']",IM,"['B-Lymphocytes/*analysis', 'Cell Membrane/analysis', 'Chondroitin Sulfates/blood', 'Electrophoresis, Cellulose Acetate', 'Glycosaminoglycans/*blood', 'Heparitin Sulfate/blood', 'Humans', 'Leukemia, Lymphoid/*blood', 'Sialoglycoproteins/blood']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",,ppublish,Biomedicine. 1978 May;28(2):124-9.,,,,,,,,
307398,NLM,MEDLINE,19780925,20190704,0007-1048 (Print) 0007-1048 (Linking),39,1,1978 May,"Prolymphocytic leukaemia of T-cell type: immunological, enzymatic and ultrastructural morphometric characteristics.",9-15,"A case of prolymphocytic leukaemia with immunological characteristics of T-cell type is reported. Three noteworthy findings can be emphasized: the presence of C3 receptors on the T-prolymphocytes, the study of the acid-phosphatase isoenzymatic pattern, which showed an increased band 3 with absence of band 3b, and the morphometric ultrastructural investigation. Cytochemistry and ultrastructural morphometry may be useful for a more precise characterization of prolymphocytic leukaemia and help to distinguish it from other lymphoproliferative disorders.","['Woessner, S', 'Lafuente, R', 'Sans-Sabrafen, J', 'Vives, J', 'Rozman, C']","['Woessner S', 'Lafuente R', 'Sans-Sabrafen J', 'Vives J', 'Rozman C']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Isoenzymes)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/metabolism', 'Aged', 'Female', 'Humans', 'Isoenzymes/metabolism', 'Leukemia, Lymphoid/enzymology/*immunology/ultrastructure', 'T-Lymphocytes/immunology/*ultrastructure']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1978.tb07122.x [doi]'],ppublish,Br J Haematol. 1978 May;39(1):9-15. doi: 10.1111/j.1365-2141.1978.tb07122.x.,,,,,,,,
307384,NLM,MEDLINE,19780828,20190612,0006-291X (Print) 0006-291X (Linking),81,2,1978 Mar 30,Cordycepin and xylosyladenine: inhibitors of methylation of nuclear RNA.,521-6,,"['Glazer, R I', 'Peale, A L']","['Glazer RI', 'Peale AL']",['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Deoxyadenosines)', '0 (RNA, Neoplasm)', 'A1TA934AKO (Xylose)', 'K72T3FS567 (Adenosine)']",IM,"['Adenosine/*analogs & derivatives/pharmacology', 'Animals', 'Cell Nucleus/drug effects/*metabolism', 'Deoxyadenosines/*pharmacology', 'Leukemia L1210/metabolism', 'Methylation', 'Mice', 'RNA, Neoplasm/*metabolism', 'Xylose/analogs & derivatives']",1978/03/30 00:00,1978/03/30 00:01,['1978/03/30 00:00'],"['1978/03/30 00:00 [pubmed]', '1978/03/30 00:01 [medline]', '1978/03/30 00:00 [entrez]']","['0006-291X(78)91565-6 [pii]', '10.1016/0006-291x(78)91565-6 [doi]']",ppublish,Biochem Biophys Res Commun. 1978 Mar 30;81(2):521-6. doi: 10.1016/0006-291x(78)91565-6.,,,,,,,,
307199,NLM,MEDLINE,19780901,20071115,0026-4806 (Print) 0026-4806 (Linking),69,18,1978 Apr 14,[Use of thymus hormone in the demonstration of acute T-null cell lymphocytic leukemia].,1275-80,"The Authors studied the effect of the human serum thymic factor on the peripheral-blood leukocytes from ALL patients, by testing the frequency of the E+cells by means of the e rosette assay before and after cell incubation with the above mentioned factor. In 3 out of 24 patients tested, the thymic factor incubation of peripheral-blood mononuclears increased the number of E+cells. The shift from R to E+cells caused by the human serum thymic factor occurred among null cells (E-, SM-Ig-). The possible value of the test in investigating whether a T0 leukemia might really exists is pointed out, as well as its prospective importance in monitoring the variations of the immature T cell counts in relationship to the patient's treatment and his disease course.","['Ozger Topuz, U', 'Astaldi, G', 'Cavdar, A']","['Ozger Topuz U', 'Astaldi G', 'Cavdar A']",['ita'],"['English Abstract', 'Journal Article']",Italy,Minerva Med,Minerva medica,0400732,['0 (Thymus Hormones)'],IM,"['Adult', 'Child', 'Female', 'Hematopoietic Stem Cells/cytology', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Male', 'Rosette Formation', 'T-Lymphocytes/*immunology', 'Thymus Hormones/*immunology']",1978/04/14 00:00,1978/04/14 00:01,['1978/04/14 00:00'],"['1978/04/14 00:00 [pubmed]', '1978/04/14 00:01 [medline]', '1978/04/14 00:00 [entrez]']",,ppublish,Minerva Med. 1978 Apr 14;69(18):1275-80.,,L'impiego dell'ormone timico nel riconoscimento della leucemia linfocitica acuta (LLA) a cellule T0.,,,,,,
307162,NLM,MEDLINE,19780901,20061115,0341-3098 (Print) 0341-3098 (Linking),120,26,1978 Jun 30,[Immune defects as a cause of septic complications in leukemias and malignant lymphomas (author's transl)].,891-4,"Septicemias, especially those due to gram-negative pathogens, frequently occur in leukemias, malignant lymphomas and other malignant or metabolic diseases leading to inanition. The causes are disturbances of cellular defense and humoral immune defects. The immune reaction can be affected by disordered antibody function. In addition to a disturbance of leukocyte function due to reduction of granulocytes (granulocytopenia) disturbances of leukocyte function also occur with a normal cell count (granulocytopathy) especially under cytostatic therapy. Besides specific antibiotic therapy it is important to improve the defense position of the organism by treating the primary disease and to assess the disordered immune status correctly.","['Hennemann, H H']",['Hennemann HH'],['ger'],"['English Abstract', 'Journal Article']",Germany,MMW Munch Med Wochenschr,"MMW, Munchener medizinische Wochenschrift",7801805,['0 (Immunosuppressive Agents)'],IM,"['Antibody Formation', 'Humans', 'Immunologic Deficiency Syndromes/chemically induced/*complications', 'Immunosuppressive Agents/adverse effects', 'Leukemia/*complications', 'Leukocytes/immunology', 'Lymphoma/*complications', 'Sepsis/*etiology']",1978/06/30 00:00,1978/06/30 00:01,['1978/06/30 00:00'],"['1978/06/30 00:00 [pubmed]', '1978/06/30 00:01 [medline]', '1978/06/30 00:00 [entrez]']",,ppublish,MMW Munch Med Wochenschr. 1978 Jun 30;120(26):891-4.,,Immundefekte bei Leukamien und malignen Lymphomen als Ursache septischer Komplikationen.,,,,,,
307114,NLM,MEDLINE,19780828,20140729,,126,6,1978 Jun,[Unusual skeletal changes in acute lymphoblastic leukemia in children (author's transl)].,401-4,"During the early phase of their disease three children with acute lymphoblastic leukemia showed unusual skeletal changes radiologically. Mainly osteolysis in the lower jaw, opacity of the sinus, decreased hight of the vertebrae, and a unilateral necrosis of the head of the femur. These skeletal alterations are much more common in other diseases than in acute lymphoblastic leukemia.","['Ludwig, R', 'Oppermann, H C', 'Geiger, H', 'Willich, E']","['Ludwig R', 'Oppermann HC', 'Geiger H', 'Willich E']",['ger'],"['English Abstract', 'Journal Article']",Germany,Monatsschr Kinderheilkd,Monatsschrift fur Kinderheilkunde,0400751,,IM,"['Bone Diseases/*etiology', 'Bone Neoplasms/diagnosis', 'Child', 'Diagnosis, Differential', 'Female', 'Femur Head Necrosis/etiology', 'Histiocytosis, Langerhans-Cell/etiology', 'Humans', 'Leukemia, Lymphoid/*complications/diagnosis', 'Mandibular Diseases/etiology', 'Neuroblastoma/diagnosis', 'Osteolysis/etiology']",1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",,ppublish,Monatsschr Kinderheilkd. 1978 Jun;126(6):401-4.,,Ungewohnliche Skeletveranderungen bei akuter lymphoblastischer Leukamie im Kindesalter.,,,,,,
307037,NLM,MEDLINE,19780814,20131121,0021-4671 (Print) 0021-4671 (Linking),13,2,1978 Apr 20,High-dose methotrexat therapy of childhood cancer--observations relating to clinical toxicity.,118-25,,"['Fujimoto, T', 'Sasaki, K', 'Goya, N']","['Fujimoto T', 'Sasaki K', 'Goya N']",['eng'],['Journal Article'],Japan,Nihon Gan Chiryo Gakkai Shi,Nihon Gan Chiryo Gakkai shi,7505713,"['Q573I9DVLP (Leucovorin)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Drug Administration Schedule', 'Humans', 'Infant', 'Leucovorin/administration & dosage', 'Leukemia/*drug therapy', 'Lymphoma/*drug therapy', 'Methotrexate/administration & dosage/therapeutic use/*toxicity', 'Neuroblastoma/*drug therapy']",1978/04/20 00:00,1978/04/20 00:01,['1978/04/20 00:00'],"['1978/04/20 00:00 [pubmed]', '1978/04/20 00:01 [medline]', '1978/04/20 00:00 [entrez]']",,ppublish,Nihon Gan Chiryo Gakkai Shi. 1978 Apr 20;13(2):118-25.,,,,,,,,
306907,NLM,MEDLINE,19780828,20211203,0090-1229 (Print) 0090-1229 (Linking),10,1,1978 May,Effect of adult T-cell leukemia cells on pokeweed mitogen-induced normal B-cell differentiation.,24-34,,"['Uchiyama, T', 'Sagawa, K', 'Takatsuki, K', 'Uchino, H']","['Uchiyama T', 'Sagawa K', 'Takatsuki K', 'Uchino H']",['eng'],['Journal Article'],United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,['0 (Lectins)'],IM,"['B-Lymphocytes/*cytology', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'Humans', 'Immunosuppression Therapy', 'Lectins/*pharmacology', 'Leukemia/immunology', '*Lymphocyte Activation', 'T-Lymphocytes/*immunology']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",['10.1016/0090-1229(78)90005-3 [doi]'],ppublish,Clin Immunol Immunopathol. 1978 May;10(1):24-34. doi: 10.1016/0090-1229(78)90005-3.,,,,,,,,
306904,NLM,MEDLINE,19780814,20181113,0009-9104 (Print) 0009-9104 (Linking),31,3,1978 Mar,Acute lymphoblastic leukaemia of the B-cell type refractory to intensive chemotherapy.,448-55,"Four patients, aged 15-50, with acute lymphoblastic leukaemia (ALL) shown to be of the B-cell type, since they formed rosettes with complement-coated sheep erythrocytes (EAC) and had lymphocytes bearing IgA on the cell surface. Clinically, they had massive leukaemic infiltration associated with hepatosplenomegaly and were extremely resistant to multiple, conventional chemotherapy, as demonstrated by prolonged therapy to achieve a remission or a short-term remission. The surface characteristics of the lymphoblasts in the circulating blood seemed to remain unchanged throughout the course of the leukaemia, despite intensive chemotherapy. The evaluation of surface markers on leukaemic cells might give better information for a forecast of the prognosis of the disease.","['Kawashima, K', 'Morishima, Y', 'Kato, Y', 'Takeyama, H', 'Kobayashi, M', 'Suzuki, K', 'Ueda, R', 'Yamada, K', 'Naito, K', 'Yoshikawa, S', 'Sako, F']","['Kawashima K', 'Morishima Y', 'Kato Y', 'Takeyama H', 'Kobayashi M', 'Suzuki K', 'Ueda R', 'Yamada K', 'Naito K', 'Yoshikawa S', 'Sako F']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Antineoplastic Agents)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use', 'B-Lymphocytes/*immunology', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy/immunology', 'Male', 'Middle Aged', 'Prognosis', 'Receptors, Antigen, B-Cell/analysis', 'Rosette Formation', 'T-Lymphocytes/immunology']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1978 Mar;31(3):448-55.,PMC1541257,,,,,,,
306902,NLM,MEDLINE,19780814,20141105,0045-7167 (Print) 0045-7167 (Linking),26,4,1978 Apr,[Adult type T-cell leukemia with fatal hypercalcemic crisis--a case study].,383-6,,"['Chiba, T', 'Kondo, T', 'Yamazoi, A', 'Fukami, T', 'Konagawa, A']","['Chiba T', 'Kondo T', 'Yamazoi A', 'Fukami T', 'Konagawa A']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Horumon To Rinsho,Horumon to rinsho. Clinical endocrinology,0420561,,IM,"['Aged', 'Humans', 'Hypercalcemia/*complications', 'Hyperparathyroidism/*complications', 'Leukemia, Lymphoid/*complications', 'Male', 'T-Lymphocytes']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",,ppublish,Horumon To Rinsho. 1978 Apr;26(4):383-6.,,,,,,,,
306852,NLM,MEDLINE,19780828,20190902,0006-5242 (Print) 0006-5242 (Linking),36,6,1978 Jun 20,"[T-cell-antigen positive, E-rosette negative acute lymphoblastic leukaemia (author's transl)].",363-9,"The lymphoblasts from 100 patients with acute lymphocytic leukaemia were investigated for the expression of receptors for sheep erythrocytes (E) and of a specific heterologous T cell antigen (T). In 17 cases, both T cell markers were expressed simultaneously on the leukaemic cells. In 13 cases only T antigens could be demonstrated on the lymphoblasts. A quantitative analysis of T antigens by immunoautoradiography revealed that the T expression of E-T+ -lymphoblasts was in general like that of E+T+-lymphocytes in the blood of normal persons, in several cases even higher. Therefore, the failure of E-rosette formation cannot be correlated to a decrease of the other T cell differentiation marker. In 7 out of 9 tested cases, a strong acid phosphatase reaction product located paranuclearly could be demonstrated. Complement-receptors were expressed in 3 of 5 cases which were also demonstrated in some cases of the E+T+-ALL group. The latter group was characterized by a T antigen expression like that of thymocytes. 4 cases of the E-T+ALL group were adults. Since the leukaemia cells of 2 cases were negative for acid phosphatase, PAS and all surface markers including cALL antigen, the T antigen can classify undifferentiated and otherwise unclassificable leukaemias. The clinical signigicance of the E-T+-ALL seems to be important since 5 out of 9 children with this type of ALL died soon after diagnosis.","['Thiel, E', 'Rodt, H', 'Netzel, D', 'Huhn, D', 'Wundisch, G F', 'Hass, R J', 'Bender-Gotze, C', 'Thierfelder, S']","['Thiel E', 'Rodt H', 'Netzel D', 'Huhn D', 'Wundisch GF', 'Hass RJ', 'Bender-Gotze C', 'Thierfelder S']",['ger'],"['English Abstract', 'Journal Article']",Germany,Blut,Blut,0173401,"['0 (Antigens, Neoplasm)', '0 (Complement C3)', '0 (Receptors, Drug)']",IM,"['Adult', 'Aged', 'Antigens, Neoplasm/analysis', 'Child', 'Child, Preschool', 'Complement C3/analysis', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*immunology', 'Male', 'Receptors, Drug', 'Rosette Formation', 'T-Lymphocytes/*immunology']",1978/06/20 00:00,1978/06/20 00:01,['1978/06/20 00:00'],"['1978/06/20 00:00 [pubmed]', '1978/06/20 00:01 [medline]', '1978/06/20 00:00 [entrez]']",['10.1007/BF01000595 [doi]'],ppublish,Blut. 1978 Jun 20;36(6):363-9. doi: 10.1007/BF01000595.,,"T-Zell-Antigen positive, E-Rosetten negative akute Lymphoblastenleukamie.",,,,,,
306849,NLM,MEDLINE,19780814,20190902,0006-5242 (Print) 0006-5242 (Linking),36,5,1978 May 18,Comparison of enzyme-cytochemical findings and immunological marker investigations in acute lymphatic leukemia (ALL).,299-305,"APh-activity and PAS-positive deposits were studied in 50 cases of ALL, classified as T-ALL and O-ALL according to immunological marker investigations. Correlation between morphological features of the cells and APh and PAS reactions, as well as between morphology and immunological markers was not detected. APh-activity in general was stronger in T-ALL (R+ and R-), while PAS-content was more pronounced in O-ALL. The results suggest that cytochemical methods, especially APh and PAS reaction, are valuable to distinguish T-ALL from O-ALL but not reliable enough to replace immunological marker investigations.","['Andreewa, P', 'Huhn, D', 'Thiel, E', 'Rodt, H']","['Andreewa P', 'Huhn D', 'Thiel E', 'Rodt H']",['eng'],"['Comparative Study', 'Journal Article']",Germany,Blut,Blut,0173401,['EC 3.1.3.2 (Acid Phosphatase)'],IM,"['Acid Phosphatase/blood', 'Adolescent', 'Adult', 'Aged', 'B-Lymphocytes', 'Cell Membrane', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/enzymology/*immunology', 'Middle Aged', 'Periodic Acid-Schiff Reaction', 'T-Lymphocytes']",1978/05/18 00:00,1978/05/18 00:01,['1978/05/18 00:00'],"['1978/05/18 00:00 [pubmed]', '1978/05/18 00:01 [medline]', '1978/05/18 00:00 [entrez]']",['10.1007/BF01880680 [doi]'],ppublish,Blut. 1978 May 18;36(5):299-305. doi: 10.1007/BF01880680.,,,,,,,,
306845,NLM,MEDLINE,19780814,20211203,0006-4971 (Print) 0006-4971 (Linking),52,1,1978 Jul,T cell chronic lymphocytic leukemia: presence in bone marrow and peripheral blood of cells that suppress erythropoiesis in vitro.,255-60,"The pathogenesis of the anemia associated with malignancy was investigated in a patient with T cell chronic lymphocytic leukemia. The plasma clot culture system was used as a measure in vitro of erythropoiesis. The patient's peripheral blood and marrow T lymphocytes obtained both before and after transfusion therapy suppressed erythroid colony formation by normal human bone marrow cells. Pretreatment of the patient's bone marrow T cells by antithymocyte globulin (ATG) and complement reversed this suppression. In addition, pretreatment of the patient's marrow cells with ATG and complement markedly augmented erythropoiesis in vitro. The expression of erythroid activity caused by the selective destruction of the suppressor T lymphocytes in the patient's bone marrow with ATG and the suppression of normal erythropoiesis by the patient's bone marrow and peripheral blood lymphocytes suggest that interaction between the malignant T cell and the erythropoietin-responsive stem cell is important in production of anemia in this patient.","['Hoffman, R', 'Kopel, S', 'Hsu, S D', 'Dainiak, N', 'Zanjani, E D']","['Hoffman R', 'Kopel S', 'Hsu SD', 'Dainiak N', 'Zanjani ED']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Anti-Idiotypic)']",IM,"['Aged', 'Antibodies, Anti-Idiotypic', 'Bone Marrow/*immunology', 'Bone Marrow Cells', 'Cells, Cultured', '*Erythropoiesis', 'Humans', '*Immunosuppression Therapy', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/immunology', 'Male', 'Rosette Formation', 'T-Lymphocytes/*immunology']",1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",['S0006-4971(20)68318-5 [pii]'],ppublish,Blood. 1978 Jul;52(1):255-60.,,,,,,,,
306844,NLM,MEDLINE,19780814,20210216,0006-4971 (Print) 0006-4971 (Linking),52,1,1978 Jul,Clinical and cell surface marker characterization of the early phase of chronic lymphocytic leukemia.,25-35,"The immunologic surface markers on lymphocytes and clinical characteristics of 35 patients with established (stages 0-4) CLL with absolute lymphocyte counts greater than 15,000/cu mm were compared to those of a group of 25 patients with CLL in an early or preleukemic phase (counts of less than 15,000/cu mm). We found a monoclonal B cell proliferation in most cases in the latter group, in spite of the paucity of clinical and laboratory findings. Furthermore, early CLL can readily be distinguished from benign lymphocytosis by surface marker criteria. In untreated CLL, surface marker characteristics are stable with time and predominantly reflect expansion of clones expressing only B cell markers; however, small increase of blood T cells are often seen. Surface markers are a simple and clinically useful tool for definding and characterizing the preleukemic phase of CLL and its ultimate progression to established CLL.","['Rudders, R A', 'Howard, J P']","['Rudders RA', 'Howard JP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Receptors, Antigen, B-Cell)']",IM,"['Adult', 'Aged', 'B-Lymphocytes/immunology', 'Female', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Leukocyte Count', 'Lymphocytes', 'Lymphocytosis/immunology', 'Male', 'Middle Aged', '*Receptors, Antigen, B-Cell', 'Time Factors']",1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",['S0006-4971(20)68294-5 [pii]'],ppublish,Blood. 1978 Jul;52(1):25-35.,,,,,,,,
