PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,GS,RF,GR,CIN,PMC,CON,SI,EIN,RIN,OID,PS,FPS
2245400,NLM,MEDLINE,19910107,20190619,0008-543X (Print) 0008-543X (Linking),66,11,1990 Dec 1,Abnormal vitamin B6 status in childhood leukemia.,2421-8,"Vitamin B6 is involved in many biological processes of potential relevance to carcinogenesis and tumor growth, including DNA synthesis and maintenance of immunocompetence, yet very little information exists on B6 nutritional status in childhood leukemia. Using a radioenzymatic assay, the authors measured plasma pyridoxal 5'-phosphate (PLP), the biologically active form of B6, in 11 newly diagnosed untreated children with leukemia and 11 age-matched controls. The children with leukemia had significantly lower PLP levels than the controls. In 26 additional leukemia patients and 26 additional controls, a high-performance liquid chromatography assay also demonstrated lower plasma PLP levels in childhood leukemia compared with controls. These differences were significant for both acute lymphoblastic leukemia (ALL) and for acute nonlymphoblastic leukemia (ANLL). The PLP values did not correlate with indices of leukemia cell burden, but did correlate with reported B6 intake, suggesting that illness-related diet changes are at least partially responsible for the low PLP levels. Before any chemotherapy, overall nutritional status was suboptimal in 53% of ALL cases and 57% of ANLL cases. Newly diagnosed children with leukemia have suboptimal overall nutrition as well as suboptimal vitamin B6 status.","['Pais, R C', 'Vanous, E', 'Hollins, B', 'Faraj, B A', 'Davis, R', 'Camp, V M', 'Ragab, A H']","['Pais RC', 'Vanous E', 'Hollins B', 'Faraj BA', 'Davis R', 'Camp VM', 'Ragab AH']","['Department of Pediatrics (Division of Hematology/Oncology), Emory University School of Medicine, Atlanta, GA 30322.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cancer,Cancer,0374236,"['0 (Prealbumin)', '5V5IOJ8338 (Pyridoxal Phosphate)', 'KV2JZ1BI6Z (Pyridoxine)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Chromatography, High Pressure Liquid', 'Female', 'Humans', 'Male', 'Nutritional Status', 'Pilot Projects', 'Prealbumin/metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood', 'Pyridoxal Phosphate/*blood', 'Pyridoxine/*administration & dosage']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Cancer. 1990 Dec 1;66(11):2421-8. doi: 10.1002/1097-0142(19901201)66:11<2421::aid-cncr2820661130>3.0.co;2-m.,['10.1002/1097-0142(19901201)66:11<2421::aid-cncr2820661130>3.0.co;2-m [doi]'],,,54,['CA20549/CA/NCI NIH HHS/United States'],,,,,,,,,
2245393,NLM,MEDLINE,19910107,20190619,0008-543X (Print) 0008-543X (Linking),66,11,1990 Dec 1,"Comparative study of cutaneous T-cell lymphoma and adult T-cell leukemia/lymphoma. Clinical, histopathologic, and immunohistochemical analyses.",2380-6,"An important disease entity distinct from cutaneous T-cell lymphoma (CTCL) in Japan is adult T-cell leukemia/lymphoma (ATL), which usually shows the same phenotype as CTCL, i.e., a helper/inducer T-cell phenotype (CD4+CD8-), and usually involves the skin. Clinically, both CTCL and ATL are heterogeneous in nature. In this study, we demonstrated differences between CTCL and ATL in terms of clinical and immunopathologic cell surface features. In patients with ATL, the predominant clinical findings were peripheral lymph node involvement, skin lesions, hepatosplenomegaly, leukemic manifestations, and an aggressive course. In patients with CTCL, by contrast, only skin lesions predominated at the onset of the disease and a relatively good prognosis was demonstrated. Phenotypic heterogeneity of ATL in the skin, i.e., CD4-CD8-, CD4+CD8-, and CD4-CD8+, was demonstrated. Expression of Leu8, CD7 (Leu9), and CD45RA (2H4) was high in both the skin-infiltrating ATL cells and peripheral blood and lymph node ATL cells compared with that in the skin-infiltrating CTCL cells. Expression of CD25 (IL-2R), CD71 (OKT9), HLA-DR, and HLA-DQ was higher in the skin-infiltrating ATL cells than in CTCL cells. Expression of CD29 (4B4) was high, and that of CD45RA (2H4) was low in both the skin-infiltrating ATL and CTCL cells compared with the peripheral blood and lymph node ATL cells. Expression of CD45RO (UCHL-1) was not significantly high in the skin-infiltrating CTCL cells compared with that in ATL cells. The most significant phenotypic difference between ATL cells and CTCL cells was the expression of Leu8 (lymph node homing receptor), CD7 and CD25 antigens on the cell surface, and the main phenotypic difference between skin-infiltrating ATL and CTCL cells and peripheral blood and lymph node ATL cells was the expression of CD29 and CD45RA. These findings confirm that the difference in antigen expression on the cell surface might reflect the clinical features of ATL and CTCL, and suggest that the predominant phenotype of peripheral blood and lymph node ATL cells is that of naive, relatively immature or activated T-cells, and that CTCL cells are previously activated (memory) T-cells. In other words, CTCL cells do not share the same origin as ATL cells. These observations support the concept that ATL is a disease distinct from CTCL.","['Nagatani, T', 'Matsuzaki, T', 'Iemoto, G', 'Kim, S', 'Baba, N', 'Miyamoto, H', 'Nakajima, H']","['Nagatani T', 'Matsuzaki T', 'Iemoto G', 'Kim S', 'Baba N', 'Miyamoto H', 'Nakajima H']","['Department of Dermatology, Yokohama City University School of Medicine, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cancer,Cancer,0374236,"['0 (Antigens, CD)', '0 (Antigens, Surface)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD/analysis', 'Antigens, Surface/analysis', 'Female', 'Humans', 'Immunohistochemistry', 'Leukemia, T-Cell/mortality/*pathology', 'Leukemia-Lymphoma, Adult T-Cell/mortality/*pathology', 'Lymphoma, T-Cell, Cutaneous/mortality/*pathology', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Phenotype', 'Survival Rate']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Cancer. 1990 Dec 1;66(11):2380-6. doi: 10.1002/1097-0142(19901201)66:11<2380::aid-cncr2820661122>3.0.co;2-h.,['10.1002/1097-0142(19901201)66:11<2380::aid-cncr2820661122>3.0.co;2-h [doi]'],,,34,,,,,,,,,,
2245255,NLM,MEDLINE,19910107,20191029,0268-960X (Print) 0268-960X (Linking),4,3,1990 Sep,Effects of chemotherapy on fertility.,187-95,"Over recent years radical improvements in the treatment of malignant disease have resulted in the cure of patients in or approaching reproductive age, and with that cure, the effects on gonadal function have become apparent. Gonadal failure is particularly important in Hodgkin's disease, germ cell tumours, choriocarcinoma, and leukaemia, diseases of young people which are largely curable. Premature ovarian and testicular failure are easily missed by doctors concerned primarily with the erradication or arrest of a life-threatening disease, but for the patient the hormonal, psychological and social sequelae of treatment may be devastating. In this article we review the effects of chemotherapy on gonadal function and discuss the management of gonadal failure.","['Barton, C', 'Waxman, J']","['Barton C', 'Waxman J']","['Department of Clinical Oncology, Hammersmith Hospital, London, UK.']",['eng'],"['Journal Article', 'Review']",England,Blood Rev,Blood reviews,8708558,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Female', 'Fertility/*drug effects', 'Humans', 'Male']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Blood Rev. 1990 Sep;4(3):187-95. doi: 10.1016/0268-960x(90)90047-v.,"['0268-960X(90)90047-V [pii]', '10.1016/0268-960x(90)90047-v [doi]']",,,127,,,,,,,,,,
2245253,NLM,MEDLINE,19910107,20191029,0268-960X (Print) 0268-960X (Linking),4,3,1990 Sep,The current status of interferon alpha in haemic malignancy.,175-80,"Interferon-alpha (IFN alpha) has been extensively studied, both in clinical trials and in the laboratory. The cytokine has proved most effective in haemic malignancy, in particular hairy cell and chronic granulocytic leukaemia. This article deals with the current status of IFN alpha in these conditions and the possible basis of this sensitivity. Other less responsive haemic malignancies are also discussed.","['Galvani, D W', 'Cawley, J C']","['Galvani DW', 'Cawley JC']","['University Department of Haematology, Royal Liverpool Hospital, UK.']",['eng'],"['Journal Article', 'Review']",England,Blood Rev,Blood reviews,8708558,['0 (Interferon Type I)'],IM,"['Humans', 'Interferon Type I/adverse effects/*therapeutic use', 'Leukemia, Hairy Cell/*therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Blood Rev. 1990 Sep;4(3):175-80. doi: 10.1016/0268-960x(90)90045-t.,"['0268-960X(90)90045-T [pii]', '10.1016/0268-960x(90)90045-t [doi]']",,,49,,,,,,,,,,
2245252,NLM,MEDLINE,19910107,20191029,0268-960X (Print) 0268-960X (Linking),4,3,1990 Sep,Immunoregulatory cell dysfunction in chronic B-cell leukemias.,165-74,"Chronic B-cell malignancies are routinely characterized as B-cell clonal diseases that have signs and symptoms primarily related to the continuing expansion of these cells. This review discusses chronic lymphocytic leukemia, multiple myeloma and hairy cell leukemia from the perspective of secondary abnormalities in non-malignant cells. Thus, our main purpose is to elaborate on the alterations/abnormalities of the immunoregulatory (IR) cells in these diseases and focus on the qualitative and quantitative aspects of T-cells, natural killer (NK) cells and monocytes. The relevance of the IR-cell changes to the basic disease process and their complications are emphasized.","['Zaknoen, S L', 'Kay, N E']","['Zaknoen SL', 'Kay NE']","['Department of Medicine, University of Minnesota.']",['eng'],"['Journal Article', 'Review']",England,Blood Rev,Blood reviews,8708558,"['0 (Receptors, Interleukin-3)']",IM,"['Humans', 'Leukemia, Hairy Cell/immunology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Multiple Myeloma/immunology', 'Receptors, Interleukin-3/blood', 'T-Lymphocytes/*immunology']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Blood Rev. 1990 Sep;4(3):165-74. doi: 10.1016/0268-960x(90)90044-s.,"['0268-960X(90)90044-S [pii]', '10.1016/0268-960x(90)90044-s [doi]']",,,123,,,,,,,,,,
2245187,NLM,MEDLINE,19910108,20190503,0007-1072 (Print) 0007-1072 (Linking),47,11,1990 Nov,A cohort mortality study and a case-control study of workers potentially exposed to styrene in the reinforced plastics and composites industry.,753-62,"The cohort consisted of 15,908 men and women who worked for at least six months between 1948 and 1977 in 30 participating manufacturing plants in the reinforced plastics and composites industry. These workers were occupationally exposed to the working environment in the industry, which included exposure to styrene. Cause specific mortality analyses were performed based on the standardised mortality ratio (SMR) with the United States population as a comparison. No significant excess of cause specific mortality was found for the total cohort. Mortality from cancer was slightly less than expected (SMR = 88.1). For cancer of the respiratory system, a small non-significant excess was detected (SMR = 116.1). For lymphatic and haematopoietic cancer, a non-significant deficit was found (SMR = 73.3). The observed mortality from leukaemia was similar to that expected (five observed v 4.76 expected deaths). The plants with hot processes (injection moulding, centrifugal casting, compression moulding, continuous lamination, and pultrusion) experienced a significantly increased SMR (177.9) for respiratory cancer, which was more than twice that (78.3) for those with cold processes (resin mixing, lay up and spray up, bag moulding, and filament winding). As potential exposure to styrene from hot processes is considerably less than that from the cold processes, this finding could not be attributed to occupational exposures. A subsequent nested case-control study consisting of 40 cases of deaths from respiratory cancer was conducted. Further information on detailed work history, occupational exposures, and smoking history was collected. The case-control study did not show any significant association between respiratory cancer and direct exposure to styrene (contained in polyester resins), duration of exposure to styrene, the type of process (hot or cold), or whether a resin was used. A statistically significant association (relative risk = 7.33) was found between cigarette smoking and respiratory cancer among the study subjects.","['Wong, O']",['Wong O'],"['ENSR Health Sciences, Alameda, CA 94501.']",['eng'],['Journal Article'],England,Br J Ind Med,British journal of industrial medicine,0370637,"['0 (Plastics)', '0 (Styrenes)']",IM,"['Case-Control Studies', 'Cause of Death', '*Chemical Industry', 'Cohort Studies', 'Female', 'Humans', 'Leukemia/mortality', 'Male', 'Neoplasms/*mortality', 'Occupational Diseases/*mortality', '*Occupational Exposure', 'Plastics/*adverse effects', 'Respiratory Tract Neoplasms/mortality', 'Risk Factors', 'Styrenes/*adverse effects', 'Time Factors']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Br J Ind Med. 1990 Nov;47(11):753-62. doi: 10.1136/oem.47.11.753.,['10.1136/oem.47.11.753 [doi]'],,,,,['Br J Ind Med. 1991 Aug;48(8):575-6. PMID: 1878316'],PMC1035266,,,,,,,
2245185,NLM,MEDLINE,19910108,20190503,0007-1072 (Print) 0007-1072 (Linking),47,11,1990 Nov,Cancer risks in painters: study based on the New Zealand Cancer Registry.,742-6,"Painters are exposed to a range of complex chemical mixtures which include organic solvents and dye products with known carcinogenic and mutagenic potential. Trade painters or those manufacturing paints and coatings have increased rates of non-malignant diseases and cancers; including lung cancer, acute leukaemia, bladder cancer, and cancers of the oesophagus, larynx, biliary system, liver, skin, and large bowel. A series of case-control studies of painters, based on the New Zealand Cancer Registry, are presented. These concerned 19,904 male patients registered for the period 1980-4 who were aged 20 or older at the time of registration. For each cancer site studied, the registrants for all other cancer sites formed the control group. Three cancer sites were associated with work as a painter--namely, bladder tumours (odds ratio (OR) 1.52, 95% confidence interval (95% CI) 1.00-2.31), kidney and other urothelial tumours (OR 1.45, 95% CI 0.85-2.50), and multiple myeloma (OR 1.95, 95%, CI 1.05-3.65). Risks for multiple myeloma were greater among car or spray painters and signwriters (OR 2.81) compared with construction and general painters (OR 1.80). No increased risk was found for leukaemia or for respiratory, biliary, skin, or gastrointestinal cancers.","['Bethwaite, P B', 'Pearce, N', 'Fraser, J']","['Bethwaite PB', 'Pearce N', 'Fraser J']","['Department of Community Health, Wellington School of Medicine, New Zealand.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Ind Med,British journal of industrial medicine,0370637,['0 (Solvents)'],IM,"['Adult', 'Aged', 'Case-Control Studies', 'Cohort Studies', 'Humans', 'Male', 'Middle Aged', 'Multiple Myeloma/epidemiology', 'Neoplasms/*epidemiology/etiology', 'New Zealand/epidemiology', 'Occupational Diseases/*epidemiology/etiology', 'Paint/*adverse effects', 'Registries', 'Risk Factors', 'Solvents/adverse effects', 'Urinary Bladder Neoplasms/epidemiology']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Br J Ind Med. 1990 Nov;47(11):742-6. doi: 10.1136/oem.47.11.742.,['10.1136/oem.47.11.742 [doi]'],,,,,,PMC1035264,,,,,,,
2245176,NLM,MEDLINE,19910108,20190515,0007-0920 (Print) 0007-0920 (Linking),62,5,1990 Nov,High-dose cytosine arabinoside plus etoposide as initial treatment for acute myeloid leukaemia: a single centre study.,830-3,"In a single centre, 52 newly diagnosed patients with acute myeloid leukemia (AML) under the age of 56 years received induction chemotherapy commencing with high-dose cytosine arabinoside (Ara-C) and etoposide (Protocol BF11), followed by Ara-C, 6 thioguanine (6TG). A total of 67% of patients entered remission using these drugs. An anthracycline was added for those patients not in remission. The overall remission rate (CR) was 86.5% (45/52), with a minimum follow-up of 90 days. Patients are hospitalised for relatively short periods, and consequently require less blood product and antibiotic support. Patients in continuing first remission following induction with Ara-C and etoposide are similar in number to those in continuing first remission who initially received an anthracycline. This would imply that the efficiency of Ara-C and etoposide in inducing long-term disease-term survival is comparable with anthracycline-containing regimens. We conclude that high-dose Ara-C and etoposide used in the first induction cycle for treating AML have good antileukaemic effect with acceptable toxicity.","['Parikh, P', 'Powles, R', 'Treleaven, J', 'Helenglass, G', 'Gore, M', 'Rose, M', 'Talbot, D', 'Milan, S', 'Smith, C', 'Pinkerton, R']","['Parikh P', 'Powles R', 'Treleaven J', 'Helenglass G', 'Gore M', 'Rose M', 'Talbot D', 'Milan S', 'Smith C', 'Pinkerton R', 'et al.']","['Department of Medicine, Royal Marsden Hospital, Sutton, Surrey, UK.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Child', 'Cytarabine/*administration & dosage/therapeutic use', 'Etoposide/*administration & dosage/therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Br J Cancer. 1990 Nov;62(5):830-3. doi: 10.1038/bjc.1990.387.,['10.1038/bjc.1990.387 [doi]'],,,,,,PMC1971542,,,,,,,
2245164,NLM,MEDLINE,19910108,20190515,0007-0920 (Print) 0007-0920 (Linking),62,5,1990 Nov,Low density lipoprotein for delivery of a water-insoluble alkylating agent to malignant cells. In vitro and in vivo studies of a drug-lipoprotein complex.,724-9,"Previous studies have shown that human leukaemic cells and certain tumour tissues have a higher receptor-mediated uptake of low density lipoprotein (LDL) than the corresponding normal cells or tissues. LDL has therefore been proposed as a carrier for anti-cancer agents. In the current study, a water-insoluble mitoclomine derivative (WB 4291) was incorporated into LDL. The WB 4291-LDL complex contained about 1,500 drug molecules per LDL particle and showed receptor-mediated toxicity in vitro as judged from the difference in growth inhibitory effect on normal and mutant (LDL-receptor-negative) cultured Chinese hamster ovary cells. However, cellular drug uptake did not exclusively occur by the receptor pathway since mutant cells were also affected to some extent. The LDL part of the complex had the same plasma clearance and organ distribution as native LDL after i.v. injection in mice and rabbits. Therapeutic effects were observed when Balb-C mice with experimental leukaemia were treated with the complex. After i.p. administration to mice with i.p. leukaemia median survival time was prolonged 2.5-fold and 40% became long time survivors. The effect was weaker (42% increase in life span) after i.v. injections of the complex to mice with i.v. leukaemia.","['Vitols, S', 'Soderberg-Reid, K', 'Masquelier, M', 'Sjostrom, B', 'Peterson, C']","['Vitols S', 'Soderberg-Reid K', 'Masquelier M', 'Sjostrom B', 'Peterson C']","['Department of Clinical Pharmacology, Karolinska Hospital, Stockholm, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['0 (Alkylating Agents)', '0 (Antineoplastic Agents)', '0 (Drug Carriers)', '0 (Lipoproteins, LDL)', '0 (Nitrogen Mustard Compounds)', '70974-81-1 (WB 4291)']",IM,"['Alkylating Agents/*administration & dosage', 'Animals', 'Antineoplastic Agents/*administration & dosage', 'Drug Carriers', 'Humans', 'Leukemia, Experimental/drug therapy', 'Lipoproteins, LDL/*administration & dosage', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Nitrogen Mustard Compounds/*administration & dosage', 'Rabbits', 'Tumor Cells, Cultured/drug effects']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Br J Cancer. 1990 Nov;62(5):724-9. doi: 10.1038/bjc.1990.367.,['10.1038/bjc.1990.367 [doi]'],,,,,,PMC1971505,,,,,,,
2244923,NLM,MEDLINE,19901228,20190612,0006-291X (Print) 0006-291X (Linking),172,3,1990 Nov 15,Chelerythrine is a potent and specific inhibitor of protein kinase C.,993-9,"The benzophenanthridine alkaloid chelerythrine is a potent, selective antagonist of the Ca++/phospholopid-dependent protein kinase (Protein kinase C: PKC) from the rat brain. Half-maximal inhibition of the kinase occurs at 0.66 microM. Chelerythrine interacted with the catalytic domain of PKC, was a competitive inhibitor with respect to the phosphate acceptor (histone IIIS) (Ki = 0.7 microM) and a non-competitive inhibitor with respect to ATP. This effect was further evidenced by the fact that chelerythrine inhibited native PKC and its catalytic fragment identically and did not affect [3H]- phorbol 12,13 dibutyrate binding to PKC. Chelerythrine selectively inhibited PKC compared to tyrosine protein kinase, cAMP-dependent protein kinase and calcium/calmodulin-dependent protein kinase. The potent antitumoral activity of celerythrine measured in vitro might be due at least in part to inhibition of PKC and thus suggests that PKC may be a model for rational design of antitumor drugs.","['Herbert, J M', 'Augereau, J M', 'Gleye, J', 'Maffrand, J P']","['Herbert JM', 'Augereau JM', 'Gleye J', 'Maffrand JP']","['Sanofi Recherche, Toulouse, France.']",['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Alkaloids)', '0 (Antibiotics, Antineoplastic)', '0 (Benzophenanthridines)', '0 (Isoquinolines)', '0 (Phenanthridines)', '0 (Piperazines)', '84477-87-2 (1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine)', 'E3B045W6X0 (chelerythrine)', 'EC 2.7.11.13 (Protein Kinase C)', 'H88EPA0A3N (Staurosporine)']",IM,"['1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine', 'Alkaloids/pharmacology', 'Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Benzophenanthridines', 'Binding, Competitive', 'Brain/drug effects/*enzymology', 'Cell Transformation, Neoplastic', 'Isoquinolines/pharmacology', 'Kinetics', 'Leukemia L1210/drug therapy/pathology', 'Lymphoma/drug therapy/enzymology', 'Phenanthridines/*pharmacology', 'Piperazines/pharmacology', 'Protein Kinase C/*antagonists & inhibitors', 'Rats', 'Staurosporine', 'Tumor Cells, Cultured']",1990/11/15 00:00,1990/11/15 00:01,['1990/11/15 00:00'],"['1990/11/15 00:00 [pubmed]', '1990/11/15 00:01 [medline]', '1990/11/15 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Nov 15;172(3):993-9. doi: 10.1016/0006-291x(90)91544-3.,"['0006-291X(90)91544-3 [pii]', '10.1016/0006-291x(90)91544-3 [doi]']",,,,,,,,,,,,,
2244907,NLM,MEDLINE,19901228,20190612,0006-291X (Print) 0006-291X (Linking),172,3,1990 Nov 15,Molecular cloning and expression of human arachidonate 12-lipoxygenase.,1230-5,"The cDNA for a 12-lipoxygenase was isolated from cDNA library of human erythroleukemia cells. The cDNA had an open reading frame encoding 663 amino acids with a calculated molecular weight of 75,513. The deduced amino acid sequence of human 12-lipoxygenase exhibited 41.5%, 65.3% and 65.4% identity with human 5-lipoxygenase, human 15-lipoxygenase and porcine 12-lipoxygenase, respectively. Blot hybridization analysis of RNA from human erythroleukemia cells demonstrated a single species (3.1 kb) of mRNA with the cDNA probe for 12-lipoxygenase of these cells, but not with the cDNA for porcine leukocyte enzyme. The cytosol of Escherichia coli transformed with a recombinant pUC19 plasmid oxygenated the position 12 of arachidonic acid.","['Yoshimoto, T', 'Yamamoto, Y', 'Arakawa, T', 'Suzuki, H', 'Yamamoto, S', 'Yokoyama, C', 'Tanabe, T', 'Toh, H']","['Yoshimoto T', 'Yamamoto Y', 'Arakawa T', 'Suzuki H', 'Yamamoto S', 'Yokoyama C', 'Tanabe T', 'Toh H']","['Department of Biochemistry, Tokushima University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['9007-49-2 (DNA)', 'EC 1.13.11.31 (Arachidonate 12-Lipoxygenase)', 'EC 1.13.11.33 (Arachidonate 15-Lipoxygenase)', 'EC 1.13.11.34 (Arachidonate 5-Lipoxygenase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Amino Acid Sequence', 'Arachidonate 12-Lipoxygenase/biosynthesis/*genetics', 'Arachidonate 15-Lipoxygenase/genetics', 'Arachidonate 5-Lipoxygenase/genetics', 'Base Sequence', 'Chromatography, High Pressure Liquid', 'Cloning, Molecular', 'DNA/biosynthesis/chemistry', 'Dimethyl Sulfoxide/pharmacology', '*Gene Expression Regulation, Enzymologic', 'Genomic Library', 'Humans', 'Leukemia, Erythroblastic, Acute/*enzymology', 'Molecular Sequence Data', 'Open Reading Frames', 'Restriction Mapping', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured/drug effects']",1990/11/15 00:00,1990/11/15 00:01,['1990/11/15 00:00'],"['1990/11/15 00:00 [pubmed]', '1990/11/15 00:01 [medline]', '1990/11/15 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Nov 15;172(3):1230-5. doi: 10.1016/0006-291x(90)91580-l.,"['0006-291X(90)91580-L [pii]', '10.1016/0006-291x(90)91580-l [doi]']",,,,,,,,['GENBANK/M62982'],,,,,
2244899,NLM,MEDLINE,19901228,20190612,0006-291X (Print) 0006-291X (Linking),172,3,1990 Nov 15,Multiple mRNAs encoding human calmodulin.,1145-9,"In humans, as in rats, four distinct molecular weight species of mRNA encoding calmodulin exist, i.e. 1.6 Kb for L, 1.4 Kb for T2 and 2.5 and 1.0 Kb for T1. They result from the expression of three genes. Each of these mRNAs codes for a calmodulin identical in amino acid sequence. The 5' and 3' untranslated regions of these mRNAs, however, differ extensively, and oligonucleotide probes specific to these regions were used in this study. The poly A+ mRNA was isolated from human erythroleukemia cells and also from human B cells infected with EBV.","['Pegues, J C', 'Friedberg, F']","['Pegues JC', 'Friedberg F']","['Department of Biochemistry and Molecular Biology Howard University College of Medicine, Washington, D.C. 20059.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Calmodulin)', '0 (RNA, Messenger)']",IM,"['Animals', 'Calmodulin/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute/*metabolism', '*Multigene Family', 'Protein Biosynthesis', 'RNA, Messenger/*biosynthesis', 'Rats']",1990/11/15 00:00,1990/11/15 00:01,['1990/11/15 00:00'],"['1990/11/15 00:00 [pubmed]', '1990/11/15 00:01 [medline]', '1990/11/15 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Nov 15;172(3):1145-9. doi: 10.1016/0006-291x(90)91567-c.,"['0006-291X(90)91567-C [pii]', '10.1016/0006-291x(90)91567-c [doi]']",,,,['5RO1 MH43797/MH/NIMH NIH HHS/United States'],,,,,,,,,
