PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,PMC,TT,OID,SI
6662335,NLM,MEDLINE,19840309,20200713,0234-5730 (Print) 0234-5730 (Linking),28,12,1983 Dec,[Megakaryocyte and thrombocyte changes in various stages of acute leukemia].,15-7,,"['Bartashchuk, E I', 'Menshchikova, T G', 'Prizhvoit, G N']","['Bartashchuk EI', 'Menshchikova TG', 'Prizhvoit GN']",['rus'],,"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Acute Disease', 'Blood Platelets/*pathology', 'Bone Marrow/pathology', 'Humans', 'Leukemia/*pathology', 'Megakaryocytes/*pathology', 'Recurrence', 'Remission, Spontaneous']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1983 Dec;28(12):15-7.,,,Izmeneniia megakariotsitov i trombotsitov na raznykh stadiiakh ostrogo leikoza.,,
6662287,NLM,MEDLINE,19840312,20190919,0301-4681 (Print) 0301-4681 (Linking),25,1,1983,Friend erythroleukemia cell differentiation: induction by retinoids.,79-83,"Growth in the presence of retinoids was found to induce erythroid differentiation in Friend murine erythroleukemia (MEL) cells in culture. The program of differentiated functions expressed by retinoid-treated cells was quite similar to that promoted by other inducers of MEL cell differentiation. For example, 70% or more of induced cells synthesized hemoglobin which accumulated to a level of 8 micrograms-10 micrograms per 10(6) cells. The level of acetylcholinesterase activity increased two to five-fold in induced cells, and induction by retinoids, like induction by dimethylsulfoxide (DMSO), promoted the appearance of cell surface lumps or 'blebs'. All-trans retinaldehyde, which promoted maximum hemoglobin and acetylcholinesterase synthesis at a concentration of 5 X 10(-7) M, was found to be a more potent inducer than all-trans retinoic acid or retinol, which both showed maximum induction at 1 X 10(-5) M. Like differentiation promoted by DMSO, retinoid-induced differentiation was inhibited by 10(-7) M dexamethasone.","['Garg, L C', 'Brown, J C']","['Garg LC', 'Brown JC']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Differentiation,Differentiation; research in biological diversity,0401650,IM,"['Acetylcholinesterase/metabolism', 'Animals', 'Cell Differentiation/drug effects', 'Cell Line', 'Dexamethasone/pharmacology', 'Dimethyl Sulfoxide/pharmacology', 'Erythrocytes/*cytology', 'Friend murine leukemia virus', 'Hemoglobins/biosynthesis', 'Leukemia, Experimental/metabolism/*pathology', 'Mice', 'Retinaldehyde/pharmacology', 'Retinoids/*pharmacology', 'Tretinoin/pharmacology', 'Vitamin A/pharmacology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1111/j.1432-0436.1984.tb01341.x [doi]'],ppublish,Differentiation. 1983;25(1):79-83. doi: 10.1111/j.1432-0436.1984.tb01341.x.,"['0 (Hemoglobins)', '0 (Retinoids)', '11103-57-4 (Vitamin A)', '5688UTC01R (Tretinoin)', '7S5I7G3JQL (Dexamethasone)', 'EC 3.1.1.7 (Acetylcholinesterase)', 'RR725D715M (Retinaldehyde)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,
6662094,NLM,MEDLINE,19840322,20181113,0091-6765 (Print) 0091-6765 (Linking),53,,1983 Nov,Critical review of epidemiologic studies related to ingested asbestos.,49-56,"Thirteen epidemiologic studies of ingested asbestos conducted in five areas of the United States and Canada were reviewed and evaluated for the definitiveness and applicability regarding the development of ambient water quality standards. One or more studies found male or female associations between asbestos in water supplies and cancer mortality (or incidence) due to neoplasms of the esophagus, stomach, small intestine, colon, rectum, gallbladder, pancreas, peritoneum, lungs, pleura, prostate, kidneys, brain, and thyroid, and also due to leukemia. Several methodologic weaknesses and limitations were found in each study, leading to the determination that no individual study or aggregation of studies exist that would establish risk levels from ingested asbestos. A binomial probability analysis of the eight independent studies suggested that, while the level of male-female agreement was generally low, the number of observed positive associations in males and females for neoplasms of the esophagus, stomach, pancreas, and prostate was unlikely to have been generated by chance factors alone, and thus, may have a biological basis related to ingested asbestos. Cancers of the small intestine and leukemia were implicated to a lesser degree in this analysis. The patterns of integrated findings for most gastrointestinal cancers were somewhat consistent with patterns observed among asbestos-exposed occupational groups, whereas the patterns found for pancreatic cancer, kidney cancer, and leukemia were not consistent.(ABSTRACT TRUNCATED AT 250 WORDS)","['Marsh, G M']",['Marsh GM'],['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Environ Health Perspect,Environmental health perspectives,0330411,IM,"['Asbestos/*adverse effects', 'Canada', 'Environmental Exposure', 'Epidemiologic Methods', 'Female', 'Humans', 'Male', 'Neoplasms/*epidemiology/mortality', 'Risk', 'Sex Factors', 'United States', 'Water Supply/standards']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",['10.1289/ehp.835349 [doi]'],ppublish,Environ Health Perspect. 1983 Nov;53:49-56. doi: 10.1289/ehp.835349.,['1332-21-4 (Asbestos)'],PMC1569098,,,
6661989,NLM,MEDLINE,19840314,20061115,0196-4763 (Print) 0196-4763 (Linking),4,3,1983 Nov,Flow cytometric DNA content in myelodysplastic syndromes.,238-43,"DNA flow cytometric analysis of unfixed bone marrow cells stained with propidium iodide was carried out in 33 patients with untreated primary myelodysplastic syndromes. Patients with stable clinical course for up to 3 years had higher fractions of cells in S and G2 phases (22.7 +/- 12.4% and 12 +/- 3.6%) than those who developed acute leukemia and/or died early in the course of disease (14.4 +/- 8.5% and 6.6 +/- 4%). Median survival was more than 36 mo in patients with S + G2 cell fraction higher than 24%, and 14 mo in the remaining 16 patients with lower values (P less than 0.01). Analyses repeated after 3-24 mo showed no major changes in cell proliferation pattern in ten out of 11 patients. The remaining patient had sharp decrease in S and G2 cell fraction 3 mo before the transition into acute leukemia. The DNA index (DI) of bone marrow cells was calculated to assess ploidy. However, comparative evaluation of cytologic, cytogenetic, and flow cytometric data suggest that, under our experimental conditions, the DI may be influenced by factors such as the degree of chromatin compactness.","['Montecucco, C', 'Riccardi, A', 'Traversi, E', 'Danova, M', 'Ucci, G', 'Mazzini, G', 'Giordano, P']","['Montecucco C', 'Riccardi A', 'Traversi E', 'Danova M', 'Ucci G', 'Mazzini G', 'Giordano P']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cytometry,Cytometry,8102328,IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/analysis', 'Bone Marrow Diseases/genetics/*pathology', 'Cell Cycle', 'DNA/*analysis', '*Flow Cytometry', 'Humans', 'Middle Aged', 'Ploidies', 'Syndrome']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",['10.1002/cyto.990040308 [doi]'],ppublish,Cytometry. 1983 Nov;4(3):238-43. doi: 10.1002/cyto.990040308.,['9007-49-2 (DNA)'],,,,
6661986,NLM,MEDLINE,19840314,20071114,0196-4763 (Print) 0196-4763 (Linking),4,3,1983 Nov,"Do all daughter cells enter the ""indeterminate"" (""A"") state of the cell cycle? Analysis of stathmokinetic experiments on L1210 cells.",191-201,"The results of ten different stathmokinetic experiments on L1210 cells are analyzed to determine whether all the postmitotic cells enter the exponential AG1 compartment of the cell cycle characterized by exponentially distributed transit times. The analysis is based on a mathematical model coherent with the generalized A-B-transition hypothesis. An original fitting procedure is introduced to estimate the fraction of cells entering AG1 as well as other parameters of the cell cycle. Results of the analysis suggest that either all or nearly all postmitotic cells enter G1A. The results are discussed with respect to the validity of the A-B-transition hypothesis of the ""probabilistic"" model of the cell cycle. Some systematically occurring discrepancies that do not conform with generally accepted cell cycle models are apparent from the analysis of this data.","['Kimmel, M', 'Traganos, F', 'Darzynkiewicz, Z']","['Kimmel M', 'Traganos F', 'Darzynkiewicz Z']",['eng'],"['1-26-CA-14134/CA/NCI NIH HHS/United States', '1-R01-CA-23206/CA/NCI NIH HHS/United States', 'CA-28704/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cytometry,Cytometry,8102328,IM,"['Animals', '*Cell Cycle', 'Cell Line', 'Kinetics', 'Leukemia L1210/pathology', 'Mathematics', 'Mice', 'Models, Biological', 'Probability']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",['10.1002/cyto.990040302 [doi]'],ppublish,Cytometry. 1983 Nov;4(3):191-201. doi: 10.1002/cyto.990040302.,,,,,
6661736,NLM,MEDLINE,19840302,20191023,0305-7372 (Print) 0305-7372 (Linking),10 Suppl B,,1983 Dec,Mitoxantrone in malignant lymphomas.,69-72,,"['Gams, R A', 'Keller, J W', 'Golomb, H M', 'Steinberg, J', 'Dukart, G']","['Gams RA', 'Keller JW', 'Golomb HM', 'Steinberg J', 'Dukart G']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Cancer Treat Rev,Cancer treatment reviews,7502030,IM,"['Anthraquinones/*administration & dosage/adverse effects', 'Antineoplastic Agents/*administration & dosage/adverse effects', 'Drug Evaluation', 'Hodgkin Disease/*drug therapy', 'Humans', 'Intercalating Agents/*administration & dosage/adverse effects', 'Leukemia, Lymphoid/*drug therapy', 'Lymphoma/*drug therapy', 'Mitoxantrone', 'Time Factors']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']","['0305-7372(83)90026-9 [pii]', '10.1016/0305-7372(83)90026-9 [doi]']",ppublish,Cancer Treat Rev. 1983 Dec;10 Suppl B:69-72. doi: 10.1016/0305-7372(83)90026-9.,"['0 (Anthraquinones)', '0 (Antineoplastic Agents)', '0 (Intercalating Agents)', 'BZ114NVM5P (Mitoxantrone)']",,,,
6661721,NLM,MEDLINE,19840319,20190720,0304-3835 (Print) 0304-3835 (Linking),20,1,1983 Aug,"Activity of 2,4,6-trinitrotoluene in an in vitro mammalian gene mutation assay.",103-8,"In the present study both 2,4,6-trinitrotoluene (TNT) and pure 2,4-dinitrotoluene (2,4-DNT) gave positive responses in the P388 mouse lymphoma gene mutation assay in the absence of auxiliary metabolic activation. Both chemicals gave negative results when an activation system was included. Technical grade DNT (consisting of an 80:20 mixture of 2,4- and 2,6-DNT) and pure 2,6-DNT gave negative responses in the assay both in the presence and absence of auxiliary metabolism. These observations in mammalian cells support the bacterial mutagenesis data indicating the TNT is a potential rodent liver carcinogen and suggest that the activity of TNT should be investigated in vivo to assess whether its potential hepatocarcinogenicity is realised in rats.","['Styles, J A', 'Cross, M F']","['Styles JA', 'Cross MF']",['eng'],,"['Comparative Study', 'Journal Article']",Ireland,Cancer Lett,Cancer letters,7600053,IM,"['Animals', 'Biotransformation', 'Cell Line', 'Dinitrobenzenes/metabolism/toxicity', 'Dose-Response Relationship, Drug', 'Leukemia P388/*genetics', 'Leukemia, Experimental/*genetics', 'Mice', 'Mutagenicity Tests', '*Mutagens', '*Mutation', 'Thymidine Kinase/genetics', 'Trinitrotoluene/metabolism/*toxicity']",1983/08/01 00:00,1983/08/01 00:01,['1983/08/01 00:00'],"['1983/08/01 00:00 [pubmed]', '1983/08/01 00:01 [medline]', '1983/08/01 00:00 [entrez]']","['0304-3835(83)90194-5 [pii]', '10.1016/0304-3835(83)90194-5 [doi]']",ppublish,Cancer Lett. 1983 Aug;20(1):103-8. doi: 10.1016/0304-3835(83)90194-5.,"['0 (Dinitrobenzenes)', '0 (Mutagens)', '118-96-7 (Trinitrotoluene)', '6741D310ED (2,4-dinitrotoluene)', 'EC 2.7.1.21 (Thymidine Kinase)']",,,,
6661504,NLM,MEDLINE,19840322,20171116,0753-3322 (Print) 0753-3322 (Linking),37,4,1983,Cytotoxicity of cyclodepsipeptides on murine lymphocytes and on L 1210 leukemia cells.,184-5,"By in vitro experiments we have demonstrated an important cytotoxic effect of destruxins A, A2, B, B1 and E on L 1210 leukemia cells. This cytotoxic effect was measured by DNA synthesis. The cytotoxic effect on normal mouse spleen lymphocytes was also evaluated. For the most cytotoxic compound, destruxin E, 16 mg/kg was found to be the minimal dose necessary to kill all mice.","['Morel, E', 'Pais, M', 'Turpin, M', 'Guyot, M']","['Morel E', 'Pais M', 'Turpin M', 'Guyot M']",['eng'],,['Journal Article'],France,Biomed Pharmacother,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295,IM,"['Animals', '*Antineoplastic Agents', 'Cell Survival/*drug effects', 'Cells, Cultured', '*Depsipeptides', '*Fungal Proteins', 'Leukemia L1210/*drug therapy', 'Lymphocytes/*drug effects', 'Mice', 'Mice, Inbred DBA', '*Mycotoxins', 'Peptides, Cyclic/*pharmacology/toxicity']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Biomed Pharmacother. 1983;37(4):184-5.,"['0 (Antineoplastic Agents)', '0 (Depsipeptides)', '0 (Fungal Proteins)', '0 (Mycotoxins)', '0 (Peptides, Cyclic)', '255H1K2LFG (destruxin A)', '79386-01-9 (destruxin B1)', '79386-02-0 (destruxin A2)', '7R6CR62KFE (destruxin B)', 'Y168EWU66T (destruxin E)']",,,,
6661412,NLM,MEDLINE,19840323,20190613,0006-2960 (Print) 0006-2960 (Linking),22,25,1983 Dec 6,"Amplification and organization of dihydrofolate reductase genes in a human leukemic cell line, K-562, resistant to methotrexate.",5774-81,"A subline of human leukemia cells (K-562), highly resistant to methotrexate, was developed by stepwise selection in the presence of increasing concentrations of this drug. The ED50 of these resistant cells was 1 mM compared to 10 nM for the parental line. Comparison of certain folate-requiring enzymes from crude extracts of the parent and resistant cells showed a 240-fold elevation of dihydrofolate reductase activity in the resistant cells with no significant increase in the levels of the other enzymes. Purified dihydrofolate reductase from the resistant cells had the same physical and kinetic properties as the enzyme from the sensitive cells. Southern blot analysis showed a marked increase in the number of dihydrofolate reductase genes in the resistant line. The genomic organization of the human dihydrofolate reductase gene was determined by hybridization with specific cDNA sequences from a human cDNA to DNA fragments from K-562 cells generated by restriction endonucleases. The human dihydrofolate reductase gene contained at least four intervening sequences and was approximately 30 kb in size. Northern blot studies demonstrated an increase of dihydrofolate reductase mRNA species; the predominant message was 3.8 kb. Karyotype analysis revealed three elongated marker chromosomes, derived from chromosomes 5, 6, and 19 which contained homogeneous staining regions, which were not present in the parent cell line.","['Srimatkandada, S', 'Medina, W D', 'Cashmore, A R', 'Whyte, W', 'Engel, D', 'Moroson, B A', 'Franco, C T', 'Dube, S K', 'Bertino, J R']","['Srimatkandada S', 'Medina WD', 'Cashmore AR', 'Whyte W', 'Engel D', 'Moroson BA', 'Franco CT', 'Dube SK', 'Bertino JR']",['eng'],['CA 08010/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,IM,"['Cell Line', 'DNA/analysis', 'Drug Resistance', '*Gene Amplification', 'Humans', 'Karyotyping', 'Leukemia/drug therapy/*enzymology/genetics', 'Methotrexate/*therapeutic use', 'Nucleic Acid Hybridization', 'Tetrahydrofolate Dehydrogenase/*genetics']",1983/12/06 00:00,1983/12/06 00:01,['1983/12/06 00:00'],"['1983/12/06 00:00 [pubmed]', '1983/12/06 00:01 [medline]', '1983/12/06 00:00 [entrez]']",['10.1021/bi00294a015 [doi]'],ppublish,Biochemistry. 1983 Dec 6;22(25):5774-81. doi: 10.1021/bi00294a015.,"['9007-49-2 (DNA)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,
6661259,NLM,MEDLINE,19840214,20190623,0006-2952 (Print) 0006-2952 (Linking),32,24,1983 Dec 15,"Interactions of combretastatin, a new plant-derived antimitotic agent, with tubulin.",3864-7,,"['Hamel, E', 'Lin, C M']","['Hamel E', 'Lin CM']",['eng'],,['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Animals', 'Anisoles/*metabolism', '*Bibenzyls', 'Binding Sites/drug effects', 'Brain Chemistry', 'Cattle', 'Cells, Cultured', 'Colchicine/metabolism', 'Leukemia L1210', 'Mice', 'Mitosis/*drug effects', 'Protein Binding/drug effects', '*Stilbenes', 'Tubulin/*metabolism']",1983/12/15 00:00,1983/12/15 00:01,['1983/12/15 00:00'],"['1983/12/15 00:00 [pubmed]', '1983/12/15 00:01 [medline]', '1983/12/15 00:00 [entrez]']","['0006-2952(83)90163-6 [pii]', '10.1016/0006-2952(83)90163-6 [doi]']",ppublish,Biochem Pharmacol. 1983 Dec 15;32(24):3864-7. doi: 10.1016/0006-2952(83)90163-6.,"['0 (Anisoles)', '0 (Bibenzyls)', '0 (Stilbenes)', '0 (Tubulin)', '7O62J06F18 (combretastatin)', 'SML2Y3J35T (Colchicine)']",,,,
6661257,NLM,MEDLINE,19840214,20190623,0006-2952 (Print) 0006-2952 (Linking),32,24,1983 Dec 15,Alkali lability of deoxyribonucleic acid that contains adenine arabinoside.,3849-52,"We have demonstrated previously that 9-beta-D-arabinofuranosyl adenosine (ara-A), like 1-beta-D-arabinofuranosyl cytosine (ara-C), incorporates exclusively into DNA, not RNA [Kufe et al., Cancer Res. 43, 2000 (1983)]. We have also demonstrated that (ara-C)DNA is degraded by alkali [Major et al., Biochem. Pharmac. 31, 861 (1982)], suggesting a structural instability of this abnormal nucleic acid. These findings have been extended by investigating the effects of various alkaline conditions on ara-A and (ara-A)DNA. The results indicate that the nucleoside was degraded under stringent conditions (0.4 M NaOH, 0.5 hr, 100 degrees) and that a similar effect occurred following exposure of (ara-A)DNA. The results also indicate that milder alkaline conditions (0.4 M NaOH, 6 hr, 37 degrees) resulted in strand scission of (ara-A)DNA at the 3'-carbon of the incorporated arabinosyl sugar without degradation of the ara-A moiety itself. These findings may be useful when attempting to purify (ara-A)DNA and confirm the structural instability of arabinosyl-containing DNA.","['Egan, E M', 'Justi-Wheeler, H', 'Kufe, D W']","['Egan EM', 'Justi-Wheeler H', 'Kufe DW']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['*Alkalies', 'Animals', 'Cells, Cultured', 'Chemical Phenomena', 'Chemistry', 'Chromatography, High Pressure Liquid/methods', 'DNA, Neoplasm/*isolation & purification', 'Leukemia L1210/*metabolism', 'Mice', 'Vidarabine/*isolation & purification']",1983/12/15 00:00,1983/12/15 00:01,['1983/12/15 00:00'],"['1983/12/15 00:00 [pubmed]', '1983/12/15 00:01 [medline]', '1983/12/15 00:00 [entrez]']","['0006-2952(83)90159-4 [pii]', '10.1016/0006-2952(83)90159-4 [doi]']",ppublish,Biochem Pharmacol. 1983 Dec 15;32(24):3849-52. doi: 10.1016/0006-2952(83)90159-4.,"['0 (Alkalies)', '0 (DNA, Neoplasm)', 'FA2DM6879K (Vidarabine)']",,,,
6661226,NLM,MEDLINE,19840220,20190612,0006-291X (Print) 0006-291X (Linking),117,1,1983 Nov 30,Effects of differentiation inducers on diphenylhexatriene fluorescence polarization in intracytoplasmic and plasma membranes from Friend erythroleukemia cells.,294-8,"Treatment of Friend leukemia cells with dimethylsulfoxide or hexamethylenbisacetamide, which induced erythroid differentiation, resulted in enhancement of fluorescence polarization of diphenylhexatriene in not only plasma membranes, but also in intracellular membranes. In a cell variant resistant to induction, the polarization values of intracellular membranes were not affected by the inducing agents, whereas plasma membranes had the same enhancement of polarization values as in sensitive cells. Therefore, Friend cell differentiation can be associated with the effect of the inducers on intracellular membranes, but not with the effect on plasma membranes.","['Billard, C', 'Billard, M', 'Mishal, Z']","['Billard C', 'Billard M', 'Mishal Z']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['Acetamides/*pharmacology', 'Animals', 'Cell Differentiation/drug effects', 'Cell Line', 'Cell Membrane/drug effects/physiology', 'Clone Cells', 'Dimethyl Sulfoxide/*pharmacology', 'Diphenylhexatriene', 'Fluorescence Polarization', 'Intracellular Membranes/drug effects/*physiology', 'Leukemia, Experimental/*physiopathology', 'Mice', 'Microscopy, Polarization']",1983/11/30 00:00,1983/11/30 00:01,['1983/11/30 00:00'],"['1983/11/30 00:00 [pubmed]', '1983/11/30 00:01 [medline]', '1983/11/30 00:00 [entrez]']","['0006-291X(83)91574-7 [pii]', '10.1016/0006-291x(83)91574-7 [doi]']",ppublish,Biochem Biophys Res Commun. 1983 Nov 30;117(1):294-8. doi: 10.1016/0006-291x(83)91574-7.,"['0 (Acetamides)', '1720-32-7 (Diphenylhexatriene)', 'LA133J59VU (hexamethylene bisacetamide)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,
6661034,NLM,MEDLINE,19840214,20190815,0304-8608 (Print) 0304-8608 (Linking),78,3-4,1983,Effect of interferon on the penetration of murine leukemia virus and the binding of its genome RNA to polyribosomes at the early stage of infection.,267-78,"The effect of interferon (IFN) on the adsorption, penetration and subsequent binding of the incoming genome RNA of Moloney murine leukemia virus (MLV) to polyribosomes, was studied in NIH/3T3 mouse fibroblasts. Virus adsorption was assayed by determining reverse transcriptase activity in the inoculating virus stock and in the cell membrane fraction before and after 45 minutes of infection. Both measurements suggested that IFN had no effect on virus adsorption. Virus penetration was determined by measuring the amount of viral RNA in the cell cytoplasm at 45 minutes after infection. This amount was remarkably lower in IFN-treated than in untreated cells. This reduction was not due to inhibition of a possible induction of endogenous viral genetic information by the penetrating virions, but was proved to be a direct effect of IFN on virus penetration, which was related to the IFN-induced antiviral state. The effect of IFN on binding of parental genome RNA to polyribosomes was then investigated by analysing Crt hybridization kinetics of polyribosomal viral RNA at different time intervals after infection. While in untreated control cells maximal binding occurred at 3 hours postinfection, this maximal binding was observed in IFN-treated cells at 5 hours postinfection. The distribution of viral RNA molecules between sub-cytoplasmic fractions at 3 hours after infection was, in IFN-treated cells, significantly different from that observed in the untreated cells.","['Salzberg, S', 'Shurtz, R', 'Feder, J', 'Aboud, M']","['Salzberg S', 'Shurtz R', 'Feder J', 'Aboud M']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Austria,Arch Virol,Archives of virology,7506870,IM,"['Adsorption', 'Animals', 'Cell Line', 'Cell Membrane/*microbiology', 'Cytoplasm/metabolism', 'Genes, Viral', 'Interferon Type I/*pharmacology', 'Mice', 'Moloney murine leukemia virus/genetics/*metabolism', 'Polyribosomes/*metabolism', 'RNA, Viral/*metabolism']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/BF01311321 [doi]'],ppublish,Arch Virol. 1983;78(3-4):267-78. doi: 10.1007/BF01311321.,"['0 (Interferon Type I)', '0 (RNA, Viral)']",,,,
6660899,NLM,MEDLINE,19840221,20211203,1468-2044 (Electronic) 0003-9888 (Linking),58,12,1983 Dec,A 7 year survey of acute hepatitis type B.,993-6,"Epidemiological and clinical features of acute symptomatic hepatitis type B were evaluated in 51 otherwise healthy children and in 13 children receiving immunosuppressive treatment for leukaemia and malignancy, who were admitted to hospital with acute hepatitis B surface antigen (HBsAg) positive hepatitis during a period of 7 years. Blood transfusions, or intimate contacts with asymptomatic HBsAg carriers or with contaminated material during repeated admission to hospital were the possible sources of infection in the immunosuppressed patients, whereas percutaneous exposure was identified as the source in a minority of non-immunosuppressed patients. Features of the acute phase of the illness differed little between the two groups of patients (acute liver failure developed in one patient with leukaemia and in two untreated children). Conversely, chronic evolution was observed in 69% of immunosuppressed patients but in only 9% of untreated children and affected only patients born to HBsAg positive mothers (two of four patients) or patients presenting with papular acrodermatitis (both patients).","['Bortolotti, F', 'Cadrobbi, P', 'Bertaggia, A', 'Rude, L', 'Alberti, A', 'Realdi, G']","['Bortolotti F', 'Cadrobbi P', 'Bertaggia A', 'Rude L', 'Alberti A', 'Realdi G']",['eng'],,['Journal Article'],England,Arch Dis Child,Archives of disease in childhood,0372434,IM,"['Age Factors', 'Child', 'Child, Preschool', 'Female', 'Hepatitis B/*epidemiology/transmission', 'Hepatitis B Surface Antigens/analysis', 'Humans', 'Immunosuppression Therapy/adverse effects', 'Infant', 'Italy', 'Male', 'Maternal-Fetal Exchange', 'Neoplasms/therapy', 'Pregnancy', 'Transfusion Reaction']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",['10.1136/adc.58.12.993 [doi]'],ppublish,Arch Dis Child. 1983 Dec;58(12):993-6. doi: 10.1136/adc.58.12.993.,['0 (Hepatitis B Surface Antigens)'],PMC1628577,,,
6660515,NLM,MEDLINE,19840224,20190628,0003-2697 (Print) 0003-2697 (Linking),135,2,1983 Dec,Characterization of messenger RNA by direct translation from agarose gels.,401-8,"A method for characterizing nanogram quantities of poly(A)-containing messenger RNAs that have been fractionated according to size by electrophoresis through agarose gels has been developed. The mRNAs from Friend leukemia cells were identified by the protein products they encode, as determined by slicing the agarose gel and directly translating the enclosed mRNA with an extract from rabbit reticulocytes that had been treated with micrococcal nuclease. A number of parameters which affect the efficiency of translation in this system have been examined. These include the sensitivity of the in vitro translational system to RNA, the agarose concentration, the incubation temperature, and the addition of either exogeneous tRNA or RNasin. The procedure is rapid, simple, reproducible, and applicable for the fractionation and characterization of mRNAs from any source.","['Brandt, T L', 'Hackett, P B']","['Brandt TL', 'Hackett PB']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Anal Biochem,Analytical biochemistry,0370535,IM,"['Animals', 'Cell-Free System', 'Electrophoresis/*methods', 'Electrophoresis, Agar Gel/*methods', 'Electrophoresis, Polyacrylamide Gel', 'Micrococcal Nuclease', '*Protein Biosynthesis', 'Proteins/isolation & purification', 'RNA, Messenger/*isolation & purification', 'Rabbits', 'Reticulocytes/metabolism']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']","['0003-2697(83)90702-9 [pii]', '10.1016/0003-2697(83)90702-9 [doi]']",ppublish,Anal Biochem. 1983 Dec;135(2):401-8. doi: 10.1016/0003-2697(83)90702-9.,"['0 (Proteins)', '0 (RNA, Messenger)', 'EC 3.1.31.1 (Micrococcal Nuclease)']",,,,
