PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,CIN,TT,SI,PMC,CRF,CON,EIN,OID,LID,RF,GS,OAB,OABL,OTO,OT,GN
2313102,NLM,MEDLINE,19900425,20190723,0022-1759 (Print) 0022-1759 (Linking),127,2,1990 Mar 9,Serum-manganese-superoxide dismutase: normal values and increased levels in patients with acute myocardial infarction and several malignant diseases determined by an enzyme-linked immunosorbent assay using a monoclonal antibody.,249-54,"An enzyme-linked immunosorbent assay (ELISA) has been developed for human manganese-superoxide dismutase (Mn-SOD), using a specific monoclonal antibody raised against the purified enzyme. The Mn-SOD molecule comprises four identical sub-units and this permitted the development of a symmetrical assay, using the same monoclonal antibody as both capture and detector. The assay offers a specific, sensitive and convenient means of measuring immunoreactive Mn-SOD in human sera. Under optimum conditions, the sensitivity of the assay permits the detection of 2-200 ng of purified Mn-SOD from human liver. The mean serum Mn-SOD levels of normal healthy males and females were 99.8 +/- 24.8 (mean +/- SD) and 88.8 +/- 20.8 (mean +/- SD), respectively. A high level of the enzyme was found in the sera of patients with acute myocardial infarction as well as malignant diseases such as acute myeloid leukemia, primary hepatoma and gastric cancer. This is the first report of an ELISA using a monoclonal antibody specific for a distinct epitope of Mn-SOD.","['Kawaguchi, T', 'Suzuki, K', 'Matsuda, Y', 'Nishiura, T', 'Uda, T', 'Ono, M', 'Sekiya, C', 'Ishikawa, M', 'Iino, S', 'Endo, Y']","['Kawaguchi T', 'Suzuki K', 'Matsuda Y', 'Nishiura T', 'Uda T', 'Ono M', 'Sekiya C', 'Ishikawa M', 'Iino S', 'Endo Y', 'et al.']","['Ube Industries Ltd., Kogushi, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,IM,"['Adult', 'Aged', '*Antibodies, Monoclonal', 'Enzyme Stability', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'Humans', 'Male', 'Middle Aged', 'Myocardial Infarction/*enzymology', 'Neoplasms/*enzymology', 'Reference Values', 'Superoxide Dismutase/*blood']",1990/03/09 00:00,1990/03/09 00:01,['1990/03/09 00:00'],"['1990/03/09 00:00 [pubmed]', '1990/03/09 00:01 [medline]', '1990/03/09 00:00 [entrez]']","['0022-1759(90)90075-7 [pii]', '10.1016/0022-1759(90)90075-7 [doi]']",ppublish,J Immunol Methods. 1990 Mar 9;127(2):249-54. doi: 10.1016/0022-1759(90)90075-7.,"['0 (Antibodies, Monoclonal)', 'EC 1.15.1.1 (Superoxide Dismutase)']",,,,,,,,,,,,,,,,,
2312855,NLM,MEDLINE,19900423,20190814,0363-8715 (Print) 0363-8715 (Linking),14,2,1990 Mar-Apr,Leptomeningeal metastases: MR evaluation.,255-61,"Forty patients with positive CSF cytology for subarachnoid dissemination of neoplasms were examined by magnetic resonance (MR) imaging for the detection of intracranial or intraspinal CSF metastases. The MR evidence of cerebral leptomeningeal metastases was noted in 12 of 54 unenhanced (22.2%) and 7 of 20 (35%) gadolinium-enhanced studies. However, in only 2 of the 20 (10%) gadolinium-enhanced scans did the enhanced brain images alone demonstrate the presence of CSF seeding. Four of 29 (13.8%) unenhanced studies of the spine and 6 of 16 (37.5%) gadolinium-enhanced spine studies were positive for neoplastic deposits on the spinal nerves or cord. Magnetic resonance without and with gadolinium enhancement was most likely to be positive in studies of patients with a non-CNS primary malignancy (16/51 = 31.4%) and least accurate with lymphoma or leukemia (1/18 = 5.6%). Although gadolinium administration increases the ability of MR to detect leptomeningeal metastases (particularly in the spine), the overall sensitivity of unenhanced and enhanced MR examinations is low (19.3 and 36.1%, respectively) in patients with proven cytological evidence of neoplastic seeding.","['Yousem, D M', 'Patrone, P M', 'Grossman, R I']","['Yousem DM', 'Patrone PM', 'Grossman RI']","['Department of Radiology, Hospital of the University of Pennsylvania, Philadelphia 19104.']",['eng'],['Journal Article'],United States,J Comput Assist Tomogr,Journal of computer assisted tomography,7703942,IM,"['Adolescent', 'Adult', 'Aged', 'Brain Neoplasms/diagnosis', 'Child', 'Child, Preschool', 'Female', 'Gadolinium', 'Humans', 'Image Enhancement/methods', '*Magnetic Resonance Imaging', 'Male', 'Meningeal Neoplasms/*diagnosis/drug therapy/secondary', 'Middle Aged', 'Predictive Value of Tests', 'Retrospective Studies', 'Spinal Cord Neoplasms/diagnosis', 'Steroids/therapeutic use']",1990/03/01 00:00,1990/03/01 00:01,['1990/03/01 00:00'],"['1990/03/01 00:00 [pubmed]', '1990/03/01 00:01 [medline]', '1990/03/01 00:00 [entrez]']",['10.1097/00004728-199003000-00018 [doi]'],ppublish,J Comput Assist Tomogr. 1990 Mar-Apr;14(2):255-61. doi: 10.1097/00004728-199003000-00018.,"['0 (Steroids)', 'AU0V1LM3JT (Gadolinium)']",,,,,,,,,,,,,,,,,
2312752,NLM,MEDLINE,19900426,20190501,0021-9746 (Print) 0021-9746 (Linking),43,1,1990 Jan,Small intestinal bacterial overgrowth in patients with chronic lymphocytic leukaemia.,57-9,"As part of a study to assess the possible contribution of lymphoid infiltration of the gastrointestinal mucosa to occult blood loss or malabsorption 20 patients with chronic lymphocytic leukaemia (CLL) had a lactulose hydrogen breath test. In 10 cases (50%) a small intestinal peak was detected, suggesting small bowel bacterial overgrowth, and this was confirmed in seven patients by the positive culture of jejunal aspirate. Of the patients with a positive hydrogen breath test, radiological examination showed a duodenal diverticulum in two but no anatomical abnormalities in the other cases. There was no evidence of achlorhydria and transit times were normal. There was no difference in the incidence of hypogammaglobulinaemia among those patients with evidence of small intestinal bacterial overgrowth and those without. Seven patients with a positive hydrogen breath test, however, had undetectable secretory piece in their jejunal aspirates whereas this was present in all patients with a normal breath test who had local immunoglobulin concentrations measured (p less than 0.05), indicating that the small intestinal bacterial overgrowth may be due to impaired local immunity.","['Smith, G M', 'Chesner, I M', 'Asquith, P', 'Leyland, M J']","['Smith GM', 'Chesner IM', 'Asquith P', 'Leyland MJ']","['Department of Haematology, East Birmingham Hospital, England.']",['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,IM,"['Agammaglobulinemia/complications', 'Aged', 'Bacteria/growth & development/isolation & purification', 'Breath Tests', 'Female', 'Humans', 'Immunoglobulins/analysis', 'Intestinal Absorption', 'Intestine, Small/*microbiology', 'Jejunum/immunology', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/immunology/*microbiology', 'Male', 'Middle Aged', 'Secretory Component/analysis', 'Time Factors']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1136/jcp.43.1.57 [doi]'],ppublish,J Clin Pathol. 1990 Jan;43(1):57-9. doi: 10.1136/jcp.43.1.57.,"['0 (Immunoglobulins)', '0 (Secretory Component)']",,,,,PMC502225,,,,,,,,,,,,
2312610,NLM,MEDLINE,19900425,20190903,0171-5216 (Print) 0171-5216 (Linking),116,1,1990,Acute leukemias in adults: an overview of recent strategies.,94-6,"In 1989, 65%-75% of previously untreated adults with ALL or AML may be expected to enter complete remission. Approximately 40% of these completely responding patients, whether they are treated with intensive chemotherapy, intensive chemotherapy followed by autologous bone marrow transplantation, or allogeneic bone marrow transplantation, remain disease-free after 3 years of follow-up. As such, the likelihood for cure for adults with acute leukemia is approximately 25%-30%. At the present time, no new chemotherapeutic agents of significant importance are on the horizon. Furthermore, it seems doubtful that the mere juggling of drug doses will have any measurable effect on treatment outcome. The use of hematopoietic growth factors, either to allow added tolerance of intensive therapy or to synchronize leukemic cells kinetically, is now under study. Perhaps the most promising area of present investigations deals with immune manipulation. The administration of immunotoxins (a drug or a cell poison chemically linked to a leukemia-related monoclonal antibody) has been associated with promising results in eradicating minimal residual disease in animal model systems. Similarly, attempts at harnessing the graft-versus-leukemia effect without the eligibility restrictions and toxicities associated with the allograft procedure, through the use of lymphokines as enhancers of natural killer cell activity, have also proven to be effective in pre-clinical trials. With the availability of hematopoietic growth factors, immunotoxins, and lymphokines, clinical research in acute leukemia in the future will no longer focus on cytotoxic drugs alone but rather on how the addition of biological agents can prolong the duration of complete remission and increase the potential for cure.","['Mayer, R J']",['Mayer RJ'],"['Dana-Farber Cancer Institute, Harvard Medical School, Boston, Mass.']",['eng'],['Journal Article'],Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,IM,"['Bone Marrow Transplantation', 'Combined Modality Therapy', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Transplantation, Autologous']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1007/BF01612646 [doi]'],ppublish,J Cancer Res Clin Oncol. 1990;116(1):94-6. doi: 10.1007/BF01612646.,,,,,,,,,,,,,,,,,,
2312604,NLM,MEDLINE,19900425,20190903,0171-5216 (Print) 0171-5216 (Linking),116,1,1990,Mucin histochemistry of virus-induced duodenal adenomas in guinea fowl.,38-44,"The type of mucoproteins in virus-induced duodenal adenomas in guinea fowl were compared with those in the normal duodenal mucosa. The mucin-producing cells in the latter contained a mixture of acid and neutral mucins. Neutral and sulphomucins prevailed in the crypts and in the lower part of the villi, while the amount of the sialomucins increased progressively toward the tip of the villi. In the adenomas, goblet cells were more numerous and were unevenly distributed. In their mucin profile the deeply located tumor glandular structures resembled normal crypts and lower parts of the villi and superficial portions of the adenomas were similar to the upper part of the villi. Qualitative changes in the mucin secretion with deviation from the normal vertical distribution of mucin types were rarely observed. The histochemical study carried out supplemented the histological characterization of the virus-induced duodenal adenomas and contributed to the elucidation of some aspects of their histogenesis.","['Toshkov, I', 'Kirev, T']","['Toshkov I', 'Kirev T']","['Institute of General and Comparative Pathology, Bulgarian Academy of Sciences, Sofia.']",['eng'],['Journal Article'],Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,IM,"['Adenoma/*analysis/pathology', 'Animals', 'Avian Leukosis/complications/*metabolism', 'Birds', 'Duodenal Neoplasms/*analysis/etiology/pathology', 'Duodenum/analysis', 'Histocytochemistry', 'Mucins/*analysis/metabolism']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1007/BF01612638 [doi]'],ppublish,J Cancer Res Clin Oncol. 1990;116(1):38-44. doi: 10.1007/BF01612638.,['0 (Mucins)'],,,,,,,,,,,,,,,,,
2312603,NLM,MEDLINE,19900425,20190903,0171-5216 (Print) 0171-5216 (Linking),116,1,1990,Sequential study on spontaneous colony formation by bone marrow cells during butylnitrosourea-induced leukemogenesis in the rat.,24-8,"The spontaneous colony (SC)-forming activity of bone marrow cells of rats during butylnitrosourea (BNU) treatment was studied sequentially in an attempt to analyze stages of leukemogenesis. Aspirated bone marrow cells from female Sprague-Dawley (SD) rats that had been given continuous access to drinking water containing 400 ppm BNU were examined at intervals of 3-5 weeks for colony formation of granulomonocytic cells with or without supplemental colony-stimulating factor (CSF). Granulocytic leukemia was first observed at week 12, and the cumulative incidence reached 80% by week 30. SCs were obtained in 56% of rats in the early stage (3 weeks) and in up to 59% of rats in the late stages (20-25 weeks). However, in the middle stages colony formation was rare, even with the addition of CSF. When adherent cells were removed from the bone marrow cells, the SC-forming activity in the early stage was almost entirely lost, whereas much of that in the late stage remained. It is possible that in the former case, overproduction of endogenous CSF by adherent cells under the influence of BNU treatment could be involved. In contrast, late stage SC formation may be associated with the generation of altered cells, including leukemic or preleukemic elements, which have increased capacity for autonomous growth. The loss of SC-forming activity in the middle stage appeared to be attributable to an extreme reduction in endogenous CSF due to marked devastation of the bone marrow. Technical improvement in adjusting more precisely the level of CSF in the culture medium is required to enable further analysis of leukemogenesis, focused on the colony-forming activity of target cells.","['Takano, Y', 'Kitagawa, T', 'Urano, Y']","['Takano Y', 'Kitagawa T', 'Urano Y']","['Department of Pathology, Cancer Institute, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,IM,"['Animals', 'Bone Marrow/*pathology', 'Colony-Stimulating Factors/physiology', 'Female', 'Leukemia, Experimental/chemically induced/*pathology', 'Nitrosourea Compounds', 'Rats', 'Rats, Inbred Strains', 'Stem Cells/*physiology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1007/BF01612636 [doi]'],ppublish,J Cancer Res Clin Oncol. 1990;116(1):24-8. doi: 10.1007/BF01612636.,"['0 (Colony-Stimulating Factors)', '0 (Nitrosourea Compounds)', '869-01-2 (N-nitrosobutylurea)']",,,,,,,,,,,,,,,,,
2312599,NLM,MEDLINE,19900425,20190903,0171-5216 (Print) 0171-5216 (Linking),116,1,1990,Chronic myelogenous leukemia: an overview.,104-5,,"['Bergsagel, D E']",['Bergsagel DE'],"['University of Toronto, Ontario, Canada.']",['eng'],['Journal Article'],Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,IM,"['Bone Marrow Transplantation', 'Chromosome Aberrations', 'Humans', 'Interferon Type I/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/*therapy']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1007/BF01612649 [doi]'],ppublish,J Cancer Res Clin Oncol. 1990;116(1):104-5. doi: 10.1007/BF01612649.,['0 (Interferon Type I)'],,,,,,,,,,,,,,,,,
2312403,NLM,MEDLINE,19900424,20190723,0021-8820 (Print) 0021-8820 (Linking),43,2,1990 Feb,"Resorthiomycin, a novel antitumor antibiotic. III. Potentiation of antitumor drugs and its mechanism of action.",138-42,"Resorthiomycin suppressed the clonogenic activity of a multidrug-resistant mutant cell line of Chinese hamster V79 cells more potently than its parental cells. Moreover, resorthiomycin at 40 micrograms/ml potentiated the cytotoxic activity of vincristine and actinomycin D on V79 cells over 3-fold. Uptake of [3H]actinomycin D into V79 cells was stimulated 2-fold by 40 micrograms/ml of resorthiomycin during 2 hours incubation. On the other hand, incorporation of [3H]thymidine and [3H]uridine into mouse leukemia L5178Y cells was inhibited in a dose-dependent manner at resorthiomycin concentrations ranging from 5 to 40 micrograms/ml. In ATP-depleted L5178Y cells, membrane transport of [3H]thymidine and 2-[3H]deoxyglucose was strongly suppressed by resorthiomycin. These results suggest that resorthiomycin acts on the plasma membrane and perturbes some membrane function.","['Tahara, M', 'Tomida, A', 'Nishimura, T', 'Yamaguchi, H', 'Suzuki, H']","['Tahara M', 'Tomida A', 'Nishimura T', 'Yamaguchi H', 'Suzuki H']","['Institute of Applied Microbiology, University of Tokyo, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Cell Division/drug effects', 'Cell Line/drug effects', 'Cell Survival/drug effects', 'Cricetinae', 'Dactinomycin/pharmacology', 'Deoxyglucose/metabolism', 'Drug Synergism', 'Humans', 'Mice', 'Resorcinols/pharmacology', 'Thymidine/metabolism', 'Vincristine/pharmacology']",1990/02/01 00:00,1990/02/01 00:01,['1990/02/01 00:00'],"['1990/02/01 00:00 [pubmed]', '1990/02/01 00:01 [medline]', '1990/02/01 00:00 [entrez]']",['10.7164/antibiotics.43.138 [doi]'],ppublish,J Antibiot (Tokyo). 1990 Feb;43(2):138-42. doi: 10.7164/antibiotics.43.138.,"['0 (Antibiotics, Antineoplastic)', '0 (Resorcinols)', '126651-92-1 (resorthiomycin)', '1CC1JFE158 (Dactinomycin)', '5J49Q6B70F (Vincristine)', '9G2MP84A8W (Deoxyglucose)', 'VC2W18DGKR (Thymidine)']",,,,,,,,,,,,,,,,,
2312174,NLM,MEDLINE,19900426,20201209,0300-8126 (Print) 0300-8126 (Linking),18,1,1990 Jan-Feb,Legionella longbeachae pneumonia in a patient splenectomized for hairy-cell leukemia.,31-2,"A 63-year-old man was admitted to the respiratory intensive care unit for pneumonia. Fifteen years earlier, hairy cell leukemia had been diagnosed and the patient underwent splenectomy. A clinical suspicion of legionellosis, later confirmed by both serology and isolation of the microorganism, prompted initiation of high dose erythromycin intravenously. The patient steadily deteriorated and passed away eight days later. This is the first reported case of hairy cell leukemia in which the diagnosis of Legionella longbeachae sero-group 1 infection was based on both serology and isolation.","['Lang, R', 'Wiler, Z', 'Manor, J', 'Kazak, R', 'Boldur, I']","['Lang R', 'Wiler Z', 'Manor J', 'Kazak R', 'Boldur I']","['Department of Infectious Diseases, Pulmunology and Hematology, Meir hospital, Kfar-Saba, Israel.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Infection,Infection,0365307,IM,"['Drug Therapy, Combination', 'Humans', 'Legionella/isolation & purification', 'Legionellosis/*diagnosis/drug therapy', 'Leukemia, Hairy Cell/*surgery', 'Male', 'Middle Aged', 'Respiratory Distress Syndrome/complications', '*Splenectomy', 'Time Factors']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1007/BF01644179 [doi]'],ppublish,Infection. 1990 Jan-Feb;18(1):31-2. doi: 10.1007/BF01644179.,,,,,,,,,,,,,,,,,,
2312171,NLM,MEDLINE,19900416,20211203,0019-2805 (Print) 0019-2805 (Linking),69,3,1990 Mar,Patterns of nuclear proto-oncogene expression during induced differentiation and proliferation of human B chronic lymphocytic leukaemia cells.,490-3,"Phorbol ester-induced differentiation of human B-chronic lymphocytic leukaemic cells was found to be preceded by a rapid transient induction in expression of the c-jun proto-oncogene, which paralleled that of c-fos. Induced expression of c-myc but not of c-fos/c-jun proto-oncogenes was markedly higher in a proliferating variant leukaemic cell population compared with that seen in typical lymphocytic leukaemia cells. These data suggest that the c-fos/c-jun nuclear oncogenes play a role in induced differentiation, whilst c-myc is more important in the proliferative response of B lymphocytes.","['Murphy, J J', 'Tracz, M', 'Norton, J D']","['Murphy JJ', 'Tracz M', 'Norton JD']","['Department of Haematology, Royal Free Hospital School of Medicine, Hampstead, London.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,IM,"['*B-Lymphocytes', '*Gene Expression', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/immunology', '*Lymphocyte Activation', 'Proto-Oncogene Mas', '*Proto-Oncogenes', 'Tumor Cells, Cultured']",1990/03/01 00:00,1990/03/01 00:01,['1990/03/01 00:00'],"['1990/03/01 00:00 [pubmed]', '1990/03/01 00:01 [medline]', '1990/03/01 00:00 [entrez]']",,ppublish,Immunology. 1990 Mar;69(3):490-3.,,,,,,PMC1385973,,,,,,,,,,,,
2312008,NLM,MEDLINE,19900419,20061115,0017-7768 (Print) 0017-7768 (Linking),118,2,1990 Jan 15,[Transient hypophosphatemia associated with hairy-cell leukemia].,83-4,"A 43-year-old man with hairy-cell leukemia and marked splenomegaly developed severe hypophosphatemia which improved after splenectomy. Since splenic tissue phosphorus was significantly elevated, and since serum phosphorus returned to normal levels immediately after the operation, it is postulated that excessive uptake of phosphorus by the rapidly dividing leukemic cells might have caused the transient decrease in serum phosphorus.","['Bar-Khayim, Y', 'Haran, N', 'Gurwicz, S', 'Bereby, A', 'Popovtzer, M']","['Bar-Khayim Y', 'Haran N', 'Gurwicz S', 'Bereby A', 'Popovtzer M']","['Division of Nephrology, Kaplan Hospital, Rehovot.']",['heb'],"['Case Reports', 'English Abstract', 'Journal Article']",Israel,Harefuah,Harefuah,0034351,IM,"['Adult', 'Humans', 'Leukemia, Hairy Cell/*blood/surgery', 'Male', 'Phosphates/*blood', 'Splenectomy', 'Time Factors']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",,ppublish,Harefuah. 1990 Jan 15;118(2):83-4.,['0 (Phosphates)'],,,,,,,,,,,,,,,,,
2312003,NLM,MEDLINE,19900419,20071115,0017-7768 (Print) 0017-7768 (Linking),118,2,1990 Jan 15,[Treatment of acute myeloid leukemia in a special hematology unit].,57-61,"Since 1984, 47 patients with untreated acute myeloid leukemia (AML) were hospitalized in a special hematology unit for aggressive chemotherapy. Complete remission was obtained in 68%, 15% died of complications of treatment (infections and bleeding) and 15% had refractory leukemia. The actuarial survival after 3 years for patients in remission was 43%. No patients with refractory leukemia lived more than 1 year. The actuarial remission at 3 years of 21 patients who received additional courses of aggressive chemotherapy (consolidation treatment) was 42%, as opposed to 11% in 11 patients who received maintenance treatment. The 47 patients received 108 courses of aggressive chemotherapy including 47 for induction of remission. During 86 courses (80%) the patients developed fever and in 33 blood cultures were positive; during 16 courses a fungal infection developed. The most common bacterial infection was by E. coli. During the first induction treatment 5 patients died of sepsis and 1 of cerebral hemorrhage. None died during consolidation therapy. During the year preceding the opening of the unit, 12 AML patients were treated on regular medical wards, and five (42%) achieved a complete remission, while 6 died of complications during the first course of induction chemotherapy. Our findings are in line with those of similar units, which indicates the importance of special nursing units for the treatment of acute leukemia.","['Douer, D', 'Ben-Bassat, I', 'Singer, A', 'Ramot, B']","['Douer D', 'Ben-Bassat I', 'Singer A', 'Ramot B']","['Institute of Hematology, Chaim Sheba Medical Center, Tel Hashomer and Sackler School of Medicine, Tel Aviv University.']",['heb'],"['English Abstract', 'Journal Article']",Israel,Harefuah,Harefuah,0034351,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', '*Hospital Units', 'Hospitalization', 'Humans', 'Israel/epidemiology', 'Leukemia, Myeloid, Acute/*drug therapy/mortality', 'Middle Aged', 'Remission Induction', 'Survival Rate']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",,ppublish,Harefuah. 1990 Jan 15;118(2):57-61.,['0 (Antineoplastic Agents)'],,,,,,,,,,,,,,,,,
2311827,NLM,MEDLINE,19900423,20190816,0012-1622 (Print) 0012-1622 (Linking),32,3,1990 Mar,Late effects of central nervous system treatment of acute lymphoblastic leukemia in childhood are sex-dependent.,238-48,"The authors measured the cognitive function and physical growth of 51 children who had been treated for acute lymphoblastic leukemia with chemotherapy, cranial irradiation and intrathecal methotrexate, and who had remained disease-free for five to 12 years. A comparison group of 15 children treated for Wilms' tumor was also studied. Cognitive impairment and growth retardation were greater among the leukemia group. Of potentially greater significance, however, was the finding that female sex was the pre-eminent risk factor for central nervous system toxicity resulting from treatment. Cognitive impairment, short stature and excessive weight were all more prevalent among females than males. Approximately half the children were microcephalic, but there was no sex difference. Age at evaluation and diagnosis, as well as socio-economic status, were differentially related to outcomes for the two sexes. The authors believe the sex differences were indicative of a fundamental interaction between postnatal neural development and other biological processes.","['Waber, D P', 'Urion, D K', 'Tarbell, N J', 'Niemeyer, C', 'Gelber, R', 'Sallan, S E']","['Waber DP', 'Urion DK', 'Tarbell NJ', 'Niemeyer C', 'Gelber R', 'Sallan SE']","[""Department of Psychiatry, Children's Hospital, Boston, MA 02115.""]",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Dev Med Child Neurol,Developmental medicine and child neurology,0006761,IM,"['Body Height', 'Body Weight', 'Central Nervous System Diseases/*etiology/psychology', 'Child', 'Child, Preschool', 'Cognition Disorders/etiology', 'Combined Modality Therapy', 'Female', 'Humans', 'Injections, Spinal', 'Intelligence Tests', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/psychology/*therapy', 'Sex Factors', 'Socioeconomic Factors']",1990/03/01 00:00,1990/03/01 00:01,['1990/03/01 00:00'],"['1990/03/01 00:00 [pubmed]', '1990/03/01 00:01 [medline]', '1990/03/01 00:00 [entrez]']",['10.1111/j.1469-8749.1990.tb16930.x [doi]'],ppublish,Dev Med Child Neurol. 1990 Mar;32(3):238-48. doi: 10.1111/j.1469-8749.1990.tb16930.x.,,"['CA34183/CA/NCI NIH HHS/United States', 'NS22108/NS/NINDS NIH HHS/United States', 'P30-HD18655/HD/NICHD NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,,
2311370,NLM,MEDLINE,19900420,20190912,0169-2607 (Print) 0169-2607 (Linking),31,1,1990 Jan,Computerised algorithm of tumour-associated markers to monitor haematopoietic malignancy.,63-70,"Hexosaminidase, polyamines and lipid-bound sialic acid are a few tumour-associated markers which are significantly elevated both in urine and serum of patients with haematopoietic malignancy, in direct correlation to dedifferentiation. Our computer database incorporates these parameters and predicts the clinical response based on the baseline values of these tumour-associated markers. This completely menu-driven user-friendly database can be routinely applied in tumour management and can access a billion records. The results of our evaluation confirm that most clinical assessments by a physician working blind are in agreement with the computer prediction, thus encouraging the use of microcomputers in patient management.","['Venkatanarayanan, S', 'Nagarajan, B']","['Venkatanarayanan S', 'Nagarajan B']","['Department of Microbiology and Tumour Biochemistry, Cancer Institute, Madras, India.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Comput Methods Programs Biomed,Computer methods and programs in biomedicine,8506513,IM,"['*Algorithms', '*Biomarkers, Tumor', 'Clinical Protocols', 'Humans', 'Information Systems', 'Leukemia/*diagnosis', 'Lymphoma/*diagnosis', '*Microcomputers', 'Software']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']","['0169-2607(90)90032-5 [pii]', '10.1016/0169-2607(90)90032-5 [doi]']",ppublish,Comput Methods Programs Biomed. 1990 Jan;31(1):63-70. doi: 10.1016/0169-2607(90)90032-5.,"['0 (Biomarkers, Tumor)']",,,,,,,,,,,,,,,,,
