PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GS,PMC,GR,SI,EIN,RIN,RF,TT,CON,CN,OID,OTO,OT,GN,LID,ROF
1995869,NLM,MEDLINE,19910327,20190709,0022-2623 (Print) 0022-2623 (Linking),34,2,1991 Feb,Antineoplastic activity of didemnin congeners: nordidemnin and modified chain analogues.,486-91,"Nordidemnin (2), a natural analogue of the marine cyclodepsipeptide didemnin B (1b), showed cytotoxic activity against L1210 leukemia and antineoplastic activity against P388 leukemia as well as B16 melanoma; nordidemnin (2) was as active as didemnin B (1b). The influence of synthetic modifications in the linear peptidic chain on in vitro and in vivo activity was also studied. Replacement of the terminal lactyl residue by mandelyl and 3-(p-hydroxyphenyl)propionyl residues in compounds 3 and 4, respectively, did not affect the cytotoxic activity against L1210 leukemia (ID50 of 1.1 nM and 1.2 nM, respectively) or the in vivo activity against P388 leukemia. Unlike these aromatic substituants, the lipophilic palmityl residue induced a dramatic loss in cytotoxic activity. The inverted chirality of the MeLeu joining residue in compound 6 caused a marked reduction in the in vitro activity.","['Jouin, P', 'Poncet, J', 'Dufour, M N', 'Aumelas, A', 'Pantaloni, A', 'Cros, S', 'Francois, G']","['Jouin P', 'Poncet J', 'Dufour MN', 'Aumelas A', 'Pantaloni A', 'Cros S', 'Francois G']","['CCIPE, Montpellier, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antibiotics, Antineoplastic)', '0 (Depsipeptides)', '0 (Peptides, Cyclic)', '117710-03-9 (nordidemnin B)', '4LSZ9C5HOB (didemnins)']",IM,,"['Animals', 'Antibiotics, Antineoplastic/chemical synthesis/*therapeutic use', 'Chemical Phenomena', 'Chemistry', '*Depsipeptides', 'Leukemia L1210/*drug therapy', 'Leukemia P388/*drug therapy', 'Melanoma, Experimental/*drug therapy', 'Mice', 'Peptides, Cyclic/chemical synthesis/*therapeutic use', 'Structure-Activity Relationship']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",['10.1021/jm00106a002 [doi]'],ppublish,J Med Chem. 1991 Feb;34(2):486-91. doi: 10.1021/jm00106a002.,,,,,,,,,,,,,,,,
1995768,NLM,MEDLINE,19910322,20190903,0954-6820 (Print) 0954-6820 (Linking),229,1,1991 Jan,High cardiac output as a paraneoplastic syndrome.,89-92,"A high cardiac output (17 1 min-1) was recorded in a young man suffering from lymphoplasmatocytotic lymphoma. The evolution of the blood disease was characterized by two relapses, during which clinical signs of heart failure were prominent but resolved with efficient blood chemotherapy. The known aetiologies of high cardiac output were excluded. The complete normalization of the cardiac parameters with blood remission suggests that the high cardiac output represented an unusual paraneoplastic syndrome, the pathogenesis of which still remains unknown, although several hypotheses were tested.","['Somville, J F', 'Lenaers, A P', 'Abramowicz, M', 'Neve, P E']","['Somville JF', 'Lenaers AP', 'Abramowicz M', 'Neve PE']","['Department of Internal Medicine, Hopital Erasme, Universite Libre de Bruxelles, Belgium.']",['eng'],"['Case Reports', 'Journal Article']",England,J Intern Med,Journal of internal medicine,8904841,,IM,,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cardiac Output/*physiology', 'Combined Modality Therapy', 'Heart Failure/*etiology/physiopathology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/physiopathology/therapy', 'Male', 'Paraneoplastic Syndromes/*etiology/physiopathology', 'Plasma Exchange']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",['10.1111/j.1365-2796.1991.tb00311.x [doi]'],ppublish,J Intern Med. 1991 Jan;229(1):89-92. doi: 10.1111/j.1365-2796.1991.tb00311.x.,,,,,,,,,,,,,,,,
1995717,NLM,MEDLINE,19910325,20211203,0022-1899 (Print) 0022-1899 (Linking),163,3,1991 Mar,"Incidence of hairy cell leukemia, mycosis fungoides, and chronic lymphocytic leukemia in first known HTLV-II-endemic population.",435-40,"Unlike human T cell leukemia-lymphoma virus type I (HTLV-I), HTLV-II has not been convincingly linked to a malignancy. In the first 10 months of serologic screening for HTLV-I/II among blood donors in New Mexico in 1988-1989, HTLV-I/II infection was found in 27 donors. HTLV-I/II infection was present in 1.0%-1.6% of American Indian and 0.16%-0.27% of Hispanic donors compared with 0.009%-0.06% of non-Hispanic white donors. HTLV-II was identified by DNA amplification in 12 of 13 samples from Indian and Hispanic seropositive donors. Despite apparent endemic HTLV-II infection in these populations, New Mexico Tumor Registry data showed that the incidences of hairy cell leukemia, mycosis fungoides, and chronic lymphocytic leukemia were comparable among the three ethnic groups. A population with endemic HTLV-II infection has been identified, and there is no evidence of increased risk for these three malignancies in the endemic groups.","['Hjelle, B', 'Mills, R', 'Swenson, S', 'Mertz, G', 'Key, C', 'Allen, S']","['Hjelle B', 'Mills R', 'Swenson S', 'Mertz G', 'Key C', 'Allen S']","['Department of Pathology, University of New Mexico School of Medicine, Albuquerque 87131.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Infect Dis,The Journal of infectious diseases,0413675,,IM,,"['*Blood Donors', 'HTLV-II Infections/complications/*epidemiology', 'Hispanic or Latino', 'Humans', 'Incidence', 'Indians, North American', 'Leukemia, Hairy Cell/complications/*epidemiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*epidemiology', 'Mass Screening', 'Mycosis Fungoides/complications/*epidemiology', 'New Mexico/epidemiology', 'Polymerase Chain Reaction', 'Seroepidemiologic Studies', 'Skin Neoplasms/complications/*epidemiology', 'Whites']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1093/infdis/163.3.435 [doi]'],ppublish,J Infect Dis. 1991 Mar;163(3):435-40. doi: 10.1093/infdis/163.3.435.,,,,,,,,,,,,,,,,
1995651,NLM,MEDLINE,19910322,20190824,0165-5728 (Print) 0165-5728 (Linking),31,3,1991 Mar,Cytolysis of oligodendrocytes is mediated by killer (K) cells but not by natural killer (NK) cells.,199-210,"The cytotoxic activity of killer (K) cells against enriched cultures of bovine oligodendrocytes (BOL) was investigated in multiple sclerosis (MS) and controls. Human K cells mediated cytotoxicity to primary cultures of BOL in the presence of anti-BOL antiserum in all study groups, while BOL were resistant to human natural killer (NK) cells. Cytotoxic activity was significantly reduced in MS when compared to age-matched normal controls but not when compared to other neurologic disease (OND) patients. K cell-mediated lysis of BOL could also be induced with anti-galactocerebroside antibody but not with other antibodies including those specific for OL antigens (myelin basic protein, proteolipid apoprotein, and 2',3'-cyclic nucleotide 3'-phosphodiesterase). Enrichment of the effector population indicated that antibody-dependent cell-mediated cytotoxicity (ADCC) to BOL was mediated by large granular lymphocytes, and the effector population was further characterized by flow cytometry. The effector cells mediating ADCC could be inhibited by protein A of Staphylococcus aureus, and by K562 cells in cold competition assay. These observations indicate that oligodendrocytes are resistant to NK cells but are susceptible to cytolysis mediated by K cells. This may represent a potentially important immune mechanism in the pathogenesis of MS.","['Satoh, J', 'Kim, S U', 'Kastrukoff, L F']","['Satoh J', 'Kim SU', 'Kastrukoff LF']","['Department of Medicine, University Hospital, University of British Columbia, Vancouver, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Neuroimmunol,Journal of neuroimmunology,8109498,['0 (Staphylococcal Protein A)'],IM,,"['Adult', 'Animals', '*Antibody-Dependent Cell Cytotoxicity', 'Cattle', 'Cells, Cultured', 'Female', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukemia, Erythroblastic, Acute/pathology', 'Male', 'Middle Aged', 'Multiple Sclerosis/*immunology', 'Oligodendroglia/*pathology', 'Staphylococcal Protein A/pharmacology']",1991/03/01 00:00,2000/06/01 00:00,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '2000/06/01 00:00 [medline]', '1991/03/01 00:00 [entrez]']","['0165-5728(91)90041-5 [pii]', '10.1016/0165-5728(91)90041-5 [doi]']",ppublish,J Neuroimmunol. 1991 Mar;31(3):199-210. doi: 10.1016/0165-5728(91)90041-5.,,,,,,,,,,,,,,,,
1995639,NLM,MEDLINE,19910327,20210210,0021-9258 (Print) 0021-9258 (Linking),266,6,1991 Feb 25,Activin A/erythroid differentiation factor induces thromboxane A2 synthetic activity in murine erythroleukemia cells.,3888-92,"Activin A, a protein homologous to transforming growth factor beta, was shown to induce hemoglobin synthesis in murine erythroleukemia (MEL) cells and was also termed erythroid differentiation factor (EDF) (Eto, Y., Tsuji, T., Takezawa, M., Takano, S., Yokogawa, Y., and Shibai, H. (1987) Biochem. Biophys. Res. Commun. 142, 1095-1103). We found that activin A/EDF also induced thromboxane (TX) A2 synthetic activity in these cells. Synthesis of TXA2 from arachidonic acid is catalyzed by cyclooxygenase and TX synthase. Activin A/EDF induced the latter TX synthase activity, whereas the cyclooxygenase activity was constitutively expressed. The induction of this enzyme activity was inhibited by cycloheximide, suggesting that activin A/EDF induced de novo protein synthesis of TX synthase. Furthermore, we studied the relationship between the induction of TXA2 synthetic activity and erythroid differentiation in MEL cells, since the former is not an erythroid phenotype. We found 1) that the two responses to activin A/EDF were distinctly affected by the initial cell density; 2) that the dose-response curves for activin A/EDF were similar (ED50 = approximately 100 pM), whereas the time course of induction of TXA2 synthetic activity was much faster; and 3) that other erythroid differentiation inducers of MEL cells, namely dimethyl sulfoxide and hexamethylene bisacetamide, had little or no effect on TXA2 synthesis. These results indicate that activin A/EDF induces TXA2 synthetic activity independently of erythroid differentiation.","['Yamashita, T', 'Shimizu, T', 'Ogata, E']","['Yamashita T', 'Shimizu T', 'Ogata E']","['Fourth Department of Internal Medicine, Faculty of Medicine, University of Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Hemoglobins)', '104625-48-1 (Activins)', '57285-09-3 (Inhibins)', '57576-52-0 (Thromboxane A2)', '98600C0908 (Cycloheximide)', 'EC 3.1.1.7 (Acetylcholinesterase)', 'EC 5.3.99.5 (Thromboxane-A Synthase)']",IM,,"['Acetylcholinesterase/metabolism', 'Activins', 'Animals', 'Autoradiography', 'Cell Differentiation/drug effects', 'Chromatography, Thin Layer', 'Cycloheximide/pharmacology', 'Hemoglobins/biosynthesis', 'Humans', 'Inhibins/*pharmacology', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Mice', 'Thromboxane A2/*metabolism', 'Thromboxane-A Synthase/metabolism', 'Tumor Cells, Cultured/drug effects']",1991/02/25 00:00,1991/02/25 00:01,['1991/02/25 00:00'],"['1991/02/25 00:00 [pubmed]', '1991/02/25 00:01 [medline]', '1991/02/25 00:00 [entrez]']",['S0021-9258(19)67877-4 [pii]'],ppublish,J Biol Chem. 1991 Feb 25;266(6):3888-92.,,,,,,,,,,,,,,,,
1995633,NLM,MEDLINE,19910327,20210210,0021-9258 (Print) 0021-9258 (Linking),266,6,1991 Feb 25,Purification and characterization of novel heparan sulfate proteoglycans produced by murine erythroleukemia cells in the growing phase.,3808-19,"Murine erythroleukemia cells (Friend erythroleukemia cells of a C-10-6 line) synthesized sulfated glycosaminoglycans consisting mainly of heparan sulfate (more than 95%) with a small amount of chondroitin 4-sulfate. The heparan sulfate occurred as proteoglycans, of which the cell-associated component was separated into urea-insoluble (UI) and urea-soluble (US) fractions. The UI proteoglycan consisted of a single homogeneous molecular species with an estimated Mr of 360,000 (C(UI)PG), whereas the US component was composed of two subfractions: a homogeneous species with an Mr of 280,000 (C(US)PGI) and a mixture of compounds with Mr values of less than 80,000 (C(US)PGII), which were isolated in yields of about 110, 340, and 80 micrograms of hexuronate (HexUA), respectively, from 1.37 g of an acetone powder prepared from 5.7 x 10(9) cells in the logarithmic phase of growth. The proteoglycan released into the medium (12 liters) was a single homogeneous species with an Mr of 320,000 (MPG) which was purified in a yield of 500 micrograms of hexuronate. The major, cell-associated proteoglycan, C(US)PGI, had very high contents of serine and glycine, accounting for approximately 80% of the total amino acids. This proteoglycan as well as the other two large proteoglycans, C(UI)PG and MPG, were highly resistant to degradation by various proteinases. These three proteoglycans, C(UI)PG, C(US)PGI, and MPG, had heparan sulfates with estimated Mr values of 32,000, 27,000, and 30,000. On the other hand, the Mr of the smaller proteoglycan, C(UI)PGII, was not significantly different before and after beta-elimination, indicating that it contains only a small peptide, if any. The heparan sulfate of this proteoglycan consisted of smaller and heterogeneous molecular species with Mr values of 26,000, 20,000, and 4,000. Digestion of these heparan sulfates with heparitinase I plus II resulted in almost complete depolymerization and gave six unsaturated disaccharides, delta HexUA-GlcNAc, delta HexUA-Glc-NAc(6-SO4), delta HexUA-GlcNSO3, delta HexUA-GlcNSO3 (6-SO4), delta HexUA(2-SO4)-GlcNSO3, and delta HexUA(2-SO4)-GlcNSO3(6-SO4). The relative amounts of these disaccharides generated from the individual heparan sulfates showed that an average ratio of sulfate residues to repeating disaccharide units of the C(US)PGII-derived heparan sulfate (0.97) was significantly higher than those of the other three large proteoglycan-derived glycosaminoglycans (0.54-0.70).","['Okayama, M', 'Oguri, K', 'Yoshida, K', 'Ohkita, T']","['Okayama M', 'Oguri K', 'Yoshida K', 'Ohkita T']","['Clinical Research Institute, National Nagoya Hospital, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Amino Acids)', '0 (Proteoglycans)', '9050-30-0 (Heparitin Sulfate)', 'EC 4.2.2.- (Chondroitinases and Chondroitin Lyases)']",IM,,"['Amino Acids/analysis', 'Animals', 'Chondroitinases and Chondroitin Lyases/metabolism', 'Chromatography, Liquid', 'Electrophoresis, Gel, Two-Dimensional', 'Heparitin Sulfate/chemistry/*isolation & purification', 'Leukemia, Erythroblastic, Acute/metabolism/*pathology', 'Mice', 'Proteoglycans/chemistry/*isolation & purification', 'Tumor Cells, Cultured']",1991/02/25 00:00,1991/02/25 00:01,['1991/02/25 00:00'],"['1991/02/25 00:00 [pubmed]', '1991/02/25 00:01 [medline]', '1991/02/25 00:00 [entrez]']",['S0021-9258(19)67866-X [pii]'],ppublish,J Biol Chem. 1991 Feb 25;266(6):3808-19.,,,,,,,,,,,,,,,,
1995556,NLM,MEDLINE,19910325,20190708,0360-3016 (Print) 0360-3016 (Linking),20,3,1991 Mar,Response to Vriesendorp et al.,645-6,,"['Gale, R P', 'Butturini, A', 'Bortin, M M']","['Gale RP', 'Butturini A', 'Bortin MM']",,['eng'],['Journal Article'],United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,,IM,,"['*Bone Marrow Transplantation', 'Humans', 'Leukemia/*therapy', 'Radiotherapy Dosage', '*Whole-Body Irradiation']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']","['0360-3016(91)90085-I [pii]', '10.1016/0360-3016(91)90085-i [doi]']",ppublish,Int J Radiat Oncol Biol Phys. 1991 Mar;20(3):645-6. doi: 10.1016/0360-3016(91)90085-i.,,,,,,,,,,,,,,,,
1995552,NLM,MEDLINE,19910325,20211203,0360-3016 (Print) 0360-3016 (Linking),20,3,1991 Mar,What does total body irradiation do in bone marrow transplants for leukemia?,631-4,,"['Gale, R P', 'Butturini, A', 'Bortin, M M']","['Gale RP', 'Butturini A', 'Bortin MM']",,['eng'],"['Editorial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,,IM,,"['Acute Disease', '*Bone Marrow Transplantation', 'Humans', 'Immunosuppression Therapy', 'Leukemia/radiotherapy/*surgery', '*Whole-Body Irradiation']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']","['0360-3016(91)90081-E [pii]', '10.1016/0360-3016(91)90081-e [doi]']",ppublish,Int J Radiat Oncol Biol Phys. 1991 Mar;20(3):631-4. doi: 10.1016/0360-3016(91)90081-e.,,,"['CA23175/CA/NCI NIH HHS/United States', 'CA40053/CA/NCI NIH HHS/United States', 'N01-AI-62530/AI/NIAID NIH HHS/United States']",,,,,,,,,,,,,
1995523,NLM,MEDLINE,19910325,20190708,0360-3016 (Print) 0360-3016 (Linking),20,3,1991 Mar,Influence of the fractionation of total body irradiation on complications and relapse rate for chronic myelogenous leukemia. The Groupe d'Etude des greffes de moelle osseuse (GEGMO).,397-404,"One hundred eighty patients with chronic myelogenous leukemia, who received an unmanipulated marrow graft from an Human Leucocyte Antigen identical sibling donor, were reported to our group (G.E.G.M.O.) by 21 transplant teams. All were grafted after a total body irradiation-cytoxan conditioning regimen. Of these 180 patients, 126 were non-randomly assigned to single dose total body irradiation (STBI group) and, 54 to fractionated total body irradiation (FTBI group). With a median follow-up of 40 months, there is no statistically significant difference in the 5-year survival rate between the two groups (51% for the whole population). In a first step we demonstrate by multivariate analysis that total body irradiation fractionation can dramatically decrease the incidence of interstitial pneumonitis. However, a multivariate analysis of potent risk factors for relapse post-transplant strongly suggests that TBI fractionation is also linked to an increased relapse rate. So, a sparing effect of fractionation for lung tissue could be offset by a less effective leukemic stem cell kill. Those results from a retrospective, non-randomized, multi-institutional study clearly need additional clinical data, ideally from a randomized study.","['Socie, G', 'Devergie, A', 'Girinsky, T', 'Reiffers, J', 'Vernant, J P', 'Le Bourgeois, J P', 'Herve, P', 'Guyotat, D', 'Maraninchi, D', 'Rio, B']","['Socie G', 'Devergie A', 'Girinsky T', 'Reiffers J', 'Vernant JP', 'Le Bourgeois JP', 'Herve P', 'Guyotat D', 'Maraninchi D', 'Rio B', 'et al.']","['Departement des Radiations, Institut Gustave-Roussy, Villejuif, France.']",['eng'],['Journal Article'],United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,['8N3DW7272P (Cyclophosphamide)'],IM,,"['*Bone Marrow Transplantation', 'Cyclophosphamide/therapeutic use', 'Female', 'Graft vs Host Disease/etiology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/mortality/*surgery', 'Male', '*Preoperative Care', 'Pulmonary Fibrosis/*etiology', 'Radiotherapy Dosage', 'Recurrence', 'Retrospective Studies', 'Risk Factors', 'Survival Analysis', 'Whole-Body Irradiation/*adverse effects/methods']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']","['0360-3016(91)90048-9 [pii]', '10.1016/0360-3016(91)90048-9 [doi]']",ppublish,Int J Radiat Oncol Biol Phys. 1991 Mar;20(3):397-404. doi: 10.1016/0360-3016(91)90048-9.,,,,,,,,,,,,,,,,
1995489,NLM,MEDLINE,19910322,20190708,0020-7136 (Print) 0020-7136 (Linking),47,4,1991 Feb 20,Inhibition of respiration of tumor cells by methylglyoxal and protection of inhibition by lactaldehyde.,603-9,"The effect of methylglyoxal (MG), ascorbic acid and lactaldehyde has been tested on the in vitro respiration of Ehrlich ascites carcinoma (EAC) cells and several normal and malignant human tissues. Methylglyoxal inhibited the respiration of each type of malignant cell and tissue tested, but it had practically no inhibitory effect on the respiration of any of the normal cells and tissues. Ascorbic acid exhibited a synergistic effect with MG in inhibiting the respiration of all the neoplastic cells. In the presence of lactaldehyde, a catabolite of MG, the inhibitory effect of MG on the respiration of tumor cells was significantly reduced. Lactaldehyde can exert a similar protective effect on the loss of viability and transplantability of MG-treated EAC cells.","['Ray, M', 'Halder, J', 'Dutta, S K', 'Ray, S']","['Ray M', 'Halder J', 'Dutta SK', 'Ray S']","['Department of Pharmacy, Jadavpur University, Calcutta, India.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Aldehydes)', '598-35-6 (lactaldehyde)', '722KLD7415 (Pyruvaldehyde)', 'PQ6CK8PD0R (Ascorbic Acid)']",IM,,"['Aldehydes/*pharmacology', 'Animals', 'Ascorbic Acid/pharmacology', 'Carcinoma, Ehrlich Tumor/metabolism', 'Cell Survival/drug effects', 'Female', 'Humans', 'In Vitro Techniques', 'Leukemia/metabolism', 'Mice', 'Neoplasms/*metabolism', 'Oxygen Consumption/*drug effects', 'Pyruvaldehyde/*pharmacology', 'Uterus/metabolism']",1991/02/20 00:00,1991/02/20 00:01,['1991/02/20 00:00'],"['1991/02/20 00:00 [pubmed]', '1991/02/20 00:01 [medline]', '1991/02/20 00:00 [entrez]']",['10.1002/ijc.2910470421 [doi]'],ppublish,Int J Cancer. 1991 Feb 20;47(4):603-9. doi: 10.1002/ijc.2910470421.,,,,,,,,,,,,,,,,
1995487,NLM,MEDLINE,19910322,20190708,0020-7136 (Print) 0020-7136 (Linking),47,4,1991 Feb 20,"Human colon carcinoma, fibrosarcoma and leukemia cell lines produce tumor-associated trypsinogen.",592-6,"Previous studies have indicated that cyst fluid of ovarian tumors contains 2 trypsinogen isoenzymes, called tumor-associated trypsinogen-I (TAT-I) and trypsinogen-2 (TAT-2), the levels of which correlate with the degree of malignancy of the tumors. In addition, these cyst fluids contain large amounts of tumor-associated trypsin inhibitor (TATI), which is also expressed in many other human tumors. In the present study we examined the production of TAT-I, TAT-2 and TATI in 9 established tumor-cell lines. TAT-2 was produced by 5 cell lines. Its concentration in the conditioned medium of COLO 205 colon adenocarcinoma cells, K-562 erythroleukemia cells and fibrosarcoma cell lines HT 1080, 8387 and A 9733 was 460 micrograms/l, 9.8 micrograms/l, 21 micrograms/l, 8.8 micrograms/l and 0.24 micrograms/l, respectively. TAT-I was detectable in the conditioned medium of COLO 205 and HT 1080 cells at concentrations of 64 micrograms/l and 0.5 micrograms/l, respectively. TATI was detected only in the media of COLO 205 cells at a concentration of 23 micrograms/l. TAT-2 zymogen was purified from the conditioned medium of COLO 205 and HT 1080 cells by immunoaffinity chromatography. According to its aminoterminal amino acid sequence, a molecular mass of 28 kDa by SDS-PAGE, elution pattern in ion-exchange chromatography and ability to be activated by enteropeptidase, the zymogen is identical to that previously isolated from cyst fluid of ovarian tumors. In addition, we found that TAT-2 secretion could be down-regulated by dexamethasone in HT 1080 cells but not in COLO 205 cells. The abundant production of TAT-2 isoenzyme in different cancer cell lines suggests that it could contribute to the increased proteolytic activity of many human tumors.","['Koivunen, E', 'Saksela, O', 'Itkonen, O', 'Osman, S', 'Huhtala, M L', 'Stenman, U H']","['Koivunen E', 'Saksela O', 'Itkonen O', 'Osman S', 'Huhtala ML', 'Stenman UH']","['Department of Obstetrics and Gynecology, Helsinki University Central Hospital, Finland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Isoenzymes)', '7S5I7G3JQL (Dexamethasone)', '9002-08-8 (Trypsinogen)']",IM,,"['Carcinoma/*enzymology', 'Colonic Neoplasms/*enzymology', 'Dexamethasone/pharmacology', 'Extracellular Matrix/metabolism', 'Fibrosarcoma/*enzymology', 'Humans', 'Isoenzymes/*analysis', 'Leukemia/*enzymology', 'Trypsinogen/*biosynthesis/isolation & purification/physiology', 'Tumor Cells, Cultured']",1991/02/20 00:00,1991/02/20 00:01,['1991/02/20 00:00'],"['1991/02/20 00:00 [pubmed]', '1991/02/20 00:01 [medline]', '1991/02/20 00:00 [entrez]']",['10.1002/ijc.2910470419 [doi]'],ppublish,Int J Cancer. 1991 Feb 20;47(4):592-6. doi: 10.1002/ijc.2910470419.,,,,,,,,,,,,,,,,
1995478,NLM,MEDLINE,19910322,20190708,0020-7136 (Print) 0020-7136 (Linking),47,4,1991 Feb 20,Sequence variations in LTR and env regions of HTLV-I do not discriminate between the virus from patients with HTLV-I-associated myelopathy and adult T-cell leukemia.,491-5,"For detailed comparison of human T-cell leukemia virus type I (HTLV-I) in adult T-cell leukemia (ATL) and HTLV-I-associated myelopathy (HAM), the nucleotide sequences of parts of the long terminal repeat (LTR) and env regions of the HTLV-I proviruses from 12 patients with HAM, 8 patients with ATL and one with both diseases were analyzed. About 340 bp of the LTR U3 region, about 450 bp of the 5' region and about 280 bp of the 3' region of env were sequenced directly in DNAs amplified by the polymerase chain reaction (PCR) with 2 or 3 sets of primers for each region. Nucleotide insertions, deletions or point mutations were observed at 50 positions in these regions of about 1,000 nucleotides length. None of these changes was specific to either HAM or ATL, and some changes were observed in proviruses from both cases of HAM and ATL. Moreover, the sequences of proviruses isolated from pairs of cell lines established from cerebrospinal fluid (CSF) and peripheral blood mononuclear cells (PBMCs) of the 4 patients with HAM also had different sequences. These results indicate that the proviruses from HAM and ATL are indistinguishable in these sequenced regions, suggesting that these 2 diseases are caused by infection with genetically indistinguishable HTLV-I. Therefore, the reason why these two distinct diseases, HAM and ATL, develop in HTLV-I carriers may be based on a host factor(s) or some other factor(s) rather than variation in the virus itself.","['Kinoshita, T', 'Tsujimoto, A', 'Shimotohno, K']","['Kinoshita T', 'Tsujimoto A', 'Shimotohno K']","['Virology Division, National Cancer Center Research Institute, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,,IM,,"['Base Sequence', '*Genes, env', '*HIV Long Terminal Repeat', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Leukemia, T-Cell/*microbiology', 'Molecular Sequence Data', 'Paraparesis, Tropical Spastic/*microbiology']",1991/02/20 00:00,1991/02/20 00:01,['1991/02/20 00:00'],"['1991/02/20 00:00 [pubmed]', '1991/02/20 00:01 [medline]', '1991/02/20 00:00 [entrez]']",['10.1002/ijc.2910470403 [doi]'],ppublish,Int J Cancer. 1991 Feb 20;47(4):491-5. doi: 10.1002/ijc.2910470403.,,,,,,,,,,,,,,,,
