PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,GS,SI,CON,RF,EIN,TT,PMC,MID
8395801,NLM,MEDLINE,19930927,20151119,0005-2086 (Print) 0005-2086 (Linking),37,2,1993 Apr-Jun,Recovery of acutely transforming viruses from myeloid leukosis induced by the HPRS-103 strain of avian leukosis virus.,438-50,"Viruses rapidly able to transform cultured chicken bone marrow cells have been isolated from cases of myelocytic myeloid leukosis (MML) induced experimentally by the HPRS-103 strain of avian leukosis virus, and from field cases of MML. HPRS-103 virus itself did not acutely transform cultured bone-marrow cells. These findings suggest that during myeloid leukemogenesis by HPRS-103 virus, recombinant viruses are generated with transduced cellular oncogenes. The transformed cell appeared to be a macrophage precursor cell. Transformed cells in culture lost their proliferative capacity after a few weeks and then tended to resemble more differentiated macrophages. This change could be reversed temporarily by addition of a myelomonocytic growth factor, cMGF, to the culture medium. In oncogenicity tests, a selection of the virus strains induced MML, nephroblastomas, renal adenomas/adenocarcinomas, and other tumors in line 21 meat-type chickens but not in line 0 chickens. This difference may have been related to a propensity for the virus strains to induce persistent tolerant viremic infections in the line 21 chickens following infection at 1 day of age. The oncogenic pattern was not clearly related to the ability of the viruses to transform cultured bone-marrow cells. The generation of acutely transforming viruses during myeloid leukemogenesis may be relevant to the occurrence of MML in the field.","['Payne, L N', 'Gillespie, A M', 'Howes, K']","['Payne LN', 'Gillespie AM', 'Howes K']","['AFRC Institute for Animal Health, Houghton Laboratory, Huntingdon, Cambridgeshire, England.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Avian Dis,Avian diseases,0370617,,IM,"['Animals', 'Avian Leukosis/*microbiology/pathology', 'Avian Leukosis Virus/*pathogenicity', 'Bone Marrow/microbiology/*pathology', 'Cell Line', '*Cell Transformation, Viral', 'Chickens/*microbiology', 'Neoplasms, Experimental/microbiology/pathology']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",,ppublish,Avian Dis. 1993 Apr-Jun;37(2):438-50.,,,,,,,,,,
8395625,NLM,MEDLINE,19930930,20130304,0887-6924 (Print) 0887-6924 (Linking),7 Suppl 2,,1993 Aug,Analysis of the target cell for Epstein-Barr virus infection in Epstein-Barr virus associated hemophagocytic syndrome (EBV-AHS).,S93-7,"Epstein-Barr virus (EBV) infected cells were examined in three cases of EBV-associated hemophagocytic syndrome (EBV-AHS) by analysis of the heterogeneity of terminal repetitive sequences in the EBV genome, indicating monoclonal expansion of EBV-infected cells in all cases. Involvement of T lymphoid cells was determined by the finding of in situ hybridization using [35S]-labeled RNA probes specific for the small EBV-encoded nuclear RNAs, EBER1 and EBER2, in combination with immunostaining for the TCR-beta chain, CD45RO, CD20, CD30 and CD68 antigens in these three cases. The majority of lymphoid cells showing EBER transcripts were stained by antibodies against CD45RO and TCR-beta. In contrast, EBER-specific signals were not detectable on B cells or hemophagocytic cells. These data support the concept that subclinical EBV-associated T cell proliferation is the primary characteristic of EBV-AHS, rather than proliferations of hemophagocytosing histiocytes.","['Mizutani, S', 'Kawaguchi, H', 'Miyashita, T', 'Herbst, H', 'Niedobitek, G', 'Asada, M', 'Tsuchida, M', 'Hanada, R', 'Kinoshita, A', 'Sakura, M']","['Mizutani S', 'Kawaguchi H', 'Miyashita T', 'Herbst H', 'Niedobitek G', 'Asada M', 'Tsuchida M', 'Hanada R', 'Kinoshita A', 'Sakura M', 'et al.']","[""Department of Virology, National Children's Medical Research Center, Tokyo, Japan.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, Viral)']",IM,"['Adolescent', 'Antigens, Viral/analysis', 'Cell Division', 'Child, Preschool', 'Female', '*Herpesvirus 4, Human/immunology', 'Histiocytosis, Non-Langerhans-Cell/*pathology', 'Humans', 'Infant', 'Male']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Aug;7 Suppl 2:S93-7.,,,,,,,,,,
8395624,NLM,MEDLINE,19930930,20191210,0887-6924 (Print) 0887-6924 (Linking),7 Suppl 2,,1993 Aug,The Sukhumi primate monkey model for viral lymphomogenesis: high incidence of lymphomas with presence of STLV-I and EBV-like virus.,S86-92,"T-cell leukemia virus-like proviral sequences (STLV-I) as well as EBV-like sequences were detected in PBLs and tissues of non-human primates (Papio hamadryas baboons, Green monkeys and Macaca arctoides; Sukhumi Primate Center/Georgia) by PCR. Surprisingly, two different types of STLV-I within Papio hamadryas baboons were found. One of its represents the baboon prototype STLV-I-Su described earlier, present in lymphomatous baboons from the ""high-lymphoma stock"", which shows about 83% homology to HTLV-I and 85% to STLV-I in the env and tax genes. The inter-individual variability within this subtype is very low (about 1% in the tax gene). The second subtype was mainly found in asymptomatic animals from the control colony and showed in the env gene 95% homology to HTLV-I, but only 82% to the prototype baboon sequence. The presence of two subtypes within the Sukhumi baboon population might be interesting in respect to the inoculation experiments with human leukemic blood and to possible interspecies transmissions. The nature of the Herpes Papio-virus was elucidated as EBV-like and the homology to the human EBV was > 90% in the polymerase gene. The homologies between different monkey species were between 92 and 96% and also here two subtypes within the baboons were detected. This is the first direct demonstration by sequencing that the Herpes Papio virus is closely related to EBV. For further studies of this animal model, rabbits were inoculated with cells originated from lymphomatous baboons and macaques. The rabbits developed generalized lymphomas lethal within 1-2 months. EBV-like and STLV-I-like sequences could be detected by PCR and sequencing showed 99-100% identity to the inoculum, indicating in fact the transmission from monkey to rabbit. These animal models seem to be very suitable for the elucidation of the pathogenesis of human HTLV-I associated T-cell leukemia/lymphoma and might be further on used for therapeutical and preventative studies.","['Schatzl, H', 'Tschikobava, M', 'Rose, D', 'Voevodin, A', 'Nitschko, H', 'Sieger, E', 'Busch, U', 'von der Helm, K', 'Lapin, B']","['Schatzl H', 'Tschikobava M', 'Rose D', 'Voevodin A', 'Nitschko H', 'Sieger E', 'Busch U', 'von der Helm K', 'Lapin B']","['Max von Pettenkofer Institute for Medical Microbiology and Hygiene, University of Munich, Germany.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,,IM,"['Animals', 'Base Sequence', 'Chlorocebus aethiops/*microbiology', 'Disease Models, Animal', 'Genes, pX/genetics', 'Genes, pol/*genetics', 'Herpesvirus 4, Human/genetics/*isolation & purification', 'Human T-lymphotropic virus 1/genetics/*isolation & purification', 'Lymphoma/genetics/microbiology', 'Macaca/*microbiology', 'Molecular Sequence Data', 'Papio/*microbiology', 'Polymerase Chain Reaction', 'Rabbits', 'Simian T-lymphotropic virus 1/genetics/*isolation & purification']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Aug;7 Suppl 2:S86-92.,,,"['pol', 'tax']",,,,,,,
8395623,NLM,MEDLINE,19930930,20160422,0887-6924 (Print) 0887-6924 (Linking),7 Suppl 2,,1993 Aug,Cytomegalovirus: variations in tropism and disease.,S83-5,,"['Torok-Storb, B', 'Fries, B', 'Stachel, D', 'Khaira, D']","['Torok-Storb B', 'Fries B', 'Stachel D', 'Khaira D']","['Fred Hutchinson Cancer Research Center, Seattle, Washington.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (DNA, Viral)']",IM,"['Bone Marrow/*microbiology/pathology', 'Bone Marrow Transplantation/adverse effects', 'Cytomegalovirus/genetics/*isolation & purification', 'Cytomegalovirus Infections/blood/*microbiology/pathology/transmission', 'DNA, Viral/*isolation & purification', 'Humans', 'Leukocyte Count', 'Lymphocytes', 'Lymphopenia/etiology', 'Retrospective Studies']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Aug;7 Suppl 2:S83-5.,"['CA18029/CA/NCI NIH HHS/United States', 'CA18221/CA/NCI NIH HHS/United States', 'DK34431/DK/NIDDK NIH HHS/United States', 'etc.']",,,,,,,,,
8395622,NLM,MEDLINE,19930930,20130304,0887-6924 (Print) 0887-6924 (Linking),7 Suppl 2,,1993 Aug,Viruses and Hodgkin's disease.,S78-82,"Hodgkin's disease (HD) is a heterogeneous condition with distinct histological and epidemiological subgroups. Recent data provide evidence that the Epstein-Barr virus (EBV) is associated with a significant proportion of cases. Clonal EBV genomes have been detected in affected tissues and EBV has been localised to RS cells. The significance of these findings is reinforced by the detection of the EBV latent gene product LMP-1, which has known transforming potential, within RS cells in EBV-associated cases. The age distribution of EBV-associated cases is non-random. Paediatric cases, particularly those aged < 10 years, are likely to be EBV-associated as are older adult cases. In contrast, a smaller proportion of young adult cases is EBV-associated, and nodular sclerosis HD cases within this age group are positive infrequently. The results of our studies provide support for the hypothesis that HD has multiple aetiologies but do not support the polio model. The epidemiological evidence suggesting that HD may have an infectious aetiology is strongest for the young adult age group. EBV was suggested as a candidate virus however it is in these cases that there is least evidence for involvement of EBV. It would seem plausible that another virus, possibly another common childhood infectious agent, is responsible for the incidence peak seen in this age group in developed countries.","['Jarrett, R F']",['Jarrett RF'],"['Department of Veterinary Pathology, University of Glasgow.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Leukemia,Leukemia,8704895,"['0 (RNA-Binding Proteins)', '0 (Ribosomal Proteins)', '135844-68-7 (RPL22 protein, human)']",IM,"['Age Factors', '*Herpesvirus 4, Human/chemistry/genetics/isolation & purification', 'Hodgkin Disease/*etiology/pathology', 'Humans', 'RNA-Binding Proteins/analysis', 'Reed-Sternberg Cells/chemistry', '*Ribosomal Proteins', 'Tumor Virus Infections/*complications']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Aug;7 Suppl 2:S78-82.,,,,,,62,,,,
8395464,NLM,MEDLINE,19930928,20071114,0272-457X (Print) 0272-457X (Linking),12,3,1993 Jun,The expression of H-like blood group glycolipids in small cell carcinoma of the lung.,239-47,"Monoclonal antibody SM1 has been shown to be preferentially reactive with small cell carcinoma of the lung (SCCL) cell lines by fluorescent and radioimmunoassay membrane staining (1). Using solid phase indirect radioimmunoassay, the antigen is not detected in non-SCCL lung carcinomas histologically classified as squamous carcinoma, adenocarcinoma or large cell carcinoma, and other tumors, viz; pheochromocytoma, a mesoderm derived lymphoblastic leukemia cell line or in normal human brain, heart, liver, colon, endothelial tissues of the aorta and blood vessels, skin, omentum, muscle, lung parenchyma and is weakly reactive with bronchial mucosa, pancreas, and kidney. The membrane antigens detected by SM1 were isolated from small cell carcinoma of the lung (SCCL) cell line, SW2, using anion exchange chromatography and thin layer chromatography, and were further analysed by exoglycosidase and endoglycosidase treatments followed by chemical staining and immunostaining with SM1 and other antibodies. We show here that SM1 antibody reacts with a group of fucose-containing neutral glycolipids and gangliosides many of which are cross-reactive with antibodies to H antigens.","['Cualing, H', 'Siegel, R', 'Schwarting, G A', 'Suchy, S F', 'McCluer, R H', 'Bernal, S']","['Cualing H', 'Siegel R', 'Schwarting GA', 'Suchy SF', 'McCluer RH', 'Bernal S']","['Department of Pathology, University of Cincinnati School of Medicine, OH 45267.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hybridoma,Hybridoma,8202424,"['0 (ABO Blood-Group System)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', '0 (Gangliosides)', '0 (Glycolipids)', '0 (Glycosphingolipids)', 'EC 3.2.1.51 (alpha-L-Fucosidase)']",IM,"['ABO Blood-Group System/immunology', 'Antibodies, Monoclonal/*immunology', 'Antibodies, Neoplasm/*immunology', 'Antibody Specificity', 'Antigens, Neoplasm/*biosynthesis/immunology/isolation & purification', 'Carcinoma, Small Cell/immunology/*metabolism', 'Cross Reactions', 'Gangliosides/immunology', 'Glycolipids/*biosynthesis/immunology/isolation & purification', 'Glycosphingolipids/immunology', 'Humans', 'Lung Neoplasms/immunology/*metabolism', 'alpha-L-Fucosidase/metabolism']",1993/06/01 00:00,1993/06/01 00:01,['1993/06/01 00:00'],"['1993/06/01 00:00 [pubmed]', '1993/06/01 00:01 [medline]', '1993/06/01 00:00 [entrez]']",['10.1089/hyb.1993.12.239 [doi]'],ppublish,Hybridoma. 1993 Jun;12(3):239-47. doi: 10.1089/hyb.1993.12.239.,"['HD-05515/HD/NICHD NIH HHS/United States', 'NCI PO1-CA38493/CA/NCI NIH HHS/United States']",,,,,,,,,
8395394,NLM,MEDLINE,19930930,20141120,0014-4827 (Print) 0014-4827 (Linking),208,1,1993 Sep,"Differential modulation of the expression of the intermediate filament proteins vimentin and nuclear lamins A and C by differentiation inducers in human myeloid leukemia (U-937, HL-60) cells.",115-20,"Earlier reports seemed to indicate that the cytoplasmic intermediate filament protein vimentin and the nuclear intermediate-type filament proteins A and C lamins are expressed in a coordinate manner in human myeloid cells. We have comparatively studied the expression of the vimentin and the A/C lamin genes at the RNA and protein levels in human U-937 promonocytic and HL-60 promyelocytic cells treated with differentiation inducers. 12-O-Tetradecanoyl phorbol-13-acetate and cytosine arabinoside produced a coordinate and stable stimulation of both vimentin and A/C lamin expression in U-937 cells. A stable increase in vimentin expression was also produced by sodium butyrate and by dibutyryl cyclic AMP in U-937 cells and by dimethyl sulfoxide in HL-60 cells. In contrast, these agents produced only a transient increase in A/C lamin expression (maximum mRNA levels at 6-24 h), which later returned to expression levels similar to or even lower than those in untreated cells. Retinoic acid greatly inhibited vimentin expression in HL-60 cells, but it had little effect on A/C lamin expression. Taken together, the present results suggest that there are important differences in the mechanisms which regulate the expression of the vimentin and nuclear lamin genes, as well as in their implication in the differentiation of human myeloid cells.","['Rius, C', 'Vilaboa, N', 'Mata, F', 'Aller, P']","['Rius C', 'Vilaboa N', 'Mata F', 'Aller P']","['Centro de Investigaciones Biologicas, CSIC, Madrid, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Butyrates)', '0 (Lamins)', '0 (Nuclear Proteins)', '0 (RNA, Messenger)', '0 (Vimentin)', '04079A1RDZ (Cytarabine)', '107-92-6 (Butyric Acid)', '5688UTC01R (Tretinoin)', '63X7MBT2LQ (Bucladesine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Bucladesine/pharmacology', 'Butyrates/pharmacology', 'Butyric Acid', 'Cell Differentiation/drug effects', 'Cytarabine/pharmacology', 'Gene Expression/drug effects', 'Humans', 'In Vitro Techniques', 'Lamins', 'Leukemia, Myeloid/pathology', 'Nuclear Proteins/genetics/*metabolism', 'RNA, Messenger/genetics', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured', 'Vimentin/genetics/*metabolism']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']","['S0014-4827(83)71228-0 [pii]', '10.1006/excr.1993.1228 [doi]']",ppublish,Exp Cell Res. 1993 Sep;208(1):115-20. doi: 10.1006/excr.1993.1228.,,,,,,,,,,
8395365,NLM,MEDLINE,19930924,20181130,0192-253X (Print) 0192-253X (Linking),14,3,1993,Growth factors and their receptors in development.,159-64,,"['Adamson, E D']",['Adamson ED'],"['La Jolla Cancer Research Foundation, California 92037.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Dev Genet,Developmental genetics,7909963,"['0 (Growth Inhibitors)', '0 (Growth Substances)', '0 (Insulin)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Platelet-Derived Growth Factor)', '0 (Receptors, Cell Surface)', '0 (Receptors, Transforming Growth Factor beta)', '0 (Transforming Growth Factor beta)', '62229-50-9 (Epidermal Growth Factor)', 'EC 2.7.10.1 (ErbB Receptors)', 'EC 2.7.10.1 (Receptors, Platelet-Derived Growth Factor)']",IM,"['Aging/physiology', 'Animals', 'Embryonic and Fetal Development/physiology', 'Epidermal Growth Factor/genetics/physiology', 'ErbB Receptors/genetics/physiology', 'Female', 'Growth Inhibitors/physiology', 'Growth Substances/genetics/*physiology', 'Humans', 'Insulin/physiology', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/physiology', 'Male', 'Mammals', 'Platelet-Derived Growth Factor/genetics/physiology', 'Receptors, Cell Surface/genetics/*physiology', 'Receptors, Platelet-Derived Growth Factor/genetics/physiology', 'Receptors, Transforming Growth Factor beta', 'Transforming Growth Factor beta/genetics/physiology']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1002/dvg.1020140302 [doi]'],ppublish,Dev Genet. 1993;14(3):159-64. doi: 10.1002/dvg.1020140302.,"['CA28427/CA/NCI NIH HHS/United States', 'HD21957/HD/NICHD NIH HHS/United States']",,,,,50,,,,
8395313,NLM,MEDLINE,19930924,20071115,0376-2491 (Print) 0376-2491 (Linking),73,4,1993 Apr,[Cytogenetic and molecular studies in patients with chronic myelogenous leukemia without Ph chromosome and with unusual Ph translocation].,"209-12, 252-3","Cytogenetic and molecular studies were made in 4 patients with Ph negative chronic myelogenous leukemia (CML) and 4 patients with CML with unusual Ph translocation. Chromosome analysis was performed on direct preparations and short-term cultures of bone marrow cells by R and G bandings. Southern blot analysis of DNA from leukemia cells was made using 4.5kb bcr-u and 1.5kb bcr-HE probes. Four patients with Ph negative CML had normal karyotypes. Among them, 3 had rearrangement of bcr, and 1 expected germ line pattern only. In the 4 patients with CML with unusual Ph translocation who had bcr rearrangement, one had a masked Ph chromosome originating from a translocation t(3;22) (p22;q11), the other three had one of the following complex Ph translocations: t(9;22;13) (q34;q11;q21), t(3;14;22) (p21;q32;q11) and t(X;9;22;12) (q22; q34; q11; q24). Our data confirmed that Ph negative CML could be divided into two different subsets: Ph-bcr+ CML and Ph-bcr-CML and that whatever the type of translocation may be, CML with unusual Ph translocation and Ph positive CML had a common molecular pathological basis.","['Xue, Y Q']",['Xue YQ'],"['Jiangsu Institute of Hematology, Suzhou.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,['0 (Genetic Markers)'],IM,"['Adult', 'Blotting, Southern', 'Chromosomes, Human, Pair 22', 'Chromosomes, Human, Pair 3', 'Female', 'Gene Rearrangement', 'Genetic Markers', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/*genetics', 'Male', 'Middle Aged', '*Philadelphia Chromosome', '*Translocation, Genetic']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",,ppublish,"Zhonghua Yi Xue Za Zhi. 1993 Apr;73(4):209-12, 252-3.",,,,,,,,,,
8395311,NLM,MEDLINE,19930924,20071115,0376-2491 (Print) 0376-2491 (Linking),73,4,1993 Apr,[Acute myelocytic leukemia-1 gene rearrangement in acute myeloblastic leukemia with t(8;21)].,"201-5, 252","The chromosomal translocation t(8;21) (q22;q22), one of the most important recurrent cytogenetic abnormalities in acute leukemia, is mainly associated with the AML-M2 phenotype. In this study, the chromosome 21 breakpoints in 24 out of 29 patients with acute leukemia and t(8;21) were determined. The breakpoints were clustered within intron 4 of the AML-1 gene in 23 patients, including two with variant translocations, and one with the myelomonocytic subtype of acute leukemia. In one case the breakpoint was located in intron 5. In case 29 with 45, XY, del(8) (q22), -21, i.e. lacking the 21q+chromosome, the AML-1 gene was also rearranged intron 4. This suggests that the rearranged sequence important in this leukemia is located to the del (8) chromosome.","['Zhang, T']",['Zhang T'],"['Shanghai Rui-Jin Hospital, Shanghai Institute of Hematology, Shanghai Second Medical University.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (DNA Probes)', '0 (DNA, Neoplasm)']",IM,"['Adolescent', 'Adult', 'Aged', 'Base Sequence', 'Blotting, Southern', 'Child', 'Child, Preschool', 'Chromosome Deletion', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 8', 'DNA Probes', 'DNA, Neoplasm/genetics', 'Female', '*Gene Rearrangement', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Transcription, Genetic', '*Translocation, Genetic']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",,ppublish,"Zhonghua Yi Xue Za Zhi. 1993 Apr;73(4):201-5, 252.",,,,,,,,,,
8395310,NLM,MEDLINE,19930924,20131121,0376-2491 (Print) 0376-2491 (Linking),73,4,1993 Apr,[Molecular study on the distinct isoforms of PML-RAR alpha fusion gene transcripts in acute promyelocytic leukemia].,"197-200, 252","The chromosomal translocation t(15; 17) in acute promyelocytic leukemia (APL) results in the production of a fusion gene PML-RAR alpha specific for the disease. Using the retrotranscriptase/polymerase chain reaction (RT/PCR), we cloned several distinct isoforms of PML-RAR alpha fusion transcripts and obtained their nucleic acid sequences. The results showed that the RAR alpha derived sequences were the same in fusion genes while the PML sequences differed as a result of the locations of PML gene breakpoints. The biological significance of this finding should be further studied.","['Geng, J P']",['Geng JP'],"['Laboratory of Molecular Biology, Shanghai Institute of Hematology, Rui-Jin Hospital, Shanghai Second Medical University.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (Carrier Proteins)', '0 (DNA, Neoplasm)', '0 (Neoplasm Proteins)', '0 (Receptors, Retinoic Acid)', '5688UTC01R (Tretinoin)']",IM,"['Base Sequence', 'Carrier Proteins/*genetics', 'Chromosomes, Human, Pair 15', 'Chromosomes, Human, Pair 17', 'DNA, Neoplasm/genetics', 'Gene Rearrangement', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics', 'Molecular Sequence Data', 'Neoplasm Proteins/*genetics', 'Polymerase Chain Reaction', 'Receptors, Retinoic Acid', 'Transcription, Genetic', '*Translocation, Genetic', 'Tretinoin/metabolism']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",,ppublish,"Zhonghua Yi Xue Za Zhi. 1993 Apr;73(4):197-200, 252.",,,,,,,,,,
8395309,NLM,MEDLINE,19930924,20041117,0376-2491 (Print) 0376-2491 (Linking),73,4,1993 Apr,[Development of hemomolecular biology in China].,195-6,,"['Chen, Z']",['Chen Z'],,['chi'],['Editorial'],China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,['0 (Hemoglobins)'],IM,"['Anemia/genetics', 'Hematologic Diseases/*genetics', 'Hemoglobins/genetics', 'Humans', 'Leukemia/genetics', 'Lymphoma/genetics', '*Molecular Biology']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 1993 Apr;73(4):195-6.,,,,,,,,,,
8395168,NLM,MEDLINE,19930922,20190904,0365-6233 (Print) 0365-6233 (Linking),326,7,1993 Jul,Synthesis and biological activity of bromolignans and cyclolignans.,421-6,"Nine lignan derivatives (4-12) have been obtained from (-)-yatein by treatment with DDQ and NBS. They showed moderate antineoplastic activity (P-388, A-549, HT-29) compared with podophyllotoxin, but some of them have a better therapeutic index. None of the tested compounds shows anti-viral (HSV-1, VSV) or enzyme inhibitor (ADA, DHFR, GST) activities.","['San Feliciano, A', 'Medarde, M', 'Pelaez Lamamie de Clairac, R', 'Lopez, J L', 'Puebla, P', 'Garcia Gravalos, M D', 'Ruiz Lazaro, P', 'Garcia de Quesada, M T']","['San Feliciano A', 'Medarde M', 'Pelaez Lamamie de Clairac R', 'Lopez JL', 'Puebla P', 'Garcia Gravalos MD', 'Ruiz Lazaro P', 'Garcia de Quesada MT']","['Department of Organic Chemistry, University of Salamanca, Faculty of Pharmacy, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Arch Pharm (Weinheim),Archiv der Pharmazie,0330167,"['0 (Adenosine Deaminase Inhibitors)', '0 (Antineoplastic Agents)', '0 (Antiviral Agents)', '0 (Enzyme Inhibitors)', '0 (Folic Acid Antagonists)', '0 (Lignans)', '9005-53-2 (Lignin)', 'EC 2.5.1.18 (Glutathione Transferase)']",IM,"['Adenosine Deaminase Inhibitors', 'Animals', 'Antineoplastic Agents/chemical synthesis/pharmacology', 'Antiviral Agents/*chemical synthesis/pharmacology', 'Enzyme Inhibitors/*chemical synthesis/pharmacology', 'Folic Acid Antagonists', 'Glutathione Transferase/antagonists & inhibitors', 'Humans', 'Leukemia P388/drug therapy', 'Lignans', 'Lignin/*chemical synthesis/pharmacology', 'Mice', 'Mice, Inbred DBA', 'Neoplasms, Experimental/drug therapy']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1002/ardp.19933260709 [doi]'],ppublish,Arch Pharm (Weinheim). 1993 Jul;326(7):421-6. doi: 10.1002/ardp.19933260709.,,,,,,,,,,
8395101,NLM,MEDLINE,19930917,20041117,0041-1337 (Print) 0041-1337 (Linking),56,2,1993 Aug,Over-expression of c-myc oncoprotein in B lymphocytes of renal transplant recipients with lymphoproliferative disorders.,467-70,,"['Sabido, O', 'Alamartine, E', 'Barthelemy, J C', 'Berthoux, F']","['Sabido O', 'Alamartine E', 'Barthelemy JC', 'Berthoux F']","['Centre Commun de Cytometrie de Flux, Faculte de Medecine J. Lisfranc, Universite de Saint-Etienne, France.']",['eng'],['Journal Article'],United States,Transplantation,Transplantation,0132144,['0 (Proto-Oncogene Proteins c-myc)'],IM,"['B-Lymphocytes/*physiology', 'Gene Expression/*genetics', 'Genes, myc/genetics', 'Herpesvirus 4, Human', 'Humans', 'Kidney Transplantation/*physiology', 'Leukemia, Promyelocytic, Acute/genetics', 'Lymphoproliferative Disorders/blood/*genetics/microbiology', 'Proto-Oncogene Proteins c-myc/*blood/*genetics/metabolism', 'T-Lymphocytes/immunology']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Transplantation. 1993 Aug;56(2):467-70.,,,['c-myc'],,,,,,,
