PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,PS,FPS,TT,RF,PMC,CN,CI,DEP,LID,EIN,CON,OAB,OABL,SI,OTO,OT,IR,FIR,IRAD
11378574,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Acute leukemia during pregnancy: a single institutional experience with 17 cases.,571-7,"We reviewed the medical records of 17 consecutive patients with concomitant acute leukemia and pregnancy seen at our institution over a 37-year period. Fifteen cases each were either newly diagnosed or classified as acute myeloid leukemia (AML). Seven diagnoses (41%) occurred in the first, 7 (41%) in the second, and 3 (18%) in the third trimester. In general, nine patients received chemotherapy while pregnant-eight in the second trimester and one in the third. The overall complete remission rate among the 13 patients with newly diagnosed AML was 69%, compared with 86% in those who were pregnant during chemotherapy. Long-term survival was documented in five of the nine complete responders. Three of four patients who elected to delay treatment until after delivery died within days of starting chemotherapy. Unintentional fetal loss occurred in four patients (29%), including two without exposure to chemotherapy. There were no instances of congenital malformation. The results from the current study confirm that pregnancy per se may not affect the outcome of chemotherapy in AML. In addition, it is suggested that treatment delays may compromise maternal outcome without improving pregnancy outcome.","['Greenlund, L J', 'Letendre, L', 'Tefferi, A']","['Greenlund LJ', 'Letendre L', 'Tefferi A']","['Division of Hematology and Internal Medicine, Mayo Clinic and Mayo Foundation, Rochester, MN 55905, USA.']",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Agents/administration & dosage/adverse effects', 'Female', 'Humans', 'Leukemia/*drug therapy/mortality', 'Pregnancy', 'Pregnancy Complications, Neoplastic/*drug therapy/mortality', 'Pregnancy Outcome', 'Pregnancy Rate', 'Pregnancy Trimesters', 'Remission Induction', 'Retrospective Studies', 'Treatment Outcome']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001216 [pii]', '10.3109/10428190109060347 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):571-7. doi: 10.3109/10428190109060347.,,,,,,,,,,,,,,,,,,,,,
11378573,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Adjustment of incidence rates after an estimate of completeness and accuracy in registration of acute leukemias in a Swedish population.,559-70,"Earlier studies have revealed undernotification of hematological malignancies in Swedish and other Cancer Registries. We present epidemiological data on AML, ALL and unspecified AL in adults diagnosed 1987-1992 in a well-defined population. Blast crises of CML were excluded. The Swedish Cancer Registry and Cause of Death Registry were compared and patient records reviewed for validation. When available, listings of pathology bone marrow reports and inpatient discharge diagnoses were utilized for casefinding. 260 cases of acute leukemias could be verified in a population of 663,135 adults, corresponding to a yearly incidence of 6.5/100,000. The median age of the patients was 69.2 years. 214 cases were AML, 38 ALL and eight unspecified AL. Undernotification in the Cancer Registry was found to be 15.4%, greater for AML and unspecified AL than for ALL. In addition the coding was not uniform, resulting in an incidence rate in adults of 5.3/100,000 for the Cancer Registry which is 18.5% lower than that of our study. A significant survival advantage was seen for notified patients. Combination of the Cancer Registry and Cause of Death Registry gave acceptable coverage, omitting only four patients. As the incidence of acute leukemias in our study is comparatively high, we hypothesize that underestimation of incidence and overestimation of survival are general problems for cancer registries.","['Astrom, M', 'Bodin, L', 'Tidefelt, U']","['Astrom M', 'Bodin L', 'Tidefelt U']","['Division of Hematology, Department of Internal Medicine; Orebro Medical Center Hospital, S-701 85 Orebro, Sweden. maria.astrom@orebroll.se']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Data Interpretation, Statistical', 'Female', 'Humans', 'Incidence', 'Leukemia/*epidemiology', 'Male', 'Middle Aged', 'Neoplasms, Second Primary/epidemiology', 'Registries/*statistics & numerical data', 'Survival Rate', 'Sweden/epidemiology']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001210 [pii]', '10.3109/10428190109060346 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):559-70. doi: 10.3109/10428190109060346.,,,,,,,,,,,,,,,,,,,,,
11378572,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Does intensive treatment with high dose chlorambucil and prednisone as first line and cladribine as second line influence the survival of the patients with chronic lymphocytic leukemia?,545-57,"Cladribine (2-CdA) and fludarabine are the new purine analogs introduced in the treatment of chronic lymphocytic leukemia (CLL). Despite the high response rate, their influence on survival is still uncertain. The aim of this study was a retrospective analysis and comparison of the response rate and survival of CLL patients treated with high dose chlorambucil (HDChl) as first and 2-CdA as second line, with an historical group of patients never treated with purine analogs who received standard doses of chlorambucil (SDChl). We analyzed 347 patients with CLL treated between January 1985 and January 2000. Group A (190 patients) received HDChl (12 mg/m(2) ) with prednisone (P) 30 mg/m(2) daily for 7 days monthly as first line and in refractory or early relapsed patients 2-CdA (0.12 mg/kg/day) for 5 days with or without P (30mg/m(2) ) as second line. Group B (157 patients) received continuous SDChl (4-8 mg/m(2) /day) and P as first line and COP or CHOP as second line. The overall response rate (OR) for the first line was 48,4% in group A and 38,9% in group B (p=0.09). 148 patients in group A and 52 in group B received the second line treatment and the second OR was 19.6% and 13.5%, respectively (p=0.4). At the time of analysis, 124 patients died in group A and 139 in group B. Median survival was 65 months and 50 months, respectively. In group A, survival was longer in advanced Rai stage patients (p=0.001) but in early Rai stage was similar for both groups (p=0.4). We suggest that intensive treatment with HDChl as first line and 2-CdA as second line should be applied in more advanced rather than in less advanced stages of CLL until the final results of randomized clinical trials are available.","['Robak, T', 'Blonski , J Z', 'Kasznicki, M']","['Robak T', 'Blonski JZ', 'Kasznicki M']","['Department of Hematology, Medical University of Lodz, Copernicus Memorial Hospital, Poland. robaktad@psk2.am.lodz.pl']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['18D0SL7309 (Chlorambucil)', '47M74X9YT5 (Cladribine)', 'VB0R961HZT (Prednisone)']",IM,"['Actuarial Analysis', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*administration & dosage/toxicity', 'Cause of Death', 'Chlorambucil/administration & dosage/toxicity', 'Cladribine/administration & dosage/toxicity', 'Cohort Studies', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/*mortality', 'Male', 'Middle Aged', 'Prednisone/administration & dosage/toxicity', 'Recurrence', 'Retrospective Studies', 'Survival Rate']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001215 [pii]', '10.3109/10428190109060345 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):545-57. doi: 10.3109/10428190109060345.,,,,,,,,,,,,,,,,,,,,,
11378570,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Interferon-alpha combined with cytarabine in chronic myelogenous leukemia - clinical benefits.,523-33,"During the last decade, several studies have evaluated the treatment of chronic phase chronic myeloid leukemia (CML) with a combination of interferon (IFN)-alpha and low- dose cytarabine (Ara-C). This combination therapy has been shown to be superior compared to monotherapy with IFN-alpha in randomized studies with regard to hematologic and cytogenetic remissions. However, the survival benefit is small, and the toxicity of the combination therapy is high. This paper reviews the published studies on IFN-alpha/low-dose Ara-C for the treatment of chronic phase CML and discusses the value of the combination therapy.","['Lindauer, M', 'Fischer, T']","['Lindauer M', 'Fischer T']","['3rd Medical Department, Johannes Gutenberg-University, Mainz, Germany. M.Lindauer@3-Med.Klinik.Uni-Mainz.de']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Interferon-alpha)', '04079A1RDZ (Cytarabine)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/*administration & dosage/toxicity', 'Clinical Trials as Topic', 'Cytarabine/*administration & dosage/toxicity', 'Humans', 'Interferon-alpha/*administration & dosage/toxicity', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/*drug therapy']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001238 [pii]', '10.3109/10428190109060343 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):523-33. doi: 10.3109/10428190109060343.,,,,,,64,,,,,,,,,,,,,,,
11378569,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Activating mutations of c-kit at codon 816 confer drug resistance in human leukemia cells.,513-22,"An improved understanding of how leukemia cells grow and become resistant to treatment remains critical for developing more effective therapies. We have identified activating mutations of c-kit at codon 816 (Asp(816) ) from a revertant of the cytokine-dependent acute myeloid leukemia (AML) cell line, MO7e (D816H), and de novo childhood AML (D816N). Following transduction of the mutant c-kit cDNAs, MO7e cells acquire a growth advantage and resistance to apoptosis in response to chemotherapeutic drugs and ionizing radiation, in addition to cytokine-independent survival. Although stimulation of mutant c-kit-bearing MO7e cells with stem cell factor (SCF), a ligand for c-Kit, does not have a significant effect on cell proliferation, SCF further inhibits apoptosis induced by cytotoxic agents. These results suggest a potentially important role of Asp(816) mutations of c-kit in both malignant cell proliferation and resistance to therapy.","['Ning, Z Q', 'Li, J', 'Arceci, R J']","['Ning ZQ', 'Li J', 'Arceci RJ']","[""Division of Hematology/Oncology, Children's Hospital Medical Center, Cincinnati, Ohio 45229, USA.""]",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antineoplastic Agents)', '0 (Codon)', '0 (Cytokines)', '0 (Stem Cell Factor)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Amino Acid Substitution', 'Animals', 'Antineoplastic Agents/pharmacology', 'Apoptosis/drug effects/genetics/radiation effects', 'Cell Division/drug effects/genetics', 'Child', 'Codon/genetics', 'Cytokines/pharmacology', 'Drug Resistance, Neoplasm/genetics', 'Humans', 'Leukemia/*drug therapy/genetics/*pathology', 'Leukemia, Myelomonocytic, Acute/etiology/genetics/*pathology', 'Mice', 'Mice, Inbred NOD', 'Mice, SCID', '*Mutation', 'Neoplasm Transplantation', 'Proto-Oncogene Proteins c-kit/*genetics/*pharmacology', 'Stem Cell Factor/drug effects', 'Transduction, Genetic', 'Transplantation, Heterologous', 'Tumor Cells, Cultured/drug effects/radiation effects']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001204 [pii]', '10.3109/10428190109060342 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):513-22. doi: 10.3109/10428190109060342.,,,,,,,,,,,,,,,,,,,,,
11378567,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Is myelodysplastic related acute myelogenous leukemia a distinct entity from de novo acute myelogenous leukemia? Potential for targeted therapies.,493-500,"Acute myelogenous leukemia (AML) can be separated by whether the presentation was proceeded by a myelodysplastic (MDS related AML) or developed de novo (dAML). Clinically, MDS related AML (mAML) has been considered to have a worse prognosis that dAML. The objective of this literature review was to identify unique biologic features of mAML. Compared to dAML, mAML is characterized by an altered immunophenotype (increased frequency of CD34, CD11b and CD25), lack of leukemic progenitor cell suppression due to TGFbeta1, increased bcl-2 expression, presence of inducible nitric oxide synthase, lower levels or mrp transcripts and increased expression of p53. Possible interpretations of these differences between mAML and dAML are presented. Implications for mAML directed therapy are discussed.","['Rosenfeld, C', 'Kantarjian, H']","['Rosenfeld C', 'Kantarjian H']","['Texas Oncology, PA, Dallas, USA. craig.rosenfeld@usoncology.com']",['eng'],"['Comparative Study', 'Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Diagnosis, Differential', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/*diagnosis/etiology/metabolism/therapy', 'Myelodysplastic Syndromes/*pathology', 'Terminology as Topic']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001198 [pii]', '10.3109/10428190109060340 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):493-500. doi: 10.3109/10428190109060340.,,,,,,73,,,,,,,,,,,,,,,
11378566,NLM,MEDLINE,20011231,20190116,1042-8194 (Print) 1026-8022 (Linking),41,5-6,2001 May,Interleukin-12 gene therapy vaccines: directing the immune system against minimal residual leukemia.,483-92,"Current overall survival rates for patients with AML remain poor and there is need for novel therapeutic approaches. One such approach is to use the patient's own immune system to eliminate minimal residual disease. Recent advances in genetic manipulation of tumor cells, together with a better understanding of the immune mechanisms controlling the host-tumor relationship have led to a flurry of preclinical and clinical studies on tumor cell vaccines. Here we present a brief overview of genetic manipulation of tumor cells, and highlight important principles of cancer immunity and cancer vaccines. Special emphasis is given on recent work on the role of interleukin-12 (IL-12) based vaccines in murine AML. These studies have shown that vaccines with AML cells, genetically modified to secrete IL-12, are potent stimulators of the immune system and lead to the development of both prophylactic and therapeutic anti-leukemia immunity.","['Dunussi-Joannopoulos, K', 'Leonard, J P']","['Dunussi-Joannopoulos K', 'Leonard JP']","['Genetics Institute, Andover, Massachusetts 01810, USA.']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Cancer Vaccines)', '187348-17-0 (Interleukin-12)']",IM,"['Animals', 'Cancer Vaccines/*genetics/therapeutic use', 'Genetic Therapy/*methods', 'Humans', 'Immune System/immunology', 'Interleukin-12/genetics/*therapeutic use', 'Leukemia/immunology/pathology/therapy', 'Neoplasm, Residual/immunology/therapy', 'Tumor Cells, Cultured/metabolism/transplantation']",2001/05/30 10:00,2002/01/05 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001217 [pii]', '10.3109/10428190109060339 [doi]']",ppublish,Leuk Lymphoma. 2001 May;41(5-6):483-92. doi: 10.3109/10428190109060339.,,,,,,60,,,,,,,,,,,,,,,
11378563,NLM,MEDLINE,20010816,20190116,1042-8194 (Print) 1026-8022 (Linking),41,3-4,2001 Apr,Secondary myeloid/natural killer cell acute leukemia following T-cell lymphoma.,457-60,"A 56-year-old woman was treated with combination chemotherapy and radiation therapy for peripheral T-cell lymphoma. Following complete remission for a period of 6 months, she returned again with marked leukocytosis. Leukemic cells were characterized by scanty cytoplasm with fine azurophilic granules, and were highly positive for myeloperoxidase and sudan black-B. Immunophenotypic analysis revealed that blast cells were positive for myeloid antigens (CD13, CD33), and natural killer (NK) cell antigen (CD56), but negative for T-cell antigens (CD2, CD5, CD7), B-cell antigens (CD19, CD20), CD34, and HLA-DR. The case was diagnosed as secondary myeloid/NK cell acute leukemia following non-Hodgkin's lymphoma. Despite aggressive chemotherapy against leukemia, she died of multiorgan failure 7 months following onset of leukemia. We present, to the best of our knowledge, the first published report of what seems to be a secondary myeloid/NK cell acute leukemia following T-cell lymphoma.","['Lee, J J', 'Kim, H J', 'Chung, I J', 'Park, M R', 'Ryang, D W', 'Choi, C']","['Lee JJ', 'Kim HJ', 'Chung IJ', 'Park MR', 'Ryang DW', 'Choi C']","['Department of Internal Medicine; Chonnam National University Medical School, Kwangju, Korea.']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage', 'Cytogenetic Analysis', 'Fatal Outcome', 'Female', 'Humans', 'Immunophenotyping', '*Killer Cells, Natural/chemistry', 'Leukemia, Myeloid/*diagnosis/pathology', 'Lymphoma, T-Cell/drug therapy/*pathology/radiotherapy', 'Middle Aged', 'Neoplasms, Second Primary/*diagnosis/pathology']",2001/05/30 10:00,2001/08/17 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001189 [pii]', '10.3109/10428190109058005 [doi]']",ppublish,Leuk Lymphoma. 2001 Apr;41(3-4):457-60. doi: 10.3109/10428190109058005.,,,,,,,,,,,,,,,,,,,,,
11378559,NLM,MEDLINE,20010816,20190116,1042-8194 (Print) 1026-8022 (Linking),41,3-4,2001 Apr,Pneumocystis carinii pneumonia with an atypical granulomatous response in a patient with chronic lymphocytic leukemia.,435-8,"We have recently seen a patient who developed Pneumocystis carinii pneumonia (PCP) in the course of treatment for chronic lymphocytic leukemia (CLL). This case showed uncommon pathological findings with extensive formation of granulomatous lesions. Despite advanced CLL associated with poor B-cell function, she responded well to anti-PCP treatment. In contrast to B-cell function, the T-cell functions were well preserved in vitro, and the numbers of peripheral CD4- and CD8-positive cells were normal, and T-cell functions were normal. These findings suggest that the production of granulomatous lesions to PCP may have been associated with the patients' immune status, and that it may constitute a good indicator in PCP infection in patients with underlying hematological malignancy.","['Oki, Y', 'Kami, M', 'Kishi, Y', 'Ueyama, J I', 'Honma, S', 'Sugiyama, T', 'Miyakoshi, S', 'Kanda, Y', 'Morinaga, S I', 'Muto, Y']","['Oki Y', 'Kami M', 'Kishi Y', 'Ueyama JI', 'Honma S', 'Sugiyama T', 'Miyakoshi S', 'Kanda Y', 'Morinaga SI', 'Muto Y']","['Department of Hematology, Minato-ku, Tokyo.']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Bronchoalveolar Lavage', 'Female', 'Granuloma, Respiratory Tract/*etiology/pathology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications', 'Middle Aged', 'Pneumonia, Pneumocystis/drug therapy/*etiology/pathology']",2001/05/30 10:00,2001/08/17 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001187 [pii]', '10.3109/10428190109058001 [doi]']",ppublish,Leuk Lymphoma. 2001 Apr;41(3-4):435-8. doi: 10.3109/10428190109058001.,,,,,,,,,,,,,,,,,,,,,
11378558,NLM,MEDLINE,20010816,20190116,1042-8194 (Print) 1026-8022 (Linking),41,3-4,2001 Apr,t(2;5) associated with a histiocytic-monocytic neoplasm.,429-33,"We describe a patient with a neoplasm derived from the histiocytic-monocytic lineage associated with t(2;5) detected by FISH. The patient presented with bone marrow involvement, no organomegaly and subsequently developed a leukaemic picture. The clinical course was aggressive and the patient died four months from diagnosis. Cell morphology, immunophenotype (CD30-, EMA-, Lisozyme+, cy CD68+ and CD45+) and DNA analysis showing germ-line configuration of the Ig/TCR chain genes ruled out the diagnosis of anaplastic large cell lymphoma (ALCL). This unusual case ilustrates that t(2;5) is not exclusive for ALCL but may be found in a few cases of rare neoplasms derived from the histiocytic-monocytic cells.","['Lemes, A', 'De La Iglesia, S', 'Santana, C', 'Cigudosa, J C', 'Matutes, E', 'Molero, T']","['Lemes A', 'De La Iglesia S', 'Santana C', 'Cigudosa JC', 'Matutes E', 'Molero T']","[""Department of Haematology and Histopathology, Hospital Universitario de Gran Canaria 'Doctor Negrin'. Las Palmas de Gran Canaria. alemeas@correo.hpino.rcanaria.es""]",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, CD)']",IM,"['Aged', 'Antigens, CD/analysis', '*Chromosomes, Human, Pair 2', '*Chromosomes, Human, Pair 5', 'Diagnosis, Differential', 'Fatal Outcome', 'Histiocytic Disorders, Malignant/*diagnosis/*genetics/pathology', 'Humans', 'Immunohistochemistry', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Leukemia, Monocytic, Acute/*diagnosis/*genetics/pathology', 'Male', '*Translocation, Genetic']",2001/05/30 10:00,2001/08/17 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001161 [pii]', '10.3109/10428190109058000 [doi]']",ppublish,Leuk Lymphoma. 2001 Apr;41(3-4):429-33. doi: 10.3109/10428190109058000.,,,,,,,,,,,,,,,,,,,,,
11378557,NLM,MEDLINE,20010816,20190116,1042-8194 (Print) 1026-8022 (Linking),41,3-4,2001 Apr,Simultaneous occurrence of kaposi's sarcoma and chronic myelogenous leukemia.,425-8,"We report here a 75-year-old man from South France who developed Kaposi's Sarcoma (KS) 5 months after diagnosis of Philadelphia-chromosome positive chronic myelogenous leukemia (CML). He was found positive for HHV-8 by PCR, negative for both HIV 1 and HIV 2 by serology, and had a normal CD4/CD8 ratio. Favourable evolution of both CML and KS has been obtained with vinblastine and interferon alpha treatment. The patient is currently alive in complete remission of SK and major cytogenetic remission of CML with a 48 month follow-up. Since no immune deficiency could be documented in the patient, this rare observation suggests that CML may have triggered the onset of SK through cytokine release.","['Vey, N', 'Camerlo, J', 'Xerri, L', 'Petit, N', 'Dermeche, S', 'Maraninchi, D']","['Vey N', 'Camerlo J', 'Xerri L', 'Petit N', 'Dermeche S', 'Maraninchi D']","['Institut Paoli-Calmettes, Centre Regional de Lutte Contre le Cancer, Universite de la Mediterranee, Marseille France. veyn@marseille.fnclcc.fr']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (DNA, Viral)', '0 (Interferon-alpha)', '5V9KLZ54CY (Vinblastine)']",IM,"['Aged', 'CD4-CD8 Ratio', 'DNA, Viral/blood', 'HIV Seronegativity', 'Herpesvirus 8, Human/genetics', 'Humans', 'Interferon-alpha/administration & dosage', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/pathology/virology', 'Male', 'Sarcoma, Kaposi/*complications/pathology/virology', 'Vinblastine/administration & dosage']",2001/05/30 10:00,2001/08/17 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001165 [pii]', '10.3109/10428190109057999 [doi]']",ppublish,Leuk Lymphoma. 2001 Apr;41(3-4):425-8. doi: 10.3109/10428190109057999.,,,,,,,,,,,,,,,,,,,,,
11378554,NLM,MEDLINE,20010816,20190116,1042-8194 (Print) 1026-8022 (Linking),41,3-4,2001 Apr,Aberrant BCR-ABL transcript with intronic insertion in a patient with philadelphia chromosome-positive chronic myeloid leukemia: implications for disease progression.,411-5,"The BCR-ABL fusion gene is important for the leukemogenesis of chronic myeloid leukemia (CML). A relationship between types of BCR-ABL transcripts in CML and clinical features has been proposed. We present here a patient with CML who carried an aberrant BCR-ABL transcript with an intronic sequence insert. A 26-year-old woman was diagnosed as having Philadelphia chromosome (Ph) positive CML. Reverse transcription polymerase chain reaction detected an atypically large BCR-ABL mRNA transcript. Sequencing revealed a 589bp insertion consisting of a 5' portion of BCR intron b2 and a 3' portion of ABL intron 1b between BCR exon b2 and ABL exon a2. Although the typical b2a2 transcript was undetectable initially, it appeared after intensive chemotherapy. The aberrant transcript presumably arose as a result of a lack of splicing, and chemotherapy might modify the disease course by selecting the subpopulation of the CML clone expressing typical BCR-ABL mRNA dominantly.","['Shiratsuchi, M', 'Muta, K', 'Minami, R', 'Motomura, S', 'Suehiro, Y', 'Abe, Y', 'Shiokawa, S', 'Umemura, T', 'Fukui, T', 'Nishimura, J', 'Nawata, H']","['Shiratsuchi M', 'Muta K', 'Minami R', 'Motomura S', 'Suehiro Y', 'Abe Y', 'Shiokawa S', 'Umemura T', 'Fukui T', 'Nishimura J', 'Nawata H']","['Department of Medicine and Bioregulatory Science, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan. mshira@tsurumi.beppu.kyushu-u.ac.jp']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (RNA, Messenger)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Base Sequence', 'DNA Mutational Analysis', 'Disease Progression', 'Female', 'Fusion Proteins, bcr-abl/*genetics', 'Humans', 'Introns/*genetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*genetics', 'Molecular Sequence Data', 'RNA, Messenger/*genetics']",2001/05/30 10:00,2001/08/17 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001176 [pii]', '10.3109/10428190109057996 [doi]']",ppublish,Leuk Lymphoma. 2001 Apr;41(3-4):411-5. doi: 10.3109/10428190109057996.,,,,,,,,,,,,,,,,,,,,,
11378546,NLM,MEDLINE,20010816,20190116,1042-8194 (Print) 1026-8022 (Linking),41,3-4,2001 Apr,Chronic lymphocytic leukemia associated with myelodysplastic syndrome and/or chronic myeloid leukemia: evidence for independent clonal chromosomal evolution.,337-41,"We describe the cytogenetic findings of three cases with simultaneous or sequential development of a B-chronic lymphocytic leukemia (B-CLL) and either a myelodysplastic syndrome (MDS) in 2 cases or a chronic myeloid leukemia (CML) in one case. The coexistence of these two hematologic malignancies leads to questions about their cell of origin. Through analysis of the cytogenetic abnormalities, we studied the derivation of both malignancies. The cytogenetic analyses of these three patients were simultaneously studied from both peripheral blood and bone marrow. Furthermore unstimulated short-time (USSTC) and long-time (72-96 hours) stimulated cultures (LTSC) were systematically performed. In all cases, we have demonstrated the independent bi-clonal evolution. This is the first report ever described for patients with CLPD and MDS and/or MPD shown to arise from distinct chromosomal abnormalities.","['Mossafa, H', 'Fourcade, C', 'Pulic, M', 'Jary, L', 'Cheze, S', 'Szpiro-Tapia, S', 'Troussard, X']","['Mossafa H', 'Fourcade C', 'Pulic M', 'Jary L', 'Cheze S', 'Szpiro-Tapia S', 'Troussard X']","['Pasteur Cerba Laboratory, Department of Human Genetics, Paris.']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Aged', 'Cell Lineage/genetics', 'Chromosome Aberrations', 'Clone Cells/pathology', 'Cytogenetic Analysis', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/genetics/pathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*complications/genetics/pathology', 'Neoplasms, Second Primary/genetics/pathology']",2001/05/30 10:00,2001/08/17 10:01,['2001/05/30 10:00'],"['2001/05/30 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/30 10:00 [entrez]']","['I308J001203 [pii]', '10.3109/10428190109057988 [doi]']",ppublish,Leuk Lymphoma. 2001 Apr;41(3-4):337-41. doi: 10.3109/10428190109057988.,,,,,,,,,,,,,,,,,,,,,
